"","证券代码","申万一级行业","净资产收益率ROE.平均...报告期..1993一季..单位...","净资产收益率ROE.平均...报告期..1993中报..单位...","净资产收益率ROE.平均...报告期..1993三季..单位...","净资产收益率ROE.平均...报告期..1993年报..单位...","净资产收益率ROE.平均...报告期..1994一季..单位...","净资产收益率ROE.平均...报告期..1994中报..单位...","净资产收益率ROE.平均...报告期..1994三季..单位...","净资产收益率ROE.平均...报告期..1994年报..单位...","净资产收益率ROE.平均...报告期..1995一季..单位...","净资产收益率ROE.平均...报告期..1995中报..单位...","净资产收益率ROE.平均...报告期..1995三季..单位...","净资产收益率ROE.平均...报告期..1995年报..单位...","净资产收益率ROE.平均...报告期..1996一季..单位...","净资产收益率ROE.平均...报告期..1996中报..单位...","净资产收益率ROE.平均...报告期..1996三季..单位...","净资产收益率ROE.平均...报告期..1996年报..单位...","净资产收益率ROE.平均...报告期..1997一季..单位...","净资产收益率ROE.平均...报告期..1997中报..单位...","净资产收益率ROE.平均...报告期..1997三季..单位...","净资产收益率ROE.平均...报告期..1997年报..单位...","净资产收益率ROE.平均...报告期..1998一季..单位...","净资产收益率ROE.平均...报告期..1998中报..单位...","净资产收益率ROE.平均...报告期..1998三季..单位...","净资产收益率ROE.平均...报告期..1998年报..单位...","净资产收益率ROE.平均...报告期..1999一季..单位...","净资产收益率ROE.平均...报告期..1999中报..单位...","净资产收益率ROE.平均...报告期..1999三季..单位...","净资产收益率ROE.平均...报告期..1999年报..单位...","净资产收益率ROE.平均...报告期..2000一季..单位...","净资产收益率ROE.平均...报告期..2000中报..单位...","净资产收益率ROE.平均...报告期..2000三季..单位...","净资产收益率ROE.平均...报告期..2000年报..单位...","净资产收益率ROE.平均...报告期..2001一季..单位...","净资产收益率ROE.平均...报告期..2001中报..单位...","净资产收益率ROE.平均...报告期..2001三季..单位...","净资产收益率ROE.平均...报告期..2001年报..单位...","净资产收益率ROE.平均...报告期..2002一季..单位...","净资产收益率ROE.平均...报告期..2002中报..单位...","净资产收益率ROE.平均...报告期..2002三季..单位...","净资产收益率ROE.平均...报告期..2002年报..单位...","净资产收益率ROE.平均...报告期..2003一季..单位...","净资产收益率ROE.平均...报告期..2003中报..单位...","净资产收益率ROE.平均...报告期..2003三季..单位...","净资产收益率ROE.平均...报告期..2003年报..单位...","净资产收益率ROE.平均...报告期..2004一季..单位...","净资产收益率ROE.平均...报告期..2004中报..单位...","净资产收益率ROE.平均...报告期..2004三季..单位...","净资产收益率ROE.平均...报告期..2004年报..单位...","净资产收益率ROE.平均...报告期..2005一季..单位...","净资产收益率ROE.平均...报告期..2005中报..单位...","净资产收益率ROE.平均...报告期..2005三季..单位...","净资产收益率ROE.平均...报告期..2005年报..单位...","净资产收益率ROE.平均...报告期..2006一季..单位...","净资产收益率ROE.平均...报告期..2006中报..单位...","净资产收益率ROE.平均...报告期..2006三季..单位...","净资产收益率ROE.平均...报告期..2006年报..单位...","净资产收益率ROE.平均...报告期..2007一季..单位...","净资产收益率ROE.平均...报告期..2007中报..单位...","净资产收益率ROE.平均...报告期..2007三季..单位...","净资产收益率ROE.平均...报告期..2007年报..单位...","净资产收益率ROE.平均...报告期..2008一季..单位...","净资产收益率ROE.平均...报告期..2008中报..单位...","净资产收益率ROE.平均...报告期..2008三季..单位...","净资产收益率ROE.平均...报告期..2008年报..单位...","净资产收益率ROE.平均...报告期..2009一季..单位...","净资产收益率ROE.平均...报告期..2009中报..单位...","净资产收益率ROE.平均...报告期..2009三季..单位...","净资产收益率ROE.平均...报告期..2009年报..单位...","净资产收益率ROE.平均...报告期..2010一季..单位...","净资产收益率ROE.平均...报告期..2010中报..单位...","净资产收益率ROE.平均...报告期..2010三季..单位...","净资产收益率ROE.平均...报告期..2010年报..单位...","净资产收益率ROE.平均...报告期..2011一季..单位...","净资产收益率ROE.平均...报告期..2011中报..单位...","净资产收益率ROE.平均...报告期..2011三季..单位...","净资产收益率ROE.平均...报告期..2011年报..单位...","净资产收益率ROE.平均...报告期..2012一季..单位...","净资产收益率ROE.平均...报告期..2012中报..单位...","净资产收益率ROE.平均...报告期..2012三季..单位...","净资产收益率ROE.平均...报告期..2012年报..单位...","净资产收益率ROE.平均...报告期..2013一季..单位...","净资产收益率ROE.平均...报告期..2013中报..单位...","净资产收益率ROE.平均...报告期..2013三季..单位...","净资产收益率ROE.平均...报告期..2013年报..单位...","净资产收益率ROE.平均...报告期..2014一季..单位...","净资产收益率ROE.平均...报告期..2014中报..单位...","净资产收益率ROE.平均...报告期..2014三季..单位...","净资产收益率ROE.平均...报告期..2014年报..单位...","净资产收益率ROE.平均...报告期..2015一季..单位...","净资产收益率ROE.平均...报告期..2015中报..单位...","净资产收益率ROE.平均...报告期..2015三季..单位...","净资产收益率ROE.平均...报告期..2015年报..单位...","净资产收益率ROE.平均...报告期..2016一季..单位...","净资产收益率ROE.平均...报告期..2016中报..单位...","净资产收益率ROE.平均...报告期..2016三季..单位...","净资产收益率ROE.平均...报告期..2016年报..单位...","净资产收益率ROE.平均...报告期..2017一季..单位...","净资产收益率ROE.平均...报告期..2017中报..单位...","净资产收益率ROE.平均...报告期..2017三季..单位...","净资产收益率ROE.平均...报告期..2017年报..单位..."
"19","000022.SZ","交通运输",NA,NA,NA,NA,NA,7.8404,NA,15.8018,NA,7.9776,NA,14.8938,NA,5.9149,NA,11.404,NA,4.7739,NA,9.5211,NA,2.0112,NA,5.4889,NA,2.4199,NA,7.005,NA,3.6944,NA,7.7598,NA,2.3808,NA,7.9156,3.5778,6.6969,"11.4736","15.9501","4.7931",10.5893,17.5878,"23.3535",6.2496,"15.3050","24.2998",31.9482,9.0158,18.9888,26.5807,"29.4721","6.9356",15.9025,"23.5503","28.6897",6.1017,"13.6685","22.0378","27.3858",6.2059,13.0863,"19.1316","24.0733","3.3310","7.4279","11.7107","14.9375",4.4937,10.6455,"16.0669","19.5873",3.8535,7.9957,11.7548,"15.0774","3.2167",6.4359,10.405,"13.0735",3.4781,7.9679,11.8008,"13.1892",2.663,"5.9725",9.1521,10.3581,2.4616,"5.8542","9.8919","12.3380",2.6936,5.9998,9.4452,"11.6374",2.9044,5.8928,9.2003,"10.4745"
"57","000088.SZ","交通运输",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,60.9167,NA,NA,NA,32.6097,NA,7.7682,NA,13.7794,NA,3.4598,NA,9.1897,NA,2.0874,NA,6.2388,NA,1.2659,NA,6.668,NA,10.5818,NA,25.856,6.7234,14.9137,"24.2603","31.8726","6.9999",14.6608,24.4377,"32.5100",4.3512,"10.2933","16.4269",21.2379,3.2234,8.3538,13.6124,"19.8252","4.2299",11.0684,"17.3633","21.5888",4.5297,"9.5975","15.0833","19.0074",3.3202,7.1576,"11.7924","15.3490","2.5401","5.6616","8.7296","11.5431",2.2913,5.0376,"7.7821","9.7768",3.0877,5.3606,7.3807,"9.5445","1.7191",3.9866,6.0187,"8.8616",1.715,3.9855,6.2741,"8.3364",2.3263,"4.6344",7.0597,8.9119,1.4443,"3.0269","7.0543","8.1909",1.351,2.8326,4.7986,"6.1767",1.344,2.5664,4.6897,"6.6597"
"58","000089.SZ","交通运输",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,38.8525,NA,10.5244,NA,18.9688,NA,11.3919,NA,22.031,NA,10.727,NA,19.351,NA,9.4852,NA,16.1804,3.973,8.3861,"10.9417","13.7989","3.1749",5.913,8.2152,"9.7613",3.9469,"6.4735","9.1724",9.3271,3.0498,6.3419,8.9555,"12.2885","3.4212",7.0159,"10.9387","13.7167",3.1279,"6.4490","9.7288","13.0262",3.3351,1.5109,"3.9419","5.2939","3.1231","5.9846","9.3723","11.7292",3.521,6.8489,"9.9483","12.9867",2.9286,5.8906,8.418,"10.3779","2.6474",4.0525,6.3649,"8.1769",2.1945,4.3177,6.2732,"6.6414",0.8128,"1.6090",2.4408,3.415,1.155,"2.4286","3.7546","5.7566",1.2961,2.5649,3.9447,"5.3809",1.3398,2.9283,4.6364,"6.0538"
"61","000099.SZ","交通运输",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27.555,NA,NA,NA,25.1338,NA,9.7202,NA,9.7553,NA,3.689,NA,7.2463,0.6383,2.822,"4.9599","6.9698","1.1523",3.6734,6.968,"7.8475",1.4919,"3.0979","6.0313",7.1896,1.048,2.9717,5.1055,"7.5420","0.8524",0.8756,"3.4412","5.6744",0.8995,"1.2370","3.6811","6.4865",1.2438,1.712,"3.7652","6.7752","3.8508","4.6607","6.2328","7.7139",2.3922,4,"6.2840","7.9850",2.1563,4.0556,6.4082,"8.4402","2.1288",3.9547,6.6016,"7.7941",1.8626,4.0736,6.7429,"8.7554",1.3296,"3.4171",6.4786,7.9019,1.3231,"3.0495","5.2576","6.1879",0.6515,1.5001,2.7115,"3.0574",0.4909,1.445,2.915,"3.1449"
"98","000429.SZ","交通运输",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12.6146,NA,NA,NA,10.3119,NA,5.3807,NA,10.4913,NA,3.8307,NA,7.4746,NA,4.8866,NA,12.4275,NA,4.012,NA,4.2833,NA,2.3969,NA,4.6947,1.5555,2.6993,"4.5065","4.5785","1.4153",2.64,4.062,"5.0290",1.4705,"2.9325","5.3710",6.4616,2.3017,4.791,7.2793,"8.8044","2.9005",4.7615,"7.9178","10.0747",4.6827,"9.0661","13.5220","15.5017",3.3933,7.615,"10.7100","12.0573","3.1535","6.2555","8.7395","9.5003",3.5555,6.5077,"8.3917","9.8580",1.5613,3.4401,5.3986,"5.1626","1.4406",3.7878,5.4074,"4.1935",0.519,1.3565,2.2751,"3.0041",2.2114,"4.1619",6.888,6.8889,1.7835,"4.5234","7.8153","9.1807",2.4385,7.8024,12.0211,"14.8345",3.3908,10.6976,14.9629,"17.4436"
"108","000507.SZ","交通运输",NA,NA,NA,24.1557,NA,6.3116,NA,7.7032,NA,1.9361,NA,2.4002,NA,0.5633,NA,0.3949,NA,0.3143,NA,-16.8942,NA,-1.878,NA,-13.4621,NA,2.1928,NA,4.8013,NA,2.8334,NA,5.7038,NA,2.4546,NA,2.9083,0.633,1.6917,"2.6520","2.0051","0.4881",1.7323,2.7046,"2.4693",0.6586,"1.8462","2.7269",3.1149,0.6616,1.4839,2.2466,"2.4937","0.5255",1.7717,"3.4688","12.9517",0.4512,"10.7638","12.0285","13.0264",3.5527,4.3601,"4.0631","7.4616","-2.0509","-2.9940","-1.7330","8.1246",-1.3905,6.0909,"6.7207","15.6629",-0.6331,13.8898,13.6905,"18.7215","-0.5433",9.4492,8.9842,"8.5829",0.8839,0.62,0.643,"4.2406",-0.6038,"-1.1101",-1.1454,0.7006,-0.7884,"2.0182","2.0927","3.1604",0.9847,2.8446,3.2788,"4.0523",0.5816,3.7201,4.2018,"5.2472"
"117","000520.SZ","交通运输",NA,NA,NA,NA,NA,13.2652,NA,24.6801,NA,10.1193,NA,22.043,NA,11.1182,NA,14.4667,NA,9.5328,NA,20.0652,NA,3.1591,NA,7.8703,NA,5.2918,NA,8.7483,NA,3.5925,NA,5.4117,NA,1.7033,NA,3.5721,0.581,1.8519,"3.1503","3.9525","1.2938",1.5505,3.1611,"4.2300",0.4822,"1.7037","3.8090",5.3127,0.6673,0.9612,2.0723,"1.6212","0.6790",0.7018,"2.2791","7.2610",1.4431,"3.8485","5.2345","27.8481",2.6168,7.6425,"9.8955","4.9968","-2.2508","-7.0056","-15.4954","-32.8830",-4.7541,-0.9089,"-5.2508","1.0702",-17.1313,-33.9605,-54.6229,"-151.3446","-4,804.0352",NA,NA,"",NA,NA,NA,"",NA,"",NA,NA,1.3644,"59.1674","60.8984","64.4853",0.989,-6.3767,-1.2544,"3.7229",1.5691,6.8274,12.0892,"17.4350"
"141","000548.SZ","交通运输",NA,NA,NA,24.7933,NA,11.6969,NA,10.673,NA,1.5816,NA,2.4247,NA,1.2569,NA,-20.3047,NA,3.9674,NA,-33.7359,NA,-15.3327,NA,28.2475,NA,12.19,NA,14.4,NA,5.1329,NA,11.5057,NA,5.5152,NA,10.3969,1.3768,2.2895,"2.6003","3.9366","0.6395",1.1487,3.7059,"6.1679",0.7565,"0.9072","1.8571",3.1033,0.3455,-1.3428,-3.0006,"-27.1747","0.2132",1.8918,"3.1132","15.7551",15.1029,"16.2420","16.4264","16.1652",0.3604,1.4575,"2.4751","2.7588","1.4001","5.7702","6.0636","7.7686",0.9473,3.5498,"4.4082","6.2866",0.9225,2.2391,2.7476,"3.6390","0.5354",1.7616,2.0596,"2.0775",0.2838,0.6631,0.918,"0.7217",0.2591,"0.6812",1.2657,1.2074,0.0726,"0.2955","0.4750","1.2706",0.0858,3.1153,3.9457,"3.8821",0.1646,7.8041,8.6455,"8.1823"
"148","000557.SZ","交通运输",NA,NA,NA,18.2074,NA,9.3648,NA,16.9612,NA,4.2106,NA,11.3677,NA,2.8962,NA,15.8728,NA,10.0876,NA,12.2155,NA,13.0567,NA,16.6301,NA,11.0825,NA,-7.5374,NA,17.3527,NA,-25.0508,NA,-4.0511,NA,NA,NA,NA,"","","",NA,NA,"",NA,"","",NA,NA,NA,NA,"","",NA,"","",NA,"","","",NA,NA,"","","","","","",NA,NA,"","",NA,NA,NA,"","",NA,NA,"",0.0564,-0.5178,0.1987,"2.6032",0.5528,"2.0788",3.1239,0.8379,0.0887,"0.0426","0.0856","-13.2247",-1.1823,-2.9535,-3.1507,"0.4109",0.3112,0.6285,0.923,"2.1859"
"165","000582.SZ","交通运输",NA,NA,NA,NA,NA,NA,NA,NA,NA,4.666,NA,11.2345,NA,1.8431,NA,11.5385,NA,5.3922,NA,11.1268,NA,0.3501,NA,11.8527,NA,1.8918,NA,8.3909,NA,0.3388,NA,2.9367,NA,1.8357,NA,0.4795,-1.1382,-1.5402,"-2.5169","-8.4476","-0.5075",-1.5019,-2.113,"1.6440",-1.7295,"-1.9205","-3.9415",-9.8824,0.9389,2.6898,1.4555,"0.9892","0.1324",-0.5691,"-0.2023","-18.6016",-1.766,"-3.8221","-2.0327","0.5972",0.4316,1.8867,"5.3266","7.9170","2.1838","12.2521","14.3994","16.8797",2.7605,7.1946,"10.0514","12.8600",2.5008,6.8295,9.3454,"11.1041","2.6033",4.9141,8.156,"10.5076",2.4438,3.3255,7.4035,"27.9839",3.3974,"8.8247",14.0319,16.6124,2.9907,"5.3763","7.6129","8.3820",1.5633,4.3727,6.3691,"7.3498",1.6473,4.6058,6.7503,"8.2789"
