"","证券代码","申万一级行业","净资产收益率ROE.平均...报告期..1993一季..单位...","净资产收益率ROE.平均...报告期..1993中报..单位...","净资产收益率ROE.平均...报告期..1993三季..单位...","净资产收益率ROE.平均...报告期..1993年报..单位...","净资产收益率ROE.平均...报告期..1994一季..单位...","净资产收益率ROE.平均...报告期..1994中报..单位...","净资产收益率ROE.平均...报告期..1994三季..单位...","净资产收益率ROE.平均...报告期..1994年报..单位...","净资产收益率ROE.平均...报告期..1995一季..单位...","净资产收益率ROE.平均...报告期..1995中报..单位...","净资产收益率ROE.平均...报告期..1995三季..单位...","净资产收益率ROE.平均...报告期..1995年报..单位...","净资产收益率ROE.平均...报告期..1996一季..单位...","净资产收益率ROE.平均...报告期..1996中报..单位...","净资产收益率ROE.平均...报告期..1996三季..单位...","净资产收益率ROE.平均...报告期..1996年报..单位...","净资产收益率ROE.平均...报告期..1997一季..单位...","净资产收益率ROE.平均...报告期..1997中报..单位...","净资产收益率ROE.平均...报告期..1997三季..单位...","净资产收益率ROE.平均...报告期..1997年报..单位...","净资产收益率ROE.平均...报告期..1998一季..单位...","净资产收益率ROE.平均...报告期..1998中报..单位...","净资产收益率ROE.平均...报告期..1998三季..单位...","净资产收益率ROE.平均...报告期..1998年报..单位...","净资产收益率ROE.平均...报告期..1999一季..单位...","净资产收益率ROE.平均...报告期..1999中报..单位...","净资产收益率ROE.平均...报告期..1999三季..单位...","净资产收益率ROE.平均...报告期..1999年报..单位...","净资产收益率ROE.平均...报告期..2000一季..单位...","净资产收益率ROE.平均...报告期..2000中报..单位...","净资产收益率ROE.平均...报告期..2000三季..单位...","净资产收益率ROE.平均...报告期..2000年报..单位...","净资产收益率ROE.平均...报告期..2001一季..单位...","净资产收益率ROE.平均...报告期..2001中报..单位...","净资产收益率ROE.平均...报告期..2001三季..单位...","净资产收益率ROE.平均...报告期..2001年报..单位...","净资产收益率ROE.平均...报告期..2002一季..单位...","净资产收益率ROE.平均...报告期..2002中报..单位...","净资产收益率ROE.平均...报告期..2002三季..单位...","净资产收益率ROE.平均...报告期..2002年报..单位...","净资产收益率ROE.平均...报告期..2003一季..单位...","净资产收益率ROE.平均...报告期..2003中报..单位...","净资产收益率ROE.平均...报告期..2003三季..单位...","净资产收益率ROE.平均...报告期..2003年报..单位...","净资产收益率ROE.平均...报告期..2004一季..单位...","净资产收益率ROE.平均...报告期..2004中报..单位...","净资产收益率ROE.平均...报告期..2004三季..单位...","净资产收益率ROE.平均...报告期..2004年报..单位...","净资产收益率ROE.平均...报告期..2005一季..单位...","净资产收益率ROE.平均...报告期..2005中报..单位...","净资产收益率ROE.平均...报告期..2005三季..单位...","净资产收益率ROE.平均...报告期..2005年报..单位...","净资产收益率ROE.平均...报告期..2006一季..单位...","净资产收益率ROE.平均...报告期..2006中报..单位...","净资产收益率ROE.平均...报告期..2006三季..单位...","净资产收益率ROE.平均...报告期..2006年报..单位...","净资产收益率ROE.平均...报告期..2007一季..单位...","净资产收益率ROE.平均...报告期..2007中报..单位...","净资产收益率ROE.平均...报告期..2007三季..单位...","净资产收益率ROE.平均...报告期..2007年报..单位...","净资产收益率ROE.平均...报告期..2008一季..单位...","净资产收益率ROE.平均...报告期..2008中报..单位...","净资产收益率ROE.平均...报告期..2008三季..单位...","净资产收益率ROE.平均...报告期..2008年报..单位...","净资产收益率ROE.平均...报告期..2009一季..单位...","净资产收益率ROE.平均...报告期..2009中报..单位...","净资产收益率ROE.平均...报告期..2009三季..单位...","净资产收益率ROE.平均...报告期..2009年报..单位...","净资产收益率ROE.平均...报告期..2010一季..单位...","净资产收益率ROE.平均...报告期..2010中报..单位...","净资产收益率ROE.平均...报告期..2010三季..单位...","净资产收益率ROE.平均...报告期..2010年报..单位...","净资产收益率ROE.平均...报告期..2011一季..单位...","净资产收益率ROE.平均...报告期..2011中报..单位...","净资产收益率ROE.平均...报告期..2011三季..单位...","净资产收益率ROE.平均...报告期..2011年报..单位...","净资产收益率ROE.平均...报告期..2012一季..单位...","净资产收益率ROE.平均...报告期..2012中报..单位...","净资产收益率ROE.平均...报告期..2012三季..单位...","净资产收益率ROE.平均...报告期..2012年报..单位...","净资产收益率ROE.平均...报告期..2013一季..单位...","净资产收益率ROE.平均...报告期..2013中报..单位...","净资产收益率ROE.平均...报告期..2013三季..单位...","净资产收益率ROE.平均...报告期..2013年报..单位...","净资产收益率ROE.平均...报告期..2014一季..单位...","净资产收益率ROE.平均...报告期..2014中报..单位...","净资产收益率ROE.平均...报告期..2014三季..单位...","净资产收益率ROE.平均...报告期..2014年报..单位...","净资产收益率ROE.平均...报告期..2015一季..单位...","净资产收益率ROE.平均...报告期..2015中报..单位...","净资产收益率ROE.平均...报告期..2015三季..单位...","净资产收益率ROE.平均...报告期..2015年报..单位...","净资产收益率ROE.平均...报告期..2016一季..单位...","净资产收益率ROE.平均...报告期..2016中报..单位...","净资产收益率ROE.平均...报告期..2016三季..单位...","净资产收益率ROE.平均...报告期..2016年报..单位...","净资产收益率ROE.平均...报告期..2017一季..单位...","净资产收益率ROE.平均...报告期..2017中报..单位...","净资产收益率ROE.平均...报告期..2017三季..单位...","净资产收益率ROE.平均...报告期..2017年报..单位..."
"33","000038.SZ","传媒",NA,NA,NA,NA,NA,7.4884,NA,16.1712,NA,5.5022,NA,10.7414,NA,2.8382,NA,4.0912,NA,1.8895,NA,6.1842,NA,0.567,NA,-12.4287,NA,-0.8695,NA,-30.5312,NA,2.4542,NA,4.0208,NA,1.3283,NA,6.1168,-1.5143,1.2943,"3.2306","10.0544","1.0043",3.309,3.501,"6.7898",0.7656,"1.6932","1.7624",-5.2795,0.0364,-1.2072,-3.234,"-51.1530","-3.3028",-7.5168,"-28.0542","",NA,"","","",NA,NA,"","2,013.8666","-1.3447","-3.0038","-4.3717","18.9127",4.5162,10.9505,"9.1575","19.2742",-2.5404,-5.9214,1.7291,"1.3626","-1.5319",-3.1535,1.1997,"1.3359",0.1398,-2.188,-1.4747,"1.2605",-0.5392,"-7.0975",-9.7243,-36.6818,-0.5025,"-0.8190","1.0052","5.2606",3.1884,3.5236,4.3282,"9.0009",1.8415,3.5756,5.1406,"6.8444"
"67","000156.SZ","传媒",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.0379,NA,NA,NA,12.1814,NA,NA,NA,7.4569,NA,1.1775,NA,3.0715,0.6604,2.3347,"3.9400","5.7678","1.3002",2.3502,3.8042,"-7.3794",0.8285,"-6.2874","-36.8709",-97.0372,-3.5881,-8.496,-12.9308,"","",NA,"","",NA,"","","",NA,NA,"","","","","","",NA,NA,"","",NA,NA,NA,"","",NA,40.1145,"54.6148",7.2971,13.8913,19.9937,"19.1208",4.5945,"8.7966",12.4814,19.1361,5.7968,"4.4975","7.1405","9.3224",1.5762,3.1518,4.8495,"6.2223",1.4686,3.0498,4.6414,"6.2614"
"105","000504.SZ","传媒",NA,NA,NA,35.3861,NA,9.0696,NA,9.7185,NA,2.4525,NA,-1.4813,NA,-1.5304,NA,-16.8428,NA,2.7775,NA,1.9494,NA,-4.4883,NA,-43.2127,NA,-7.969,NA,-22.562,NA,-13.0881,NA,11.8554,NA,0.024,NA,1.5985,0.0393,1.7567,"3.5687","8.1840","0.2199",1.4992,3.8149,"7.8998",0.5429,"2.2955","3.7867",6.9403,0.2744,1.1902,2.0388,"2.1808","0.1524",0.7192,"0.2753","2.6449",0.1854,"0.4546","0.1747","0.4207",0.0717,-2.8354,"-3.7306","-46.7748","-1.3177","-4.2009","-5.9724","-64.0059",-1.8379,-5.3013,"-3.0865","4.3252",-1.0794,-1.6549,-2.0446,"-21.1752","-0.0552",-0.6616,-3.0625,"-288.9259",NA,NA,NA,"",NA,"-504.1084",NA,-907.3034,-135.8107,"-712.3083","","",NA,NA,NA,"",-173.4188,NA,NA,"-248.1632"
"122","000526.SZ","传媒",NA,NA,NA,13.83,NA,5.7802,NA,5.2938,NA,-0.697,NA,5.7222,NA,0.9615,NA,0.198,NA,0.5034,NA,-3.4371,NA,-2.0344,NA,-21.9545,NA,-7.9659,NA,7.0238,NA,-2.2166,NA,10.121,NA,7.4369,NA,10.2171,-1.6784,-1.9539,"-2.6818","4.2245","-0.9549",-2.2454,1.0908,"0.3108",-0.9617,"-1.2782","-1.8129",-2.4997,-2.5434,-3.6527,-5.7931,"3.2128","4.7787",5.3774,"4.5392","0.9507",-1.4721,"-2.1574","-2.2331","1.8727",-1.1088,-2.7503,"-4.0214","-7.9112","-0.9134","-1.7432","-1.4521","0.7115",-0.9004,-1.7215,"-2.6151","4.5957",-0.5129,1.1141,3.1588,"2.8312","-0.6319",-0.1185,3.4274,"2.3146",0.5809,-0.2478,-0.998,"-4.2287",-0.6087,"-0.7892",0.4295,1.2653,1.0716,"1.3713","1.7748","-9.0640",-0.4276,-8.3835,-28.5534,"-103.4053",17.9015,105.153,83.5826,"41.1072"
"185","000607.SZ","传媒",NA,NA,NA,NA,NA,NA,NA,7.2339,NA,NA,NA,10.4919,2.6046,NA,NA,9.5385,NA,0.9142,NA,-4.9096,NA,-3.2085,NA,-1.4096,NA,-1.4588,NA,5.59,NA,14.477,NA,25.6606,NA,13.8285,NA,21.9362,1.8024,6.5312,"11.3247","16.6244","1.6791",6.7873,7.4427,"10.6001",0.9745,"2.6655","5.1444",6.9831,0.9252,2.0744,4.9913,"5.2664","0.5988",2.8334,"1.2326","2.0128",0.172,"-10.5520","-13.4076","-29.6027",0.2352,0.8028,"1.0776","0.8257","0.1409","0.1934","-1.6168","-15.5758",-0.8248,-5.7134,"-15.8645","-41.5446",-7.192,-5.0555,0.5471,"7.5616","0.7814",2.1147,4.4873,"6.6894",-3.3148,2.3864,3.7635,"3.3917",-3.3174,"0.6157",1.7728,23.1163,0.019,"5.4959","9.1480","20.2403",-0.9739,3.3411,7.9158,"13.4929",-0.961,1.7493,5.0184,"8.2318"
"223","000665.SZ","传媒",NA,NA,NA,NA,NA,NA,NA,12.4919,NA,NA,NA,12.3051,NA,NA,12.9836,19.3289,NA,7.8401,NA,21.6124,NA,5.3732,NA,12.9765,NA,5.2182,NA,10.3331,NA,4.2323,NA,7.9128,NA,2.2283,NA,7.148,0.7908,1.133,"0.6861","0.3582","0.0138",0.2645,-1.2502,"-41.2364",1.8989,"1.2858","1.1287",1.0798,0.2823,0.2849,-1.5968,"-132.5489","-7.9658",-1.9303,"27.2069","29.5309",0.5376,"3.3950","4.9229","15.3688",0.3618,3.907,"5.0454","4.4623","0.3159","2.1834","5.1302","3.3332",3.0161,8.454,"11.8983","6.8990",3.6254,10.4172,13.899,"10.6157","5.1483",9.4876,14.8715,"15.6058",1.8222,4.2038,5.5411,"8.2508",1.4787,"4.3052",5.5169,6.6732,1.9213,"4.1654","5.3471","7.1758",1.879,3.5322,4.3488,"5.5405",1.615,3.4615,4.3109,"5.8508"
"231","000673.SZ","传媒",NA,NA,NA,NA,NA,NA,NA,52.229,NA,NA,NA,49.2042,NA,NA,NA,19.3348,NA,10.9134,NA,21.7035,NA,11.3416,NA,14.3136,NA,11.4814,NA,16.0988,NA,2.698,NA,10.2892,NA,3.503,NA,5.1959,1.6427,2.1206,"4.1686","4.6631","0.1218",1.1326,2.6451,"0.7847",0.2967,"1.4138","3.8708",0.3225,0.0614,0.5883,1.3542,"-59.3203","-4.9605",-23.6142,"-30.8910","-30.8160",-5.8966,"-11.2150","-10.7068","7.6054",-11.1292,-26.0138,"-7.7685","-107.8670","-8.2391","-0.7396","-7.9514","-293.7815",NA,NA,"","",NA,NA,NA,"-1,098.9672","-72.9471",-31.5526,-69.3425,"42.2907",-4.0768,14.2875,-7.1771,"22.2847",-33.3191,"17.3589",23.7254,-5.0499,-61.7159,"2.5708","6.5064","10.5590",0.5523,1.4697,6.2315,"8.0645",0.567,1.0648,1.2359,"4.9087"
"232","000676.SZ","传媒",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,38.551,NA,NA,NA,19.6289,NA,11.3954,NA,20.2186,NA,6.3154,NA,14.3536,NA,2.7382,NA,10.5125,NA,7.8208,NA,12.9832,NA,10.4141,NA,11.7924,1.5016,4.7742,"7.8967","10.7459","0.3386",2.9385,4.0838,"7.9657",0.321,"2.0600","3.8002",7.3936,0.3636,2.029,2.9568,"7.2521","0.5448",1.3012,"1.6693","7.1431",0.2969,"1.8169","2.1475","6.9305",0.224,1.2114,"1.5983","-6.1318","-3.8747","-5.4873","-11.0893","-24.9625",-2.6641,3.5511,"1.1507","3.2146",-4.995,-4.6576,-3.7606,"-22.7537","-4.9169",-7.4607,-15.5565,"-57.0974",-4.0438,-5.0399,6.315,"10.9837",-5.6272,"-8.2911",-11.2149,-38.9105,-3.6616,"-15.9708","-12.8245","2.4450",-4.765,3.8607,6.5811,"13.3032",2.63,4.6378,6.9574,"10.9170"
"237","000681.SZ","传媒",NA,NA,NA,NA,NA,NA,NA,24.9739,NA,NA,NA,22.4879,NA,NA,NA,26.0194,NA,12.2889,NA,21.1316,NA,8.0763,NA,15.6612,NA,6.2898,NA,14.5459,NA,6.1246,NA,11.9076,NA,5.0723,NA,4.9064,0.4943,1.183,"1.0742","0.2426","0.1972",0.1267,0.5854,"1.8940",0.2005,"-2.7375","-2.8943",-8.5927,0.0137,-2.3474,-4.6503,"1.4668","-2.3504",-1.2778,"-4.0310","-13.7506",-2.0215,"-4.7772","-5.3840","-55.3396",0.9128,-9.4067,"-15.5151","-23.1737","-3.0649","-6.2044","-9.7167","3.2597",1.326,-0.6752,"0.0506","0.4903",-2.13,-4.8058,-7.1758,"4.2086","-0.8574",2.0865,5.5577,"4.5802",-2.1331,5.2165,4.3611,"3.0300",-1.9625,"6.1640",9.7697,18.8009,1.4009,"3.4626","5.3498","9.1626",1.2283,3.3077,5.7505,"9.8080",1.2674,4.0744,6.8406,"11.9451"
"267","000719.SZ","传媒",NA,NA,NA,NA,NA,NA,NA,12.6622,NA,NA,NA,11.09,NA,NA,NA,13.6736,NA,7.5328,NA,14.0442,NA,6.5563,NA,10.8275,NA,3.3451,NA,12.1026,NA,4.2872,NA,11.5725,NA,5.7097,NA,8.2952,0.3294,1.6562,"2.2696","6.6343","0.1430",0.8091,1.1802,"3.3002",0.8101,"0.8932","0.9180",0.3037,0.127,-3.628,-17.5106,"-51.2941","-6.1473",-19.1792,"-39.6145","-385.6340",NA,"","","",NA,NA,"","","","","","",NA,NA,"","200.0000",0,6.2826,15.3891,"18.7888","2.7971",4.8093,7.6817,"12.1207",2.4617,6.6952,12.8471,"15.2590",1.89,"7.3747",11.5005,16.923,1.4136,"5.9031","8.3074","12.0512",1.5696,5.1185,7.3115,"10.5502",1.3525,4.8062,6.8619,"10.0156"
