"","证券代码","申万一级行业","净资产收益率ROE.平均...报告期..1993一季..单位...","净资产收益率ROE.平均...报告期..1993中报..单位...","净资产收益率ROE.平均...报告期..1993三季..单位...","净资产收益率ROE.平均...报告期..1993年报..单位...","净资产收益率ROE.平均...报告期..1994一季..单位...","净资产收益率ROE.平均...报告期..1994中报..单位...","净资产收益率ROE.平均...报告期..1994三季..单位...","净资产收益率ROE.平均...报告期..1994年报..单位...","净资产收益率ROE.平均...报告期..1995一季..单位...","净资产收益率ROE.平均...报告期..1995中报..单位...","净资产收益率ROE.平均...报告期..1995三季..单位...","净资产收益率ROE.平均...报告期..1995年报..单位...","净资产收益率ROE.平均...报告期..1996一季..单位...","净资产收益率ROE.平均...报告期..1996中报..单位...","净资产收益率ROE.平均...报告期..1996三季..单位...","净资产收益率ROE.平均...报告期..1996年报..单位...","净资产收益率ROE.平均...报告期..1997一季..单位...","净资产收益率ROE.平均...报告期..1997中报..单位...","净资产收益率ROE.平均...报告期..1997三季..单位...","净资产收益率ROE.平均...报告期..1997年报..单位...","净资产收益率ROE.平均...报告期..1998一季..单位...","净资产收益率ROE.平均...报告期..1998中报..单位...","净资产收益率ROE.平均...报告期..1998三季..单位...","净资产收益率ROE.平均...报告期..1998年报..单位...","净资产收益率ROE.平均...报告期..1999一季..单位...","净资产收益率ROE.平均...报告期..1999中报..单位...","净资产收益率ROE.平均...报告期..1999三季..单位...","净资产收益率ROE.平均...报告期..1999年报..单位...","净资产收益率ROE.平均...报告期..2000一季..单位...","净资产收益率ROE.平均...报告期..2000中报..单位...","净资产收益率ROE.平均...报告期..2000三季..单位...","净资产收益率ROE.平均...报告期..2000年报..单位...","净资产收益率ROE.平均...报告期..2001一季..单位...","净资产收益率ROE.平均...报告期..2001中报..单位...","净资产收益率ROE.平均...报告期..2001三季..单位...","净资产收益率ROE.平均...报告期..2001年报..单位...","净资产收益率ROE.平均...报告期..2002一季..单位...","净资产收益率ROE.平均...报告期..2002中报..单位...","净资产收益率ROE.平均...报告期..2002三季..单位...","净资产收益率ROE.平均...报告期..2002年报..单位...","净资产收益率ROE.平均...报告期..2003一季..单位...","净资产收益率ROE.平均...报告期..2003中报..单位...","净资产收益率ROE.平均...报告期..2003三季..单位...","净资产收益率ROE.平均...报告期..2003年报..单位...","净资产收益率ROE.平均...报告期..2004一季..单位...","净资产收益率ROE.平均...报告期..2004中报..单位...","净资产收益率ROE.平均...报告期..2004三季..单位...","净资产收益率ROE.平均...报告期..2004年报..单位...","净资产收益率ROE.平均...报告期..2005一季..单位...","净资产收益率ROE.平均...报告期..2005中报..单位...","净资产收益率ROE.平均...报告期..2005三季..单位...","净资产收益率ROE.平均...报告期..2005年报..单位...","净资产收益率ROE.平均...报告期..2006一季..单位...","净资产收益率ROE.平均...报告期..2006中报..单位...","净资产收益率ROE.平均...报告期..2006三季..单位...","净资产收益率ROE.平均...报告期..2006年报..单位...","净资产收益率ROE.平均...报告期..2007一季..单位...","净资产收益率ROE.平均...报告期..2007中报..单位...","净资产收益率ROE.平均...报告期..2007三季..单位...","净资产收益率ROE.平均...报告期..2007年报..单位...","净资产收益率ROE.平均...报告期..2008一季..单位...","净资产收益率ROE.平均...报告期..2008中报..单位...","净资产收益率ROE.平均...报告期..2008三季..单位...","净资产收益率ROE.平均...报告期..2008年报..单位...","净资产收益率ROE.平均...报告期..2009一季..单位...","净资产收益率ROE.平均...报告期..2009中报..单位...","净资产收益率ROE.平均...报告期..2009三季..单位...","净资产收益率ROE.平均...报告期..2009年报..单位...","净资产收益率ROE.平均...报告期..2010一季..单位...","净资产收益率ROE.平均...报告期..2010中报..单位...","净资产收益率ROE.平均...报告期..2010三季..单位...","净资产收益率ROE.平均...报告期..2010年报..单位...","净资产收益率ROE.平均...报告期..2011一季..单位...","净资产收益率ROE.平均...报告期..2011中报..单位...","净资产收益率ROE.平均...报告期..2011三季..单位...","净资产收益率ROE.平均...报告期..2011年报..单位...","净资产收益率ROE.平均...报告期..2012一季..单位...","净资产收益率ROE.平均...报告期..2012中报..单位...","净资产收益率ROE.平均...报告期..2012三季..单位...","净资产收益率ROE.平均...报告期..2012年报..单位...","净资产收益率ROE.平均...报告期..2013一季..单位...","净资产收益率ROE.平均...报告期..2013中报..单位...","净资产收益率ROE.平均...报告期..2013三季..单位...","净资产收益率ROE.平均...报告期..2013年报..单位...","净资产收益率ROE.平均...报告期..2014一季..单位...","净资产收益率ROE.平均...报告期..2014中报..单位...","净资产收益率ROE.平均...报告期..2014三季..单位...","净资产收益率ROE.平均...报告期..2014年报..单位...","净资产收益率ROE.平均...报告期..2015一季..单位...","净资产收益率ROE.平均...报告期..2015中报..单位...","净资产收益率ROE.平均...报告期..2015三季..单位...","净资产收益率ROE.平均...报告期..2015年报..单位...","净资产收益率ROE.平均...报告期..2016一季..单位...","净资产收益率ROE.平均...报告期..2016中报..单位...","净资产收益率ROE.平均...报告期..2016三季..单位...","净资产收益率ROE.平均...报告期..2016年报..单位...","净资产收益率ROE.平均...报告期..2017一季..单位...","净资产收益率ROE.平均...报告期..2017中报..单位...","净资产收益率ROE.平均...报告期..2017三季..单位...","净资产收益率ROE.平均...报告期..2017年报..单位..."
"4","000005.SZ","公用事业",NA,NA,NA,NA,NA,17.9633,NA,21.1806,NA,4.6139,NA,11.3146,NA,4.5086,NA,9.6166,NA,-12.6223,NA,22.5861,NA,7.7268,NA,18.0095,NA,10.6762,NA,12.4477,NA,0.307,NA,0.1151,NA,0.0307,NA,-6.9962,-0.3978,-2.3442,"-2.7547","-8.1442","-1.5136",-1.4016,-1.1781,"0.2281",0.1002,"0.1142","0.1417",0.1862,-0.755,-1.7121,-2.8886,"-23.2434","8.6395",9.1084,"9.7860","-9.5068",5.4885,"9.8390","11.9805","11.8497",0.2991,0.7244,"1.3554","1.3896","0.5043","-0.2883","-1.5711","-6.7274",-0.9862,-2.3054,"-3.8508","-0.6426",-0.9252,3.901,1.9834,"1.7097","-1.8699",-4.534,-2.0494,"3.2818",-1.3633,-3.3474,-4.3439,"-6.4829",-1.4006,"-4.1234",-5.2495,6.6716,-1.2118,"-3.5234","-4.5565","-6.0755",-0.5941,10.475,11.0044,"8.9385",-0.7938,-1.3942,-1.2722,"1.1753"
"23","000027.SZ","公用事业",NA,NA,NA,13.5245,NA,7.8439,NA,15.749,NA,8.241,NA,16.6276,NA,10.6306,NA,18.6405,NA,12.102,NA,17.2859,NA,7.3668,NA,17.5938,NA,11.1411,NA,18.1053,NA,10.8212,NA,16.8746,NA,9.1833,NA,15.4422,3.8769,11.872,"16.5408","18.4638","3.1186",7.653,13.9084,"22.3528",4.3624,"9.1624","14.1954",16.7353,3.3978,7.1407,10.5413,"17.2072","2.9438",6.8709,"11.3082","20.6845",2.9394,"6.0871","9.3518","15.9708",2.3709,4.5032,"8.0430","9.1827","1.6187","8.9195","14.5185","16.4147",3.237,6.6869,"10.0420","10.4741",2.0161,4.9468,7.0081,"7.9528","1.5485",3.8272,5.7008,"6.5031",1.5153,4.1529,6.9891,"9.2295",2.4849,"6.2699",9.199,11.955,2.0321,"5.1540","8.2426","9.0830",0.9471,3.9965,6.2048,"6.2192",0.5184,1.8666,3.6666,"3.4894"
"30","000035.SZ","公用事业",NA,NA,NA,13.0628,NA,5.97,NA,8.6239,NA,1.038,NA,-5.9117,NA,-2.7593,NA,-24.5784,NA,0.4957,NA,10.7317,NA,3.7183,NA,11.9318,NA,-6.4389,NA,20.4964,NA,8.4627,NA,19.8602,NA,7.1341,NA,25.1261,8.2108,14.8676,"16.0996","29.1058","4.0610",10.3479,7.8316,"16.1738",3.8551,"4.8995","-12.2478",NA,NA,NA,NA,"","",NA,"","",NA,"","","",NA,NA,"","","","","","",NA,NA,"","",NA,NA,NA,"","",NA,NA,"",NA,NA,NA,"",-13.4444,"12.5020",12.6781,21.4132,2.1744,"4.0279","7.1870","13.1428",1.935,3.8156,7.0464,"10.8220",1.0989,3.4353,5.6147,"8.7462"
"32","000037.SZ","公用事业",NA,NA,NA,NA,NA,12.2576,NA,21.2495,NA,0.2966,NA,8.2699,NA,4.3311,NA,13.0153,NA,10.2856,NA,17.4518,NA,6.7437,NA,13.918,NA,7.8288,NA,19.7402,NA,8.8259,NA,22.1545,NA,11.4448,NA,25.0027,7.351,14.9074,"22.1785","37.4634","6.6507",13.3161,23.2819,"35.7916",4.8988,"11.3187","19.6137",26.1735,3.7426,1.5707,-0.9913,"1.8150","0.4137",-2.6478,"-3.0085","4.0571",0.0619,"1.6022","2.5784","7.1311",2.2484,1.7477,"1.6184","0.6154","-0.7067","3.3799","9.0396","4.0943",-5.8441,-14.832,"-8.8356","-6.3988",-4.7077,-5.0109,-8.615,"1.0048","-3.9787",-6.2181,-12.07,"-12.3827",-4.2419,-6.7774,-13.5668,"3.3714",-3.3129,"-4.8130",-5.7308,-23.0195,-7.2123,"-8.4102","-5.8964","-66.5730",-7.5519,-9.2886,-10.6236,"101.3444",-1.4198,-1.1716,-0.111,"0.8153"
"35","000040.SZ","公用事业",NA,NA,NA,NA,NA,8.4629,NA,21.2392,NA,8.0656,NA,12.9429,NA,3.3323,NA,11.6645,NA,4.7708,NA,11.6968,NA,3.2079,NA,6.8851,NA,5.0409,NA,11.4202,NA,0.5009,NA,0.97,NA,-1.3726,NA,-11.0801,-2.3715,-4.7499,"-5.8869","-26.2951","4.2987",4.9128,5.0393,"2.2214",1.1476,"1.6164","2.3130",3.349,-1.2518,-1.7863,-2.9093,"1.8174","-1.7889",0.4148,"1.0392","-0.5809",-0.4762,"10.0315","10.3895","7.6976",-2.0226,-2.9775,"-5.9600","-12.5909","-1.1295","-3.2612","-2.4241","7.4556",1.2306,3.7663,"5.9345","10.8604",11.2785,12.7729,13.8913,"15.0071","5.2880",12.1004,12.3859,"17.8689",2.8175,5.7951,7.3057,"8.4541",0.2715,"0.6540",1.1396,4.2007,0.5101,"1.6122","2.4609","4.7830",2.2271,1.3204,2.1432,"2.8541",0.3284,1.3737,2.9091,"4.8472"
"53","000068.SZ","公用事业",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,87.73,NA,NA,NA,43.3775,NA,7.6727,NA,15.827,NA,-1.281,NA,-6.5444,NA,0.1037,NA,0.3998,NA,2.6062,NA,10.0187,NA,5.6067,NA,6.2732,1.7349,4.2096,"6.9140","7.8744","1.6898",3.863,6.4012,"10.5412",1.6502,"5.4195","9.2366",14.2106,3.5518,5.3844,2.4425,"1.9691","-1.3412",0.1665,"0.3894","2.4358",-4.1351,"-8.4071","-10.4399","-9.6757",0.2967,0.7369,"0.9076","1.0964","-30.5593","-68.4615","-101.9896","-185.4409",-8.2746,-17.0116,"-23.6046","15.9406",-5.1195,-9.8978,-15.4815,"-16.5257","3.0733",-0.9379,-5.0478,"1.3770",-3.8655,-7.9073,-12.4934,"-17.3509",-6.2841,"-15.7468",-25.027,-76.5033,-3.1569,"-6.4532","-6.4113","1.9967",-2.1368,-3.9132,-5.2135,"1.6109",-2.3846,-2.591,-1.3253,"5.0900"
"72","000301.SZ","公用事业",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12.6767,NA,NA,NA,18.5087,NA,NA,NA,14.1021,NA,8.9118,NA,16.801,NA,4.1112,NA,12.6356,NA,4.4664,NA,8.4257,1.4324,3.4399,"4.9632","6.3309","1.5899",3.3077,4.6099,"5.9346",1.1129,"2.1137","2.6879",-3.3514,0.2455,1.0621,2.3892,"2.2450","0.8315",3.5859,"5.5090","9.3427",1.8215,"3.8248","6.0396","6.3346",1.9261,4.9358,"6.3524","7.2156","1.0577","2.6014","3.2148","3.7366",2.8223,3.0765,"3.8741","3.0750",0.5731,2.4047,3.7627,"4.4627","1.1924",3.2253,5.3765,"6.0733",2.0169,4.5651,10.1669,"11.6832",1.5023,"3.3823",5.1965,7.4018,1.1648,"2.8366","4.3145","5.2588",1.138,2.739,4.485,"4.4039",0.1102,4.1273,5.6821,"6.4823"
"80","000407.SZ","公用事业",NA,NA,NA,NA,NA,NA,NA,22.7056,NA,NA,NA,24.2564,NA,14.4238,NA,21.7504,NA,8.7341,NA,14.2327,NA,7.0905,NA,14.2076,NA,8.5199,NA,15.7981,NA,3.8848,NA,8.7928,NA,2.8109,NA,6.216,0.4123,2.2009,"2.6984","3.4557","0.1574",2.3868,4.0409,"5.3851",0.2219,"1.3695","2.8414",3.1278,0.2934,2.5222,3.3482,"3.7827","0.3049",3.2064,"4.3729","6.9967",0.5085,"3.2254","3.6938","3.5386",0.952,4.5579,"19.6729","26.2200","0.7765","1.8895","14.4336","22.4716",0.477,1.5046,"1.6040","22.2149",0.4161,0.9095,0.7362,"0.5856","0.2293",0.1768,-2.0703,"-12.0525",0.3699,0.3276,8.6789,"1.8642",0.9331,"1.1966",3.2925,2.5501,0.4592,"0.9667","1.1841","1.6142",2.9252,0.8702,0.923,"-14.9567",1.1376,1.9911,3.7312,"2.9032"
"92","000421.SZ","公用事业",NA,NA,NA,NA,NA,NA,NA,16.632,NA,NA,NA,16.4633,NA,12.1054,NA,19.1408,NA,11.1227,NA,19.7074,NA,6.9087,NA,13.4193,NA,4.0019,NA,7.7689,NA,1.9889,NA,6.4901,NA,2.3233,NA,6.4619,0.9726,2.6898,"4.3298","6.7943","1.0192",1.8139,3.2171,"7.2097",0.7543,"1.9712","2.0845",3.2697,0.946,-19.8344,-23.2425,"-29.4072","0.4532",10.7758,"10.5362","19.1663",2.0715,"20.1654","21.8428","18.7899",0.4263,11.2467,"14.2332","9.3217","0.3572","6.5649","8.6715","8.3431",-5.1995,3.6922,"1.4580","8.1427",-2.1001,5.748,3.2553,"10.9752","3.2784",8.9833,9.8097,"11.0439",1.9234,3.5622,5.4873,"7.2427",3.6391,"11.3932",11.4949,15.6966,5.1939,"5.9261","7.5765","13.3226",2.7698,5.1133,5.5718,"8.2238",1.9391,2.7881,3.7439,"6.0984"
"126","000531.SZ","公用事业",NA,4.9756,NA,11.6782,NA,6.7381,NA,15.6025,NA,7.1866,NA,9.884,NA,4.5353,NA,9.4954,NA,4.7583,NA,10.9887,NA,4.7254,NA,11.8973,NA,4.4342,NA,12.5967,NA,5.0445,NA,10.6328,NA,5.3749,NA,11.3208,3.116,7.1706,"9.3986","12.8041","3.7086",9.7369,14.3928,"20.5981",3.6956,"8.3394","13.3646",19.2527,3.2734,8.0157,11.4109,"14.4011","4.0586",8.5101,"13.9252","16.6738",4.2024,"-6.1014","-0.1659","1.2407",1.3985,1.5679,"-6.1117","-7.4168","5.1070","16.7301","25.8849","30.7684",2.9595,7.2773,"11.7017","13.3149",1.3444,2.387,3.9614,"4.6074","3.3500",7.4977,10.2498,"13.7359",2.8029,6.5309,10.6926,"14.4500",4.2437,"13.2261",18.4462,22.8149,3.6063,"8.5407","11.1175","13.3766",2.9691,6.4738,11.6279,"15.2517",2.1911,2.9037,3.8104,"4.7050"
