"","证券代码","申万一级行业","净资产收益率ROE.平均...报告期..1993一季..单位...","净资产收益率ROE.平均...报告期..1993中报..单位...","净资产收益率ROE.平均...报告期..1993三季..单位...","净资产收益率ROE.平均...报告期..1993年报..单位...","净资产收益率ROE.平均...报告期..1994一季..单位...","净资产收益率ROE.平均...报告期..1994中报..单位...","净资产收益率ROE.平均...报告期..1994三季..单位...","净资产收益率ROE.平均...报告期..1994年报..单位...","净资产收益率ROE.平均...报告期..1995一季..单位...","净资产收益率ROE.平均...报告期..1995中报..单位...","净资产收益率ROE.平均...报告期..1995三季..单位...","净资产收益率ROE.平均...报告期..1995年报..单位...","净资产收益率ROE.平均...报告期..1996一季..单位...","净资产收益率ROE.平均...报告期..1996中报..单位...","净资产收益率ROE.平均...报告期..1996三季..单位...","净资产收益率ROE.平均...报告期..1996年报..单位...","净资产收益率ROE.平均...报告期..1997一季..单位...","净资产收益率ROE.平均...报告期..1997中报..单位...","净资产收益率ROE.平均...报告期..1997三季..单位...","净资产收益率ROE.平均...报告期..1997年报..单位...","净资产收益率ROE.平均...报告期..1998一季..单位...","净资产收益率ROE.平均...报告期..1998中报..单位...","净资产收益率ROE.平均...报告期..1998三季..单位...","净资产收益率ROE.平均...报告期..1998年报..单位...","净资产收益率ROE.平均...报告期..1999一季..单位...","净资产收益率ROE.平均...报告期..1999中报..单位...","净资产收益率ROE.平均...报告期..1999三季..单位...","净资产收益率ROE.平均...报告期..1999年报..单位...","净资产收益率ROE.平均...报告期..2000一季..单位...","净资产收益率ROE.平均...报告期..2000中报..单位...","净资产收益率ROE.平均...报告期..2000三季..单位...","净资产收益率ROE.平均...报告期..2000年报..单位...","净资产收益率ROE.平均...报告期..2001一季..单位...","净资产收益率ROE.平均...报告期..2001中报..单位...","净资产收益率ROE.平均...报告期..2001三季..单位...","净资产收益率ROE.平均...报告期..2001年报..单位...","净资产收益率ROE.平均...报告期..2002一季..单位...","净资产收益率ROE.平均...报告期..2002中报..单位...","净资产收益率ROE.平均...报告期..2002三季..单位...","净资产收益率ROE.平均...报告期..2002年报..单位...","净资产收益率ROE.平均...报告期..2003一季..单位...","净资产收益率ROE.平均...报告期..2003中报..单位...","净资产收益率ROE.平均...报告期..2003三季..单位...","净资产收益率ROE.平均...报告期..2003年报..单位...","净资产收益率ROE.平均...报告期..2004一季..单位...","净资产收益率ROE.平均...报告期..2004中报..单位...","净资产收益率ROE.平均...报告期..2004三季..单位...","净资产收益率ROE.平均...报告期..2004年报..单位...","净资产收益率ROE.平均...报告期..2005一季..单位...","净资产收益率ROE.平均...报告期..2005中报..单位...","净资产收益率ROE.平均...报告期..2005三季..单位...","净资产收益率ROE.平均...报告期..2005年报..单位...","净资产收益率ROE.平均...报告期..2006一季..单位...","净资产收益率ROE.平均...报告期..2006中报..单位...","净资产收益率ROE.平均...报告期..2006三季..单位...","净资产收益率ROE.平均...报告期..2006年报..单位...","净资产收益率ROE.平均...报告期..2007一季..单位...","净资产收益率ROE.平均...报告期..2007中报..单位...","净资产收益率ROE.平均...报告期..2007三季..单位...","净资产收益率ROE.平均...报告期..2007年报..单位...","净资产收益率ROE.平均...报告期..2008一季..单位...","净资产收益率ROE.平均...报告期..2008中报..单位...","净资产收益率ROE.平均...报告期..2008三季..单位...","净资产收益率ROE.平均...报告期..2008年报..单位...","净资产收益率ROE.平均...报告期..2009一季..单位...","净资产收益率ROE.平均...报告期..2009中报..单位...","净资产收益率ROE.平均...报告期..2009三季..单位...","净资产收益率ROE.平均...报告期..2009年报..单位...","净资产收益率ROE.平均...报告期..2010一季..单位...","净资产收益率ROE.平均...报告期..2010中报..单位...","净资产收益率ROE.平均...报告期..2010三季..单位...","净资产收益率ROE.平均...报告期..2010年报..单位...","净资产收益率ROE.平均...报告期..2011一季..单位...","净资产收益率ROE.平均...报告期..2011中报..单位...","净资产收益率ROE.平均...报告期..2011三季..单位...","净资产收益率ROE.平均...报告期..2011年报..单位...","净资产收益率ROE.平均...报告期..2012一季..单位...","净资产收益率ROE.平均...报告期..2012中报..单位...","净资产收益率ROE.平均...报告期..2012三季..单位...","净资产收益率ROE.平均...报告期..2012年报..单位...","净资产收益率ROE.平均...报告期..2013一季..单位...","净资产收益率ROE.平均...报告期..2013中报..单位...","净资产收益率ROE.平均...报告期..2013三季..单位...","净资产收益率ROE.平均...报告期..2013年报..单位...","净资产收益率ROE.平均...报告期..2014一季..单位...","净资产收益率ROE.平均...报告期..2014中报..单位...","净资产收益率ROE.平均...报告期..2014三季..单位...","净资产收益率ROE.平均...报告期..2014年报..单位...","净资产收益率ROE.平均...报告期..2015一季..单位...","净资产收益率ROE.平均...报告期..2015中报..单位...","净资产收益率ROE.平均...报告期..2015三季..单位...","净资产收益率ROE.平均...报告期..2015年报..单位...","净资产收益率ROE.平均...报告期..2016一季..单位...","净资产收益率ROE.平均...报告期..2016中报..单位...","净资产收益率ROE.平均...报告期..2016三季..单位...","净资产收益率ROE.平均...报告期..2016年报..单位...","净资产收益率ROE.平均...报告期..2017一季..单位...","净资产收益率ROE.平均...报告期..2017中报..单位...","净资产收益率ROE.平均...报告期..2017三季..单位...","净资产收益率ROE.平均...报告期..2017年报..单位..."
"46","000059.SZ","化工",NA,NA,NA,NA,NA,NA,NA,122.8192,NA,NA,NA,127.4218,NA,NA,NA,69.1391,NA,17.1447,NA,24.1292,NA,4.6168,NA,1.6847,NA,1.1875,NA,6.4875,NA,0.1249,NA,0.1548,NA,0.1047,NA,0.1733,0.2154,0.7606,"0.1781","-4.5078","0.2283",0.2119,0.1899,"0.3758",1.5659,"4.5146","9.0527",10.1426,4.5361,8.0712,13.3028,"15.6017","1.3696",3.9088,"4.2682","5.8589",5.1847,"9.1246","10.4387","6.4563",2.26,4.0477,"6.3764","6.5810","1.6214","3.5140","4.0004","3.2047",1.4893,3.424,"-0.2790","6.4509",6.0153,6.8766,7.7745,"11.9792","2.2684",-1.0471,-7.8648,"0.2651",-1.1277,-4.5456,-7.4839,"-2.1411",-4.5178,"-11.2323",-14.9783,-18.3813,-1.6784,"2.6332","0.7620","3.6329",5.0718,9.7145,12.4123,"18.4822",4.1162,7.6021,11.0689,"16.1678"
"60","000096.SZ","化工",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.5624,NA,NA,NA,12.5367,NA,8.9359,NA,10.9845,NA,4.3105,NA,9.3494,1.9954,4.2465,"6.2185","11.4773","1.8514",4.6071,8.8121,"12.8363",2.0827,"7.9120","10.8577",12.555,1.2356,5.7799,5.3348,"5.6431","0.6958",7.826,"8.2383","10.2535",0.5286,"12.3774","13.0121","16.4656",0.8293,6.0559,"6.4842","8.5236","0.4266","3.9518","6.7284","6.9561",-1.0505,1.9906,"3.4455","5.1225",-0.2842,2.6964,1.8377,"5.2988","-0.5439",1.7665,1.1931,"1.1184",-0.3639,1.4895,0.9995,"3.6834",0.9241,"3.7106",4.0175,2.257,7.1662,"9.5902","10.7157","7.6137",0.4041,4.0231,5.1193,"13.6838",1.6268,4.1856,5.1844,"6.4445"
"70","000159.SZ","化工",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14.4437,NA,NA,NA,19.673,NA,8.7291,NA,7.2808,NA,0.3834,1.3104,4.3308,0.2253,0.4435,"-7.1923","0.3126","0.1536",0.2952,0.0827,"0.7714",0.3332,"0.3862","0.4502",0.3353,-0.6229,2.1251,2.3557,"0.8597","1.0413",-2.8428,"1.1362","-0.2539",0.9036,"2.7092","7.1726","11.5539",2.1683,9.1721,"15.1788","18.0977","1.6873","6.2924","8.6885","13.8451",0.8675,4.6986,"7.5235","45.0263",1.0125,3.82,8.3561,"17.5431","1.3439",2.1835,0.9921,"4.8932",1.2192,1.5991,2.9478,"1.7202",0.6649,"0.3409",3.0943,6.105,-0.5169,"2.3210","-1.9547","2.5880",-1.138,-0.7182,0.5353,"1.6180",-0.8987,-2.797,-2.473,"-3.1039"
"81","000408.SZ","化工",NA,NA,NA,NA,NA,NA,NA,15.0175,NA,NA,NA,18.0081,NA,7.865,NA,15.4365,NA,9.2845,NA,11.4938,NA,3.9429,NA,13.2296,NA,0.8779,NA,11.5425,NA,4.3573,NA,6.7505,NA,1.6874,NA,4.164,0.3304,0.8387,"0.9059","2.3473","0.1016",0.5353,0.7157,"1.6263",0.1472,"-0.0878","0.3606",-8.0083,0.2751,0.7373,0.447,"-26.1101","-3.2848",-2.732,"-1.6372","4.1306",0.4646,"1.6480","2.6578","1.0500",0.2833,-8.759,"-11.1882","-33.1186","-3.3806","-18.8283","-15.4953","-79.1931",-6.8518,-13.1717,"7.9582","24.0427",1.3642,4.7243,6.7512,"4.4951","0.6646",4.5838,4.509,"2.7114",0.7354,2.7387,2.2995,"9.8026",0.2154,"1.9654",-22.7901,-33.8404,0.407,"-3.1371","-4.9247","-56.2211",0.3831,64.135,16.7443,"30.2215",0.4852,5.1628,11.3022,"19.4411"
"91","000420.SZ","化工",NA,NA,NA,NA,NA,NA,NA,25.5155,NA,NA,NA,29.0908,NA,8.3269,NA,11.8099,NA,0.8661,NA,10.3517,NA,4.6354,NA,11.6323,NA,4.441,NA,10.6764,NA,3.6352,NA,4.6263,NA,3e-04,NA,-8.7454,0.2867,1.5508,"1.5873","0.7733","0.2563",1.674,2.5691,"4.8366",2.1765,"3.2776","4.5234",6.236,0.8724,2.5264,2.8168,"2.6628","-0.7846",-0.8623,"0.0042","1.8883",1.3708,"6.5499","9.0152","6.5997",-1.3902,-5.9791,"-14.5867","-33.6265","-4.8018","-9.1885","-5.1038","1.9937",-2.4406,-5.2449,"-10.0301","-9.2796",2.2176,1.0689,-20.385,"-44.5111","-3.4212",-6.5656,-11.4609,"1.9304",-8.774,-24.4254,-41.3895,"-123.5799",72.4658,"66.7312",58.1921,3.6735,-4.0777,"0.5572","0.8508","1.4676",0.2632,0.4152,1.2195,"1.7698",1.244,2.0974,3.0219,"3.1193"
"93","000422.SZ","化工",NA,NA,NA,NA,NA,NA,NA,18.4606,NA,NA,NA,22.014,4.519,12.4254,NA,22.4529,NA,11.7639,NA,20.5949,NA,13.9405,NA,25.0087,NA,10.1042,NA,13.323,NA,2.837,NA,6.446,NA,3.5173,NA,5.7675,1.3044,4.3517,"6.3224","6.5416","1.5081",4.2029,6.1388,"8.1439",1.9964,"6.5737","11.5688",11.8215,2.8677,6.4415,10.1219,"13.9642","3.5361",7.5063,"10.7949","16.1435",4.3447,"11.3524","16.2712","23.7901",9.1871,19.0282,"21.2080","13.1374","2.6635","5.4882","8.6357","11.4260",7.57,14.2,"18.8934","23.3871",5.0914,15.4535,24.3087,"20.5433","3.5769",8.6646,11.4076,"15.2230",1.6894,3.3157,3.7751,"1.1086",0.7676,"0.5305",0.2973,0.507,0.1699,"0.3909","0.5261","0.5517",0.1938,0.2333,0.2666,"-19.9608",1.0967,1.4172,-23.8012,"-158.0127"
"110","000510.SZ","化工",NA,NA,NA,18.0128,NA,8.4383,NA,15.8357,NA,8.8163,NA,14.9708,NA,9.9457,NA,19.2778,NA,7.678,NA,12.6826,NA,0.4853,NA,-17.8456,NA,-2.1014,NA,0.3725,NA,2.4812,NA,14.9906,NA,8.8922,NA,14.7921,3.0643,8.0751,"11.3777","13.7005","3.9637",6.7597,10.1746,"12.7239",4.1312,"7.1837","11.4456",12.9001,2.9402,4.5726,7.2741,"7.7128","1.0487",3.2308,"4.6530","6.4393",1.4587,"4.2093","5.9974","7.0150",1.4727,-4.1768,"-1.6024","-5.5914","-4.1038","-5.0392","-4.3664","0.5138",0.8342,1.9146,"2.7666","7.1912",-1.3813,-1.0833,-1.7699,"-10.5992","-5.9489",-8.6864,-8.9589,"1.5282",-5.8099,-7.738,-10.3684,"-17.9147",-3.7914,"-6.5624",-9.7971,-18.221,-7.4248,"-10.3516","-12.7053","1.8976",0.1875,1.1005,2.3893,"7.4903",3.2006,4.403,4.8468,"8.1519"
"119","000523.SZ","化工",NA,15.1317,NA,19.3739,NA,10.7416,NA,18.0228,NA,6.6364,NA,13.9062,NA,5.4753,NA,8.5819,NA,2.3699,NA,6.5413,NA,2.2927,NA,4.532,NA,2.3954,NA,3.7424,NA,1.3214,NA,0.4509,0.3058,0.3965,NA,0.8963,-1.4955,-2.0237,"-2.0610","-25.9226","0.1685",0.3973,0.4809,"0.5676",0.1489,"0.5817","0.6311",0.7738,0.3313,0.9041,1.1983,"3.2162","0.5561",1.0669,"2.1386","2.0444",0.6019,"1.1687","1.8602","1.8197",0.8032,0.963,"1.5272","1.1812","0.4185","1.0132","1.5694","2.0811",0.3946,1.2964,"1.8064","3.2066",0.3194,1.1663,2.1343,"3.0883","0.3112",1.0977,1.7191,"2.3212",0.3054,1.0901,1.7762,"3.0947",0.3846,"1.2485",2.3917,4.1622,0.4482,"1.2691","2.6500","2.9494",0.3628,0.87,1.4304,"2.7297",0.4169,0.9561,1.2603,"2.2029"
"121","000525.SZ","化工",NA,NA,NA,14.1769,NA,1.2457,NA,2.4312,NA,-3.3784,NA,0.351,NA,0.4586,NA,2.4565,NA,-0.6345,NA,11.4482,NA,0.3897,NA,11.0855,NA,20.6883,NA,25.4833,NA,16.3475,NA,12.4115,NA,12.4787,NA,14.3761,1.1824,8.2545,"10.2965","9.0315","0.4475",5.9644,8.3157,"8.7201",1.6324,"7.1158","8.2635",8.3537,1.2532,5.2232,7.0824,"5.6386","1.1209",5.327,"5.5831","4.7443",0.3262,"4.2709","4.9700","3.0119",0.2537,4.6174,"4.7119","1.7571","0.1666","2.4223","2.5176","0.5888",0.1241,0.4823,"0.1745","-1.9475",0.1135,0.322,0.0852,"4.1172","2.2361",5.0066,7.6003,"10.0595",2.1633,5.2754,8.3914,"11.6110",3.7053,"8.1376",11.1212,11.8953,2.0984,"4.5640","5.6738","4.7270",0.63,1.3303,0.9054,"2.9161",3.2608,7.1001,10.556,"13.7187"
"138","000545.SZ","化工",NA,4.0302,NA,10.538,NA,NA,NA,9.0801,NA,3.3931,NA,6.1357,NA,1.7886,NA,2.3262,NA,0.2089,NA,0.2209,NA,0.8523,NA,0.8076,NA,-12.5244,NA,-41.5517,NA,-1.1645,NA,3.0076,NA,1.667,NA,-6.8515,-1.0328,-1.9302,"-2.3920","2.2527","0.0482",0.125,1.1101,"4.9018",0.2762,"0.5582","1.1849",8.1988,-1.5198,-5.9346,-21.9503,"-124.0726","-28.9428",-52.3206,"-86.6314","-175.5045",137.511,"60.7468","63.3853","162.9590",14.2829,17.1056,"18.7788","14.7117","-6.3056","-69.8463","-155.7877","-95.2775",-14.8636,-26.7244,"-25.3841","",NA,NA,NA,"","",NA,NA,"",NA,12.3491,19.2526,"26.7071",1.0733,"2.7923",4.44,3.507,0.6976,"3.9298","5.6598","7.7412",0.8822,1.9051,2.6904,"6.5864",2.7854,5.0265,6.7517,"8.4889"
