"","证券代码","申万一级行业","净资产收益率ROE.平均...报告期..1993一季..单位...","净资产收益率ROE.平均...报告期..1993中报..单位...","净资产收益率ROE.平均...报告期..1993三季..单位...","净资产收益率ROE.平均...报告期..1993年报..单位...","净资产收益率ROE.平均...报告期..1994一季..单位...","净资产收益率ROE.平均...报告期..1994中报..单位...","净资产收益率ROE.平均...报告期..1994三季..单位...","净资产收益率ROE.平均...报告期..1994年报..单位...","净资产收益率ROE.平均...报告期..1995一季..单位...","净资产收益率ROE.平均...报告期..1995中报..单位...","净资产收益率ROE.平均...报告期..1995三季..单位...","净资产收益率ROE.平均...报告期..1995年报..单位...","净资产收益率ROE.平均...报告期..1996一季..单位...","净资产收益率ROE.平均...报告期..1996中报..单位...","净资产收益率ROE.平均...报告期..1996三季..单位...","净资产收益率ROE.平均...报告期..1996年报..单位...","净资产收益率ROE.平均...报告期..1997一季..单位...","净资产收益率ROE.平均...报告期..1997中报..单位...","净资产收益率ROE.平均...报告期..1997三季..单位...","净资产收益率ROE.平均...报告期..1997年报..单位...","净资产收益率ROE.平均...报告期..1998一季..单位...","净资产收益率ROE.平均...报告期..1998中报..单位...","净资产收益率ROE.平均...报告期..1998三季..单位...","净资产收益率ROE.平均...报告期..1998年报..单位...","净资产收益率ROE.平均...报告期..1999一季..单位...","净资产收益率ROE.平均...报告期..1999中报..单位...","净资产收益率ROE.平均...报告期..1999三季..单位...","净资产收益率ROE.平均...报告期..1999年报..单位...","净资产收益率ROE.平均...报告期..2000一季..单位...","净资产收益率ROE.平均...报告期..2000中报..单位...","净资产收益率ROE.平均...报告期..2000三季..单位...","净资产收益率ROE.平均...报告期..2000年报..单位...","净资产收益率ROE.平均...报告期..2001一季..单位...","净资产收益率ROE.平均...报告期..2001中报..单位...","净资产收益率ROE.平均...报告期..2001三季..单位...","净资产收益率ROE.平均...报告期..2001年报..单位...","净资产收益率ROE.平均...报告期..2002一季..单位...","净资产收益率ROE.平均...报告期..2002中报..单位...","净资产收益率ROE.平均...报告期..2002三季..单位...","净资产收益率ROE.平均...报告期..2002年报..单位...","净资产收益率ROE.平均...报告期..2003一季..单位...","净资产收益率ROE.平均...报告期..2003中报..单位...","净资产收益率ROE.平均...报告期..2003三季..单位...","净资产收益率ROE.平均...报告期..2003年报..单位...","净资产收益率ROE.平均...报告期..2004一季..单位...","净资产收益率ROE.平均...报告期..2004中报..单位...","净资产收益率ROE.平均...报告期..2004三季..单位...","净资产收益率ROE.平均...报告期..2004年报..单位...","净资产收益率ROE.平均...报告期..2005一季..单位...","净资产收益率ROE.平均...报告期..2005中报..单位...","净资产收益率ROE.平均...报告期..2005三季..单位...","净资产收益率ROE.平均...报告期..2005年报..单位...","净资产收益率ROE.平均...报告期..2006一季..单位...","净资产收益率ROE.平均...报告期..2006中报..单位...","净资产收益率ROE.平均...报告期..2006三季..单位...","净资产收益率ROE.平均...报告期..2006年报..单位...","净资产收益率ROE.平均...报告期..2007一季..单位...","净资产收益率ROE.平均...报告期..2007中报..单位...","净资产收益率ROE.平均...报告期..2007三季..单位...","净资产收益率ROE.平均...报告期..2007年报..单位...","净资产收益率ROE.平均...报告期..2008一季..单位...","净资产收益率ROE.平均...报告期..2008中报..单位...","净资产收益率ROE.平均...报告期..2008三季..单位...","净资产收益率ROE.平均...报告期..2008年报..单位...","净资产收益率ROE.平均...报告期..2009一季..单位...","净资产收益率ROE.平均...报告期..2009中报..单位...","净资产收益率ROE.平均...报告期..2009三季..单位...","净资产收益率ROE.平均...报告期..2009年报..单位...","净资产收益率ROE.平均...报告期..2010一季..单位...","净资产收益率ROE.平均...报告期..2010中报..单位...","净资产收益率ROE.平均...报告期..2010三季..单位...","净资产收益率ROE.平均...报告期..2010年报..单位...","净资产收益率ROE.平均...报告期..2011一季..单位...","净资产收益率ROE.平均...报告期..2011中报..单位...","净资产收益率ROE.平均...报告期..2011三季..单位...","净资产收益率ROE.平均...报告期..2011年报..单位...","净资产收益率ROE.平均...报告期..2012一季..单位...","净资产收益率ROE.平均...报告期..2012中报..单位...","净资产收益率ROE.平均...报告期..2012三季..单位...","净资产收益率ROE.平均...报告期..2012年报..单位...","净资产收益率ROE.平均...报告期..2013一季..单位...","净资产收益率ROE.平均...报告期..2013中报..单位...","净资产收益率ROE.平均...报告期..2013三季..单位...","净资产收益率ROE.平均...报告期..2013年报..单位...","净资产收益率ROE.平均...报告期..2014一季..单位...","净资产收益率ROE.平均...报告期..2014中报..单位...","净资产收益率ROE.平均...报告期..2014三季..单位...","净资产收益率ROE.平均...报告期..2014年报..单位...","净资产收益率ROE.平均...报告期..2015一季..单位...","净资产收益率ROE.平均...报告期..2015中报..单位...","净资产收益率ROE.平均...报告期..2015三季..单位...","净资产收益率ROE.平均...报告期..2015年报..单位...","净资产收益率ROE.平均...报告期..2016一季..单位...","净资产收益率ROE.平均...报告期..2016中报..单位...","净资产收益率ROE.平均...报告期..2016三季..单位...","净资产收益率ROE.平均...报告期..2016年报..单位...","净资产收益率ROE.平均...报告期..2017一季..单位...","净资产收益率ROE.平均...报告期..2017中报..单位...","净资产收益率ROE.平均...报告期..2017三季..单位...","净资产收益率ROE.平均...报告期..2017年报..单位..."
"45","000058.SZ","商业贸易",NA,NA,NA,NA,NA,NA,NA,46.4842,NA,NA,NA,34.2151,NA,17.4173,NA,25.49,NA,8.8272,NA,24.6593,NA,7.0098,NA,11.8299,NA,5.3669,NA,10.595,NA,0.8674,NA,0.8535,NA,1.4117,NA,-24.1805,1.2716,3.5488,"5.9524","8.4814","1.7794",3.4128,5.3233,"12.8277",0.8653,"3.2953","5.5763",7.3074,0.4473,-0.337,-3.9667,"-9.6260","-1.8946",-3.0738,"-3.7314","-5.2907",-3.8957,"-8.9640","-12.0127","5.0822",1.3129,2.2503,"3.1117","3.7796","-6.9145","-12.0021","-14.7736","-26.9809",1.5301,2.6001,"3.4611","5.6407",1.0813,2.4,2.5146,"6.1695","1.4309",2.7061,3.8542,"3.8825",1.699,3.2641,4.5928,"4.4433",1.7797,"2.9665",3.658,3.7957,1.6301,"2.5527","3.0769","5.3525",1.1925,1.8187,2.8482,"7.1154",1.8978,2.9928,4.163,"12.6711"
"48","000061.SZ","商业贸易",NA,NA,NA,NA,NA,NA,NA,37.0059,NA,NA,NA,26.1582,NA,NA,NA,26.7439,NA,9.4981,NA,24.0677,NA,12.1613,NA,15.6634,NA,7.0202,NA,13.6899,NA,10.1352,NA,12.059,NA,4.8155,NA,9.0896,1.6236,11.2505,"12.6320","14.4767","1.4199",2.9606,4.0417,"5.4826",1.0094,"1.8577","1.9083",0.753,0.6515,1.1104,1.9428,"1.3370","0.6378",-0.4315,"0.2448","3.9667",0.8405,"2.7323","4.0254","10.8815",2.5617,3.233,"3.9202","2.3522","1.0762","4.7570","5.3993","2.9749",1.1855,10.1617,"10.7526","9.2878",0.5545,4.9761,6.6057,"6.5713","1.3441",2.8264,3.4435,"1.4932",0.2689,0.9226,1.485,"2.7624",-0.2341,"0.6298",1.2329,1.7295,-0.1124,"0.9107","0.9512","0.4238",0.0851,0.6761,4.3755,"1.8323",0.1029,0.2105,0.0558,"0.2878"
"64","000151.SZ","商业贸易",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,33.0031,NA,NA,NA,29.6463,NA,NA,NA,12.7308,NA,5.3516,NA,11.3126,0.9589,3.7558,"4.4961","6.0674","1.1631",2.3448,3.4035,"4.9845",0.1648,"2.1802","3.5616",5.9974,0.2231,2.7877,4.3641,"5.3613","0.2308",3.4976,"4.8800","5.5097",0.1799,"7.5550","7.7036","4.5596",0.3775,1.9839,"1.7836","4.7730","0.7258","1.7294","2.4798","3.2375",0.8441,1.1914,"1.5000","0.8983",1.964,1.2274,0.6737,"-1.2738","1.4383",0.8996,2.0478,"4.9898",1.9801,4.1138,6.8496,"9.9530",2.6278,"8.6988",13.1498,11.525,2.3693,"7.2692","8.7547","13.4291",2.3556,5.5771,7.6114,"10.0875",2.1921,5.321,6.6843,"8.8159"
"66","000155.SZ","商业贸易",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19.224,NA,NA,NA,20.0113,NA,7.7056,NA,10.4237,NA,2.5032,NA,4.0777,-0.2991,2.435,"4.0137","4.3071","2.1056",4.6483,6.9592,"5.8163",-0.5088,"-4.6729","-4.2888",0.2106,1.095,5.9449,14.3512,"15.2292","3.1375",9.2755,"8.1247","8.2710",-0.7373,"0.5273","4.4142","8.0939",3.4963,6.4965,"9.3159","7.8881","3.7719","4.1366","4.7461","4.6783",-1.8212,-0.6132,"-2.7541","-12.5080",0.4401,-3.6533,-5.195,"-14.6902","-8.5521",-11.0784,-9.6937,"0.8419",-6.1729,-12.3514,-19.2676,"-60.4729",-17.7046,"-38.7137",-65.1835,NA,NA,"","","",NA,NA,NA,"121.4152",0.8889,2.8386,6.0142,"11.0667"
"88","000417.SZ","商业贸易",NA,NA,NA,NA,NA,NA,NA,26.1119,NA,NA,NA,26.5233,7.7564,13.3219,NA,17.3155,NA,6.5489,NA,11.7682,NA,2.386,NA,12.5996,NA,4.3801,NA,10.4761,NA,4.0832,NA,10.0689,NA,4.5717,NA,8.2475,1.2255,2.6898,"3.1685","4.1612","1.2339",1.7596,2.3782,"4.1238",1.8238,"2.2391","2.7617",4.6483,1.2296,2.1822,2.7018,"4.8795","1.4849",2.7208,"3.5417","6.7323",3.0647,"4.8948","6.9550","13.0780",3.1509,5.4523,"8.9132","14.3070","4.5381","8.7108","14.3981","21.1128",6.0017,10.5452,"17.3452","24.9586",16.3454,16.9718,21.8232,"28.2045","6.1455",9.939,13.7266,"16.4360",5.5576,8.8476,12.69,"15.3871",4.6429,"7.3661",9.3116,11.6527,3.2854,"5.3649","6.6096","7.9124",2.8057,5.3824,6.689,"8.1437",3.0928,4.9043,6.954,"5.8935"
"90","000419.SZ","商业贸易",NA,NA,NA,NA,NA,NA,NA,46.6529,NA,NA,NA,28.9246,NA,14.175,NA,24.9496,NA,15.1408,NA,21.5298,NA,12.1933,NA,17.3266,NA,8.0837,NA,11.488,NA,3.5441,NA,7.8901,NA,2.9197,NA,3.4751,1.4446,1.9377,"2.1404","3.8606","1.3418",1.5016,1.8007,"3.9286",1.2553,"1.4654","1.8780",3.8484,1.131,1.5325,2.171,"5.5422","0.9298",1.5238,"2.2859","8.0726",1.8878,"2.5139","4.0420","7.6922",1.5366,2.7409,"3.7924","5.2508","1.4887","3.9295","5.1372","7.4816",3.1836,6.5449,"8.7987","13.1231",3.85,5.8255,7.8732,"17.6676","2.1658",4.8077,6.9469,"9.4512",2.1312,5.1404,6.8305,"8.7979",1.98,"4.0998",4.9167,7.8753,2.0082,"4.4309","5.1503","5.5266",1.8074,3.9769,4.4068,"5.3955",1.6102,4.0362,4.8187,"6.4692"
"102","000501.SZ","商业贸易",NA,NA,NA,20.5864,NA,8.2754,NA,15.7294,NA,4.604,NA,9.0291,NA,2.9325,NA,12.4924,NA,4.7581,NA,11.5049,NA,3.967,NA,3.1483,NA,3.0701,NA,2.5255,NA,3.0639,NA,2.4369,NA,1.3498,NA,-9.1787,0.4762,0.5114,"0.5364","0.3142","0.1579",0.4458,0.0158,"0.2023",0.9834,"1.3387","0.0335",-7.6102,3.0697,3.874,4.4159,"1.2517","3.4129",4.6458,"5.5080","5.1849",3.9777,"5.4619","5.6750","15.3676",5.0716,6.7162,"9.6886","15.2250","5.7339","10.1145","12.6814","17.7372",6.9483,11.5004,"13.9080","18.7696",7.4302,12.0978,14.8622,"17.6670","6.7857",11.1918,13.8191,"18.0024",6.408,10.4863,13.1259,"17.4650",7.1903,"11.9851",15.4456,20.4505,7.1045,"11.8362","14.7290","20.8006",5.4725,10.6831,14.3087,"19.4758",4.6016,10.4382,13.6194,"18.7633"
"113","000516.SZ","商业贸易",NA,3.009,NA,16.714,NA,4.6007,NA,6.673,NA,1.6992,NA,2.6671,NA,1.6336,NA,5.1032,NA,10.1239,NA,15.0399,NA,7.2308,NA,13.2247,NA,5.384,NA,12.8109,NA,7.8378,NA,14.1179,NA,6.7344,NA,10.6229,2.1337,3.7183,"6.0272","10.0733","2.7153",3.3949,6.6097,"10.7737",2.4704,"3.6888","4.1572",7.328,2.5998,4.1062,5.5897,"9.1234","3.1484",5.1777,"6.7492","9.9867",3.5582,"6.7829","11.0234","15.9635",4.0159,5.0057,"7.6947","10.4300","3.4485","6.1963","9.8117","9.9957",2.4753,10.1627,"12.2172","15.1630",3.9635,7.8941,9.5735,"11.6380","4.6834",8.1208,8.943,"9.6070",3.7604,7.4987,8.5981,"9.8290",5.0385,"10.3926",14.5077,24.38,5.9316,"6.5261","7.2573","9.8061",1.6111,3.9488,5.719,"5.9212",1.8828,3.4611,5.1367,"5.5829"
"151","000560.SZ","商业贸易",NA,NA,NA,17.2423,NA,5.7344,NA,12.3317,NA,2.9828,NA,7.0461,NA,2.0836,NA,4.6296,NA,1.8376,NA,3.9688,NA,0.2046,NA,0.3132,NA,-4.5387,NA,0.5089,NA,-9.0321,NA,-37.2945,NA,-11.0672,NA,-153.6077,-92.2843,-253.8242,"-1,552.1368","","",NA,NA,"",NA,"","",NA,NA,NA,NA,"","",NA,"","",58.2113,"68.1108","75.3291","151.8755",6.3792,1.8521,"-1.3100","12.6098","1.8987","2.2319","2.9594","7.3415",2.0061,2.4591,"2.5631","4.9013",1.2286,2.019,2.5737,"10.5796","1.1490",2.8052,3.6064,"10.4805",1.0556,1.1276,1.0338,"7.1608",4.4783,"5.0570",4.6174,6.1002,0.2008,"0.1798","0.5622","1.2396",0.4415,0.9746,1.6432,"2.1082",0.3845,0.6773,1.2241,"1.2631"
"154","000564.SZ","商业贸易",NA,6.6062,NA,13.5715,NA,8.5149,NA,16.4566,NA,5.9284,NA,10.5486,NA,5.5685,NA,11.2672,NA,2.2937,NA,1.0604,NA,0.3496,NA,0.3893,NA,0.3183,NA,2.5128,NA,1.5493,NA,6.4976,NA,4.8759,NA,6.203,0.0601,1.2509,"1.9933","2.3566","0.3968",2.1878,3.1794,"4.2587",0.8589,"2.3819","2.5079",2.6379,0.7806,1.4968,2.7005,"2.8750","1.1146",1.9518,"2.5849","4.5004",1.5876,"2.5452","3.1450","3.8335",1.5279,2.1346,"2.8884","9.2023","1.9370","3.7266","5.8214","7.3211",3.0078,4.1183,"6.7243","7.9868",2.9807,4.1699,6.6436,"7.4354","2.8372",4.367,4.3964,"4.9711",1.4864,2.1481,3.2968,"3.6179",1.5092,"2.1526",3.2278,3.5862,1.3944,"2.1257","2.1749","2.1050",0.9951,1.4273,0.1648,"2.6565",0.4784,1.1917,3.5603,"4.8544"
