"","证券代码","申万一级行业","净资产收益率ROE.平均...报告期..1993一季..单位...","净资产收益率ROE.平均...报告期..1993中报..单位...","净资产收益率ROE.平均...报告期..1993三季..单位...","净资产收益率ROE.平均...报告期..1993年报..单位...","净资产收益率ROE.平均...报告期..1994一季..单位...","净资产收益率ROE.平均...报告期..1994中报..单位...","净资产收益率ROE.平均...报告期..1994三季..单位...","净资产收益率ROE.平均...报告期..1994年报..单位...","净资产收益率ROE.平均...报告期..1995一季..单位...","净资产收益率ROE.平均...报告期..1995中报..单位...","净资产收益率ROE.平均...报告期..1995三季..单位...","净资产收益率ROE.平均...报告期..1995年报..单位...","净资产收益率ROE.平均...报告期..1996一季..单位...","净资产收益率ROE.平均...报告期..1996中报..单位...","净资产收益率ROE.平均...报告期..1996三季..单位...","净资产收益率ROE.平均...报告期..1996年报..单位...","净资产收益率ROE.平均...报告期..1997一季..单位...","净资产收益率ROE.平均...报告期..1997中报..单位...","净资产收益率ROE.平均...报告期..1997三季..单位...","净资产收益率ROE.平均...报告期..1997年报..单位...","净资产收益率ROE.平均...报告期..1998一季..单位...","净资产收益率ROE.平均...报告期..1998中报..单位...","净资产收益率ROE.平均...报告期..1998三季..单位...","净资产收益率ROE.平均...报告期..1998年报..单位...","净资产收益率ROE.平均...报告期..1999一季..单位...","净资产收益率ROE.平均...报告期..1999中报..单位...","净资产收益率ROE.平均...报告期..1999三季..单位...","净资产收益率ROE.平均...报告期..1999年报..单位...","净资产收益率ROE.平均...报告期..2000一季..单位...","净资产收益率ROE.平均...报告期..2000中报..单位...","净资产收益率ROE.平均...报告期..2000三季..单位...","净资产收益率ROE.平均...报告期..2000年报..单位...","净资产收益率ROE.平均...报告期..2001一季..单位...","净资产收益率ROE.平均...报告期..2001中报..单位...","净资产收益率ROE.平均...报告期..2001三季..单位...","净资产收益率ROE.平均...报告期..2001年报..单位...","净资产收益率ROE.平均...报告期..2002一季..单位...","净资产收益率ROE.平均...报告期..2002中报..单位...","净资产收益率ROE.平均...报告期..2002三季..单位...","净资产收益率ROE.平均...报告期..2002年报..单位...","净资产收益率ROE.平均...报告期..2003一季..单位...","净资产收益率ROE.平均...报告期..2003中报..单位...","净资产收益率ROE.平均...报告期..2003三季..单位...","净资产收益率ROE.平均...报告期..2003年报..单位...","净资产收益率ROE.平均...报告期..2004一季..单位...","净资产收益率ROE.平均...报告期..2004中报..单位...","净资产收益率ROE.平均...报告期..2004三季..单位...","净资产收益率ROE.平均...报告期..2004年报..单位...","净资产收益率ROE.平均...报告期..2005一季..单位...","净资产收益率ROE.平均...报告期..2005中报..单位...","净资产收益率ROE.平均...报告期..2005三季..单位...","净资产收益率ROE.平均...报告期..2005年报..单位...","净资产收益率ROE.平均...报告期..2006一季..单位...","净资产收益率ROE.平均...报告期..2006中报..单位...","净资产收益率ROE.平均...报告期..2006三季..单位...","净资产收益率ROE.平均...报告期..2006年报..单位...","净资产收益率ROE.平均...报告期..2007一季..单位...","净资产收益率ROE.平均...报告期..2007中报..单位...","净资产收益率ROE.平均...报告期..2007三季..单位...","净资产收益率ROE.平均...报告期..2007年报..单位...","净资产收益率ROE.平均...报告期..2008一季..单位...","净资产收益率ROE.平均...报告期..2008中报..单位...","净资产收益率ROE.平均...报告期..2008三季..单位...","净资产收益率ROE.平均...报告期..2008年报..单位...","净资产收益率ROE.平均...报告期..2009一季..单位...","净资产收益率ROE.平均...报告期..2009中报..单位...","净资产收益率ROE.平均...报告期..2009三季..单位...","净资产收益率ROE.平均...报告期..2009年报..单位...","净资产收益率ROE.平均...报告期..2010一季..单位...","净资产收益率ROE.平均...报告期..2010中报..单位...","净资产收益率ROE.平均...报告期..2010三季..单位...","净资产收益率ROE.平均...报告期..2010年报..单位...","净资产收益率ROE.平均...报告期..2011一季..单位...","净资产收益率ROE.平均...报告期..2011中报..单位...","净资产收益率ROE.平均...报告期..2011三季..单位...","净资产收益率ROE.平均...报告期..2011年报..单位...","净资产收益率ROE.平均...报告期..2012一季..单位...","净资产收益率ROE.平均...报告期..2012中报..单位...","净资产收益率ROE.平均...报告期..2012三季..单位...","净资产收益率ROE.平均...报告期..2012年报..单位...","净资产收益率ROE.平均...报告期..2013一季..单位...","净资产收益率ROE.平均...报告期..2013中报..单位...","净资产收益率ROE.平均...报告期..2013三季..单位...","净资产收益率ROE.平均...报告期..2013年报..单位...","净资产收益率ROE.平均...报告期..2014一季..单位...","净资产收益率ROE.平均...报告期..2014中报..单位...","净资产收益率ROE.平均...报告期..2014三季..单位...","净资产收益率ROE.平均...报告期..2014年报..单位...","净资产收益率ROE.平均...报告期..2015一季..单位...","净资产收益率ROE.平均...报告期..2015中报..单位...","净资产收益率ROE.平均...报告期..2015三季..单位...","净资产收益率ROE.平均...报告期..2015年报..单位...","净资产收益率ROE.平均...报告期..2016一季..单位...","净资产收益率ROE.平均...报告期..2016中报..单位...","净资产收益率ROE.平均...报告期..2016三季..单位...","净资产收益率ROE.平均...报告期..2016年报..单位...","净资产收益率ROE.平均...报告期..2017一季..单位...","净资产收益率ROE.平均...报告期..2017中报..单位...","净资产收益率ROE.平均...报告期..2017三季..单位...","净资产收益率ROE.平均...报告期..2017年报..单位..."
"116","000519.SZ","国防军工",NA,9.3426,NA,22.8267,NA,5.1464,NA,6.6359,NA,1.3717,NA,2.3491,NA,0.6442,NA,0.9267,NA,0.2901,NA,10.887,NA,15.0591,NA,14.5927,NA,0.6588,NA,9.0542,NA,6.9271,NA,13.1458,NA,5.4328,NA,5.9868,0.5771,2.2143,"2.3376","2.4866","1.2292",2.5874,3.1867,"2.3410",0.5992,"1.2320","1.1896",-4.7951,-1.6041,-1.7806,-2.7791,"6.3635","4.2040",7.22,"7.6182","7.6521",0.1059,"1.0076","1.2498","2.6734",-1.2604,-3.3723,"-4.2725","-7.9349","-0.2297","0.9764","1.5673","1.0929",0.9705,0.3567,"0.4632","3.3275",0.2157,-0.8249,-1.3668,"-3.2072","-0.8726",0.9923,1.2915,"1.6649",-0.933,-1.6913,19.74,"19.3596",1.8544,"5.2100",7.1872,10.4778,1.3289,"3.5686","5.2054","6.0863",0.2399,0.708,1.1045,"2.3833",-0.2359,-0.0268,0.3597,"1.6141"
"140","000547.SZ","国防军工",NA,7.5886,NA,14.5543,NA,8.5586,NA,16.8321,NA,6.2011,NA,14.15,NA,5.7366,NA,11.3955,NA,5.1462,NA,10.4463,NA,0.4779,NA,0.9136,NA,8.6453,NA,17.3284,NA,0.0229,NA,9.4381,NA,3.7482,NA,5.1855,0.3106,0.2886,"0.3546","0.6012","0.4906",0.5336,0.5893,"1.7279",0.3062,"0.3315","0.6459",2.1139,2.4561,2.6107,0.8992,"-8.8716","0.3262",1.7932,"1.4766","2.9903",2.1401,"4.0072","4.2931","1.6774",0.4691,0.879,"1.8320","2.3079","0.5804","1.0458","1.6220","7.0619",0.4209,0.7521,"1.3058","2.1073",0.353,1.8495,4.3773,"7.7502","4.0243",5.4231,5.9491,"7.6456",3.081,4.557,6.7448,"8.4977",3.2796,"4.1586",5.4532,10.5753,3.0288,"6.6616","3.4544","5.4642",0.9223,1.712,2.8537,"4.6409",1.1845,2.2191,3.3944,"5.2125"
"283","000738.SZ","国防军工",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,82.1884,NA,NA,NA,26.7946,NA,7.0679,NA,21.1914,NA,3.0061,NA,10.8989,NA,2.53,NA,2.5662,NA,-5.7646,NA,-14.8516,NA,-14.1365,NA,-26.1974,-2.4911,-2.1726,"-1.1354","0.3356","0.0571",0.5341,0.8031,"0.8982",0.0747,"-1.1458","-3.3007",-39.8377,-1.4347,-3.2219,-5.1085,"-4.3761","0.3212",0.5373,"0.5100","2.6668",0.7747,"0.9793","1.1644","0.7382",0.1172,0.1193,"-10.4753","-12.2741","0.2970","0.9251","8.1423","10.9465",1.2291,2.4981,"3.5110","7.6021",0.8366,3.3621,5.6005,"7.5634","0.8686",3.2249,4.3827,"7.6375",0.8925,3.3125,3.5774,"5.7467",0.6133,"2.2535",3.4745,4.125,0.4897,"2.0904","3.2906","4.2154",0.6728,2.358,3.2995,"4.3150",0.7384,2.8665,3.6545,"4.3241"
"299","000768.SZ","国防军工",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,33.1438,NA,NA,NA,32.0091,NA,7.5785,NA,18.5992,NA,7.7107,NA,13.2571,NA,4.9988,NA,5.1493,NA,2.8437,NA,4.4803,NA,0.7229,NA,2.4096,0.7012,1.3003,"1.8589","2.3460","0.3829",0.8663,1.2861,"1.6684",0.2027,"0.6930","0.6581",1.1913,0.7036,1.3492,1.022,"2.0389","0.9425",2.0708,"2.5559","3.4682",1.2234,"2.7382","3.4340","4.4434",1.1392,2.5961,"4.5814","7.1523","-0.1549","-0.6072","0.1795","3.5203",0.0288,1.3908,"1.8741","3.7511",-0.2449,0.1486,0.3771,"1.1533","0.0986",0.5534,0.4354,"2.4122",-0.2614,0.6664,0.5766,"3.0449",-1.3082,"-0.6666",0.4016,2.9954,-1.6665,"-0.8938","-0.9182","2.9443",-0.392,0.5306,0.7783,"2.6987",-0.573,0.5967,0.8258,"3.0336"
"477","002013.SZ","国防军工",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","20.1560","",NA,NA,"17.7275",NA,"5.0717","5.4215",6.0241,0.4986,1.8755,3.8917,"4.8365","1.2821",4.3876,"5.5441","7.2750",1.3829,"5.2279","5.3680","7.2587",0.9917,3.3245,"4.0828","5.7259","0.1966","3.4855","5.6675","7.2424",1.9593,3.9456,"6.2517","7.8101",2.9894,4.6319,7.0111,"8.2243","2.4127",4.0374,6.0231,"16.7608",0.4398,5.0239,6.6406,"10.1308",-0.5712,"4.1388",5.2519,8.488,-1.552,"0.4280","3.9785","9.9339",-0.4939,2.2153,3.8776,"9.1979",0.0722,2.3853,3.959,"7.2243"
"487","002023.SZ","国防军工",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","29.0894","",NA,NA,"26.7537",NA,"10.2260","9.9934",13.1022,1.1188,4.5943,6.3152,"9.1937","1.1745",4.277,"5.6029","6.9024",1.4952,"4.5556","5.9850","7.8843",2.0867,3.6576,"5.0634","6.9624","2.1059","5.2611","6.7213","10.1485",1.6553,3.9534,"5.0965","7.6825",1.3816,3.069,4.0075,"6.2032","1.3175",3.2531,4.9435,"7.8467",1.6138,4.0144,6.128,"9.7888",1.8466,"4.5610",6.9182,9.8426,1.5089,"2.7722","1.8491","1.6011",0.621,1.5234,1.2485,"1.1769",0.2963,0.6382,1.2305,"0.9640"
"615","002151.SZ","国防军工",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","",NA,NA,"",NA,"","",22.2696,NA,NA,NA,"50.0286","",NA,"","45.6516",NA,"21.0112","15.6208","23.6666",3.1609,8.55,"12.3322","16.9821","3.3056","7.7197","9.9537","16.8035",2.1997,5.4094,"6.9724","8.6000",1.0936,3.0638,4.4723,"5.9589","-2.2588",0.2795,4.4558,"7.0108",-1.3718,-0.1832,2.7898,"6.2485",-1.202,"-0.9248",0.8555,3.2636,-1.008,"-2.3952","-1.1926","2.6543",-0.4272,0.3774,1.4994,"1.4867",0.0847,0.5953,1.7584,"2.4264"
"654","002190.SZ","国防军工",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","",NA,NA,"",NA,"","",21.9265,NA,NA,NA,"15.1064","",NA,"","15.4315",NA,"5.8496","9.6457","9.5573",0.669,3.5539,"4.6515","8.2537","0.9403","3.7850","5.2946","7.9981",1.1952,4.0238,"5.7652","9.1603",1.9763,2.2696,3.8771,"6.3453","0.0487",1.321,2.3121,"3.4715",0.7139,1.3017,1.3511,"2.8540",-0.4528,"-0.1522",0.3266,2.7944,0.572,"1.5704","2.7147","5.9303",0.6614,2.9988,5.1706,"8.0549",0.2784,0.1576,0.034,"-6.2085"
"760","002297.SZ","国防军工",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","",NA,NA,"",NA,"","",NA,NA,NA,NA,"10.3372","",NA,"","11.7284",NA,"","","15.0281",NA,6.0601,"","10.8873","","5.4286","4.4755","6.6052",1.1923,2.7803,"3.6168","4.7192",0.8259,2.8129,4.435,"6.3084","2.0432",3.6044,5.4688,"3.5550",0.2254,2.9272,2.1471,"-4.0782",-0.5367,"0.2031",0.2877,0.4605,-1.2265,"-2.5961","-4.4964","-12.7662",-0.7842,-1.7618,-2.2043,"0.4860",-0.2258,-0.7451,-1.3843,"-4.0030"
"876","002413.SZ","国防军工",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","",NA,NA,"",NA,"","",NA,NA,NA,NA,"","",NA,"","19.3421",NA,"","","25.6322",NA,NA,"","14.2020","","8.4555","","20.6519",4.7211,6.6305,"9.7556","11.8473",2.0504,5.2584,7.555,"8.5435","1.1862",2.7778,3.6908,"4.1179",0.791,1.5448,2.6238,"2.1374",0.8448,"1.9521",2.8073,2.7819,0.8679,"1.9733","3.2986","8.4369",1.0257,2.116,2.3164,"3.7709",0.7716,1.4551,2.1678,"3.4669"
