"","证券代码","申万一级行业","净资产收益率ROE.平均...报告期..1993一季..单位...","净资产收益率ROE.平均...报告期..1993中报..单位...","净资产收益率ROE.平均...报告期..1993三季..单位...","净资产收益率ROE.平均...报告期..1993年报..单位...","净资产收益率ROE.平均...报告期..1994一季..单位...","净资产收益率ROE.平均...报告期..1994中报..单位...","净资产收益率ROE.平均...报告期..1994三季..单位...","净资产收益率ROE.平均...报告期..1994年报..单位...","净资产收益率ROE.平均...报告期..1995一季..单位...","净资产收益率ROE.平均...报告期..1995中报..单位...","净资产收益率ROE.平均...报告期..1995三季..单位...","净资产收益率ROE.平均...报告期..1995年报..单位...","净资产收益率ROE.平均...报告期..1996一季..单位...","净资产收益率ROE.平均...报告期..1996中报..单位...","净资产收益率ROE.平均...报告期..1996三季..单位...","净资产收益率ROE.平均...报告期..1996年报..单位...","净资产收益率ROE.平均...报告期..1997一季..单位...","净资产收益率ROE.平均...报告期..1997中报..单位...","净资产收益率ROE.平均...报告期..1997三季..单位...","净资产收益率ROE.平均...报告期..1997年报..单位...","净资产收益率ROE.平均...报告期..1998一季..单位...","净资产收益率ROE.平均...报告期..1998中报..单位...","净资产收益率ROE.平均...报告期..1998三季..单位...","净资产收益率ROE.平均...报告期..1998年报..单位...","净资产收益率ROE.平均...报告期..1999一季..单位...","净资产收益率ROE.平均...报告期..1999中报..单位...","净资产收益率ROE.平均...报告期..1999三季..单位...","净资产收益率ROE.平均...报告期..1999年报..单位...","净资产收益率ROE.平均...报告期..2000一季..单位...","净资产收益率ROE.平均...报告期..2000中报..单位...","净资产收益率ROE.平均...报告期..2000三季..单位...","净资产收益率ROE.平均...报告期..2000年报..单位...","净资产收益率ROE.平均...报告期..2001一季..单位...","净资产收益率ROE.平均...报告期..2001中报..单位...","净资产收益率ROE.平均...报告期..2001三季..单位...","净资产收益率ROE.平均...报告期..2001年报..单位...","净资产收益率ROE.平均...报告期..2002一季..单位...","净资产收益率ROE.平均...报告期..2002中报..单位...","净资产收益率ROE.平均...报告期..2002三季..单位...","净资产收益率ROE.平均...报告期..2002年报..单位...","净资产收益率ROE.平均...报告期..2003一季..单位...","净资产收益率ROE.平均...报告期..2003中报..单位...","净资产收益率ROE.平均...报告期..2003三季..单位...","净资产收益率ROE.平均...报告期..2003年报..单位...","净资产收益率ROE.平均...报告期..2004一季..单位...","净资产收益率ROE.平均...报告期..2004中报..单位...","净资产收益率ROE.平均...报告期..2004三季..单位...","净资产收益率ROE.平均...报告期..2004年报..单位...","净资产收益率ROE.平均...报告期..2005一季..单位...","净资产收益率ROE.平均...报告期..2005中报..单位...","净资产收益率ROE.平均...报告期..2005三季..单位...","净资产收益率ROE.平均...报告期..2005年报..单位...","净资产收益率ROE.平均...报告期..2006一季..单位...","净资产收益率ROE.平均...报告期..2006中报..单位...","净资产收益率ROE.平均...报告期..2006三季..单位...","净资产收益率ROE.平均...报告期..2006年报..单位...","净资产收益率ROE.平均...报告期..2007一季..单位...","净资产收益率ROE.平均...报告期..2007中报..单位...","净资产收益率ROE.平均...报告期..2007三季..单位...","净资产收益率ROE.平均...报告期..2007年报..单位...","净资产收益率ROE.平均...报告期..2008一季..单位...","净资产收益率ROE.平均...报告期..2008中报..单位...","净资产收益率ROE.平均...报告期..2008三季..单位...","净资产收益率ROE.平均...报告期..2008年报..单位...","净资产收益率ROE.平均...报告期..2009一季..单位...","净资产收益率ROE.平均...报告期..2009中报..单位...","净资产收益率ROE.平均...报告期..2009三季..单位...","净资产收益率ROE.平均...报告期..2009年报..单位...","净资产收益率ROE.平均...报告期..2010一季..单位...","净资产收益率ROE.平均...报告期..2010中报..单位...","净资产收益率ROE.平均...报告期..2010三季..单位...","净资产收益率ROE.平均...报告期..2010年报..单位...","净资产收益率ROE.平均...报告期..2011一季..单位...","净资产收益率ROE.平均...报告期..2011中报..单位...","净资产收益率ROE.平均...报告期..2011三季..单位...","净资产收益率ROE.平均...报告期..2011年报..单位...","净资产收益率ROE.平均...报告期..2012一季..单位...","净资产收益率ROE.平均...报告期..2012中报..单位...","净资产收益率ROE.平均...报告期..2012三季..单位...","净资产收益率ROE.平均...报告期..2012年报..单位...","净资产收益率ROE.平均...报告期..2013一季..单位...","净资产收益率ROE.平均...报告期..2013中报..单位...","净资产收益率ROE.平均...报告期..2013三季..单位...","净资产收益率ROE.平均...报告期..2013年报..单位...","净资产收益率ROE.平均...报告期..2014一季..单位...","净资产收益率ROE.平均...报告期..2014中报..单位...","净资产收益率ROE.平均...报告期..2014三季..单位...","净资产收益率ROE.平均...报告期..2014年报..单位...","净资产收益率ROE.平均...报告期..2015一季..单位...","净资产收益率ROE.平均...报告期..2015中报..单位...","净资产收益率ROE.平均...报告期..2015三季..单位...","净资产收益率ROE.平均...报告期..2015年报..单位...","净资产收益率ROE.平均...报告期..2016一季..单位...","净资产收益率ROE.平均...报告期..2016中报..单位...","净资产收益率ROE.平均...报告期..2016三季..单位...","净资产收益率ROE.平均...报告期..2016年报..单位...","净资产收益率ROE.平均...报告期..2017一季..单位...","净资产收益率ROE.平均...报告期..2017中报..单位...","净资产收益率ROE.平均...报告期..2017三季..单位...","净资产收益率ROE.平均...报告期..2017年报..单位..."
"13","000016.SZ","家用电器",NA,NA,NA,48.0782,NA,19.6457,NA,34.258,NA,16.7591,NA,34.5001,NA,16.7877,NA,31.1453,NA,10.7417,NA,22.9248,NA,10.1333,NA,22.9542,NA,9.4642,NA,17.696,NA,3.4646,NA,6.3438,NA,-5.427,NA,-21.5031,0.5512,0.8307,"1.0225","1.2173","0.7047",1.0195,1.844,"3.3651",0.8103,"1.3816","1.8445",4.5051,0.6411,0.729,1.0878,"2.2450","0.7526",0.9211,"1.1899","2.9414",0.7764,"1.2649","1.6545","5.9938",1.324,2.2548,"5.1873","7.2909","1.0563","2.1138","2.7977","3.9358",0.9146,1.3058,"1.5677","2.1323",-1.9436,-5.013,-4.2041,"0.6237","0.2585",0.2862,0.4207,"1.1381",0.3516,0.9989,1.0241,"1.1118",0.2331,"1.1068",1.1668,1.286,0.1887,"-7.5167","-23.2222","-36.3355",0.299,0.456,-1.5935,"3.3476",0.9001,1.059,4.3341,"92.8267"
"62","000100.SZ","家用电器",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22.2545,NA,NA,"","24.3234","",14.5359,NA,"27.4114",6.5077,"9.9575","10.4774",6.3502,-6.183,-13.7669,-23.8531,"-6.1753","-2.6920",-16.4178,"-15.9089","-46.7130",0.4507,"1.4598","6.0180","12.1178",12.1373,11.3881,"12.6588","13.4346","0.3750","2.2222","3.4266","10.1356",1.2133,2.8997,"2.5523","5.5571",2.1447,5.1017,7.7394,"9.3900","0.3386",2.5148,4.2966,"6.9069",2.5239,5.1759,10.2132,"16.2770",5.1624,"9.4865",13.9683,19.6721,3.6152,"7.5968","9.7737","12.1072",1.0673,2.509,6.2026,"6.8212",1.9296,4.4534,8.049,"10.1478"
"73","000333.SZ","家用电器",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","",NA,NA,"",NA,"","",10.4295,NA,NA,NA,"18.0022","",NA,"","42.3040",NA,"29.9475","","47.1577",5.0845,17.9895,"21.0423","32.4591","7.3493","16.6844","18.1438","24.9325",4.9325,20.0623,"26.7951","38.8582",4.2764,12.897,16.47,"28.8705","5.0885",13.6896,19.4379,"24.2877",6.9056,16.9543,17.3695,"22.5503",7.4706,"19.2786",25.2425,29.0446,8.111,"19.4432","25.2711","28.6599",7.5825,18.169,23.8095,"26.6193",6.8728,16.9668,22.6654,"25.6312"
"79","000404.SZ","家用电器",NA,NA,NA,NA,NA,NA,NA,13.1792,NA,NA,NA,16.4955,NA,7.2779,NA,15.6494,NA,5.3165,NA,11.057,NA,4.8204,NA,10.5619,NA,3.8543,NA,7.4177,NA,3.4204,NA,7.2077,NA,0.6827,NA,0.1654,0.0269,0.1561,"0.1754","0.1726","-0.8711",-2.0535,-2.5624,"-20.5810",-2.4722,"-4.7727","-5.1027",1.4643,0.0113,-1.2929,-2.0321,"-31.0044","-2.5099",-3.1464,"-3.8383","2.1600",-1.3731,"-2.0097","-3.3840","1.9193",3.244,9.8835,"9.2585","6.0605","1.2222","9.7933","16.1285","17.8215",-0.0976,3.9488,"6.7098","3.5275",-0.98,2.7716,3.4393,"5.4297","0.8951",7.5651,12.9077,"16.3183",2.8902,7.9388,10.6169,"12.3618",2.8218,"7.0769",8.0626,9.4007,1.8575,"5.8179","8.5322","10.1445",2.2158,5.5405,7.8503,"10.7692",2.1295,4.4957,4.2719,"3.4719"
"89","000418.SZ","家用电器",NA,NA,NA,NA,NA,NA,NA,37.8649,NA,NA,NA,35.1131,NA,16.5705,NA,24.9116,NA,8.5852,NA,19.8727,NA,7.1508,NA,12.4986,NA,6.846,NA,11.1262,NA,5.7994,NA,9.6221,NA,4.3273,NA,1.3444,0.7239,0.8144,"1.1594","-26.0388","2.3995",4.8507,6.005,"3.0956",0.8966,"2.5481","2.7204",3.472,1.0447,1.6506,1.9607,"3.4713","0.9540",2.0025,"2.3704","2.8425",1.2317,"3.9005","15.3903","23.5046",2.0798,4.1444,"6.9543","2.5108","2.6784","4.0592","8.0383","12.8385",4.1319,8.6762,"13.1544","20.6425",4.3352,8.8584,13.0523,"13.9536","3.3876",6.2027,8.8168,"9.4955",2.9667,5.9695,8.6281,"10.8846",4.2753,"7.9587",12.6155,16.7496,5.3253,"9.5616","14.7882","19.2441",5.9903,11.0659,16.842,"21.1556",6.4325,11.9719,18.0621,"23.1206"
"118","000521.SZ","家用电器",NA,NA,NA,30.8414,NA,14.9787,NA,26.2278,NA,11.4215,NA,20.2337,NA,11.9825,NA,16.7761,NA,6.1367,NA,9.7415,NA,3.2057,NA,6.1008,NA,2.4369,NA,4.8991,NA,0.1606,NA,0.3973,NA,0.2531,NA,-29.0629,0.4147,0.4918,"0.8324","0.7859","0.2688",0.4811,0.7187,"-20.7487",1.0217,"1.7917","2.3746",1.9751,1.0731,1.9898,2.6512,"0.7773","0.4935",1.0129,"1.4801","0.9624",0.7511,"1.1893","1.5352","1.9166",0.7163,1.3944,"1.9691","2.6039","0.6397","2.7562","15.6629","25.2613",8.2059,15.8472,"21.0608","16.1243",1.3927,4.5374,4.7308,"3.8673","1.2300",3.8876,5.2896,"6.6827",1.3735,4.488,6.7497,"8.9228",1.5413,"4.8699",7.2914,8.9109,1.5933,"4.5576","4.6618","0.7785",1.5766,3.2228,4.8034,"5.1940",1.196,1.8028,2.348,"0.6401"
"128","000533.SZ","家用电器",NA,NA,NA,NA,NA,9.6537,NA,14.4019,NA,5.513,NA,5.6731,NA,2.2759,NA,1.2423,NA,0.4346,NA,10.7333,NA,5.6798,NA,10.8282,NA,5.0238,NA,11.5957,NA,4.2355,NA,1.7258,NA,0.8553,NA,-121.952,-17.6199,-31.0897,"-37.8918","-32.2926","1.0200",7.4533,15.4684,"40.7911",0.0332,"0.5373","0.5457",0.5822,0.0376,0.5219,-1.9283,"-28.2692","0.8170",5.3378,"6.3482","4.1546",3.8042,"9.9585","16.5202","23.6740",1.0957,5.0648,"7.3269","10.5228","1.3293","4.6345","11.9538","25.5107",17.723,19.9825,"20.2422","14.3412",0.5526,7.4619,7.7522,"7.1499","1.4765",3.7012,4.4911,"7.1796",1.0046,5.6388,7.2837,"15.9949",2.1973,"4.9837",7.0647,10.0777,3.9456,"6.6452","8.3949","9.2976",2.1576,3.2746,1.1614,"15.3534",0.2207,1.5157,1.5225,"2.4145"
"214","000651.SZ","家用电器",NA,NA,NA,NA,NA,NA,NA,39.4323,NA,NA,NA,60.9459,NA,34.6095,NA,43.8066,NA,22.8016,NA,34.2305,NA,19.0417,NA,27.1207,NA,15.8268,NA,22.7334,NA,10.4825,NA,19.0503,NA,9.731,NA,16.3205,3.3568,9.3756,"14.5829","16.6750","3.7609",9.6631,15.0629,"16.8317",3.5295,"9.9994","15.6081",18.2409,3.9732,10.8536,16.4984,"19.7402","4.4874",10.9436,"16.8278","22.9209",4.903,"13.7918","20.8054","28.4012",7.4642,16.7062,"23.3038","30.3266","7.2742","15.8183","24.3604","33.6597",6.2123,15.2968,"26.3440","36.7449",6.7853,15.7921,25.6552,"33.8857","5.9230",14.4261,25.2057,"33.2792",4.8733,14.7587,26.114,"35.4521",6.3214,"16.2515",26.4105,35.9563,6.0939,"13.4184","22.3440","27.3413",6.4345,13.8531,23.0893,"30.4205",7.1861,17.7808,27.4887,"37.5051"
"321","000801.SZ","家用电器",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21.4967,NA,NA,NA,26.1868,NA,11.6503,NA,21.2876,NA,6.1312,NA,26.8424,NA,7.549,NA,6.3576,NA,0.1327,NA,-22.5211,-3.7638,-10.1293,"-13.1435","-20.0144","-1.8371",-3.4069,-0.2026,"4.1313",1.3438,"0.5754","-2.4861",-25.7845,-1.3148,0.1835,0.6019,"6.4810","0.2562",1.9781,"2.2323","-9.2524",-0.5502,"1.1780","4.5194","21.7569",1.3417,1.5945,"2.7834","8.4343","-1.0134","-0.8167","-1.4763","1.0141",-2.439,4.5874,"6.0608","10.5565",1.3396,3.1912,5.1187,"7.0980","1.6736",4.1367,4.8301,"6.4601",0.9949,2.5141,3.6526,"5.2247",0.9806,"2.1751",3.3219,5.9049,0.7133,"3.8209","5.9342","11.6105",0.7007,2.7176,3.1376,"8.3403",0.058,-0.8214,-0.7022,"0.3112"
"327","000810.SZ","家用电器",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.867,NA,NA,NA,7.7127,NA,2.1387,NA,2.762,NA,-3.3639,NA,-8.5105,NA,6.8146,NA,27.8181,NA,4.1977,NA,6.8337,0.5345,4.2879,"5.9952","7.4774","3.0407",5.4986,6.6993,"7.5738",0.126,"2.8225","0.0573",0.9787,1.4988,6.539,10.1595,"12.4358","3.8619",8.4334,"11.9299","14.9451",3.1694,"7.1212","10.3084","12.2154",0.8869,3.3525,"4.7370","4.1631","0.0306","1.6587","3.3845","5.3100",3.4771,8.9494,"14.1988","18.5345",3.9917,7.986,10.0679,"11.2708","-0.4700",-0.5758,-1.6549,"0.7019",0.8534,1.5364,1.6421,"0.7527",-0.8975,"-2.3551",23.2796,31.1647,3.4274,"7.4641","11.1973","19.3695",6.5578,11.9131,15.0932,"19.6168",1.1511,2.0638,1.8515,"3.5273"
