"","证券代码","申万一级行业","净资产收益率ROE.平均...报告期..1993一季..单位...","净资产收益率ROE.平均...报告期..1993中报..单位...","净资产收益率ROE.平均...报告期..1993三季..单位...","净资产收益率ROE.平均...报告期..1993年报..单位...","净资产收益率ROE.平均...报告期..1994一季..单位...","净资产收益率ROE.平均...报告期..1994中报..单位...","净资产收益率ROE.平均...报告期..1994三季..单位...","净资产收益率ROE.平均...报告期..1994年报..单位...","净资产收益率ROE.平均...报告期..1995一季..单位...","净资产收益率ROE.平均...报告期..1995中报..单位...","净资产收益率ROE.平均...报告期..1995三季..单位...","净资产收益率ROE.平均...报告期..1995年报..单位...","净资产收益率ROE.平均...报告期..1996一季..单位...","净资产收益率ROE.平均...报告期..1996中报..单位...","净资产收益率ROE.平均...报告期..1996三季..单位...","净资产收益率ROE.平均...报告期..1996年报..单位...","净资产收益率ROE.平均...报告期..1997一季..单位...","净资产收益率ROE.平均...报告期..1997中报..单位...","净资产收益率ROE.平均...报告期..1997三季..单位...","净资产收益率ROE.平均...报告期..1997年报..单位...","净资产收益率ROE.平均...报告期..1998一季..单位...","净资产收益率ROE.平均...报告期..1998中报..单位...","净资产收益率ROE.平均...报告期..1998三季..单位...","净资产收益率ROE.平均...报告期..1998年报..单位...","净资产收益率ROE.平均...报告期..1999一季..单位...","净资产收益率ROE.平均...报告期..1999中报..单位...","净资产收益率ROE.平均...报告期..1999三季..单位...","净资产收益率ROE.平均...报告期..1999年报..单位...","净资产收益率ROE.平均...报告期..2000一季..单位...","净资产收益率ROE.平均...报告期..2000中报..单位...","净资产收益率ROE.平均...报告期..2000三季..单位...","净资产收益率ROE.平均...报告期..2000年报..单位...","净资产收益率ROE.平均...报告期..2001一季..单位...","净资产收益率ROE.平均...报告期..2001中报..单位...","净资产收益率ROE.平均...报告期..2001三季..单位...","净资产收益率ROE.平均...报告期..2001年报..单位...","净资产收益率ROE.平均...报告期..2002一季..单位...","净资产收益率ROE.平均...报告期..2002中报..单位...","净资产收益率ROE.平均...报告期..2002三季..单位...","净资产收益率ROE.平均...报告期..2002年报..单位...","净资产收益率ROE.平均...报告期..2003一季..单位...","净资产收益率ROE.平均...报告期..2003中报..单位...","净资产收益率ROE.平均...报告期..2003三季..单位...","净资产收益率ROE.平均...报告期..2003年报..单位...","净资产收益率ROE.平均...报告期..2004一季..单位...","净资产收益率ROE.平均...报告期..2004中报..单位...","净资产收益率ROE.平均...报告期..2004三季..单位...","净资产收益率ROE.平均...报告期..2004年报..单位...","净资产收益率ROE.平均...报告期..2005一季..单位...","净资产收益率ROE.平均...报告期..2005中报..单位...","净资产收益率ROE.平均...报告期..2005三季..单位...","净资产收益率ROE.平均...报告期..2005年报..单位...","净资产收益率ROE.平均...报告期..2006一季..单位...","净资产收益率ROE.平均...报告期..2006中报..单位...","净资产收益率ROE.平均...报告期..2006三季..单位...","净资产收益率ROE.平均...报告期..2006年报..单位...","净资产收益率ROE.平均...报告期..2007一季..单位...","净资产收益率ROE.平均...报告期..2007中报..单位...","净资产收益率ROE.平均...报告期..2007三季..单位...","净资产收益率ROE.平均...报告期..2007年报..单位...","净资产收益率ROE.平均...报告期..2008一季..单位...","净资产收益率ROE.平均...报告期..2008中报..单位...","净资产收益率ROE.平均...报告期..2008三季..单位...","净资产收益率ROE.平均...报告期..2008年报..单位...","净资产收益率ROE.平均...报告期..2009一季..单位...","净资产收益率ROE.平均...报告期..2009中报..单位...","净资产收益率ROE.平均...报告期..2009三季..单位...","净资产收益率ROE.平均...报告期..2009年报..单位...","净资产收益率ROE.平均...报告期..2010一季..单位...","净资产收益率ROE.平均...报告期..2010中报..单位...","净资产收益率ROE.平均...报告期..2010三季..单位...","净资产收益率ROE.平均...报告期..2010年报..单位...","净资产收益率ROE.平均...报告期..2011一季..单位...","净资产收益率ROE.平均...报告期..2011中报..单位...","净资产收益率ROE.平均...报告期..2011三季..单位...","净资产收益率ROE.平均...报告期..2011年报..单位...","净资产收益率ROE.平均...报告期..2012一季..单位...","净资产收益率ROE.平均...报告期..2012中报..单位...","净资产收益率ROE.平均...报告期..2012三季..单位...","净资产收益率ROE.平均...报告期..2012年报..单位...","净资产收益率ROE.平均...报告期..2013一季..单位...","净资产收益率ROE.平均...报告期..2013中报..单位...","净资产收益率ROE.平均...报告期..2013三季..单位...","净资产收益率ROE.平均...报告期..2013年报..单位...","净资产收益率ROE.平均...报告期..2014一季..单位...","净资产收益率ROE.平均...报告期..2014中报..单位...","净资产收益率ROE.平均...报告期..2014三季..单位...","净资产收益率ROE.平均...报告期..2014年报..单位...","净资产收益率ROE.平均...报告期..2015一季..单位...","净资产收益率ROE.平均...报告期..2015中报..单位...","净资产收益率ROE.平均...报告期..2015三季..单位...","净资产收益率ROE.平均...报告期..2015年报..单位...","净资产收益率ROE.平均...报告期..2016一季..单位...","净资产收益率ROE.平均...报告期..2016中报..单位...","净资产收益率ROE.平均...报告期..2016三季..单位...","净资产收益率ROE.平均...报告期..2016年报..单位...","净资产收益率ROE.平均...报告期..2017一季..单位...","净资产收益率ROE.平均...报告期..2017中报..单位...","净资产收益率ROE.平均...报告期..2017三季..单位...","净资产收益率ROE.平均...报告期..2017年报..单位..."
"11","000012.SZ","建筑材料",NA,NA,NA,26.3059,NA,10.0613,NA,18.6172,NA,8.3843,NA,14.1464,NA,6.6991,NA,13.2916,NA,3.6906,NA,6.3621,NA,1.0577,NA,0.8196,NA,0.6142,NA,-9.2296,NA,4.4866,NA,9.175,NA,4.3187,NA,8.2267,1.6351,4.3515,"6.7303","8.6999","1.9234",4.7035,7.9583,"10.1457",3.9003,"8.7267","12.7232",15.2689,2.2828,6.4664,10.4287,"13.1708","1.9779",6.1453,"10.1396","13.1199",2.06,"5.9917","11.4410","12.9975",4.8082,9.9628,"12.4321","9.8246","1.3484","5.6347","12.0385","16.8749",5.469,11.7077,"18.4707","24.8745",6.2978,12.9877,16.8596,"17.7231","1.7390",3.591,5.8143,"4.0029",1.568,5.1769,9.0015,"20.6663",1.5166,"7.3344",9.0419,10.6566,0.9763,"2.5937","4.9088","7.7021",2.5681,5.9892,9.0297,"10.1729",2.1549,4.9457,8.8026,"10.1477"
"20","000023.SZ","建筑材料",NA,NA,NA,NA,NA,11.0484,NA,21.2969,NA,6.6585,NA,7.0265,NA,-3.6445,NA,0.0306,NA,10.6116,NA,12.6274,NA,1.6972,NA,8.6484,NA,1.5997,NA,8.922,NA,3.5632,NA,6.7574,NA,0.4833,NA,-80.0109,-4.2313,1.1293,"1.6771","4.0014","-1.6104",-0.3528,0.1248,"2.7671",-1.3114,"-2.4286","-3.0929",6.2358,-1.3432,-0.4063,-2.518,"-12.3798","-3.7619",-2.596,"2.9969","11.3370",6.6274,"5.3085","2.8009","7.0429",-2.1651,1.087,"1.4802","7.1898","-2.2306","-0.5358","3.1866","8.1227",-3.7201,-0.9843,"3.2470","4.2449",0.6782,0.282,0.0884,"2.9048","-2.7852",-2.9637,-3.4494,"1.5522",-3.2222,2.782,3.8534,"4.3571",-0.8117,"0.8620",4.5132,4.8409,-0.5016,"2.9570","7.3025","7.1644",-0.1096,2.0177,2.1482,"2.5804",2.6827,4.866,8.4297,"7.6296"
"76","000401.SZ","建筑材料",NA,NA,NA,NA,NA,NA,NA,31.576,NA,NA,NA,26.6,NA,11.0124,NA,19.9008,NA,6.5452,NA,13.3185,NA,4.6204,NA,10.558,NA,3.4875,NA,8.0126,NA,3.5605,NA,6.5308,NA,2.6379,NA,7.4198,-0.3595,1.8004,"5.2305","6.7636","0.0362",2.7498,6.5064,"8.9463",0.6398,"3.1345","5.9122",7.4011,-0.4237,2.2066,4.3507,"5.9135","0.0266",3.5178,"6.8397","9.1948",-0.632,"6.0828","12.9262","14.5221",-0.7229,3.7155,"7.9903","10.3808","-0.2879","5.0774","11.8767","15.6009",0.4494,7.7875,"15.1602","18.9364",-0.1396,8.8499,16.1619,"15.6104","-2.0918",0.9708,2.0773,"1.5596",-3.5077,-1.4456,1.503,"2.9260",-3.6494,"-1.4912",0.1751,0.293,-5.2161,"1.6327","-5.2714","-15.6970",-8.3954,-9.7596,-4.6376,"0.5276",-3.7561,-1.1168,3.1448,"1.1003"
"109","000509.SZ","建筑材料",NA,NA,NA,22.231,NA,9.3381,NA,11.3786,NA,3.1404,NA,0.4318,NA,0.5547,NA,2.6096,NA,0.5388,NA,-16.0893,NA,0.0995,NA,23.0387,NA,8.1327,NA,8.0114,NA,6.6341,NA,8.5258,NA,7.4205,NA,3.6585,-0.5225,-3.0019,"-4.7879","-44.1743","-0.7736",0.8132,2.4646,"2.6230",1.0332,"2.2590","3.2791",-9.3508,1.1174,1.6447,1.8339,"-83.1767","-1.3297",5.2768,"1.0423","14.0659",-10.4097,"-26.6055","-33.7947","7.2698",1.491,-19.0531,"-99.2004","-154.1585","-92.2079","-104.5761","-104.2100","",NA,NA,"","",NA,NA,NA,"","",NA,NA,"",NA,NA,NA,"",1.3513,"-31.0988",11.8683,-73.1065,-31.5179,"-67.5702","-97.4259","32.0441",-15.9301,-52.3283,-78.9556,"-149.4454",-13.2146,-35.1506,-55.0707,"29.7502"
"139","000546.SZ","建筑材料",NA,NA,NA,NA,NA,7.1366,NA,13.1789,NA,3.2767,NA,5.8987,NA,0.0621,NA,11.7875,NA,1.4101,NA,10.9411,NA,0.1371,NA,-12.4655,NA,-5.0925,NA,-82.6484,NA,-25.2623,NA,NA,NA,NA,NA,NA,-55.0975,26.6247,"4.3888","15.6727","-56.0691",-135.8692,-152.9548,"15.7327",-5.4322,"-4.7954","-8.4528",0.6064,-6.2469,-8.5032,-10.7712,"4.7121","-0.0104",4.6326,"7.2165","12.5427",-2.1617,"-4.5076","-7.9924","5.9351",-3.4544,0.1333,"-1.4576","-12.9307","1.2225","12.7820","8.7625","16.1568",-1.2378,-1.91,"-3.2732","1.7933",10.1875,7.76,5.9465,"14.4421","10.3650",8.6764,7.3364,"3.4046",-2.0335,-3.8684,13.7095,"12.8083",-1.4063,"-3.4230",0.1494,14.349,-2.1733,"0.6996","9.7159","15.1410",-1.0746,4.1929,11.3152,"15.1791",-1.7664,3.9321,9.3385,"12.6100"
"195","000619.SZ","建筑材料",NA,NA,NA,NA,NA,NA,NA,79.5005,NA,NA,NA,59.0234,NA,NA,NA,15.5986,NA,2.497,NA,7.5504,NA,1.9523,NA,6.2,NA,1.1031,NA,6.3616,NA,28.8143,NA,46.1867,NA,24.5785,37.3795,58.5489,7.4992,13.4442,"18.8082","24.1962","2.6005",3.385,4.4976,"4.8386",0.4074,"1.2960","3.2532",4.4497,1.6698,5.4973,8.6747,"10.2311","1.5429",5.2176,"8.3557","9.6202",1.7179,"4.8224","6.4429","7.0391",0.9845,2.9934,"3.4572","4.4354","1.6880","6.9881","11.4383","12.7096",1.5839,5.1681,"7.2603","8.5642",0.2901,1.5695,2.2281,"4.5141","1.4030",4.4198,7.7735,"9.6150",0.8013,2.9415,5.2425,"6.2254",0.7441,"2.8060",4.4096,4.6602,0.3941,"1.8561","3.0982","3.9437",0.4317,2.3218,3.7048,"3.1024",-0.2819,0.0952,0.2023,"0.3678"
"230","000672.SZ","建筑材料",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.1026,NA,NA,NA,11.0228,NA,5.8674,NA,11.3616,NA,2.3094,NA,10.2036,NA,-5.5297,NA,12.9661,NA,4.4517,NA,9.4574,NA,2.3417,NA,4.4255,0.2785,1.024,"1.6054","-21.8956","-1.8924",-1.7932,-1.9782,"0.4869",0.0424,"0.0758","-1.4456",-57.5908,-2.066,0.223,0.2526,"-156.1837","-8.8678",0.9381,"-19.1842","-2,669.9624",NA,"","","",4.8159,-33.1632,"-91.2070","59.2998","-20.4442","-41.2175","-64.8264","23.8775",-18.4202,-33.5407,"-49.8135","23.2736",-11.0726,-19.5671,-28.4273,"13.1149","-8.0925",-12.1371,3.1143,"3.5388",9.2359,5.8421,12.3129,"35.1020",7.5258,"13.1523",19.2852,23.1807,1.6315,"3.0603","2.0841","3.5209",-1.7837,0.8615,5.243,"9.0623",5.8208,16.545,27.133,"42.6732"
"308","000786.SZ","建筑材料",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,63.3492,NA,NA,NA,43.8685,NA,12.9537,NA,30.552,NA,6.5508,NA,13.9187,NA,2.6078,NA,8.8824,NA,3.4882,NA,8.4652,NA,2.9211,NA,7.2762,0.9105,3.2631,"4.6420","7.3217","0.9576",1.7542,3.5372,"5.4230",0.8275,"2.0811","4.1357",6.389,1.1222,3.0563,6.763,"8.4363","1.2715",3.6684,"6.8014","10.0977",1.3879,"4.8236","7.9413","12.1479",5.799,6.1407,"7.4346","13.0572","1.0449","5.8698","9.8566","15.3851",1.1197,6.6308,"11.0516","17.2566",1.2905,7.0845,11.9957,"18.6471","1.5408",7.6329,13.9125,"20.6862",1.927,8.6419,15.2493,"23.2848",2.0881,"9.6485",12.8837,19.2949,1.1114,"5.2783","8.4544","11.9509",1.2835,5.8106,9.6955,"12.8853",1.4322,6.4584,14.2162,"20.5692"
"310","000789.SZ","建筑材料",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,41.2128,NA,NA,NA,26.274,4.3052,NA,NA,15.5821,NA,4.1774,NA,11.8105,NA,6.9919,NA,9.4858,NA,4.3094,NA,7.7866,NA,1.8783,NA,4.4554,0.4911,1.3861,"1.8247","2.1822","0.4524",0.886,1.9055,"5.6821",1.6393,"1.8844","1.0574",-6.5811,-4.4923,-10.2092,-14.5854,"-21.7242","0.2677",0.4267,"0.7711","1.6888",0.8511,"1.9279","3.0904","4.2957",2.0482,3.4993,"3.8386","5.0042","0.1212","1.0718","2.0541","6.4092",0.346,-2.7498,"-1.6308","13.4223",6.8847,21.9443,31.5456,"36.8384","3.3988",3.8482,4.9015,"11.7958",1.8089,7.5799,13.0746,"23.0521",4.7731,"11.6641",16.8728,23.855,2.2761,"3.9159","5.6641","9.6613",0.1987,2.5465,6.1661,"8.4278",0.2322,3.141,8.2367,"15.6526"
"366","000877.SZ","建筑材料",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25.2186,NA,NA,NA,23.7325,NA,NA,NA,16.9105,NA,4.1977,NA,11.0829,NA,5.4973,NA,12.1338,NA,5.5761,NA,8.8863,-2.0764,4.6208,"12.5046","9.3911","-2.9393",3.8107,12.8277,"8.5593",-3.179,"-26.5069","-18.5705",-36.2237,-10.555,-5.364,1.3174,"0.8898","-7.3952",2.6157,"7.8102","8.2876",-5.0275,"3.4368","13.6817","17.1444",-4.2638,9.1071,"26.2051","25.3404","-4.0786","16.1044","32.0994","31.3848",-3.6347,6.8001,"20.1718","20.2099",-0.2046,10.265,24.3875,"27.7718","-2.5265",2.286,6.2578,"5.8003",-2.8259,1.2773,4.5961,"4.2655",-2.2923,"-0.2999",4.5382,3.7372,-3.4324,"-3.7246","-4.8047","-7.9104",-3.0168,-1.6324,0.0703,"1.6225",-2.2869,0.4291,5.1735,"4.0096"
