"","证券代码","申万一级行业","净资产收益率ROE.平均...报告期..1993一季..单位...","净资产收益率ROE.平均...报告期..1993中报..单位...","净资产收益率ROE.平均...报告期..1993三季..单位...","净资产收益率ROE.平均...报告期..1993年报..单位...","净资产收益率ROE.平均...报告期..1994一季..单位...","净资产收益率ROE.平均...报告期..1994中报..单位...","净资产收益率ROE.平均...报告期..1994三季..单位...","净资产收益率ROE.平均...报告期..1994年报..单位...","净资产收益率ROE.平均...报告期..1995一季..单位...","净资产收益率ROE.平均...报告期..1995中报..单位...","净资产收益率ROE.平均...报告期..1995三季..单位...","净资产收益率ROE.平均...报告期..1995年报..单位...","净资产收益率ROE.平均...报告期..1996一季..单位...","净资产收益率ROE.平均...报告期..1996中报..单位...","净资产收益率ROE.平均...报告期..1996三季..单位...","净资产收益率ROE.平均...报告期..1996年报..单位...","净资产收益率ROE.平均...报告期..1997一季..单位...","净资产收益率ROE.平均...报告期..1997中报..单位...","净资产收益率ROE.平均...报告期..1997三季..单位...","净资产收益率ROE.平均...报告期..1997年报..单位...","净资产收益率ROE.平均...报告期..1998一季..单位...","净资产收益率ROE.平均...报告期..1998中报..单位...","净资产收益率ROE.平均...报告期..1998三季..单位...","净资产收益率ROE.平均...报告期..1998年报..单位...","净资产收益率ROE.平均...报告期..1999一季..单位...","净资产收益率ROE.平均...报告期..1999中报..单位...","净资产收益率ROE.平均...报告期..1999三季..单位...","净资产收益率ROE.平均...报告期..1999年报..单位...","净资产收益率ROE.平均...报告期..2000一季..单位...","净资产收益率ROE.平均...报告期..2000中报..单位...","净资产收益率ROE.平均...报告期..2000三季..单位...","净资产收益率ROE.平均...报告期..2000年报..单位...","净资产收益率ROE.平均...报告期..2001一季..单位...","净资产收益率ROE.平均...报告期..2001中报..单位...","净资产收益率ROE.平均...报告期..2001三季..单位...","净资产收益率ROE.平均...报告期..2001年报..单位...","净资产收益率ROE.平均...报告期..2002一季..单位...","净资产收益率ROE.平均...报告期..2002中报..单位...","净资产收益率ROE.平均...报告期..2002三季..单位...","净资产收益率ROE.平均...报告期..2002年报..单位...","净资产收益率ROE.平均...报告期..2003一季..单位...","净资产收益率ROE.平均...报告期..2003中报..单位...","净资产收益率ROE.平均...报告期..2003三季..单位...","净资产收益率ROE.平均...报告期..2003年报..单位...","净资产收益率ROE.平均...报告期..2004一季..单位...","净资产收益率ROE.平均...报告期..2004中报..单位...","净资产收益率ROE.平均...报告期..2004三季..单位...","净资产收益率ROE.平均...报告期..2004年报..单位...","净资产收益率ROE.平均...报告期..2005一季..单位...","净资产收益率ROE.平均...报告期..2005中报..单位...","净资产收益率ROE.平均...报告期..2005三季..单位...","净资产收益率ROE.平均...报告期..2005年报..单位...","净资产收益率ROE.平均...报告期..2006一季..单位...","净资产收益率ROE.平均...报告期..2006中报..单位...","净资产收益率ROE.平均...报告期..2006三季..单位...","净资产收益率ROE.平均...报告期..2006年报..单位...","净资产收益率ROE.平均...报告期..2007一季..单位...","净资产收益率ROE.平均...报告期..2007中报..单位...","净资产收益率ROE.平均...报告期..2007三季..单位...","净资产收益率ROE.平均...报告期..2007年报..单位...","净资产收益率ROE.平均...报告期..2008一季..单位...","净资产收益率ROE.平均...报告期..2008中报..单位...","净资产收益率ROE.平均...报告期..2008三季..单位...","净资产收益率ROE.平均...报告期..2008年报..单位...","净资产收益率ROE.平均...报告期..2009一季..单位...","净资产收益率ROE.平均...报告期..2009中报..单位...","净资产收益率ROE.平均...报告期..2009三季..单位...","净资产收益率ROE.平均...报告期..2009年报..单位...","净资产收益率ROE.平均...报告期..2010一季..单位...","净资产收益率ROE.平均...报告期..2010中报..单位...","净资产收益率ROE.平均...报告期..2010三季..单位...","净资产收益率ROE.平均...报告期..2010年报..单位...","净资产收益率ROE.平均...报告期..2011一季..单位...","净资产收益率ROE.平均...报告期..2011中报..单位...","净资产收益率ROE.平均...报告期..2011三季..单位...","净资产收益率ROE.平均...报告期..2011年报..单位...","净资产收益率ROE.平均...报告期..2012一季..单位...","净资产收益率ROE.平均...报告期..2012中报..单位...","净资产收益率ROE.平均...报告期..2012三季..单位...","净资产收益率ROE.平均...报告期..2012年报..单位...","净资产收益率ROE.平均...报告期..2013一季..单位...","净资产收益率ROE.平均...报告期..2013中报..单位...","净资产收益率ROE.平均...报告期..2013三季..单位...","净资产收益率ROE.平均...报告期..2013年报..单位...","净资产收益率ROE.平均...报告期..2014一季..单位...","净资产收益率ROE.平均...报告期..2014中报..单位...","净资产收益率ROE.平均...报告期..2014三季..单位...","净资产收益率ROE.平均...报告期..2014年报..单位...","净资产收益率ROE.平均...报告期..2015一季..单位...","净资产收益率ROE.平均...报告期..2015中报..单位...","净资产收益率ROE.平均...报告期..2015三季..单位...","净资产收益率ROE.平均...报告期..2015年报..单位...","净资产收益率ROE.平均...报告期..2016一季..单位...","净资产收益率ROE.平均...报告期..2016中报..单位...","净资产收益率ROE.平均...报告期..2016三季..单位...","净资产收益率ROE.平均...报告期..2016年报..单位...","净资产收益率ROE.平均...报告期..2017一季..单位...","净资产收益率ROE.平均...报告期..2017中报..单位...","净资产收益率ROE.平均...报告期..2017三季..单位...","净资产收益率ROE.平均...报告期..2017年报..单位..."
"9","000010.SZ","建筑装饰",NA,NA,NA,17.0301,NA,NA,NA,10.3933,NA,6.0807,NA,13.454,NA,4.3739,NA,10.5232,NA,2.5572,NA,10.7765,NA,0.6852,NA,13.3811,NA,-10.6896,NA,-38.5382,NA,-1.9927,NA,14.4649,NA,0.9942,NA,1.1517,0.0848,0.7881,"1.0427","7.7458","0.1086",2.9295,4.9542,"4.2264",0.1662,"-0.0486","0.1011",-9.224,-4.5724,-6.6599,-8.4793,"-75.9260","-0.6748",-33.6547,"-37.2505","7.5186",-2.3145,"-7.7516","-13.2117","-35.4831",0.0856,-0.8531,"17.1051","21.1343","7.4178","15.4702","16.5942","17.1804",-2.9945,-7.7647,"-2.6648","-2.2275",-6.5575,-9.3673,0.4461,"10.1609","-3.9082",-4.5526,-11.4182,"1.3371",-9.5244,2.2347,2.586,"0.9283",-0.9307,"-1.0389",-2.2504,-12.7799,-0.3978,"0.2971","0.5049","2.4577",-1.5149,1.2027,1.0038,"1.8164",-1.158,-2.0777,0.571,"-62.9955"
"15","000018.SZ","建筑装饰",NA,NA,NA,11.7052,NA,9.8623,NA,12.0695,NA,1.9928,NA,3.8589,NA,1.2822,NA,0.5232,NA,1.1677,NA,-3.9085,NA,0.7498,NA,0.9308,NA,1.4494,NA,3.6755,NA,1.287,NA,1.6622,NA,0.6645,NA,0.2741,-0.3915,0.4555,"0.5799","0.4382","-0.1450",1.1003,1.3165,"0.5057",0.2524,"0.3408","0.1608",0.2845,-1.1332,-1.8825,-5.9807,"-12.8864","-1.5318",-3.6746,"-8.3049","10.3132",-8.4328,"-12.2832","-23.1767","-50.2457",-0.8035,-2.6155,"-5.9009","-17.3236","-1.4042","-0.9766","-0.2012","8.8533",-2.5027,3.7396,"4.4111","2.8693",-2.9591,-6.0039,-9.1725,"-13.2543","-0.1960",-3.582,-5.3061,"-0.2079",-2.2667,-3.54,-0.4496,"6.7013",-0.9098,"0.5822",0.9235,3.3316,-0.2981,"-0.4646","48.8470","49.0475",5.794,14.4666,20.9525,"30.9562",5.435,14.385,21.486,"19.3459"
"43","000055.SZ","建筑装饰",NA,NA,NA,NA,NA,NA,NA,26.2037,NA,NA,NA,22.812,NA,15.4611,NA,34.951,NA,13.532,NA,23.2092,NA,14.0019,NA,19.4495,NA,5.261,NA,7.3948,NA,3.6245,NA,6.8911,NA,3.6029,NA,-12.942,0.3431,-4.9534,"-7.5201","-19.9830","-1.3040",0.4307,1.0677,"1.5741",0.4344,"1.9315","2.9175",0.6853,0.405,0.403,0.4553,"-13.0934","0.8414",2.4415,"2.9217","4.5670",0.7577,"5.1736","5.7280","4.5690",1.5492,3.6338,"2.9995","4.0750","1.8786","5.2539","6.4972","7.4475",1.8205,4.1794,"5.3608","6.7426",1.6531,4.4621,5.1199,"6.2869","0.8495",1.1705,1.696,"2.2968",1.0154,3.5556,5.0833,"7.5845",0.9942,"3.4855",5.03,8.0981,1.2471,"4.1099","5.6819","8.3989",1.6671,4.0616,7.2805,"37.8937",2.8251,9.7467,14.9876,"40.8482"
"51","000065.SZ","建筑装饰",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,41.446,NA,NA,NA,25.172,NA,4.6187,NA,14.1811,NA,5.562,NA,13.0785,NA,5.2357,NA,10.858,NA,2.2051,NA,7.197,1.3402,2.6707,"3.4533","7.3678","0.8815",3.2597,3.9911,"5.5151",0.6067,"3.8415","4.4210",8.7717,0.7772,2.9392,4.1106,"5.5155","1.9470",-1.9273,"3.0093","3.0752",1.9541,"-1.4327","-5.2001","-12.3969",-3.0101,-4.9309,"0.3836","9.3825","0.4555","6.3665","7.0191","13.2881",-3.5488,-1.1303,"3.0517","9.4351",0.9965,11.4537,5.9733,"14.3210","-0.0094",5.3716,5.1632,"19.9902",-1.3792,4.2141,6.6712,"21.4765",2.531,"4.9867",16.1484,20.9796,2.2497,"4.3444","7.3427","15.0725",1.6188,5.5384,7.9219,"17.9650",2.1691,6.0773,10.4098,"14.5970"
"101","000498.SZ","建筑装饰",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,42.6093,NA,NA,NA,16.375,NA,6.1558,NA,14.6209,NA,6.6992,NA,8.2926,NA,3.2699,NA,5.1139,NA,0.73,NA,0.9839,NA,0.3392,NA,-14.171,-1.8586,-8.5865,"-12.2624","-21.1293","0.8095",1.6497,2.0095,"11.2443",8.0979,"13.2338","13.4503",9.4639,1.7281,2.1283,-9.3308,"-38.8241","0.9660",1.9834,"-5.5100","-160.2428",-104.9363,"-229.9558","-386.1185","",NA,NA,"","","","","","",0,-1.2055,"-6.6915","6.2848",-3.8799,-8.4253,-15.4295,"4.6503","-10.6908",-77.9703,-148.5559,"22.8035",1.4568,5.2763,9.1927,"12.0845",1.0423,"3.9108",5.9148,12.5622,1.2422,"4.3940","7.4453","13.2530",-0.0693,4.2806,7.86,"13.2147",0.7722,7.2205,11.2163,"15.4000"
"202","000628.SZ","建筑装饰",NA,NA,NA,NA,NA,NA,NA,21.1,NA,NA,NA,17.9795,NA,NA,NA,13.4985,NA,3.9184,NA,11.4278,NA,6.2372,NA,11.6934,NA,1.7059,NA,2.6138,NA,1.486,NA,0.7163,NA,2.1498,NA,0.8325,-2.6412,0.3741,"0.2687","0.4891","-2.3794",-1.8351,-3.3979,"-36.6403",1.0431,"1.8904","1.1325",0.5885,0.9976,0.5734,0.9548,"2.7920","1.4648",3.9052,"2.8881","-44.6793",-2.8364,"-5.0472","-19.0233","-126.0193",-9.8658,4.5347,"4.9541","8.1175","-6.3687","-8.4939","-3.6427","16.9340",-1.478,-6.1862,"-11.7531","9.5013",-3.5788,-3.7086,-8.5348,"3.5177","-2.9103",-2.7357,-4.9545,"4.4342",-5.0468,-2.5533,-1.8805,"6.8799",-5.0275,"-6.3763",-5.9097,-22.3481,-6.6726,"-3.5577","-3.8049","10.8079",0.3393,0.7398,4.2605,"4.1061",0.3214,2.3279,3.2357,"3.2866"
"407","000928.SZ","建筑装饰",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14.0145,NA,NA,NA,18.6565,NA,NA,NA,13.0529,NA,4.9007,NA,7.0709,NA,2.3156,NA,4.2109,NA,1.7706,NA,3.5663,-1.0225,-2.7334,"-2.3333","-2.2277","0.0984",0.1372,0.2054,"0.0782",0.0616,"0.0963","0.1181",-26.006,0.048,0.2553,0.3033,"-27.4170","0.0901",0.4228,"0.7357","1.1058",0.153,"0.1566","-0.7771","0.3930",0.2791,0.4438,"2.0067","1.2110","0.1151","0.5663","0.1615","0.2251",0.0074,0.05,"0.1421","0.4964",0.1279,0.3587,0.5023,"0.1697","-1.0131",-4.9024,-11.4945,"-20.7048",-10.697,-25.16,-44.8476,"-67.7751",-33.4459,"-92.9070",9.4735,11.8313,3.3707,"9.9648","14.4457","18.0845",3.4556,7.8772,12.2247,"14.5734",2.38,5.826,7.4502,"9.4984"
"511","002047.SZ","建筑装饰",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","",NA,NA,"30.9171",NA,"","",29.8187,NA,6.8193,9.983,"10.0275","2.9441",3.7921,"4.6733","4.5758",0.952,"3.5232","5.0356","7.6462",1.2496,2.6072,"3.4839","5.7919","0.2100","2.3128","6.2007","8.8003",0.6483,2.6287,"2.8133","0.7181",-2.0035,-5.3422,-10.5138,"-14.3478","-0.7734",-1.8653,-2.1114,"-5.7041",-0.8636,-0.3077,0.2268,"25.8957",2.9922,"7.9962",12.3818,17.2606,2.3659,"7.3140","11.5640","14.8990",2.1894,7.2858,10.164,"13.2179",2.3029,6.8888,10.003,"11.3968"
"515","002051.SZ","建筑装饰",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","",NA,NA,"",NA,"","",20.3159,NA,NA,NA,"18.8622","",7.4987,"10.4490","13.8565",7.2643,"9.3257","11.8708","12.3848",5.2724,10.2768,"11.8067","14.8723","4.5651","9.0378","11.3162","19.5305",4.7496,9.7688,"13.7450","22.1612",3.992,7.4574,13.6134,"19.9120","4.4212",10.4903,19.219,"18.7937",3.5231,8.0656,13.2448,"16.1075",3.9384,"8.7686",14.2366,17.4816,2.7591,"6.3297","10.6689","18.7875",2.6994,6.821,11.4466,"19.5488",2.7382,6.8434,11.5084,"19.2381"
"524","002060.SZ","建筑装饰",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","",NA,NA,"",NA,"","",15.6423,NA,NA,NA,"14.8853","",8.5415,"7.9627","10.9324",2.2029,"4.5141","6.3907","8.7121",1.5972,4.6698,"5.0522","6.9129","1.1503","3.3660","4.5922","6.2846",1.261,3.5202,"4.6752","6.3610",1.2402,3.3722,3.0795,"3.7417","0.5422",1.5111,1.8238,"2.4251",0.6361,1.622,1.9475,"3.6868",0.6889,"2.0264",2.6974,3.9625,0.7617,"2.0224","2.6583","4.2516",0.7426,1.8898,2.5938,"5.0420",0.7441,1.874,2.5587,"5.6415"
