"","证券代码","申万一级行业","净资产收益率ROE.平均...报告期..1993一季..单位...","净资产收益率ROE.平均...报告期..1993中报..单位...","净资产收益率ROE.平均...报告期..1993三季..单位...","净资产收益率ROE.平均...报告期..1993年报..单位...","净资产收益率ROE.平均...报告期..1994一季..单位...","净资产收益率ROE.平均...报告期..1994中报..单位...","净资产收益率ROE.平均...报告期..1994三季..单位...","净资产收益率ROE.平均...报告期..1994年报..单位...","净资产收益率ROE.平均...报告期..1995一季..单位...","净资产收益率ROE.平均...报告期..1995中报..单位...","净资产收益率ROE.平均...报告期..1995三季..单位...","净资产收益率ROE.平均...报告期..1995年报..单位...","净资产收益率ROE.平均...报告期..1996一季..单位...","净资产收益率ROE.平均...报告期..1996中报..单位...","净资产收益率ROE.平均...报告期..1996三季..单位...","净资产收益率ROE.平均...报告期..1996年报..单位...","净资产收益率ROE.平均...报告期..1997一季..单位...","净资产收益率ROE.平均...报告期..1997中报..单位...","净资产收益率ROE.平均...报告期..1997三季..单位...","净资产收益率ROE.平均...报告期..1997年报..单位...","净资产收益率ROE.平均...报告期..1998一季..单位...","净资产收益率ROE.平均...报告期..1998中报..单位...","净资产收益率ROE.平均...报告期..1998三季..单位...","净资产收益率ROE.平均...报告期..1998年报..单位...","净资产收益率ROE.平均...报告期..1999一季..单位...","净资产收益率ROE.平均...报告期..1999中报..单位...","净资产收益率ROE.平均...报告期..1999三季..单位...","净资产收益率ROE.平均...报告期..1999年报..单位...","净资产收益率ROE.平均...报告期..2000一季..单位...","净资产收益率ROE.平均...报告期..2000中报..单位...","净资产收益率ROE.平均...报告期..2000三季..单位...","净资产收益率ROE.平均...报告期..2000年报..单位...","净资产收益率ROE.平均...报告期..2001一季..单位...","净资产收益率ROE.平均...报告期..2001中报..单位...","净资产收益率ROE.平均...报告期..2001三季..单位...","净资产收益率ROE.平均...报告期..2001年报..单位...","净资产收益率ROE.平均...报告期..2002一季..单位...","净资产收益率ROE.平均...报告期..2002中报..单位...","净资产收益率ROE.平均...报告期..2002三季..单位...","净资产收益率ROE.平均...报告期..2002年报..单位...","净资产收益率ROE.平均...报告期..2003一季..单位...","净资产收益率ROE.平均...报告期..2003中报..单位...","净资产收益率ROE.平均...报告期..2003三季..单位...","净资产收益率ROE.平均...报告期..2003年报..单位...","净资产收益率ROE.平均...报告期..2004一季..单位...","净资产收益率ROE.平均...报告期..2004中报..单位...","净资产收益率ROE.平均...报告期..2004三季..单位...","净资产收益率ROE.平均...报告期..2004年报..单位...","净资产收益率ROE.平均...报告期..2005一季..单位...","净资产收益率ROE.平均...报告期..2005中报..单位...","净资产收益率ROE.平均...报告期..2005三季..单位...","净资产收益率ROE.平均...报告期..2005年报..单位...","净资产收益率ROE.平均...报告期..2006一季..单位...","净资产收益率ROE.平均...报告期..2006中报..单位...","净资产收益率ROE.平均...报告期..2006三季..单位...","净资产收益率ROE.平均...报告期..2006年报..单位...","净资产收益率ROE.平均...报告期..2007一季..单位...","净资产收益率ROE.平均...报告期..2007中报..单位...","净资产收益率ROE.平均...报告期..2007三季..单位...","净资产收益率ROE.平均...报告期..2007年报..单位...","净资产收益率ROE.平均...报告期..2008一季..单位...","净资产收益率ROE.平均...报告期..2008中报..单位...","净资产收益率ROE.平均...报告期..2008三季..单位...","净资产收益率ROE.平均...报告期..2008年报..单位...","净资产收益率ROE.平均...报告期..2009一季..单位...","净资产收益率ROE.平均...报告期..2009中报..单位...","净资产收益率ROE.平均...报告期..2009三季..单位...","净资产收益率ROE.平均...报告期..2009年报..单位...","净资产收益率ROE.平均...报告期..2010一季..单位...","净资产收益率ROE.平均...报告期..2010中报..单位...","净资产收益率ROE.平均...报告期..2010三季..单位...","净资产收益率ROE.平均...报告期..2010年报..单位...","净资产收益率ROE.平均...报告期..2011一季..单位...","净资产收益率ROE.平均...报告期..2011中报..单位...","净资产收益率ROE.平均...报告期..2011三季..单位...","净资产收益率ROE.平均...报告期..2011年报..单位...","净资产收益率ROE.平均...报告期..2012一季..单位...","净资产收益率ROE.平均...报告期..2012中报..单位...","净资产收益率ROE.平均...报告期..2012三季..单位...","净资产收益率ROE.平均...报告期..2012年报..单位...","净资产收益率ROE.平均...报告期..2013一季..单位...","净资产收益率ROE.平均...报告期..2013中报..单位...","净资产收益率ROE.平均...报告期..2013三季..单位...","净资产收益率ROE.平均...报告期..2013年报..单位...","净资产收益率ROE.平均...报告期..2014一季..单位...","净资产收益率ROE.平均...报告期..2014中报..单位...","净资产收益率ROE.平均...报告期..2014三季..单位...","净资产收益率ROE.平均...报告期..2014年报..单位...","净资产收益率ROE.平均...报告期..2015一季..单位...","净资产收益率ROE.平均...报告期..2015中报..单位...","净资产收益率ROE.平均...报告期..2015三季..单位...","净资产收益率ROE.平均...报告期..2015年报..单位...","净资产收益率ROE.平均...报告期..2016一季..单位...","净资产收益率ROE.平均...报告期..2016中报..单位...","净资产收益率ROE.平均...报告期..2016三季..单位...","净资产收益率ROE.平均...报告期..2016年报..单位...","净资产收益率ROE.平均...报告期..2017一季..单位...","净资产收益率ROE.平均...报告期..2017中报..单位...","净资产收益率ROE.平均...报告期..2017三季..单位...","净资产收益率ROE.平均...报告期..2017年报..单位..."
"2","000002.SZ","房地产",NA,NA,NA,26.3618,NA,7.982,NA,17.184,NA,5.8109,NA,12.9979,NA,4.436,NA,11.9124,NA,4.8077,NA,11.8138,NA,4.3964,NA,10.5747,NA,4.2044,NA,11.2308,NA,4.6522,NA,12.0511,NA,5.7267,NA,12.3957,0.9733,4.4488,"5.8138","11.7580","1.2033",5.3961,7.0009,"13.4190",2.0733,"6.0874","7.3978",16.1049,3.9805,12.3648,13.4734,"18.6105","4.6195",13.58,"15.9207","19.7768",4.0042,"10.8514","9.3431","21.9160",2.4146,6.9514,"7.6693","13.1866","2.3807","7.6021","8.8505","15.3888",2.9509,7.2911,"8.4296","17.8489",2.6851,6.5855,7.8656,"19.8042","2.6013",6.894,9.2962,"21.4930",2.4944,6.9844,9.3272,"21.4872",2.0333,"6.2545",8.3103,19.0784,0.7346,"5.5248","7.7412","19.2403",0.8298,5.4151,8.2382,"19.6815",0.6116,6.4601,9.652,"22.7952"
"5","000006.SZ","房地产",NA,38.3451,NA,35.9555,NA,11.7497,NA,17.9849,NA,8.6668,NA,11.6644,NA,1.4518,NA,15.8517,NA,11.9993,NA,15.7738,NA,5.6972,NA,11.0689,NA,4.1322,NA,8.6817,NA,2.6503,NA,10.8527,NA,4.4819,NA,9.7706,0.423,2.5621,"3.7051","-0.6436","-1.3105",0.2326,-4.2157,"-18.4264",-0.8497,"-5.0891","-3.9326",6.5904,1.5774,0.1466,2.3991,"10.6825","3.1513",14.7039,"15.3418","16.8630",0.9753,"5.6718","9.1404","15.7922",12.5178,13.6282,"13.7522","9.0423","3.6731","6.3025","9.9616","17.5935",1.7952,4.8008,"6.2662","21.0921",2.1241,5.2227,10.6562,"16.5086","2.7711",8.9042,11.4808,"19.7354",1.7625,7.5826,9.9579,"18.4428",0.7511,"1.2322",5.9817,12.3497,4.7603,"6.1677","6.6016","9.7743",1.105,2.3401,2.6203,"16.5687",2.0537,4.9837,6.7113,"15.2396"
"10","000011.SZ","房地产",NA,NA,NA,31.9983,NA,16.7656,NA,22.2461,NA,5.3954,NA,16.4057,NA,1.0772,NA,0.1002,NA,0.362,NA,-46.2117,NA,0.4341,NA,1.8256,NA,1.1042,NA,12.0335,NA,6.1346,NA,24.8926,-5.152,4.3505,8.034,31.4056,0.0269,2.3966,"2.9739","11.1007","0.0212",2.2614,3.686,"18.9630",0.0249,"1.7689","5.4280",17.6382,0.0231,2.6625,5.2416,"13.2769","-1.2461",-3.1354,"-5.4572","-7.3907",-1.0089,"-2.6455","-5.0488","-4.7356",-0.8985,-0.5568,"-2.3029","1.7297","3.1866","17.0408","24.6316","15.7353",0.4284,17.4904,"18.5447","22.7918",27.9889,29.2753,29.8197,"25.6892","0.4820",8.346,14.3608,"28.5123",14.5783,21.0545,21.1945,"18.2000",1.5264,"6.2805",17.0958,21.5371,0.0172,"1.5406","2.2891","7.5139",0.0275,-0.2531,-0.3475,"15.7353",11.7746,14.3549,21.7861,"23.3664"
"12","000014.SZ","房地产",NA,NA,NA,30.485,NA,12.5336,NA,13.1584,NA,5.63,NA,6.0632,NA,1.5183,NA,-23.9155,NA,0.4733,NA,0.7767,NA,-11.2865,NA,-45.6752,NA,-123.4699,NA,-140.131,NA,NA,NA,NA,NA,5.4284,6.959,33.0618,1.5899,4.6779,"2.9540","17.0034","0.4143",2.8717,5.6604,"12.1657",0.7556,"2.4330","4.5295",10.1672,2.8477,7.9899,9.0579,"10.5245","6.3194",12.962,"13.7452","10.3222",-0.9922,"-0.9498","-2.8754","0.6439",-3.6162,-8.0258,"-13.9983","11.7613","-0.9052","7.8334","16.4526","18.2201",13.9442,13.4395,"10.1354","14.6785",-2.0874,0.7573,3.0209,"10.6690","-0.4510",-1.9433,-3.1855,"4.8847",-0.2852,-1.2122,-1.84,"4.8224",4.6333,"4.0395",2.1711,9.5417,0.0505,"2.1743","-0.1492","7.6702",-0.6804,-1.4798,-2.496,"3.9409",-0.4574,0.5358,0.6034,"1.0332"
"25","000029.SZ","房地产",NA,NA,NA,NA,NA,9.6053,NA,21.1823,NA,6.3665,NA,16.7892,NA,6.0638,NA,0.0705,NA,2.1874,NA,4.2916,NA,0.0352,NA,-53.4641,NA,1.1416,NA,6.9566,NA,1.2066,NA,4.9042,NA,0.3011,NA,-41.0035,-3.3221,-4.0077,"-6.6875","1.3687","-2.3417",-2.6708,-3.9744,"0.4001",-1.6117,"-3.0811","-5.6143",-13.2593,-1.4051,-1.587,0.5343,"1.1753","0.3748",0.85,"1.2155","1.8422",0.0373,"0.8675","1.3318","3.3966",0.1766,1.1732,"1.4302","1.6108","0.0705","0.6373","0.9283","1.6592",0.4433,5.0876,"6.0832","6.3813",1.5985,4.4021,5.8881,"6.8460","1.4314",2.5884,4.0644,"6.7519",0.2143,0.7945,1.0083,"13.0487",1.1752,"1.8470",3.0135,14.8095,1.1463,"8.2672","10.5800","13.4037",1.3274,5.619,9.6716,"12.5239",1.3009,5.0578,5.4992,"6.7611"
"27","000031.SZ","房地产",NA,NA,NA,NA,NA,9.0807,NA,12.5698,NA,5.6151,NA,11.7023,NA,5.0074,NA,14.8266,NA,2.5441,NA,2.1759,NA,0.7233,NA,2.1968,NA,-3.1825,NA,-10.8145,NA,0.6257,NA,2.1955,NA,3.911,NA,6.3658,1.1257,4.7852,"5.8289","7.1619","1.4860",4.3973,6.4761,"8.2075",2.9377,"6.3777","8.6681",9.238,2.1465,6.7757,8.3422,"9.8250","1.9904",6.3037,"7.7878","11.3202",0.8746,"15.5082","11.1438","18.0964",0.9613,2.9722,"3.0199","4.2932","-0.4228","-0.1048","3.9830","8.2002",0.6244,1.3311,"2.4895","8.7426",1.1769,2.3638,2.7566,"9.2327","1.1757",1.3733,0.8326,"10.9344",1.2448,2.248,2.3369,"10.3851",1.2459,"2.5457",2.8909,10.5073,1.2027,"3.3581","9.0299","12.0670",3.136,2.7831,1.3362,"12.1333",2.4455,2.6711,8.7558,"15.0980"
"31","000036.SZ","房地产",NA,NA,NA,9.9926,NA,2.6921,NA,5.9284,NA,1.2286,NA,1.0203,NA,-2.361,NA,1.3234,NA,0.3837,NA,-19.36,NA,NA,NA,15.9937,NA,2.2147,NA,10.6486,NA,6.7158,NA,11.4063,NA,5.7334,NA,13.5546,3.2276,5.1749,"5.9837","12.8125","2.9692",3.8788,2.3551,"2.4407",0.2667,"0.1609","0.3401",1.5396,-0.8585,-1.1455,0.3663,"0.1999","1.0472",2.4058,"7.9302","10.7448",0.6767,"1.6496","-2.5960","-21.3451",-1.7434,-3.3564,"-19.4443","-28.6471","9.5829","14.6190","20.5842","21.4806",2.0512,2.671,"3.1141","14.6964",1.4784,3.0492,3.9746,"4.0660","2.0386",2.3225,2.4689,"3.3327",0.0569,0.1228,3.4556,"4.3411",0.0409,"0.0670",0.0481,1.8331,-0.4634,"-0.8265","-0.1080","3.5377",4.4589,19.1975,20.9395,"49.7560",20.1794,28.1627,28.8404,"34.4967"
"36","000042.SZ","房地产",NA,NA,NA,NA,NA,39.2392,NA,32.6186,NA,18.5299,NA,29.3677,NA,11.6341,NA,26.2848,NA,8.3863,NA,17.2309,NA,4.2836,NA,9.6154,NA,4.3574,NA,9.3568,NA,3.1744,NA,9.5304,NA,5.0231,NA,8.6718,1.2212,2.5856,"2.9414","5.2470","1.5593",2.0688,0.6756,"4.2781",-1.1972,"-2.5169","-0.7401",3.5589,0.2057,7.5016,7.8271,"9.2728","0.1288",6.2395,"6.2769","3.2427",-0.5741,"7.8137","7.4194","11.1408",-0.733,-1.7491,"-3.3984","0.3758","-0.0881","7.7241","8.9959","14.0644",1.7658,3.9222,"9.9521","16.2566",6.1192,7.0404,8.4044,"12.9939","7.9230",8.8439,13.8036,"15.1746",5.5843,7.2851,8.3431,"13.5917",7.2304,"8.8643",9.5916,9.6022,13.0692,"12.0575","11.7395","9.0002",0.7937,0.475,1.4514,"4.5309",0.4383,2.5528,4.0978,"10.0085"
"37","000043.SZ","房地产",NA,NA,NA,49.2175,NA,15.8382,NA,25.5969,NA,7.7454,NA,10.7494,NA,7.6299,NA,11.0581,NA,5.6202,NA,11.9351,NA,2.9091,NA,6.0982,NA,2.0286,NA,3.7054,NA,2.2011,NA,3.7581,NA,1.4395,NA,-39.8583,1.5406,3.5074,"5.7332","10.0190","1.5645",1.8849,4.7333,"9.8395",1.6285,"3.2363","7.9233",8.3763,1.6953,3.0196,5.2177,"12.8891","2.8952",7.8538,"8.6264","16.7628",1.9521,"3.2363","3.9436","15.1274",0.7425,1.2185,"0.5834","1.9479","-0.3692","0.7367","0.3625","3.9750",0.3119,0.1447,"3.8426","14.5775",-0.3375,2.1504,3.3286,"22.6235","-0.2469",0.1381,7.3003,"15.0275",-1.3794,-1.1414,0.8683,"15.1603",1.4726,"-0.8289",-2.2187,14.595,-1.9642,"-3.2611","-4.9950","10.7493",-4.0394,0.0853,-0.6673,"4.0146",-1.8925,-3.5238,-1.7839,"3.6457"
"39","000046.SZ","房地产",NA,NA,NA,45.9638,NA,17.4599,NA,21.5716,NA,4.155,NA,7.6834,NA,4.5272,NA,13.3162,NA,1.0317,NA,11.5064,NA,-1.8413,NA,22.062,NA,10.6694,NA,19.5563,NA,5.0073,NA,6.9242,NA,0.839,NA,4.9521,0.0721,0.7477,"1.1479","3.5285","0.0941",0.1786,1.496,"3.6914",0.9207,"1.5098","2.1318",8.4548,1.2373,1.6806,1.8855,"6.6114","3.3739",3.6468,"3.5773","11.4766",2.3542,"8.2157","13.5998","17.6805",1.3286,2.8733,"3.4411","3.4439","0.1267","1.5194","2.6347","4.8003",1.232,1.021,"2.2197","1.4933",-0.4616,-0.4333,2.017,"3.2507","-0.2100",0.3824,2.9322,"9.4740",0.945,2.4074,4.4838,"13.3130",0.8114,"1.8744",4.1479,16.8416,2.7365,"6.8775","12.1799","20.6537",1.3779,6.9975,13.6389,"21.7320",2.3457,4.8594,6.6947,"15.0612"
