"","证券代码","申万一级行业","净资产收益率ROE.平均...报告期..1993一季..单位...","净资产收益率ROE.平均...报告期..1993中报..单位...","净资产收益率ROE.平均...报告期..1993三季..单位...","净资产收益率ROE.平均...报告期..1993年报..单位...","净资产收益率ROE.平均...报告期..1994一季..单位...","净资产收益率ROE.平均...报告期..1994中报..单位...","净资产收益率ROE.平均...报告期..1994三季..单位...","净资产收益率ROE.平均...报告期..1994年报..单位...","净资产收益率ROE.平均...报告期..1995一季..单位...","净资产收益率ROE.平均...报告期..1995中报..单位...","净资产收益率ROE.平均...报告期..1995三季..单位...","净资产收益率ROE.平均...报告期..1995年报..单位...","净资产收益率ROE.平均...报告期..1996一季..单位...","净资产收益率ROE.平均...报告期..1996中报..单位...","净资产收益率ROE.平均...报告期..1996三季..单位...","净资产收益率ROE.平均...报告期..1996年报..单位...","净资产收益率ROE.平均...报告期..1997一季..单位...","净资产收益率ROE.平均...报告期..1997中报..单位...","净资产收益率ROE.平均...报告期..1997三季..单位...","净资产收益率ROE.平均...报告期..1997年报..单位...","净资产收益率ROE.平均...报告期..1998一季..单位...","净资产收益率ROE.平均...报告期..1998中报..单位...","净资产收益率ROE.平均...报告期..1998三季..单位...","净资产收益率ROE.平均...报告期..1998年报..单位...","净资产收益率ROE.平均...报告期..1999一季..单位...","净资产收益率ROE.平均...报告期..1999中报..单位...","净资产收益率ROE.平均...报告期..1999三季..单位...","净资产收益率ROE.平均...报告期..1999年报..单位...","净资产收益率ROE.平均...报告期..2000一季..单位...","净资产收益率ROE.平均...报告期..2000中报..单位...","净资产收益率ROE.平均...报告期..2000三季..单位...","净资产收益率ROE.平均...报告期..2000年报..单位...","净资产收益率ROE.平均...报告期..2001一季..单位...","净资产收益率ROE.平均...报告期..2001中报..单位...","净资产收益率ROE.平均...报告期..2001三季..单位...","净资产收益率ROE.平均...报告期..2001年报..单位...","净资产收益率ROE.平均...报告期..2002一季..单位...","净资产收益率ROE.平均...报告期..2002中报..单位...","净资产收益率ROE.平均...报告期..2002三季..单位...","净资产收益率ROE.平均...报告期..2002年报..单位...","净资产收益率ROE.平均...报告期..2003一季..单位...","净资产收益率ROE.平均...报告期..2003中报..单位...","净资产收益率ROE.平均...报告期..2003三季..单位...","净资产收益率ROE.平均...报告期..2003年报..单位...","净资产收益率ROE.平均...报告期..2004一季..单位...","净资产收益率ROE.平均...报告期..2004中报..单位...","净资产收益率ROE.平均...报告期..2004三季..单位...","净资产收益率ROE.平均...报告期..2004年报..单位...","净资产收益率ROE.平均...报告期..2005一季..单位...","净资产收益率ROE.平均...报告期..2005中报..单位...","净资产收益率ROE.平均...报告期..2005三季..单位...","净资产收益率ROE.平均...报告期..2005年报..单位...","净资产收益率ROE.平均...报告期..2006一季..单位...","净资产收益率ROE.平均...报告期..2006中报..单位...","净资产收益率ROE.平均...报告期..2006三季..单位...","净资产收益率ROE.平均...报告期..2006年报..单位...","净资产收益率ROE.平均...报告期..2007一季..单位...","净资产收益率ROE.平均...报告期..2007中报..单位...","净资产收益率ROE.平均...报告期..2007三季..单位...","净资产收益率ROE.平均...报告期..2007年报..单位...","净资产收益率ROE.平均...报告期..2008一季..单位...","净资产收益率ROE.平均...报告期..2008中报..单位...","净资产收益率ROE.平均...报告期..2008三季..单位...","净资产收益率ROE.平均...报告期..2008年报..单位...","净资产收益率ROE.平均...报告期..2009一季..单位...","净资产收益率ROE.平均...报告期..2009中报..单位...","净资产收益率ROE.平均...报告期..2009三季..单位...","净资产收益率ROE.平均...报告期..2009年报..单位...","净资产收益率ROE.平均...报告期..2010一季..单位...","净资产收益率ROE.平均...报告期..2010中报..单位...","净资产收益率ROE.平均...报告期..2010三季..单位...","净资产收益率ROE.平均...报告期..2010年报..单位...","净资产收益率ROE.平均...报告期..2011一季..单位...","净资产收益率ROE.平均...报告期..2011中报..单位...","净资产收益率ROE.平均...报告期..2011三季..单位...","净资产收益率ROE.平均...报告期..2011年报..单位...","净资产收益率ROE.平均...报告期..2012一季..单位...","净资产收益率ROE.平均...报告期..2012中报..单位...","净资产收益率ROE.平均...报告期..2012三季..单位...","净资产收益率ROE.平均...报告期..2012年报..单位...","净资产收益率ROE.平均...报告期..2013一季..单位...","净资产收益率ROE.平均...报告期..2013中报..单位...","净资产收益率ROE.平均...报告期..2013三季..单位...","净资产收益率ROE.平均...报告期..2013年报..单位...","净资产收益率ROE.平均...报告期..2014一季..单位...","净资产收益率ROE.平均...报告期..2014中报..单位...","净资产收益率ROE.平均...报告期..2014三季..单位...","净资产收益率ROE.平均...报告期..2014年报..单位...","净资产收益率ROE.平均...报告期..2015一季..单位...","净资产收益率ROE.平均...报告期..2015中报..单位...","净资产收益率ROE.平均...报告期..2015三季..单位...","净资产收益率ROE.平均...报告期..2015年报..单位...","净资产收益率ROE.平均...报告期..2016一季..单位...","净资产收益率ROE.平均...报告期..2016中报..单位...","净资产收益率ROE.平均...报告期..2016三季..单位...","净资产收益率ROE.平均...报告期..2016年报..单位...","净资产收益率ROE.平均...报告期..2017一季..单位...","净资产收益率ROE.平均...报告期..2017中报..单位...","净资产收益率ROE.平均...报告期..2017三季..单位...","净资产收益率ROE.平均...报告期..2017年报..单位..."
"47","000060.SZ","有色金属",NA,NA,NA,NA,NA,NA,NA,20.4719,NA,NA,NA,19.4916,NA,NA,NA,16.8193,NA,3.9559,NA,13.7845,NA,3.5215,NA,10.6727,NA,10.2304,NA,17.035,NA,7.3426,NA,12.1675,NA,4.0655,NA,2.9123,1.192,2.8632,"3.3331","4.3488","0.6443",2.843,4.4682,"5.5246",2.3038,"5.7720","9.4320",11.7295,4.5912,9.7118,15.937,"20.9068","1.0694",25.3507,"45.8311","55.1426",9.1991,"21.5553","31.0903","37.0554",7.4805,16.1929,"20.0080","9.5932","0.3318","2.9505","5.7970","11.1979",3.4411,7.4591,"9.6881","16.6486",2.3769,7.3789,14.617,"19.2519","1.6858",3.8671,5.6313,"7.9315",1.5585,2.1584,3.068,"7.1345",1.2014,"2.6008",6.6751,7.8378,0.8742,"2.3888","1.5164","3.0047",-0.7206,0.5889,2.1927,"4.3020",2.7998,6.3652,9.7856,"12.0662"
"96","000426.SZ","有色金属",NA,NA,NA,NA,NA,NA,NA,18.8294,NA,NA,NA,21.1583,4.3236,15.9921,NA,16.6768,NA,8.9543,NA,13.7025,NA,4.4794,NA,15.5651,NA,2.1283,NA,10.6879,NA,3.9175,NA,8.9563,NA,2.9326,NA,7.1205,0.8667,2.002,"2.6369","6.6622","1.5298",1.6584,2.4278,"4.7549",0.4454,"1.0102","1.3224",1.5602,0.3014,1.4532,1.5364,"1.8594","0.3372",0.8171,"0.8591","1.2770",0.19,"0.3250","0.4390","0.4418",0.1947,0.2018,"0.2268","-10.7103","-1.0012","9.4648","7.7542","6.6958",-0.6767,-2.4174,"-4.1490","-4.4383",-0.5863,-1.8991,-3.9915,"13.9464","0.7381",5.8849,7.7846,"7.9636",0.6358,3.289,4.2259,"3.1431",4.1828,"4.8222",6.1468,5.9024,0.2842,"0.7344","0.7985","-0.9116",-0.1385,0.8634,3.5196,"2.3659",1.8864,4.159,7.9432,"11.0253"
"182","000603.SZ","有色金属",NA,NA,NA,NA,NA,NA,NA,31.2092,NA,NA,NA,23.3603,5.3047,9.4329,NA,19.6992,NA,5.9923,NA,11.9124,NA,0.7176,NA,-52.7598,NA,1.1499,NA,0.9141,NA,2.6562,NA,1.6506,NA,-3.1727,NA,-115.2982,-9.515,-22.8427,"-35.1882","28.3429","1.0555",-1.7699,-1.6303,"1.0106",0.689,"1.6921","0.2904",-20.1996,-0.3027,-4.3766,0.2793,"-19.9026","0.6802",2.3756,"3.1187","1.4980",1.1216,"2.7899","3.7714","0.9694",3.9581,1.8107,"5.7602","-4.4618","-0.1260","-1.4122","-2.7961","-4.8975",-1.5681,-3.2637,"-5.0180","4.3418",-3.4345,-6.1397,-9.2372,"106.8528","9.0763",27.8337,44.5587,"54.5483",6.9975,19.8349,40.3145,"50.6985",5.8638,"16.8221",28.8483,40.6477,4.4295,"17.5956","24.7331","31.2769",2.1085,7.0651,8.4814,"11.6348",0.5008,4.0687,7.1984,"11.4298"
"190","000612.SZ","有色金属",NA,NA,NA,NA,NA,NA,NA,16.1954,NA,NA,NA,27.3291,13.2851,12.1066,NA,16.6976,NA,5.272,NA,9.9739,NA,2.6524,NA,1.498,NA,2.0578,NA,18.8812,NA,0.9311,NA,8.8455,NA,4.0716,NA,7.9351,1.2622,8.8614,"14.9641","13.4208","1.8554",4.1878,10.9045,"15.1820",5.6933,"4.8915","4.9021",4.135,0.6867,-3.8516,-8.1485,"-13.3379","4.1636",13.9113,"19.7665","26.9019",14.8716,"31.2898","43.5702","50.4476",12.6941,24.0548,"27.3941","19.1660","-1.7245","0.5655","6.5054","10.1653",8.8734,13.3173,"15.7164","5.7612",2.9005,10.9764,16.0086,"16.9753","1.1051",1.7599,3.1626,"-0.6270",2.8534,3.6638,5.0291,"7.6827",1.4067,"2.4239",3.6672,7.8761,0.5792,"1.0053","0.4010","-1.3174",-0.6165,1.9012,0.9142,"2.1368",0.6878,2.3524,5.8445,"3.8065"
"204","000630.SZ","有色金属",NA,NA,NA,NA,NA,NA,NA,12.8,NA,NA,NA,41.7056,NA,14.9083,NA,22.3972,NA,10.7,NA,20.1737,NA,6.8843,NA,15.7145,NA,5.531,NA,12.6364,NA,6.4055,NA,9.3006,NA,4.0065,NA,6.0869,1.7262,3.3597,"4.7347","6.7167","2.0010",3.8532,5.6966,"7.3730",3.1677,"5.9563","8.8683",12.1891,4.3465,8.3941,11.5779,"14.9375","3.9234",8.5331,"11.8712","14.2224",3.8415,"7.2316","11.1137","16.8973",5.3437,11.278,"16.6699","11.6196","2.9951","5.3064","8.1703","10.5479",3.526,6.7336,"9.5139","14.2627",3.5209,8.6887,12.3753,"16.9685","2.8019",4.8906,6.6121,"8.8980",1.454,2.7787,3.5881,"5.2238",0.9813,"2.0079",2.2431,2.3156,0.3524,"1.7698","1.2290","-4.6426",-0.6306,0.3335,0.6835,"1.1817",0.8629,1.4065,2.345,"3.2361"
"207","000633.SZ","有色金属",NA,NA,NA,NA,NA,NA,NA,9.8117,NA,NA,NA,10.7991,NA,8.2619,NA,12.6428,NA,7.4092,NA,22.1561,NA,13.9854,NA,57.1312,NA,13.4444,NA,35.703,NA,5.8712,NA,11.7833,NA,3.4681,NA,5.1082,2.6344,4.8027,"5.7108","8.6078","1.0425",7.7827,13.3647,"13.6064",0.0252,"-21.9962","-23.1091",-102.5936,-11.8236,-36.3828,-56.3547,"","",NA,"","",-78.6481,"-158.4616","-197.2770","366.2922",2.1454,2.8625,"2.1904","-4.9639","-3.1730","4.2048","4.6933","1.7359",-3.5598,-7.8628,"5.3359","1.4409",-0.9703,7.7815,5.55,"3.1167","-0.2445",-3.9489,-5.8188,"1.0827",0.3757,0.9279,0.6394,"2.6011",-3.535,"-6.6846",-10.0292,-13.6078,-2.4484,"-7.2228","-10.3953","-23.8798",-6.5042,-19.246,-26.8597,"15.6338",-4.2457,-8.3855,-10.8975,"-13.9252"
"218","000657.SZ","有色金属",NA,NA,NA,NA,NA,NA,NA,14.7414,NA,NA,NA,17.5339,NA,9.0663,NA,16.4946,NA,4.4058,NA,10.8631,NA,2.4788,NA,19.5537,NA,8.5476,NA,13.2316,NA,10.1066,NA,7.5902,NA,3.6426,NA,6.3982,1.347,3.9059,"5.7064","6.4707","1.2012",3.0495,3.886,"5.8342",0.9985,"1.4652","1.4232",3.5301,0.3122,0.8691,1.5343,"0.5612","-0.7828",-1.6925,"-1.9496","-15.9912",-0.9128,"-4.4303","-7.1852","-43.1135",-4.0814,-0.1173,"0.2795","-3.1178","-6.0198","-8.8695","-7.2605","-3.2409",0.418,1.2685,"1.8971","2.3597",0.5133,0.9162,1.4025,"1.3980","0.0250",-2.3753,-10.7029,"50.4066",-0.9487,1.1003,-1.4624,"8.4148",-3.4968,"-5.8837",-4.061,0.6319,-2.3903,"-3.9304","-5.0660","-16.0282",-0.9235,0.1691,0.743,"0.4486",0.8077,1.9524,4.1253,"4.2192"
"243","000688.SZ","有色金属",NA,NA,NA,NA,NA,NA,NA,12.6984,NA,NA,NA,11.8267,NA,NA,NA,16.9235,NA,10.9688,NA,16.0837,NA,6.0595,NA,13.4069,NA,5.2501,NA,11.0723,NA,11.1708,NA,18.9805,NA,7.1841,NA,3.9136,0.342,0.8641,"1.7787","1.9974","0.3925",0.7776,1.0445,"1.0135",0.224,"0.4983","-1.2050",-32.5204,-4.7923,-17.7489,-59.6551,"","",NA,"","",NA,"","","",NA,NA,"","","","","","",NA,NA,"","",NA,NA,NA,"","",NA,NA,"",8.3398,34.7149,48.4243,"64.1132",2.6976,"9.2370",16.265,29.6338,1.1385,"7.5631","9.2821","21.3951",0.6743,4.0189,9.6644,"14.4682",4.8395,12.8761,18.3746,"21.0374"
"247","000693.SZ","有色金属",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.2771,NA,NA,NA,15.7074,NA,3.2173,NA,10.2606,NA,0.3122,NA,11.6993,NA,10.2215,NA,17.7195,NA,8.6542,NA,11.5893,NA,6.99,NA,10.2183,1.3546,1.5471,"2.5231","4.8883","1.7959",2.3767,4.2548,"1.6220",0.9589,"1.2931","2.1482",-14.4898,-6.3564,-16.4295,-25.7916,"-53.7368","-14.2771",-37.3083,"-49.0310","-183.5197",NA,"","","",NA,NA,"","","","","","",NA,NA,"","",NA,NA,NA,"","",NA,NA,"",NA,NA,10.3104,"22.5057",-0.1431,"5.7261",10.3644,16.5118,-0.5151,"6.2860","6.6506","-11.7081",-1.6121,-4.3267,-7.4822,"-38.3275",-4.8803,-9.1893,-14.5367,""
"249","000697.SZ","有色金属",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22.9342,NA,NA,NA,23.6033,NA,10.5499,NA,34.1933,NA,19.8451,NA,35.5257,NA,8.7263,NA,13.7814,NA,5.9659,NA,9.5014,NA,1.7486,NA,1.5882,0.4209,1.0768,"1.3436","1.2091","0.5781",0.9222,1.0182,"1.1679",0.5685,"1.0879","1.8149",1.631,0.0314,0.0934,0.1202,"-25.0404","0.1639",0.1842,"12.3602","7.4188",-0.2384,"-3.9046","-6.8143","-12.4647",-1.6167,-4.3452,"-6.5924","-14.2582","-2.4399","-5.7891","-7.6324","2.6540",-2.4716,-6.3102,"-8.8216","-19.6701",-2.3389,-4.4675,-7.0571,"-14.0699","0.1299",4.8526,7.7587,"10.9961",0.7609,5.2722,8.6922,"12.1116",0.57,"2.4510",4.6566,8.3231,0.2743,"1.6771","3.3030","4.1326",-0.4312,-0.7078,-1.7342,"-2.6276",-1.2952,-10.7139,-14.3015,"3.9595"
