"","证券代码","申万一级行业","净资产收益率ROE.平均...报告期..1993一季..单位...","净资产收益率ROE.平均...报告期..1993中报..单位...","净资产收益率ROE.平均...报告期..1993三季..单位...","净资产收益率ROE.平均...报告期..1993年报..单位...","净资产收益率ROE.平均...报告期..1994一季..单位...","净资产收益率ROE.平均...报告期..1994中报..单位...","净资产收益率ROE.平均...报告期..1994三季..单位...","净资产收益率ROE.平均...报告期..1994年报..单位...","净资产收益率ROE.平均...报告期..1995一季..单位...","净资产收益率ROE.平均...报告期..1995中报..单位...","净资产收益率ROE.平均...报告期..1995三季..单位...","净资产收益率ROE.平均...报告期..1995年报..单位...","净资产收益率ROE.平均...报告期..1996一季..单位...","净资产收益率ROE.平均...报告期..1996中报..单位...","净资产收益率ROE.平均...报告期..1996三季..单位...","净资产收益率ROE.平均...报告期..1996年报..单位...","净资产收益率ROE.平均...报告期..1997一季..单位...","净资产收益率ROE.平均...报告期..1997中报..单位...","净资产收益率ROE.平均...报告期..1997三季..单位...","净资产收益率ROE.平均...报告期..1997年报..单位...","净资产收益率ROE.平均...报告期..1998一季..单位...","净资产收益率ROE.平均...报告期..1998中报..单位...","净资产收益率ROE.平均...报告期..1998三季..单位...","净资产收益率ROE.平均...报告期..1998年报..单位...","净资产收益率ROE.平均...报告期..1999一季..单位...","净资产收益率ROE.平均...报告期..1999中报..单位...","净资产收益率ROE.平均...报告期..1999三季..单位...","净资产收益率ROE.平均...报告期..1999年报..单位...","净资产收益率ROE.平均...报告期..2000一季..单位...","净资产收益率ROE.平均...报告期..2000中报..单位...","净资产收益率ROE.平均...报告期..2000三季..单位...","净资产收益率ROE.平均...报告期..2000年报..单位...","净资产收益率ROE.平均...报告期..2001一季..单位...","净资产收益率ROE.平均...报告期..2001中报..单位...","净资产收益率ROE.平均...报告期..2001三季..单位...","净资产收益率ROE.平均...报告期..2001年报..单位...","净资产收益率ROE.平均...报告期..2002一季..单位...","净资产收益率ROE.平均...报告期..2002中报..单位...","净资产收益率ROE.平均...报告期..2002三季..单位...","净资产收益率ROE.平均...报告期..2002年报..单位...","净资产收益率ROE.平均...报告期..2003一季..单位...","净资产收益率ROE.平均...报告期..2003中报..单位...","净资产收益率ROE.平均...报告期..2003三季..单位...","净资产收益率ROE.平均...报告期..2003年报..单位...","净资产收益率ROE.平均...报告期..2004一季..单位...","净资产收益率ROE.平均...报告期..2004中报..单位...","净资产收益率ROE.平均...报告期..2004三季..单位...","净资产收益率ROE.平均...报告期..2004年报..单位...","净资产收益率ROE.平均...报告期..2005一季..单位...","净资产收益率ROE.平均...报告期..2005中报..单位...","净资产收益率ROE.平均...报告期..2005三季..单位...","净资产收益率ROE.平均...报告期..2005年报..单位...","净资产收益率ROE.平均...报告期..2006一季..单位...","净资产收益率ROE.平均...报告期..2006中报..单位...","净资产收益率ROE.平均...报告期..2006三季..单位...","净资产收益率ROE.平均...报告期..2006年报..单位...","净资产收益率ROE.平均...报告期..2007一季..单位...","净资产收益率ROE.平均...报告期..2007中报..单位...","净资产收益率ROE.平均...报告期..2007三季..单位...","净资产收益率ROE.平均...报告期..2007年报..单位...","净资产收益率ROE.平均...报告期..2008一季..单位...","净资产收益率ROE.平均...报告期..2008中报..单位...","净资产收益率ROE.平均...报告期..2008三季..单位...","净资产收益率ROE.平均...报告期..2008年报..单位...","净资产收益率ROE.平均...报告期..2009一季..单位...","净资产收益率ROE.平均...报告期..2009中报..单位...","净资产收益率ROE.平均...报告期..2009三季..单位...","净资产收益率ROE.平均...报告期..2009年报..单位...","净资产收益率ROE.平均...报告期..2010一季..单位...","净资产收益率ROE.平均...报告期..2010中报..单位...","净资产收益率ROE.平均...报告期..2010三季..单位...","净资产收益率ROE.平均...报告期..2010年报..单位...","净资产收益率ROE.平均...报告期..2011一季..单位...","净资产收益率ROE.平均...报告期..2011中报..单位...","净资产收益率ROE.平均...报告期..2011三季..单位...","净资产收益率ROE.平均...报告期..2011年报..单位...","净资产收益率ROE.平均...报告期..2012一季..单位...","净资产收益率ROE.平均...报告期..2012中报..单位...","净资产收益率ROE.平均...报告期..2012三季..单位...","净资产收益率ROE.平均...报告期..2012年报..单位...","净资产收益率ROE.平均...报告期..2013一季..单位...","净资产收益率ROE.平均...报告期..2013中报..单位...","净资产收益率ROE.平均...报告期..2013三季..单位...","净资产收益率ROE.平均...报告期..2013年报..单位...","净资产收益率ROE.平均...报告期..2014一季..单位...","净资产收益率ROE.平均...报告期..2014中报..单位...","净资产收益率ROE.平均...报告期..2014三季..单位...","净资产收益率ROE.平均...报告期..2014年报..单位...","净资产收益率ROE.平均...报告期..2015一季..单位...","净资产收益率ROE.平均...报告期..2015中报..单位...","净资产收益率ROE.平均...报告期..2015三季..单位...","净资产收益率ROE.平均...报告期..2015年报..单位...","净资产收益率ROE.平均...报告期..2016一季..单位...","净资产收益率ROE.平均...报告期..2016中报..单位...","净资产收益率ROE.平均...报告期..2016三季..单位...","净资产收益率ROE.平均...报告期..2016年报..单位...","净资产收益率ROE.平均...报告期..2017一季..单位...","净资产收益率ROE.平均...报告期..2017中报..单位...","净资产收益率ROE.平均...报告期..2017三季..单位...","净资产收益率ROE.平均...报告期..2017年报..单位..."
"7","000008.SZ","机械设备",NA,8.9311,NA,20.4248,NA,7.7905,NA,5.1077,NA,0.0238,NA,0.1043,NA,-5.2907,NA,-11.2153,NA,0.6262,NA,5.3392,NA,-4.7853,NA,-51.6698,NA,8.6288,NA,21.3629,NA,25.8574,NA,18.9962,NA,-17.3181,NA,-449.4186,NA,NA,"","","",NA,NA,"",0.442,"0.9575","2.3641",74.628,0.6647,0.3835,-3.813,"-7.4998","-0.1419",-0.655,"-0.8976","-2.5246",1.3578,"1.4803","2.9258","2.3245",0.3513,0.3313,"0.4317","1.0231","-0.1738","-0.4457","-0.1177","0.4284",-0.0824,0.023,"0.1195","1.2035",-0.3693,-0.4621,-0.5943,"-0.7277","-0.0390",0.0718,0.1166,"12.7314",0.7276,1.931,3.0992,"4.1213",0.8484,"1.5202",1.7194,1.3688,3.3732,"4.1631","5.6554","10.6726",0.2726,0.9824,4.9778,"11.5699",0.1525,0.9078,1.9734,"13.2206"
"34","000039.SZ","机械设备",NA,NA,NA,NA,NA,16.6347,NA,32.8286,NA,14.8339,NA,31.0825,NA,15.3059,NA,28.1056,NA,11.279,NA,18.532,NA,10.5318,NA,18.2808,NA,9.2175,NA,16.485,NA,11.4588,NA,24.3988,NA,15.1682,NA,24.205,3.1579,9.8485,"14.5485","17.7095","3.5896",11.0921,18.1748,"16.7640",3.4281,"16.5519","29.3704",37.4406,11.5342,24.8791,31.3515,"31.5378","5.2731",14.2837,"21.7438","26.0265",4.6459,"10.2720","14.7437","22.5022",2.5148,6.7618,"11.2487","9.5895","3.0990","6.2329","5.8665","6.9422",2.4654,6.3889,"15.5726","19.7352",8.0151,16.3391,19.1123,"21.1780","1.9977",5.0405,8.4032,"10.1665",1.1219,2.8222,4.9293,"10.8508",0.616,"4.9721",7.6731,11.5342,2.2045,"6.4076","7.1801","7.7668",1.4254,-1.3461,-0.6722,"1.8665",1.7225,2.6964,4.3723,"8.1275"
"68","000157.SZ","机械设备",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,28.3834,NA,NA,NA,35.0477,NA,17.6639,NA,11.0157,NA,6.5371,NA,12.4938,2.0398,9.112,"11.9150","16.3432","2.6650",9.6567,14.8009,"20.5761",8.3099,"18.6507","24.4036",26.7977,4.5448,10.3945,14.7427,"18.5236","4.1995",14.0301,"20.0637","23.8610",8.78,"20.1453","32.8912","44.8941",9.5937,22.3329,"32.4854","36.2813","5.7174","20.3720","28.6111","38.8935",7.0209,20.0958,"27.6037","26.7501",6.9205,15.55,19.6029,"25.6616","5.7269",15.0911,18.3447,"19.2267",1.44,7.0091,9.2131,"9.3155",0.9463,"2.1685",2.409,1.441,-0.9443,"-0.7654","-1.2908","0.2067",-1.6668,-2.1646,-2.0754,"-2.4331",0.2293,3.0596,3.4595,"3.5808"
"83","000410.SZ","机械设备",NA,NA,NA,NA,NA,NA,NA,28.1069,NA,NA,NA,13.9119,2.7551,5.9623,NA,12.8475,NA,1.0112,NA,6.3385,NA,1.2972,NA,4.9747,NA,1.1341,NA,2.4082,NA,1.1068,NA,1.7089,NA,1.6067,NA,1.8497,0.0633,0.3931,"0.6638","0.5445","0.0893",1.2516,2.4523,"1.4228",0.4903,"1.9087","4.0530",7.187,1.4006,4.607,8.3326,"10.1480","1.2858",7.986,"10.0685","9.9382",1.3059,"5.6912","7.3508","5.9920",0.7586,3.4044,"2.5931","1.5651","-2.0492","-3.7380","-2.0664","2.0668",2.2585,11.5659,"12.2796","10.1767",2.8054,6.0924,8.0108,"6.9401","1.6009",3.4005,1.3472,"1.4985",0.8262,0.476,0.5623,"0.9024",0.3417,"0.3625",0.627,0.9502,-5.3069,"-10.3813","-19.0734","-26.7804",-6.2299,-24.1649,-48.0428,"-103.2568",-50.8802,-120.9781,-287.5442,"15.4597"
"95","000425.SZ","机械设备",NA,NA,NA,NA,NA,NA,NA,13.4501,NA,NA,NA,10.1397,NA,6.0944,NA,10.9097,NA,6.1033,NA,12.3652,NA,7.6102,NA,12.8827,NA,9.4428,NA,15.6409,NA,6.6373,NA,12.2491,NA,6.8203,NA,10.6068,1.2559,4.5028,"7.2455","10.4576","1.0807",6.0995,7.9196,"10.2193",1.0372,"4.9079","3.8743",3.0778,-3.0062,-7.9523,-6.9672,"-11.4382","0.3826",0.1809,"0.1657","0.4978",0.1023,"1.7374","2.3506","2.1207",-1.1456,0.0936,"8.9252","9.0777","-0.6870","1.0540","50.2956","61.8455",10.9226,27.7838,"25.5791","35.6371",8.2041,17.1202,21.2553,"24.8537","4.7752",10.1407,12.3993,"15.1423",2.5385,4.7572,5.8735,"8.1949",2.1058,"3.9311",4.2754,2.0926,-1.9235,"0.0390","0.0597","0.2486",0.0513,0.6205,0.807,"1.0163",0.9815,2.6604,3.5128,"4.5895"
"123","000528.SZ","机械设备",NA,NA,NA,53.0419,NA,2.9732,NA,6.3478,NA,3.4111,NA,6.1588,NA,2.6886,NA,3.4608,NA,2.7803,NA,3.4415,NA,1.5437,NA,0.894,NA,0.9639,NA,0.3491,NA,1.9265,NA,0.1656,NA,1.0709,NA,3.061,1.6334,5.3478,"10.4388","16.8703","6.7560",14.428,21.3558,"25.3449",10.2589,"15.3493","17.3049",19.4822,3.9106,8.4391,10.6384,"13.3924","4.5591",12.1477,"16.4248","20.5160",5.4017,"16.2673","22.0371","26.6816",5.8162,14.68,"15.5025","13.6761","5.5769","11.8449","17.5817","25.6993",9.0614,20.5943,"27.2361","24.6223",6.9824,12.3429,13.8338,"14.8821","1.5700",3.3335,3.5489,"2.9913",0.9883,2.8185,3.0427,"3.5983",1.3323,"1.7272",1.9371,2.1542,0.8045,"0.9596","0.2502","0.2368",0.1682,0.1802,0.0709,"0.5550",1.2161,2.7251,3.123,"3.5968"
"125","000530.SZ","机械设备",NA,NA,NA,NA,NA,7.8897,NA,15.0433,NA,7.7001,NA,14.3861,NA,16.9736,NA,26.7205,NA,10.6932,NA,21.3901,NA,6.2397,NA,8.3944,NA,3.9522,NA,6.7713,NA,3.3699,NA,7.2288,NA,3.7065,NA,7.9385,1.6986,2.9141,"4.9776","7.5985","1.2257",3.4685,5.5777,"6.9602",1.1404,"3.3739","5.2573",7.6533,1.3754,2.8229,5.6858,"7.2520","1.3348",3.0812,"6.1029","8.6202",1.1032,"3.3968","6.1722","8.3713",0.897,4.0732,"5.8503","7.8590","1.1107","3.7581","5.5320","4.6994",0.6192,4.2406,"6.3733","5.8440",0.8385,5.4242,6.5262,"4.6977","1.0689",3.7841,5.1912,"6.5854",1.1641,3.5898,5.196,"8.2354",1.0766,"3.4733",4.9926,5.9596,1.1178,"2.6952","4.4252","5.6320",0.9789,2.3544,4.5431,"6.0601",1.0208,2.9969,4.3818,"6.0249"
"143","000551.SZ","机械设备",NA,NA,NA,NA,NA,9.5881,NA,16.4494,NA,6.8914,NA,10.6103,NA,4.826,NA,38.2371,NA,5.3065,NA,2.7773,NA,0.557,NA,0.55,NA,-2.0211,NA,10.4705,NA,5.3162,NA,9.3649,NA,6.0163,NA,10.6833,2.0841,4.7692,"6.7269","8.1465","1.8972",3.7327,6.0486,"7.8494",1.837,"3.5785","5.4732",8.1107,1.5028,2.9911,4.9941,"9.0529","1.9275",3.9371,"6.6722","21.1158",1.1103,"4.0443","6.5469","9.0569",1.8787,4.6441,"6.5502","6.5997","0.6819","2.7796","8.1172","11.0664",1.1779,3.2886,"5.0324","6.2803",1.3785,2.8755,4.429,"3.0285","0.8398",1.1346,1.5805,"0.3986",1.0308,1.6574,2.5373,"3.2388",1.0504,"1.9722",2.6964,2.3787,0.8864,"1.6334","2.4134","1.8270",0.9154,2.9135,4.023,"3.4107",1.0359,3.0778,4.646,"4.1268"
"159","000570.SZ","机械设备",NA,NA,11.9387,9.9456,NA,NA,NA,18.1821,NA,25.536,NA,61.1781,NA,23.5486,NA,29.8234,NA,10.6655,NA,17.4776,NA,5.3669,NA,11.1617,NA,5.8579,NA,6.8144,NA,2.4049,NA,2.5155,NA,-1.6294,NA,-25.9979,0.0978,-0.7027,"-1.2139","-48.2766","2.9603",3.1309,4.3416,"7.1357",2.1181,"1.8960","3.5675",5.6227,1.6129,2.0528,2.948,"5.6177","2.1890",3.7917,"5.7361","9.2217",1.025,"13.6147","15.0263","13.0604",0.5541,0.2867,"-1.1770","-6.3848","2.7571","13.9113","15.0026","15.5522",2.1701,3.4751,"4.7641","6.2196",1.2163,1.8663,2.4767,"2.7664","0.7569",1.6568,2.4208,"3.0901",1.0284,2.2049,3.1222,"4.1432",1.0692,"1.8825",2.7582,3.4273,0.8704,"1.8513","3.7752","3.6094",1.2216,1.7605,2.5764,"2.8909",1.4838,1.7145,1.8461,"2.0317"
"166","000584.SZ","机械设备",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.4841,NA,1.2062,NA,0.5691,NA,10.558,NA,1.0698,NA,0.6067,NA,-5.5812,NA,-29.437,NA,0.772,NA,7.0892,NA,0.4017,NA,6.2898,0.5281,1.5054,"3.7283","5.3040","0.6299",1.3987,3.8747,"9.0250",1.7071,"3.6372","4.5423",3.799,1.2904,0.9304,0.3595,"1.7470","0.5866",-2.1958,"-6.5407","-3.3081",3.3801,"25.3214","35.4970","38.3699",2.3269,7.8627,"7.9600","7.1203","0.1693","0.2810","0.5979","1.8113",1.7102,3.903,"5.5082","7.9874",2.0027,1.8422,1.3348,"0.6379","-1.2020",-2.045,-2.894,"2.6861",7.0624,14.9029,19.0184,"21.3350",2.4934,"7.2402",10.0107,8.2543,2.1626,"2.2099","1.2736","1.3718",-1.3119,-1.7506,-2.1197,"-23.7747",-1.0885,2.5905,4.1186,"5.7963"
