"","证券代码","申万一级行业","净资产收益率ROE.平均...报告期..1993一季..单位...","净资产收益率ROE.平均...报告期..1993中报..单位...","净资产收益率ROE.平均...报告期..1993三季..单位...","净资产收益率ROE.平均...报告期..1993年报..单位...","净资产收益率ROE.平均...报告期..1994一季..单位...","净资产收益率ROE.平均...报告期..1994中报..单位...","净资产收益率ROE.平均...报告期..1994三季..单位...","净资产收益率ROE.平均...报告期..1994年报..单位...","净资产收益率ROE.平均...报告期..1995一季..单位...","净资产收益率ROE.平均...报告期..1995中报..单位...","净资产收益率ROE.平均...报告期..1995三季..单位...","净资产收益率ROE.平均...报告期..1995年报..单位...","净资产收益率ROE.平均...报告期..1996一季..单位...","净资产收益率ROE.平均...报告期..1996中报..单位...","净资产收益率ROE.平均...报告期..1996三季..单位...","净资产收益率ROE.平均...报告期..1996年报..单位...","净资产收益率ROE.平均...报告期..1997一季..单位...","净资产收益率ROE.平均...报告期..1997中报..单位...","净资产收益率ROE.平均...报告期..1997三季..单位...","净资产收益率ROE.平均...报告期..1997年报..单位...","净资产收益率ROE.平均...报告期..1998一季..单位...","净资产收益率ROE.平均...报告期..1998中报..单位...","净资产收益率ROE.平均...报告期..1998三季..单位...","净资产收益率ROE.平均...报告期..1998年报..单位...","净资产收益率ROE.平均...报告期..1999一季..单位...","净资产收益率ROE.平均...报告期..1999中报..单位...","净资产收益率ROE.平均...报告期..1999三季..单位...","净资产收益率ROE.平均...报告期..1999年报..单位...","净资产收益率ROE.平均...报告期..2000一季..单位...","净资产收益率ROE.平均...报告期..2000中报..单位...","净资产收益率ROE.平均...报告期..2000三季..单位...","净资产收益率ROE.平均...报告期..2000年报..单位...","净资产收益率ROE.平均...报告期..2001一季..单位...","净资产收益率ROE.平均...报告期..2001中报..单位...","净资产收益率ROE.平均...报告期..2001三季..单位...","净资产收益率ROE.平均...报告期..2001年报..单位...","净资产收益率ROE.平均...报告期..2002一季..单位...","净资产收益率ROE.平均...报告期..2002中报..单位...","净资产收益率ROE.平均...报告期..2002三季..单位...","净资产收益率ROE.平均...报告期..2002年报..单位...","净资产收益率ROE.平均...报告期..2003一季..单位...","净资产收益率ROE.平均...报告期..2003中报..单位...","净资产收益率ROE.平均...报告期..2003三季..单位...","净资产收益率ROE.平均...报告期..2003年报..单位...","净资产收益率ROE.平均...报告期..2004一季..单位...","净资产收益率ROE.平均...报告期..2004中报..单位...","净资产收益率ROE.平均...报告期..2004三季..单位...","净资产收益率ROE.平均...报告期..2004年报..单位...","净资产收益率ROE.平均...报告期..2005一季..单位...","净资产收益率ROE.平均...报告期..2005中报..单位...","净资产收益率ROE.平均...报告期..2005三季..单位...","净资产收益率ROE.平均...报告期..2005年报..单位...","净资产收益率ROE.平均...报告期..2006一季..单位...","净资产收益率ROE.平均...报告期..2006中报..单位...","净资产收益率ROE.平均...报告期..2006三季..单位...","净资产收益率ROE.平均...报告期..2006年报..单位...","净资产收益率ROE.平均...报告期..2007一季..单位...","净资产收益率ROE.平均...报告期..2007中报..单位...","净资产收益率ROE.平均...报告期..2007三季..单位...","净资产收益率ROE.平均...报告期..2007年报..单位...","净资产收益率ROE.平均...报告期..2008一季..单位...","净资产收益率ROE.平均...报告期..2008中报..单位...","净资产收益率ROE.平均...报告期..2008三季..单位...","净资产收益率ROE.平均...报告期..2008年报..单位...","净资产收益率ROE.平均...报告期..2009一季..单位...","净资产收益率ROE.平均...报告期..2009中报..单位...","净资产收益率ROE.平均...报告期..2009三季..单位...","净资产收益率ROE.平均...报告期..2009年报..单位...","净资产收益率ROE.平均...报告期..2010一季..单位...","净资产收益率ROE.平均...报告期..2010中报..单位...","净资产收益率ROE.平均...报告期..2010三季..单位...","净资产收益率ROE.平均...报告期..2010年报..单位...","净资产收益率ROE.平均...报告期..2011一季..单位...","净资产收益率ROE.平均...报告期..2011中报..单位...","净资产收益率ROE.平均...报告期..2011三季..单位...","净资产收益率ROE.平均...报告期..2011年报..单位...","净资产收益率ROE.平均...报告期..2012一季..单位...","净资产收益率ROE.平均...报告期..2012中报..单位...","净资产收益率ROE.平均...报告期..2012三季..单位...","净资产收益率ROE.平均...报告期..2012年报..单位...","净资产收益率ROE.平均...报告期..2013一季..单位...","净资产收益率ROE.平均...报告期..2013中报..单位...","净资产收益率ROE.平均...报告期..2013三季..单位...","净资产收益率ROE.平均...报告期..2013年报..单位...","净资产收益率ROE.平均...报告期..2014一季..单位...","净资产收益率ROE.平均...报告期..2014中报..单位...","净资产收益率ROE.平均...报告期..2014三季..单位...","净资产收益率ROE.平均...报告期..2014年报..单位...","净资产收益率ROE.平均...报告期..2015一季..单位...","净资产收益率ROE.平均...报告期..2015中报..单位...","净资产收益率ROE.平均...报告期..2015三季..单位...","净资产收益率ROE.平均...报告期..2015年报..单位...","净资产收益率ROE.平均...报告期..2016一季..单位...","净资产收益率ROE.平均...报告期..2016中报..单位...","净资产收益率ROE.平均...报告期..2016三季..单位...","净资产收益率ROE.平均...报告期..2016年报..单位...","净资产收益率ROE.平均...报告期..2017一季..单位...","净资产收益率ROE.平均...报告期..2017中报..单位...","净资产收益率ROE.平均...报告期..2017三季..单位...","净资产收益率ROE.平均...报告期..2017年报..单位..."
"14","000017.SZ","汽车",NA,NA,NA,33.7612,NA,8.9978,NA,13.5641,NA,5.4574,NA,3.9228,NA,0.6477,NA,2.2604,NA,0.6925,NA,-15.8846,NA,-5.5395,NA,-88.5898,NA,-35.3593,NA,75.2196,NA,-37.0815,NA,-140.8525,NA,-181.3774,-98.3943,NA,NA,NA,"","","",NA,NA,"",NA,"","",NA,NA,NA,NA,"","",NA,"","",NA,"","","",NA,NA,"","","","","","",NA,NA,"","",NA,NA,NA,"","",NA,NA,"",NA,NA,NA,"",4.935,"23.6082",38.9235,51.682,2.262,"3.4362","4.4207","-1.1691",1.2363,3.7397,16.2477,"19.9255",1.4668,-12.5074,-9.9621,"10.1073"
"21","000025.SZ","汽车",NA,NA,NA,17.912,NA,7.2824,NA,11.03,NA,2.0971,NA,0.0708,NA,-1.8734,NA,-43.3779,NA,-9.7784,NA,10.689,NA,4.3465,NA,6.707,NA,-8.6039,NA,-38.0209,NA,-46.0641,NA,-75.0296,-7.5241,-12.4312,-2.9643,2.8648,-3.515,-3.9057,"-4.9302","-17.4442","-2.3068",-1.7364,-1.0909,"2.4959",-0.8431,"-1.3960","0.1508",2.0212,-0.2525,0.1891,1.1142,"2.5676","0.3187",1.0369,"2.3796","-47.1770",-1.6602,"-0.6028","-0.0743","8.0851",-2.2582,-2.0464,"-0.9605","2.8535","-4.8729","1.6746","0.7945","3.7669",-0.7077,0.6421,"0.5304","2.0709",0.2063,0.2862,-0.9373,"1.2237","-1.2567",-4.9929,-4.2263,"3.9478",2.4261,2.0096,10.4155,"3.6703",1.7161,"2.7733",2.2053,5.3989,0.1548,"1.4929","3.6092","8.0692",0.7073,2.0236,2.9747,"3.0840",0.5008,2.7084,4.4319,"7.1949"
"26","000030.SZ","汽车",NA,23.4537,NA,29.4218,NA,10.4559,NA,17.2395,NA,4.7148,NA,2.8165,NA,3.3047,NA,3.9648,NA,1.8554,NA,5.7242,NA,-22.2315,NA,-92.7244,NA,-65.0219,NA,63.2816,NA,-139.2059,NA,6.5787,-9.7546,-20.4821,-27.9202,NA,NA,NA,"","","",NA,NA,"",NA,"","",NA,NA,NA,NA,"","",NA,"","",NA,"","","",NA,NA,"","","","","","",NA,NA,"","",NA,NA,NA,"","-39.7309",-111.6078,-204.819,"-1,871.8840",8.1179,16.0646,22.2218,"28.6289",3.9497,"8.4305",12.0751,15.4673,3.6963,"6.5791","8.1993","11.1968",3.2894,7.7321,10.7029,"13.7285",4.1818,8.5966,12.0025,"15.2231"
"74","000338.SZ","汽车",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","",NA,NA,"81.8461",NA,"","",41.1608,NA,NA,NA,"13.5740","",NA,"25.5415","27.7667",7.9588,"26.0566","36.3391","43.1540",10.5498,23.5183,"27.9285","26.8633","4.3967","14.1628","25.8346","34.5014",12.8813,24.4302,"34.1609","44.8117",9.5245,17.6889,22.6124,"27.0263","4.3816",7.9905,10.0846,"12.5218",3.2245,8.129,10.4072,"13.5791",3.7329,"12.6980",15.1234,16.6952,1.8739,"3.0093","3.2618","4.3322",1.3893,3.3023,4.7829,"7.6927",3.6524,8.2273,13.1598,"20.3301"
"142","000550.SZ","汽车",NA,NA,NA,NA,NA,7.2813,NA,11.7043,NA,1.459,NA,0.6669,NA,0.2601,NA,3.2796,NA,1.6316,NA,3.228,NA,0.2599,NA,-3.0491,NA,0.3228,NA,-10.4563,NA,0.3534,NA,3.2958,NA,4.369,NA,6.1667,2.6451,7.7281,"12.0390","16.6988","6.8725",12.5324,18.9797,"22.0168",5.6775,"10.6844","13.0958",16.2223,3.1831,9.9463,16.5509,"18.4042","7.9253",15.248,"18.9540","21.3106",4.5087,"12.9518","19.5257","23.1584",5.3364,14.5053,"17.1700","20.7015","4.4124","10.4586","17.8599","23.7484",9.7145,20.2182,"27.1134","31.2019",8.5564,17.0529,22.6717,"27.8430","6.3044",11.4291,15.6296,"19.7069",5.9995,11.3654,14.972,"19.6786",6.3174,"12.3632",15.9474,21.318,5.2736,"10.0884","14.0676","19.6820",3.3932,5.9259,9.0501,"10.8077",1.8254,4.4509,5.1616,"5.5316"
"150","000559.SZ","汽车",NA,NA,NA,17.2031,NA,9.032,NA,17.2597,NA,7.0277,NA,16.7294,NA,11.0269,NA,18.0204,NA,11.769,NA,19.4924,NA,8.1325,NA,15.0778,NA,7.8272,NA,14.9194,NA,9.6534,NA,16.592,NA,7.5215,NA,11.0352,2.207,5.7251,"7.3899","10.3266","2.5030",5.7738,7.4192,"10.6788",2.6374,"4.2073","6.7765",9.9229,2.737,4.4941,6.3415,"8.5215","3.1137",5.222,"7.4714","10.8070",3.8451,"7.3306","9.9895","14.6612",4.3347,6.8902,"9.6060","13.3089","4.7182","7.6411","12.0882","17.1058",6.8001,8.1605,"11.2901","15.7621",3.3384,6.8684,9.2005,"12.1960","2.3458",4.3897,5.8434,"8.8288",2.9411,5.6138,8.1389,"14.9370",5.085,"9.8844",14.1489,19.0177,5.0278,"11.4522","14.3705","19.0923",5.3744,11.7013,14.7889,"19.5368",5.2304,9.9282,13.6446,"18.7561"
"161","000572.SZ","汽车",NA,NA,NA,NA,NA,20.6878,NA,22.584,NA,1.9942,NA,-14.1051,NA,0.1357,NA,4.4526,NA,0.1515,NA,0.2763,NA,-8.0338,NA,-20.4249,NA,-1.5641,NA,0.4728,NA,-7.9231,NA,0.3585,NA,0.1818,NA,-65.9138,-4.1625,-4.9152,"-8.3093","-89.2080","-13.5119",-11.2595,-6.7558,"20.2825",22.9742,"24.4211","39.1398",30.1649,10.1684,16.6125,25.5187,"29.1964","6.0584",11.6067,"17.7514","11.2830",4.9119,"14.0837","19.2932","23.5351",2.0218,2.1085,"0.1246","2.0875","-0.9413","-3.6443","-7.0684","-9.4444",2.4007,6.4957,"6.1968","8.2701",1.3414,3.0636,5.9291,"5.2838","0.3327",0.9006,0.9396,"2.4957",0.4439,1.8,2.9266,"4.3674",0.8388,"1.7687",2.2335,3.0033,1.78,"2.6484","1.5226","2.2304",1.1308,2.3579,2.8164,"3.0986",0.6707,0.3244,-0.8405,"-14.1535"
"164","000581.SZ","汽车",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.2223,NA,16.5335,NA,7.4096,NA,16.5383,NA,9.601,NA,10.4006,NA,6.7409,NA,9.3084,NA,6.3238,NA,9.4364,NA,5.5013,NA,9.1146,2.6212,5.8857,"8.5079","11.6925","3.1552",5.9321,8.8288,"12.3772",3.8007,"6.3058","8.2182",11.0775,4.2921,6.6935,7.7132,"8.0076","2.4313",3.4404,"3.2023","4.0979",2.1179,"4.2041","5.2413","10.0170",1.2551,5.167,"6.6178","7.8867","-1.2833","3.5077","8.7760","16.6967",3.9056,10.5693,"19.7355","38.4650",6.8382,14.9742,19.3994,"26.2722","3.7168",6.7121,9.0708,"12.9639",2.9447,6.0089,8.9249,"12.1404",4.3685,"8.5373",12.2834,15.0484,3.9037,"9.3061","11.6065","13.3855",3.3944,7.8796,10.7767,"13.5345",4.8812,9.9934,13.7031,"18.5235"
"197","000622.SZ","汽车",NA,NA,NA,NA,NA,NA,NA,8.4329,NA,NA,NA,16.131,NA,15.6185,NA,19.9727,NA,10.5082,NA,13.3429,NA,5.7419,NA,12.9109,NA,1.8692,NA,8.3876,NA,1.676,NA,7.0209,NA,1.4626,NA,3.7233,-1.959,1.6597,"2.3725","2.6359","0.4610",2.4391,1.6029,"-9.8486",0.1788,"0.2912","-3.1751",-210.9837,NA,NA,NA,"","",NA,"","",NA,"","","",NA,NA,"","","","","","",NA,NA,"","",NA,NA,NA,"","",NA,NA,"22.7791",-0.5744,-2.2418,-3.3768,"4.3682",-1.8843,"-4.1888",-7.1544,-16.7165,-3.2323,"-7.9179","-12.0367","-26.4526",-2.5469,-7.3333,-13.1601,"27.0308",-1.4657,-4.0181,-6.0627,"-14.0758"
"199","000625.SZ","汽车",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,48.4733,NA,NA,NA,20.7234,NA,6.5969,NA,10.2849,NA,2.6608,NA,0.6961,NA,0.9227,NA,2.2787,NA,1.4347,NA,6.1087,NA,3.9242,NA,6.3641,2.6778,5.2653,"14.7459","28.4222","9.4247",20.7747,29.1384,"36.0858",7.9355,"16.0232","18.5322",22.4867,2.8403,4.2785,3.1709,"3.4539","2.8529",4.8806,"5.9704","7.5808",2.3437,"5.9661","6.9013","9.1697",3.4722,5.773,"4.4358","0.3214","0.3724","6.8009","10.5402","13.1546",8.5886,14.6094,"17.9953","20.8692",5.6825,8.0784,7.0742,"7.6322","1.0043",3.8503,5.1036,"9.5624",3.4762,8.2912,13.8136,"20.4462",9.9879,"17.9854",25.8471,34.0469,9.2826,"18.4443","23.7635","33.1633",7.4863,15.4279,21.0789,"26.3864",5.3634,10.4214,12.9251,"15.6566"
