"","证券代码","申万一级行业","净资产收益率ROE.平均...报告期..1993一季..单位...","净资产收益率ROE.平均...报告期..1993中报..单位...","净资产收益率ROE.平均...报告期..1993三季..单位...","净资产收益率ROE.平均...报告期..1993年报..单位...","净资产收益率ROE.平均...报告期..1994一季..单位...","净资产收益率ROE.平均...报告期..1994中报..单位...","净资产收益率ROE.平均...报告期..1994三季..单位...","净资产收益率ROE.平均...报告期..1994年报..单位...","净资产收益率ROE.平均...报告期..1995一季..单位...","净资产收益率ROE.平均...报告期..1995中报..单位...","净资产收益率ROE.平均...报告期..1995三季..单位...","净资产收益率ROE.平均...报告期..1995年报..单位...","净资产收益率ROE.平均...报告期..1996一季..单位...","净资产收益率ROE.平均...报告期..1996中报..单位...","净资产收益率ROE.平均...报告期..1996三季..单位...","净资产收益率ROE.平均...报告期..1996年报..单位...","净资产收益率ROE.平均...报告期..1997一季..单位...","净资产收益率ROE.平均...报告期..1997中报..单位...","净资产收益率ROE.平均...报告期..1997三季..单位...","净资产收益率ROE.平均...报告期..1997年报..单位...","净资产收益率ROE.平均...报告期..1998一季..单位...","净资产收益率ROE.平均...报告期..1998中报..单位...","净资产收益率ROE.平均...报告期..1998三季..单位...","净资产收益率ROE.平均...报告期..1998年报..单位...","净资产收益率ROE.平均...报告期..1999一季..单位...","净资产收益率ROE.平均...报告期..1999中报..单位...","净资产收益率ROE.平均...报告期..1999三季..单位...","净资产收益率ROE.平均...报告期..1999年报..单位...","净资产收益率ROE.平均...报告期..2000一季..单位...","净资产收益率ROE.平均...报告期..2000中报..单位...","净资产收益率ROE.平均...报告期..2000三季..单位...","净资产收益率ROE.平均...报告期..2000年报..单位...","净资产收益率ROE.平均...报告期..2001一季..单位...","净资产收益率ROE.平均...报告期..2001中报..单位...","净资产收益率ROE.平均...报告期..2001三季..单位...","净资产收益率ROE.平均...报告期..2001年报..单位...","净资产收益率ROE.平均...报告期..2002一季..单位...","净资产收益率ROE.平均...报告期..2002中报..单位...","净资产收益率ROE.平均...报告期..2002三季..单位...","净资产收益率ROE.平均...报告期..2002年报..单位...","净资产收益率ROE.平均...报告期..2003一季..单位...","净资产收益率ROE.平均...报告期..2003中报..单位...","净资产收益率ROE.平均...报告期..2003三季..单位...","净资产收益率ROE.平均...报告期..2003年报..单位...","净资产收益率ROE.平均...报告期..2004一季..单位...","净资产收益率ROE.平均...报告期..2004中报..单位...","净资产收益率ROE.平均...报告期..2004三季..单位...","净资产收益率ROE.平均...报告期..2004年报..单位...","净资产收益率ROE.平均...报告期..2005一季..单位...","净资产收益率ROE.平均...报告期..2005中报..单位...","净资产收益率ROE.平均...报告期..2005三季..单位...","净资产收益率ROE.平均...报告期..2005年报..单位...","净资产收益率ROE.平均...报告期..2006一季..单位...","净资产收益率ROE.平均...报告期..2006中报..单位...","净资产收益率ROE.平均...报告期..2006三季..单位...","净资产收益率ROE.平均...报告期..2006年报..单位...","净资产收益率ROE.平均...报告期..2007一季..单位...","净资产收益率ROE.平均...报告期..2007中报..单位...","净资产收益率ROE.平均...报告期..2007三季..单位...","净资产收益率ROE.平均...报告期..2007年报..单位...","净资产收益率ROE.平均...报告期..2008一季..单位...","净资产收益率ROE.平均...报告期..2008中报..单位...","净资产收益率ROE.平均...报告期..2008三季..单位...","净资产收益率ROE.平均...报告期..2008年报..单位...","净资产收益率ROE.平均...报告期..2009一季..单位...","净资产收益率ROE.平均...报告期..2009中报..单位...","净资产收益率ROE.平均...报告期..2009三季..单位...","净资产收益率ROE.平均...报告期..2009年报..单位...","净资产收益率ROE.平均...报告期..2010一季..单位...","净资产收益率ROE.平均...报告期..2010中报..单位...","净资产收益率ROE.平均...报告期..2010三季..单位...","净资产收益率ROE.平均...报告期..2010年报..单位...","净资产收益率ROE.平均...报告期..2011一季..单位...","净资产收益率ROE.平均...报告期..2011中报..单位...","净资产收益率ROE.平均...报告期..2011三季..单位...","净资产收益率ROE.平均...报告期..2011年报..单位...","净资产收益率ROE.平均...报告期..2012一季..单位...","净资产收益率ROE.平均...报告期..2012中报..单位...","净资产收益率ROE.平均...报告期..2012三季..单位...","净资产收益率ROE.平均...报告期..2012年报..单位...","净资产收益率ROE.平均...报告期..2013一季..单位...","净资产收益率ROE.平均...报告期..2013中报..单位...","净资产收益率ROE.平均...报告期..2013三季..单位...","净资产收益率ROE.平均...报告期..2013年报..单位...","净资产收益率ROE.平均...报告期..2014一季..单位...","净资产收益率ROE.平均...报告期..2014中报..单位...","净资产收益率ROE.平均...报告期..2014三季..单位...","净资产收益率ROE.平均...报告期..2014年报..单位...","净资产收益率ROE.平均...报告期..2015一季..单位...","净资产收益率ROE.平均...报告期..2015中报..单位...","净资产收益率ROE.平均...报告期..2015三季..单位...","净资产收益率ROE.平均...报告期..2015年报..单位...","净资产收益率ROE.平均...报告期..2016一季..单位...","净资产收益率ROE.平均...报告期..2016中报..单位...","净资产收益率ROE.平均...报告期..2016三季..单位...","净资产收益率ROE.平均...报告期..2016年报..单位...","净资产收益率ROE.平均...报告期..2017一季..单位...","净资产收益率ROE.平均...报告期..2017中报..单位...","净资产收益率ROE.平均...报告期..2017三季..单位...","净资产收益率ROE.平均...报告期..2017年报..单位..."
"17","000020.SZ","电子",NA,NA,NA,16.1823,NA,8.4683,NA,14.2158,NA,6.7805,NA,13.117,NA,2.9898,NA,10.1269,NA,2.9072,NA,-17.5899,NA,-5.3861,NA,-14.3915,NA,1.0238,NA,3.2161,NA,1.1944,NA,0.9614,NA,0.539,NA,1.0323,0.2266,-0.9488,"0.9324","1.8332","0.1745",0.1686,0.1927,"-2.7111",0.0419,"-0.7006","-1.3465",-17.4295,-0.3068,0.174,1.5578,"2.8114","0.2374",0.2384,"0.5405","-10.1364",0.0536,"-1.0302","4.3657","9.5454",0.6271,-1.039,"-0.6026","3.0889","0.8450","1.7438","3.9963","1.6626",4.6701,6.6662,"6.4059","3.5397",1.2446,3.422,3.3433,"3.8176","1.6931",2.2938,2.2463,"1.1638",0.2916,0.6999,0.288,"-2.3535",0.2536,"0.5306",0.3614,2.7702,0.1818,"4.9152","6.8628","-2.2713",0.15,2.3086,1.437,"1.7296",0.1317,0.6692,0.1089,"0.3043"
"38","000045.SZ","电子",NA,NA,NA,NA,NA,12.3271,NA,12.6452,NA,3.8114,NA,5.0826,NA,1.512,NA,3.9841,NA,2.5136,NA,4.3836,NA,0.4144,NA,-36.7746,NA,3.8293,NA,8.5222,NA,4.8856,NA,8.5008,NA,5.3232,NA,8.6606,1.5618,5.0327,"6.4153","0.3879","1.1882",3.9969,6.4565,"10.5910",0.9032,"3.6975","6.1559",7.9721,0.7681,2.9615,4.3519,"6.3569","0.3970",1.9203,"2.2104","1.3598",0.446,"1.4725","2.4328","3.3016",2.1719,8.5774,"9.9062","11.7846","2.2134","5.1321","8.5803","8.3507",2.2799,5.031,"3.9936","4.4268",1.0473,2.38,3.1126,"3.6026","0.6232",-1.3727,-4.517,"-6.0606",-0.2706,-0.2045,0.4167,"2.6229",-0.4793,"-0.9488",-1.6802,-5.0551,0.1982,"0.3509","0.2832","0.3888",-0.4725,-1.3944,-2.4405,"-3.8666",0.1837,0.6161,1.4303,"2.2282"
"41","000049.SZ","电子",NA,NA,NA,11.5665,NA,NA,NA,7.2274,NA,1.1264,NA,1.8893,NA,0.1617,NA,0.5244,NA,0.9724,NA,-2.0138,NA,8.5957,NA,14.2369,NA,-1.9906,NA,8.8374,NA,0.3734,NA,0.2033,NA,-2.722,NA,8.2638,-3.1588,-5.7493,"-8.5119","1.2637","-3.8189",-8.764,-12.2067,"-26.2907",-2.6653,"-5.1339","-4.9336",2.3261,3.4381,6.235,8.9201,"12.3866","4.0536",6.9345,"11.1799","15.0300",-1.6479,"1.0682","1.9462","4.6539",0.7476,1.1764,"2.6552","1.0149","-5.4406","-10.8082","-29.7090","-11.7770",7.3753,16.5279,"27.9538","41.2363",10.3284,17.4848,26.0671,"45.6127","10.8648",14.9295,26.0362,"42.0292",11.1685,18.4498,28.1144,"45.6301",8.866,"15.3651",24.2999,36.7709,7.662,"14.7608","21.4227","27.5280",4.0886,7.6211,13.5798,"24.4718",5.8005,9.6362,15.2239,"23.4739"
"42","000050.SZ","电子",NA,NA,NA,28.7755,NA,NA,NA,24.4214,NA,8.2207,NA,20.1493,NA,6.0511,NA,11.1934,NA,10.536,NA,25.608,NA,6.0359,NA,10.8381,NA,3.0872,NA,6.5776,NA,4.4261,NA,9.5365,NA,3.11,NA,4.7154,1.1113,2.0695,"0.6607","-5.1516","1.6673",3.0468,4.0307,"6.9463",1.611,"5.0044","6.7103",13.216,1.5222,4.1766,5.1068,"7.2187","1.7124",5.3956,"9.0541","10.8596",1.8104,"4.9451","5.3492","7.2206",0.6244,2.8056,"2.6580","0.6435","-4.1058","-7.5777","-9.3460","-16.4755",0.4734,3.8357,"5.8550","5.9639",0.6442,2.9855,3.9704,"7.9822","-0.5491",0.8194,4.4351,"4.0429",0.1062,1.5699,8.4319,"10.0415",1.9782,"5.4350",6.629,12.7195,1.5739,"3.1319","4.0953","5.1849",0.683,1.9792,2.8124,"4.2150",1.6221,3.201,5.3457,"5.7180"
"49","000062.SZ","电子",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31.6634,NA,NA,NA,31.3462,NA,10.8317,NA,18.8175,NA,14.4919,NA,16.8685,NA,8.6611,NA,10.6833,NA,4.8947,NA,8.8104,NA,2.8395,NA,5.5114,0.8954,1.8229,"2.3369","3.1183","0.5038",1.4436,1.4851,"1.8937",1.108,"1.6369","2.8200",3.4327,0.7856,1.553,2.519,"2.0534","1.3346",4.1917,"5.4181","7.1964",0.5575,"2.6842","9.1368","7.2412",-1.0445,-2.118,"0.5116","2.9529","-2.8913","-2.9541","-0.8582","13.4239",1.795,3.183,"8.8610","10.7544",0.9841,1.7099,2.2524,"2.8341","0.1175",1.7139,5.2641,"17.1353",0.1323,4.8378,7.2501,"23.4449",6.6688,"17.3110",20.5755,22.3831,2.2023,"6.8615","9.3089","12.6922",1.6214,3.5546,7.2623,"11.2260",1.9517,4.8934,7.9172,"10.0807"
"85","000413.SZ","电子",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,35.1465,NA,11.4811,NA,11.133,NA,-1.2473,NA,-42.5264,NA,-31.3663,NA,-45.9601,NA,0.9928,NA,8.9381,NA,5.2244,NA,17.1935,NA,9.4418,NA,7.2288,0.0649,0.2563,"1.4726","5.1926","0.8674",0.541,1.5727,"3.7504",0.2672,"0.2185","1.1619",4.6143,0.182,0.0798,-4.6275,"-81.1547","-11.5949",-20.8725,"-33.6020","-25.1501",0.106,"0.6157","1.5884","4.3070",1.1316,1.2859,"1.5270","1.6739","0.1324","-2.1995","-5.0694","-13.9158",-2.9541,-5.4875,"-6.9074","0.6944",-3.0178,-4.5668,-1.0375,"5.2307","7.8694",16.2707,35.1797,"45.6960",14.6339,3.8903,7.0997,"11.9021",3.5091,"6.7726",9.8812,14.3771,3.2929,"6.6418","11.7830","12.7791",2.3993,3.7799,4.444,"6.7875",1.7525,2.8435,4.549,"6.5627"
"127","000532.SZ","电子",NA,NA,NA,17.3633,NA,7.8361,NA,11.9013,NA,1.9648,NA,-1.6943,NA,-1.7477,NA,0.9255,NA,0.1595,NA,0.8594,NA,-0.2791,NA,-21.961,NA,0.1013,NA,0.3785,NA,-2.3564,NA,-33.897,NA,4.7264,NA,6.0748,0.4997,9.2044,"9.3421","9.6362","0.4277",8.9861,10.0681,"11.5319",1.7202,"1.4674","2.0505",-2.7376,0.6617,0.4662,0.5327,"5.4531","1.5243",4.7956,"4.1857","8.9122",2.9707,"7.2426","9.8392","9.5085",-1.6557,-3.3297,"-3.6429","-6.1435","2.3545","6.7265","7.7355","7.0792",0.1531,0.1171,"3.1256","3.9424",0.4565,0.6982,2.6152,"4.0486","0.7160",1.8606,3.4374,"6.6243",1.0158,3.8529,5.8692,"7.9563",0.5183,"2.1329",3.0122,4.6374,0.6645,"2.4432","3.6516","5.5377",0.9254,3.3124,4.315,"5.8361",0.5043,2.119,3.8062,"6.6264"
"130","000536.SZ","电子",NA,NA,NA,NA,NA,11.1117,NA,16.8041,NA,3.4764,NA,2.8639,NA,0.6513,NA,-9.6327,NA,-2.9164,NA,0.6117,NA,-15.7713,NA,-96.5582,NA,-32.7969,NA,-137.7341,NA,-190.8696,NA,NA,NA,NA,NA,NA,NA,33.5215,"-108.0997","","-327.6093",NA,NA,"",NA,"","",NA,NA,NA,NA,"","",NA,"","841.7434",-6.3606,"63.4200","76.0926","71.1619",6.1172,13.7972,"21.3364","15.9806","4.2264","0.0945","0.1216","15.0103",8.7956,14.2414,"20.5536","27.3874",2.956,5.4871,8.7778,"13.4985","3.3393",5.3715,9.0381,"10.6470",2.9599,7.4501,13.3778,"15.2288",3.8124,"6.0015",7.8319,9.4609,1.0901,"1.2483","2.5337","5.3210",2.0929,13.3078,5.1565,"4.9884",0.4269,0.5483,1.4052,"1.5979"
"135","000541.SZ","电子",NA,NA,NA,NA,NA,13.8938,NA,24.3012,NA,11.3877,NA,20.1026,NA,8.0682,NA,16.8161,NA,7.963,NA,12.4331,NA,7.0885,NA,13.3331,NA,7.4297,NA,13.7001,NA,6.1699,NA,10.5269,NA,4.7486,NA,9.1626,2.789,5.1927,"7.5054","10.5896","2.6845",5.7171,8.7073,"10.9057",2.6829,"5.3551","8.1819",10.4149,2.6188,5.3552,7.7891,"9.6295","2.2936",5.0862,"7.1921","11.3187",5.0228,"11.9620","15.2172","15.7170",-2.4934,5.7892,"7.0722","8.0215","1.5357","2.7800","5.1867","8.0648",1.0343,3.1169,"6.1235","9.7209",2.4162,4.3699,7.9687,"10.4955","2.0193",4.7073,7.8229,"13.9511",2.2537,5.327,8.2647,"8.6233",2.4397,"6.5033",10.1478,8.9677,3.2242,"2.7207","1.9301","1.3239",2.1291,3.9876,5.5705,"21.4168",2.3552,4.7121,13.6912,"15.1554"
"209","000636.SZ","电子",NA,NA,NA,NA,NA,NA,NA,32.2769,NA,NA,NA,34.1577,NA,15.0485,NA,27.4288,NA,16.7909,NA,25.4568,NA,13.4998,NA,28.3428,NA,18.3289,NA,36.8205,NA,13.0247,NA,26.6769,NA,3.4606,NA,2.0784,0.084,0.7825,"1.5438","1.0852","0.3435",0.7975,1.1694,"1.1266",0.1879,"0.6851","1.2583",1.1722,0.0362,0.3861,0.6485,"0.5845","0.7895",1.9739,"2.4061","3.9898",2.5395,"4.0121","7.4581","8.0649",-3.3162,-4.6234,"-4.0855","-21.5980","-0.8003","0.1001","1.0654","3.1880",1.9436,6.416,"9.8683","10.5496",1.0424,3.487,4.8448,"7.1157","0.0905",2.4268,3.0491,"3.3278",0.2373,1.7826,2.1328,"3.9840",0.3433,"1.7419",2.1469,3.1491,0.1267,"1.0870","1.2240","1.4618",0.655,1.7329,2.3991,"1.8752",0.6057,2.4995,4.0404,"5.5148"
