"","证券代码","申万一级行业","净资产收益率ROE.平均...报告期..1993一季..单位...","净资产收益率ROE.平均...报告期..1993中报..单位...","净资产收益率ROE.平均...报告期..1993三季..单位...","净资产收益率ROE.平均...报告期..1993年报..单位...","净资产收益率ROE.平均...报告期..1994一季..单位...","净资产收益率ROE.平均...报告期..1994中报..单位...","净资产收益率ROE.平均...报告期..1994三季..单位...","净资产收益率ROE.平均...报告期..1994年报..单位...","净资产收益率ROE.平均...报告期..1995一季..单位...","净资产收益率ROE.平均...报告期..1995中报..单位...","净资产收益率ROE.平均...报告期..1995三季..单位...","净资产收益率ROE.平均...报告期..1995年报..单位...","净资产收益率ROE.平均...报告期..1996一季..单位...","净资产收益率ROE.平均...报告期..1996中报..单位...","净资产收益率ROE.平均...报告期..1996三季..单位...","净资产收益率ROE.平均...报告期..1996年报..单位...","净资产收益率ROE.平均...报告期..1997一季..单位...","净资产收益率ROE.平均...报告期..1997中报..单位...","净资产收益率ROE.平均...报告期..1997三季..单位...","净资产收益率ROE.平均...报告期..1997年报..单位...","净资产收益率ROE.平均...报告期..1998一季..单位...","净资产收益率ROE.平均...报告期..1998中报..单位...","净资产收益率ROE.平均...报告期..1998三季..单位...","净资产收益率ROE.平均...报告期..1998年报..单位...","净资产收益率ROE.平均...报告期..1999一季..单位...","净资产收益率ROE.平均...报告期..1999中报..单位...","净资产收益率ROE.平均...报告期..1999三季..单位...","净资产收益率ROE.平均...报告期..1999年报..单位...","净资产收益率ROE.平均...报告期..2000一季..单位...","净资产收益率ROE.平均...报告期..2000中报..单位...","净资产收益率ROE.平均...报告期..2000三季..单位...","净资产收益率ROE.平均...报告期..2000年报..单位...","净资产收益率ROE.平均...报告期..2001一季..单位...","净资产收益率ROE.平均...报告期..2001中报..单位...","净资产收益率ROE.平均...报告期..2001三季..单位...","净资产收益率ROE.平均...报告期..2001年报..单位...","净资产收益率ROE.平均...报告期..2002一季..单位...","净资产收益率ROE.平均...报告期..2002中报..单位...","净资产收益率ROE.平均...报告期..2002三季..单位...","净资产收益率ROE.平均...报告期..2002年报..单位...","净资产收益率ROE.平均...报告期..2003一季..单位...","净资产收益率ROE.平均...报告期..2003中报..单位...","净资产收益率ROE.平均...报告期..2003三季..单位...","净资产收益率ROE.平均...报告期..2003年报..单位...","净资产收益率ROE.平均...报告期..2004一季..单位...","净资产收益率ROE.平均...报告期..2004中报..单位...","净资产收益率ROE.平均...报告期..2004三季..单位...","净资产收益率ROE.平均...报告期..2004年报..单位...","净资产收益率ROE.平均...报告期..2005一季..单位...","净资产收益率ROE.平均...报告期..2005中报..单位...","净资产收益率ROE.平均...报告期..2005三季..单位...","净资产收益率ROE.平均...报告期..2005年报..单位...","净资产收益率ROE.平均...报告期..2006一季..单位...","净资产收益率ROE.平均...报告期..2006中报..单位...","净资产收益率ROE.平均...报告期..2006三季..单位...","净资产收益率ROE.平均...报告期..2006年报..单位...","净资产收益率ROE.平均...报告期..2007一季..单位...","净资产收益率ROE.平均...报告期..2007中报..单位...","净资产收益率ROE.平均...报告期..2007三季..单位...","净资产收益率ROE.平均...报告期..2007年报..单位...","净资产收益率ROE.平均...报告期..2008一季..单位...","净资产收益率ROE.平均...报告期..2008中报..单位...","净资产收益率ROE.平均...报告期..2008三季..单位...","净资产收益率ROE.平均...报告期..2008年报..单位...","净资产收益率ROE.平均...报告期..2009一季..单位...","净资产收益率ROE.平均...报告期..2009中报..单位...","净资产收益率ROE.平均...报告期..2009三季..单位...","净资产收益率ROE.平均...报告期..2009年报..单位...","净资产收益率ROE.平均...报告期..2010一季..单位...","净资产收益率ROE.平均...报告期..2010中报..单位...","净资产收益率ROE.平均...报告期..2010三季..单位...","净资产收益率ROE.平均...报告期..2010年报..单位...","净资产收益率ROE.平均...报告期..2011一季..单位...","净资产收益率ROE.平均...报告期..2011中报..单位...","净资产收益率ROE.平均...报告期..2011三季..单位...","净资产收益率ROE.平均...报告期..2011年报..单位...","净资产收益率ROE.平均...报告期..2012一季..单位...","净资产收益率ROE.平均...报告期..2012中报..单位...","净资产收益率ROE.平均...报告期..2012三季..单位...","净资产收益率ROE.平均...报告期..2012年报..单位...","净资产收益率ROE.平均...报告期..2013一季..单位...","净资产收益率ROE.平均...报告期..2013中报..单位...","净资产收益率ROE.平均...报告期..2013三季..单位...","净资产收益率ROE.平均...报告期..2013年报..单位...","净资产收益率ROE.平均...报告期..2014一季..单位...","净资产收益率ROE.平均...报告期..2014中报..单位...","净资产收益率ROE.平均...报告期..2014三季..单位...","净资产收益率ROE.平均...报告期..2014年报..单位...","净资产收益率ROE.平均...报告期..2015一季..单位...","净资产收益率ROE.平均...报告期..2015中报..单位...","净资产收益率ROE.平均...报告期..2015三季..单位...","净资产收益率ROE.平均...报告期..2015年报..单位...","净资产收益率ROE.平均...报告期..2016一季..单位...","净资产收益率ROE.平均...报告期..2016中报..单位...","净资产收益率ROE.平均...报告期..2016三季..单位...","净资产收益率ROE.平均...报告期..2016年报..单位...","净资产收益率ROE.平均...报告期..2017一季..单位...","净资产收益率ROE.平均...报告期..2017中报..单位...","净资产收益率ROE.平均...报告期..2017三季..单位...","净资产收益率ROE.平均...报告期..2017年报..单位..."
"189","000611.SZ","纺织服装",NA,NA,NA,NA,NA,NA,NA,28.333,NA,NA,NA,26.0345,NA,15.3011,NA,17.6771,NA,4.8039,NA,11.9013,NA,4.3686,NA,6.6515,NA,1.2818,NA,0.1796,NA,0.1826,NA,0.2745,NA,-1.9979,NA,-18.052,0.0049,-6.1487,"5.2139","11.5461","1.6518",2.372,4.0422,"7.0293",1.211,"3.1834","4.4897",6.7086,0.855,2.243,4.0766,"6.7044","1.5092",3.3815,"5.4770","8.1346",1.8343,"3.9912","7.4687","8.2245",1.3136,2.8513,"4.8648","4.0322","0.5772","1.7706","2.6120","2.1618",0.8253,2.1377,"3.2387","3.6424",0.5174,1.0217,0.1607,"0.9272","-0.1829",0.0883,0.1776,"-7.5951",-0.7233,0.2412,1.1393,"1.9323",-0.0374,"-2.0793",-2.7686,-8.8062,-1.3449,"-4.0729","-4.2253","-96.9290",-4.1419,-9.7683,-13.9786,"2.6688",-0.7181,-2.3103,-2.6865,"-6.0414"
"273","000726.SZ","纺织服装",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.2652,NA,NA,NA,17.2813,NA,11.7885,NA,17.1892,NA,8.131,NA,16.5444,NA,10.7087,NA,19.61,NA,12.1869,NA,11.1899,NA,4.8125,7.6159,9.3125,2.2445,5.351,"8.0982","10.0442","3.4166",6.9214,11.3454,"14.1393",4.9724,"9.5967","14.0268",18.4478,4.9325,10.5141,15.6409,"18.7621","4.6598",9.8515,"14.2595","18.3612",4.9198,"10.7028","16.0067","21.7234",6.2631,12.7114,"20.7499","17.6656","3.4032","7.3682","11.1860","15.2855",3.7111,9.2265,"14.0562","17.7585",4.6086,10.8627,15.3256,"17.8821","2.2361",5.8987,9.0213,"13.6721",3.5886,7.801,12.3701,"17.7539",3.5064,"7.8859",11.5194,15.2459,2.2912,"5.2821","8.2755","10.6093",2.1933,5.165,8.5895,"11.6942",2.2522,5.6996,8.4436,"11.8732"
"303","000779.SZ","纺织服装",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,55.9198,NA,NA,NA,36.3332,NA,8.4783,NA,16.4005,NA,4.9694,NA,6.4611,NA,2.0241,NA,12.3835,NA,4.0856,NA,8.7818,NA,1.3456,NA,2.5753,0.1237,0.5537,"1.3114","2.7049","0.1559",0.5268,0.7007,"3.1566",0.4199,"1.5725","2.6682",-60.992,0.0736,2.5318,2.9331,"-28.6256","0.4831",1.4026,"1.5519","2.6330",0.626,"1.5840","2.1978","9.2710",-0.2082,1.5483,"1.7525","10.3272","-3.6954","-5.0030","-5.7253","1.7461",-2.1184,-3.6308,"0.7548","1.9911",-1.2523,-2.1161,8.4877,"2.3649","-0.9047",-0.8855,-1.3681,"-4.0904",-2.1197,-4.4743,-6.6468,"-11.4134",-4.2595,"-5.4084",2.1856,3.5932,-3.5512,"-6.2603","-8.4393","-32.2411",-7.8643,-17.6883,-26.5555,"6.1910",-6.0592,14.7839,33.7093,"30.6627"
"352","000850.SZ","纺织服装",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30.7004,NA,NA,NA,27.0285,NA,7.9436,NA,15.5291,NA,6.1876,NA,14.0602,NA,11.0185,NA,21.2052,NA,10.857,NA,14.9289,1.8813,4.7757,"8.1250","9.5146","1.6276",4.1174,6.2771,"7.4106",2.1661,"3.3221","3.1676",3.0169,1.6869,3.2094,4.2246,"5.3053","1.4183",2.6262,"3.9088","7.7462",1.408,"2.7057","3.4715","9.7502",0.7393,3.4562,"7.3925","8.7044","1.8464","2.1721","1.9251","4.7177",0.6127,2.8464,"4.5106","13.1304",6.9739,9.8745,10.876,"9.7520","2.8651",10.9992,10.4549,"12.5656",4.2109,5.9254,5.9092,"6.1296",0.6094,"0.9589",0.9426,11.2503,2.114,"2.7769","2.8386","1.7980",0.2797,1.5692,1.2602,"1.9977",0.2383,0.2855,0.5031,"2.2864"
"424","000955.SZ","纺织服装",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,35.1119,NA,NA,NA,21.6407,NA,11.3746,NA,14.1685,NA,0.7608,NA,3.0131,NA,2.2478,NA,3.232,0.203,0.8528,"1.1281","1.8259","0.3246",1.4899,1.7082,"1.6713",0.223,"0.9739","0.9809",0.6283,0.2491,0.741,0.7783,"0.2922","0.1436",0.7948,"0.8440","0.2456",0.1649,"-1.3448","-3.3423","-14.0292",-1.348,-2.2802,"-4.4366","-45.2930","-2.6190","-3.4413","-2.6380","1.1189",-2.046,-4.8935,"-7.6597","1.2818",-1.8271,-2.9217,-6.0409,"-13.5308","-0.6540",-0.945,-1.8875,"0.1423",0.0646,-1.3583,-2.6387,"-7.6419",-0.8,"-1.8218",-1.333,0.7219,-1.4878,"-2.8461","-4.0116","-11.8461",-1.2982,-1.9155,-2.9193,"4.7961",0.2707,-4.84,-6.5759,"6.3073"
"448","000982.SZ","纺织服装",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,29.5391,NA,NA,NA,28.5047,NA,0.8767,NA,12.3473,NA,3.4128,NA,6.5982,0.0662,0.4763,"0.5694","1.5330","-2.3291",-7.0052,-9.3054,"1.2327",-0.9448,"1.4273","5.4160",1.5571,-1.9115,-4.973,-10.1518,"-52.0371","-7.0459",-15.3553,"-19.0219","-41.3015",-10.7448,"-14.0918","-12.4085","51.3476",0.3699,1.9522,"6.4433","12.5297","0.4039","1.9748","7.1171","12.1741",1.7625,9.2092,"14.1125","20.5484",3.3742,12.005,21.0125,"27.1756","6.7736",15.449,17.1689,"22.2320",5.238,10.1464,15.2842,"15.3294",1.781,"3.5302",4.8632,2.8157,0.1292,"0.3223","0.4546","-23.0405",-2.7453,-9.1015,-10.0693,"-40.4933",-8.2998,-18.0983,-23.0093,"2.5394"
"467","002003.SZ","纺织服装",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","20.1434","",NA,NA,"21.3187",NA,"5.7752","12.5858",15.0844,1.5883,5.4599,13.0905,"14.4656","1.9585",9.1111,"15.2837","19.5158",1.2612,"6.7419","17.4079","23.6156",1.1194,7.3843,"15.7282","20.7671","0.6980","6.2505","13.4012","17.9188",1.5022,9.9055,"17.6229","24.0044",0.6212,7.4964,12.9135,"13.8063","-0.3832",5.128,9.128,"10.2053",-0.3724,5.602,10.0084,"12.3755",0.5156,"6.2269",11.1283,13.4104,0.3571,"6.5005","11.2139","13.6359",0.3969,6.9564,11.8761,"14.5738",0.4223,7.4471,12.3735,"15.8178"
"493","002029.SZ","纺织服装",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","32.1213","",NA,NA,"30.9848",NA,"16.8994","10.0236",14.7046,4.2393,7.5607,6.5089,"11.4398","4.8775",6.5504,"8.8963","14.5846",5.3375,"7.8144","10.7818","12.6466",5.3423,7.8839,"9.4640","13.6942","5.4840","7.6837","10.6496","15.8763",6.5299,8.8056,"12.6023","19.0623",7.5716,10.5193,16.7765,"23.0862","8.4289",8.3353,13.24,"17.9879",4.2663,5.8701,8.4213,"8.5691",2.4118,"3.2739",4.902,6.145,1.4001,"2.3050","3.7360","5.5516",1.273,2.0891,3.3363,"5.2293",1.3495,2.3334,3.6919,"5.9452"
"498","002034.SZ","纺织服装",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","29.8710","",NA,NA,"27.3954",NA,"14.3849","10.2012",13.985,0.9645,4.9592,6.73,"7.2391","0.5668",4.7182,"6.0772","3.9777",0.4047,"3.3661","3.2266","5.1539",-1.9753,-2.8645,"-5.5548","-13.8472","-2.0939","-1.0014","5.1743","4.9222",-0.7743,0.3223,"0.4563","1.8752",14.5728,15.0028,16.0031,"17.5007","-0.9379",0.439,0.6458,"4.1497",-0.6038,0.938,3.2347,"7.5545",-0.5087,"0.6907",0.644,-3.4332,-0.867,"1.4723","4.2657","8.5740",-0.0152,0.9852,2.4009,"3.0732",0.3767,0.6981,1.2552,"11.2808"
"506","002042.SZ","纺织服装",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","",NA,NA,"16.3148",NA,"","",12.1622,2.9124,3.4355,3.9809,"2.7441","-1.7451",-0.4304,"-2.6683","0.2795",-1.726,"-5.2685","-12.4665","-24.1131",-12.9319,-19.4294,"-28.3410","1.1727","-0.5783","8.9999","15.5197","19.3936",5.731,12.1621,"16.8649","19.0273",3.6937,8.9257,11.6453,"14.5517","1.1784",1.7145,2.6993,"3.0183",1.4532,3.7468,5.2251,"6.3907",1.5463,"4.2887",5.9691,5.0779,2.4585,"6.4641","8.2855","9.5291",2.7381,7.9974,10.5272,"12.5338",3.2183,8.292,11.2425,"12.4612"
