"","证券代码","申万一级行业","净资产收益率ROE.平均...报告期..1993一季..单位...","净资产收益率ROE.平均...报告期..1993中报..单位...","净资产收益率ROE.平均...报告期..1993三季..单位...","净资产收益率ROE.平均...报告期..1993年报..单位...","净资产收益率ROE.平均...报告期..1994一季..单位...","净资产收益率ROE.平均...报告期..1994中报..单位...","净资产收益率ROE.平均...报告期..1994三季..单位...","净资产收益率ROE.平均...报告期..1994年报..单位...","净资产收益率ROE.平均...报告期..1995一季..单位...","净资产收益率ROE.平均...报告期..1995中报..单位...","净资产收益率ROE.平均...报告期..1995三季..单位...","净资产收益率ROE.平均...报告期..1995年报..单位...","净资产收益率ROE.平均...报告期..1996一季..单位...","净资产收益率ROE.平均...报告期..1996中报..单位...","净资产收益率ROE.平均...报告期..1996三季..单位...","净资产收益率ROE.平均...报告期..1996年报..单位...","净资产收益率ROE.平均...报告期..1997一季..单位...","净资产收益率ROE.平均...报告期..1997中报..单位...","净资产收益率ROE.平均...报告期..1997三季..单位...","净资产收益率ROE.平均...报告期..1997年报..单位...","净资产收益率ROE.平均...报告期..1998一季..单位...","净资产收益率ROE.平均...报告期..1998中报..单位...","净资产收益率ROE.平均...报告期..1998三季..单位...","净资产收益率ROE.平均...报告期..1998年报..单位...","净资产收益率ROE.平均...报告期..1999一季..单位...","净资产收益率ROE.平均...报告期..1999中报..单位...","净资产收益率ROE.平均...报告期..1999三季..单位...","净资产收益率ROE.平均...报告期..1999年报..单位...","净资产收益率ROE.平均...报告期..2000一季..单位...","净资产收益率ROE.平均...报告期..2000中报..单位...","净资产收益率ROE.平均...报告期..2000三季..单位...","净资产收益率ROE.平均...报告期..2000年报..单位...","净资产收益率ROE.平均...报告期..2001一季..单位...","净资产收益率ROE.平均...报告期..2001中报..单位...","净资产收益率ROE.平均...报告期..2001三季..单位...","净资产收益率ROE.平均...报告期..2001年报..单位...","净资产收益率ROE.平均...报告期..2002一季..单位...","净资产收益率ROE.平均...报告期..2002中报..单位...","净资产收益率ROE.平均...报告期..2002三季..单位...","净资产收益率ROE.平均...报告期..2002年报..单位...","净资产收益率ROE.平均...报告期..2003一季..单位...","净资产收益率ROE.平均...报告期..2003中报..单位...","净资产收益率ROE.平均...报告期..2003三季..单位...","净资产收益率ROE.平均...报告期..2003年报..单位...","净资产收益率ROE.平均...报告期..2004一季..单位...","净资产收益率ROE.平均...报告期..2004中报..单位...","净资产收益率ROE.平均...报告期..2004三季..单位...","净资产收益率ROE.平均...报告期..2004年报..单位...","净资产收益率ROE.平均...报告期..2005一季..单位...","净资产收益率ROE.平均...报告期..2005中报..单位...","净资产收益率ROE.平均...报告期..2005三季..单位...","净资产收益率ROE.平均...报告期..2005年报..单位...","净资产收益率ROE.平均...报告期..2006一季..单位...","净资产收益率ROE.平均...报告期..2006中报..单位...","净资产收益率ROE.平均...报告期..2006三季..单位...","净资产收益率ROE.平均...报告期..2006年报..单位...","净资产收益率ROE.平均...报告期..2007一季..单位...","净资产收益率ROE.平均...报告期..2007中报..单位...","净资产收益率ROE.平均...报告期..2007三季..单位...","净资产收益率ROE.平均...报告期..2007年报..单位...","净资产收益率ROE.平均...报告期..2008一季..单位...","净资产收益率ROE.平均...报告期..2008中报..单位...","净资产收益率ROE.平均...报告期..2008三季..单位...","净资产收益率ROE.平均...报告期..2008年报..单位...","净资产收益率ROE.平均...报告期..2009一季..单位...","净资产收益率ROE.平均...报告期..2009中报..单位...","净资产收益率ROE.平均...报告期..2009三季..单位...","净资产收益率ROE.平均...报告期..2009年报..单位...","净资产收益率ROE.平均...报告期..2010一季..单位...","净资产收益率ROE.平均...报告期..2010中报..单位...","净资产收益率ROE.平均...报告期..2010三季..单位...","净资产收益率ROE.平均...报告期..2010年报..单位...","净资产收益率ROE.平均...报告期..2011一季..单位...","净资产收益率ROE.平均...报告期..2011中报..单位...","净资产收益率ROE.平均...报告期..2011三季..单位...","净资产收益率ROE.平均...报告期..2011年报..单位...","净资产收益率ROE.平均...报告期..2012一季..单位...","净资产收益率ROE.平均...报告期..2012中报..单位...","净资产收益率ROE.平均...报告期..2012三季..单位...","净资产收益率ROE.平均...报告期..2012年报..单位...","净资产收益率ROE.平均...报告期..2013一季..单位...","净资产收益率ROE.平均...报告期..2013中报..单位...","净资产收益率ROE.平均...报告期..2013三季..单位...","净资产收益率ROE.平均...报告期..2013年报..单位...","净资产收益率ROE.平均...报告期..2014一季..单位...","净资产收益率ROE.平均...报告期..2014中报..单位...","净资产收益率ROE.平均...报告期..2014三季..单位...","净资产收益率ROE.平均...报告期..2014年报..单位...","净资产收益率ROE.平均...报告期..2015一季..单位...","净资产收益率ROE.平均...报告期..2015中报..单位...","净资产收益率ROE.平均...报告期..2015三季..单位...","净资产收益率ROE.平均...报告期..2015年报..单位...","净资产收益率ROE.平均...报告期..2016一季..单位...","净资产收益率ROE.平均...报告期..2016中报..单位...","净资产收益率ROE.平均...报告期..2016三季..单位...","净资产收益率ROE.平均...报告期..2016年报..单位...","净资产收益率ROE.平均...报告期..2017一季..单位...","净资产收益率ROE.平均...报告期..2017中报..单位...","净资产收益率ROE.平均...报告期..2017三季..单位...","净资产收益率ROE.平均...报告期..2017年报..单位..."
"6","000007.SZ","综合",NA,15.6071,NA,25.1721,NA,10.0185,NA,11.5155,NA,3.6357,NA,2.1468,NA,2.4313,NA,11.1337,NA,5.2114,NA,10.6686,NA,0.9496,NA,10.5908,NA,1.0649,NA,0.4891,NA,-10.501,NA,-93.7937,NA,-11.0759,-26.993,13.7112,3.0957,10.3387,"14.6059","12.7202","2.9916",4.8231,2.3827,"6.9310",-5.018,"-9.3281","-18.4872",-91.4863,17.1286,6.0941,-12.9737,"10.0899","-5.7896",-10.6521,"-29.4872","-463.0147",NA,"","","",NA,NA,"","","","","","",NA,NA,"","",NA,-0.6652,0.1372,"4.8244","0.1762",2.2594,3.8072,"2.3488",-3.2259,0.3806,13.4764,"7.3504",-1.7856,"-1.0802",-1.8516,-8.6036,-1.3809,"-2.1174","-3.3574","3.8658",2.0535,2.885,4.6164,"21.0954",0.0747,5.5235,2.7495,"4.3448"
"8","000009.SZ","综合",NA,85.0266,NA,38.2646,NA,13.7263,NA,24.7711,NA,5.7235,NA,7.8052,NA,2.1481,NA,1.9169,NA,0.879,NA,0.1461,NA,-4.395,NA,-27.7547,NA,0.4943,NA,2.5252,NA,1.6575,NA,2.9275,NA,0.9151,NA,3.2678,0.3935,0.6176,"0.6864","1.1615","0.3585",0.4922,0.5862,"1.1324",0.2435,"0.5119","0.5973",-10.4527,0.567,0.7618,0.8893,"6.3602","0.1879",0.1489,"-0.1165","10.3179",2.9414,"7.0559","10.1849","14.6266",5.186,8.7615,"10.5619","11.6688","3.5155","8.6458","10.6656","13.5694",3.8134,9.139,"11.4174","14.4478",4.046,8.4464,9.002,"10.4952","1.2301",1.9145,2.1248,"5.6917",0.8386,1.0355,9.885,"9.4462",2.3079,"7.0300",7.9019,9.3629,1.587,"3.3773","17.5515","19.4651",0.6772,1.6156,4.6897,"5.2409",0.7437,1.778,3.9566,"2.8125"
"82","000409.SZ","综合",NA,NA,NA,NA,NA,NA,NA,15.6071,NA,NA,NA,15.0888,NA,7.2397,NA,14.0505,NA,4.9226,NA,8.8827,NA,4.5179,NA,1.0267,NA,-2.115,NA,-7.0109,NA,-1.7451,NA,2.7527,NA,0.8233,NA,-8.9967,0.9417,1.0233,"0.0611","-27.1799","-2.3582",-4.4442,-6.1824,"-50.9215",-1.6462,"8.4242","5.4258",5.6977,-2.8959,-6.5529,-8.9603,"5.7922","-1.8724",-3.9588,"-3.4520","-39.1771",-2.2946,"-4.5623","-3.1346","-38.7103",-1.7449,-4.2005,"-5.9703","5.1205","-3.8575","-6.6275","-10.3257","-29.3143",-2.891,-6.1232,"-8.7901","-14.6061",-1.3607,-1.9038,3.1472,"14.4073","0.6179",0.2346,0.0809,"16.3841",1.6122,5.3351,7.9588,"12.6431",1.6678,"2.4879",1.4288,-2.9846,-2.5532,"-4.6881","1.5487","9.0065",0.4861,0.2688,0.1814,"-18.7393",-3.1445,-7.9768,-14.5989,"-27.2881"
"124","000529.SZ","综合",NA,NA,NA,19.9272,NA,8.7528,NA,17.3875,NA,7.8835,NA,14.5688,NA,7.2084,NA,13.6041,NA,5.003,NA,11.534,NA,3.6944,NA,4.6379,NA,1.9604,NA,-16.1549,NA,-3.3724,NA,0.4123,NA,0.4143,NA,-22.2252,-0.3906,0.2816,"0.4412","-102.9415","0.2445",1.2105,-14.0388,"-100.6135",0.279,"0.3882","0.5552",NA,NA,NA,NA,"","",NA,"","",NA,"","","",NA,NA,"","512.8557","2.3797","4.6486","6.7548","9.0664",1.3848,4.2847,"6.8947","8.6117",1.7043,4.7751,7.1367,"9.1941","2.2701",4.7853,6.4353,"7.6767",2.1264,4.6405,6.9563,"9.2519",1.9255,"4.3200",6.7475,15.523,1.743,"3.9532","6.1422","6.8089",1.6895,3.9691,6.6989,"8.8841",1.8469,4.2439,7.717,"11.9071"
"206","000632.SZ","综合",NA,NA,NA,NA,NA,NA,NA,17.6638,NA,NA,NA,15.5355,NA,NA,NA,17.2895,NA,12.7006,NA,15.5741,NA,6.3364,NA,12.4126,NA,2.3962,NA,9.7375,NA,3.7435,NA,6.1537,NA,2.8539,NA,5.5676,1.0096,2.1739,"2.6506","4.1334","0.8333",1.7229,2.6785,"4.3023",0.4288,"2.7856","4.0004",-3.0497,0.6367,1.5096,0.2052,"-39.0949","1.3287",-1.511,"1.4919","4.3742",1.3525,"8.2129","8.7319","9.4665",1.4557,4.0167,"4.6384","1.9119","0.9356","2.3112","4.4306","3.9055",1.2631,2.4711,"2.9001","2.8981",0.9637,2.6731,2.6979,"2.0414","0.5640",0.57,0.5025,"1.5477",0.3374,0.4652,0.4347,"1.1373",0.3028,"0.4423",0.4551,0.9657,0.2348,"0.2218","0.0814","0.9776",0.1768,0.2828,0.1155,"1.3389",0.2413,0.4014,0.1619,"1.9510"
"211","000638.SZ","综合",NA,NA,NA,NA,NA,NA,NA,18.7315,NA,NA,NA,21.5992,NA,8.7993,NA,18.1967,NA,7.1898,NA,13.4786,NA,2.7469,NA,6.7231,NA,1.5631,NA,-36.6988,NA,-9.6052,NA,0.5432,NA,-5.3602,NA,-76.8924,-9.5151,-23.9376,"-37.6133","-1,316.3825","",NA,NA,"",NA,"","",NA,NA,NA,NA,"","",NA,"","",NA,"","","",NA,NA,"","1,111.3029","35.4583","50.6023","24.3581","54.1442",4.075,4.2193,"5.8756","29.5419",2.4002,4.2646,2.2704,"2.3228","-1.7209",-4.6008,-3.8442,"2.3755",0.3252,-0.8166,-1.6761,"-5.5638",-1.7525,"1.8272",-0.6482,1.3458,-2.2334,"-3.1108","-3.3859","-16.1175",4.2384,1.6991,3.9365,"4.8840",-1.8055,2.3279,10.6718,"6.6719"
"215","000652.SZ","综合",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.7672,NA,5.9637,NA,33.9821,NA,20.5798,NA,42.245,NA,19.038,NA,35.6892,NA,13.6315,NA,23.232,NA,8.0121,NA,12.2654,0.8705,3.6537,"4.5996","7.3551","1.6223",2.9329,4.6931,"6.5763",1.7098,"2.7792","4.9043",6.2246,1.2211,2.2157,3.2891,"5.6024","0.9262",3.2535,"4.6532","6.3314",2.386,"5.0533","5.4317","19.4028",1.2321,2.5746,"3.1980","6.7750","1.1991","2.8290","4.1617","14.2104",1.3694,2.8969,"5.2744","12.6786",1.2871,1.8578,2.6963,"0.0395","-3.7292",-7.0747,-5.7127,"-9.3537",0.0656,-2.6036,-4.0773,"5.6519",0.0707,"-1.0727",-2.8872,11.07,0.1438,"0.7683","3.4715","9.2688",0.0764,1.0273,2.2151,"8.1340",-0.7744,0.9927,1.8441,"8.1577"
"345","000833.SZ","综合",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,29.1206,NA,NA,NA,21.6453,NA,NA,NA,12.4092,NA,2.9412,NA,0.4669,NA,1.1742,NA,6.368,NA,4.5563,NA,6.7621,1.4723,3.132,"3.5951","1.2723","0.0455",0.0576,-2.2324,"-6.9245",0.7288,"2.8423","5.2986",6.5023,0.7767,2.6621,5.7761,"6.5550","0.6931",1.359,"2.6675","3.1224",0.914,"4.4111","8.6549","9.3910",4.9755,7.5664,"8.8595","9.0092","-0.5794","-0.7631","1.3557","4.0030",4.2358,7.0671,"8.7260","11.5254",2.7887,7.4344,11.3221,"6.0750","1.0297",1.3671,1.1843,"1.5002",-2.6852,-5.3666,-6.1253,"-12.1476",-0.7253,"-1.9221",-2.9493,3.3722,0.3896,"0.4098","4.9893","7.7172",-0.219,-0.1443,-0.1997,"1.4703",0.4154,1.2575,2.2606,"2.9824"
"350","000839.SZ","综合",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,42.2358,NA,NA,NA,46.5611,NA,NA,NA,25.9727,NA,12.3982,NA,16.1721,NA,15.3868,NA,24.2613,NA,11.3745,NA,22.2742,NA,8.6648,NA,13.8046,2.5564,5.2056,"7.2598","8.5371","1.8008",4.4443,5.9823,"7.1059",1.703,"3.7405","5.3413",7.5317,1.7223,3.5979,5.1176,"7.4423","1.6417",3.7725,"4.4747","11.8767",1.19,"2.1794","3.5688","7.0217",1.319,2.7871,"4.2511","7.0796","1.2827","10.9697","10.8964","11.2340",1.2084,3.0176,"3.0552","4.4887",0.6395,1.2367,1.5777,"2.5131","0.7715",1.3847,1.9059,"2.9325",0.6928,1.2961,1.4806,"2.2548",0.755,"1.3417",1.6303,3.0912,1.098,"2.6640","3.8773","5.3513",1.3172,2.5871,3.3145,"3.4856",0.8294,3.5593,3.7163,"3.9082"
"369","000881.SZ","综合",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20.5098,NA,NA,NA,18.9605,NA,4.0552,NA,14.1734,NA,3.6761,NA,11.3342,NA,4.3192,NA,10.9197,NA,3.3997,NA,7.4679,0.4935,1.7101,"2.1795","3.8357","0.4004",1.1844,1.5721,"3.0858",0.6279,"2.2373","3.3723",4.9749,1.1342,3.1838,4.6854,"6.0523","0.9541",2.2173,"4.6541","6.7708",1.1671,"9.7079","12.4247","14.8404",2.7104,4.4532,"21.0937","16.3809","2.7043","5.5151","8.2110","9.7681",3.5825,7.4588,"10.8700","16.3814",3.8438,8.3964,14.4215,"17.2030","2.5053",8.3802,10.6245,"13.7114",1.3494,4.2347,5.4486,"6.8725",1.489,"3.0999",4.3594,4.6266,0.8454,"-66.6092","-66.5265","-66.4034",0.012,0.0499,0.0719,"10.4951",0.7372,2.8218,4.5163,"7.4313"
