"","证券代码","申万一级行业","净资产收益率ROE.平均...报告期..1993一季..单位...","净资产收益率ROE.平均...报告期..1993中报..单位...","净资产收益率ROE.平均...报告期..1993三季..单位...","净资产收益率ROE.平均...报告期..1993年报..单位...","净资产收益率ROE.平均...报告期..1994一季..单位...","净资产收益率ROE.平均...报告期..1994中报..单位...","净资产收益率ROE.平均...报告期..1994三季..单位...","净资产收益率ROE.平均...报告期..1994年报..单位...","净资产收益率ROE.平均...报告期..1995一季..单位...","净资产收益率ROE.平均...报告期..1995中报..单位...","净资产收益率ROE.平均...报告期..1995三季..单位...","净资产收益率ROE.平均...报告期..1995年报..单位...","净资产收益率ROE.平均...报告期..1996一季..单位...","净资产收益率ROE.平均...报告期..1996中报..单位...","净资产收益率ROE.平均...报告期..1996三季..单位...","净资产收益率ROE.平均...报告期..1996年报..单位...","净资产收益率ROE.平均...报告期..1997一季..单位...","净资产收益率ROE.平均...报告期..1997中报..单位...","净资产收益率ROE.平均...报告期..1997三季..单位...","净资产收益率ROE.平均...报告期..1997年报..单位...","净资产收益率ROE.平均...报告期..1998一季..单位...","净资产收益率ROE.平均...报告期..1998中报..单位...","净资产收益率ROE.平均...报告期..1998三季..单位...","净资产收益率ROE.平均...报告期..1998年报..单位...","净资产收益率ROE.平均...报告期..1999一季..单位...","净资产收益率ROE.平均...报告期..1999中报..单位...","净资产收益率ROE.平均...报告期..1999三季..单位...","净资产收益率ROE.平均...报告期..1999年报..单位...","净资产收益率ROE.平均...报告期..2000一季..单位...","净资产收益率ROE.平均...报告期..2000中报..单位...","净资产收益率ROE.平均...报告期..2000三季..单位...","净资产收益率ROE.平均...报告期..2000年报..单位...","净资产收益率ROE.平均...报告期..2001一季..单位...","净资产收益率ROE.平均...报告期..2001中报..单位...","净资产收益率ROE.平均...报告期..2001三季..单位...","净资产收益率ROE.平均...报告期..2001年报..单位...","净资产收益率ROE.平均...报告期..2002一季..单位...","净资产收益率ROE.平均...报告期..2002中报..单位...","净资产收益率ROE.平均...报告期..2002三季..单位...","净资产收益率ROE.平均...报告期..2002年报..单位...","净资产收益率ROE.平均...报告期..2003一季..单位...","净资产收益率ROE.平均...报告期..2003中报..单位...","净资产收益率ROE.平均...报告期..2003三季..单位...","净资产收益率ROE.平均...报告期..2003年报..单位...","净资产收益率ROE.平均...报告期..2004一季..单位...","净资产收益率ROE.平均...报告期..2004中报..单位...","净资产收益率ROE.平均...报告期..2004三季..单位...","净资产收益率ROE.平均...报告期..2004年报..单位...","净资产收益率ROE.平均...报告期..2005一季..单位...","净资产收益率ROE.平均...报告期..2005中报..单位...","净资产收益率ROE.平均...报告期..2005三季..单位...","净资产收益率ROE.平均...报告期..2005年报..单位...","净资产收益率ROE.平均...报告期..2006一季..单位...","净资产收益率ROE.平均...报告期..2006中报..单位...","净资产收益率ROE.平均...报告期..2006三季..单位...","净资产收益率ROE.平均...报告期..2006年报..单位...","净资产收益率ROE.平均...报告期..2007一季..单位...","净资产收益率ROE.平均...报告期..2007中报..单位...","净资产收益率ROE.平均...报告期..2007三季..单位...","净资产收益率ROE.平均...报告期..2007年报..单位...","净资产收益率ROE.平均...报告期..2008一季..单位...","净资产收益率ROE.平均...报告期..2008中报..单位...","净资产收益率ROE.平均...报告期..2008三季..单位...","净资产收益率ROE.平均...报告期..2008年报..单位...","净资产收益率ROE.平均...报告期..2009一季..单位...","净资产收益率ROE.平均...报告期..2009中报..单位...","净资产收益率ROE.平均...报告期..2009三季..单位...","净资产收益率ROE.平均...报告期..2009年报..单位...","净资产收益率ROE.平均...报告期..2010一季..单位...","净资产收益率ROE.平均...报告期..2010中报..单位...","净资产收益率ROE.平均...报告期..2010三季..单位...","净资产收益率ROE.平均...报告期..2010年报..单位...","净资产收益率ROE.平均...报告期..2011一季..单位...","净资产收益率ROE.平均...报告期..2011中报..单位...","净资产收益率ROE.平均...报告期..2011三季..单位...","净资产收益率ROE.平均...报告期..2011年报..单位...","净资产收益率ROE.平均...报告期..2012一季..单位...","净资产收益率ROE.平均...报告期..2012中报..单位...","净资产收益率ROE.平均...报告期..2012三季..单位...","净资产收益率ROE.平均...报告期..2012年报..单位...","净资产收益率ROE.平均...报告期..2013一季..单位...","净资产收益率ROE.平均...报告期..2013中报..单位...","净资产收益率ROE.平均...报告期..2013三季..单位...","净资产收益率ROE.平均...报告期..2013年报..单位...","净资产收益率ROE.平均...报告期..2014一季..单位...","净资产收益率ROE.平均...报告期..2014中报..单位...","净资产收益率ROE.平均...报告期..2014三季..单位...","净资产收益率ROE.平均...报告期..2014年报..单位...","净资产收益率ROE.平均...报告期..2015一季..单位...","净资产收益率ROE.平均...报告期..2015中报..单位...","净资产收益率ROE.平均...报告期..2015三季..单位...","净资产收益率ROE.平均...报告期..2015年报..单位...","净资产收益率ROE.平均...报告期..2016一季..单位...","净资产收益率ROE.平均...报告期..2016中报..单位...","净资产收益率ROE.平均...报告期..2016三季..单位...","净资产收益率ROE.平均...报告期..2016年报..单位...","净资产收益率ROE.平均...报告期..2017一季..单位...","净资产收益率ROE.平均...报告期..2017中报..单位...","净资产收益率ROE.平均...报告期..2017三季..单位...","净资产收益率ROE.平均...报告期..2017年报..单位..."
"144","000552.SZ","采掘",NA,NA,NA,NA,NA,4.2619,NA,7.6568,NA,1.9907,NA,1.505,NA,1.9,NA,0.9534,NA,0.465,NA,5.6348,NA,2.1641,NA,-14.8277,NA,-5.8719,NA,7.6869,NA,14.2758,NA,15.6041,NA,6.4597,NA,4.8483,-2.6288,-8.4826,"-14.1372","-18.9201","-2.5233",-6.2585,-8.8706,"-51.9967",-6.0626,"-13.6204","-21.2015",-55.3704,1.7403,12.1805,30.8953,"41.6003","12.9832",21.7025,"24.1199","24.9388",4.7637,"8.7352","12.5059","22.6171",4.2461,8.3722,"10.9428","20.1304","2.5454","6.4083","9.4591","13.1858",4.1823,8.8725,"11.0084","13.4108",4.8139,9.599,12.0685,"15.1451","3.9496",7.6421,22.8665,"34.0881",5.0018,9.0649,13.9324,"18.4412",4.1138,"6.9825",10.2783,12.6935,1.5335,"2.8172","3.7320","4.0728",0.8505,1.2408,1.9465,"3.5750",1.8225,4.3208,5.6807,"8.3981"
"160","000571.SZ","采掘",NA,NA,NA,44.652,NA,15.8978,NA,24.1635,NA,9.6945,NA,17.5316,NA,13.4902,NA,38.7368,NA,15.6011,NA,15.1314,NA,16.9464,NA,17.9678,NA,3.1957,NA,1.3374,NA,0.0959,NA,-13.0461,NA,0.5431,NA,-16.3924,-3.8538,-3.0955,"-0.4959","1.4873","0.1751",-0.8861,-0.4289,"1.4797",0.2026,"0.2372","0.7482",0.9381,0.072,0.6572,0.8124,"0.7529","-1.1694",-0.4201,"-0.5988","0.7930",1.1649,"1.2491","2.1241","2.2727",1.2548,1.9118,"3.8156","5.4083","1.9804","4.3862","7.7526","10.7555",2.1846,5.4863,"7.4132","10.1113",2.1564,5.6217,8.3954,"11.1670","2.0492",5.9435,8.6958,"5.6135",1.1357,2.4707,4.6915,"5.7735",1.3859,"2.5704",4.5859,3.7891,1.1952,"2.2777","3.8277","2.5925",0.88,1.6526,2.918,"1.4938",0.9928,2.1935,2.9635,"0.9762"
"203","000629.SZ","采掘",NA,NA,NA,NA,NA,NA,NA,3.953,NA,NA,NA,4.3239,NA,5.8043,NA,11.7988,NA,4.9791,NA,12.297,5.8389,NA,NA,20.5474,NA,3.1079,NA,8.0461,NA,5.1566,NA,11.4427,NA,6.7179,9.2267,11.2767,2.4112,5.3047,"8.2142","10.7315","3.3179",6.9047,10.0445,"10.1785",3.1089,"5.7426","9.3292",11.6745,3.9585,8.1133,10.2615,"10.4334","2.5066",5.6371,"7.7767","10.7269",2.1563,"5.2238","7.4553","9.7214",1.6153,4.0735,"5.7910","-3.9512","-1.2989","-9.4894","-10.5068","-11.3772",1.1815,3.8323,"4.5723","6.9226",0.7429,1.1164,0.0437,"0.0111","3.5362",4.8782,5.061,"3.9985",1.8177,2.2883,4.0239,"3.6770",2.6737,"-0.8136",-0.5042,-29.7426,-3.1168,"-5.1436","-9.6488","-23.2050",0.4686,-10.3694,-15.3876,"-101.0578",6.2724,11.4317,17.803,"22.3341"
"216","000655.SZ","采掘",NA,NA,NA,NA,NA,NA,NA,15.0551,NA,NA,NA,13.3026,NA,NA,NA,16.3101,NA,15.9465,NA,26.5869,NA,16.4082,NA,25.6898,NA,6.5128,NA,8.1712,NA,2.0433,NA,7.2228,NA,3.2632,NA,6.5318,1.952,3.2695,"4.3854","3.9389","1.1776",1.6867,2.2151,"1.4102",0.031,"-3.9555","-7.5676",-31.5717,-5.6684,-12.3538,-18.5975,"-31.5860","-10.6016",-22.0541,"-7.6499","23.6387",6.5612,"12.8033","22.6818","28.9940",14.7953,27.6535,"34.9224","36.6144","3.0969","5.9099","9.5562","14.8770",6.1998,14.3923,"20.9859","25.6920",7.1965,14.6417,20.9301,"20.9836","1.4141",4.9362,7.6114,"7.8380",0.8649,3.111,6.3855,"8.9962",0.8958,"2.6751",4.7844,6.7723,-1.2138,"-1.3062","-1.9610","0.3298",-2.578,-3.8198,-4.5435,"-19.4622",0.7564,2.1734,3.6129,"-12.8998"
"271","000723.SZ","采掘",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13.7114,NA,NA,NA,27.2711,NA,4.1976,NA,13.9949,NA,2.0819,NA,11.342,NA,1.9583,NA,0.9975,NA,-0.6092,NA,-8.1379,NA,-17.6011,NA,-60.2364,0.2696,4.2174,"8.8238","12.0416","0.7194",4.7573,8.8733,"12.5126",1.3116,"5.0775","8.6407",10.1533,1.056,3.3287,5.1791,"2.6583","0.5394",3.8192,"6.4974","5.0738",3.2709,"7.7831","13.0982","20.4839",4.9149,14.8149,"18.9314","20.3643","-0.0658","-2.6366","-2.4369","-0.9822",1.2472,-0.3308,"-0.8362","1.8860",1.1073,2.0482,6.7973,"4.1215","-2.0683",-2.6136,-4.9149,"-6.6148",3.7696,4.4743,6.8384,"8.2321",1.7462,"-0.9213",0.7465,2.0762,-2.6434,"-5.6554","-9.0529","-10.8518",-0.8452,1.5566,5.6641,"10.3246",4.3655,7.1199,11.8392,"14.5507"
"296","000762.SZ","采掘",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,37.9718,NA,NA,NA,50.4469,NA,4.186,NA,15.9323,NA,3.3968,NA,10.7608,NA,3.7033,NA,6.466,NA,2.2672,NA,1.3686,NA,0.621,NA,0.6667,-0.6895,-3.4026,"-5.3933","-13.0295","0.0214",0.2156,1.6414,"1.2790",0.782,"1.5712","2.7199",3.3285,0.7543,3.1032,4.5361,"6.0727","0.4081",2.952,"5.3355","8.4748",-0.4503,"3.4695","6.0459","10.0722",2.2304,8.4072,"11.1114","8.1057","-3.5844","-6.0845","-3.6387","1.6845",-1.4417,1.463,"4.9091","4.9856",1.8517,1.761,3.6161,"2.6754","0.1723",0.7756,-1.5973,"-7.1156",0.2425,1.2399,1.9733,"1.1732",-0.7676,"-0.9985",-0.7451,-5.2795,-1.1126,"0.6948","1.0062","1.8975",1.2415,0.5616,0.6849,"1.1278",-1.0671,-1.5485,0.2087,"1.6145"
"304","000780.SZ","采掘",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26.6281,NA,NA,NA,28.7513,NA,10.0772,NA,17.1164,NA,6.3788,NA,11.9693,NA,10.9128,NA,12.8692,NA,4.2149,NA,7.2648,NA,4.7826,NA,8.2633,1.8174,4.6023,"6.2946","6.9673","0.8670",1.7443,2.5643,"-35.5907",0.6616,"1.9474","3.2089",-48.2581,0.6832,1.9276,3.2076,"-126.4554","-10.2922",-352.4864,"-608.4766","1.4163",-20.4425,"21.7108","15.3841","10.8219",3.7412,10.3129,"19.0207","25.2731","6.8434","10.0076","13.7023","17.4827",5.7356,11.4774,"16.2951","19.5364",5.8309,9.1236,13.9654,"22.0828","4.2555",8.7264,10.1469,"8.9531",1.4119,0.8883,0.5754,"0.7958",0.2992,"-0.7834",-0.0979,0.5877,-0.5903,"-1.0702","-4.5996","-8.6950",-1.9878,-5.3273,-9.349,"-7.7066",-0.5519,3.2505,5.484,"11.1319"
"415","000937.SZ","采掘",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,49.7087,NA,NA,NA,49.074,NA,16.4536,NA,16.6761,NA,5.2208,NA,13.008,NA,5.4,NA,16.0691,3.122,6.3486,"10.4614","11.4434","2.2813",3.5249,5.3913,"8.1505",3.1976,"7.5679","14.4332",20.6876,8.9299,15.0469,19.4651,"21.4616","4.1119",7.7809,"10.7329","15.5013",5.0082,"8.8654","13.2773","16.5572",7.9654,20.3892,"41.2750","42.4387","6.2582","9.9147","12.5964","21.2158",6.3357,12.4109,"17.4842","22.5742",6.8148,13.4577,18.6101,"23.4713","5.4572",9.7175,12.5554,"15.3925",3.313,5.206,5.5325,"7.7833",0.4756,"0.3422",0.2406,0.1441,0.0272,"0.0349","0.0093","1.9159",0.0228,0.0499,0.4395,"1.3212",1.518,3.04,4.4331,"5.6213"
"435","000968.SZ","采掘",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18.7051,NA,NA,NA,17.0325,NA,2.5115,NA,7.0089,NA,2.3563,NA,4.7979,1.3103,3.1316,"4.6662","4.2385","0.6555",3.1904,5.5996,"5.7908",3.5863,"7.6064","12.6455",12.9781,3.984,9.5942,11.2834,"13.6879","-2.2490",1.6729,"5.3435","9.3540",1.9477,"6.0948","10.8181","15.7551",6.1327,19.629,"34.3081","31.4637","3.6312","4.7546","8.7367","14.1663",3.0627,6.1191,"7.2222","8.2042",1.6323,3.217,5.1511,"6.7853","1.2361",-1.5951,-7.4996,"-11.9930",-3.0543,-6.7415,-12.0449,"1.6621",-2.4657,"-11.8673",-20.7822,-43.3064,-12.5919,"-45.0003","-78.4413","-152.9181",-262.6093,NA,NA,"48.4225",3.6339,11.6318,14.5389,"21.5936"
"449","000983.SZ","采掘",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30.9234,NA,NA,NA,27.4365,NA,10.3511,NA,10.8331,NA,3.6736,NA,8.6114,2.2933,3.5318,"5.1366","6.8376","2.4455",4.4686,6.433,"9.4695",3.5957,"8.4687","13.4230",17.6857,6.3781,12.3818,18.0972,"23.0743","5.3985",11.0726,"16.0729","19.7023",5.5154,"11.2900","15.1859","18.9815",7.7454,19.7482,"38.5371","40.5394","9.7652","14.4179","20.4121","23.7680",8.1195,15.5644,"22.3408","23.2911",7.577,13.374,18.4178,"21.1767","6.9486",11.1913,12.7255,"12.4969",3.4968,5.642,6.039,"6.8035",1.4623,"2.2876",2.1031,1.7144,0.5308,"1.2589","1.8626","0.8843",0.3012,0.6728,1.2429,"2.6729",2.7783,5.3919,7.9389,"9.1370"
