"","证券代码","申万一级行业","净资产收益率ROE.平均...报告期..1993一季..单位...","净资产收益率ROE.平均...报告期..1993中报..单位...","净资产收益率ROE.平均...报告期..1993三季..单位...","净资产收益率ROE.平均...报告期..1993年报..单位...","净资产收益率ROE.平均...报告期..1994一季..单位...","净资产收益率ROE.平均...报告期..1994中报..单位...","净资产收益率ROE.平均...报告期..1994三季..单位...","净资产收益率ROE.平均...报告期..1994年报..单位...","净资产收益率ROE.平均...报告期..1995一季..单位...","净资产收益率ROE.平均...报告期..1995中报..单位...","净资产收益率ROE.平均...报告期..1995三季..单位...","净资产收益率ROE.平均...报告期..1995年报..单位...","净资产收益率ROE.平均...报告期..1996一季..单位...","净资产收益率ROE.平均...报告期..1996中报..单位...","净资产收益率ROE.平均...报告期..1996三季..单位...","净资产收益率ROE.平均...报告期..1996年报..单位...","净资产收益率ROE.平均...报告期..1997一季..单位...","净资产收益率ROE.平均...报告期..1997中报..单位...","净资产收益率ROE.平均...报告期..1997三季..单位...","净资产收益率ROE.平均...报告期..1997年报..单位...","净资产收益率ROE.平均...报告期..1998一季..单位...","净资产收益率ROE.平均...报告期..1998中报..单位...","净资产收益率ROE.平均...报告期..1998三季..单位...","净资产收益率ROE.平均...报告期..1998年报..单位...","净资产收益率ROE.平均...报告期..1999一季..单位...","净资产收益率ROE.平均...报告期..1999中报..单位...","净资产收益率ROE.平均...报告期..1999三季..单位...","净资产收益率ROE.平均...报告期..1999年报..单位...","净资产收益率ROE.平均...报告期..2000一季..单位...","净资产收益率ROE.平均...报告期..2000中报..单位...","净资产收益率ROE.平均...报告期..2000三季..单位...","净资产收益率ROE.平均...报告期..2000年报..单位...","净资产收益率ROE.平均...报告期..2001一季..单位...","净资产收益率ROE.平均...报告期..2001中报..单位...","净资产收益率ROE.平均...报告期..2001三季..单位...","净资产收益率ROE.平均...报告期..2001年报..单位...","净资产收益率ROE.平均...报告期..2002一季..单位...","净资产收益率ROE.平均...报告期..2002中报..单位...","净资产收益率ROE.平均...报告期..2002三季..单位...","净资产收益率ROE.平均...报告期..2002年报..单位...","净资产收益率ROE.平均...报告期..2003一季..单位...","净资产收益率ROE.平均...报告期..2003中报..单位...","净资产收益率ROE.平均...报告期..2003三季..单位...","净资产收益率ROE.平均...报告期..2003年报..单位...","净资产收益率ROE.平均...报告期..2004一季..单位...","净资产收益率ROE.平均...报告期..2004中报..单位...","净资产收益率ROE.平均...报告期..2004三季..单位...","净资产收益率ROE.平均...报告期..2004年报..单位...","净资产收益率ROE.平均...报告期..2005一季..单位...","净资产收益率ROE.平均...报告期..2005中报..单位...","净资产收益率ROE.平均...报告期..2005三季..单位...","净资产收益率ROE.平均...报告期..2005年报..单位...","净资产收益率ROE.平均...报告期..2006一季..单位...","净资产收益率ROE.平均...报告期..2006中报..单位...","净资产收益率ROE.平均...报告期..2006三季..单位...","净资产收益率ROE.平均...报告期..2006年报..单位...","净资产收益率ROE.平均...报告期..2007一季..单位...","净资产收益率ROE.平均...报告期..2007中报..单位...","净资产收益率ROE.平均...报告期..2007三季..单位...","净资产收益率ROE.平均...报告期..2007年报..单位...","净资产收益率ROE.平均...报告期..2008一季..单位...","净资产收益率ROE.平均...报告期..2008中报..单位...","净资产收益率ROE.平均...报告期..2008三季..单位...","净资产收益率ROE.平均...报告期..2008年报..单位...","净资产收益率ROE.平均...报告期..2009一季..单位...","净资产收益率ROE.平均...报告期..2009中报..单位...","净资产收益率ROE.平均...报告期..2009三季..单位...","净资产收益率ROE.平均...报告期..2009年报..单位...","净资产收益率ROE.平均...报告期..2010一季..单位...","净资产收益率ROE.平均...报告期..2010中报..单位...","净资产收益率ROE.平均...报告期..2010三季..单位...","净资产收益率ROE.平均...报告期..2010年报..单位...","净资产收益率ROE.平均...报告期..2011一季..单位...","净资产收益率ROE.平均...报告期..2011中报..单位...","净资产收益率ROE.平均...报告期..2011三季..单位...","净资产收益率ROE.平均...报告期..2011年报..单位...","净资产收益率ROE.平均...报告期..2012一季..单位...","净资产收益率ROE.平均...报告期..2012中报..单位...","净资产收益率ROE.平均...报告期..2012三季..单位...","净资产收益率ROE.平均...报告期..2012年报..单位...","净资产收益率ROE.平均...报告期..2013一季..单位...","净资产收益率ROE.平均...报告期..2013中报..单位...","净资产收益率ROE.平均...报告期..2013三季..单位...","净资产收益率ROE.平均...报告期..2013年报..单位...","净资产收益率ROE.平均...报告期..2014一季..单位...","净资产收益率ROE.平均...报告期..2014中报..单位...","净资产收益率ROE.平均...报告期..2014三季..单位...","净资产收益率ROE.平均...报告期..2014年报..单位...","净资产收益率ROE.平均...报告期..2015一季..单位...","净资产收益率ROE.平均...报告期..2015中报..单位...","净资产收益率ROE.平均...报告期..2015三季..单位...","净资产收益率ROE.平均...报告期..2015年报..单位...","净资产收益率ROE.平均...报告期..2016一季..单位...","净资产收益率ROE.平均...报告期..2016中报..单位...","净资产收益率ROE.平均...报告期..2016三季..单位...","净资产收益率ROE.平均...报告期..2016年报..单位...","净资产收益率ROE.平均...报告期..2017一季..单位...","净资产收益率ROE.平均...报告期..2017中报..单位...","净资产收益率ROE.平均...报告期..2017三季..单位...","净资产收益率ROE.平均...报告期..2017年报..单位..."
"257","000708.SZ","钢铁",NA,NA,NA,NA,NA,NA,NA,27.5866,NA,NA,NA,18.0485,NA,NA,NA,15.9641,NA,7.7195,NA,13.2114,NA,3.5942,NA,4.3728,NA,2.6294,NA,1.6842,NA,0.9179,NA,0.8764,NA,0.9116,NA,1.0104,0.4093,0.7809,"0.8063","-22.2796","0.9054",1.7721,3.9244,"-5.4301",0.694,"3.4149","3.5430",3.2743,0.1465,3.7046,5.3224,"8.7073","4.6928",18.2773,"23.2171","27.7370",5.7286,"12.1535","17.0730","21.8100",5.0117,12.2817,"16.7993","11.8085","1.7147","6.2579","11.1188","17.5099",6.8116,13.5912,"18.7046","24.5177",6.0927,12.289,16.9253,"21.5120","2.7888",6.5004,7.0999,"7.4773",1.8829,3.7055,5.5374,"6.6369",1.4336,"4.1654",7.0399,8.3031,1.7885,"4.1525","6.0943","7.9346",1.6112,4.1174,5.9915,"8.1060",1.7381,5.018,7.2956,"10.1889"
"258","000709.SZ","钢铁",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11.8468,NA,NA,NA,13.703,NA,6.1708,NA,12.6728,NA,5.3944,NA,11.1005,NA,5.486,NA,10.8905,NA,6.3387,NA,11.2464,NA,6.0673,NA,13.3127,2.3899,5.308,"8.0753","9.3971","2.6225",4.8709,8.5132,"12.3032",3.8612,"6.7448","11.1612",16.6619,4.1963,8.0606,10.5838,"13.5864","1.3253",8.3859,"13.5455","16.0651",4.8881,"12.2149","17.5155","21.0405",6.3518,14.8007,"19.2511","15.0443","0.7062","0.8045","2.6768","4.6716",1.406,2.5125,"3.5733","4.8609",1.3226,2.6907,3.4161,"3.8335","0.8379",0.9201,0.8589,"0.2567",0.1029,0.18,0.2746,"0.2730",0.381,"0.7807",1.1716,1.629,0.4399,"0.8259","1.1724","1.3236",0.2675,0.9364,2.1235,"3.5178",1.4376,2.777,4.8223,"4.0091"
"265","000717.SZ","钢铁",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,28.5222,NA,NA,NA,32.9217,NA,12.659,NA,23.4644,NA,6.244,NA,11.8739,NA,3.3166,NA,9.3376,NA,4.1034,NA,10.5025,NA,5.384,NA,11.0938,2.2186,5.882,"9.8335","13.6660","6.8787",12.1981,19.0486,"27.8591",6.2288,"16.2249","17.9433",20.3169,4.1136,7.2436,7.542,"2.7263","0.6125",5.4876,"7.3656","8.3028",1.7937,"8.3990","10.1380","13.0897",2.0409,5.8406,"6.3730","-24.5836","-3.0039","-3.8880","0.6892","1.6119",0.8655,1.9914,"-0.9425","0.3607",0.4558,1.0601,0.3577,"-21.6884","-7.3556",-18.2649,-38.2015,"-52.6794",1.2581,0.3157,3.0646,"2.8674",-7.5048,"-18.5156",-22.1187,-38.1192,-15.8358,"-35.2453","-86.8913","-157.6956",-96.5496,-95.1501,-37.7546,"24.9394",30.993,82.9119,131.212,"146.6924"
"295","000761.SZ","钢铁",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,36.8395,NA,NA,NA,44.1532,NA,12.5101,NA,19.7174,NA,5.5461,NA,10.1197,NA,5.7869,NA,10.6387,NA,6.2219,NA,10.3926,NA,4.6095,NA,7.9383,0.999,4.5697,"6.7161","10.4642","2.1706",4.927,6.339,"12.6927",2.3245,"4.4240","7.2308",15.7433,3.8964,10.3212,10.6755,"12.3823","1.9114",5.636,"8.6682","15.2732",1.9423,"5.6279","7.5893","9.7620",2.382,6.0823,"8.3752","1.0172","0.2766","-5.9496","-9.5336","-10.3180",2.5964,4.7657,"5.9173","6.3523",2.0111,3.9301,5.1152,"5.2125","0.5658",0.9402,0.8409,"0.4504",0.6708,1.092,1.8139,"1.8019",0.7546,"1.1350",1.3161,1.517,0.465,"0.8325","1.0597","-24.1126",0.3438,1.5176,4.7012,"6.3391",2.3517,4.0335,9.9662,"11.8391"
"302","000778.SZ","钢铁",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,60.3707,NA,NA,NA,52.1334,NA,12.2165,NA,25.2665,NA,7.4052,NA,15.6311,NA,8.0236,NA,16.8733,NA,9.7549,NA,18.4373,NA,10.7337,NA,20.7987,5.7776,10.8263,"15.0517","21.2634","5.5547",12.1931,19.2434,"22.5150",5.423,"10.4375","15.3629",19.8571,5.2628,9.4682,12.9979,"15.0595","3.7137",6.9664,"9.6244","12.4653",3.4438,"7.1449","9.7955","12.8485",3.381,7.1495,"10.1471","10.2388","2.6496","8.9530","11.3449","12.1302",3.322,7.2787,"10.4993","13.5653",3.6744,7.5027,10.5873,"13.2224","3.0411",5.9249,6.9321,"10.7125",2.6945,3.3999,3.8185,"7.4043",1.5872,"3.1695",4.1641,5.1405,0.2777,"2.0822","1.7600","3.5697",0.23,1.1043,1.3315,"2.5613",1.2587,2.7087,4.354,"5.9044"
"339","000825.SZ","钢铁",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31.4488,NA,NA,NA,26.1346,NA,NA,NA,16.4587,NA,6.5655,NA,14.6079,NA,7.1178,NA,13.9843,NA,6.2225,NA,11.1445,2.0405,4.6549,"7.0822","8.7120","2.4391",6.365,11.6242,"16.2688",5.3339,"10.5983","15.7941",22.3662,5.6582,10.3131,13.7927,"15.0942","2.6024",8.095,"15.6759","26.1511",8.8064,"19.0272","24.2489","28.1406",5.3721,12.2858,"13.2334","6.5972","-3.5420","-3.4214","0.1739","4.3714",2.0975,3.852,"4.6903","6.4195",2.043,3.815,5.6187,"7.9966","0.7901",1.5661,2.9029,"4.6497",1.0452,1.3729,1.8291,"2.5763",0.6468,"1.5551",2.2214,1.7817,0.0716,"0.2555","-3.1154","-16.0451",-2.5887,1.4068,3.8802,"5.2402",1.4234,3.2529,9.1944,"18.7326"
"382","000898.SZ","钢铁",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13.9831,NA,NA,NA,25.3045,NA,11.5314,NA,14.3435,NA,2.0333,NA,2.4192,NA,1.3339,NA,5.5097,NA,4.175,NA,7.8676,NA,2.7414,NA,5.6788,0.7991,2.6154,"5.2179","8.0837","3.4536",7.9327,11.3679,"17.4093",3.0904,"7.7325","12.9166",18.6177,5.7868,11.8654,16.2463,"19.3772","6.2004",16.6442,"26.5886","33.2578",7.6437,"15.5951","20.6529","17.8364",4.4071,10.8357,"14.6556","5.5683","0.0151","-3.0286","0.6280","1.3777",2.166,5.1332,"4.8073","3.8291",0.1312,0.4101,0.4457,"-4.0947","-3.7903",-3.97,-6.4461,"-8.5404",1.1559,1.5,1.6335,"1.6449",0.6063,"1.2218",1.9468,1.9574,0.0396,"0.3235","-1.8740","-10.0871",-1.4313,0.6908,2.2325,"3.6662",2.3535,4.0014,7.0956,"11.8180"
"411","000932.SZ","钢铁",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23.7358,NA,NA,NA,19.972,NA,10.6504,NA,13.9191,NA,4.2448,NA,11.8479,NA,6.0367,NA,13.6636,2.516,6.1302,"9.3358","12.5068","3.2391",7.2135,10.6252,"14.1369",4.5914,"8.3662","11.6550",16.1765,4.7216,8.5119,8.622,"7.2701","0.7266",3.4782,"6.5842","11.7870",2.7137,"6.4096","9.6910","13.0728",-1.7879,5.3213,"8.3578","6.4778","-2.6824","-3.6149","-1.5414","0.8069",-1.8291,-2.7106,"-10.0420","-19.0983",-1.5461,-1.7061,-1.3343,"0.5455","-5.5224",-10.3447,-21.2802,"-27.9850",-3.7593,-3.9164,-2.7916,"1.0519",-1.2863,"0.1874",0.424,0.7337,-1.677,"-1.5206","-11.3303","-33.8203",-11.8766,-13.8959,-16.2858,"-15.6147",4.8105,14.2419,34.1841,"49.6882"
"427","000959.SZ","钢铁",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23.7119,NA,NA,NA,32.8516,NA,12.7245,NA,19.3217,NA,7.813,NA,15.2763,NA,7.6744,NA,14.1502,4.9355,8.1587,"11.0589","13.5322","2.8598",6.2237,11.2745,"14.9632",4.504,"8.6081","13.8369",17.9769,4.4631,7.9995,12.1537,"12.9195","1.6342",5.24,"7.7122","8.0065",2.0725,"5.7083","7.9636","9.2450",2.4697,6.9862,"7.2439","5.2611","0.9542","1.2306","5.3560","4.7789",0.6233,0.7356,"3.8297","4.4907",0.4047,3.8849,2.0863,"0.1525","-2.0055",-4.7111,-4.1408,"-4.7834",-2.206,-3.7302,-5.4655,"-3.1690",0.0344,"0.0671",0.076,0.4086,-1.3496,"-0.9386","-2.4607","-4.8516",-2.1292,0.073,0.5715,"1.6816",1.9446,3.7538,7.0585,"8.7032"
"539","002075.SZ","钢铁",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","",NA,NA,"",NA,"","",17.0101,NA,NA,NA,"17.6609","",12.7102,"15.4473","11.6767",2.1964,"4.8184","5.7918","-33.2260",-14.7643,-23.9695,"-39.5825","-271.4223","","","","",NA,NA,"","40.5818",4.8821,8.1954,11.7831,"12.9601","0.7791",1.4806,-0.4302,"0.9851",0.2017,0.3789,0.6404,"1.2095",0.1599,"1.4755",2.2011,1.486,0.0589,"-2.6696","-3.0970","-3.4342",0.1738,2.8094,5.5381,"8.7216",3.8123,6.6824,12.7232,"23.0098"
