"","证券代码","申万一级行业","净资产收益率ROE.平均...报告期..1993一季..单位...","净资产收益率ROE.平均...报告期..1993中报..单位...","净资产收益率ROE.平均...报告期..1993三季..单位...","净资产收益率ROE.平均...报告期..1993年报..单位...","净资产收益率ROE.平均...报告期..1994一季..单位...","净资产收益率ROE.平均...报告期..1994中报..单位...","净资产收益率ROE.平均...报告期..1994三季..单位...","净资产收益率ROE.平均...报告期..1994年报..单位...","净资产收益率ROE.平均...报告期..1995一季..单位...","净资产收益率ROE.平均...报告期..1995中报..单位...","净资产收益率ROE.平均...报告期..1995三季..单位...","净资产收益率ROE.平均...报告期..1995年报..单位...","净资产收益率ROE.平均...报告期..1996一季..单位...","净资产收益率ROE.平均...报告期..1996中报..单位...","净资产收益率ROE.平均...报告期..1996三季..单位...","净资产收益率ROE.平均...报告期..1996年报..单位...","净资产收益率ROE.平均...报告期..1997一季..单位...","净资产收益率ROE.平均...报告期..1997中报..单位...","净资产收益率ROE.平均...报告期..1997三季..单位...","净资产收益率ROE.平均...报告期..1997年报..单位...","净资产收益率ROE.平均...报告期..1998一季..单位...","净资产收益率ROE.平均...报告期..1998中报..单位...","净资产收益率ROE.平均...报告期..1998三季..单位...","净资产收益率ROE.平均...报告期..1998年报..单位...","净资产收益率ROE.平均...报告期..1999一季..单位...","净资产收益率ROE.平均...报告期..1999中报..单位...","净资产收益率ROE.平均...报告期..1999三季..单位...","净资产收益率ROE.平均...报告期..1999年报..单位...","净资产收益率ROE.平均...报告期..2000一季..单位...","净资产收益率ROE.平均...报告期..2000中报..单位...","净资产收益率ROE.平均...报告期..2000三季..单位...","净资产收益率ROE.平均...报告期..2000年报..单位...","净资产收益率ROE.平均...报告期..2001一季..单位...","净资产收益率ROE.平均...报告期..2001中报..单位...","净资产收益率ROE.平均...报告期..2001三季..单位...","净资产收益率ROE.平均...报告期..2001年报..单位...","净资产收益率ROE.平均...报告期..2002一季..单位...","净资产收益率ROE.平均...报告期..2002中报..单位...","净资产收益率ROE.平均...报告期..2002三季..单位...","净资产收益率ROE.平均...报告期..2002年报..单位...","净资产收益率ROE.平均...报告期..2003一季..单位...","净资产收益率ROE.平均...报告期..2003中报..单位...","净资产收益率ROE.平均...报告期..2003三季..单位...","净资产收益率ROE.平均...报告期..2003年报..单位...","净资产收益率ROE.平均...报告期..2004一季..单位...","净资产收益率ROE.平均...报告期..2004中报..单位...","净资产收益率ROE.平均...报告期..2004三季..单位...","净资产收益率ROE.平均...报告期..2004年报..单位...","净资产收益率ROE.平均...报告期..2005一季..单位...","净资产收益率ROE.平均...报告期..2005中报..单位...","净资产收益率ROE.平均...报告期..2005三季..单位...","净资产收益率ROE.平均...报告期..2005年报..单位...","净资产收益率ROE.平均...报告期..2006一季..单位...","净资产收益率ROE.平均...报告期..2006中报..单位...","净资产收益率ROE.平均...报告期..2006三季..单位...","净资产收益率ROE.平均...报告期..2006年报..单位...","净资产收益率ROE.平均...报告期..2007一季..单位...","净资产收益率ROE.平均...报告期..2007中报..单位...","净资产收益率ROE.平均...报告期..2007三季..单位...","净资产收益率ROE.平均...报告期..2007年报..单位...","净资产收益率ROE.平均...报告期..2008一季..单位...","净资产收益率ROE.平均...报告期..2008中报..单位...","净资产收益率ROE.平均...报告期..2008三季..单位...","净资产收益率ROE.平均...报告期..2008年报..单位...","净资产收益率ROE.平均...报告期..2009一季..单位...","净资产收益率ROE.平均...报告期..2009中报..单位...","净资产收益率ROE.平均...报告期..2009三季..单位...","净资产收益率ROE.平均...报告期..2009年报..单位...","净资产收益率ROE.平均...报告期..2010一季..单位...","净资产收益率ROE.平均...报告期..2010中报..单位...","净资产收益率ROE.平均...报告期..2010三季..单位...","净资产收益率ROE.平均...报告期..2010年报..单位...","净资产收益率ROE.平均...报告期..2011一季..单位...","净资产收益率ROE.平均...报告期..2011中报..单位...","净资产收益率ROE.平均...报告期..2011三季..单位...","净资产收益率ROE.平均...报告期..2011年报..单位...","净资产收益率ROE.平均...报告期..2012一季..单位...","净资产收益率ROE.平均...报告期..2012中报..单位...","净资产收益率ROE.平均...报告期..2012三季..单位...","净资产收益率ROE.平均...报告期..2012年报..单位...","净资产收益率ROE.平均...报告期..2013一季..单位...","净资产收益率ROE.平均...报告期..2013中报..单位...","净资产收益率ROE.平均...报告期..2013三季..单位...","净资产收益率ROE.平均...报告期..2013年报..单位...","净资产收益率ROE.平均...报告期..2014一季..单位...","净资产收益率ROE.平均...报告期..2014中报..单位...","净资产收益率ROE.平均...报告期..2014三季..单位...","净资产收益率ROE.平均...报告期..2014年报..单位...","净资产收益率ROE.平均...报告期..2015一季..单位...","净资产收益率ROE.平均...报告期..2015中报..单位...","净资产收益率ROE.平均...报告期..2015三季..单位...","净资产收益率ROE.平均...报告期..2015年报..单位...","净资产收益率ROE.平均...报告期..2016一季..单位...","净资产收益率ROE.平均...报告期..2016中报..单位...","净资产收益率ROE.平均...报告期..2016三季..单位...","净资产收益率ROE.平均...报告期..2016年报..单位...","净资产收益率ROE.平均...报告期..2017一季..单位...","净资产收益率ROE.平均...报告期..2017中报..单位...","净资产收益率ROE.平均...报告期..2017三季..单位...","净资产收益率ROE.平均...报告期..2017年报..单位..."
"1","000001.SZ","银行",NA,NA,NA,31.2311,NA,15.3013,NA,24.9164,NA,12.3022,NA,24.0997,NA,17.0383,NA,35.0751,NA,16.0995,NA,29.0799,NA,10.547,NA,21.6143,NA,6.3448,NA,16.8816,NA,5.9523,NA,13.261,NA,4.602,NA,9.6183,4.9452,8.3002,"10.9198","11.6886","3.9877",6.6765,8.1279,"10.4147",5.0007,"6.6095","9.2857",6.383,3.2368,3.2962,7.5554,"6.3868","4.5197",8.7094,"16.0293","22.6025",7.8801,"15.8610","25.2543","27.2057",7.4253,14.3164,"21.1403","4.1761","6.7044","13.4429","20.4987","27.2887",7.4126,11.9201,"17.9951","23.2809",6.9165,13.2051,14.8946,"19.2441","4.5681",8.8308,13.2071,"16.9537",4.1358,8.5414,13.0164,"15.4724",4.4066,"8.6447",13.1431,16.2959,4.2062,"8.2213","12.3158","14.9530",3.487,6.9604,10.4073,"12.4283",3.0319,6.0702,9.1144,"10.9324"
"606","002142.SZ","银行",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","",NA,NA,"",NA,"","",25.1214,NA,NA,NA,"24.0130","",NA,"","23.4829",NA,"11.6540","11.7586","16.9554",4.1309,8.992,"13.5561","15.8283","3.9456","7.9279","12.1285","15.7163",4.9807,12.4523,"17.9836","18.1273",5.0042,10.0865,15.1654,"18.8115","5.3780",11.042,16.6226,"19.9267",5.581,11.1467,16.7317,"20.3557",5.6846,"11.2811",15.7626,18.8848,5.0077,"9.8513","14.6820","16.5485",4.4024,8.8003,13.318,"16.3948",4.631,9.2037,14.1413,"17.3863"
"1260","002807.SZ","银行",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","",NA,NA,"",NA,"","",NA,NA,NA,NA,"37.8288","",NA,"","33.9623",NA,"","","36.0156",NA,NA,"","32.5401","","","","26.1411",NA,NA,"","28.2808",NA,NA,NA,"23.2782","",NA,NA,"21.6950",NA,NA,NA,"19.4730",NA,"",NA,13.9734,NA,"5.8078","8.7189","12.0720",2.418,4.893,6.4483,"9.7324",1.9867,4.0433,5.8112,"9.0326"
"1290","002839.SZ","银行",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","",NA,NA,"",NA,"","",NA,NA,NA,NA,"37.4069","",NA,"","24.4257",NA,"","","27.1011",NA,NA,"","18.9679","","","","17.2006",NA,NA,"","19.6630",NA,NA,NA,"22.2590","",NA,NA,"20.7334",NA,NA,NA,"19.1945",NA,"",NA,12.3777,NA,"","","10.0694",2.7319,4.7139,7.1206,"9.6069",2.6298,4.5978,7.1979,"9.7802"
"1379","002936.SZ","银行",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","",NA,NA,"",NA,"","",NA,NA,NA,NA,"","",NA,"","12.7036",NA,"","","12.1973",NA,NA,"","12.2291","","0.5797","","12.9660",NA,NA,"","25.9600",NA,NA,NA,"21.1546","",NA,NA,"20.9316",NA,10.5814,NA,"22.1045",NA,"13.8612",NA,23.5229,NA,"14.6797","","22.9885",4.7891,11.408,18.3566,"20.4587",4.82,10.3981,14.9722,"15.9994"
"2114","600000.SH","银行",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27.1486,NA,NA,NA,26.423,NA,14.1077,NA,16.6828,NA,6.5944,NA,12.5868,NA,6.9576,10.4958,14.6351,3.6912,7.3792,"11.4050","17.1065","3.3719",6.8915,11.1053,"15.6833",3.4625,"7.1405","11.0802",15.1249,3.7318,7.9763,12.5108,"17.3543","4.6261",9.6819,"14.4920","16.4867",3.8826,"10.0509","15.0558","20.7485",9.4165,20.268,"29.6527","35.7715","6.8307","15.3257","19.2854","24.1107",5.859,12.6266,"19.8420","20.0862",4.8073,10.0533,15.1658,"20.0715","5.1603",11.0594,16.4011,"20.9481",4.8871,10.6458,15.9785,"21.4323",5.087,"10.7200",15.9734,20.2461,4.1029,"8.7578","13.2619","17.5910",4.2265,8.1046,12.0543,"15.5461",3.8668,7.4617,10.669,"13.6782"
"2123","600015.SH","银行",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,36.0566,NA,NA,"","24.7677","",10.4026,9.9201,"13.1102",3.0469,"5.5926","8.7855",11.1528,3.1958,6.5835,11.1227,"12.7071","3.5108",7.0332,"11.6233","13.1421",3.8573,"8.5386","13.4488","17.0148",6.1071,14.0022,"21.5630","15.1733","2.5350","5.9936","9.3473","13.0438",4.2271,9.5634,"14.0576","18.2248",4.6982,9.0506,13.5616,"18.5558","3.6120",9.1711,13.5943,"18.4657",3.8672,9.3116,14.2091,"19.3687",4.2509,"9.8033",14.5052,19.2436,3.9999,"8.7154","13.0250","17.2340",3.412,7.5288,10.9911,"14.5830",2.9245,6.3267,9.0253,"12.3776"
"2124","600016.SH","银行",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12.469,NA,NA,NA,14.8907,NA,12.5839,NA,11.4012,2.7211,5.1036,7.9323,11.3193,3.6043,7.7442,"11.6329","15.6018","4.6285",10.0912,15.8786,"17.7750",4.3125,"10.1204","14.2185",18.073,4.5862,9.4901,14.3623,"18.8981","4.8164",10.6373,"15.4332","22.0913",5.568,"9.0687","13.3655","18.2330",4.9725,11.5275,"16.1169","15.1538","4.5163","13.2703","17.9774","17.0582",4.7246,9.6364,"13.8266","18.3000",5.7905,12.6887,18.873,"23.8934","6.8330",13.6405,20.2907,"25.6688",6.4603,13.1795,18.8783,"23.4364",6.2022,"12.1788",17.0549,20.3474,5.4134,"10.2909","14.4100","17.0352",4.4786,8.7817,12.4766,"14.8625",4.0595,7.9481,11.283,"13.8070"
"2141","600036.SH","银行",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24.481,NA,NA,NA,32.519,3.2649,8.6205,"12.3436","16.4011","3.4082",6.6805,9.9989,"13.0049",4.4023,"8.9628","13.1513",16.0649,4.9271,9.8964,14.4917,"16.1560","4.4970",9.5303,"11.6222","17.5153",4.378,"10.6996","16.8831","24.7563",8.8535,18.2087,"25.0706","28.5792","5.2052","10.0941","15.6604","21.1668",5.601,12.1338,"18.2256","22.7251",6.366,13.3124,19.7239,"24.1663","6.8038",13.4993,19.5515,"24.7823",6.2793,12.7322,17.2686,"22.2172",5.4464,"11.0479",16.1458,19.284,5.3336,"10.2017","14.6224","17.0898",4.9598,9.535,13.772,"16.2695",4.8548,9.5552,13.9948,"15.8969"
"2881","600908.SH","银行",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","",NA,NA,"",NA,"","",NA,NA,NA,NA,"","",NA,"","9.8618",NA,"","","20.9046",NA,NA,"","","","","","",NA,NA,"","",NA,NA,NA,"21.2838","",NA,NA,"18.8156",NA,NA,NA,"17.4670",NA,"",NA,15.356,NA,"6.5411","9.9683","12.2356",2.9431,6.3555,8.7697,"11.1730",2.6902,5.9117,8.6263,"11.0389"
