"","证券代码","申万一级行业","净资产收益率ROE.平均...报告期..1993一季..单位...","净资产收益率ROE.平均...报告期..1993中报..单位...","净资产收益率ROE.平均...报告期..1993三季..单位...","净资产收益率ROE.平均...报告期..1993年报..单位...","净资产收益率ROE.平均...报告期..1994一季..单位...","净资产收益率ROE.平均...报告期..1994中报..单位...","净资产收益率ROE.平均...报告期..1994三季..单位...","净资产收益率ROE.平均...报告期..1994年报..单位...","净资产收益率ROE.平均...报告期..1995一季..单位...","净资产收益率ROE.平均...报告期..1995中报..单位...","净资产收益率ROE.平均...报告期..1995三季..单位...","净资产收益率ROE.平均...报告期..1995年报..单位...","净资产收益率ROE.平均...报告期..1996一季..单位...","净资产收益率ROE.平均...报告期..1996中报..单位...","净资产收益率ROE.平均...报告期..1996三季..单位...","净资产收益率ROE.平均...报告期..1996年报..单位...","净资产收益率ROE.平均...报告期..1997一季..单位...","净资产收益率ROE.平均...报告期..1997中报..单位...","净资产收益率ROE.平均...报告期..1997三季..单位...","净资产收益率ROE.平均...报告期..1997年报..单位...","净资产收益率ROE.平均...报告期..1998一季..单位...","净资产收益率ROE.平均...报告期..1998中报..单位...","净资产收益率ROE.平均...报告期..1998三季..单位...","净资产收益率ROE.平均...报告期..1998年报..单位...","净资产收益率ROE.平均...报告期..1999一季..单位...","净资产收益率ROE.平均...报告期..1999中报..单位...","净资产收益率ROE.平均...报告期..1999三季..单位...","净资产收益率ROE.平均...报告期..1999年报..单位...","净资产收益率ROE.平均...报告期..2000一季..单位...","净资产收益率ROE.平均...报告期..2000中报..单位...","净资产收益率ROE.平均...报告期..2000三季..单位...","净资产收益率ROE.平均...报告期..2000年报..单位...","净资产收益率ROE.平均...报告期..2001一季..单位...","净资产收益率ROE.平均...报告期..2001中报..单位...","净资产收益率ROE.平均...报告期..2001三季..单位...","净资产收益率ROE.平均...报告期..2001年报..单位...","净资产收益率ROE.平均...报告期..2002一季..单位...","净资产收益率ROE.平均...报告期..2002中报..单位...","净资产收益率ROE.平均...报告期..2002三季..单位...","净资产收益率ROE.平均...报告期..2002年报..单位...","净资产收益率ROE.平均...报告期..2003一季..单位...","净资产收益率ROE.平均...报告期..2003中报..单位...","净资产收益率ROE.平均...报告期..2003三季..单位...","净资产收益率ROE.平均...报告期..2003年报..单位...","净资产收益率ROE.平均...报告期..2004一季..单位...","净资产收益率ROE.平均...报告期..2004中报..单位...","净资产收益率ROE.平均...报告期..2004三季..单位...","净资产收益率ROE.平均...报告期..2004年报..单位...","净资产收益率ROE.平均...报告期..2005一季..单位...","净资产收益率ROE.平均...报告期..2005中报..单位...","净资产收益率ROE.平均...报告期..2005三季..单位...","净资产收益率ROE.平均...报告期..2005年报..单位...","净资产收益率ROE.平均...报告期..2006一季..单位...","净资产收益率ROE.平均...报告期..2006中报..单位...","净资产收益率ROE.平均...报告期..2006三季..单位...","净资产收益率ROE.平均...报告期..2006年报..单位...","净资产收益率ROE.平均...报告期..2007一季..单位...","净资产收益率ROE.平均...报告期..2007中报..单位...","净资产收益率ROE.平均...报告期..2007三季..单位...","净资产收益率ROE.平均...报告期..2007年报..单位...","净资产收益率ROE.平均...报告期..2008一季..单位...","净资产收益率ROE.平均...报告期..2008中报..单位...","净资产收益率ROE.平均...报告期..2008三季..单位...","净资产收益率ROE.平均...报告期..2008年报..单位...","净资产收益率ROE.平均...报告期..2009一季..单位...","净资产收益率ROE.平均...报告期..2009中报..单位...","净资产收益率ROE.平均...报告期..2009三季..单位...","净资产收益率ROE.平均...报告期..2009年报..单位...","净资产收益率ROE.平均...报告期..2010一季..单位...","净资产收益率ROE.平均...报告期..2010中报..单位...","净资产收益率ROE.平均...报告期..2010三季..单位...","净资产收益率ROE.平均...报告期..2010年报..单位...","净资产收益率ROE.平均...报告期..2011一季..单位...","净资产收益率ROE.平均...报告期..2011中报..单位...","净资产收益率ROE.平均...报告期..2011三季..单位...","净资产收益率ROE.平均...报告期..2011年报..单位...","净资产收益率ROE.平均...报告期..2012一季..单位...","净资产收益率ROE.平均...报告期..2012中报..单位...","净资产收益率ROE.平均...报告期..2012三季..单位...","净资产收益率ROE.平均...报告期..2012年报..单位...","净资产收益率ROE.平均...报告期..2013一季..单位...","净资产收益率ROE.平均...报告期..2013中报..单位...","净资产收益率ROE.平均...报告期..2013三季..单位...","净资产收益率ROE.平均...报告期..2013年报..单位...","净资产收益率ROE.平均...报告期..2014一季..单位...","净资产收益率ROE.平均...报告期..2014中报..单位...","净资产收益率ROE.平均...报告期..2014三季..单位...","净资产收益率ROE.平均...报告期..2014年报..单位...","净资产收益率ROE.平均...报告期..2015一季..单位...","净资产收益率ROE.平均...报告期..2015中报..单位...","净资产收益率ROE.平均...报告期..2015三季..单位...","净资产收益率ROE.平均...报告期..2015年报..单位...","净资产收益率ROE.平均...报告期..2016一季..单位...","净资产收益率ROE.平均...报告期..2016中报..单位...","净资产收益率ROE.平均...报告期..2016三季..单位...","净资产收益率ROE.平均...报告期..2016年报..单位...","净资产收益率ROE.平均...报告期..2017一季..单位...","净资产收益率ROE.平均...报告期..2017中报..单位...","净资产收益率ROE.平均...报告期..2017三季..单位...","净资产收益率ROE.平均...报告期..2017年报..单位..."
"71","000166.SZ","非银金融",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","0.0826","",NA,NA,"2.9894",NA,"","",-7.1137,NA,-50.8785,NA,"-107.8498","",34.7955,"44.0470","51.3756",21.6681,"71.2831","","84.3648",NA,10.6122,"","20.1541","","14.0122","","31.3965",NA,7.1035,"","19.9459",NA,6.0906,NA,"10.7766","",4.4196,6.306,"8.5095",NA,4.4389,7.9824,"10.4884",3.029,"",NA,17.151,8.186,"21.7262","24.7032","33.8746",2.0877,4.2531,7.634,"10.5502",1.8392,3.9097,6.7106,"8.5574"
"86","000415.SZ","非银金融",NA,NA,NA,NA,NA,NA,NA,20.8252,NA,NA,NA,23.145,NA,12.0322,NA,27.9456,NA,7.6235,NA,14.5003,NA,7.6637,NA,17.9954,NA,19.3652,NA,23.0308,NA,5.9998,NA,11.4496,NA,5.5646,NA,6.6961,-1.5262,-0.4516,"0.0437","0.3288","-2.1783",-1.7863,0.1004,"-21.2723",-3.9797,"2.3154","2.5412",2.6006,-1.4442,0.3763,0.6106,"0.4292","-3.0812",-5.5526,"4.3954","4.1009",-2.0711,"-2.8210","5.9063","3.1691",-2.5837,-2.378,"3.7294","-22.8003","-2.8218","-5.7940","-3.9521","-29.0337",-2.7454,-5.1797,"-4.4362","1.1804",-3.1725,4.8573,7.1673,"10.0110","0.7150",2.734,5.7947,"6.9534",1.5247,3.9536,5.4961,"16.5266",2.5594,"6.1416",9.1373,11.8228,2.4917,"6.2790","9.3538","7.0360",0.7902,2.635,5.0959,"7.7921",1.2833,3.3027,6.0025,"8.3789"
"87","000416.SZ","非银金融",NA,NA,NA,NA,NA,NA,NA,17.7511,NA,NA,NA,18.9116,4.7754,8.4019,NA,13.7635,NA,3.5362,NA,10.1151,NA,2.7152,NA,1.9966,NA,0.0603,NA,-15.1281,NA,-1.3717,NA,-10.1202,NA,-5.3773,-5.78,16.0222,26.424,36.8793,"46.0871","54.3833","17.5795",24.841,30.4229,"35.5942",14.0823,"17.9916","22.6792",22.9244,8.6758,9.2973,10.3205,"7.7975","2.2238",0.6711,"0.8985","1.1112",-0.4262,"-0.2497","-0.5446","0.6433",-1.1848,-1.7448,"-3.1692","-1.8753","8.8761","9.3468","9.2584","9.7183",0.4181,-0.0941,"0.7990","2.0136",1.6367,2.6641,1.8341,"4.3400","-0.2218",-0.6593,-1.9647,"7.5239",2.2653,-0.6581,3.6204,"0.5589",-0.6633,"0.4608",3.1071,10.5824,1.3878,"2.9474","-2.1420","2.4459",-1.2929,-0.3996,1.1402,"1.9046",0.6999,1.6492,3.0645,"3.1048"
"153","000563.SZ","非银金融",NA,9.5417,NA,26.1142,NA,33.5635,NA,35.2722,NA,11.761,NA,10.2487,NA,7.8906,NA,10.3285,NA,7.7652,NA,12.0009,NA,11.4369,NA,14.598,NA,6.4359,NA,8.7641,NA,4.2118,NA,9.6601,NA,5.0929,NA,7.2293,1.5723,3.72,"4.0466","0.8055","0.3749",-1.3176,2.7982,"-28.2394",-1.0537,"-14.6191","-17.0232",3.5332,0.2001,0.533,0.5843,"-4.7832","-0.5686",3.2237,"2.8270","2.9278",1.1354,"7.1295","9.2495","15.9262",3.6698,8.0102,"9.1649","13.3055","2.3089","3.1930","7.5705","8.0199",2.4788,4.9322,"6.7423","12.1764",7.5036,10.8559,14.2134,"19.3862","3.8754",5.1922,9.5063,"12.6754",2.2339,5.5534,6.8886,"9.2458",2.1006,"6.1030",6.7172,9.5758,1.9055,"7.0625","8.6659","7.9168",1.9094,3.7062,4.605,"6.6990",1.524,3.4603,5.2776,"4.4987"
"157","000567.SZ","非银金融",NA,NA,NA,16.6917,NA,9.8932,NA,15.5669,NA,0.1664,NA,-15.6634,NA,-8.1109,NA,-12.579,NA,2.7869,NA,11.0683,NA,6.3071,NA,11.3339,NA,0.744,NA,9.6988,NA,-1.5353,NA,-23.0903,NA,-7.0563,NA,-91.4,-14.8825,-39.3785,"-53.0949","24.1403","10.4697",4.8009,1.635,"4.1667",-8.4429,"-12.2359","10.9088",15.1138,0.7225,4.3857,0.5773,"1.6151","1.7963",11.4703,"15.5901","23.0634",1.4527,"8.0382","9.5122","21.2031",1.8756,7.6908,"8.0910","20.2023","1.5963","3.5757","4.6305","8.5705",4.8738,9.3327,"14.4441","13.9567",-0.4088,1.0494,1.2071,"0.6674","-0.3034",-0.5029,-0.5373,"-7.1010",0.144,0.6305,0.9967,"1.4543",2.3426,"3.3013",4.5426,3.2245,0.2714,"7.0563","7.1598","11.2416",0.9806,0.5238,0.7399,"1.3619",8.154,15.8647,23.0099,"28.5267"
"194","000617.SZ","非银金融",NA,NA,NA,NA,NA,NA,NA,22.9835,NA,NA,NA,22.8883,NA,NA,NA,18.5996,NA,0.0082,NA,0.4388,NA,-2.6066,NA,-7.2921,NA,2.7088,NA,0.3932,NA,-0.6391,NA,2.9677,NA,5.2197,NA,11.4739,2.6656,4.9502,"11.8903","18.9109","3.8555",9.3885,15.6858,"21.8982",8.3502,"18.5756","28.7427",41.1427,7.1652,15.7875,22.5404,"30.4682","3.9772",8.5862,"15.9903","21.9860",3.7569,"9.8751","12.9938","15.5922",0.7349,4.867,"9.2528","14.2588","3.8182","6.1436","5.5293","6.4926",-1.273,-0.6111,"1.6187","2.0001",-1.9696,-1.4642,-0.4567,"-12.1527","-3.1622",-3.0403,-4.3849,"-3.9429",-1.7274,2.1734,2.3132,"1.4012",0.3481,"-4.0550",-7.3725,-17.6005,0.3798,"1.0016","-4.3220","-13.5304",-7.8732,-34.9213,-48.9466,"16.6834",2.1712,5.3192,7.3369,"9.9652"
"201","000627.SZ","非银金融",NA,NA,NA,NA,NA,NA,NA,32.7423,NA,NA,NA,47.2974,NA,NA,NA,29.2198,NA,10.8282,NA,27.8512,NA,4.2,NA,9.012,NA,2.6753,NA,6.3632,NA,3.5546,NA,6.616,NA,2.4598,NA,6.1207,0.2615,1.7414,"2.7721","0.7610","-0.9378",-1.8928,-3.4026,"-7.1810",-0.9049,"0.1664","0.3193",0.7851,0.6222,0.969,1.2487,"1.0847","0.4563",3.0763,"5.5786","7.1621",1.6765,"3.7324","6.9467","11.8881",1.3366,3.7951,"4.0132","0.7155","0.2298","1.6405","2.1211","3.7643",1.9391,2.3437,"2.9578","1.8596",0.2009,-1.9867,-3.1988,"-6.9616","-2.8534",-5.442,-5.0347,"0.8230",-0.3968,-1.1857,-2.352,"-6.9825",13.037,"11.9262",9.9889,5.893,-1.4183,"-2.6552","-3.9251","15.5090",11.0398,11.4398,11.0668,"22.8900",0.7972,4.5902,6.0422,"8.0037"
"224","000666.SZ","非银金融",NA,NA,NA,NA,NA,NA,NA,28.9521,NA,NA,NA,27.9328,NA,7.9502,NA,15.4504,NA,5.406,NA,5.6704,NA,-2.8598,NA,1.1615,NA,1.21,NA,11.334,NA,4.4486,NA,9.0669,NA,4.2013,NA,5.7107,0.618,2.2137,"3.8266","6.1922","1.4954",3.4506,5.5916,"6.8531",1.3016,"3.2589","4.5866",6.1023,1.2938,2.8939,4.3618,"5.2305","1.4044",3.0623,"4.6484","7.0396",1.534,"3.4714","4.9201","5.8534",1.094,1.8267,"0.6298","0.9106","-1.8715","-3.5398","-5.2653","-2.8136",0.4267,1.0532,"3.7462","8.4080",4.4292,9.586,14.1764,"15.1889","5.3654",7.8955,11.2667,"10.6226",2.1972,6.3885,8.9875,"12.0571",1.8254,"4.1889",6.0547,10.1231,1.7732,"5.4189","7.6941","7.8588",0.8949,4.3018,6.7787,"8.5180",3.9827,7.2666,11.8434,"16.7193"
"241","000686.SZ","非银金融",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21.7355,NA,10.5337,NA,24.2098,NA,6.9296,NA,20.1539,NA,5.1347,NA,12.8331,NA,3.0835,NA,10.6101,NA,2.3704,NA,6.4406,NA,1.5114,NA,2.6957,0.2716,0.7609,"1.4642","1.9860","-0.0808",0.9395,1.7692,"2.3466",0.8208,"1.8924","2.3243",3.3216,1.0198,1.9903,2.5228,"3.7393","0.8473",1.5326,"2.9911","16.0414",0.3039,"-1.3621","79.6171","81.5498",8.1598,15.1806,"15.3650","18.6515","8.9985","19.6807","25.2851","34.3534",6.4132,3.654,"10.4900","16.1653",3.0062,2.6074,-0.5469,"-4.6268","1.5770",3.9044,2.7773,"2.9264",2.5509,4.252,6.0839,"6.5581",2.3615,"4.3472",7.7132,13.1585,6.0638,"19.1329","23.0402","26.2110",3.4825,4.5051,8.6183,"9.7481",1.231,1.9852,4.085,"4.2674"
"261","000712.SZ","非银金融",NA,NA,NA,NA,NA,NA,NA,17.0112,NA,NA,NA,18.8901,NA,NA,NA,18.7606,NA,8.4917,NA,14.192,NA,5.0003,NA,11.3689,NA,2.8435,NA,6.4205,NA,0.8296,NA,14.6577,NA,1.8526,NA,5.6049,0.6354,1.4437,"2.4719","2.8844","0.5385",1.6971,2.4124,"1.8846",0.722,"1.0902","1.4286",1.4942,0.7719,1.0633,0.7274,"0.5833","0.3866",3.8091,"4.0186","7.2665",9.1012,"9.1842","7.8911","18.7770",0.9147,2.2034,"2.8379","4.1842","7.1389","11.1584","21.7506","32.7300",7.646,5.8324,"13.9573","19.8633",3.7423,6.3258,4.2236,"2.5331","1.0420",4.6837,1.9989,"1.5277",1.3672,2.1382,2.5401,"2.3832",9.0473,"10.0741",13.027,16.198,7.4152,"20.7375","25.8392","30.7475",2.2048,4.8182,7.8428,"10.3858",1.9769,2.6525,5.2903,"5.2692"
