"","证券代码","申万一级行业","净资产收益率ROE.平均...报告期..1993一季..单位...","净资产收益率ROE.平均...报告期..1993中报..单位...","净资产收益率ROE.平均...报告期..1993三季..单位...","净资产收益率ROE.平均...报告期..1993年报..单位...","净资产收益率ROE.平均...报告期..1994一季..单位...","净资产收益率ROE.平均...报告期..1994中报..单位...","净资产收益率ROE.平均...报告期..1994三季..单位...","净资产收益率ROE.平均...报告期..1994年报..单位...","净资产收益率ROE.平均...报告期..1995一季..单位...","净资产收益率ROE.平均...报告期..1995中报..单位...","净资产收益率ROE.平均...报告期..1995三季..单位...","净资产收益率ROE.平均...报告期..1995年报..单位...","净资产收益率ROE.平均...报告期..1996一季..单位...","净资产收益率ROE.平均...报告期..1996中报..单位...","净资产收益率ROE.平均...报告期..1996三季..单位...","净资产收益率ROE.平均...报告期..1996年报..单位...","净资产收益率ROE.平均...报告期..1997一季..单位...","净资产收益率ROE.平均...报告期..1997中报..单位...","净资产收益率ROE.平均...报告期..1997三季..单位...","净资产收益率ROE.平均...报告期..1997年报..单位...","净资产收益率ROE.平均...报告期..1998一季..单位...","净资产收益率ROE.平均...报告期..1998中报..单位...","净资产收益率ROE.平均...报告期..1998三季..单位...","净资产收益率ROE.平均...报告期..1998年报..单位...","净资产收益率ROE.平均...报告期..1999一季..单位...","净资产收益率ROE.平均...报告期..1999中报..单位...","净资产收益率ROE.平均...报告期..1999三季..单位...","净资产收益率ROE.平均...报告期..1999年报..单位...","净资产收益率ROE.平均...报告期..2000一季..单位...","净资产收益率ROE.平均...报告期..2000中报..单位...","净资产收益率ROE.平均...报告期..2000三季..单位...","净资产收益率ROE.平均...报告期..2000年报..单位...","净资产收益率ROE.平均...报告期..2001一季..单位...","净资产收益率ROE.平均...报告期..2001中报..单位...","净资产收益率ROE.平均...报告期..2001三季..单位...","净资产收益率ROE.平均...报告期..2001年报..单位...","净资产收益率ROE.平均...报告期..2002一季..单位...","净资产收益率ROE.平均...报告期..2002中报..单位...","净资产收益率ROE.平均...报告期..2002三季..单位...","净资产收益率ROE.平均...报告期..2002年报..单位...","净资产收益率ROE.平均...报告期..2003一季..单位...","净资产收益率ROE.平均...报告期..2003中报..单位...","净资产收益率ROE.平均...报告期..2003三季..单位...","净资产收益率ROE.平均...报告期..2003年报..单位...","净资产收益率ROE.平均...报告期..2004一季..单位...","净资产收益率ROE.平均...报告期..2004中报..单位...","净资产收益率ROE.平均...报告期..2004三季..单位...","净资产收益率ROE.平均...报告期..2004年报..单位...","净资产收益率ROE.平均...报告期..2005一季..单位...","净资产收益率ROE.平均...报告期..2005中报..单位...","净资产收益率ROE.平均...报告期..2005三季..单位...","净资产收益率ROE.平均...报告期..2005年报..单位...","净资产收益率ROE.平均...报告期..2006一季..单位...","净资产收益率ROE.平均...报告期..2006中报..单位...","净资产收益率ROE.平均...报告期..2006三季..单位...","净资产收益率ROE.平均...报告期..2006年报..单位...","净资产收益率ROE.平均...报告期..2007一季..单位...","净资产收益率ROE.平均...报告期..2007中报..单位...","净资产收益率ROE.平均...报告期..2007三季..单位...","净资产收益率ROE.平均...报告期..2007年报..单位...","净资产收益率ROE.平均...报告期..2008一季..单位...","净资产收益率ROE.平均...报告期..2008中报..单位...","净资产收益率ROE.平均...报告期..2008三季..单位...","净资产收益率ROE.平均...报告期..2008年报..单位...","净资产收益率ROE.平均...报告期..2009一季..单位...","净资产收益率ROE.平均...报告期..2009中报..单位...","净资产收益率ROE.平均...报告期..2009三季..单位...","净资产收益率ROE.平均...报告期..2009年报..单位...","净资产收益率ROE.平均...报告期..2010一季..单位...","净资产收益率ROE.平均...报告期..2010中报..单位...","净资产收益率ROE.平均...报告期..2010三季..单位...","净资产收益率ROE.平均...报告期..2010年报..单位...","净资产收益率ROE.平均...报告期..2011一季..单位...","净资产收益率ROE.平均...报告期..2011中报..单位...","净资产收益率ROE.平均...报告期..2011三季..单位...","净资产收益率ROE.平均...报告期..2011年报..单位...","净资产收益率ROE.平均...报告期..2012一季..单位...","净资产收益率ROE.平均...报告期..2012中报..单位...","净资产收益率ROE.平均...报告期..2012三季..单位...","净资产收益率ROE.平均...报告期..2012年报..单位...","净资产收益率ROE.平均...报告期..2013一季..单位...","净资产收益率ROE.平均...报告期..2013中报..单位...","净资产收益率ROE.平均...报告期..2013三季..单位...","净资产收益率ROE.平均...报告期..2013年报..单位...","净资产收益率ROE.平均...报告期..2014一季..单位...","净资产收益率ROE.平均...报告期..2014中报..单位...","净资产收益率ROE.平均...报告期..2014三季..单位...","净资产收益率ROE.平均...报告期..2014年报..单位...","净资产收益率ROE.平均...报告期..2015一季..单位...","净资产收益率ROE.平均...报告期..2015中报..单位...","净资产收益率ROE.平均...报告期..2015三季..单位...","净资产收益率ROE.平均...报告期..2015年报..单位...","净资产收益率ROE.平均...报告期..2016一季..单位...","净资产收益率ROE.平均...报告期..2016中报..单位...","净资产收益率ROE.平均...报告期..2016三季..单位...","净资产收益率ROE.平均...报告期..2016年报..单位...","净资产收益率ROE.平均...报告期..2017一季..单位...","净资产收益率ROE.平均...报告期..2017中报..单位...","净资产收益率ROE.平均...报告期..2017三季..单位...","净资产收益率ROE.平均...报告期..2017年报..单位..."
"16","000019.SZ","食品饮料",NA,NA,NA,12.3738,NA,5.3026,NA,-3.2883,NA,0.5097,NA,1.7139,NA,4.942,NA,17.4215,NA,1.0574,NA,11.0136,NA,1.4914,NA,11.4187,NA,1.5513,NA,10.3032,NA,2.8824,NA,3.6717,NA,2.8428,NA,3.6867,-4.3695,2.2507,"2.4462","3.5880","0.0601",0.2523,-2.3594,"-17.8141",0.0989,"0.2962","1.6181",1.8614,0.1082,0.7737,1.8076,"2.3401","1.0810",2.7114,"2.7679","13.2011",0.2603,"4.9882","6.0867","14.6480",0.1818,2.0399,"5.0654","3.8692","-2.1510","-0.6919","1.5916","-3.9535",-3.6128,-5.8777,"-7.2060","1.7631",-2.5911,0.7252,5.1131,"1.1490","-0.4113",9.5126,9.1827,"8.0395",0.115,-0.634,5.6123,"4.5370",-0.6412,"-2.4682",-3.5953,1.3797,-0.9862,"0.5462","-0.8513","-3.6985",-0.663,-1.6269,-2.9896,"9.8222",-0.9659,-1.7556,-2.631,"-5.4677"
"158","000568.SZ","食品饮料",NA,NA,NA,26.9516,NA,18.1289,NA,29.7754,NA,26.2406,NA,43.5185,NA,13.7173,NA,43.891,NA,14.7633,NA,44.5685,NA,4.7822,NA,15.5467,NA,4.5699,NA,10.0634,NA,4.0785,NA,13.4894,NA,2.7738,NA,6.5898,2.8707,2.7274,"2.7310","2.2348","3.3660",2.7413,2.4251,"2.7978",3.382,"2.2042","2.0938",2.6243,3.396,2.2849,2.1715,"3.0131","6.4736",11.4671,"13.5426","17.1070",6.1535,"11.5130","17.8870","31.3321",17.3178,26.1907,"36.1282","40.9543","14.1939","24.6875","34.3778","43.3165",14.7732,24.4942,"34.7070","45.1644",14.9839,25.3861,34.1465,"45.7979","16.5287",27.7515,38.2656,"52.0411",11.1197,19.3564,27.4698,"33.9179",4.558,"9.4232",12.0825,8.676,5.4103,"10.4041","13.3718","14.7377",5.6303,10.8608,14.4311,"18.0952",6.982,13.2318,15.5597,"19.5248"
"176","000596.SZ","食品饮料",NA,NA,NA,NA,NA,NA,NA,41.3109,NA,NA,NA,47.1342,NA,29.0382,NA,12.3513,NA,16.7114,NA,22.8947,NA,8.4678,NA,15.2931,NA,7.0643,NA,14.9067,NA,4.6034,NA,13.6389,NA,3.6272,NA,5.9479,1.9019,2.3783,"3.5620","4.0932","1.4937",0.9014,1.3945,"-3.8881",0.8135,"0.5341","0.1054",-27.9372,-1.7929,-2.4992,-1.014,"0.6316","0.3035",0.3616,"1.0256","1.6461",0.5886,"1.2094","2.1077","4.0890",2.4913,2.1353,"2.7258","4.0079","3.3591","4.5343","5.8039","16.5991",8.9023,13.0869,"17.0381","33.7833",14.7529,24.9884,19.5009,"29.7272","8.8639",14.2109,17.8528,"23.6479",8.7187,10.9389,13.7278,"17.4764",7.3764,"9.3300",11.8499,15.0696,6.9695,"8.7499","11.3935","15.8757",6.8878,8.5953,11.4249,"15.9103",7.0444,9.6152,13.6466,"19.0596"
"264","000716.SZ","食品饮料",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19.1901,NA,NA,NA,24.5185,NA,4.9979,NA,17.0995,NA,4.7855,NA,11.8121,NA,4.3607,NA,4.992,NA,0.433,NA,1.6785,NA,0.4499,NA,1.3403,-1.9183,-5.7593,"-7.7501","-23.6228","0.2241",-9.8503,-11.0755,"2.1198",0.1162,"2.4230","3.5380",2.2983,-3.1853,1.2667,-3.3941,"-27.9896","1.1692",4.2685,"5.3524","0.2961",0.6097,"-1.0950","15.3519","3.1871",1.301,2.3366,"3.1700","-23.5914","2.3841","6.8527","8.4093","-4.4721",1.5996,66.1774,"66.2106","75.8253",0.8873,3.1882,3.0137,"4.1396","0.9514",3.9089,4.9631,"5.7092",5.5748,4.0223,5.0266,"6.9845",3.212,"4.3886",5.9959,4.711,1.6251,"2.3152","4.0192","8.4146",1.2785,1.2256,3.4344,"0.9395",1.3416,1.5746,4.8062,"5.1356"
"276","000729.SZ","食品饮料",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,94.3355,NA,NA,NA,62.0392,NA,20.6278,NA,26.1334,NA,11.914,NA,17.0603,NA,8.783,NA,12.7248,NA,4.8114,NA,9.212,NA,4.0021,NA,8.1255,0.3263,3.1214,"5.6149","5.5135","0.3287",3.0838,6.5447,"6.3139",0.3397,"3.5132","6.5202",6.6264,0.3209,3.4223,6.4676,"6.3483","0.3125",3.2249,"6.0776","6.3140",0.3035,"3.6776","7.2221","7.6308",0.379,4.5895,"7.9306","7.4242","0.3504","4.4938","7.9236","8.7893",0.4173,5.3478,"9.3487","9.9146",0.4546,5.3081,9.2853,"9.6555","0.4172",4.9196,8.6303,"6.6597",0.4657,4.9443,8.194,"6.3335",0.4285,"4.8783",7.5776,6.053,0.4321,"4.7862","6.8061","4.7149",0.3714,3.5025,4.7975,"2.4509",0.4191,3.7712,4.6792,"1.2586"
"287","000752.SZ","食品饮料",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17.1389,NA,NA,NA,31.3278,NA,9.5067,NA,15.7974,NA,3.8057,NA,15.2506,NA,14.0621,NA,22.9699,NA,5.269,NA,9.9531,NA,4.4091,NA,9.3488,1.6652,5.4597,"8.1112","9.9847","2.0854",4.903,8.2617,"9.5377",2.1877,"5.4542","7.3670",8.1438,1.664,3.2605,4.7412,"5.4770","0.8463",1.702,"2.8139","2.7523",0.887,"2.0025","3.3045","2.9631",1.0675,2.1715,"3.4009","4.1328","1.0693","2.1758","3.9757","5.2964",1.4504,2.7933,"3.8057","2.6678",0.7525,2.2353,4.4228,"6.2116","0.8113",1.5158,3.1405,"3.5619",19.401,19.6254,20.5655,"18.5323",0.81,"1.2866",1.776,3.3408,0.8444,"1.4798","1.8473","2.1022",0.4648,0.3382,0.5498,"1.0131",0.4637,0.8898,1.2319,"1.2107"
"319","000799.SZ","食品饮料",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,101.9155,NA,NA,NA,69.1496,19.4103,34.5317,NA,33.6228,NA,14.0732,NA,22.8854,NA,9.8384,NA,13.6983,NA,3.0403,NA,6.6663,NA,3.2645,NA,7.8834,0.4253,1.1452,"0.2186","-12.0644","-0.7141",-1.8429,-1.5309,"-8.8498",2.0822,"-0.6223","-0.2275",0.5966,0.3206,-1.1922,-15.5363,"-30.5889","-2.5395",-14.4995,"-15.0769","-35.9258",-0.553,"0.4854","5.5899","11.4444",0.5927,1.2399,"-2.3941","6.8885","-0.8741","2.2510","5.8294","9.0335",0.3418,7.0318,"8.3265","11.0862",2.7397,7.7377,10.7615,"18.1039","8.3183",17.3858,28.6413,"30.5913",0.5399,1.6603,1.1028,"-2.0195",0.092,"-2.5509",-4.4011,-5.6774,1.1344,"2.3398","3.5918","5.1721",1.5962,2.1816,3.6612,"5.9958",1.9656,4.3822,6.1085,"9.0984"
"351","000848.SZ","食品饮料",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,60.3925,NA,NA,NA,52.3905,NA,NA,NA,27.0669,NA,17.1241,NA,23.452,NA,20.0913,NA,28.1076,NA,4.7217,NA,9.32,NA,5.2504,NA,13.9895,4.4613,4.7415,"5.1312","7.4911","2.0438",1.1512,2.0662,"3.8725",2.1301,"2.9553","5.6754",5.0441,2.8431,3.6181,3.892,"5.9323","3.6345",5.0821,"6.9828","11.5238",7.027,"8.7584","11.9649","17.0575",8.5107,11.1684,"15.4698","19.4595","6.6075","9.2333","13.4433","22.6365",16.0045,17.4626,"22.0149","25.6693",12.8487,15.5,20.0373,"25.7228","13.0242",17.3474,22.174,"28.6136",20.8247,22.9843,31.061,"36.9371",21.1709,"24.5735",30.8287,38.1348,16.0773,"18.4768","23.9907","30.9868",13.5264,15.7091,20.4141,"24.6603",9.494,12.0174,16.447,"20.8123"
"356","000858.SZ","食品饮料",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,105.8976,NA,NA,NA,103.8418,NA,22.412,NA,51.293,NA,16.4515,NA,31.013,NA,16.3092,NA,27.388,7.5848,12.643,16.7974,20.5879,5.164,7.3864,"10.1566","12.2637","5.2931",7.0817,9.8116,"12.4232",6.1832,"8.7409","10.9158",13.1669,6.0952,8.576,11.0618,"11.3658","7.1603",10.731,"13.1754","14.9456",8.6155,"13.0575","14.9560","16.4746",10,12.682,"15.3352","17.2863","10.4964","13.2743","18.4908","25.2952",10.1164,14.9598,"21.6598","27.1519",10.863,17.5017,24.1627,"29.8756","12.3853",20.4522,29.9482,"36.6085",11.0005,17.8001,21.4035,"23.7112",7.0026,"10.8849",12.6821,15.452,5.4299,"8.2561","11.3394","14.9255",6.483,8.8833,11.4995,"15.0091",7.3519,10.3888,14.2572,"19.2683"
"358","000860.SZ","食品饮料",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,36.8342,NA,NA,NA,25.0583,8.8787,NA,NA,17.1302,NA,3.1301,NA,9.9084,NA,5.4369,NA,9.1842,NA,3.7037,NA,7.7203,1.5134,3.3551,"4.8761","6.9592","1.7016",3.7182,5.4044,"7.4007",1.706,"3.1560","4.7484",7.1155,1.8171,3.1539,4.6549,"6.2521","1.9865",3.2046,"5.4258","6.5951",2.694,"3.8499","5.5667","8.1044",4.1842,5.6648,"8.2485","10.0444","2.1030","3.3937","5.6349","6.8658",4.0907,6.4034,"9.2465","10.4987",3.5025,10.0077,10.5363,"11.1347","2.8454",3.8171,3.8598,"4.3841",3.5241,4.9156,5.3706,"6.6472",5.7769,"6.1340",7.0049,8.8306,3.7105,"4.7811","5.5432","7.1823",3.1955,4.2051,4.1176,"6.7948",2.7501,3.5815,3.9807,"6.3378"
