"","证券代码","申万一级行业","主营业务利润..报告期..1993一季..报表类型..合并报表..单位..元","主营业务利润..报告期..1993中报..报表类型..合并报表..单位..元","主营业务利润..报告期..1993三季..报表类型..合并报表..单位..元","主营业务利润..报告期..1993年报..报表类型..合并报表..单位..元","主营业务利润..报告期..1994一季..报表类型..合并报表..单位..元","主营业务利润..报告期..1994中报..报表类型..合并报表..单位..元","主营业务利润..报告期..1994三季..报表类型..合并报表..单位..元","主营业务利润..报告期..1994年报..报表类型..合并报表..单位..元","主营业务利润..报告期..1995一季..报表类型..合并报表..单位..元","主营业务利润..报告期..1995中报..报表类型..合并报表..单位..元","主营业务利润..报告期..1995三季..报表类型..合并报表..单位..元","主营业务利润..报告期..1995年报..报表类型..合并报表..单位..元","主营业务利润..报告期..1996一季..报表类型..合并报表..单位..元","主营业务利润..报告期..1996中报..报表类型..合并报表..单位..元","主营业务利润..报告期..1996三季..报表类型..合并报表..单位..元","主营业务利润..报告期..1996年报..报表类型..合并报表..单位..元","主营业务利润..报告期..1997一季..报表类型..合并报表..单位..元","主营业务利润..报告期..1997中报..报表类型..合并报表..单位..元","主营业务利润..报告期..1997三季..报表类型..合并报表..单位..元","主营业务利润..报告期..1997年报..报表类型..合并报表..单位..元","主营业务利润..报告期..1998一季..报表类型..合并报表..单位..元","主营业务利润..报告期..1998中报..报表类型..合并报表..单位..元","主营业务利润..报告期..1998三季..报表类型..合并报表..单位..元","主营业务利润..报告期..1998年报..报表类型..合并报表..单位..元","主营业务利润..报告期..1999一季..报表类型..合并报表..单位..元","主营业务利润..报告期..1999中报..报表类型..合并报表..单位..元","主营业务利润..报告期..1999三季..报表类型..合并报表..单位..元","主营业务利润..报告期..1999年报..报表类型..合并报表..单位..元","主营业务利润..报告期..2000一季..报表类型..合并报表..单位..元","主营业务利润..报告期..2000中报..报表类型..合并报表..单位..元","主营业务利润..报告期..2000三季..报表类型..合并报表..单位..元","主营业务利润..报告期..2000年报..报表类型..合并报表..单位..元","主营业务利润..报告期..2001一季..报表类型..合并报表..单位..元","主营业务利润..报告期..2001中报..报表类型..合并报表..单位..元","主营业务利润..报告期..2001三季..报表类型..合并报表..单位..元","主营业务利润..报告期..2001年报..报表类型..合并报表..单位..元","主营业务利润..报告期..2002一季..报表类型..合并报表..单位..元","主营业务利润..报告期..2002中报..报表类型..合并报表..单位..元","主营业务利润..报告期..2002三季..报表类型..合并报表..单位..元","主营业务利润..报告期..2002年报..报表类型..合并报表..单位..元","主营业务利润..报告期..2003一季..报表类型..合并报表..单位..元","主营业务利润..报告期..2003中报..报表类型..合并报表..单位..元","主营业务利润..报告期..2003三季..报表类型..合并报表..单位..元","主营业务利润..报告期..2003年报..报表类型..合并报表..单位..元","主营业务利润..报告期..2004一季..报表类型..合并报表..单位..元","主营业务利润..报告期..2004中报..报表类型..合并报表..单位..元","主营业务利润..报告期..2004三季..报表类型..合并报表..单位..元","主营业务利润..报告期..2004年报..报表类型..合并报表..单位..元","主营业务利润..报告期..2005一季..报表类型..合并报表..单位..元","主营业务利润..报告期..2005中报..报表类型..合并报表..单位..元","主营业务利润..报告期..2005三季..报表类型..合并报表..单位..元","主营业务利润..报告期..2005年报..报表类型..合并报表..单位..元","主营业务利润..报告期..2006一季..报表类型..合并报表..单位..元","主营业务利润..报告期..2006中报..报表类型..合并报表..单位..元","主营业务利润..报告期..2006三季..报表类型..合并报表..单位..元","主营业务利润..报告期..2006年报..报表类型..合并报表..单位..元","主营业务利润..报告期..2007一季..报表类型..合并报表..单位..元","主营业务利润..报告期..2007中报..报表类型..合并报表..单位..元","主营业务利润..报告期..2007三季..报表类型..合并报表..单位..元","主营业务利润..报告期..2007年报..报表类型..合并报表..单位..元","主营业务利润..报告期..2008一季..报表类型..合并报表..单位..元","主营业务利润..报告期..2008中报..报表类型..合并报表..单位..元","主营业务利润..报告期..2008三季..报表类型..合并报表..单位..元","主营业务利润..报告期..2008年报..报表类型..合并报表..单位..元","主营业务利润..报告期..2009一季..报表类型..合并报表..单位..元","主营业务利润..报告期..2009中报..报表类型..合并报表..单位..元","主营业务利润..报告期..2009三季..报表类型..合并报表..单位..元","主营业务利润..报告期..2009年报..报表类型..合并报表..单位..元","主营业务利润..报告期..2010一季..报表类型..合并报表..单位..元","主营业务利润..报告期..2010中报..报表类型..合并报表..单位..元","主营业务利润..报告期..2010三季..报表类型..合并报表..单位..元","主营业务利润..报告期..2010年报..报表类型..合并报表..单位..元","主营业务利润..报告期..2011一季..报表类型..合并报表..单位..元","主营业务利润..报告期..2011中报..报表类型..合并报表..单位..元","主营业务利润..报告期..2011三季..报表类型..合并报表..单位..元","主营业务利润..报告期..2011年报..报表类型..合并报表..单位..元","主营业务利润..报告期..2012一季..报表类型..合并报表..单位..元","主营业务利润..报告期..2012中报..报表类型..合并报表..单位..元","主营业务利润..报告期..2012三季..报表类型..合并报表..单位..元","主营业务利润..报告期..2012年报..报表类型..合并报表..单位..元","主营业务利润..报告期..2013一季..报表类型..合并报表..单位..元","主营业务利润..报告期..2013中报..报表类型..合并报表..单位..元","主营业务利润..报告期..2013三季..报表类型..合并报表..单位..元","主营业务利润..报告期..2013年报..报表类型..合并报表..单位..元","主营业务利润..报告期..2014一季..报表类型..合并报表..单位..元","主营业务利润..报告期..2014中报..报表类型..合并报表..单位..元","主营业务利润..报告期..2014三季..报表类型..合并报表..单位..元","主营业务利润..报告期..2014年报..报表类型..合并报表..单位..元","主营业务利润..报告期..2015一季..报表类型..合并报表..单位..元","主营业务利润..报告期..2015中报..报表类型..合并报表..单位..元","主营业务利润..报告期..2015三季..报表类型..合并报表..单位..元","主营业务利润..报告期..2015年报..报表类型..合并报表..单位..元","主营业务利润..报告期..2016一季..报表类型..合并报表..单位..元","主营业务利润..报告期..2016中报..报表类型..合并报表..单位..元","主营业务利润..报告期..2016三季..报表类型..合并报表..单位..元","主营业务利润..报告期..2016年报..报表类型..合并报表..单位..元","主营业务利润..报告期..2017一季..报表类型..合并报表..单位..元","主营业务利润..报告期..2017中报..报表类型..合并报表..单位..元","主营业务利润..报告期..2017三季..报表类型..合并报表..单位..元","主营业务利润..报告期..2017年报..报表类型..合并报表..单位..元"
"97","000428.SZ","休闲服务","","","","17,599,478.0000","","",NA,"27,701,037.0000","","","","27,997,183.0000","7,368,551.0000","19,816,317.4800","","60,606,318.3500","","36,894,640.5600",NA,"81,725,763.0700","","54,665,500.1500","","93,509,137.6400","","33,411,090.1300",NA,"70,253,877.8700","","46,634,761.4900","","96,629,002.4300","","58,116,090.6000","","116,891,974.0900","39,113,710.0000","83,091,548.8200","134,232,589.3000","166,255,415.6100","47,456,375.4700","89,002,337.6400","140,806,205.3000","204,249,546.8800","52,720,532.7100","110,240,947.0300","163,402,969.9700","236,069,923.9600","53,271,044.8700","110,177,418.2400","165,458,321.9800","232,023,792.7500","58,774,618.5000","129,055,938.9800","201,948,075.2200","286,583,421.2600","77,861,175.7100","155,114,898.0100","259,538,423.0100","347,418,635.1000","110,360,704.3900","208,332,052.3600","290,812,115.1800","427,929,735.7700","100,426,219.4300","247,708,769.4500","380,870,138.5200","584,560,895.2400","146,447,257.7700","324,083,619.5300","501,579,614.7600","663,637,273.4000","182,876,742.3800","374,479,033.8900","569,737,001.1800","766,116,063.3900","200,515,460.5900","404,704,939.1800","626,358,600.3800","889,654,150.0600","243,110,401.6600","489,573,748.0700","832,428,443.6700","1,004,238,747.7200","174,314,151.9700","328,530,118.5600","476,982,552.6500","688,263,326.6800","145,953,983.4600","255,548,808.1200","399,486,332.3400","575,758,068.8300","120,222,557.5300","255,421,972.0500","396,917,172.4000","516,079,119.5100","124,087,474.6400","247,257,533.2000","388,718,075.3600","530,665,534.6500"
"99","000430.SZ","休闲服务","","","","1,028,527.2000","","",NA,"8,236,996.0000","","","","22,283,994.8200","3,322,220.8600","","","13,659,997.3800","","13,596,113.7300",NA,"14,026,890.3200","","4,142,847.6700","","19,541,589.1100","","4,233,473.6400",NA,"13,185,318.7500","","4,352,142.2800","","9,270,660.3900","","3,148,453.1400","20,773,200.0000","23,719,517.0400","6,590,352.8900","20,624,258.2900","35,567,772.7300","42,707,538.6500","12,661,369.1300","23,311,167.3400","43,566,438.2000","52,384,078.8000","8,392,774.9000","22,124,909.0700","46,907,707.9800","68,554,874.7000","7,880,943.5400","35,369,916.2000","61,370,550.2700","76,058,967.1800","7,587,786.9400","36,547,035.4400","72,629,809.6300","90,687,655.0800","7,509,849.6000","35,656,350.9700","65,735,730.5800","81,672,050.7700","3,239,395.3900","19,195,914.5300","37,490,323.5300","30,581,230.6300","-604,358.4400","11,836,575.2300","34,283,775.0700","35,611,916.4500","1,212,585.7200","15,916,997.6500","34,891,614.1600","48,522,240.2500","164,590.2900","74,057,717.8100","158,364,782.3400","202,701,022.6400","7,208,455.0700","77,275,274.5800","162,484,805.9400","209,464,273.2500","2,898,011.0400","54,072,151.9500","116,775,332.3600","152,398,063.9900","6,947,655.3100","61,116,723.4200","138,012,063.5900","165,487,128.8500","13,680,136.6500","98,846,675.2300","226,548,798.7400","264,059,681.2400","22,323,159.5900","89,588,408.4800","196,041,944.4400","220,596,522.9800","12,654,679.2600","81,404,506.1200","158,322,947.6800","161,912,435.6600"
"120","000524.SZ","休闲服务","","","","50,533,712.9100","","39,894,595.0000",NA,"67,154,389.2200","","39,067,227.0000","","70,324,284.4000","","20,895,571.0800","","34,510,932.4700","","34,273,000.4400",NA,"73,587,555.1700","","103,321,128.1800","","206,993,091.9100","","78,565,835.3300",NA,"170,180,816.3000","","87,271,495.6500","","183,588,500.5400","","104,561,773.7700","","191,378,050.8500","37,098,139.8700","89,135,847.2400","120,895,004.8700","180,001,432.2500","12,207,011.7800","47,095,938.5300","60,389,453.3900","131,457,608.2500","28,156,067.9300","98,076,897.5100","133,594,399.1900","216,869,782.1100","41,408,060.9200","122,279,163.5400","160,976,352.4400","253,168,518.3600","46,224,917.0700","125,888,438.0700","167,793,979.6700","261,524,527.9200","46,639,935.9700","135,886,009.4700","178,493,894.9900","200,627,537.7000","34,310,517.6000","82,438,370.2900","107,475,965.7700","149,358,974.9200","22,020,958.7600","44,856,120.0100","62,640,542.4800","91,178,187.3500","30,990,513.5700","65,120,526.8200","95,365,435.0200","137,713,513.3800","37,560,829.6800","76,833,863.7200","111,628,959.0100","151,027,046.1300","40,099,790.2200","78,460,317.4400","116,628,593.1900","156,337,481.6700","37,934,492.4000","75,829,204.1500","111,885,163.7500","155,567,947.9200","31,940,440.7300","62,467,767.1800","110,807,376.5700","155,569,387.1900","40,404,938.3000","80,837,686.8700","118,345,073.8100","158,484,588.3200","38,335,006.7800","75,781,372.0100","119,620,408.9700","154,338,710.9200","263,372,255.6100","480,804,330.7700","789,172,207.6900","1,019,070,707.5700"
"188","000610.SZ","休闲服务","","","","8,621,606.0000","","",NA,"8,055,530.0000","","","","14,161,665.3400","2,673,347.0000","6,421,315.3600","","22,255,730.0500","","15,676,992.5400",NA,"22,031,043.7600","","32,816,491.3200","","64,750,530.8500","","27,790,089.1300",NA,"58,226,446.4200","","35,278,825.0500","","78,554,215.3700","","31,205,003.0500","","66,672,611.2900","13,368,652.5200","31,085,769.3700","48,678,592.0200","67,977,035.7800","16,218,096.4000","23,830,068.0300","39,256,528.2900","55,873,495.4700","12,823,490.0200","30,840,243.0600","46,794,898.5100","65,233,002.1400","15,227,817.0900","34,972,532.3100","51,979,667.4400","70,047,039.5000","11,022,989.1000","26,279,056.3600","43,816,990.3500","62,701,150.6200","19,155,881.2200","43,458,126.1500","63,961,390.1400","81,708,210.1900","18,636,550.5100","40,993,837.8200","67,872,418.8200","90,014,537.4400","15,902,895.8800","40,257,141.3900","67,630,733.8200","89,532,787.4900","19,219,960.0200","43,596,951.0100","74,598,258.3700","136,248,147.0600","39,964,978.0900","102,743,623.3200","145,359,769.1800","201,493,007.0400","76,959,168.2900","101,437,557.3000","132,013,124.3700","170,713,188.7100","21,047,915.4600","48,378,832.0000","77,586,312.5900","101,296,390.3700","18,395,433.5900","43,411,188.4300","71,343,323.8700","45,435,482.9400","4,579,755.6700","17,932,527.3700","33,367,692.3900","42,460,517.9800","5,923,267.3800","20,500,501.5600","32,215,248.6800","44,795,269.2400","9,105,614.3100","20,421,855.0900","32,735,190.3500","42,069,710.4800"
"191","000613.SZ","休闲服务","","","","27,900,148.4400","","",NA,"35,125,293.0600","","","","43,031,196.4700","","","","47,611,390.7400","","14,167,930.8900",NA,"17,685,737.2200","","13,090,932.1600","","23,629,661.3900","","12,092,942.1700",NA,"19,729,705.6000","","10,134,159.2000","","17,968,187.3300","5,800,400.0000","9,187,387.8900","13,574,300.0000","19,142,572.3100","6,220,100.0000","11,182,794.4800","16,840,621.8800","21,159,372.7600","4,377,043.4500","5,242,041.6400","7,394,966.1400","11,137,026.2600","4,995,146.5900","7,114,934.0700","9,275,484.4300","12,158,705.2200","4,885,591.7100","7,652,686.2500","10,027,701.3000","13,967,246.7100","4,761,080.5900","6,296,886.2900","7,021,077.7500","11,454,725.6100","7,982,951.8900","11,211,218.2400","13,870,645.5200","21,372,970.9900","10,740,059.8200","15,347,199.4000","20,177,147.5100","28,190,484.9200","9,268,838.8400","12,492,232.4700","16,864,843.8300","24,714,505.3200","11,014,742.0900","15,546,852.4000","20,239,315.6500","27,026,773.8800","10,106,122.1000","14,040,260.8200","16,365,309.8200","24,132,221.4500","11,346,718.8000","16,259,721.3500","19,454,260.9100","27,349,544.3600","10,404,467.1400","13,946,084.2000","16,649,778.4000","22,318,734.5300","7,998,523.2300","11,026,674.1600","14,009,047.3400","18,728,749.6700","5,706,454.9900","7,678,399.9900","10,230,759.3400","14,341,780.6400","7,700,116.8100","10,941,121.3500","14,282,756.7100","10,038,402.9200","6,391,666.8300","9,085,916.6400","11,027,836.2600","15,331,952.4400"
"269","000721.SZ","休闲服务","","","","4,568,920.9600","","",NA,"9,622,785.7300","","","","10,419,883.4000","","","","5,885,672.4300","","5,225,910.0000",NA,"22,940,098.2700","","44,610,372.3500","","105,183,695.7900","","53,050,160.8800",NA,"113,165,188.2400","","68,959,978.2200","","145,044,662.7200","","74,045,118.4100","113,202,853.3800","151,310,098.4600","36,617,464.5300","76,575,450.7300","120,563,047.0000","174,590,063.8600","41,445,266.9500","70,920,681.5300","121,471,843.3600","171,681,968.2500","44,560,050.4800","97,183,225.6400","151,594,099.8700","214,832,711.4200","51,478,252.6300","105,663,781.9300","166,731,977.9800","229,275,607.4900","56,193,198.6700","118,442,582.0000","181,674,778.7900","248,495,907.7800","60,369,199.5600","129,024,836.5600","196,767,458.4200","277,580,194.7800","66,189,348.8200","140,568,941.8700","219,529,351.0400","300,277,952.2600","70,025,807.9000","148,144,675.6000","227,010,759.4500","314,104,121.9300","69,627,115.4200","147,909,501.4900","229,144,007.0800","319,344,668.5700","74,460,299.5800","164,901,164.6200","265,473,126.2900","360,049,752.9200","73,123,361.6100","160,840,014.9300","259,300,338.7200","355,031,980.6500","76,722,641.5200","157,359,929.1800","240,660,039.0800","322,486,952.4700","68,596,595.9600","138,230,357.5300","224,169,872.1900","178,735,778.7200","37,264,493.1800","80,653,249.8500","127,367,106.1700","164,016,776.5300","36,814,893.4400","86,067,009.1800","134,151,879.3100","172,461,591.7200","38,605,529.0400","88,354,537.0100","131,393,633.3600","169,600,646.8000"
"316","000796.SZ","休闲服务","","","","","","",NA,"8,417,132.6500","","","","8,869,829.9300","","","","14,335,007.7500","","7,089,239.8500",NA,"54,914,347.5300","","30,846,405.0100","","67,514,701.7300","","35,997,286.9200",NA,"65,277,605.0400","","40,781,782.4500","","78,448,406.9900","","46,708,752.8700","","70,428,407.4400","20,453,136.7500","34,840,377.6300","56,647,820.3900","64,897,973.2300","19,010,035.0900","34,112,250.1200","48,726,158.6100","72,084,626.6400","14,905,356.5000","24,440,043.2000","36,023,586.3200","68,377,034.1800","17,840,589.6600","54,011,636.3000","71,912,416.6700","69,513,853.3700","25,068,071.2200","57,748,879.9400","73,388,415.9200","104,987,713.9500","42,186,530.5800","75,642,069.5100","116,452,546.3500","170,803,817.7400","59,597,808.6500","100,280,899.4900","141,560,430.0800","191,744,506.3700","60,016,855.4400","106,549,647.4600","148,223,774.4800","116,393,758.0400","42,397,586.3500","77,696,460.5500","116,689,187.3600","162,895,954.1200","50,214,195.9900","96,672,307.9600","151,509,473.6100","215,430,541.0000","64,452,633.7700","115,885,332.7500","180,805,673.9100","238,296,727.1900","70,114,667.5100","134,510,627.4500","208,322,687.6000","294,524,194.1800","74,512,668.7400","130,050,114.3500","184,774,614.5400","261,594,384.4400","73,848,031.8800","139,756,043.6300","676,877,475.4500","911,474,178.1700","230,322,662.3100","483,231,878.3700","915,874,135.0200","1,178,164,437.6100","272,394,161.6200","614,940,457.3900","1,119,833,961.6000","1,430,537,890.1600"
"361","000863.SZ","休闲服务","","","","","","",NA,"14,118,033.0800","","","","16,241,994.1500","","","","10,928,770.8000","","5,298,339.4600",NA,"11,825,356.1100","","15,141,587.5200","","33,014,792.8700","","13,791,380.7700",NA,"37,885,694.0300","","33,114,274.9900","","69,105,134.5100","","31,152,881.1700","","73,444,812.0500","14,029,545.5100","39,267,113.1300","57,123,006.2300","93,122,651.8800","14,370,238.3200","32,470,024.6600","58,322,460.8000","95,490,028.3600","15,189,315.1700","31,810,570.3100","36,239,760.9200","42,816,459.3100","-105,226.7100","75,551.6000","2,879,714.6000","2,582,312.1200","530,726.3500","1,560,095.0300","7,930,923.2300","11,443,258.9500","6,030,191.1300","11,356,062.3400","13,271,039.7100","36,512,403.3600","60,064.1800","829,962.0200","798,462.7700","-77,670.4100","149,457.8300","233,124.8500","354,949.6300","-1,526,640.1300","29,118.8500","-2,281,089.0100","-2,123,368.5400","-2,192,201.0900","117,543.7400","237,505.0000","557,688.9700","318,984,416.5500","7,304,216.3100","25,561,074.2100","124,106,275.0800","485,229,505.5600","70,685,701.1200","87,076,117.1600","105,287,750.7900","773,486,297.9400","113,725,734.4200","180,210,378.9900","257,807,053.7000","331,774,078.7600","51,163,750.5500","90,426,083.5200","132,935,817.3500","162,986,650.9700","667,082,539.5900","856,248,020.6200","940,791,450.2600","1,754,109,162.1700","202,694,926.5800","289,354,227.9000","318,630,482.3700","756,439,893.7800"
"375","000888.SZ","休闲服务","","","","","","",NA,"32,531,854.0500","","","","39,310,455.4800","","","","46,246,507.7800","","",NA,"54,078,096.0800","","17,259,496.2200","","42,157,427.2800","","20,180,978.7200",NA,"51,718,722.1000","","38,231,631.9500","","65,286,465.1600","","24,803,901.9600","","67,366,931.2100","4,216,390.2200","27,698,764.6300","58,518,507.9700","76,225,260.9200","5,690,140.3900","11,850,980.0500","48,166,392.3200","73,195,643.2900","10,641,641.5200","45,665,419.0800","97,927,145.9000","120,072,753.4100","7,850,293.9600","40,551,738.7100","92,340,722.4100","112,748,610.2900","14,093,955.5700","56,286,207.1800","122,307,412.9100","154,313,687.8300","16,481,014.6700","62,720,408.2400","139,108,115.2900","164,318,722.1400","20,461,933.0500","39,368,843.4800","84,164,563.3000","126,716,519.2900","25,078,938.4500","80,872,645.0500","173,405,645.9200","239,488,348.5300","39,382,585.0300","124,018,534.3800","236,080,094.4400","310,415,095.2100","44,294,711.1100","149,465,567.5400","307,662,075.7000","358,717,462.0800","53,293,799.4900","167,978,624.0800","309,188,619.2600","400,699,915.5000","53,861,687.5300","131,629,828.8300","263,712,318.5100","320,525,725.3800","55,415,878.5900","156,600,888.5200","318,246,789.8600","406,409,992.4300","48,061,220.2400","163,787,428.5500","333,724,504.4900","386,598,025.6200","70,320,896.2000","178,280,128.0400","345,136,268.5200","408,873,461.1500","79,292,734.3600","216,136,325.5800","372,207,850.9400","452,367,573.6900"
"444","000978.SZ","休闲服务","","","","","","",NA,"","","","","","","","","","","",NA,"118,349,166.6300","","","","143,756,374.0500","","17,879,718.6600",NA,"52,167,336.5500","","21,805,893.3700","","56,756,528.6100","","37,363,087.4800","","81,425,191.5000","10,256,071.7700","39,867,927.0500","66,220,002.1000","87,656,106.6700","15,626,481.4100","18,763,048.0700","36,530,367.9200","51,295,318.2800","9,316,598.7500","35,801,061.1800","64,460,690.9600","87,740,094.0000","13,684,082.1700","40,034,338.1300","69,439,577.5500","95,087,182.4000","16,277,532.8800","47,472,840.6400","82,226,928.7300","107,833,044.0200","17,665,310.9800","55,495,950.3900","89,958,418.5600","115,217,439.8800","10,415,549.6400","41,211,410.2400","60,186,279.3700","84,122,622.7600","12,096,923.9300","38,152,498.9300","64,820,536.2700","92,249,142.4600","25,288,496.9400","66,209,002.6100","113,174,325.6100","204,722,201.2700","20,550,148.4300","75,828,621.1800","139,631,836.6900","204,108,568.5700","23,561,087.7100","84,606,930.5300","150,287,465.4400","210,669,020.1100","18,889,515.5700","61,220,370.0900","121,718,624.3700","167,606,906.2600","21,661,212.6600","58,025,646.9700","124,507,053.6300","266,496,607.4600","34,210,694.0400","86,991,096.8400","168,371,300.9600","198,507,149.6000","34,940,407.2100","78,738,241.2900","160,626,833.2000","215,472,791.5700","50,074,517.8400","115,598,925.1900","194,204,491.3700","245,631,081.3600"
