"","证券代码","申万一级行业","主营业务利润..报告期..1993一季..报表类型..合并报表..单位..元","主营业务利润..报告期..1993中报..报表类型..合并报表..单位..元","主营业务利润..报告期..1993三季..报表类型..合并报表..单位..元","主营业务利润..报告期..1993年报..报表类型..合并报表..单位..元","主营业务利润..报告期..1994一季..报表类型..合并报表..单位..元","主营业务利润..报告期..1994中报..报表类型..合并报表..单位..元","主营业务利润..报告期..1994三季..报表类型..合并报表..单位..元","主营业务利润..报告期..1994年报..报表类型..合并报表..单位..元","主营业务利润..报告期..1995一季..报表类型..合并报表..单位..元","主营业务利润..报告期..1995中报..报表类型..合并报表..单位..元","主营业务利润..报告期..1995三季..报表类型..合并报表..单位..元","主营业务利润..报告期..1995年报..报表类型..合并报表..单位..元","主营业务利润..报告期..1996一季..报表类型..合并报表..单位..元","主营业务利润..报告期..1996中报..报表类型..合并报表..单位..元","主营业务利润..报告期..1996三季..报表类型..合并报表..单位..元","主营业务利润..报告期..1996年报..报表类型..合并报表..单位..元","主营业务利润..报告期..1997一季..报表类型..合并报表..单位..元","主营业务利润..报告期..1997中报..报表类型..合并报表..单位..元","主营业务利润..报告期..1997三季..报表类型..合并报表..单位..元","主营业务利润..报告期..1997年报..报表类型..合并报表..单位..元","主营业务利润..报告期..1998一季..报表类型..合并报表..单位..元","主营业务利润..报告期..1998中报..报表类型..合并报表..单位..元","主营业务利润..报告期..1998三季..报表类型..合并报表..单位..元","主营业务利润..报告期..1998年报..报表类型..合并报表..单位..元","主营业务利润..报告期..1999一季..报表类型..合并报表..单位..元","主营业务利润..报告期..1999中报..报表类型..合并报表..单位..元","主营业务利润..报告期..1999三季..报表类型..合并报表..单位..元","主营业务利润..报告期..1999年报..报表类型..合并报表..单位..元","主营业务利润..报告期..2000一季..报表类型..合并报表..单位..元","主营业务利润..报告期..2000中报..报表类型..合并报表..单位..元","主营业务利润..报告期..2000三季..报表类型..合并报表..单位..元","主营业务利润..报告期..2000年报..报表类型..合并报表..单位..元","主营业务利润..报告期..2001一季..报表类型..合并报表..单位..元","主营业务利润..报告期..2001中报..报表类型..合并报表..单位..元","主营业务利润..报告期..2001三季..报表类型..合并报表..单位..元","主营业务利润..报告期..2001年报..报表类型..合并报表..单位..元","主营业务利润..报告期..2002一季..报表类型..合并报表..单位..元","主营业务利润..报告期..2002中报..报表类型..合并报表..单位..元","主营业务利润..报告期..2002三季..报表类型..合并报表..单位..元","主营业务利润..报告期..2002年报..报表类型..合并报表..单位..元","主营业务利润..报告期..2003一季..报表类型..合并报表..单位..元","主营业务利润..报告期..2003中报..报表类型..合并报表..单位..元","主营业务利润..报告期..2003三季..报表类型..合并报表..单位..元","主营业务利润..报告期..2003年报..报表类型..合并报表..单位..元","主营业务利润..报告期..2004一季..报表类型..合并报表..单位..元","主营业务利润..报告期..2004中报..报表类型..合并报表..单位..元","主营业务利润..报告期..2004三季..报表类型..合并报表..单位..元","主营业务利润..报告期..2004年报..报表类型..合并报表..单位..元","主营业务利润..报告期..2005一季..报表类型..合并报表..单位..元","主营业务利润..报告期..2005中报..报表类型..合并报表..单位..元","主营业务利润..报告期..2005三季..报表类型..合并报表..单位..元","主营业务利润..报告期..2005年报..报表类型..合并报表..单位..元","主营业务利润..报告期..2006一季..报表类型..合并报表..单位..元","主营业务利润..报告期..2006中报..报表类型..合并报表..单位..元","主营业务利润..报告期..2006三季..报表类型..合并报表..单位..元","主营业务利润..报告期..2006年报..报表类型..合并报表..单位..元","主营业务利润..报告期..2007一季..报表类型..合并报表..单位..元","主营业务利润..报告期..2007中报..报表类型..合并报表..单位..元","主营业务利润..报告期..2007三季..报表类型..合并报表..单位..元","主营业务利润..报告期..2007年报..报表类型..合并报表..单位..元","主营业务利润..报告期..2008一季..报表类型..合并报表..单位..元","主营业务利润..报告期..2008中报..报表类型..合并报表..单位..元","主营业务利润..报告期..2008三季..报表类型..合并报表..单位..元","主营业务利润..报告期..2008年报..报表类型..合并报表..单位..元","主营业务利润..报告期..2009一季..报表类型..合并报表..单位..元","主营业务利润..报告期..2009中报..报表类型..合并报表..单位..元","主营业务利润..报告期..2009三季..报表类型..合并报表..单位..元","主营业务利润..报告期..2009年报..报表类型..合并报表..单位..元","主营业务利润..报告期..2010一季..报表类型..合并报表..单位..元","主营业务利润..报告期..2010中报..报表类型..合并报表..单位..元","主营业务利润..报告期..2010三季..报表类型..合并报表..单位..元","主营业务利润..报告期..2010年报..报表类型..合并报表..单位..元","主营业务利润..报告期..2011一季..报表类型..合并报表..单位..元","主营业务利润..报告期..2011中报..报表类型..合并报表..单位..元","主营业务利润..报告期..2011三季..报表类型..合并报表..单位..元","主营业务利润..报告期..2011年报..报表类型..合并报表..单位..元","主营业务利润..报告期..2012一季..报表类型..合并报表..单位..元","主营业务利润..报告期..2012中报..报表类型..合并报表..单位..元","主营业务利润..报告期..2012三季..报表类型..合并报表..单位..元","主营业务利润..报告期..2012年报..报表类型..合并报表..单位..元","主营业务利润..报告期..2013一季..报表类型..合并报表..单位..元","主营业务利润..报告期..2013中报..报表类型..合并报表..单位..元","主营业务利润..报告期..2013三季..报表类型..合并报表..单位..元","主营业务利润..报告期..2013年报..报表类型..合并报表..单位..元","主营业务利润..报告期..2014一季..报表类型..合并报表..单位..元","主营业务利润..报告期..2014中报..报表类型..合并报表..单位..元","主营业务利润..报告期..2014三季..报表类型..合并报表..单位..元","主营业务利润..报告期..2014年报..报表类型..合并报表..单位..元","主营业务利润..报告期..2015一季..报表类型..合并报表..单位..元","主营业务利润..报告期..2015中报..报表类型..合并报表..单位..元","主营业务利润..报告期..2015三季..报表类型..合并报表..单位..元","主营业务利润..报告期..2015年报..报表类型..合并报表..单位..元","主营业务利润..报告期..2016一季..报表类型..合并报表..单位..元","主营业务利润..报告期..2016中报..报表类型..合并报表..单位..元","主营业务利润..报告期..2016三季..报表类型..合并报表..单位..元","主营业务利润..报告期..2016年报..报表类型..合并报表..单位..元","主营业务利润..报告期..2017一季..报表类型..合并报表..单位..元","主营业务利润..报告期..2017中报..报表类型..合并报表..单位..元","主营业务利润..报告期..2017三季..报表类型..合并报表..单位..元","主营业务利润..报告期..2017年报..报表类型..合并报表..单位..元"
"4","000005.SZ","公用事业","","","","-30,150,011.6200","","29,072,700.0000",NA,"69,433,336.5000","","30,973,700.0000","","52,054,297.5900","","2,278,018.2700","","24,608,272.3600","","-7,239,080.5400",NA,"-45,548,040.8600","","17,434,015.2100","","36,253,587.3000","","13,825,890.0900",NA,"67,189,358.8700","","40,010,419.4500","","76,537,230.4100","","33,392,170.3400","","28,242,922.2600","-344,552.7800","5,354,336.0600","15,102,558.6100","13,458,057.1200","3,184,580.7900","18,863,303.3200","24,108,265.3100","34,989,937.4700","11,309,186.1500","18,243,963.3400","27,512,536.2300","18,138,126.8100","6,281,708.2700","10,915,186.9900","16,560,075.9700","14,930,945.9700","89,678,714.0000","109,197,608.7100","125,727,614.4100","118,823,069.9900","47,256,378.6900","77,737,654.0000","93,308,613.5200","157,457,920.2100","9,012,046.1400","25,117,454.7100","45,898,378.8300","54,370,139.7600","6,065,910.4300","8,646,428.0400","9,274,416.6400","6,623,580.1800","4,577,651.7200","8,196,619.6200","8,527,027.1700","52,864,364.1800","4,134,063.9000","6,454,893.1800","2,637,539.8100","91,066.6100","3,228,358.2700","657,718.2500","-303,378.4300","32,758,615.5200","2,606,861.8000","-310,579.5900","1,615,436.6200","10,760,868.3300","1,557,370.4400","2,875,407.8300","6,936,267.0100","11,315,494.0000","3,275,894.3200","8,736,834.9800","9,028,715.5000","23,650,482.8000","19,955,270.5800","52,822,302.9200","94,896,720.7300","144,603,980.3400","23,931,184.3500","60,233,858.8900","91,994,261.1000","177,987,442.6100"
"23","000027.SZ","公用事业","","","","119,216,776.4900","","54,319,467.5700",NA,"136,836,804.6600","","46,378,900.0000","","147,139,762.7100","","72,077,600.0000","","95,558,189.0500","","95,925,300.0000",NA,"243,262,030.7600","","158,372,830.4600","","468,850,062.4000","","258,536,195.8000",NA,"498,350,615.4500","","234,771,976.4700","","719,094,613.2300","","517,451,719.8000","","1,119,373,977.5400","267,570,508.6300","684,436,695.1700","888,995,893.6300","1,054,803,356.6200","233,183,968.2100","561,546,917.6100","1,015,439,415.3400","1,670,489,472.6700","379,055,549.6500","821,989,503.4300","1,242,552,941.0800","1,620,322,802.9500","353,635,091.2300","731,333,953.3000","1,130,408,258.3500","1,784,948,671.5600","363,816,440.1500","711,556,227.1200","1,195,571,527.1900","1,695,341,253.8500","517,685,209.4800","1,021,351,115.3500","1,544,173,787.9300","2,767,102,176.5200","602,324,193.1800","997,707,264.3200","1,618,435,562.0900","1,298,431,809.7800","364,515,260.2500","933,956,229.9400","1,923,750,255.2400","2,906,776,808.3600","637,279,456.6400","1,182,244,107.1800","1,790,143,951.5900","1,877,911,723.8700","491,639,525.5500","1,046,958,535.9600","1,589,748,945.8100","1,820,122,891.1000","392,492,999.6300","1,028,620,753.0300","1,653,649,113.6100","2,019,714,246.7700","440,445,582.0500","964,143,657.0300","1,913,905,756.2300","2,528,808,079.5700","661,496,508.0000","1,577,067,956.4200","2,424,059,142.1100","3,116,596,291.1800","632,276,370.5600","1,572,126,314.3000","2,644,751,034.2300","3,188,566,747.4700","502,744,323.3700","1,576,214,325.5500","2,667,218,184.2200","3,136,629,993.3200","532,306,714.8900","1,441,709,589.6800","2,555,499,837.0600","3,581,277,668.0600"
"30","000035.SZ","公用事业","","","","27,298,216.0100","","15,790,000.0000",NA,"1,507,351.3800","","-2,880,000.0000","","-13,514,440.2100","","-15,100,357.7100","","-63,497,471.3900","","-6,799,513.6600",NA,"3,520,495.0900","","28,726,126.1700","","83,845,281.1900","","22,166,808.6100",NA,"97,711,559.4300","","68,542,983.3900","","144,480,422.7800","","66,846,136.4100","","192,307,589.1700","64,450,000.0000","146,145,989.4000","223,559,305.6100","298,885,731.8000","43,250,728.4900","105,091,079.3400","140,333,212.5800","210,089,328.9700","61,756,759.4300","91,244,682.0000","79,317,786.8800","28,731,686.8900","5,394,697.0700","5,953,164.7500","-2,342,687.3100","-75,813,063.3700","-406,148.2200","-409,081.7700","-657,635.1200","913,238.3800","2,377,922.9900","3,921,601.4500","-508,109.1700","6,202,688.3400","1,166,027.1400","2,414,475.0000","3,511,966.3400","4,507,561.8000","746,420.8800","1,454,388.0300","2,283,846.0400","3,022,607.5400","654,793.9100","1,307,495.5800","2,021,094.6400","1,996,348.7900","572,626.1600","1,337,590.0500","1,999,494.2200","2,869,995.4400","971,901.2200","49,179,882.7100","70,844,466.3800","71,534,364.6600","803,172.8800","4,563,937.9900","4,342,512.8000","4,594,296.6000","","101,590,288.1600","156,170,695.3100","281,034,643.3300","72,613,310.5600","154,226,102.0400","248,196,129.4700","400,736,827.9900","88,792,056.8900","181,561,223.2200","279,668,440.8900","423,670,148.2900","94,855,403.7300","215,942,252.1600","382,405,901.4500","590,821,927.6900"
"32","000037.SZ","公用事业","","","","","","30,216,756.9900",NA,"166,552,770.0200","","-4,438,686.2800","","20,670,566.8600","","2,544,208.6100","","9,324,449.1400","","35,087,316.0500",NA,"51,158,243.7700","","54,041,773.7500","","115,378,231.8600","","54,024,096.9300",NA,"161,663,170.0700","","77,972,227.9700","","146,455,720.0300","","109,626,478.8400","214,017,337.1600","264,619,499.2900","94,339,983.8800","223,382,215.9300","316,561,830.4800","534,804,913.7200","57,625,223.7000","174,467,703.2300","301,312,122.5100","499,239,869.8800","105,310,227.7900","212,619,578.8100","403,145,158.2700","496,733,208.9000","103,194,542.3300","86,892,762.6700","31,577,634.4100","-6,416,199.3900","-53,818,770.4700","-153,622,361.4800","-232,651,187.5500","-185,458,516.1500","-16,034,806.7400","-52,907,136.5000","-78,680,230.8000","-174,054,000.0000","-225,490,828.4200","-686,697,000.0000","-1,232,403,655.7300","-1,366,752,066.5500","-28,790,520.7600","13,941,522.2500","13,060,243.0300","-82,178,888.1200","-130,071,778.1700","-303,361,201.3000","-498,088,515.7300","-644,978,586.5900","-179,725,189.6200","-496,019,776.5200","-913,793,723.0300","-1,186,461,641.2700","-238,826,072.9000","-444,266,835.4500","-697,665,266.0200","-829,442,352.1300","-143,570,360.4700","-348,711,348.0400","-584,193,693.5900","-509,287,245.5600","-94,622,631.8400","-232,423,228.5700","-411,812,006.5600","-513,936,080.7100","-65,859,722.8100","-99,852,113.7000","-141,418,420.8200","-155,602,616.2000","6,417,943.8900","54,668,158.2800","111,447,630.4600","118,830,304.4700","7,277,027.4100","41,706,656.5300","99,903,102.6500","158,254,105.9600"
"35","000040.SZ","公用事业","","","","28,264,151.2100","","24,300,800.0000",NA,"54,060,324.6600","","27,588,000.0000","","53,005,711.6600","","13,811,800.0000","","61,041,870.7900","","24,339,210.5400",NA,"93,452,493.9700","","65,377,098.8600","","144,832,814.5300","","90,297,778.4400",NA,"274,107,157.0000","","60,729,975.0000","","143,864,694.0000","","48,823,199.8700","58,557,347.0000","90,989,892.0000","20,948,018.0000","43,437,528.0000","64,482,778.0000","78,033,055.0000","26,868,874.0000","91,683,882.0000","160,868,938.0000","198,176,837.0000","62,303,796.0000","97,246,040.0000","156,412,051.0000","206,500,420.7100","33,543,600.2900","71,815,459.7500","102,464,598.9200","146,162,888.9300","24,787,531.2500","94,123,404.8800","141,984,372.9100","186,056,357.3100","28,679,418.4000","47,256,803.5600","77,936,652.3300","197,093,033.1500","32,209,670.9500","62,960,728.8600","80,395,072.8000","97,814,775.0500","21,431,107.2200","44,374,503.3600","102,624,528.6500","164,177,528.9900","74,433,319.3700","91,804,312.7700","130,716,512.6300","239,659,341.3600","35,230,534.7100","96,146,960.9300","128,698,999.0500","209,329,235.9600","94,951,754.1600","161,845,355.0800","192,899,113.2700","321,461,763.3600","23,144,956.9200","83,316,323.9400","151,549,467.8200","275,621,213.3900","45,084,311.3000","80,385,119.2200","103,804,810.3400","240,135,314.3800","53,212,697.5000","132,553,031.3400","216,510,801.2000","369,467,621.0900","101,172,273.8100","245,130,374.2900","395,377,498.5600","525,690,368.3500","123,148,557.2200","397,103,063.3800","770,715,927.7900","1,194,357,813.6300"
"53","000068.SZ","公用事业","","","","","","",NA,"-6,309,777.0000","","","","188,609,832.0000","","","","172,335,312.0000","","52,523,411.9000",NA,"121,271,172.6200","","-2,545,349.8800","","-28,510,111.9500","","43,612,630.7700",NA,"162,788,423.0300","","185,007,411.8400","","451,599,402.3800","","181,268,662.3300","","294,568,710.0700","15,200,000.0000","162,023,350.3900","250,931,133.6000","323,251,265.9400","61,631,923.1000","133,739,320.9000","212,754,869.4600","305,988,151.8800","76,109,309.0100","171,973,779.4000","364,251,087.5600","593,886,222.7600","219,244,208.8200","341,252,592.3500","390,073,314.2800","450,820,315.2900","54,707,761.6600","140,926,936.0000","248,517,748.2900","364,974,524.4600","63,175,227.4800","89,098,176.2900","145,468,134.7600","262,261,350.4900","139,305,950.1300","249,597,017.6600","339,373,089.2500","399,084,400.4400","16,686,328.5300","41,311,895.6000","58,549,801.7600","44,114,372.9800","-12,074,338.1300","-10,200,405.1300","-7,241,934.6100","-292,835.5300","530,784.5000","938,396.6000","1,365,007.1800","2,001,234.1200","723,525.9900","1,435,926.6100","3,511,291.7500","5,371,776.0000","3,491,146.0900","8,076,361.1600","12,663,382.4700","15,842,062.1200","1,481,927.8600","3,122,403.6900","5,135,507.7800","24,793,806.2200","1,518,176.6700","2,836,033.9700","8,997,561.0900","62,761,535.2000","4,642,959.4900","12,757,022.4100","25,695,135.4200","119,862,905.4200","5,064,089.9400","31,788,062.7300","73,603,004.1100","168,108,936.4900"
"72","000301.SZ","公用事业","","","","","","",NA,"","","","","4,279,961.0600","","","","29,506,003.9200","","",NA,"141,187,837.3000","","","","142,640,398.3900","","73,354,288.3700",NA,"147,634,287.7400","","73,619,725.6500","","190,997,363.7600","","85,072,029.7400","137,654,126.5300","174,819,473.9000","43,096,300.0000","96,162,719.9300","145,155,288.1000","215,556,537.5300","52,379,989.8700","109,717,009.2300","155,674,894.1800","255,969,145.7500","52,925,153.0600","117,056,529.7600","161,042,079.3000","171,720,031.9600","35,703,866.1900","94,950,934.4300","160,223,187.0500","265,658,841.2300","60,946,554.3800","128,226,659.0000","176,325,754.9300","333,976,911.5300","88,543,625.9700","176,402,962.2500","248,096,833.2000","318,953,867.3900","34,420,019.8800","50,563,418.1600","69,036,931.2800","135,502,391.5700","50,346,702.4700","99,409,470.6100","148,308,233.2200","194,000,774.8500","99,149,786.3100","147,113,626.5100","198,098,437.8600","262,532,317.9400","37,646,886.5100","89,281,525.5000","163,007,355.2700","264,324,204.6700","44,684,684.0000","112,543,110.9100","186,697,847.7200","256,233,489.3000","82,754,664.7000","168,563,737.9500","257,775,324.4200","354,675,160.4100","65,483,316.2900","146,642,576.6800","225,931,580.4800","326,521,825.1700","53,433,630.9600","133,704,919.3900","206,351,131.3600","317,340,584.4700","64,056,576.1200","160,376,428.6400","257,685,635.9700","320,374,542.6600","54,893,751.6000","144,716,805.6600","229,655,097.2700","319,764,555.9300"
"80","000407.SZ","公用事业","","","","5,285,870.0000","","",NA,"16,193,460.0000","","","","23,029,500.8900","","15,842,789.9700","","23,582,578.4200","","18,081,332.7300",NA,"36,585,216.3900","","46,798,825.0100","","101,591,884.1500","","69,422,392.4700",NA,"148,435,192.8000","","57,106,769.5000","","126,015,771.7000","","53,391,931.6500","","110,402,798.9200","20,303,843.3500","54,044,071.2800","80,496,726.9300","104,452,181.2100","18,385,102.8500","55,476,857.5900","73,591,683.3200","106,062,946.3400","18,695,505.3400","48,669,555.1500","67,919,522.5100","95,944,409.2900","25,393,834.5500","63,255,733.2200","92,759,542.0800","113,750,405.7000","22,242,262.8900","67,553,556.0000","103,868,709.3300","127,087,590.5800","24,279,556.1000","85,354,707.8000","117,687,449.9100","163,215,241.2900","55,003,318.7300","138,657,191.0400","179,322,031.1700","186,323,361.5200","24,478,849.8300","77,129,879.8200","109,422,619.4400","147,869,405.2900","45,405,915.3200","99,601,176.0900","127,815,364.4100","151,632,066.7200","56,567,998.1900","108,426,589.3100","140,932,362.6900","201,817,020.3100","48,955,879.8600","120,286,992.1900","153,489,494.9800","188,938,900.3300","51,498,121.6900","117,677,981.4400","167,307,880.9900","206,515,521.4800","44,258,914.5500","117,543,832.9100","155,160,805.6100","233,951,784.9700","65,695,255.3000","161,233,195.6500","236,983,015.5700","242,241,822.3600","74,737,308.8400","155,259,858.3700","223,684,758.0700","334,127,993.7300","120,181,033.3600","240,686,433.5200","383,365,192.3600","555,244,117.7000"
"92","000421.SZ","公用事业","","","","5,013,040.0000","","",NA,"4,101,330.0000","","","","6,340,940.0000","","5,942,460.0000","","9,545,682.7500","","12,907,558.2100",NA,"36,401,837.5300","","31,930,195.5200","","70,069,234.9500","","31,495,957.3400",NA,"62,126,356.8600","","33,126,350.9800","","72,503,364.5800","","39,581,267.7500","60,044,612.8400","82,523,841.5400","23,578,595.6000","55,988,590.4100","82,504,236.0700","116,319,492.2100","26,246,464.4000","45,560,253.2900","77,015,584.4500","116,485,802.2300","31,957,553.6900","71,193,285.7700","103,494,426.9800","150,588,224.9600","37,956,350.8200","75,092,500.4900","104,845,680.1600","131,747,623.6900","50,033,104.1000","109,359,049.6600","148,166,854.8500","201,683,879.8500","68,410,680.9200","159,285,532.6700","215,787,049.9700","260,344,297.9400","50,648,266.5900","80,547,127.5600","107,718,789.0200","111,566,742.6900","52,714,576.8800","72,194,970.7400","120,978,340.2000","153,490,285.3300","13,356,661.1900","75,068,828.0600","39,177,074.5700","92,997,098.8500","-4,719,270.2700","-23,428,055.7800","-58,549,357.2700","-74,651,410.1300","33,297,075.9000","51,583,229.2100","-45,330,084.5200","-71,437,184.8100","-2,867,682.6700","-25,484,055.6000","-28,544,867.1200","-47,544,718.2100","15,893,083.4300","-24,044,633.5000","-79,242,786.7100","-40,069,314.0400","126,886,379.5400","211,370,835.1800","297,516,821.4000","581,631,496.6600","116,947,374.5200","211,419,851.8600","356,837,354.2000","736,180,466.8600","220,662,199.5900","415,452,044.0500","570,672,558.3600","863,837,629.5900"
"126","000531.SZ","公用事业","","5,268,658.7800","","5,967,243.8200","","2,680,426.4300",NA,"8,274,738.0200","","40,322,194.0700","","8,487,467.4800","","26,049,139.9500","","59,701,238.4900","","22,548,947.9600",NA,"64,542,596.0000","","60,714,489.1800","","202,144,759.4400","","103,031,167.1600",NA,"193,963,020.7800","","59,442,745.7500","","172,926,481.3000","","87,661,109.2300","","213,024,994.2400","63,514,699.7700","134,987,059.6700","193,588,422.2600","272,568,210.4700","76,611,285.6300","185,246,122.7400","283,339,681.7000","384,392,544.0400","102,439,902.1700","218,970,287.9900","341,142,802.8600","437,375,284.1700","100,458,091.6000","219,871,048.6800","336,310,140.2300","445,675,097.3700","107,610,739.8700","234,742,662.2500","386,661,366.0600","502,532,330.7300","114,816,305.9300","282,050,556.6000","461,759,087.1700","581,337,118.5700","77,266,938.1000","165,669,464.5400","143,103,016.1300","224,823,683.2100","180,271,402.9500","385,894,791.2600","631,633,655.3600","818,407,907.6200","132,926,310.9800","341,302,799.1600","514,151,423.2700","602,451,189.5600","110,194,496.9800","230,806,275.3500","378,486,384.3900","502,851,494.2300","174,761,120.7000","352,294,691.2100","543,858,067.0100","704,175,944.3200","165,478,951.6100","369,938,005.0400","603,374,942.5900","916,763,942.4700","230,404,474.8200","758,001,517.0800","1,071,228,188.9300","1,188,380,519.7900","159,477,191.9900","367,946,559.3400","538,719,486.7000","657,466,349.3600","125,011,998.2100","323,969,667.2700","604,104,537.2900","800,798,804.1300","164,969,516.4100","296,884,942.7700","410,550,777.4600","519,033,369.8600"
