"","证券代码","申万一级行业","主营业务利润..报告期..1993一季..报表类型..合并报表..单位..元","主营业务利润..报告期..1993中报..报表类型..合并报表..单位..元","主营业务利润..报告期..1993三季..报表类型..合并报表..单位..元","主营业务利润..报告期..1993年报..报表类型..合并报表..单位..元","主营业务利润..报告期..1994一季..报表类型..合并报表..单位..元","主营业务利润..报告期..1994中报..报表类型..合并报表..单位..元","主营业务利润..报告期..1994三季..报表类型..合并报表..单位..元","主营业务利润..报告期..1994年报..报表类型..合并报表..单位..元","主营业务利润..报告期..1995一季..报表类型..合并报表..单位..元","主营业务利润..报告期..1995中报..报表类型..合并报表..单位..元","主营业务利润..报告期..1995三季..报表类型..合并报表..单位..元","主营业务利润..报告期..1995年报..报表类型..合并报表..单位..元","主营业务利润..报告期..1996一季..报表类型..合并报表..单位..元","主营业务利润..报告期..1996中报..报表类型..合并报表..单位..元","主营业务利润..报告期..1996三季..报表类型..合并报表..单位..元","主营业务利润..报告期..1996年报..报表类型..合并报表..单位..元","主营业务利润..报告期..1997一季..报表类型..合并报表..单位..元","主营业务利润..报告期..1997中报..报表类型..合并报表..单位..元","主营业务利润..报告期..1997三季..报表类型..合并报表..单位..元","主营业务利润..报告期..1997年报..报表类型..合并报表..单位..元","主营业务利润..报告期..1998一季..报表类型..合并报表..单位..元","主营业务利润..报告期..1998中报..报表类型..合并报表..单位..元","主营业务利润..报告期..1998三季..报表类型..合并报表..单位..元","主营业务利润..报告期..1998年报..报表类型..合并报表..单位..元","主营业务利润..报告期..1999一季..报表类型..合并报表..单位..元","主营业务利润..报告期..1999中报..报表类型..合并报表..单位..元","主营业务利润..报告期..1999三季..报表类型..合并报表..单位..元","主营业务利润..报告期..1999年报..报表类型..合并报表..单位..元","主营业务利润..报告期..2000一季..报表类型..合并报表..单位..元","主营业务利润..报告期..2000中报..报表类型..合并报表..单位..元","主营业务利润..报告期..2000三季..报表类型..合并报表..单位..元","主营业务利润..报告期..2000年报..报表类型..合并报表..单位..元","主营业务利润..报告期..2001一季..报表类型..合并报表..单位..元","主营业务利润..报告期..2001中报..报表类型..合并报表..单位..元","主营业务利润..报告期..2001三季..报表类型..合并报表..单位..元","主营业务利润..报告期..2001年报..报表类型..合并报表..单位..元","主营业务利润..报告期..2002一季..报表类型..合并报表..单位..元","主营业务利润..报告期..2002中报..报表类型..合并报表..单位..元","主营业务利润..报告期..2002三季..报表类型..合并报表..单位..元","主营业务利润..报告期..2002年报..报表类型..合并报表..单位..元","主营业务利润..报告期..2003一季..报表类型..合并报表..单位..元","主营业务利润..报告期..2003中报..报表类型..合并报表..单位..元","主营业务利润..报告期..2003三季..报表类型..合并报表..单位..元","主营业务利润..报告期..2003年报..报表类型..合并报表..单位..元","主营业务利润..报告期..2004一季..报表类型..合并报表..单位..元","主营业务利润..报告期..2004中报..报表类型..合并报表..单位..元","主营业务利润..报告期..2004三季..报表类型..合并报表..单位..元","主营业务利润..报告期..2004年报..报表类型..合并报表..单位..元","主营业务利润..报告期..2005一季..报表类型..合并报表..单位..元","主营业务利润..报告期..2005中报..报表类型..合并报表..单位..元","主营业务利润..报告期..2005三季..报表类型..合并报表..单位..元","主营业务利润..报告期..2005年报..报表类型..合并报表..单位..元","主营业务利润..报告期..2006一季..报表类型..合并报表..单位..元","主营业务利润..报告期..2006中报..报表类型..合并报表..单位..元","主营业务利润..报告期..2006三季..报表类型..合并报表..单位..元","主营业务利润..报告期..2006年报..报表类型..合并报表..单位..元","主营业务利润..报告期..2007一季..报表类型..合并报表..单位..元","主营业务利润..报告期..2007中报..报表类型..合并报表..单位..元","主营业务利润..报告期..2007三季..报表类型..合并报表..单位..元","主营业务利润..报告期..2007年报..报表类型..合并报表..单位..元","主营业务利润..报告期..2008一季..报表类型..合并报表..单位..元","主营业务利润..报告期..2008中报..报表类型..合并报表..单位..元","主营业务利润..报告期..2008三季..报表类型..合并报表..单位..元","主营业务利润..报告期..2008年报..报表类型..合并报表..单位..元","主营业务利润..报告期..2009一季..报表类型..合并报表..单位..元","主营业务利润..报告期..2009中报..报表类型..合并报表..单位..元","主营业务利润..报告期..2009三季..报表类型..合并报表..单位..元","主营业务利润..报告期..2009年报..报表类型..合并报表..单位..元","主营业务利润..报告期..2010一季..报表类型..合并报表..单位..元","主营业务利润..报告期..2010中报..报表类型..合并报表..单位..元","主营业务利润..报告期..2010三季..报表类型..合并报表..单位..元","主营业务利润..报告期..2010年报..报表类型..合并报表..单位..元","主营业务利润..报告期..2011一季..报表类型..合并报表..单位..元","主营业务利润..报告期..2011中报..报表类型..合并报表..单位..元","主营业务利润..报告期..2011三季..报表类型..合并报表..单位..元","主营业务利润..报告期..2011年报..报表类型..合并报表..单位..元","主营业务利润..报告期..2012一季..报表类型..合并报表..单位..元","主营业务利润..报告期..2012中报..报表类型..合并报表..单位..元","主营业务利润..报告期..2012三季..报表类型..合并报表..单位..元","主营业务利润..报告期..2012年报..报表类型..合并报表..单位..元","主营业务利润..报告期..2013一季..报表类型..合并报表..单位..元","主营业务利润..报告期..2013中报..报表类型..合并报表..单位..元","主营业务利润..报告期..2013三季..报表类型..合并报表..单位..元","主营业务利润..报告期..2013年报..报表类型..合并报表..单位..元","主营业务利润..报告期..2014一季..报表类型..合并报表..单位..元","主营业务利润..报告期..2014中报..报表类型..合并报表..单位..元","主营业务利润..报告期..2014三季..报表类型..合并报表..单位..元","主营业务利润..报告期..2014年报..报表类型..合并报表..单位..元","主营业务利润..报告期..2015一季..报表类型..合并报表..单位..元","主营业务利润..报告期..2015中报..报表类型..合并报表..单位..元","主营业务利润..报告期..2015三季..报表类型..合并报表..单位..元","主营业务利润..报告期..2015年报..报表类型..合并报表..单位..元","主营业务利润..报告期..2016一季..报表类型..合并报表..单位..元","主营业务利润..报告期..2016中报..报表类型..合并报表..单位..元","主营业务利润..报告期..2016三季..报表类型..合并报表..单位..元","主营业务利润..报告期..2016年报..报表类型..合并报表..单位..元","主营业务利润..报告期..2017一季..报表类型..合并报表..单位..元","主营业务利润..报告期..2017中报..报表类型..合并报表..单位..元","主营业务利润..报告期..2017三季..报表类型..合并报表..单位..元","主营业务利润..报告期..2017年报..报表类型..合并报表..单位..元"
"46","000059.SZ","化工","","","","156,699,707.4300","","",NA,"173,673,932.0900","","","","189,094,695.7700","","","","283,599,990.0000","","199,305,121.5100",NA,"275,795,701.6500","","138,026,469.0700","","194,129,624.4100","","123,558,500.4800",NA,"227,916,357.3900","","89,437,279.3800","","125,426,899.4600","","47,464,085.3300","87,568,667.4900","116,331,438.1800","48,075,545.5000","124,140,795.5100","162,557,869.9300","167,595,313.6600","55,474,810.0700","139,733,323.5900","196,157,992.4900","272,662,084.2000","52,533,354.2500","164,332,041.5100","309,840,320.0500","439,894,989.2800","127,430,378.7900","229,765,380.9300","355,927,585.9800","490,770,492.4400","102,198,125.0800","267,597,569.7600","359,875,141.5900","502,203,854.9700","207,805,773.9000","390,359,442.9800","565,719,474.6500","989,357,338.1400","313,003,741.7400","617,022,704.4200","893,525,738.0800","1,133,634,924.4200","272,840,989.1900","566,582,817.1400","803,782,040.9100","898,074,660.8900","494,124,472.3100","1,105,963,121.7200","1,320,407,738.9300","2,369,837,536.6300","1,098,874,867.9300","1,796,709,894.4900","2,429,036,385.1300","3,438,387,961.1600","981,441,983.0000","1,423,500,730.7200","1,713,528,089.0700","2,730,767,062.2800","705,825,960.9200","1,145,991,578.3800","1,667,829,893.5200","2,507,238,384.1700","314,172,810.4800","548,920,824.6600","889,165,460.3400","1,410,846,919.9400","456,109,992.4300","1,837,781,746.2200","2,236,539,658.8300","3,360,080,283.9000","1,242,912,530.7700","2,886,673,094.9500","3,844,046,817.1300","5,823,209,673.3200","1,427,027,600.3600","2,451,341,531.2900","3,774,156,121.0600","5,478,000,184.3600"
"60","000096.SZ","化工","","","","","","",NA,"","","","","","","","","","","",NA,"53,006,520.4100","","","","94,782,258.5100","","45,675,113.0400",NA,"112,279,121.9000","","58,035,659.1500","","110,877,865.9200","","49,530,603.5600","","109,172,992.8200","32,988,200.0000","69,305,292.0300","102,533,209.8500","127,550,240.7400","35,077,467.2200","76,428,946.1400","105,389,374.4600","135,162,924.2400","34,522,104.5900","65,695,194.5700","94,367,767.5300","121,157,082.9300","32,883,906.7000","65,217,618.5700","101,498,680.2300","120,198,808.0400","32,477,755.4600","69,196,854.1800","104,412,644.3200","138,052,530.0300","38,428,197.2600","73,699,992.6500","107,031,143.0500","137,829,095.0000","40,722,001.6000","70,249,910.0000","102,476,273.8200","134,917,681.9600","27,859,404.4100","53,686,799.5400","78,272,772.3400","103,290,738.0500","30,121,377.0800","60,997,928.3100","85,277,713.3100","115,242,110.0300","29,199,317.2300","54,129,449.3400","74,330,246.9000","92,230,456.1400","14,328,637.5600","33,472,218.7200","51,352,840.3000","63,230,279.8000","12,770,567.0700","25,686,206.9600","50,594,499.7800","70,684,568.5100","21,344,753.9700","48,470,442.6400","76,317,142.7600","103,894,331.9800","34,955,703.8000","67,219,736.1200","105,482,765.1400","135,746,433.8100","34,420,564.3100","78,126,008.2600","126,684,404.1900","166,083,632.9700","36,724,376.8500","76,687,344.2900","120,439,016.6000","166,477,260.1100"
"70","000159.SZ","化工","","","","","","",NA,"","","","","","","","","","","",NA,"124,714,426.6800","","","","111,879,964.7200","","",NA,"59,784,148.3800","","55,627,397.1300","","80,109,296.7300","","24,464,788.3200","44,682,584.3000","77,637,759.0900","7,370,100.0000","25,378,784.4900","31,032,890.8100","96,819,589.5200","16,098,867.4000","63,219,048.4400","77,093,565.8400","101,497,654.7200","9,649,519.6000","32,560,732.6500","58,688,438.6200","69,378,418.4500","13,912,628.8300","80,676,153.2200","119,459,216.2900","151,740,921.6900","31,430,904.4700","75,453,587.6900","129,022,542.7800","165,826,360.7800","32,342,568.8100","88,488,361.5100","157,254,529.4200","258,575,661.6500","60,235,012.2000","159,841,498.1600","257,858,688.9900","305,919,639.3300","28,791,503.4800","91,995,329.9700","143,299,649.1000","215,552,687.0900","34,875,736.8400","125,307,107.5500","177,179,906.3000","237,189,041.9100","38,500,189.2400","85,652,921.0800","239,512,533.0200","368,827,901.2800","24,815,344.7300","76,322,140.9800","113,936,743.5700","166,561,823.8600","66,415,772.4500","108,112,669.6900","155,061,045.3500","197,564,240.3500","16,701,350.7300","33,447,760.5000","98,914,742.5800","102,114,689.3900","21,053,015.2800","37,965,964.8800","46,362,652.1800","128,834,010.2800","5,622,703.7600","33,654,727.2800","62,433,666.5500","80,479,848.3000","6,142,541.6800","14,375,207.2000","16,494,443.0200","24,674,042.6000"
"81","000408.SZ","化工","","","","10,875,200.0000","","",NA,"10,120,750.0000","","","","12,674,095.4600","","8,513,209.1900","","17,127,157.9700","","12,870,526.8500",NA,"15,396,292.9200","","29,233,325.6900","","75,131,299.1600","","28,410,598.6800",NA,"80,878,301.5800","","59,622,521.4400","","107,609,347.9000","","32,301,625.9600","","66,740,070.5700","16,719,500.0000","38,502,114.8700","55,377,643.0000","73,937,957.6600","16,263,234.5200","24,687,496.9800","30,052,322.1100","36,495,102.8700","4,718,935.6300","9,746,259.3100","21,376,688.4100","26,177,019.3300","4,468,611.9900","9,762,934.2200","19,209,897.5500","11,835,561.7100","186,978.5100","8,953,175.2900","12,652,417.8500","22,392,514.3000","14,757,038.2300","26,808,952.6400","39,255,996.3300","-2,345,343.8600","11,617,917.0900","1,290,047.5300","4,833,591.4400","-19,942,232.5900","4,036,759.6200","-2,288,347.0900","8,897,056.1600","1,597,429.2700","-1,407,007.9200","-934,462.4400","704,152.6200","9,176,226.2500","2,278,114.6800","5,285,498.2700","9,790,750.8700","6,258,102.0400","2,367,373.1000","11,316,280.7500","14,450,513.8900","17,944,612.2200","2,515,678.8300","5,476,676.7800","7,337,557.2300","3,301,138.4400","3,332,953.0900","2,468,807.3200","2,746,959.4600","-1,041,188.7500","83,743.8400","1,959,217.3400","2,273,191.7100","2,273,191.7600","","10,067.2000","969,485,748.7500","1,643,462,342.6600","129,200,167.4300","667,471,197.0900","1,230,145,592.2600","2,070,185,556.4400"
"91","000420.SZ","化工","","","","61,951,180.0000","","",NA,"95,825,660.0000","","","","118,442,640.0000","","43,213,616.3700","","60,138,216.0400","","8,560,178.3800",NA,"68,909,920.3900","","65,376,196.4500","","140,847,735.6800","","75,296,181.7900",NA,"165,170,152.4700","","72,596,037.6600","","124,143,345.0300","","18,541,988.5400","","28,548,559.1900","29,740,000.0000","70,600,085.3300","99,771,337.4300","132,210,760.0300","42,902,771.9000","90,762,996.5200","141,455,550.6100","236,028,039.4700","77,321,330.0400","147,232,485.1600","214,439,678.2600","291,034,675.1800","56,232,345.0800","110,801,633.3300","155,952,826.5500","198,104,396.7300","30,794,664.4200","73,826,128.5700","125,526,820.7400","204,697,601.7300","62,494,420.6800","182,017,433.5700","270,272,583.2700","317,369,359.9400","26,625,601.9400","15,822,395.6900","-39,243,665.6800","-140,281,173.2900","9,311,848.0900","36,704,751.4000","114,306,418.2700","215,808,905.5900","40,577,820.8600","79,402,888.4300","99,449,296.7000","185,457,671.8500","107,061,689.6000","169,709,557.5200","98,401,114.3000","59,944,028.0200","60,481,823.7800","76,753,997.9200","85,116,117.0800","94,932,138.4300","20,844,705.4000","8,127,482.9600","2,813,600.7700","-15,047,420.4200","2,871,480.7300","24,244,560.5500","44,539,354.3000","56,051,754.9400","19,903,230.5900","69,229,732.6700","103,891,696.6100","145,857,496.6800","40,553,757.1200","81,435,394.3200","121,269,813.3300","152,547,343.0600","53,262,703.4100","116,269,755.7400","180,128,190.2000","238,818,040.2700"
"93","000422.SZ","化工","","","","15,153,030.0000","","",NA,"17,236,780.0000","","","","29,111,320.0000","6,426,370.0000","19,031,020.0000","","47,148,712.6900","","43,265,453.9300",NA,"78,121,448.0500","","66,200,672.2500","","130,153,868.0400","","71,937,422.5400",NA,"107,869,590.0100","","37,511,396.9400","","53,817,096.9300","","48,849,893.1300","90,038,342.6000","111,238,836.8200","28,833,800.0000","76,407,018.8900","119,282,708.4400","147,447,083.5100","40,154,520.7300","93,355,524.8100","139,764,743.8100","188,357,090.4600","54,688,280.9300","146,823,720.8200","241,819,567.1300","320,980,440.0600","81,892,928.4400","173,362,305.9900","274,482,135.8100","382,432,450.0300","101,230,383.1000","242,207,029.3000","369,783,758.0400","579,530,044.3500","195,437,671.6200","456,174,741.4500","753,934,012.8600","1,120,519,118.6400","398,186,734.5200","834,271,376.8900","1,089,725,628.9000","1,176,960,249.7100","353,676,108.0000","670,459,352.6200","1,012,232,427.2000","1,469,294,095.7300","599,809,641.4500","1,192,247,942.8700","1,775,038,365.0900","2,596,329,060.7600","591,550,406.4700","1,434,360,418.3300","2,529,090,715.5600","3,316,958,523.8300","822,654,618.9900","1,936,389,346.8200","2,667,193,143.0100","3,766,921,464.9600","731,717,843.2200","1,472,498,238.9700","2,183,274,316.4100","2,794,807,960.4100","713,509,694.5400","1,542,726,397.2400","2,290,009,655.3200","3,174,755,980.0600","728,239,610.3100","1,511,989,284.8600","2,134,777,666.6600","2,776,467,825.4800","602,766,665.2100","1,179,211,535.3200","1,742,819,830.4100","1,730,045,825.8000","743,589,045.5800","1,075,399,435.9300","1,109,225,283.5000","192,308,802.7700"
"110","000510.SZ","化工","","","","17,271,452.4100","","20,744,025.4000",NA,"35,274,778.6200","","23,205,127.6900","","48,144,123.0900","","35,453,212.8100","","66,578,224.9800","","46,029,210.4300",NA,"51,494,400.4000","","19,654,568.1600","","-2,984,206.5500","","12,136,662.3800",NA,"42,552,274.6600","","45,498,297.3200","","133,609,215.6300","","66,211,278.8800","","131,498,943.9900","43,106,012.4300","106,006,635.9600","159,971,117.8700","248,668,349.6400","80,578,503.8600","155,852,919.2100","258,620,104.0900","369,730,907.8600","109,370,119.6600","198,032,936.0800","298,097,795.6600","426,349,655.1300","92,488,899.3900","179,671,834.1200","303,080,217.0400","393,568,835.9800","90,805,220.2500","194,010,328.4800","320,242,452.8000","419,255,561.2700","81,543,843.8000","167,789,565.1500","280,205,111.6900","324,823,660.4000","73,134,516.2000","114,491,441.4600","189,173,050.7400","169,008,712.6500","-2,553,199.5700","30,450,942.5700","82,813,998.3200","178,499,324.7800","63,918,990.2300","127,973,497.3300","184,540,536.6200","235,573,140.2900","28,172,042.2900","71,169,343.5000","100,475,105.8200","70,763,296.4000","-25,477,569.4300","-11,144,016.5200","25,288,934.6800","33,847,941.0600","-22,484,253.2300","-10,358,693.5500","1,134,065.7300","-3,794,076.0600","3,575,271.7400","27,458,676.7700","53,130,277.4700","68,088,045.2300","-24,095,365.1600","15,308,612.7800","53,129,775.3400","84,844,359.3900","31,208,553.9000","82,282,618.0300","147,872,408.8100","246,284,001.0000","67,856,390.5300","117,339,301.5400","181,764,518.6500","279,712,406.6000"
"119","000523.SZ","化工","","-204,622,057.9400","","43,599,848.7200","","19,222,301.1700",NA,"14,075,386.0200","","16,978,360.3400","","13,541,841.8500","","2,903,413.9500","","11,377,033.6700","","110,085.4400",NA,"11,091,433.0100","","29,088,488.6000","","80,425,448.5300","","37,774,863.5500",NA,"99,596,052.6700","","45,086,807.6100","","112,780,776.3700","27,605,277.8500","59,806,915.9500","","82,188,043.1400","31,774,427.6500","61,745,132.0900","83,052,538.8400","96,717,278.0200","30,663,939.1500","66,699,722.5200","93,329,472.7300","121,921,653.2800","29,093,314.4100","51,506,500.2400","77,266,331.1900","113,589,418.8200","33,071,704.7600","54,653,938.8100","80,070,305.0900","119,298,767.9800","30,727,950.4300","58,794,143.2800","88,541,727.0300","119,845,706.0700","28,834,435.9200","60,350,508.2300","92,469,880.3500","125,956,861.6800","29,405,472.1600","59,406,173.0500","92,095,203.5200","126,902,090.7600","33,275,241.9800","69,368,256.6400","107,357,843.3600","151,370,677.8200","38,704,953.8800","72,671,645.0400","120,166,122.5500","177,013,122.9400","40,008,583.2400","92,118,469.7100","141,821,569.7700","195,971,401.0600","32,920,445.3800","72,087,803.0200","128,200,050.4300","190,582,052.6300","40,471,930.4600","101,005,984.8100","158,822,995.5600","252,699,590.4500","47,310,916.7300","114,649,815.0600","181,494,606.5400","284,352,082.3100","53,464,714.6300","122,353,479.1700","199,908,843.5400","278,901,462.7800","53,146,328.8000","111,373,818.0600","175,721,254.1100","287,060,864.3200","53,335,369.4400","137,908,011.8800","222,809,121.7900","319,196,488.6300"
"121","000525.SZ","化工","","","","2,424,253.0000","","2,022,103.0000",NA,"3,371,155.7500","","-4,448,473.0000","","-4,147,171.7400","","2,579,554.0500","","3,131,076.8500","","453,255.5600",NA,"3,426,562.2100","","20,429,369.0600","","53,381,240.5000","","54,988,050.2000",NA,"83,949,311.0800","","59,490,352.4200","","80,894,773.4300","","84,572,369.4000","","122,278,360.7100","17,994,738.1100","87,184,616.0600","121,751,629.2300","134,089,447.2600","11,452,454.5800","77,565,003.8500","107,351,929.6500","131,962,049.6400","21,434,970.6600","107,514,221.7600","162,103,166.4100","205,066,124.9400","37,074,145.6600","116,510,109.7600","178,072,126.8600","229,528,673.7000","34,086,999.1000","128,558,216.4600","186,125,567.0300","247,047,741.7600","43,920,082.1300","113,532,977.8800","148,637,210.2100","219,292,034.2400","51,871,238.7100","180,323,861.9200","273,810,998.6600","275,626,516.2200","47,953,141.7700","113,527,620.9200","173,142,045.4400","200,279,937.1100","53,413,229.7800","88,044,676.4400","136,748,676.4500","224,119,332.7400","57,476,933.6200","120,411,282.3900","175,752,287.9300","366,946,924.9600","162,440,963.4300","350,603,670.6400","542,935,933.6900","747,979,365.5400","197,368,513.3600","420,857,008.2500","661,689,952.9200","994,066,605.4200","310,694,473.4300","649,068,372.0400","919,554,181.4700","1,138,164,474.1300","205,890,795.0700","422,343,930.5300","511,920,484.8900","578,621,893.8700","149,836,167.4400","307,493,643.2800","404,621,602.9100","629,845,880.0800","312,673,079.4200","723,397,563.1100","1,107,429,964.3700","1,550,861,014.8800"
"138","000545.SZ","化工","","-67,859,646.8500","","21,649,212.3300","","",NA,"6,602,167.6400","","5,271,798.5100","","7,046,110.6200","","4,125,258.6400","","786,921.0500","","225,395.5200",NA,"-142,505.6300","","21,845,973.5600","","48,558,139.2300","","18,886,672.3700",NA,"34,860,719.3800","","26,253,150.8300","","49,191,716.8400","","22,799,336.2500","33,549,259.9800","47,391,243.7600","10,540,000.0000","22,295,219.9500","34,067,657.5100","53,771,461.7100","11,150,166.0200","25,017,367.1700","41,166,711.7200","59,438,437.0800","13,559,000.8900","28,590,386.3700","43,401,151.4100","65,311,523.6800","7,428,528.7300","14,100,064.5000","21,919,501.9200","35,740,522.5000","10,620,912.2600","23,321,706.1400","36,214,452.9400","39,132,049.7100","13,329,493.5500","26,337,825.3500","40,570,932.1700","53,477,356.0100","14,759,591.6900","30,477,738.5200","46,094,150.5000","61,393,053.9000","8,962,217.7700","22,904,177.8800","33,653,205.6000","43,368,760.7500","7,952,082.2100","21,658,517.4100","33,347,924.6500","45,951,098.0200","8,386,648.8300","16,477,531.7800","28,918,604.8300","45,024,906.2100","9,272,749.4100","22,408,412.5800","37,782,764.3600","53,746,385.4500","10,538,071.2100","84,506,800.7700","119,364,631.7200","158,270,903.0900","17,731,860.9100","45,772,513.3500","73,404,123.6300","95,844,288.4000","22,538,509.8200","62,540,945.9600","89,980,330.6400","105,794,120.6600","23,966,016.3100","61,843,936.4000","104,803,882.9600","177,151,215.0900","112,865,513.9000","227,372,203.1400","315,839,514.6100","409,929,055.9300"
