"","证券代码","申万一级行业","主营业务利润..报告期..1993一季..报表类型..合并报表..单位..元","主营业务利润..报告期..1993中报..报表类型..合并报表..单位..元","主营业务利润..报告期..1993三季..报表类型..合并报表..单位..元","主营业务利润..报告期..1993年报..报表类型..合并报表..单位..元","主营业务利润..报告期..1994一季..报表类型..合并报表..单位..元","主营业务利润..报告期..1994中报..报表类型..合并报表..单位..元","主营业务利润..报告期..1994三季..报表类型..合并报表..单位..元","主营业务利润..报告期..1994年报..报表类型..合并报表..单位..元","主营业务利润..报告期..1995一季..报表类型..合并报表..单位..元","主营业务利润..报告期..1995中报..报表类型..合并报表..单位..元","主营业务利润..报告期..1995三季..报表类型..合并报表..单位..元","主营业务利润..报告期..1995年报..报表类型..合并报表..单位..元","主营业务利润..报告期..1996一季..报表类型..合并报表..单位..元","主营业务利润..报告期..1996中报..报表类型..合并报表..单位..元","主营业务利润..报告期..1996三季..报表类型..合并报表..单位..元","主营业务利润..报告期..1996年报..报表类型..合并报表..单位..元","主营业务利润..报告期..1997一季..报表类型..合并报表..单位..元","主营业务利润..报告期..1997中报..报表类型..合并报表..单位..元","主营业务利润..报告期..1997三季..报表类型..合并报表..单位..元","主营业务利润..报告期..1997年报..报表类型..合并报表..单位..元","主营业务利润..报告期..1998一季..报表类型..合并报表..单位..元","主营业务利润..报告期..1998中报..报表类型..合并报表..单位..元","主营业务利润..报告期..1998三季..报表类型..合并报表..单位..元","主营业务利润..报告期..1998年报..报表类型..合并报表..单位..元","主营业务利润..报告期..1999一季..报表类型..合并报表..单位..元","主营业务利润..报告期..1999中报..报表类型..合并报表..单位..元","主营业务利润..报告期..1999三季..报表类型..合并报表..单位..元","主营业务利润..报告期..1999年报..报表类型..合并报表..单位..元","主营业务利润..报告期..2000一季..报表类型..合并报表..单位..元","主营业务利润..报告期..2000中报..报表类型..合并报表..单位..元","主营业务利润..报告期..2000三季..报表类型..合并报表..单位..元","主营业务利润..报告期..2000年报..报表类型..合并报表..单位..元","主营业务利润..报告期..2001一季..报表类型..合并报表..单位..元","主营业务利润..报告期..2001中报..报表类型..合并报表..单位..元","主营业务利润..报告期..2001三季..报表类型..合并报表..单位..元","主营业务利润..报告期..2001年报..报表类型..合并报表..单位..元","主营业务利润..报告期..2002一季..报表类型..合并报表..单位..元","主营业务利润..报告期..2002中报..报表类型..合并报表..单位..元","主营业务利润..报告期..2002三季..报表类型..合并报表..单位..元","主营业务利润..报告期..2002年报..报表类型..合并报表..单位..元","主营业务利润..报告期..2003一季..报表类型..合并报表..单位..元","主营业务利润..报告期..2003中报..报表类型..合并报表..单位..元","主营业务利润..报告期..2003三季..报表类型..合并报表..单位..元","主营业务利润..报告期..2003年报..报表类型..合并报表..单位..元","主营业务利润..报告期..2004一季..报表类型..合并报表..单位..元","主营业务利润..报告期..2004中报..报表类型..合并报表..单位..元","主营业务利润..报告期..2004三季..报表类型..合并报表..单位..元","主营业务利润..报告期..2004年报..报表类型..合并报表..单位..元","主营业务利润..报告期..2005一季..报表类型..合并报表..单位..元","主营业务利润..报告期..2005中报..报表类型..合并报表..单位..元","主营业务利润..报告期..2005三季..报表类型..合并报表..单位..元","主营业务利润..报告期..2005年报..报表类型..合并报表..单位..元","主营业务利润..报告期..2006一季..报表类型..合并报表..单位..元","主营业务利润..报告期..2006中报..报表类型..合并报表..单位..元","主营业务利润..报告期..2006三季..报表类型..合并报表..单位..元","主营业务利润..报告期..2006年报..报表类型..合并报表..单位..元","主营业务利润..报告期..2007一季..报表类型..合并报表..单位..元","主营业务利润..报告期..2007中报..报表类型..合并报表..单位..元","主营业务利润..报告期..2007三季..报表类型..合并报表..单位..元","主营业务利润..报告期..2007年报..报表类型..合并报表..单位..元","主营业务利润..报告期..2008一季..报表类型..合并报表..单位..元","主营业务利润..报告期..2008中报..报表类型..合并报表..单位..元","主营业务利润..报告期..2008三季..报表类型..合并报表..单位..元","主营业务利润..报告期..2008年报..报表类型..合并报表..单位..元","主营业务利润..报告期..2009一季..报表类型..合并报表..单位..元","主营业务利润..报告期..2009中报..报表类型..合并报表..单位..元","主营业务利润..报告期..2009三季..报表类型..合并报表..单位..元","主营业务利润..报告期..2009年报..报表类型..合并报表..单位..元","主营业务利润..报告期..2010一季..报表类型..合并报表..单位..元","主营业务利润..报告期..2010中报..报表类型..合并报表..单位..元","主营业务利润..报告期..2010三季..报表类型..合并报表..单位..元","主营业务利润..报告期..2010年报..报表类型..合并报表..单位..元","主营业务利润..报告期..2011一季..报表类型..合并报表..单位..元","主营业务利润..报告期..2011中报..报表类型..合并报表..单位..元","主营业务利润..报告期..2011三季..报表类型..合并报表..单位..元","主营业务利润..报告期..2011年报..报表类型..合并报表..单位..元","主营业务利润..报告期..2012一季..报表类型..合并报表..单位..元","主营业务利润..报告期..2012中报..报表类型..合并报表..单位..元","主营业务利润..报告期..2012三季..报表类型..合并报表..单位..元","主营业务利润..报告期..2012年报..报表类型..合并报表..单位..元","主营业务利润..报告期..2013一季..报表类型..合并报表..单位..元","主营业务利润..报告期..2013中报..报表类型..合并报表..单位..元","主营业务利润..报告期..2013三季..报表类型..合并报表..单位..元","主营业务利润..报告期..2013年报..报表类型..合并报表..单位..元","主营业务利润..报告期..2014一季..报表类型..合并报表..单位..元","主营业务利润..报告期..2014中报..报表类型..合并报表..单位..元","主营业务利润..报告期..2014三季..报表类型..合并报表..单位..元","主营业务利润..报告期..2014年报..报表类型..合并报表..单位..元","主营业务利润..报告期..2015一季..报表类型..合并报表..单位..元","主营业务利润..报告期..2015中报..报表类型..合并报表..单位..元","主营业务利润..报告期..2015三季..报表类型..合并报表..单位..元","主营业务利润..报告期..2015年报..报表类型..合并报表..单位..元","主营业务利润..报告期..2016一季..报表类型..合并报表..单位..元","主营业务利润..报告期..2016中报..报表类型..合并报表..单位..元","主营业务利润..报告期..2016三季..报表类型..合并报表..单位..元","主营业务利润..报告期..2016年报..报表类型..合并报表..单位..元","主营业务利润..报告期..2017一季..报表类型..合并报表..单位..元","主营业务利润..报告期..2017中报..报表类型..合并报表..单位..元","主营业务利润..报告期..2017三季..报表类型..合并报表..单位..元","主营业务利润..报告期..2017年报..报表类型..合并报表..单位..元"
"13","000016.SZ","家用电器","","","","218,593,790.4100","","140,794,285.0500",NA,"266,068,213.2200","","113,998,204.2200","","232,729,263.6800","","139,692,861.2700","","371,417,245.1300","","163,343,551.2500",NA,"371,739,859.0600","","553,127,464.3500","","1,621,092,675.2500","","716,065,170.6800",NA,"1,874,905,423.4800","","635,335,861.3200","","1,485,091,536.8400","","515,613,282.9800","","566,414,837.1300","303,712,659.3700","594,507,414.5500","848,532,007.4700","1,217,861,067.6000","454,145,320.0100","789,376,120.6800","1,272,524,447.3200","1,881,895,908.4900","586,730,286.3000","1,037,208,774.9700","1,452,038,039.2900","1,969,402,208.4200","468,092,406.0100","806,407,715.5500","1,239,937,942.7000","1,883,466,317.9700","512,000,631.9500","973,543,560.7200","1,478,842,798.9300","2,131,447,550.1400","545,022,663.1500","1,005,881,429.7900","1,592,819,814.2400","2,361,725,506.7000","544,116,334.3400","1,038,788,493.8000","1,690,096,815.6100","2,332,734,852.5400","454,693,313.0600","978,777,902.4700","1,670,725,952.6400","2,484,455,831.4500","633,927,645.2200","1,238,448,990.3000","1,927,118,850.7700","2,661,387,642.7100","515,774,026.3500","1,011,007,999.8900","1,672,610,976.4100","2,612,509,699.2300","661,184,537.5200","1,291,935,596.8400","2,113,456,952.4600","3,225,476,053.4000","804,941,998.1900","1,552,587,610.8100","2,383,214,778.2800","3,279,269,026.6800","721,963,993.1000","1,360,318,967.3100","1,949,206,533.8100","2,629,214,764.1200","693,329,951.3200","1,124,633,113.7200","1,652,864,553.8300","2,245,156,451.4600","746,121,041.4500","1,375,205,788.2800","1,998,779,641.9200","2,669,050,312.2600","644,280,338.7700","1,261,345,129.3200","2,024,357,341.9700","3,229,941,236.3000"
"62","000100.SZ","家用电器","","","","","","",NA,"","","","","","","","","","","",NA,"","","","","","","",NA,"","","","","2,293,370,000.0000","","","","2,843,800,000.0000","","","","5,007,290,000.0000","1,236,569,437.0000","2,453,220,000.0000","3,656,792,349.0000","5,368,730,818.0000","1,581,642,932.0000","2,965,873,939.0000","4,691,966,657.0000","7,388,531,848.0000","1,739,704,531.0000","3,542,789,373.0000","4,987,271,901.0000","7,716,393,609.0000","1,789,378,988.0000","3,438,155,000.0000","5,183,576,451.0000","6,954,209,000.0000","1,483,139,186.0000","2,806,644,000.0000","4,301,974,175.0000","6,387,739,615.0000","1,466,780,038.0000","2,915,455,753.0000","4,441,602,413.0000","5,995,723,000.0000","1,185,112,535.0000","2,739,690,992.0000","4,654,749,737.0000","6,686,953,897.0000","1,653,813,631.0000","3,110,592,493.0000","4,666,770,755.0000","7,177,698,561.0000","1,932,879,750.0000","3,961,728,859.0000","6,352,128,424.0000","9,177,809,000.0000","2,283,053,475.0000","4,571,322,000.0000","7,309,654,176.0000","10,930,970,000.0000","3,096,544,939.0000","6,644,015,000.0000","10,439,420,038.0000","14,498,527,000.0000","3,254,850,065.0000","7,461,066,000.0000","12,017,804,602.0000","17,229,113,000.0000","4,073,014,046.0000","8,209,468,000.0000","12,206,689,734.0000","16,827,851,000.0000","3,411,475,699.0000","7,122,037,000.0000","12,297,982,574.0000","17,497,458,000.0000","4,487,775,604.0000","10,630,155,000.0000","16,607,179,603.0000","22,248,177,000.0000"
"73","000333.SZ","家用电器","","","","","","",NA,"","","","","","","","","","","",NA,"","","","","","","",NA,"","","","","","","","","","","","","","","","","2,869,980,474.7000","","","","3,547,574,561.5800","","","","5,120,434,922.2200","","","","6,304,490,324.5300","","5,027,195,176.3100","","9,298,578,532.5500","2,995,624,567.1600","7,205,096,084.0600","9,662,341,900.4400","11,943,767,790.1200","2,691,687,700.0000","7,776,544,382.8000","11,193,074,440.3000","15,274,091,804.0700","3,711,113,056.8300","9,731,034,363.7300","13,640,264,584.1300","19,615,672,320.0000","6,607,343,569.9200","14,037,383,812.8900","19,561,654,951.8800","24,865,799,550.0000","5,382,926,310.0000","12,148,041,340.0000","17,508,515,860.0000","22,571,161,490.0000","7,212,254,190.0000","14,776,043,630.0000","21,339,359,360.0000","27,547,007,470.0000","9,445,898,250.0000","19,540,740,760.0000","26,981,567,480.0000","35,188,892,480.0000","11,055,263,320.0000","22,061,602,270.0000","28,524,720,870.0000","34,867,078,000.0000","11,158,917,000.0000","22,188,365,000.0000","31,887,596,000.0000","42,351,485,000.0000","14,611,288,000.0000","30,644,213,000.0000","46,313,351,000.0000","58,835,321,000.0000"
"79","000404.SZ","家用电器","","","","10,353,204.0000","","",NA,"13,542,147.0000","","","","23,316,431.0000","","20,633,581.3500","","34,362,431.0000","","21,660,127.0400",NA,"49,002,484.0800","","15,169,899.6400","","20,229,793.9700","","11,554,584.4800",NA,"16,440,502.6300","","16,132,463.2900","","28,130,362.0400","","14,398,421.2200","","19,843,941.1600","4,448,500.0000","4,142,719.4400","56,613,451.9200","37,785,763.9700","19,103,122.7900","39,076,073.6900","57,894,655.9200","62,158,804.6600","15,661,884.1400","39,259,756.7500","63,534,039.7600","86,836,544.4000","30,736,586.8700","72,583,607.6200","101,322,735.0300","122,615,526.8800","41,984,466.4700","105,935,363.7900","161,608,137.7300","189,185,344.2200","59,640,279.7400","143,322,417.4600","219,582,680.4000","297,575,521.9500","99,337,037.4400","231,848,287.4700","310,579,838.0700","358,643,211.6700","94,324,118.6100","233,176,635.4200","367,069,507.0200","569,488,688.3200","125,330,854.1500","281,150,958.6800","400,678,572.0700","514,951,229.1300","102,016,352.2600","261,500,732.5800","382,172,196.1900","500,784,936.9700","150,677,803.0200","396,822,143.2000","599,936,134.3900","769,473,896.7700","255,618,777.5300","546,297,547.5300","727,179,795.3100","1,028,727,751.5300","278,798,588.0200","611,616,908.9400","861,608,245.9300","1,138,490,314.4200","274,129,669.4100","568,531,505.9300","779,806,181.3800","1,008,920,834.6700","236,049,438.1500","495,730,124.2100","703,007,269.7000","926,563,116.1100","244,588,533.2100","540,493,260.4000","732,992,084.3700","933,622,930.8400"
"89","000418.SZ","家用电器","","","","55,861,109.4900","","",NA,"125,956,714.3600","","","","178,762,621.3900","","118,536,000.0000","","227,456,772.0000","","139,481,970.0000",NA,"342,848,026.9000","","303,548,276.8200","","581,900,446.6000","","390,345,805.7600",NA,"752,124,757.5200","","399,678,634.4100","","702,948,287.0600","","295,779,975.0800","","516,068,204.3000","207,446,156.0600","397,009,511.8600","528,444,157.3300","423,801,370.9500","158,203,731.3400","217,745,138.1900","317,119,070.0600","521,658,476.7000","122,888,284.0800","226,341,712.3900","335,310,771.1100","456,444,504.4400","160,885,501.7100","279,282,700.4000","420,516,995.2900","639,257,617.2700","213,809,833.0700","413,678,276.0800","637,482,673.5000","890,420,948.6200","284,654,647.1600","519,727,688.8200","757,719,040.6800","973,261,993.2400","252,230,471.7700","479,132,775.9400","623,976,689.6500","780,086,718.7600","178,497,136.8100","394,979,799.2500","652,819,340.8900","1,003,683,562.8200","266,437,916.5100","560,660,969.4500","844,924,556.4100","1,733,218,623.7700","612,888,185.3300","1,119,905,847.1500","1,523,702,059.0300","1,800,052,252.4200","305,668,216.6500","631,716,394.9600","983,989,314.8600","1,529,467,528.6600","559,317,075.3400","966,455,808.9600","1,530,212,999.9100","2,125,331,474.4800","694,420,882.1000","1,287,561,275.0400","1,980,076,184.8700","2,729,295,291.1200","897,723,662.2400","1,606,664,809.6800","2,513,513,855.9100","3,418,474,432.6000","1,166,921,763.1700","2,127,471,543.7900","3,163,807,206.9000","4,124,496,776.8300","1,432,444,373.0000","2,642,156,768.6900","3,991,583,078.3900","5,270,013,940.6900"
"118","000521.SZ","家用电器","","","","102,554,263.6500","","68,629,660.4300",NA,"128,345,210.6100","","69,388,476.7900","","128,668,747.2900","","89,850,297.5600","","159,331,475.9600","","64,871,842.8200",NA,"87,281,823.9700","","158,226,318.8400","","240,602,761.3600","","136,231,987.4100",NA,"235,986,460.4600","","112,823,019.1100","","197,609,572.9800","","156,466,354.5500","233,150,567.9400","185,631,449.2700","66,245,800.0000","139,593,998.9100","213,057,046.4500","274,298,902.0800","70,516,253.6000","164,874,747.9500","247,002,281.6000","230,588,924.3900","65,285,950.2300","143,101,722.5300","225,199,048.8800","286,774,086.5100","84,572,279.2300","177,492,844.7700","278,672,691.4500","344,249,045.6700","85,984,750.6400","231,074,020.3700","363,670,418.5700","431,291,161.6000","99,739,689.5600","294,819,055.6900","446,547,607.0400","545,149,222.8500","208,982,752.7300","552,363,512.1200","806,965,738.2200","960,569,633.4500","263,623,281.8600","704,805,191.2300","1,187,048,451.4600","1,717,554,777.3100","494,487,142.2100","1,109,218,989.8600","1,659,455,024.1700","1,926,277,489.9800","454,487,673.8400","1,154,108,787.3200","1,577,099,174.1600","1,878,006,087.9400","511,957,434.7500","1,225,460,365.1000","1,755,942,091.0200","2,125,734,154.6500","539,375,865.6500","1,366,547,137.2500","1,974,301,112.9600","2,440,398,923.1100","580,042,751.8300","1,518,242,330.3400","2,060,774,064.1000","2,451,736,855.0900","575,017,648.0100","1,297,372,567.7300","1,614,914,358.3500","2,009,447,175.3600","611,882,194.2100","1,372,027,998.1100","1,877,773,252.9400","2,360,459,622.2400","703,239,380.0400","1,455,732,123.9400","2,215,936,637.1600","2,845,281,140.1500"
"128","000533.SZ","家用电器","","-404,022,441.0000","","293,478,051.0000","","103,379,358.0000",NA,"180,183,886.0000","","66,654,568.0000","","64,582,477.0000","","14,654,366.0000","","73,604,669.0000","","28,821,267.0000",NA,"87,408,830.9000","","234,344,427.7500","","494,280,897.6200","","239,680,620.4200",NA,"445,872,702.6900","","180,711,411.8700","","424,756,126.2900","","219,061,885.1300","","369,401,966.8900","68,680,551.9600","152,433,989.7200","248,655,047.4800","387,560,307.7100","108,667,143.2300","230,835,466.6800","361,069,844.4500","507,504,948.3800","120,156,073.1200","238,378,599.7200","356,112,490.0500","488,643,854.0000","77,732,213.3000","186,150,844.4600","293,664,331.3300","369,748,078.3400","96,051,488.2600","216,230,365.6400","340,021,606.0600","492,777,676.9600","137,656,457.5000","353,529,348.9900","582,379,292.8100","819,527,711.9600","165,737,833.1700","331,875,583.3500","525,988,190.4700","719,552,360.5500","186,773,046.9200","345,022,695.1300","567,845,542.6400","830,500,885.9900","169,147,594.1900","312,807,603.5200","563,645,277.1500","739,459,452.5000","103,834,658.2000","263,955,470.4900","357,613,912.6800","469,092,181.1000","111,617,101.0900","227,012,848.8700","357,307,635.3100","499,263,366.5500","160,902,849.9400","317,317,230.6900","463,436,140.4400","629,415,631.4900","266,236,633.1800","527,062,301.9100","799,713,779.5400","1,247,247,760.9200","321,184,842.6900","582,941,826.8700","866,241,901.2900","1,287,169,570.8500","309,228,953.8900","636,864,071.6200","982,953,447.2100","1,381,904,144.4100","103,267,108.4500","223,515,899.3300","355,816,547.3900","412,656,595.2600"
"214","000651.SZ","家用电器","","","","49,942,288.4300","","",NA,"91,523,315.1600","","","","178,952,200.8900","","140,744,543.2000","","202,628,068.6500","","161,183,711.6300",NA,"206,319,446.8600","","915,781,819.6600","","1,004,148,416.3300","","921,847,788.6800",NA,"917,401,073.8500","","772,183,051.2100","","1,675,344,424.4300","","718,827,105.7400","","1,417,119,278.2500","163,128,357.3400","509,303,564.9700","1,020,551,961.7400","1,422,891,042.8600","366,002,787.7000","960,066,798.9800","1,334,599,047.9300","1,717,692,764.8600","365,661,506.2700","1,211,135,000.5200","1,839,834,437.7600","2,237,429,595.1600","483,482,042.3000","1,682,786,133.6000","2,442,942,885.3300","3,320,824,139.0200","692,968,532.1200","2,022,768,950.2200","3,100,790,842.6900","4,251,182,168.0300","1,250,909,748.4300","3,513,870,167.2700","5,226,324,516.6600","6,575,298,590.4000","1,898,803,267.2100","4,401,936,385.8500","6,317,749,077.2000","7,936,561,501.1100","2,114,370,919.5300","4,912,821,281.9400","7,442,861,734.3000","10,098,424,669.7700","2,071,105,205.4900","3,857,528,307.1000","8,491,879,243.3000","12,483,623,570.8700","2,730,301,725.4700","5,940,393,977.8200","10,649,913,443.6600","14,525,451,130.2200","4,412,160,277.4300","10,723,622,372.8700","18,592,419,467.2000","25,523,165,241.1900","6,464,167,222.9200","14,277,403,822.3400","25,415,853,437.3400","37,285,838,569.4600","8,441,627,518.6500","18,790,346,371.4200","34,273,574,291.7600","48,365,805,872.3900","7,733,961,194.0700","13,736,391,737.6300","25,698,355,578.0500","30,975,889,249.1200","8,058,406,654.8200","17,143,122,102.6300","27,487,366,733.6200","33,986,519,829.7500","9,983,456,157.0800","21,450,347,005.4400","33,685,456,875.2400","47,210,501,811.6000"
"321","000801.SZ","家用电器","","","","","","",NA,"","","","","11,461,041.3400","","","","17,697,663.3400","","25,084,742.5300",NA,"33,297,783.4900","","24,391,866.1400","","42,278,837.5400","","13,651,253.9900",NA,"42,628,063.4200","","15,541,208.4800","","22,837,760.1500","","8,396,560.4400","","12,424,716.8600","2,560,010.0500","4,868,425.9400","8,579,542.6800","12,045,982.3200","3,060,673.4800","6,599,822.2900","10,036,390.9500","16,846,134.6700","5,595,834.3500","13,131,149.7800","15,846,712.3600","22,222,212.7100","6,492,090.5000","16,125,517.4500","26,058,459.3100","41,848,485.4900","8,789,734.1700","15,501,021.1700","28,103,655.7100","26,274,570.5900","5,518,739.9800","15,667,887.1800","26,772,229.4100","47,574,860.1200","13,049,570.3700","23,496,924.0100","34,570,541.7400","54,378,027.4700","9,099,846.5400","16,216,049.3200","26,327,982.0400","45,909,094.5400","7,934,720.4700","173,312,223.7500","234,386,106.6800","362,164,913.9600","76,863,481.1700","146,308,025.4800","220,198,764.0900","336,169,634.9900","90,812,122.9900","207,870,256.9200","315,490,731.2700","430,509,513.1800","87,623,038.0100","180,699,992.1600","277,403,496.6600","416,463,846.5100","91,071,097.0500","206,264,304.3700","316,001,434.2400","450,748,920.1700","87,794,096.2100","331,210,612.4100","515,009,216.3500","832,183,266.8900","178,228,363.8400","385,269,757.6500","526,794,675.4900","856,855,649.0800","94,872,132.8600","189,080,183.8500","285,258,490.1600","508,400,835.8800"
"327","000810.SZ","家用电器","","","","","","",NA,"","","","","3,707,295.9200","","","","8,205,266.7100","","16,494,617.0800",NA,"13,340,111.3400","","18,013,379.2600","","15,033,523.4200","","3,608,677.0400",NA,"14,873,716.7900","","21,098,955.3900","","41,544,594.2300","","12,077,281.3100","","29,590,962.1700","8,018,731.8200","29,758,786.7600","51,141,515.0900","70,788,111.0500","19,025,896.5200","35,948,642.5100","47,541,701.0800","68,893,284.9400","10,524,997.1200","31,978,077.3700","43,579,336.0900","65,506,378.5700","21,095,100.5300","46,905,893.8800","72,996,075.8300","100,654,354.3600","27,328,485.7800","58,242,047.8500","87,100,537.6200","121,552,031.2100","29,102,297.7500","62,719,261.8900","93,894,446.3700","117,941,996.9500","25,261,918.2700","53,355,767.9000","78,675,065.3400","102,891,351.6000","20,384,997.5900","48,801,122.1400","78,558,397.5600","115,035,595.3200","36,494,443.7600","85,954,289.6700","137,662,518.0400","199,649,176.5000","46,656,218.9400","135,752,036.6900","161,343,959.0100","216,806,512.0200","35,207,024.4900","67,153,337.1400","93,810,420.0500","134,697,930.4200","38,672,076.3200","75,821,330.7400","101,691,126.2100","124,325,975.3100","13,628,874.1500","25,020,214.4700","543,777,246.9000","761,456,057.9700","158,786,521.1600","343,325,051.4400","536,987,184.5300","900,815,492.3800","368,130,185.2600","666,241,033.1600","904,363,585.2200","1,234,077,078.2800","219,803,952.8600","450,429,898.6600","689,479,211.0900","1,036,384,247.6900"
