"","证券代码","申万一级行业","主营业务利润..报告期..1993一季..报表类型..合并报表..单位..元","主营业务利润..报告期..1993中报..报表类型..合并报表..单位..元","主营业务利润..报告期..1993三季..报表类型..合并报表..单位..元","主营业务利润..报告期..1993年报..报表类型..合并报表..单位..元","主营业务利润..报告期..1994一季..报表类型..合并报表..单位..元","主营业务利润..报告期..1994中报..报表类型..合并报表..单位..元","主营业务利润..报告期..1994三季..报表类型..合并报表..单位..元","主营业务利润..报告期..1994年报..报表类型..合并报表..单位..元","主营业务利润..报告期..1995一季..报表类型..合并报表..单位..元","主营业务利润..报告期..1995中报..报表类型..合并报表..单位..元","主营业务利润..报告期..1995三季..报表类型..合并报表..单位..元","主营业务利润..报告期..1995年报..报表类型..合并报表..单位..元","主营业务利润..报告期..1996一季..报表类型..合并报表..单位..元","主营业务利润..报告期..1996中报..报表类型..合并报表..单位..元","主营业务利润..报告期..1996三季..报表类型..合并报表..单位..元","主营业务利润..报告期..1996年报..报表类型..合并报表..单位..元","主营业务利润..报告期..1997一季..报表类型..合并报表..单位..元","主营业务利润..报告期..1997中报..报表类型..合并报表..单位..元","主营业务利润..报告期..1997三季..报表类型..合并报表..单位..元","主营业务利润..报告期..1997年报..报表类型..合并报表..单位..元","主营业务利润..报告期..1998一季..报表类型..合并报表..单位..元","主营业务利润..报告期..1998中报..报表类型..合并报表..单位..元","主营业务利润..报告期..1998三季..报表类型..合并报表..单位..元","主营业务利润..报告期..1998年报..报表类型..合并报表..单位..元","主营业务利润..报告期..1999一季..报表类型..合并报表..单位..元","主营业务利润..报告期..1999中报..报表类型..合并报表..单位..元","主营业务利润..报告期..1999三季..报表类型..合并报表..单位..元","主营业务利润..报告期..1999年报..报表类型..合并报表..单位..元","主营业务利润..报告期..2000一季..报表类型..合并报表..单位..元","主营业务利润..报告期..2000中报..报表类型..合并报表..单位..元","主营业务利润..报告期..2000三季..报表类型..合并报表..单位..元","主营业务利润..报告期..2000年报..报表类型..合并报表..单位..元","主营业务利润..报告期..2001一季..报表类型..合并报表..单位..元","主营业务利润..报告期..2001中报..报表类型..合并报表..单位..元","主营业务利润..报告期..2001三季..报表类型..合并报表..单位..元","主营业务利润..报告期..2001年报..报表类型..合并报表..单位..元","主营业务利润..报告期..2002一季..报表类型..合并报表..单位..元","主营业务利润..报告期..2002中报..报表类型..合并报表..单位..元","主营业务利润..报告期..2002三季..报表类型..合并报表..单位..元","主营业务利润..报告期..2002年报..报表类型..合并报表..单位..元","主营业务利润..报告期..2003一季..报表类型..合并报表..单位..元","主营业务利润..报告期..2003中报..报表类型..合并报表..单位..元","主营业务利润..报告期..2003三季..报表类型..合并报表..单位..元","主营业务利润..报告期..2003年报..报表类型..合并报表..单位..元","主营业务利润..报告期..2004一季..报表类型..合并报表..单位..元","主营业务利润..报告期..2004中报..报表类型..合并报表..单位..元","主营业务利润..报告期..2004三季..报表类型..合并报表..单位..元","主营业务利润..报告期..2004年报..报表类型..合并报表..单位..元","主营业务利润..报告期..2005一季..报表类型..合并报表..单位..元","主营业务利润..报告期..2005中报..报表类型..合并报表..单位..元","主营业务利润..报告期..2005三季..报表类型..合并报表..单位..元","主营业务利润..报告期..2005年报..报表类型..合并报表..单位..元","主营业务利润..报告期..2006一季..报表类型..合并报表..单位..元","主营业务利润..报告期..2006中报..报表类型..合并报表..单位..元","主营业务利润..报告期..2006三季..报表类型..合并报表..单位..元","主营业务利润..报告期..2006年报..报表类型..合并报表..单位..元","主营业务利润..报告期..2007一季..报表类型..合并报表..单位..元","主营业务利润..报告期..2007中报..报表类型..合并报表..单位..元","主营业务利润..报告期..2007三季..报表类型..合并报表..单位..元","主营业务利润..报告期..2007年报..报表类型..合并报表..单位..元","主营业务利润..报告期..2008一季..报表类型..合并报表..单位..元","主营业务利润..报告期..2008中报..报表类型..合并报表..单位..元","主营业务利润..报告期..2008三季..报表类型..合并报表..单位..元","主营业务利润..报告期..2008年报..报表类型..合并报表..单位..元","主营业务利润..报告期..2009一季..报表类型..合并报表..单位..元","主营业务利润..报告期..2009中报..报表类型..合并报表..单位..元","主营业务利润..报告期..2009三季..报表类型..合并报表..单位..元","主营业务利润..报告期..2009年报..报表类型..合并报表..单位..元","主营业务利润..报告期..2010一季..报表类型..合并报表..单位..元","主营业务利润..报告期..2010中报..报表类型..合并报表..单位..元","主营业务利润..报告期..2010三季..报表类型..合并报表..单位..元","主营业务利润..报告期..2010年报..报表类型..合并报表..单位..元","主营业务利润..报告期..2011一季..报表类型..合并报表..单位..元","主营业务利润..报告期..2011中报..报表类型..合并报表..单位..元","主营业务利润..报告期..2011三季..报表类型..合并报表..单位..元","主营业务利润..报告期..2011年报..报表类型..合并报表..单位..元","主营业务利润..报告期..2012一季..报表类型..合并报表..单位..元","主营业务利润..报告期..2012中报..报表类型..合并报表..单位..元","主营业务利润..报告期..2012三季..报表类型..合并报表..单位..元","主营业务利润..报告期..2012年报..报表类型..合并报表..单位..元","主营业务利润..报告期..2013一季..报表类型..合并报表..单位..元","主营业务利润..报告期..2013中报..报表类型..合并报表..单位..元","主营业务利润..报告期..2013三季..报表类型..合并报表..单位..元","主营业务利润..报告期..2013年报..报表类型..合并报表..单位..元","主营业务利润..报告期..2014一季..报表类型..合并报表..单位..元","主营业务利润..报告期..2014中报..报表类型..合并报表..单位..元","主营业务利润..报告期..2014三季..报表类型..合并报表..单位..元","主营业务利润..报告期..2014年报..报表类型..合并报表..单位..元","主营业务利润..报告期..2015一季..报表类型..合并报表..单位..元","主营业务利润..报告期..2015中报..报表类型..合并报表..单位..元","主营业务利润..报告期..2015三季..报表类型..合并报表..单位..元","主营业务利润..报告期..2015年报..报表类型..合并报表..单位..元","主营业务利润..报告期..2016一季..报表类型..合并报表..单位..元","主营业务利润..报告期..2016中报..报表类型..合并报表..单位..元","主营业务利润..报告期..2016三季..报表类型..合并报表..单位..元","主营业务利润..报告期..2016年报..报表类型..合并报表..单位..元","主营业务利润..报告期..2017一季..报表类型..合并报表..单位..元","主营业务利润..报告期..2017中报..报表类型..合并报表..单位..元","主营业务利润..报告期..2017三季..报表类型..合并报表..单位..元","主营业务利润..报告期..2017年报..报表类型..合并报表..单位..元"
"11","000012.SZ","建筑材料","","","","189,270,711.2800","","104,416,299.1100",NA,"180,199,614.2500","","99,456,979.3400","","126,973,414.2500","","81,117,735.5600","","146,304,427.9900","","62,207,633.8900",NA,"117,400,464.0000","","111,103,230.0200","","249,291,387.1500","","132,603,171.7900",NA,"272,040,802.9400","","184,268,553.5200","","415,403,650.9500","","179,307,180.1500","284,163,194.0000","376,231,009.0000","82,113,415.0000","193,741,128.0000","301,683,630.0000","404,509,958.0000","92,868,613.0000","202,690,040.0000","341,603,225.0000","478,916,871.0000","150,429,867.0000","322,631,959.0000","508,294,087.0000","626,214,500.0000","150,306,547.0000","352,501,314.0000","556,681,724.0000","735,683,128.0000","161,580,182.0000","405,359,456.0000","658,750,595.0000","938,874,283.0000","253,950,415.0000","539,640,607.0000","940,367,327.0000","1,266,565,618.0000","316,966,161.0000","686,783,304.0000","1,023,202,421.0000","1,273,753,978.0000","229,467,020.0000","643,669,825.0000","1,197,911,686.0000","1,838,394,012.0000","562,680,467.0000","1,196,649,884.0000","1,924,904,639.0000","2,793,676,003.0000","749,142,993.0000","1,534,865,895.0000","2,140,989,764.0000","2,548,967,400.0000","284,149,829.0000","690,097,863.0000","1,163,746,700.0000","1,591,678,660.0000","395,172,324.0000","999,051,964.0000","1,631,002,518.0000","2,184,635,462.0000","373,479,821.0000","807,666,870.0000","1,268,234,008.0000","1,688,119,451.0000","314,662,525.0000","664,870,558.0000","1,076,622,158.0000","1,567,533,756.0000","502,562,570.0000","1,127,962,467.0000","1,752,463,349.0000","2,308,709,488.0000","513,616,336.0000","1,145,077,624.0000","1,868,166,669.0000","2,538,518,448.0000"
"20","000023.SZ","建筑材料","","","","27,288,231.0200","","16,246,294.6300",NA,"7,623,464.0000","","11,341,401.1300","","-6,679,099.0800","","-13,479,401.4900","","-36,439,468.6700","","-11,625,439.4300",NA,"-32,750,706.1500","","10,621,774.2800","","59,410,727.0700","","14,297,248.4200",NA,"56,723,567.5300","","27,761,083.9700","","39,457,623.0700","","11,755,253.6400","","27,531,982.7300","6,343,721.6500","21,946,686.5900","32,969,034.8100","54,708,947.6400","11,585,718.4900","31,795,430.0500","46,329,766.5200","70,828,030.0200","11,582,137.2800","27,002,730.4600","40,158,231.2400","59,667,627.6700","11,001,348.7100","29,577,175.7800","43,554,454.4700","58,775,483.6800","8,604,634.5000","24,391,069.7000","36,636,201.2000","95,097,528.0100","27,469,934.8200","35,514,537.9200","40,705,195.0500","70,643,188.9000","7,857,987.7700","31,006,090.0800","48,328,490.5500","88,978,097.1200","9,508,392.7100","29,695,838.4900","56,097,546.4600","97,374,744.6400","7,302,476.8700","36,951,753.8000","69,206,156.5100","118,322,316.3700","20,801,867.8600","39,776,632.0100","63,085,707.2500","114,048,824.2500","12,538,712.4800","37,224,800.5200","62,867,052.7500","90,928,088.9700","10,146,872.0700","62,625,948.7900","86,390,956.4100","129,370,659.3700","14,512,737.1400","46,547,991.5300","87,500,967.7100","133,075,423.2100","19,242,651.4900","66,527,015.4900","113,817,204.2700","180,288,405.0500","23,167,391.4000","62,125,644.7300","93,567,475.6000","120,309,882.2600","14,205,195.9800","46,855,699.9300","88,015,020.5400","126,022,862.6800"
"76","000401.SZ","建筑材料","","","","196,539,000.0000","","",NA,"190,790,000.0000","","","","181,353,487.5000","","79,639,707.6000","","146,581,324.9900","","67,159,988.4300",NA,"160,869,683.5100","","98,372,711.8600","","203,176,240.0600","","103,532,512.3600",NA,"218,479,979.6900","","120,647,127.1100","","241,769,330.7400","","142,942,663.6300","","352,473,701.5000","49,812,113.1800","143,661,010.0700","273,810,595.8800","375,869,502.3800","59,017,101.5900","189,511,998.8700","358,494,288.9700","475,530,249.9900","89,287,475.5300","232,902,795.6300","400,136,497.3100","488,173,950.6700","65,399,581.3100","245,028,419.0000","419,776,076.9700","534,892,313.8700","87,189,739.4600","304,588,884.1100","541,882,822.6800","670,669,672.4100","63,400,602.0700","363,904,762.0700","689,753,185.1700","1,003,472,474.0300","135,879,906.6600","523,684,260.9900","837,006,008.0600","1,267,482,444.6000","153,931,237.3000","781,049,172.9500","1,559,042,641.6200","2,151,970,683.1200","299,352,037.2700","1,363,078,131.9100","2,476,425,190.1000","3,430,882,331.3400","594,232,515.8000","2,260,640,565.9100","3,799,444,810.7500","4,729,123,754.2900","366,529,176.2300","1,532,021,131.6800","2,607,652,875.8400","3,368,667,023.0300","156,548,544.9800","1,379,379,877.6900","2,747,932,818.6200","3,909,964,283.7100","236,777,743.2800","1,280,030,150.9300","2,396,854,729.5700","3,201,626,945.0700","49,378,134.7700","537,132,854.0700","1,188,240,673.0400","1,638,237,494.3100","-32,028,865.1500","694,223,721.2900","1,924,424,990.0900","2,834,522,131.4600","339,243,224.9000","1,780,534,787.2500","3,175,330,649.9300","4,344,942,325.0400"
"109","000509.SZ","建筑材料","","","","31,869,599.8400","","19,947,166.6000",NA,"39,222,369.1500","","4,458,200.0000","","-4,070,538.6700","","","","-2,837,580.4100","","103,800.0000",NA,"-39,117,401.8500","","16,761,820.3700","","68,558,935.3100","","42,906,301.6400",NA,"71,066,094.7800","","46,441,782.0800","","82,295,166.5100","","42,937,778.0000","56,103,142.2300","80,961,212.3500","4,940,000.0000","9,334,960.0100","13,497,295.5100","9,733,176.5300","6,757,328.4300","18,611,683.6000","35,372,325.4400","39,204,169.1400","25,817,937.3000","39,951,694.2300","60,374,997.3600","52,363,890.0700","22,441,735.6000","49,468,129.1900","65,447,576.1200","47,215,863.4800","19,333,246.9900","35,726,045.7200","55,102,976.0800","78,573,152.8700","10,100,774.9400","23,914,845.2700","38,880,712.7300","88,313,751.7600","22,737,151.8300","18,387,941.9400","25,489,692.3700","27,506,854.5200","13,788,972.5400","33,956,093.7100","48,315,839.1300","135,318,808.7800","7,533,673.3400","19,024,881.1800","40,968,067.4700","44,957,532.7000","1,711,716.3000","5,581,850.7000","10,511,337.7300","21,529,954.7200","4,273,985.5200","11,274,855.5600","18,271,705.8300","-1,109,952.4300","1,140,100.5300","5,457,339.7200","15,949,616.1000","9,711,735.3900","6,921,187.4200","12,648,389.7100","28,655,357.4200","21,772,349.2200","3,837,922.6200","9,516,602.1700","17,318,839.1900","29,360,172.1300","573,084.3200","3,185,404.9300","4,827,768.0500","3,205,047.3800","2,073,443.9400","8,889,909.4300","13,744,277.8000","20,080,808.1500"
"139","000546.SZ","建筑材料","","","","8,687,948.4500","","5,608,542.5600",NA,"5,038,036.1800","","3,756,503.6500","","5,202,028.4800","","-8,043,213.8000","","-14,732,010.3800","","-15,354,058.8100",NA,"-42,915,119.7300","","6,981,422.4700","","10,274,204.9700","","3,991,228.9700",NA,"8,562,282.0300","","2,145,063.9400","","10,907,802.5700","-590,000.0000","-258,805.0600","208,000.0000","178,680.7700","","25,116,536.8400","28,965,066.4200","33,512,154.1000","849,967.4900","6,273,037.9600","10,064,530.7900","26,453,736.1200","237,924.2000","2,048,211.1700","3,361,458.1300","7,359,024.6800","474,299.1900","835,195.4300","913,900.5100","54,087,554.9900","636,090.5800","24,919,001.4800","45,718,656.7500","53,372,426.1200","913,912.5500","913,912.5500","913,912.5500","44,346,176.0600","909,140.2100","1,540,379.7300","1,540,379.7300","1,827,208.3100","5,122,031.2300","6,801,494.4100","6,332,738.1200","25,169,890.2400","1,810,442.8100","3,984,352.7500","4,834,785.2000","16,651,260.7800","22,764,214.7500","23,898,969.0500","24,583,295.8400","28,421,521.9200","25,298,705.2000","25,993,612.3400","27,745,229.0000","25,307,210.2700","2,092,121.9300","6,482,325.2300","15,376,075.2600","15,738,890.7400","-1,115,216.0700","3,081,980.5300","10,431,294.8400","389,047,699.3000","-1,628,766.5700","62,056,043.7600","282,167,277.1700","610,982,474.6000","24,830,643.6700","315,112,162.4200","596,938,373.3400","786,375,791.4300","13,607,341.6600","256,949,904.9700","594,146,057.0200","909,737,472.3500"
"195","000619.SZ","建筑材料","","","","11,679,000.0000","","",NA,"11,763,000.0000","","","","15,515,000.0000","","","","16,523,784.2100","","4,878,973.7500",NA,"14,697,308.1700","","6,537,275.2000","","19,139,734.3000","","5,898,151.4700",NA,"21,346,090.2200","","54,991,155.9700","","102,749,318.2600","","102,754,826.3700","183,543,282.3600","276,739,649.0600","68,393,425.6200","162,414,221.9100","253,143,079.2700","343,132,077.6500","59,124,167.4000","96,653,883.7200","148,901,709.9700","190,281,211.9300","27,643,611.2300","82,430,984.6400","178,705,370.8900","250,662,620.8500","85,119,050.4200","230,343,633.1200","364,831,389.4300","437,852,252.5500","77,053,981.4700","222,697,021.1900","360,592,062.4300","447,109,500.3200","97,625,260.6400","251,165,421.9900","359,590,581.0400","436,125,082.8400","84,964,133.0700","221,477,716.1600","304,213,822.4900","401,003,504.3400","105,906,608.5100","305,232,467.8500","487,988,727.5500","578,659,875.9500","88,256,446.5400","213,281,765.3600","325,793,043.0200","421,804,872.3100","60,552,082.9400","160,651,072.1400","249,716,805.2900","355,130,835.6500","96,333,455.8000","271,206,569.0100","440,941,260.8000","572,263,368.2300","89,155,978.2600","254,463,473.7600","414,578,174.3300","549,684,667.5000","92,135,624.4800","263,343,147.8400","421,038,791.2400","539,710,007.6200","78,417,100.6600","235,635,001.4200","383,327,106.6400","520,087,235.8100","98,145,607.3500","249,619,842.1700","379,044,534.0400","420,645,298.6800","33,170,171.3500","132,763,325.3200","235,577,096.4500","317,695,885.8400"
"230","000672.SZ","建筑材料","","","","","","",NA,"6,321,186.8800","","","","8,185,869.8400","","","","7,845,010.6800","","6,306,924.4000",NA,"7,550,228.0800","","8,816,379.2600","","30,601,243.3500","","4,571,601.7000",NA,"9,795,601.4200","","10,523,619.3300","","16,174,234.0600","","10,476,396.4200","","23,808,815.5900","3,817,434.5500","5,426,811.0300","12,277,143.2200","2,299,393.7200","660,318.0900","917,301.1200","1,576,912.3200","94,317.2100","15,272,540.6000","16,708,026.7200","17,181,276.6300","5,319,046.8300","3,482,225.4000","1,046,212.3200","1,424,338.3300","-1,478,396.8900","-434,998.6100","1,195,220.5000","864,029.2700","-1,809,234.8100","-23,327.8300","52,223.5000","100,854.1500","-225,563.2500","121,472.5000","195,587.8400","330,267.3500","430,688.0700","49,988.7600","156,123.2700","371,532.5300","383,891.4000","70,419.1300","318,015.4800","303,839.6200","1,128,859.8900","456,909.2600","1,049,139.4100","1,761,824.7700","2,179,307.6800","183,030.1200","1,576,873.3600","7,822,889.5700","11,191,603.7900","170,611.3300","146,785,307.0200","270,899,786.1300","599,556,664.7500","206,946,523.3800","402,149,775.1300","577,140,199.6100","777,573,346.6700","95,590,235.1200","170,099,830.9800","228,656,259.4900","329,752,321.1300","32,050,422.2100","184,005,281.0400","349,402,914.1400","523,703,237.7600","209,654,528.6300","544,608,142.1100","912,487,423.7900","1,523,116,994.5000"
"308","000786.SZ","建筑材料","","","","","","",NA,"46,312,575.0000","","","","47,397,986.0000","","","","54,449,933.0000","","41,130,286.0700",NA,"93,770,294.0000","","32,442,650.2600","","90,271,979.2000","","33,089,553.0600",NA,"88,456,841.2000","","38,251,075.7300","","105,082,065.2900","","62,545,399.7100","","152,332,635.1500","30,175,001.0600","75,210,207.1200","117,358,466.8400","175,056,319.0900","38,869,304.7900","73,419,233.4300","119,084,464.7300","180,420,227.8300","43,008,731.5400","79,983,135.2600","123,295,159.1000","191,247,376.3100","48,759,682.1000","146,089,117.6200","267,711,975.5600","339,173,655.0900","77,940,725.9100","197,890,059.6600","303,026,329.3100","476,098,626.2300","92,627,780.6400","234,361,017.5100","403,968,407.6700","633,863,112.1400","79,607,773.1400","234,770,072.4700","363,377,378.1200","550,084,615.4800","127,767,949.2400","378,305,133.8100","690,706,529.3800","1,003,465,213.7300","187,085,267.2500","488,865,012.1700","821,599,026.2400","1,177,237,690.8900","197,088,662.2500","547,778,121.0300","939,170,123.4000","1,348,750,596.9200","251,549,340.3700","699,048,531.5300","1,215,223,185.5000","1,757,304,088.8800","324,605,058.8200","931,538,136.0300","1,555,641,680.8900","2,208,983,315.2200","387,785,635.2200","1,123,303,974.8000","1,796,698,258.7800","2,462,387,129.8800","367,132,306.8800","1,060,996,685.4600","1,693,735,988.2700","2,320,126,697.5400","405,237,439.9200","1,217,153,935.3200","2,014,993,798.6700","2,675,659,071.3400","465,073,592.2900","1,355,075,626.1800","2,647,881,499.8100","4,001,179,782.8600"
"310","000789.SZ","建筑材料","","","","","","",NA,"48,577,806.0000","","","","46,963,661.0000","","","","41,230,288.0000","9,857,338.0000","",NA,"41,852,516.5900","","43,218,992.4400","","96,179,020.9000","","51,985,389.0100",NA,"109,325,833.6200","","47,953,477.0300","","95,381,741.6500","","53,280,874.3400","","104,430,673.6400","24,339,628.7500","47,845,959.4000","65,321,375.3400","95,016,169.7600","23,876,574.2200","51,901,866.9200","83,564,302.7600","171,962,623.3400","54,329,237.0700","93,087,924.4100","105,070,630.4400","108,544,052.2400","1,240,024.9000","-3,067,459.6400","-1,609,130.9400","16,659,017.5800","25,301,830.8100","52,018,546.4300","79,000,503.0000","145,343,342.6600","49,644,389.3800","94,810,717.0500","141,449,975.3300","222,082,646.5100","63,799,699.9800","172,518,113.5700","256,310,497.7700","365,157,548.7500","71,243,486.1900","158,533,293.3300","302,948,057.2100","509,484,550.7700","95,943,183.3000","157,715,297.4900","311,330,521.8600","770,017,049.6100","339,014,385.5600","785,298,798.7800","1,184,318,111.3500","1,565,851,033.4300","154,564,374.8400","323,057,060.0200","534,323,830.3200","879,856,052.8900","195,448,203.4300","533,839,428.0900","918,293,977.7600","1,574,033,257.1000","330,979,945.3000","735,019,886.9400","1,141,061,216.8900","1,776,764,756.2400","244,594,397.7300","445,819,745.8900","682,490,650.3400","1,142,792,792.9000","130,796,274.7700","404,502,884.2400","761,648,249.5000","1,284,709,032.6400","166,182,331.6400","505,549,495.0700","996,622,198.5700","1,815,813,819.1900"
"366","000877.SZ","建筑材料","","","","","","",NA,"","","","","25,291,585.0600","","","","28,794,177.4600","","",NA,"28,296,255.4700","","","","70,223,333.3700","","37,122,841.5300",NA,"102,925,178.1500","","51,062,381.7400","","128,470,129.2200","","105,190,437.5000","","243,491,459.7000","12,617,639.4400","130,549,744.2400","241,867,344.4000","289,967,090.8000","23,265,405.0100","167,731,032.5400","343,354,989.4400","404,472,449.5000","39,908,848.8700","169,909,709.3900","329,529,972.0700","410,006,522.2300","16,861,592.9400","163,690,992.1000","314,619,606.0800","380,774,193.9400","27,542,078.6000","197,371,094.7800","367,070,580.7200","450,160,981.5900","34,644,755.2000","225,013,480.9200","487,589,946.9400","615,598,612.1800","42,037,889.5100","369,834,649.3700","742,807,050.4400","901,697,617.7700","74,330,609.8400","484,080,827.9700","871,535,754.4400","1,059,952,018.0200","66,333,827.4700","526,803,415.8700","1,123,028,998.8900","1,611,601,578.5400","178,432,259.1100","1,132,078,990.8600","2,200,937,680.0000","2,654,904,913.2800","101,782,231.8200","758,726,399.8800","1,315,043,652.9500","1,510,503,507.1400","18,911,469.8200","702,543,133.2200","1,345,142,796.7800","1,638,756,317.9200","135,977,263.5000","654,969,724.1200","1,029,482,374.9300","1,303,912,919.0400","22,684,389.3800","286,714,500.0400","541,676,907.4300","631,961,280.7400","2,226,480.0700","383,021,178.1900","744,051,286.2400","1,012,392,374.2500","93,295,948.5000","603,747,113.5500","1,220,316,944.0500","1,944,110,259.2000"
