"","证券代码","申万一级行业","主营业务利润..报告期..1993一季..报表类型..合并报表..单位..元","主营业务利润..报告期..1993中报..报表类型..合并报表..单位..元","主营业务利润..报告期..1993三季..报表类型..合并报表..单位..元","主营业务利润..报告期..1993年报..报表类型..合并报表..单位..元","主营业务利润..报告期..1994一季..报表类型..合并报表..单位..元","主营业务利润..报告期..1994中报..报表类型..合并报表..单位..元","主营业务利润..报告期..1994三季..报表类型..合并报表..单位..元","主营业务利润..报告期..1994年报..报表类型..合并报表..单位..元","主营业务利润..报告期..1995一季..报表类型..合并报表..单位..元","主营业务利润..报告期..1995中报..报表类型..合并报表..单位..元","主营业务利润..报告期..1995三季..报表类型..合并报表..单位..元","主营业务利润..报告期..1995年报..报表类型..合并报表..单位..元","主营业务利润..报告期..1996一季..报表类型..合并报表..单位..元","主营业务利润..报告期..1996中报..报表类型..合并报表..单位..元","主营业务利润..报告期..1996三季..报表类型..合并报表..单位..元","主营业务利润..报告期..1996年报..报表类型..合并报表..单位..元","主营业务利润..报告期..1997一季..报表类型..合并报表..单位..元","主营业务利润..报告期..1997中报..报表类型..合并报表..单位..元","主营业务利润..报告期..1997三季..报表类型..合并报表..单位..元","主营业务利润..报告期..1997年报..报表类型..合并报表..单位..元","主营业务利润..报告期..1998一季..报表类型..合并报表..单位..元","主营业务利润..报告期..1998中报..报表类型..合并报表..单位..元","主营业务利润..报告期..1998三季..报表类型..合并报表..单位..元","主营业务利润..报告期..1998年报..报表类型..合并报表..单位..元","主营业务利润..报告期..1999一季..报表类型..合并报表..单位..元","主营业务利润..报告期..1999中报..报表类型..合并报表..单位..元","主营业务利润..报告期..1999三季..报表类型..合并报表..单位..元","主营业务利润..报告期..1999年报..报表类型..合并报表..单位..元","主营业务利润..报告期..2000一季..报表类型..合并报表..单位..元","主营业务利润..报告期..2000中报..报表类型..合并报表..单位..元","主营业务利润..报告期..2000三季..报表类型..合并报表..单位..元","主营业务利润..报告期..2000年报..报表类型..合并报表..单位..元","主营业务利润..报告期..2001一季..报表类型..合并报表..单位..元","主营业务利润..报告期..2001中报..报表类型..合并报表..单位..元","主营业务利润..报告期..2001三季..报表类型..合并报表..单位..元","主营业务利润..报告期..2001年报..报表类型..合并报表..单位..元","主营业务利润..报告期..2002一季..报表类型..合并报表..单位..元","主营业务利润..报告期..2002中报..报表类型..合并报表..单位..元","主营业务利润..报告期..2002三季..报表类型..合并报表..单位..元","主营业务利润..报告期..2002年报..报表类型..合并报表..单位..元","主营业务利润..报告期..2003一季..报表类型..合并报表..单位..元","主营业务利润..报告期..2003中报..报表类型..合并报表..单位..元","主营业务利润..报告期..2003三季..报表类型..合并报表..单位..元","主营业务利润..报告期..2003年报..报表类型..合并报表..单位..元","主营业务利润..报告期..2004一季..报表类型..合并报表..单位..元","主营业务利润..报告期..2004中报..报表类型..合并报表..单位..元","主营业务利润..报告期..2004三季..报表类型..合并报表..单位..元","主营业务利润..报告期..2004年报..报表类型..合并报表..单位..元","主营业务利润..报告期..2005一季..报表类型..合并报表..单位..元","主营业务利润..报告期..2005中报..报表类型..合并报表..单位..元","主营业务利润..报告期..2005三季..报表类型..合并报表..单位..元","主营业务利润..报告期..2005年报..报表类型..合并报表..单位..元","主营业务利润..报告期..2006一季..报表类型..合并报表..单位..元","主营业务利润..报告期..2006中报..报表类型..合并报表..单位..元","主营业务利润..报告期..2006三季..报表类型..合并报表..单位..元","主营业务利润..报告期..2006年报..报表类型..合并报表..单位..元","主营业务利润..报告期..2007一季..报表类型..合并报表..单位..元","主营业务利润..报告期..2007中报..报表类型..合并报表..单位..元","主营业务利润..报告期..2007三季..报表类型..合并报表..单位..元","主营业务利润..报告期..2007年报..报表类型..合并报表..单位..元","主营业务利润..报告期..2008一季..报表类型..合并报表..单位..元","主营业务利润..报告期..2008中报..报表类型..合并报表..单位..元","主营业务利润..报告期..2008三季..报表类型..合并报表..单位..元","主营业务利润..报告期..2008年报..报表类型..合并报表..单位..元","主营业务利润..报告期..2009一季..报表类型..合并报表..单位..元","主营业务利润..报告期..2009中报..报表类型..合并报表..单位..元","主营业务利润..报告期..2009三季..报表类型..合并报表..单位..元","主营业务利润..报告期..2009年报..报表类型..合并报表..单位..元","主营业务利润..报告期..2010一季..报表类型..合并报表..单位..元","主营业务利润..报告期..2010中报..报表类型..合并报表..单位..元","主营业务利润..报告期..2010三季..报表类型..合并报表..单位..元","主营业务利润..报告期..2010年报..报表类型..合并报表..单位..元","主营业务利润..报告期..2011一季..报表类型..合并报表..单位..元","主营业务利润..报告期..2011中报..报表类型..合并报表..单位..元","主营业务利润..报告期..2011三季..报表类型..合并报表..单位..元","主营业务利润..报告期..2011年报..报表类型..合并报表..单位..元","主营业务利润..报告期..2012一季..报表类型..合并报表..单位..元","主营业务利润..报告期..2012中报..报表类型..合并报表..单位..元","主营业务利润..报告期..2012三季..报表类型..合并报表..单位..元","主营业务利润..报告期..2012年报..报表类型..合并报表..单位..元","主营业务利润..报告期..2013一季..报表类型..合并报表..单位..元","主营业务利润..报告期..2013中报..报表类型..合并报表..单位..元","主营业务利润..报告期..2013三季..报表类型..合并报表..单位..元","主营业务利润..报告期..2013年报..报表类型..合并报表..单位..元","主营业务利润..报告期..2014一季..报表类型..合并报表..单位..元","主营业务利润..报告期..2014中报..报表类型..合并报表..单位..元","主营业务利润..报告期..2014三季..报表类型..合并报表..单位..元","主营业务利润..报告期..2014年报..报表类型..合并报表..单位..元","主营业务利润..报告期..2015一季..报表类型..合并报表..单位..元","主营业务利润..报告期..2015中报..报表类型..合并报表..单位..元","主营业务利润..报告期..2015三季..报表类型..合并报表..单位..元","主营业务利润..报告期..2015年报..报表类型..合并报表..单位..元","主营业务利润..报告期..2016一季..报表类型..合并报表..单位..元","主营业务利润..报告期..2016中报..报表类型..合并报表..单位..元","主营业务利润..报告期..2016三季..报表类型..合并报表..单位..元","主营业务利润..报告期..2016年报..报表类型..合并报表..单位..元","主营业务利润..报告期..2017一季..报表类型..合并报表..单位..元","主营业务利润..报告期..2017中报..报表类型..合并报表..单位..元","主营业务利润..报告期..2017三季..报表类型..合并报表..单位..元","主营业务利润..报告期..2017年报..报表类型..合并报表..单位..元"
"9","000010.SZ","建筑装饰","","","","7,898,025.1100","","",NA,"15,590,346.8100","","7,005,546.4500","","13,913,781.0400","","5,651,990.4000","","6,533,460.1700","","3,186,329.7400",NA,"4,702,016.6600","","9,958,907.3600","","52,598,065.0000","","15,360,924.7500",NA,"39,680,264.2200","","19,216,371.3300","","48,946,166.6600","","16,046,286.3000","11,472,717.6100","16,734,323.9500","948,100.0000","4,193,031.9500","13,268,511.5900","58,004,274.1100","7,319,159.0600","28,899,330.5000","55,055,551.1400","83,252,346.2500","17,978,801.2800","33,959,461.1600","57,996,637.6900","88,713,641.5300","21,702,572.8900","58,073,889.6700","90,280,557.0200","42,963,584.6200","3,660,446.8300","21,332,575.9200","22,427,126.9400","42,692,928.5100","6,582,767.4700","18,840,057.5600","24,513,530.3200","45,599,232.4300","9,491,500.8200","20,422,275.7700","30,966,957.8000","46,198,675.0200","8,455,548.7800","25,913,656.0000","37,367,900.3000","47,605,135.5900","8,748,736.7800","18,310,691.3100","28,838,235.6900","52,702,997.1600","5,306,688.5300","12,058,027.6600","30,259,289.8600","64,021,128.5200","7,769,264.5300","17,856,109.1600","26,046,835.6000","62,749,705.9800","7,377,473.0000","42,897,413.9000","65,137,067.5900","105,300,085.5200","5,796,808.4600","18,357,480.3700","25,786,930.6200","36,595,762.5000","19,827,740.8700","49,087,108.3300","71,856,353.9600","175,005,684.0300","30,580,463.2200","155,932,196.9800","208,259,678.7700","280,962,044.0100","30,030,562.3900","69,592,795.0000","187,991,042.9400","35,896,881.9900"
"15","000018.SZ","建筑装饰","","","","34,362,295.6600","","30,277,000.0000",NA,"12,079,706.1400","","4,783,000.0000","","-6,935,285.5000","","2,720,718.0000","","2,014,725.0000","","3,708,287.0000",NA,"7,377,716.0000","","11,592,334.5500","","16,537,085.0000","","9,896,414.0400",NA,"14,372,174.0000","","9,537,625.0000","","17,733,951.0000","","6,693,707.9200","","15,374,486.0000","2,538,732.0000","8,301,473.1900","12,168,244.7100","20,210,797.0000","3,572,698.9100","11,943,194.3400","18,120,311.7900","29,398,793.0000","6,636,114.0000","18,838,806.7700","23,756,495.8600","42,130,271.0000","4,278,033.0500","6,069,448.3200","1,692,634.6900","7,458,719.0000","4,144,791.5200","4,846,030.5200","2,971,913.1000","6,651,089.0000","365,317.2200","-2,047,958.0000","-8,389,224.0000","-15,821,157.0000","2,131,698.0000","831,302.0000","3,867,439.0000","5,539,471.0000","2,040,367.0000","873,185.0000","-62,353.0000","4,892,233.0000","298,267.0000","2,920,164.0000","4,332,978.0000","5,028,021.0000","1,408,534.0000","3,197,370.0000","4,444,096.0000","5,133,827.0000","1,319,698.0000","2,661,154.0000","4,132,506.0000","5,195,313.0000","1,356,082.0000","2,686,647.0000","4,573,279.0000","16,940,238.0000","1,591,655.0000","3,375,282.0000","5,513,962.0000","6,602,436.0000","2,129,177.0000","3,338,616.0000","515,586,512.1000","765,846,144.8800","184,256,200.3500","483,820,972.0700","771,790,133.2000","1,195,969,843.0500","266,511,498.4800","703,541,153.7500","1,025,563,637.0200","1,606,237,475.2500"
"43","000055.SZ","建筑装饰","","","","","","",NA,"","","","","28,093,968.2000","","26,219,106.8000","","70,836,445.1100","","73,260,510.3200",NA,"118,683,860.7200","","119,581,101.6300","","184,973,916.0000","","65,882,438.0000",NA,"110,148,766.0000","","53,803,094.0000","","120,588,910.0000","","69,643,833.0000","","61,994,989.0100","21,163,743.0000","16,562,138.0000","25,006,391.0000","100,591,261.7400","7,281,502.0000","38,961,180.0000","63,637,972.0000","103,107,003.1200","24,736,905.3100","49,974,247.0100","75,009,967.9000","107,652,659.7800","17,568,435.5000","34,845,626.9000","56,276,470.1900","42,854,689.0200","23,291,300.3900","39,452,004.7200","55,810,400.1100","69,049,193.5000","21,412,355.9300","36,544,793.7200","53,622,848.1600","88,968,311.6300","16,008,800.6100","47,795,031.9300","77,634,452.5600","118,889,120.9900","27,943,052.3400","60,635,057.8300","91,550,861.2700","140,819,204.8100","36,550,359.0300","76,943,726.9500","126,059,779.4600","187,868,755.1500","54,561,517.5000","110,098,900.9900","157,481,155.0600","234,035,854.2400","42,004,566.6100","101,452,569.6400","157,854,203.7600","228,931,986.8100","53,182,448.7300","138,700,981.3500","211,035,675.1700","298,979,327.4800","56,635,536.3100","142,986,835.0000","218,526,392.7600","324,632,009.5000","71,159,938.0200","192,091,024.9600","273,650,050.5500","345,326,737.8300","71,886,999.6200","171,790,702.0200","315,154,460.9300","1,227,860,983.9500","142,214,267.7900","392,240,737.5200","548,062,519.7600","757,441,995.3600"
"51","000065.SZ","建筑装饰","","","","","","",NA,"","","","","7,372,776.5800","","","","12,544,393.1100","","9,455,760.7500",NA,"13,013,795.7300","","9,619,746.2300","","22,508,952.8600","","12,830,965.0700",NA,"31,073,328.9800","","16,645,801.3200","","35,024,128.2800","","39,967,096.9600","","84,161,978.8800","16,534,300.0000","37,745,481.3800","54,302,000.0000","81,829,743.9800","13,786,945.6600","38,977,021.9500","54,531,464.5300","79,699,638.9000","15,810,887.3000","55,665,258.0700","67,110,317.0300","161,600,300.7500","17,843,868.9800","54,361,617.0400","74,787,064.0800","96,631,491.5900","26,230,161.7600","33,707,054.7600","66,689,576.3400","99,218,763.6700","29,733,879.5500","37,561,220.8700","40,449,478.9200","46,945,740.4100","11,880,034.6300","35,140,540.6900","55,651,218.6500","125,903,006.6600","14,978,824.7800","44,489,843.5600","64,757,982.0000","144,346,511.5600","27,752,099.9300","72,851,362.5000","105,976,251.5000","180,348,294.3300","9,749,466.0500","96,875,923.5900","148,825,196.7900","275,414,153.1500","1,698,580.3800","9,537,240.5800","11,080,343.7200","94,493,296.7700","14,429,917.0400","26,224,305.5000","73,831,743.4300","334,176,996.9600","54,249,007.6900","139,841,428.7200","215,837,267.5400","292,068,420.7500","40,065,428.1800","135,299,822.7300","153,831,706.7800","327,516,260.7500","96,429,325.3800","212,707,697.4600","320,714,463.8600","1,030,150,683.3000","227,428,483.5900","482,874,247.5000","875,128,235.4200","1,297,917,963.6500"
"101","000498.SZ","建筑装饰","","","","","","",NA,"64,515,680.5200","","","","80,607,415.0600","","","","42,286,610.2900","","28,727,425.4000",NA,"69,797,467.8900","","68,440,178.7200","","110,906,395.3300","","28,435,300.0900",NA,"65,732,232.3600","","29,749,985.0100","","63,505,103.8700","","17,950,706.0300","","-2,187,073.0900","-9,174,800.0000","-14,675,565.4600","-15,292,676.9400","-2,437,270.6700","13,389,512.4900","39,986,425.9100","58,150,802.9900","113,299,461.1100","56,083,582.4300","98,709,261.6500","120,906,547.4700","135,365,129.7100","15,010,501.3100","31,820,349.1500","-14,687,334.1600","-70,201,836.2200","7,902,529.1400","17,199,636.0600","8,701,627.6400","-6,810,002.9900","-18,663,065.1600","-36,016,123.9300","-54,174,624.2700","-20,538,198.9900","-19,561,651.8400","-34,633,258.0700","-55,036,852.9800","-32,149,635.2500","-20,968,081.3100","-32,063,160.8000","-54,781,177.6400","-54,445,747.4200","","","","","","","","","","","","609,818,497.9200","82,312,369.4100","249,075,501.3400","478,793,558.3200","707,057,796.3400","108,642,349.9500","298,523,192.8600","473,111,387.7900","775,474,330.6100","108,387,416.2400","328,188,578.9500","535,279,453.9800","928,840,086.8900","74,898,730.3400","331,077,255.3100","639,660,302.9600","1,132,784,045.0900","133,379,391.9000","587,853,623.8000","994,653,136.7000","1,533,625,565.3200"
"202","000628.SZ","建筑装饰","","","","26,028,440.9900","","",NA,"31,777,429.7300","","","","32,511,603.7200","","","","29,696,047.2500","","16,208,637.6700",NA,"38,379,594.7600","","41,024,250.6700","","86,512,024.9500","","42,495,877.7800",NA,"120,132,266.0400","","55,686,622.5800","","119,126,574.2900","","68,505,798.7100","","183,523,233.5000","28,133,326.7300","84,382,733.4800","115,518,984.9200","212,796,591.3400","28,479,687.7800","73,657,879.9300","98,488,289.2400","142,211,067.4200","45,255,864.6500","101,511,358.7500","144,243,349.5100","202,099,946.1800","49,018,907.9700","84,256,352.9200","135,559,625.2700","165,196,994.8800","27,569,277.2600","83,660,435.6600","118,510,419.9900","131,879,518.6200","31,050,831.1800","70,599,805.4700","122,085,693.4700","124,448,800.0200","47,529,799.8100","114,484,028.8600","164,443,175.3100","241,265,539.9300","42,712,867.1400","102,058,285.4700","158,773,802.0700","246,928,217.6600","55,056,983.5200","103,126,094.6500","165,075,734.2800","258,988,224.3100","50,826,850.8100","100,243,212.9000","153,098,130.7800","227,180,459.1300","54,045,348.0400","105,879,309.9000","155,592,142.0900","233,378,892.4700","41,076,018.6300","88,820,742.0700","140,258,354.1500","220,540,673.6200","38,202,424.7200","74,777,363.0900","118,129,024.9200","146,980,150.4500","32,319,080.9400","71,344,872.4900","106,877,273.1200","96,403,465.5000","32,574,213.4200","68,458,095.0500","115,783,655.9400","148,258,699.2500","30,281,872.8300","65,489,376.7100","100,767,918.6000","132,301,805.2400"
"407","000928.SZ","建筑装饰","","","","","","",NA,"","","","","97,123,340.6200","","","","153,706,233.8000","","",NA,"193,671,836.7600","","","","190,219,018.5600","","94,070,735.8500",NA,"172,310,475.1400","","75,466,419.1000","","128,547,980.9200","","70,646,018.0800","","128,069,572.7800","10,921,296.2900","34,846,378.7000","65,351,031.8800","92,200,339.8000","24,808,966.4200","48,996,721.3100","77,279,121.0200","116,653,394.4400","31,483,296.6800","68,190,148.1700","107,602,178.8700","154,781,334.4700","54,437,617.0500","103,027,588.2500","165,084,098.5400","197,476,018.1600","43,636,329.1100","82,398,623.2700","126,917,398.0800","171,573,930.8900","41,931,777.2200","115,527,059.9400","164,129,902.1600","226,344,275.0700","89,958,907.2900","225,442,711.4100","404,053,882.3000","487,482,609.2500","62,206,079.1500","100,376,866.2600","119,252,225.6400","140,333,638.9200","30,916,533.6300","83,784,682.6300","163,516,378.7500","232,003,211.0600","79,446,175.1800","155,319,216.0100","237,045,726.3700","295,932,271.1500","64,169,322.7100","105,270,128.1800","117,476,070.2700","112,800,001.2100","-6,681,496.1400","-37,328,989.1600","-97,732,883.2700","-117,041,209.4100","-45,498,854.3000","-83,424,473.9300","880,231,646.2400","1,242,337,613.3000","180,246,280.3400","590,615,726.3700","849,297,433.7300","1,334,671,657.6000","215,807,202.2800","562,937,554.4200","866,739,372.7300","1,656,569,410.4500","254,166,596.6100","484,427,165.9200","712,686,122.0100","1,013,236,272.2400"
"511","002047.SZ","建筑装饰","","","","","","",NA,"","","","","","","","","","","",NA,"","","","","","","",NA,"","","","","","","","","","","","","134,558,983.4200","","","","205,972,022.4400","","119,272,677.9300","186,105,342.6200","256,865,964.7700","65,190,091.9100","127,704,493.4000","188,963,767.0800","238,601,684.0200","64,209,999.8400","120,548,650.0600","161,186,019.5500","210,608,767.6800","48,578,624.0500","113,968,785.1800","167,644,436.3900","239,875,139.8900","59,476,892.2600","124,977,636.8400","180,986,714.9200","276,681,112.4200","46,854,108.4400","116,318,467.6600","214,756,904.7800","302,829,314.9500","51,109,795.5500","122,980,343.1800","180,929,486.8600","234,039,933.0700","34,064,343.3100","70,964,942.2700","101,653,871.6200","148,460,618.5100","33,711,933.4800","88,081,749.4500","134,242,426.6800","200,586,416.5300","47,894,863.9600","108,404,600.2100","160,230,810.6500","505,613,163.5000","111,773,193.5600","269,117,502.5800","424,300,005.3400","674,913,493.1300","143,473,921.0600","374,529,305.8300","617,586,068.5900","975,468,980.9600","172,518,982.9700","452,304,346.7000","742,073,093.4900","1,105,217,500.9200","191,126,551.1400","500,765,823.4200","724,948,092.8900","1,085,745,068.9800"
"515","002051.SZ","建筑装饰","","","","","","",NA,"","","","","","","","","","","",NA,"","","","","","","",NA,"","","","","","","","","","","","","","","","","155,871,103.7000","","","","157,862,621.9900","","88,233,299.0800","104,546,757.2400","169,520,729.7300","21,382,947.5400","67,720,358.8000","104,340,286.5800","192,712,499.6700","93,056,898.4200","108,674,603.7900","127,372,562.6000","133,361,892.9500","59,026,339.2300","132,099,788.1600","148,689,482.6300","220,075,025.1900","77,185,869.4800","154,737,754.5400","185,608,488.0600","322,540,226.5100","82,688,951.9200","172,642,735.3400","286,883,758.2900","854,078,383.3400","112,879,957.1300","247,716,649.9200","558,271,088.4300","907,390,484.5100","198,886,458.6100","513,848,026.8600","985,411,780.1700","1,449,086,933.9400","288,285,171.3300","612,081,651.7800","980,355,258.4000","1,605,337,023.0700","341,038,900.6200","733,704,458.9100","1,095,050,796.9300","1,655,642,228.4800","250,579,312.0300","630,148,809.7800","899,551,309.5100","1,696,543,399.9500","333,435,980.1600","526,950,192.8000","908,219,191.8700","1,748,402,225.3200","322,790,448.5400","972,828,336.7600","1,714,248,653.6000","2,840,432,654.3900"
"524","002060.SZ","建筑装饰","","","","","","",NA,"","","","","","","","","","","",NA,"","","","","","","",NA,"","","","","","","","","","","","","","","","","128,726,342.7500","","","","138,234,933.0700","","79,742,054.3200","99,931,796.9700","146,211,447.6700","29,535,211.4100","79,881,241.3800","114,934,347.4500","163,278,037.5200","35,216,598.5700","73,701,549.5800","117,449,237.4300","166,362,875.4200","48,042,606.2500","114,772,741.9900","163,283,144.9000","201,551,850.6700","47,680,096.4700","117,727,921.8800","169,360,898.8900","241,716,388.4000","56,659,652.9500","141,673,900.3500","213,826,530.5700","300,982,515.3500","77,320,658.2600","170,451,020.1700","216,893,412.9300","258,440,352.9900","61,140,346.7600","142,342,699.4400","225,864,373.4800","320,985,773.9800","72,398,698.5500","198,893,042.6000","298,617,268.0500","461,915,264.9600","111,433,478.8400","237,437,220.5300","326,339,295.4500","490,948,923.1600","115,332,102.8100","284,803,090.3900","410,728,219.5500","640,028,473.5700","135,169,137.5100","296,228,838.7900","397,448,694.7600","674,495,416.7400","145,527,976.9900","349,873,467.2700","513,792,344.9300","832,860,147.0600"
