"","证券代码","申万一级行业","主营业务利润..报告期..1993一季..报表类型..合并报表..单位..元","主营业务利润..报告期..1993中报..报表类型..合并报表..单位..元","主营业务利润..报告期..1993三季..报表类型..合并报表..单位..元","主营业务利润..报告期..1993年报..报表类型..合并报表..单位..元","主营业务利润..报告期..1994一季..报表类型..合并报表..单位..元","主营业务利润..报告期..1994中报..报表类型..合并报表..单位..元","主营业务利润..报告期..1994三季..报表类型..合并报表..单位..元","主营业务利润..报告期..1994年报..报表类型..合并报表..单位..元","主营业务利润..报告期..1995一季..报表类型..合并报表..单位..元","主营业务利润..报告期..1995中报..报表类型..合并报表..单位..元","主营业务利润..报告期..1995三季..报表类型..合并报表..单位..元","主营业务利润..报告期..1995年报..报表类型..合并报表..单位..元","主营业务利润..报告期..1996一季..报表类型..合并报表..单位..元","主营业务利润..报告期..1996中报..报表类型..合并报表..单位..元","主营业务利润..报告期..1996三季..报表类型..合并报表..单位..元","主营业务利润..报告期..1996年报..报表类型..合并报表..单位..元","主营业务利润..报告期..1997一季..报表类型..合并报表..单位..元","主营业务利润..报告期..1997中报..报表类型..合并报表..单位..元","主营业务利润..报告期..1997三季..报表类型..合并报表..单位..元","主营业务利润..报告期..1997年报..报表类型..合并报表..单位..元","主营业务利润..报告期..1998一季..报表类型..合并报表..单位..元","主营业务利润..报告期..1998中报..报表类型..合并报表..单位..元","主营业务利润..报告期..1998三季..报表类型..合并报表..单位..元","主营业务利润..报告期..1998年报..报表类型..合并报表..单位..元","主营业务利润..报告期..1999一季..报表类型..合并报表..单位..元","主营业务利润..报告期..1999中报..报表类型..合并报表..单位..元","主营业务利润..报告期..1999三季..报表类型..合并报表..单位..元","主营业务利润..报告期..1999年报..报表类型..合并报表..单位..元","主营业务利润..报告期..2000一季..报表类型..合并报表..单位..元","主营业务利润..报告期..2000中报..报表类型..合并报表..单位..元","主营业务利润..报告期..2000三季..报表类型..合并报表..单位..元","主营业务利润..报告期..2000年报..报表类型..合并报表..单位..元","主营业务利润..报告期..2001一季..报表类型..合并报表..单位..元","主营业务利润..报告期..2001中报..报表类型..合并报表..单位..元","主营业务利润..报告期..2001三季..报表类型..合并报表..单位..元","主营业务利润..报告期..2001年报..报表类型..合并报表..单位..元","主营业务利润..报告期..2002一季..报表类型..合并报表..单位..元","主营业务利润..报告期..2002中报..报表类型..合并报表..单位..元","主营业务利润..报告期..2002三季..报表类型..合并报表..单位..元","主营业务利润..报告期..2002年报..报表类型..合并报表..单位..元","主营业务利润..报告期..2003一季..报表类型..合并报表..单位..元","主营业务利润..报告期..2003中报..报表类型..合并报表..单位..元","主营业务利润..报告期..2003三季..报表类型..合并报表..单位..元","主营业务利润..报告期..2003年报..报表类型..合并报表..单位..元","主营业务利润..报告期..2004一季..报表类型..合并报表..单位..元","主营业务利润..报告期..2004中报..报表类型..合并报表..单位..元","主营业务利润..报告期..2004三季..报表类型..合并报表..单位..元","主营业务利润..报告期..2004年报..报表类型..合并报表..单位..元","主营业务利润..报告期..2005一季..报表类型..合并报表..单位..元","主营业务利润..报告期..2005中报..报表类型..合并报表..单位..元","主营业务利润..报告期..2005三季..报表类型..合并报表..单位..元","主营业务利润..报告期..2005年报..报表类型..合并报表..单位..元","主营业务利润..报告期..2006一季..报表类型..合并报表..单位..元","主营业务利润..报告期..2006中报..报表类型..合并报表..单位..元","主营业务利润..报告期..2006三季..报表类型..合并报表..单位..元","主营业务利润..报告期..2006年报..报表类型..合并报表..单位..元","主营业务利润..报告期..2007一季..报表类型..合并报表..单位..元","主营业务利润..报告期..2007中报..报表类型..合并报表..单位..元","主营业务利润..报告期..2007三季..报表类型..合并报表..单位..元","主营业务利润..报告期..2007年报..报表类型..合并报表..单位..元","主营业务利润..报告期..2008一季..报表类型..合并报表..单位..元","主营业务利润..报告期..2008中报..报表类型..合并报表..单位..元","主营业务利润..报告期..2008三季..报表类型..合并报表..单位..元","主营业务利润..报告期..2008年报..报表类型..合并报表..单位..元","主营业务利润..报告期..2009一季..报表类型..合并报表..单位..元","主营业务利润..报告期..2009中报..报表类型..合并报表..单位..元","主营业务利润..报告期..2009三季..报表类型..合并报表..单位..元","主营业务利润..报告期..2009年报..报表类型..合并报表..单位..元","主营业务利润..报告期..2010一季..报表类型..合并报表..单位..元","主营业务利润..报告期..2010中报..报表类型..合并报表..单位..元","主营业务利润..报告期..2010三季..报表类型..合并报表..单位..元","主营业务利润..报告期..2010年报..报表类型..合并报表..单位..元","主营业务利润..报告期..2011一季..报表类型..合并报表..单位..元","主营业务利润..报告期..2011中报..报表类型..合并报表..单位..元","主营业务利润..报告期..2011三季..报表类型..合并报表..单位..元","主营业务利润..报告期..2011年报..报表类型..合并报表..单位..元","主营业务利润..报告期..2012一季..报表类型..合并报表..单位..元","主营业务利润..报告期..2012中报..报表类型..合并报表..单位..元","主营业务利润..报告期..2012三季..报表类型..合并报表..单位..元","主营业务利润..报告期..2012年报..报表类型..合并报表..单位..元","主营业务利润..报告期..2013一季..报表类型..合并报表..单位..元","主营业务利润..报告期..2013中报..报表类型..合并报表..单位..元","主营业务利润..报告期..2013三季..报表类型..合并报表..单位..元","主营业务利润..报告期..2013年报..报表类型..合并报表..单位..元","主营业务利润..报告期..2014一季..报表类型..合并报表..单位..元","主营业务利润..报告期..2014中报..报表类型..合并报表..单位..元","主营业务利润..报告期..2014三季..报表类型..合并报表..单位..元","主营业务利润..报告期..2014年报..报表类型..合并报表..单位..元","主营业务利润..报告期..2015一季..报表类型..合并报表..单位..元","主营业务利润..报告期..2015中报..报表类型..合并报表..单位..元","主营业务利润..报告期..2015三季..报表类型..合并报表..单位..元","主营业务利润..报告期..2015年报..报表类型..合并报表..单位..元","主营业务利润..报告期..2016一季..报表类型..合并报表..单位..元","主营业务利润..报告期..2016中报..报表类型..合并报表..单位..元","主营业务利润..报告期..2016三季..报表类型..合并报表..单位..元","主营业务利润..报告期..2016年报..报表类型..合并报表..单位..元","主营业务利润..报告期..2017一季..报表类型..合并报表..单位..元","主营业务利润..报告期..2017中报..报表类型..合并报表..单位..元","主营业务利润..报告期..2017三季..报表类型..合并报表..单位..元","主营业务利润..报告期..2017年报..报表类型..合并报表..单位..元"
"7","000008.SZ","机械设备","","","","-6,822,520.2500","","405,924.6400",NA,"-3,562,728.2100","","-482,568.7900","","-6,134,204.5500","","-8,914,017.0600","","-15,140,824.9700","","-8,328,528.9800",NA,"-10,966,266.6400","","3,455,097.5400","","12,760,423.0000","","5,721,464.8200",NA,"44,492,594.0000","","33,834,749.0000","","43,596,089.0000","","3,083,597.0000","","5,416,292.8300","823,858.7400","1,390,913.0000","2,151,068.3900","3,088,065.5400","742,667.3300","1,057,373.5500","2,614,301.9900","4,059,392.9300","975,159.0100","2,031,993.0700","3,097,945.0300","7,712,198.6400","1,089,030.6900","1,773,155.8600","4,158,059.8600","9,102,010.3500","595,403.8800","758,076.6500","1,251,935.0600","1,805,529.3600","574,941.4100","258,026.0300","583,150.2600","1,275,801.5600","535,258.4900","1,050,821.0100","1,474,787.0200","2,148,107.8600","617,964.3700","1,012,216.7600","1,691,316.2400","2,284,573.3000","656,506.2200","1,141,098.1100","1,878,636.7000","2,282,456.6600","682,353.9000","1,426,802.0300","2,072,992.3600","2,697,504.7900","628,089.9600","1,080,629.7300","1,624,262.9400","139,663,202.2300","26,347,394.8500","56,043,393.9100","85,749,481.9900","116,652,598.6700","26,181,607.6900","54,598,505.0800","87,666,491.2400","117,187,112.2100","99,635,040.9200","207,096,793.6800","336,161,490.4900","586,711,008.8700","96,238,709.3000","289,504,233.1200","497,638,544.6000","960,042,350.7700","74,795,331.5900","255,311,855.7100","477,357,183.7600","1,106,253,517.4200"
"34","000039.SZ","机械设备","","","","72,497,523.9500","","50,046,982.0600",NA,"105,993,993.5900","","61,826,439.1300","","162,070,287.8400","","60,918,251.5200","","132,473,137.6100","","105,920,076.4100",NA,"230,665,454.4200","","362,003,682.0100","","858,844,913.7200","","323,512,370.0800",NA,"819,409,228.4200","","626,592,112.4500","","1,563,378,158.5100","","890,938,845.8100","1,260,942,644.2500","1,569,408,693.3700","177,910,000.0000","506,726,818.0600","881,708,525.7600","1,225,857,109.4700","315,136,155.2400","788,802,964.2100","1,318,206,096.3100","1,884,414,911.8400","461,697,409.4800","1,747,649,353.2500","3,032,583,671.1200","4,511,354,979.2900","1,491,940,282.7800","3,321,535,505.6700","4,440,824,303.7300","5,060,121,715.3600","626,956,013.4400","1,819,598,981.6500","3,500,319,040.5900","4,448,380,162.5900","1,243,316,992.9900","2,633,113,878.6200","3,699,741,996.0800","4,901,624,000.0000","1,228,325,999.9000","3,098,721,000.0000","4,507,735,000.0000","5,425,501,000.0000","664,930,000.0000","1,322,574,000.0000","1,843,302,000.0000","3,022,089,000.0000","726,690,000.0000","2,971,972,000.0000","6,028,177,000.0000","8,093,609,000.0000","3,290,003,000.0000","6,905,044,000.0000","9,192,096,000.0000","11,555,599,000.0000","1,821,254,000.0000","4,188,498,000.0000","6,757,515,000.0000","9,226,760,000.0000","1,750,995,000.0000","4,277,601,000.0000","6,271,314,000.0000","9,124,483,000.0000","1,730,038,000.0000","5,008,932,000.0000","7,537,614,000.0000","10,898,727,000.0000","2,108,218,000.0000","4,969,798,000.0000","7,287,867,000.0000","10,171,531,000.0000","2,007,045,000.0000","4,222,111,000.0000","6,356,562,000.0000","9,126,536,000.0000","2,600,079,000.0000","5,929,405,000.0000","9,603,398,000.0000","13,490,492,000.0000"
"68","000157.SZ","机械设备","","","","","","",NA,"","","","","","","","","","","",NA,"40,462,270.8600","","","","61,747,637.2200","","",NA,"86,473,049.4800","","51,328,341.2300","","105,920,088.1300","","80,679,237.6300","124,772,010.4200","171,953,975.4300","37,477,546.2800","126,276,815.9800","190,502,763.1800","261,910,250.2600","62,355,674.0200","181,407,193.9500","295,723,063.4600","420,737,758.2600","208,927,339.8500","501,606,912.6000","695,743,644.7900","886,091,933.7600","183,105,138.2500","413,573,912.8700","619,572,957.7000","848,044,245.3800","212,057,053.8400","579,135,480.6600","878,009,074.0200","1,222,598,895.7000","389,518,168.0400","980,780,615.5500","1,689,744,730.7600","2,540,563,442.4200","815,268,787.7900","1,842,225,989.3700","2,787,400,334.9100","3,674,844,082.0200","873,655,830.6900","2,354,167,524.1600","3,760,436,023.4500","5,231,890,426.0800","1,523,753,390.1000","4,571,925,930.6800","6,682,037,892.3600","9,591,511,511.4600","3,313,525,534.0000","7,696,120,834.8800","10,487,871,345.1300","14,742,927,043.7300","3,665,704,081.6600","9,765,421,318.2100","13,280,937,603.0300","15,264,644,878.6100","2,082,006,558.5200","6,353,632,344.0000","8,861,855,299.9000","10,970,830,153.5800","1,654,085,870.2500","3,939,123,377.8700","5,515,397,913.4700","6,981,470,427.0900","924,654,549.2800","2,471,850,141.1700","3,726,094,308.3900","5,504,631,897.3600","765,002,780.6500","2,151,961,800.4800","3,488,807,317.7800","4,552,426,665.3300","1,341,567,060.8700","2,312,659,407.3100","3,595,119,646.6400","4,667,688,215.1200"
"83","000410.SZ","机械设备","","","","47,154,118.3100","","",NA,"40,687,735.0300","","","","38,669,618.1700","12,665,976.8200","20,670,497.6900","","60,392,468.8400","","4,539,464.3100",NA,"42,395,606.5100","","61,807,686.9800","","149,243,175.2900","","50,662,687.8100",NA,"89,655,928.4100","","58,188,729.7200","","132,085,284.9800","","97,666,223.1500","","211,415,638.4800","38,530,000.0000","94,721,580.1900","151,006,616.4300","241,478,943.8700","84,202,191.8700","179,910,444.3200","277,393,575.0900","387,833,720.1000","132,368,229.4500","300,827,493.6300","446,679,538.7500","590,674,512.8100","157,903,426.5400","394,122,738.9900","597,877,144.7000","883,986,856.2700","194,731,547.1400","474,240,922.2500","736,620,710.5400","1,032,339,341.5200","192,573,761.2500","433,358,264.9300","649,963,729.9800","1,018,101,340.3400","233,819,864.1000","449,517,369.1800","723,089,866.2700","984,503,513.7200","171,546,929.8400","380,589,115.7800","672,612,466.4200","1,254,182,789.6000","413,710,585.1400","828,030,839.5900","1,227,083,505.0000","1,696,852,355.9800","490,254,741.1800","1,035,731,721.8800","1,523,737,920.6700","2,053,327,074.4500","475,078,888.9800","994,129,401.3500","1,388,521,498.3100","1,936,695,366.8200","422,284,826.3700","938,151,902.4900","1,267,851,142.0400","1,815,283,104.5400","443,414,009.6300","965,270,177.5200","1,410,621,711.7300","2,050,999,753.0400","326,573,672.9100","688,080,120.6300","1,049,589,000.7500","1,677,611,440.5600","409,028,563.5100","717,725,142.9400","950,303,987.2100","1,413,446,573.4400","214,691,192.6500","587,036,447.1500","806,575,375.0700","1,058,555,881.4600"
"95","000425.SZ","机械设备","","","","","","",NA,"","","","","24,197,876.9400","","14,600,120.0000","","31,971,494.7600","","24,646,650.6100",NA,"43,496,767.8800","","29,386,707.4200","","204,323,045.8000","","148,063,693.1300",NA,"258,327,014.9700","","149,098,215.0000","","268,917,727.9000","","151,450,964.9100","","288,044,328.0500","59,804,684.1300","164,938,324.5600","255,235,771.2100","352,208,459.4800","96,119,744.5200","271,560,605.2700","385,560,966.3900","491,820,798.3500","161,162,881.0900","318,184,566.3300","393,612,768.2200","477,991,416.5000","61,053,520.5700","142,970,656.6000","213,791,215.3900","261,446,747.8500","62,123,444.4500","144,347,830.3300","194,359,916.3200","261,530,314.6300","50,254,739.6100","133,606,048.2100","194,849,368.1700","237,014,830.2700","46,570,383.2900","129,055,137.5500","187,425,856.8900","261,793,535.8100","70,206,162.5000","215,987,890.4000","2,822,500,330.7400","3,925,613,034.8300","1,108,426,057.2000","2,662,988,357.0400","3,851,762,053.4000","5,382,404,963.8900","1,977,538,649.4500","4,149,126,602.1000","5,442,320,199.9300","6,698,572,821.4800","1,635,334,248.9300","3,651,686,928.4200","5,112,767,444.4100","6,836,588,856.6800","1,405,338,848.3100","2,961,312,396.1200","3,965,423,244.7400","5,753,979,004.6000","1,420,591,903.2900","2,728,385,201.5500","3,609,355,861.0800","5,161,831,929.2900","881,494,298.6400","1,825,325,697.0200","2,599,788,310.5600","3,288,174,909.6300","661,020,862.1600","1,583,847,517.3800","2,397,471,946.7500","3,196,141,521.5800","1,031,077,967.4400","2,672,164,554.1500","4,167,738,019.5700","5,317,964,627.7900"
"123","000528.SZ","机械设备","","","","248,599,564.0000","","21,656,355.1000",NA,"43,243,112.0000","","22,954,873.9100","","44,750,237.0000","","20,428,288.4700","","27,470,898.8900","","28,477,578.9900",NA,"36,254,231.2300","","60,267,579.3100","","125,927,712.8100","","74,316,233.0400",NA,"132,048,922.0400","","77,490,990.3300","","134,981,839.6100","","87,140,162.5600","","162,130,414.3400","60,764,806.0800","174,832,156.9200","267,286,075.9700","352,380,058.5400","121,125,553.5500","314,500,861.0800","437,001,865.6400","502,149,243.3900","193,323,187.4700","415,978,097.8200","503,665,542.0500","604,855,486.3700","170,434,239.6500","357,139,805.6200","475,247,068.4800","655,398,599.5900","218,120,832.9700","510,198,829.5200","712,412,963.4100","929,813,232.0100","299,510,942.3100","730,936,823.5000","1,053,981,379.5800","1,420,344,582.3100","411,273,912.8100","948,948,882.3000","1,230,939,028.0300","1,460,397,520.7500","436,981,956.8500","998,224,090.4800","1,478,768,409.5400","2,102,070,281.6200","830,065,235.7800","1,857,201,480.5000","2,598,534,425.9500","3,384,269,309.9900","1,215,059,517.8000","2,121,285,074.5000","2,737,788,332.8100","3,319,568,710.8100","511,482,117.6800","1,193,399,570.6000","1,603,465,828.9400","2,038,985,483.1500","600,038,387.9200","1,334,500,954.1300","1,857,351,057.2500","2,535,203,838.8800","659,649,856.2400","1,227,800,120.9300","1,711,172,260.7300","2,200,981,744.0400","462,317,521.1400","902,533,620.0600","1,230,698,934.4000","1,656,030,801.7400","470,838,635.3600","868,185,530.9500","1,211,353,843.1700","1,671,752,067.2200","552,095,999.6500","1,240,818,961.8500","1,821,736,283.3900","2,502,070,331.1100"
"125","000530.SZ","机械设备","","","","27,650,035.0900","","22,104,279.4000",NA,"42,837,960.8100","","26,353,964.4400","","47,307,014.0000","","27,030,687.8400","","46,543,274.7100","","34,093,313.8400",NA,"54,482,659.5800","","73,898,229.0200","","119,140,052.3600","","57,641,661.1500",NA,"133,163,266.1500","","70,334,057.4900","","139,507,129.7900","","77,559,754.3100","114,124,053.0000","134,830,510.1800","42,797,197.8800","88,746,983.5900","121,021,236.3400","143,153,581.0000","41,648,935.1600","92,836,529.4200","129,002,245.7700","175,065,126.2600","45,903,402.3800","99,425,139.4200","139,035,392.6700","170,137,279.1900","48,229,928.6500","130,743,272.9800","199,342,466.0200","253,244,378.0500","69,906,282.3800","140,198,486.5800","210,724,173.2100","305,330,900.3800","61,705,692.5900","144,624,621.6800","208,972,798.6200","285,424,557.4900","64,844,110.3600","144,530,608.4800","209,532,563.1200","279,061,242.2100","46,300,672.8000","118,896,069.0000","179,445,997.7700","264,207,435.6100","60,182,584.9700","136,903,958.2300","207,088,991.9900","295,538,498.6100","72,285,223.2800","171,908,355.6800","255,274,907.0600","372,895,366.4300","73,914,765.6500","167,927,641.5200","236,765,049.0900","363,355,754.2000","69,327,066.1200","165,472,383.3900","254,416,879.2200","355,310,213.1700","73,338,201.8500","158,492,393.5600","234,276,972.8000","327,455,386.2000","67,653,330.3700","143,926,083.8500","204,157,646.5400","285,086,375.1700","64,039,353.0700","140,365,569.7000","210,212,471.5000","303,143,928.9600","68,951,498.8900","176,919,645.5000","269,518,070.7900","416,507,729.4000"
"143","000551.SZ","机械设备","","","","40,552,038.4100","","",NA,"-12,248,993.5200","","6,665,900.0000","","1,024,796.8000","","-371,092.9200","","26,598,984.1400","","10,698,095.0200",NA,"1,745,059.9900","","26,168,614.3500","","33,112,250.2300","","9,729,900.4500",NA,"6,191,928.3700","","22,301,775.5400","","68,035,747.8300","","71,789,490.3500","","129,788,364.9700","34,899,185.2700","72,588,954.6000","106,916,355.6900","142,549,255.9400","40,642,448.0600","79,171,164.0500","115,613,765.8200","144,974,011.0400","73,761,504.8300","144,951,767.5400","220,385,230.0300","297,690,883.6800","71,182,630.3900","147,634,118.7800","223,458,310.0000","312,899,560.2600","83,427,797.0300","172,397,726.4100","255,884,993.3800","345,963,319.9200","88,122,692.7600","191,374,238.6600","293,662,881.8200","393,101,796.4000","104,388,103.9100","218,681,372.4400","325,005,901.8200","410,611,983.5500","83,973,117.9600","177,858,461.7900","273,073,405.1700","373,061,608.4900","85,278,253.4800","185,936,781.4900","281,774,806.2200","438,516,461.9500","119,094,692.6700","255,256,302.5300","381,502,645.1600","493,221,041.3100","99,483,457.0700","210,050,274.3500","318,781,433.7800","435,333,481.5600","111,687,995.3800","241,993,002.4700","374,485,541.7300","523,483,347.4500","131,984,053.3900","283,692,733.3500","426,242,626.7800","556,251,541.1000","127,663,792.6800","258,204,179.8400","382,338,935.3400","517,909,788.0600","133,718,524.9100","287,468,153.7800","437,071,600.8700","563,033,055.6600","155,359,772.5700","323,947,557.0900","473,929,563.6100","636,400,559.9700"
"159","000570.SZ","机械设备","","","28,617,000.0000","20,050,137.1400","","",NA,"49,082,448.2700","","102,080,682.9000","","248,079,142.8000","","152,072,557.0800","","283,962,730.9300","","130,396,377.8600",NA,"170,862,930.1000","","207,194,960.8300","","425,024,991.9500","","301,593,064.7300",NA,"501,263,977.0800","","230,894,761.4300","","344,613,935.0000","","156,855,931.0000","","164,045,529.0000","51,213,400.0000","95,103,066.0000","137,391,842.0000","174,940,006.7800","69,619,020.0000","106,119,839.0000","157,229,715.0000","221,739,637.2800","58,640,721.9100","85,262,302.2600","132,627,593.0500","191,609,195.5800","58,353,486.0700","99,660,338.2900","151,461,288.4800","237,406,191.2400","69,048,322.3200","128,156,517.1000","193,097,894.8800","251,608,962.7000","48,049,920.3700","145,113,863.7300","193,759,419.4400","230,175,031.1900","65,231,944.8800","115,753,700.0600","152,977,354.5900","157,285,018.1600","67,104,630.0100","163,562,891.3000","254,222,729.5100","347,069,754.8100","116,704,023.9200","198,772,884.3800","276,801,896.9900","356,355,325.1100","73,342,223.3700","138,480,878.7700","197,832,439.2800","286,915,492.5500","59,796,449.3200","126,366,844.6000","191,352,605.2300","305,320,766.3700","91,683,882.2800","164,464,450.8100","241,263,132.5700","396,566,168.1100","83,878,168.1900","154,076,155.6900","223,908,937.4400","331,980,681.4400","68,697,168.6500","178,542,785.5300","299,613,451.2800","401,950,598.1800","95,470,297.2300","177,048,929.8500","272,353,123.4800","403,406,275.5600","81,852,887.2400","159,681,730.0400","238,762,053.6400","336,276,683.0700"
"166","000584.SZ","机械设备","","","","30,580,932.3300","","",NA,"","","4,545,887.5800","","6,621,225.6900","","2,323,385.4400","","-19,650,415.8000","","362,080.1900",NA,"48,184,564.5200","","32,878,229.2500","","46,124,529.5600","","-5,483,944.4800",NA,"18,816,566.1300","","24,349,884.4500","","39,856,163.0100","","22,842,321.8800","","49,211,833.6100","10,336,029.7800","19,875,101.1500","33,691,476.2300","45,925,363.0400","7,216,133.6800","20,335,407.7700","36,190,445.1100","65,117,167.8900","16,393,878.8900","38,912,251.2800","55,420,002.1600","80,704,659.1700","14,491,286.8100","26,525,142.8000","31,568,592.2900","59,522,643.1500","9,848,293.4400","27,371,404.1500","38,346,253.0100","61,287,771.3400","38,654,038.4800","217,331,696.4700","336,089,287.0500","443,790,845.8400","72,016,992.6000","94,383,418.1400","132,167,564.1900","170,189,351.6700","5,417,981.8700","31,041,096.7600","52,596,357.1600","86,490,820.1000","58,954,187.3600","144,824,942.3300","203,589,804.5700","289,524,177.9600","72,163,599.5200","94,968,212.2500","96,734,754.5000","90,595,865.5000","-4,954,702.5000","-2,417,226.5600","335,120.0400","147,671,534.1700","182,804,477.5600","426,058,376.6600","563,748,575.4800","660,220,294.0600","97,484,338.9800","262,567,557.3600","356,341,583.2900","437,808,734.0500","91,720,228.7300","134,160,811.0000","146,678,347.8700","156,789,030.4400","1,600,588.0300","27,919,612.5700","47,766,482.1600","18,742,917.3200","21,546,178.7500","87,784,508.3800","152,925,425.4400","271,450,021.2500"
