"","证券代码","申万一级行业","主营业务利润..报告期..1993一季..报表类型..合并报表..单位..元","主营业务利润..报告期..1993中报..报表类型..合并报表..单位..元","主营业务利润..报告期..1993三季..报表类型..合并报表..单位..元","主营业务利润..报告期..1993年报..报表类型..合并报表..单位..元","主营业务利润..报告期..1994一季..报表类型..合并报表..单位..元","主营业务利润..报告期..1994中报..报表类型..合并报表..单位..元","主营业务利润..报告期..1994三季..报表类型..合并报表..单位..元","主营业务利润..报告期..1994年报..报表类型..合并报表..单位..元","主营业务利润..报告期..1995一季..报表类型..合并报表..单位..元","主营业务利润..报告期..1995中报..报表类型..合并报表..单位..元","主营业务利润..报告期..1995三季..报表类型..合并报表..单位..元","主营业务利润..报告期..1995年报..报表类型..合并报表..单位..元","主营业务利润..报告期..1996一季..报表类型..合并报表..单位..元","主营业务利润..报告期..1996中报..报表类型..合并报表..单位..元","主营业务利润..报告期..1996三季..报表类型..合并报表..单位..元","主营业务利润..报告期..1996年报..报表类型..合并报表..单位..元","主营业务利润..报告期..1997一季..报表类型..合并报表..单位..元","主营业务利润..报告期..1997中报..报表类型..合并报表..单位..元","主营业务利润..报告期..1997三季..报表类型..合并报表..单位..元","主营业务利润..报告期..1997年报..报表类型..合并报表..单位..元","主营业务利润..报告期..1998一季..报表类型..合并报表..单位..元","主营业务利润..报告期..1998中报..报表类型..合并报表..单位..元","主营业务利润..报告期..1998三季..报表类型..合并报表..单位..元","主营业务利润..报告期..1998年报..报表类型..合并报表..单位..元","主营业务利润..报告期..1999一季..报表类型..合并报表..单位..元","主营业务利润..报告期..1999中报..报表类型..合并报表..单位..元","主营业务利润..报告期..1999三季..报表类型..合并报表..单位..元","主营业务利润..报告期..1999年报..报表类型..合并报表..单位..元","主营业务利润..报告期..2000一季..报表类型..合并报表..单位..元","主营业务利润..报告期..2000中报..报表类型..合并报表..单位..元","主营业务利润..报告期..2000三季..报表类型..合并报表..单位..元","主营业务利润..报告期..2000年报..报表类型..合并报表..单位..元","主营业务利润..报告期..2001一季..报表类型..合并报表..单位..元","主营业务利润..报告期..2001中报..报表类型..合并报表..单位..元","主营业务利润..报告期..2001三季..报表类型..合并报表..单位..元","主营业务利润..报告期..2001年报..报表类型..合并报表..单位..元","主营业务利润..报告期..2002一季..报表类型..合并报表..单位..元","主营业务利润..报告期..2002中报..报表类型..合并报表..单位..元","主营业务利润..报告期..2002三季..报表类型..合并报表..单位..元","主营业务利润..报告期..2002年报..报表类型..合并报表..单位..元","主营业务利润..报告期..2003一季..报表类型..合并报表..单位..元","主营业务利润..报告期..2003中报..报表类型..合并报表..单位..元","主营业务利润..报告期..2003三季..报表类型..合并报表..单位..元","主营业务利润..报告期..2003年报..报表类型..合并报表..单位..元","主营业务利润..报告期..2004一季..报表类型..合并报表..单位..元","主营业务利润..报告期..2004中报..报表类型..合并报表..单位..元","主营业务利润..报告期..2004三季..报表类型..合并报表..单位..元","主营业务利润..报告期..2004年报..报表类型..合并报表..单位..元","主营业务利润..报告期..2005一季..报表类型..合并报表..单位..元","主营业务利润..报告期..2005中报..报表类型..合并报表..单位..元","主营业务利润..报告期..2005三季..报表类型..合并报表..单位..元","主营业务利润..报告期..2005年报..报表类型..合并报表..单位..元","主营业务利润..报告期..2006一季..报表类型..合并报表..单位..元","主营业务利润..报告期..2006中报..报表类型..合并报表..单位..元","主营业务利润..报告期..2006三季..报表类型..合并报表..单位..元","主营业务利润..报告期..2006年报..报表类型..合并报表..单位..元","主营业务利润..报告期..2007一季..报表类型..合并报表..单位..元","主营业务利润..报告期..2007中报..报表类型..合并报表..单位..元","主营业务利润..报告期..2007三季..报表类型..合并报表..单位..元","主营业务利润..报告期..2007年报..报表类型..合并报表..单位..元","主营业务利润..报告期..2008一季..报表类型..合并报表..单位..元","主营业务利润..报告期..2008中报..报表类型..合并报表..单位..元","主营业务利润..报告期..2008三季..报表类型..合并报表..单位..元","主营业务利润..报告期..2008年报..报表类型..合并报表..单位..元","主营业务利润..报告期..2009一季..报表类型..合并报表..单位..元","主营业务利润..报告期..2009中报..报表类型..合并报表..单位..元","主营业务利润..报告期..2009三季..报表类型..合并报表..单位..元","主营业务利润..报告期..2009年报..报表类型..合并报表..单位..元","主营业务利润..报告期..2010一季..报表类型..合并报表..单位..元","主营业务利润..报告期..2010中报..报表类型..合并报表..单位..元","主营业务利润..报告期..2010三季..报表类型..合并报表..单位..元","主营业务利润..报告期..2010年报..报表类型..合并报表..单位..元","主营业务利润..报告期..2011一季..报表类型..合并报表..单位..元","主营业务利润..报告期..2011中报..报表类型..合并报表..单位..元","主营业务利润..报告期..2011三季..报表类型..合并报表..单位..元","主营业务利润..报告期..2011年报..报表类型..合并报表..单位..元","主营业务利润..报告期..2012一季..报表类型..合并报表..单位..元","主营业务利润..报告期..2012中报..报表类型..合并报表..单位..元","主营业务利润..报告期..2012三季..报表类型..合并报表..单位..元","主营业务利润..报告期..2012年报..报表类型..合并报表..单位..元","主营业务利润..报告期..2013一季..报表类型..合并报表..单位..元","主营业务利润..报告期..2013中报..报表类型..合并报表..单位..元","主营业务利润..报告期..2013三季..报表类型..合并报表..单位..元","主营业务利润..报告期..2013年报..报表类型..合并报表..单位..元","主营业务利润..报告期..2014一季..报表类型..合并报表..单位..元","主营业务利润..报告期..2014中报..报表类型..合并报表..单位..元","主营业务利润..报告期..2014三季..报表类型..合并报表..单位..元","主营业务利润..报告期..2014年报..报表类型..合并报表..单位..元","主营业务利润..报告期..2015一季..报表类型..合并报表..单位..元","主营业务利润..报告期..2015中报..报表类型..合并报表..单位..元","主营业务利润..报告期..2015三季..报表类型..合并报表..单位..元","主营业务利润..报告期..2015年报..报表类型..合并报表..单位..元","主营业务利润..报告期..2016一季..报表类型..合并报表..单位..元","主营业务利润..报告期..2016中报..报表类型..合并报表..单位..元","主营业务利润..报告期..2016三季..报表类型..合并报表..单位..元","主营业务利润..报告期..2016年报..报表类型..合并报表..单位..元","主营业务利润..报告期..2017一季..报表类型..合并报表..单位..元","主营业务利润..报告期..2017中报..报表类型..合并报表..单位..元","主营业务利润..报告期..2017三季..报表类型..合并报表..单位..元","主营业务利润..报告期..2017年报..报表类型..合并报表..单位..元"
"14","000017.SZ","汽车","","","","176,490,888.7600","","",NA,"141,391,617.6200","","76,811,152.7200","","47,844,247.2100","","7,299,451.5400","","13,961,854.1400","","10,290,746.2800",NA,"-193,554,961.3600","","31,510,922.5500","","-59,300,334.9800","","-5,253,342.9500",NA,"20,093,151.3500","","-13,239,305.9800","","-13,762,216.5500","","-3,660,568.5000","-6,021,300.0000","-11,641,159.9600","-3,656,500.0000","-4,183,110.8500","1,127,711.6700","7,975,837.5000","495,757.9300","2,652,923.5300","6,630,407.4800","7,879,463.4100","4,436,989.8900","6,988,903.4000","11,927,082.7700","9,356,850.5700","1,447,477.7200","7,924,906.2300","16,337,148.9300","14,857,699.0700","764,333.3600","970,893.5000","1,154,735.5100","4,379,155.3100","-1,742,821.7200","-1,270,727.9600","455,301.0000","4,181,103.3100","1,096,863.2400","3,887,090.3000","8,499,911.3900","11,712,536.7100","2,162,005.7300","5,830,161.9500","9,834,097.6500","12,044,150.1000","2,290,499.6500","6,495,962.5000","13,041,558.6900","18,587,838.3700","3,641,232.6900","9,691,036.8100","16,137,475.8900","22,991,345.3600","5,120,670.5700","11,892,278.1200","19,838,267.9900","28,199,984.2900","5,707,375.8400","12,578,407.4900","22,256,894.4900","26,140,177.7400","1,108,030.8100","5,093,902.3400","11,196,857.8200","12,597,018.0000","1,610,656.4600","6,313,038.0400","10,021,073.4000","11,159,691.0400","1,743,376.7500","5,381,654.5700","11,273,504.1400","15,402,048.2300","2,563,176.7900","3,152,050.3900","6,537,933.8000","13,266,102.3400"
"21","000025.SZ","汽车","","","","48,297,337.9500","","15,700,000.0000",NA,"15,353,044.5900","","2,530,000.0000","","-29,016,090.1000","","-20,030,000.0000","","-126,618,517.8900","","-31,540,000.0000",NA,"-88,820,702.0600","","25,138,895.7000","","40,174,666.9000","","23,834,266.3000",NA,"33,160,591.8700","","16,139,833.1800","14,480,861.8400","26,696,129.6800","6,473,463.3800","14,476,445.9500","32,679,343.1800","79,644,040.6600","21,803,957.2200","52,781,208.6300","87,687,006.1700","110,507,981.3800","23,849,321.5000","58,321,865.9500","87,377,394.5200","124,539,718.8100","23,907,904.8700","52,680,722.6400","81,295,329.1100","102,997,365.1400","23,737,850.0000","52,192,339.8300","76,609,197.7200","98,958,389.5700","23,138,256.7800","46,512,762.1800","65,566,824.4800","93,135,661.1000","18,728,193.8600","40,265,453.2400","62,564,944.9200","105,532,392.0500","20,435,633.6400","42,570,855.8900","59,366,500.8000","91,928,880.1000","14,298,268.2000","30,722,259.1600","47,775,836.4500","65,937,775.5500","16,153,182.1000","32,191,813.9300","47,472,666.5300","61,509,769.5100","15,061,920.6100","31,570,770.5500","47,795,510.3800","63,052,095.2300","15,738,417.0600","29,702,982.3500","45,842,301.4900","77,300,289.5700","21,784,995.3900","36,122,790.3600","76,165,334.8600","91,818,793.3100","15,775,939.4300","30,930,551.9200","49,040,922.9800","70,517,728.2800","16,981,004.8800","38,704,612.7500","57,616,683.5900","79,545,165.2700","19,285,674.7600","41,921,059.3900","65,384,957.0400","86,425,944.5000","19,047,248.7200","40,148,364.8400","58,970,754.1900","89,343,874.7800"
"26","000030.SZ","汽车","","","","-19,213,255.9600","","53,223,022.0500",NA,"1,456,122.0600","","-2,755,731.6700","","-37,090,123.2400","","44,376,600.0000","","-37,894,673.7900","","-22,238,800.0000",NA,"-90,399,721.7900","","70,468,463.5400","","150,121,427.3900","","82,353,920.1700",NA,"156,691,388.4300","","53,118,179.1200","","103,629,583.0300","15,091,800.0000","41,198,918.9500","59,245,300.0000","64,022,160.5700","1,402,600.0000","621,125.8000","2,128,901.5900","5,254,475.2100","200,378.3100","2,800,312.3800","10,316,740.8100","13,140,761.4100","1,520,338.3700","6,972,522.6700","11,291,954.4300","16,392,673.0900","4,335,144.5200","7,896,887.8100","12,857,866.7900","11,202,132.8900","","","","","598,429.4600","875,728.6200","1,493,718.9400","1,802,714.1000","308,995.1600","772,487.9000","1,235,980.6400","1,699,473.3800","463,492.7400","926,985.4800","1,390,478.2200","1,853,970.9600","","","","-1,402,241.6900","109,006.8000","47,694.0600","-8,902,114.2600","109,006.8000","","","","","196,558,010.9900","448,374,755.1200","674,863,150.8000","927,043,927.6900","216,790,041.6200","485,854,247.6200","691,459,009.9000","904,384,628.8000","212,824,110.2700","403,137,432.0900","555,666,582.8000","769,819,206.7000","225,603,699.4500","468,808,934.6300","691,970,197.8700","1,035,665,257.3900","293,379,942.3100","602,465,256.2900","917,702,818.3600","1,267,530,688.7900"
"74","000338.SZ","汽车","","","","","","",NA,"","","","","","","","","","","",NA,"","","","","","","",NA,"","","","","","","","","","","","","4,055,663.7500","","","","893,131,223.0800","","","","1,508,109,880.3900","","","","1,157,380,823.4800","1,858,569,600.0000","1,872,160,394.5500","1,338,327,034.7700","1,885,594,964.2000","2,803,552,900.0000","3,467,170,561.6500","5,023,943,376.7900","6,780,279,338.1300","2,176,989,169.5800","4,456,036,395.6400","5,860,829,043.9900","6,564,627,100.0000","1,187,279,905.8300","3,333,589,037.1600","5,924,494,236.5800","8,501,043,004.5900","3,716,731,751.9700","7,600,133,809.8400","10,867,817,427.7500","15,280,460,993.2500","4,143,005,048.9500","7,729,334,252.1200","10,066,310,714.8800","12,990,649,238.6200","2,594,119,153.6000","5,075,792,985.0000","6,782,725,796.7900","9,203,121,989.6200","2,699,250,456.1600","6,140,317,077.8300","8,554,634,713.2700","11,751,492,339.7400","3,474,412,832.8500","6,820,844,217.5200","11,563,451,446.7700","16,823,300,515.6900","4,048,630,408.2100","8,330,262,450.1300","12,474,155,214.3400","16,775,727,207.5700","4,249,435,450.2400","9,518,592,164.4500","14,357,557,140.8400","20,632,680,128.5700","7,030,852,399.4100","14,952,664,415.2300","23,624,320,961.9500","32,363,693,450.7900"
"142","000550.SZ","汽车","","","","230,837,291.4600","","71,323,219.7900",NA,"65,638,150.1400","","25,325,385.4400","","-38,235,263.8900","","14,111,909.5400","","78,833,951.5900","","33,612,829.3000",NA,"17,328,729.5100","","185,121,252.9200","","458,528,599.1400","","293,174,478.0300",NA,"505,370,596.5800","","290,315,409.7900","","672,107,641.4500","","397,186,242.5900","","828,064,760.0000","211,599,815.4200","497,566,000.0000","793,306,642.6000","1,066,606,214.0000","360,029,693.7100","715,279,873.0000","1,024,211,672.2300","1,264,627,785.0000","314,950,103.5200","622,039,734.0000","855,091,177.6700","1,142,024,485.0000","214,016,774.1100","557,736,551.0000","901,968,810.0000","1,267,113,594.0000","435,618,755.0300","901,135,746.0000","1,274,691,211.5900","1,646,641,963.0000","379,391,068.9000","940,369,733.0000","1,448,533,443.2000","1,950,893,908.0000","505,566,302.3200","1,047,311,058.0000","1,475,866,320.8300","1,796,430,113.0000","438,462,669.4200","1,096,288,427.0000","1,823,536,989.7400","2,546,073,869.0000","874,640,617.5900","1,869,070,863.0000","2,810,608,684.6300","3,784,226,109.0000","965,963,747.1000","1,966,323,932.0000","2,854,793,242.6600","3,799,215,191.0000","939,479,047.7900","1,874,539,616.0000","2,789,239,674.0100","3,860,346,583.0000","1,099,665,608.2500","2,243,683,873.0000","3,407,236,605.8500","4,752,247,796.0000","1,279,592,728.8000","2,598,727,549.0000","3,883,155,814.3200","5,586,158,445.0000","1,327,751,520.8800","2,608,340,330.0000","3,731,047,994.7300","5,608,521,644.0000","1,106,055,913.0000","2,134,193,556.0000","3,501,044,524.0000","5,197,731,854.0000","1,397,702,456.0000","2,749,896,519.0000","3,920,218,755.0000","5,333,645,449.0000"
"150","000559.SZ","汽车","","","","29,787,629.0000","","19,266,025.0900",NA,"35,217,895.9100","","13,191,449.1200","","30,596,273.1700","","19,241,174.3100","","59,027,109.9400","","48,412,736.3000",NA,"86,436,806.0100","","81,390,787.1800","","179,819,314.5800","","107,969,059.2700",NA,"209,675,228.0300","","112,206,447.1600","","228,816,254.9700","","128,130,850.3600","201,554,666.3700","271,425,214.8100","61,123,191.4900","151,085,695.5700","233,079,675.0100","338,468,364.4000","88,017,555.0400","196,110,032.1000","277,892,930.2200","381,210,748.0400","111,794,383.9800","226,087,470.1800","341,879,972.3400","469,803,405.0500","139,058,862.2300","283,697,172.6000","400,217,404.5700","504,621,699.3500","151,722,781.9900","315,586,718.7000","446,269,355.3500","634,025,650.1600","218,218,488.4000","442,852,021.3200","626,658,543.6500","842,858,150.5100","246,322,018.9600","462,627,602.4900","652,856,879.2300","801,287,375.1100","190,066,159.5000","407,134,505.2000","673,000,133.6800","983,308,563.4200","341,653,366.1600","688,946,002.6500","965,680,181.4600","1,353,679,764.5400","359,259,679.5400","708,964,087.9700","1,026,999,274.6200","1,383,657,426.1100","309,503,322.5200","638,784,023.2600","920,385,015.4000","1,370,744,922.2200","376,814,654.1000","798,131,787.4900","1,170,753,408.5600","1,792,433,900.5300","486,935,184.4700","1,039,564,140.4500","1,514,761,872.4100","2,137,144,149.4600","541,363,083.8500","1,092,052,000.6400","1,501,363,308.9000","2,132,282,846.2600","594,220,983.1100","1,176,598,503.3500","1,680,361,061.4400","2,308,062,413.3200","609,813,908.0400","1,125,414,519.4000","1,636,609,501.6700","2,241,171,820.1400"
"161","000572.SZ","汽车","","","","60,195,562.1300","","50,984,573.2000",NA,"78,773,551.4100","","9,138,063.0300","","-57,463,419.7500","","-471,484.1700","","12,489,981.0000","","-2,940,615.2700",NA,"-6,370,963.6500","","12,710,443.1400","","13,525,411.5100","","10,373,340.8600",NA,"22,232,431.6000","","3,196,716.3000","","15,652,569.6200","","6,106,957.0600","","5,670,798.5700","2,551,931.5400","7,582,139.4600","10,671,223.2100","13,458,662.6500","2,972,175.2500","6,791,532.2800","12,294,712.0400","24,317,624.9700","9,516,086.4600","22,150,626.7800","38,386,153.8800","43,958,713.6300","64,250,051.6000","113,671,914.4000","124,026,175.5200","149,158,502.3500","29,093,178.1400","65,952,895.0500","126,695,487.0000","188,493,170.4800","109,502,353.1900","436,110,303.1500","575,720,811.1800","617,314,827.2500","174,203,688.9400","187,143,411.1500","195,499,669.4500","82,271,895.8800","-1,508,623.0100","-1,535,291.2400","91,316,457.1800","18,393,088.0900","167,982,977.5400","386,703,765.4900","561,452,376.7300","780,674,325.1800","272,775,474.0600","535,927,671.2200","754,066,932.9300","984,523,769.5600","228,857,071.9700","459,990,373.0200","671,578,936.4000","983,856,853.3600","218,124,216.9000","569,972,506.0300","839,510,733.4600","1,263,836,712.0200","301,267,612.7400","602,746,051.7300","907,720,031.1100","1,372,581,459.6700","446,666,247.1600","779,088,440.2000","929,047,605.0600","1,358,973,848.1600","392,856,747.3300","721,354,042.3500","997,404,262.9300","1,273,764,144.5900","324,739,178.5800","480,849,058.6400","578,292,248.4800","598,566,955.5800"
"164","000581.SZ","汽车","","","","","","",NA,"","","","","91,392,000.0000","","30,571,000.0000","","64,039,140.9800","","40,229,000.0000",NA,"94,745,898.4600","","59,050,000.0000","","117,543,927.1900","","95,798,563.3000",NA,"146,346,472.6000","","107,502,657.1300","","185,598,217.3900","","132,122,187.1600","","247,808,060.9700","89,804,300.0000","200,005,709.8500","312,047,452.0700","380,939,873.9600","121,604,322.1100","223,437,294.6500","333,925,518.3700","395,030,580.1600","125,360,108.9500","240,968,078.7200","338,461,683.3000","476,900,656.8300","188,376,228.6100","365,670,600.7400","487,060,111.1100","619,305,863.8800","154,258,593.6600","322,932,888.6600","457,768,925.4600","615,503,566.0700","186,825,876.1900","391,941,113.3300","564,305,027.4000","671,234,726.5000","198,080,749.1400","377,584,107.9400","484,902,877.5400","552,570,625.5100","67,738,219.9100","215,302,344.4400","401,555,091.1700","586,613,461.6600","268,511,188.6300","541,339,731.0000","825,902,206.7100","1,460,036,185.4900","423,613,834.1200","832,917,522.1400","1,141,975,317.4600","1,550,481,476.1500","370,485,972.4600","670,738,290.1500","903,203,915.8800","1,209,972,881.3800","313,961,961.8000","639,119,491.5400","948,102,094.7900","1,387,041,921.6700","403,141,320.3300","839,328,943.7900","1,217,104,805.4200","1,580,861,118.7700","375,357,702.5800","730,635,364.3100","982,462,693.8200","1,316,858,079.8500","319,109,008.4700","716,959,122.6800","1,027,925,697.9500","1,490,523,297.0400","469,441,269.1200","953,972,377.6800","1,410,007,404.5300","2,183,137,620.9600"
"197","000622.SZ","汽车","","","","10,255,585.0500","","",NA,"5,975,584.2500","","","","10,655,844.7800","","8,090,464.0100","","12,667,458.1100","","18,077,178.7300",NA,"19,174,376.0600","","29,570,360.0200","","54,934,086.7500","","25,569,180.4400",NA,"57,712,232.5400","","26,730,519.7300","","58,416,679.7800","","35,567,310.0700","","57,988,442.2500","6,786,197.5100","27,127,669.2700","43,826,072.3500","54,958,104.4900","13,816,466.5400","29,749,111.4600","40,015,701.3200","44,243,705.7200","13,490,593.0100","26,881,037.2500","34,342,434.7100","4,285,103.4700","1,343,740.3700","4,958,455.3200","7,488,103.5700","7,500,475.5000","2,744,541.0800","-275,975.4900","1,019,370.3800","-236,498.9300","4,125,753.2900","6,886,835.1500","9,235,283.7700","14,763,096.0500","5,491,678.7600","11,621,146.1000","16,245,059.6600","19,218,564.2600","4,162,456.1000","9,724,015.9500","16,074,423.8500","22,450,440.7100","6,794,578.7100","12,571,400.8400","19,182,513.0800","26,799,065.6500","6,181,113.5600","12,895,624.2200","16,958,172.2600","21,685,317.3900","5,444,272.6700","11,946,535.6600","19,743,660.8100","26,324,289.4900","4,178,252.8600","8,092,438.4900","12,592,508.8300","18,261,014.9300","2,296,142.7200","3,947,287.3700","4,559,815.2300","6,118,155.1200","614,163.6400","1,602,375.7500","1,053,217.1400","2,755,592.4200","908,276.9800","1,358,643.0600","2,225,413.3300","5,107,165.5200","760,022.7800","2,040,811.4500","3,134,318.1900","8,227,726.6800"
"199","000625.SZ","汽车","","","","","","",NA,"279,033,000.0000","","","","339,706,000.0000","","","","268,716,000.0000","","110,501,000.0000",NA,"145,568,000.0000","","151,946,754.9800","","232,774,000.0000","","293,660,000.0000",NA,"832,818,000.0000","","441,160,000.0000","","998,601,582.9600","","714,258,644.5700","","1,432,342,254.0000","355,400,000.0000","957,542,442.0000","1,671,884,168.0000","2,533,718,595.0000","820,030,753.0000","1,640,211,874.0000","2,393,110,258.0000","3,523,019,497.0000","1,046,439,499.0000","2,233,189,759.0000","3,033,993,188.0000","3,915,140,573.0000","790,664,062.0000","1,658,872,438.0000","2,209,321,616.0000","3,050,617,241.0000","979,054,885.0000","2,023,720,959.0000","2,960,351,700.0000","4,298,998,053.0000","385,739,886.0000","941,860,323.0000","1,247,025,661.0000","1,767,973,433.3500","575,759,399.3700","1,131,292,358.0000","1,492,181,447.0000","1,684,235,455.3100","799,437,805.3400","2,049,914,573.0000","3,174,039,770.0000","4,504,686,992.6800","1,592,743,779.3800","2,881,625,611.6900","3,781,475,690.9600","5,092,672,576.5100","900,040,386.1800","1,760,814,244.0000","2,200,399,243.0500","3,388,072,294.3600","839,932,068.9100","1,883,808,069.2100","2,861,266,229.6300","4,662,868,476.3800","1,258,064,501.9200","2,621,679,299.7300","3,751,674,896.3500","5,473,283,921.1500","1,430,179,304.5500","3,286,152,646.7500","5,242,373,487.4700","7,583,161,510.0500","1,879,260,404.6800","4,257,394,105.7500","6,507,817,034.3600","10,423,292,116.3400","2,184,052,731.4600","4,360,085,745.4200","6,840,537,763.2100","10,425,216,807.6800","1,854,854,019.0100","3,318,670,939.0000","4,009,836,158.7500","7,575,149,432.1000"
