"","证券代码","申万一级行业","主营业务利润..报告期..1993一季..报表类型..合并报表..单位..元","主营业务利润..报告期..1993中报..报表类型..合并报表..单位..元","主营业务利润..报告期..1993三季..报表类型..合并报表..单位..元","主营业务利润..报告期..1993年报..报表类型..合并报表..单位..元","主营业务利润..报告期..1994一季..报表类型..合并报表..单位..元","主营业务利润..报告期..1994中报..报表类型..合并报表..单位..元","主营业务利润..报告期..1994三季..报表类型..合并报表..单位..元","主营业务利润..报告期..1994年报..报表类型..合并报表..单位..元","主营业务利润..报告期..1995一季..报表类型..合并报表..单位..元","主营业务利润..报告期..1995中报..报表类型..合并报表..单位..元","主营业务利润..报告期..1995三季..报表类型..合并报表..单位..元","主营业务利润..报告期..1995年报..报表类型..合并报表..单位..元","主营业务利润..报告期..1996一季..报表类型..合并报表..单位..元","主营业务利润..报告期..1996中报..报表类型..合并报表..单位..元","主营业务利润..报告期..1996三季..报表类型..合并报表..单位..元","主营业务利润..报告期..1996年报..报表类型..合并报表..单位..元","主营业务利润..报告期..1997一季..报表类型..合并报表..单位..元","主营业务利润..报告期..1997中报..报表类型..合并报表..单位..元","主营业务利润..报告期..1997三季..报表类型..合并报表..单位..元","主营业务利润..报告期..1997年报..报表类型..合并报表..单位..元","主营业务利润..报告期..1998一季..报表类型..合并报表..单位..元","主营业务利润..报告期..1998中报..报表类型..合并报表..单位..元","主营业务利润..报告期..1998三季..报表类型..合并报表..单位..元","主营业务利润..报告期..1998年报..报表类型..合并报表..单位..元","主营业务利润..报告期..1999一季..报表类型..合并报表..单位..元","主营业务利润..报告期..1999中报..报表类型..合并报表..单位..元","主营业务利润..报告期..1999三季..报表类型..合并报表..单位..元","主营业务利润..报告期..1999年报..报表类型..合并报表..单位..元","主营业务利润..报告期..2000一季..报表类型..合并报表..单位..元","主营业务利润..报告期..2000中报..报表类型..合并报表..单位..元","主营业务利润..报告期..2000三季..报表类型..合并报表..单位..元","主营业务利润..报告期..2000年报..报表类型..合并报表..单位..元","主营业务利润..报告期..2001一季..报表类型..合并报表..单位..元","主营业务利润..报告期..2001中报..报表类型..合并报表..单位..元","主营业务利润..报告期..2001三季..报表类型..合并报表..单位..元","主营业务利润..报告期..2001年报..报表类型..合并报表..单位..元","主营业务利润..报告期..2002一季..报表类型..合并报表..单位..元","主营业务利润..报告期..2002中报..报表类型..合并报表..单位..元","主营业务利润..报告期..2002三季..报表类型..合并报表..单位..元","主营业务利润..报告期..2002年报..报表类型..合并报表..单位..元","主营业务利润..报告期..2003一季..报表类型..合并报表..单位..元","主营业务利润..报告期..2003中报..报表类型..合并报表..单位..元","主营业务利润..报告期..2003三季..报表类型..合并报表..单位..元","主营业务利润..报告期..2003年报..报表类型..合并报表..单位..元","主营业务利润..报告期..2004一季..报表类型..合并报表..单位..元","主营业务利润..报告期..2004中报..报表类型..合并报表..单位..元","主营业务利润..报告期..2004三季..报表类型..合并报表..单位..元","主营业务利润..报告期..2004年报..报表类型..合并报表..单位..元","主营业务利润..报告期..2005一季..报表类型..合并报表..单位..元","主营业务利润..报告期..2005中报..报表类型..合并报表..单位..元","主营业务利润..报告期..2005三季..报表类型..合并报表..单位..元","主营业务利润..报告期..2005年报..报表类型..合并报表..单位..元","主营业务利润..报告期..2006一季..报表类型..合并报表..单位..元","主营业务利润..报告期..2006中报..报表类型..合并报表..单位..元","主营业务利润..报告期..2006三季..报表类型..合并报表..单位..元","主营业务利润..报告期..2006年报..报表类型..合并报表..单位..元","主营业务利润..报告期..2007一季..报表类型..合并报表..单位..元","主营业务利润..报告期..2007中报..报表类型..合并报表..单位..元","主营业务利润..报告期..2007三季..报表类型..合并报表..单位..元","主营业务利润..报告期..2007年报..报表类型..合并报表..单位..元","主营业务利润..报告期..2008一季..报表类型..合并报表..单位..元","主营业务利润..报告期..2008中报..报表类型..合并报表..单位..元","主营业务利润..报告期..2008三季..报表类型..合并报表..单位..元","主营业务利润..报告期..2008年报..报表类型..合并报表..单位..元","主营业务利润..报告期..2009一季..报表类型..合并报表..单位..元","主营业务利润..报告期..2009中报..报表类型..合并报表..单位..元","主营业务利润..报告期..2009三季..报表类型..合并报表..单位..元","主营业务利润..报告期..2009年报..报表类型..合并报表..单位..元","主营业务利润..报告期..2010一季..报表类型..合并报表..单位..元","主营业务利润..报告期..2010中报..报表类型..合并报表..单位..元","主营业务利润..报告期..2010三季..报表类型..合并报表..单位..元","主营业务利润..报告期..2010年报..报表类型..合并报表..单位..元","主营业务利润..报告期..2011一季..报表类型..合并报表..单位..元","主营业务利润..报告期..2011中报..报表类型..合并报表..单位..元","主营业务利润..报告期..2011三季..报表类型..合并报表..单位..元","主营业务利润..报告期..2011年报..报表类型..合并报表..单位..元","主营业务利润..报告期..2012一季..报表类型..合并报表..单位..元","主营业务利润..报告期..2012中报..报表类型..合并报表..单位..元","主营业务利润..报告期..2012三季..报表类型..合并报表..单位..元","主营业务利润..报告期..2012年报..报表类型..合并报表..单位..元","主营业务利润..报告期..2013一季..报表类型..合并报表..单位..元","主营业务利润..报告期..2013中报..报表类型..合并报表..单位..元","主营业务利润..报告期..2013三季..报表类型..合并报表..单位..元","主营业务利润..报告期..2013年报..报表类型..合并报表..单位..元","主营业务利润..报告期..2014一季..报表类型..合并报表..单位..元","主营业务利润..报告期..2014中报..报表类型..合并报表..单位..元","主营业务利润..报告期..2014三季..报表类型..合并报表..单位..元","主营业务利润..报告期..2014年报..报表类型..合并报表..单位..元","主营业务利润..报告期..2015一季..报表类型..合并报表..单位..元","主营业务利润..报告期..2015中报..报表类型..合并报表..单位..元","主营业务利润..报告期..2015三季..报表类型..合并报表..单位..元","主营业务利润..报告期..2015年报..报表类型..合并报表..单位..元","主营业务利润..报告期..2016一季..报表类型..合并报表..单位..元","主营业务利润..报告期..2016中报..报表类型..合并报表..单位..元","主营业务利润..报告期..2016三季..报表类型..合并报表..单位..元","主营业务利润..报告期..2016年报..报表类型..合并报表..单位..元","主营业务利润..报告期..2017一季..报表类型..合并报表..单位..元","主营业务利润..报告期..2017中报..报表类型..合并报表..单位..元","主营业务利润..报告期..2017三季..报表类型..合并报表..单位..元","主营业务利润..报告期..2017年报..报表类型..合并报表..单位..元"
"17","000020.SZ","电子","","","","86,278,050.0000","","30,626,757.0000",NA,"40,529,953.8300","","17,728,843.0000","","","","832,885.0000","","31,857,629.0000","","-1,304,256.0000",NA,"-96,133,653.0000","","-5,436,140.8200","","-16,765,240.0000","","1,867,658.1800",NA,"8,354,227.4200","","1,344,728.9600","","4,276,616.1600","","-2,098,128.4200","","2,400,647.7600","1,556,197.4800","3,384,363.4800","7,441,819.3400","8,686,620.6000","546,012.2100","1,103,425.2100","3,593,482.8600","9,413,808.5700","1,622,196.8600","3,269,322.3800","4,256,947.9200","1,403,679.1600","-811,223.5800","-1,324,244.6000","1,883,424.0400","7,318,560.2700","1,628,992.2600","3,035,417.4400","4,181,524.9100","4,150,143.5100","4,879,541.4400","7,852,365.9100","11,307,884.3300","24,484,397.1900","7,719,543.8500","10,185,694.6100","16,529,326.8700","31,399,767.7800","12,732,604.2800","29,873,567.0600","51,257,782.2600","54,350,360.0100","17,856,666.1500","38,663,878.4900","53,478,367.6500","75,426,148.4200","18,837,642.1900","42,869,460.2200","60,766,813.7200","83,115,474.5700","25,216,520.3200","44,999,787.0600","64,116,315.2500","83,278,236.5500","19,325,202.7400","37,945,803.9700","54,971,012.8500","65,174,722.6100","18,740,321.6300","36,694,699.3900","64,968,474.5600","95,185,751.0800","16,014,944.5700","37,593,809.9800","57,840,493.5600","72,211,752.6000","18,592,640.5900","43,093,758.1600","57,357,266.6800","78,293,600.1400","17,688,684.6700","38,248,331.6400","58,021,395.9200","73,685,600.7300"
"38","000045.SZ","电子","","","","1,450,124.5300","","13,963,181.2300",NA,"14,887,155.3800","","1,287,281.1800","","-1,962,595.5300","","-6,596,270.2600","","-4,826,390.6300","","-4,435,514.2700",NA,"-16,422,993.0300","","25,416,572.0200","","43,511,483.9400","","31,477,093.9900",NA,"58,451,975.3500","","40,187,967.6600","","77,888,993.4300","","39,560,713.4900","56,108,860.7800","76,617,775.9300","20,790,000.0000","44,431,775.8100","62,851,188.3500","89,480,613.4400","18,606,279.2800","41,233,693.5900","63,960,293.0200","91,261,241.0300","21,034,341.9000","45,181,655.7400","69,881,529.2300","97,042,713.1500","19,348,268.6200","42,454,008.0900","66,015,512.2900","92,723,410.4600","20,790,599.3800","43,370,405.6800","66,669,871.1900","91,844,371.5900","22,550,322.4700","42,983,346.0300","66,841,526.2500","100,388,600.0400","21,605,862.7100","44,376,771.3500","71,473,578.5100","68,313,114.7700","17,323,470.7300","33,588,036.5100","49,149,999.1000","83,383,844.2900","23,094,781.7700","51,895,758.9800","85,629,165.4300","103,842,681.5100","187,378,691.2600","54,457,063.5300","88,129,292.4800","114,655,997.8600","23,082,505.6600","34,923,007.3400","25,698,793.4800","28,298,289.6200","15,777,939.0300","43,870,582.8200","46,473,412.8600","34,892,055.9700","22,600,424.5600","33,901,558.8100","39,722,455.2800","48,303,116.4900","10,563,687.5300","29,308,686.7900","49,584,766.6400","76,610,807.0200","21,708,219.3300","37,780,949.8900","49,653,982.0500","59,728,479.3300","16,331,704.4900","55,131,543.2300","98,322,077.4300","161,979,003.4800"
"41","000049.SZ","电子","","","","12,483,664.6300","","",NA,"11,826,128.5200","","-1,773,664.4900","","618,615.5200","","-317,495.6900","","-2,984,987.4300","","-3,423,905.2400",NA,"-8,837,946.8100","","7,032,932.7600","","15,251,732.4700","","4,219,054.6800",NA,"39,434,171.4500","","6,159,313.8500","","12,136,481.7000","","7,060,710.6800","","16,674,345.3100","2,470,000.0000","6,432,825.7800","7,910,955.4800","9,806,008.0500","2,036,695.9700","5,770,352.1300","8,651,636.5600","11,789,312.7600","2,222,758.2300","6,003,538.2700","9,693,750.2700","34,228,033.7700","19,337,024.9600","40,440,802.3700","64,894,409.4800","98,576,427.6100","29,519,887.0200","59,473,208.9200","97,001,032.4800","136,125,470.3800","16,285,549.0000","37,548,515.0400","63,812,712.1400","97,959,802.5500","20,899,618.7000","42,390,781.9100","85,202,213.8900","111,075,371.8100","14,175,326.0900","38,480,709.0500","58,436,832.8400","110,167,761.5300","37,008,645.7500","77,096,383.2600","148,472,571.3300","269,058,645.6400","94,366,435.4900","177,767,579.1000","270,077,398.9300","456,426,415.5200","132,353,376.9700","213,032,529.0900","331,745,899.4200","524,726,712.4400","137,944,380.2700","245,594,862.1900","380,184,240.4100","624,988,961.1800","145,989,875.1800","263,399,218.0500","421,411,769.5600","670,791,189.6900","175,245,589.8000","350,704,717.6800","501,130,530.0400","684,250,677.1000","142,232,763.4300","281,485,051.0800","489,064,854.2600","829,879,445.3000","222,026,152.4500","412,676,578.3400","672,116,346.4800","1,087,237,443.5900"
"42","000050.SZ","电子","","","","21,683,109.8500","","",NA,"38,363,607.6500","","11,620,000.0000","","26,198,563.1700","","6,660,000.0000","","14,883,939.4800","","17,536,395.3200",NA,"42,480,113.4500","","28,341,791.3000","","50,312,869.1000","","25,053,378.7800",NA,"53,805,319.9200","","34,048,178.8900","","71,891,063.0000","","35,384,981.6400","48,235,525.4300","50,630,509.1500","15,812,893.5700","34,112,229.1500","54,016,160.4600","71,131,204.6000","29,032,936.5900","61,213,698.3500","88,985,040.6100","135,963,014.7200","34,998,368.6000","90,022,217.0200","128,534,793.4600","218,527,241.4900","43,039,974.4800","90,482,413.1200","123,803,097.5700","185,819,447.6600","47,815,827.9000","121,483,979.0300","197,798,229.5000","276,020,348.3800","58,955,289.7800","126,635,718.9600","193,448,275.2900","274,621,984.2000","52,198,807.8200","106,614,202.6300","139,952,161.3900","160,694,240.7300","-36,447,230.6200","-37,134,519.3700","41,242,177.5900","83,231,257.1900","81,328,160.2100","242,104,551.7700","392,764,313.4800","539,360,334.0000","129,808,680.1500","290,326,250.0000","420,634,089.5900","534,349,583.0000","86,185,961.5400","279,156,619.0000","458,635,494.0000","612,741,078.0000","148,884,528.3600","365,294,375.0000","586,011,918.0000","810,508,456.0000","228,622,308.1400","504,267,441.0000","1,322,866,354.0000","1,725,111,253.0000","420,057,610.0100","841,549,316.0000","1,316,416,936.5600","1,711,096,564.0000","477,175,809.3200","978,960,469.0000","1,518,210,130.7300","2,119,057,905.4000","649,267,946.1800","1,339,815,206.8300","2,094,896,704.8500","2,856,344,844.4200"
"49","000062.SZ","电子","","","","","","",NA,"18,515,345.0000","","","","56,482,540.0000","","","","-20,180,649.6800","","34,864,125.3400",NA,"75,825,799.9200","","83,446,639.0600","","142,992,910.4800","","122,158,624.0600",NA,"155,829,451.6300","","52,355,843.0800","","71,766,132.0400","","36,522,686.1700","45,682,819.0000","70,813,007.0000","16,430,519.0000","32,931,995.0000","55,122,485.0000","80,039,471.1100","13,742,744.5500","34,885,302.6400","47,903,496.3300","62,981,914.6500","14,817,258.3900","27,788,240.4400","138,864,570.7400","264,117,945.1600","99,141,827.3600","191,689,577.3600","299,730,508.4000","398,620,075.8200","90,646,010.7500","178,722,182.0900","266,110,831.4400","329,316,687.1100","68,077,358.4900","141,751,306.5000","235,315,525.5000","314,442,945.9600","71,793,526.6300","123,406,002.3800","178,243,407.0900","216,871,987.4100","18,792,221.5300","44,864,967.0800","99,103,227.0300","400,307,874.0400","65,544,540.6800","137,724,094.8900","206,801,590.5200","283,248,674.4500","86,504,440.7400","178,795,028.0800","277,727,888.3500","390,884,486.3900","110,549,096.7300","234,028,181.5700","351,525,802.9300","703,974,550.1200","118,343,580.0900","244,714,786.1700","385,883,659.9300","928,074,311.0800","257,867,870.8600","593,161,657.0300","777,552,619.2200","877,546,536.6300","115,160,403.5100","241,034,619.9300","360,241,156.2100","597,698,004.5200","200,849,611.4300","419,235,794.9400","685,808,130.0800","1,001,434,176.5000","231,861,609.4100","529,840,932.9600","894,540,734.9500","1,289,615,036.0800"
"85","000413.SZ","电子","","","","25,965,000.0000","","",NA,"174,002,000.0000","","","","202,989,792.5700","","77,046,154.0000","","120,594,635.9300","","54,990,803.6000",NA,"-302,466,874.0000","","-19,578,388.0000","","-35,112,852.0000","","192,516.0000",NA,"-3,001,911.0000","","7,438,930.0000","","17,783,922.0000","","14,628,244.0000","","24,380,361.0000","4,950,000.0000","9,837,417.0000","15,829,030.3400","21,720,916.0000","4,822,503.0500","11,343,379.0000","16,626,762.0000","22,218,606.0000","7,186,225.2400","12,860,132.0000","19,903,226.0000","30,959,519.0000","7,068,602.0000","12,777,530.0000","17,400,048.0000","21,024,620.0000","6,931,512.8600","12,034,815.0000","17,148,714.8600","17,778,098.4300","6,720,790.3000","13,856,823.9600","22,061,171.4300","30,549,671.1300","8,307,505.9300","15,926,509.8100","23,691,995.3100","27,106,828.6100","4,259,313.1900","4,394,447.8700","2,583,748.1100","-2,079,321.9500","-2,514,144.9000","-4,034,759.2500","-1,435,150.3100","1,929,562.3700","-1,203,072.2400","-3,245,130.8100","13,356,280.9800","34,078,401.0400","83,760,018.3800","155,262,833.0900","276,063,954.0600","387,926,960.8400","124,593,194.7400","142,442,723.5100","270,358,967.2300","510,535,443.5500","307,588,238.9100","461,848,114.0900","556,006,627.5300","937,552,283.6600","252,352,686.2300","619,501,825.9500","972,824,536.2600","1,814,305,665.2700","513,333,678.6400","923,307,782.8800","1,353,146,820.0900","2,028,019,066.5500","660,826,315.6500","1,257,245,283.4900","1,873,231,646.4400","3,521,467,178.5400"
"127","000532.SZ","电子","","","","67,746,172.0000","","30,984,129.0000",NA,"62,127,029.4900","","6,712,310.0000","","-51,794,532.6900","","-38,046,281.7600","","-25,077,630.8800","","-7,519,026.8400",NA,"-5,001,605.6900","","14,277,335.0300","","18,357,004.7200","","1,846,352.8700",NA,"5,000,743.0500","","-8,171,550.7800","","","","117,394.9500","","5,034,773.1400","729,424.9100","3,282,881.5200","6,787,097.7900","12,208,794.2800","2,830,358.0600","8,419,753.5300","15,477,165.5100","25,013,325.4700","7,304,622.7600","12,674,854.6900","20,672,392.7400","40,634,138.9600","3,971,112.4700","14,019,488.9800","23,157,643.6400","27,816,184.7300","5,961,316.6700","16,413,651.7600","27,811,804.8200","30,354,084.7800","13,449,621.2800","33,229,015.2200","54,347,072.8500","67,377,990.5900","8,526,827.9400","27,973,477.2300","38,680,036.4800","41,451,277.2400","7,629,583.7000","17,451,855.0100","28,598,415.8000","37,790,165.5900","13,028,793.9900","31,706,195.5800","44,872,469.0900","56,817,073.0800","15,952,963.5100","32,171,233.0800","44,975,374.2300","66,883,508.3000","16,136,039.0300","31,933,527.6600","47,098,400.3300","62,848,105.1300","14,872,751.3800","33,426,143.2700","54,796,759.4800","80,504,988.9700","14,127,280.6100","34,981,059.2500","51,437,488.0800","59,731,313.8500","13,780,836.4300","30,455,105.7100","49,247,172.4200","79,598,345.2200","23,930,386.1500","52,880,364.0400","82,860,426.0000","131,322,911.2900","31,461,070.0500","71,104,891.9800","114,783,639.4000","194,991,925.5300"
"130","000536.SZ","电子","","","","32,774,161.5300","","17,848,112.9500",NA,"16,681,024.2400","","132,396.8700","","-9,922,150.6700","","-2,155,569.9100","","-25,273,196.8500","","-9,701,383.4900",NA,"-18,404,273.2000","","12,247,522.0400","","22,989,483.6000","","9,817,174.4800",NA,"15,408,470.2900","","5,031,853.6200","","10,602,758.1000","1,764,967.0500","3,297,769.2500","5,164,700.0000","-5,238,843.8100","2,039,800.0000","3,642,074.4600","4,481,426.1900","4,936,940.0400","580,036.2800","1,970,126.4100","3,688,905.7500","8,140,613.1600","1,574,928.1000","5,201,611.4400","10,637,542.5200","19,089,734.0600","2,201,110.7800","5,941,507.0400","6,813,674.9000","14,284,598.6000","1,930,724.9600","3,584,543.9600","5,521,177.0500","16,123,741.1600","3,858,526.7700","8,514,816.8200","12,618,392.3900","15,364,736.1400","4,293,804.0900","8,892,495.5500","10,909,221.0600","15,587,166.5000","4,198,876.4300","5,888,220.7500","8,285,494.0800","7,722,307.7300","197,955,207.3100","372,744,831.7200","551,673,685.2700","783,994,703.7200","172,509,816.0400","331,966,821.2100","500,268,322.3900","779,588,807.9100","195,940,220.9600","332,719,334.8500","545,071,735.9300","647,605,306.0400","179,665,434.2800","482,177,479.7400","1,132,877,502.0700","1,529,899,694.1800","247,279,888.1300","456,297,777.9000","676,060,077.4700","788,230,348.5800","183,029,462.2300","292,401,840.4100","497,562,235.3200","721,625,867.8000","221,041,829.0900","229,778,737.9200","366,566,578.4300","633,054,196.4700","210,723,116.9600","281,923,836.8200","402,108,614.7100","530,762,269.7900"
"135","000541.SZ","电子","","","79,666,660.6500","107,139,903.6700","","93,359,398.2200",NA,"134,453,895.5900","","67,792,645.2700","","135,036,589.4500","","63,378,405.4400","","93,901,334.7500","","69,300,676.9800",NA,"150,951,848.6300","","86,179,395.2700","","174,526,042.4700","","105,945,899.9900",NA,"195,442,233.4000","","107,212,620.7100","","208,663,811.0200","","119,395,194.5600","188,139,822.3600","270,052,165.0100","75,534,568.5200","153,651,842.0700","231,546,828.0500","353,842,433.8300","80,895,010.2700","170,223,965.6900","256,467,582.3800","364,834,103.1900","87,890,604.8600","179,150,012.8600","267,185,560.4700","374,506,893.1200","82,520,319.3900","174,454,715.9000","260,846,214.7200","348,518,301.2500","65,684,602.4500","145,994,800.0200","213,455,349.0600","297,209,709.9300","77,542,178.3700","146,033,722.3100","207,617,347.5900","296,310,397.1500","66,779,194.1700","160,955,011.5700","233,869,689.8300","333,207,678.0200","81,026,513.5400","176,050,064.4500","286,449,121.2300","441,717,086.0400","74,220,629.4700","191,661,676.4500","346,529,926.6600","524,006,651.1200","131,111,518.9900","262,342,524.7200","446,180,088.3300","614,252,761.8500","120,411,349.8000","260,931,706.4100","418,387,263.9800","548,247,439.4100","100,083,102.9800","268,887,605.6200","462,771,602.3500","608,043,053.0400","164,594,341.8500","371,711,523.5800","556,420,932.5100","795,336,803.7600","177,763,691.5800","346,394,511.7000","505,567,863.1400","665,420,005.1100","217,948,244.7300","420,436,788.2800","610,194,020.2700","813,408,659.4300","253,075,800.8400","456,607,200.6600","611,755,759.3600","821,381,632.0000"
"209","000636.SZ","电子","","","","2,679,372.0000","","",NA,"10,721,673.0000","","","","11,660,757.3900","","5,576,783.0000","","34,308,486.3700","","50,268,318.7700",NA,"81,800,926.8700","","77,473,593.6600","","156,190,197.1500","","130,192,581.5700",NA,"278,885,899.0500","","215,517,770.4900","","468,091,750.2400","","133,277,104.3000","","192,064,770.4900","28,207,700.0000","83,249,694.0200","134,098,640.5400","180,981,784.7900","40,507,409.6700","101,897,720.8200","162,494,591.8300","217,608,126.2500","45,635,241.1800","102,499,079.4000","162,169,113.4300","226,973,862.4500","33,234,947.9900","86,360,653.5300","140,702,851.5900","197,718,634.6300","56,735,888.5500","133,014,335.3900","195,944,621.4400","270,985,279.9200","59,516,874.0800","130,254,493.7900","203,418,888.3500","299,631,010.0900","59,492,308.0300","142,505,807.0800","216,017,873.9500","253,093,723.0500","29,752,802.9500","94,268,967.9400","179,163,242.3900","301,770,825.4400","77,701,575.1300","220,270,078.5700","357,396,497.5500","482,223,465.0400","75,952,601.7100","175,003,749.9400","264,372,908.2300","417,437,585.2300","47,522,082.2200","130,172,301.7900","210,769,293.4700","305,439,022.1700","60,132,322.9000","154,260,303.7700","238,212,997.9700","332,779,362.2800","72,683,289.1800","173,280,089.5200","270,715,812.1100","367,021,063.8400","60,370,674.8000","154,248,455.3400","238,316,250.4800","352,722,642.8500","91,302,641.2700","225,349,771.0400","368,521,967.2800","526,973,512.0900","132,542,492.9200","316,072,582.5700","522,746,262.7600","768,462,785.9800"
