"","证券代码","申万一级行业","主营业务利润..报告期..1993一季..报表类型..合并报表..单位..元","主营业务利润..报告期..1993中报..报表类型..合并报表..单位..元","主营业务利润..报告期..1993三季..报表类型..合并报表..单位..元","主营业务利润..报告期..1993年报..报表类型..合并报表..单位..元","主营业务利润..报告期..1994一季..报表类型..合并报表..单位..元","主营业务利润..报告期..1994中报..报表类型..合并报表..单位..元","主营业务利润..报告期..1994三季..报表类型..合并报表..单位..元","主营业务利润..报告期..1994年报..报表类型..合并报表..单位..元","主营业务利润..报告期..1995一季..报表类型..合并报表..单位..元","主营业务利润..报告期..1995中报..报表类型..合并报表..单位..元","主营业务利润..报告期..1995三季..报表类型..合并报表..单位..元","主营业务利润..报告期..1995年报..报表类型..合并报表..单位..元","主营业务利润..报告期..1996一季..报表类型..合并报表..单位..元","主营业务利润..报告期..1996中报..报表类型..合并报表..单位..元","主营业务利润..报告期..1996三季..报表类型..合并报表..单位..元","主营业务利润..报告期..1996年报..报表类型..合并报表..单位..元","主营业务利润..报告期..1997一季..报表类型..合并报表..单位..元","主营业务利润..报告期..1997中报..报表类型..合并报表..单位..元","主营业务利润..报告期..1997三季..报表类型..合并报表..单位..元","主营业务利润..报告期..1997年报..报表类型..合并报表..单位..元","主营业务利润..报告期..1998一季..报表类型..合并报表..单位..元","主营业务利润..报告期..1998中报..报表类型..合并报表..单位..元","主营业务利润..报告期..1998三季..报表类型..合并报表..单位..元","主营业务利润..报告期..1998年报..报表类型..合并报表..单位..元","主营业务利润..报告期..1999一季..报表类型..合并报表..单位..元","主营业务利润..报告期..1999中报..报表类型..合并报表..单位..元","主营业务利润..报告期..1999三季..报表类型..合并报表..单位..元","主营业务利润..报告期..1999年报..报表类型..合并报表..单位..元","主营业务利润..报告期..2000一季..报表类型..合并报表..单位..元","主营业务利润..报告期..2000中报..报表类型..合并报表..单位..元","主营业务利润..报告期..2000三季..报表类型..合并报表..单位..元","主营业务利润..报告期..2000年报..报表类型..合并报表..单位..元","主营业务利润..报告期..2001一季..报表类型..合并报表..单位..元","主营业务利润..报告期..2001中报..报表类型..合并报表..单位..元","主营业务利润..报告期..2001三季..报表类型..合并报表..单位..元","主营业务利润..报告期..2001年报..报表类型..合并报表..单位..元","主营业务利润..报告期..2002一季..报表类型..合并报表..单位..元","主营业务利润..报告期..2002中报..报表类型..合并报表..单位..元","主营业务利润..报告期..2002三季..报表类型..合并报表..单位..元","主营业务利润..报告期..2002年报..报表类型..合并报表..单位..元","主营业务利润..报告期..2003一季..报表类型..合并报表..单位..元","主营业务利润..报告期..2003中报..报表类型..合并报表..单位..元","主营业务利润..报告期..2003三季..报表类型..合并报表..单位..元","主营业务利润..报告期..2003年报..报表类型..合并报表..单位..元","主营业务利润..报告期..2004一季..报表类型..合并报表..单位..元","主营业务利润..报告期..2004中报..报表类型..合并报表..单位..元","主营业务利润..报告期..2004三季..报表类型..合并报表..单位..元","主营业务利润..报告期..2004年报..报表类型..合并报表..单位..元","主营业务利润..报告期..2005一季..报表类型..合并报表..单位..元","主营业务利润..报告期..2005中报..报表类型..合并报表..单位..元","主营业务利润..报告期..2005三季..报表类型..合并报表..单位..元","主营业务利润..报告期..2005年报..报表类型..合并报表..单位..元","主营业务利润..报告期..2006一季..报表类型..合并报表..单位..元","主营业务利润..报告期..2006中报..报表类型..合并报表..单位..元","主营业务利润..报告期..2006三季..报表类型..合并报表..单位..元","主营业务利润..报告期..2006年报..报表类型..合并报表..单位..元","主营业务利润..报告期..2007一季..报表类型..合并报表..单位..元","主营业务利润..报告期..2007中报..报表类型..合并报表..单位..元","主营业务利润..报告期..2007三季..报表类型..合并报表..单位..元","主营业务利润..报告期..2007年报..报表类型..合并报表..单位..元","主营业务利润..报告期..2008一季..报表类型..合并报表..单位..元","主营业务利润..报告期..2008中报..报表类型..合并报表..单位..元","主营业务利润..报告期..2008三季..报表类型..合并报表..单位..元","主营业务利润..报告期..2008年报..报表类型..合并报表..单位..元","主营业务利润..报告期..2009一季..报表类型..合并报表..单位..元","主营业务利润..报告期..2009中报..报表类型..合并报表..单位..元","主营业务利润..报告期..2009三季..报表类型..合并报表..单位..元","主营业务利润..报告期..2009年报..报表类型..合并报表..单位..元","主营业务利润..报告期..2010一季..报表类型..合并报表..单位..元","主营业务利润..报告期..2010中报..报表类型..合并报表..单位..元","主营业务利润..报告期..2010三季..报表类型..合并报表..单位..元","主营业务利润..报告期..2010年报..报表类型..合并报表..单位..元","主营业务利润..报告期..2011一季..报表类型..合并报表..单位..元","主营业务利润..报告期..2011中报..报表类型..合并报表..单位..元","主营业务利润..报告期..2011三季..报表类型..合并报表..单位..元","主营业务利润..报告期..2011年报..报表类型..合并报表..单位..元","主营业务利润..报告期..2012一季..报表类型..合并报表..单位..元","主营业务利润..报告期..2012中报..报表类型..合并报表..单位..元","主营业务利润..报告期..2012三季..报表类型..合并报表..单位..元","主营业务利润..报告期..2012年报..报表类型..合并报表..单位..元","主营业务利润..报告期..2013一季..报表类型..合并报表..单位..元","主营业务利润..报告期..2013中报..报表类型..合并报表..单位..元","主营业务利润..报告期..2013三季..报表类型..合并报表..单位..元","主营业务利润..报告期..2013年报..报表类型..合并报表..单位..元","主营业务利润..报告期..2014一季..报表类型..合并报表..单位..元","主营业务利润..报告期..2014中报..报表类型..合并报表..单位..元","主营业务利润..报告期..2014三季..报表类型..合并报表..单位..元","主营业务利润..报告期..2014年报..报表类型..合并报表..单位..元","主营业务利润..报告期..2015一季..报表类型..合并报表..单位..元","主营业务利润..报告期..2015中报..报表类型..合并报表..单位..元","主营业务利润..报告期..2015三季..报表类型..合并报表..单位..元","主营业务利润..报告期..2015年报..报表类型..合并报表..单位..元","主营业务利润..报告期..2016一季..报表类型..合并报表..单位..元","主营业务利润..报告期..2016中报..报表类型..合并报表..单位..元","主营业务利润..报告期..2016三季..报表类型..合并报表..单位..元","主营业务利润..报告期..2016年报..报表类型..合并报表..单位..元","主营业务利润..报告期..2017一季..报表类型..合并报表..单位..元","主营业务利润..报告期..2017中报..报表类型..合并报表..单位..元","主营业务利润..报告期..2017三季..报表类型..合并报表..单位..元","主营业务利润..报告期..2017年报..报表类型..合并报表..单位..元"
"189","000611.SZ","纺织服装","","","","","","",NA,"","","","","18,588,255.2600","","","","18,173,859.1400","","4,493,869.4200",NA,"13,405,657.9800","","42,601,625.6100","","68,366,772.5200","","29,382,274.8600",NA,"55,963,731.4500","","27,165,004.0000","","57,352,941.8200","","26,289,666.1900","","36,593,067.2000","16,075,775.2800","30,411,215.8400","50,644,933.2200","37,555,541.0200","6,360,519.2300","15,766,220.4800","24,316,523.2200","38,355,551.8600","9,546,553.3500","24,365,968.5900","46,803,110.3600","64,252,622.6300","18,919,850.3200","39,126,068.8900","61,477,848.5100","89,954,411.6900","22,587,340.9100","47,758,915.5400","74,390,678.0200","102,629,590.5100","25,645,323.0900","54,966,419.2600","91,356,932.7500","128,472,158.5500","27,389,823.6300","60,780,911.2000","96,312,825.7800","118,922,522.8200","16,601,723.0600","34,122,410.7400","53,263,748.9300","78,402,449.8900","24,085,430.4200","45,505,178.2500","68,887,788.5400","91,395,026.5500","14,037,419.9300","17,802,427.0600","21,334,612.1100","28,892,614.4300","3,751,497.7700","8,541,124.3000","9,280,484.7400","15,887,128.0500","1,622,537.4000","8,868,675.4100","24,416,630.0900","22,637,985.1800","-894,771.8200","-3,815,280.4700","-5,559,271.8100","-7,049,001.3800","-702,004.4900","-727,973.3000","-771,539.1400","686,409.4800","133,205.2200","185,985.8800","108,192.4300","453,528.8400","1,044,862.1900","993,855.4600","1,168,029.1900","942,263.8800"
"273","000726.SZ","纺织服装","","","","","","",NA,"6,525,191.5800","","","","14,908,733.4600","","","","25,241,123.6100","","20,209,176.8900",NA,"45,423,776.8300","","42,528,341.4000","","94,883,342.7800","","61,146,411.1000",NA,"123,997,824.5700","","76,382,618.4700","","155,108,677.5100","","104,975,252.7300","164,917,238.4800","229,091,564.6200","54,061,269.5800","119,118,052.3800","190,498,803.8400","271,517,726.3100","82,813,387.2800","180,338,416.5400","292,453,470.6300","414,159,799.7000","122,810,702.0100","247,129,651.7700","377,005,531.9500","531,950,472.6900","161,198,771.0000","351,347,458.2900","529,538,915.1700","680,815,481.8900","160,842,786.7700","359,221,999.3300","548,551,654.7300","729,435,555.4400","193,643,784.7800","433,032,756.3400","681,694,389.7200","982,845,356.0800","261,982,586.5300","537,965,416.0900","793,571,450.3300","1,000,382,046.6900","215,689,768.0400","518,406,777.1900","875,310,338.4100","1,231,132,168.7300","341,232,816.8300","758,480,786.4500","1,185,377,131.2200","1,630,410,443.9700","444,484,058.1700","1,003,858,685.1700","1,457,677,501.1500","1,842,825,579.0400","318,427,513.0800","750,557,901.3100","1,114,040,406.3900","1,556,711,146.9800","399,694,072.2500","844,184,669.4500","1,320,156,976.1700","1,935,851,208.3900","457,449,401.0300","952,832,698.3000","1,384,395,381.3100","1,886,366,597.2100","371,052,660.6700","784,168,983.8500","1,224,359,796.6400","1,776,977,917.5400","394,901,263.1200","869,126,453.4300","1,355,696,369.9700","1,890,210,207.2900","390,468,333.1300","889,022,330.0700","1,330,233,050.5000","1,835,944,657.2900"
"303","000779.SZ","纺织服装","","","","","","",NA,"24,388,403.0000","","","","33,821,047.0000","","","","33,766,160.0000","","21,010,230.3500",NA,"40,169,206.0000","","26,361,429.4500","","45,602,994.9700","","18,187,379.1800",NA,"75,670,853.7700","","40,681,043.4500","","89,475,646.3600","","19,208,240.2500","23,921,920.7900","38,357,575.5300","8,108,300.0000","17,973,320.0600","25,529,066.0300","60,579,332.2100","8,665,461.4200","12,921,217.8400","23,679,325.0800","39,784,793.7100","9,321,216.0400","30,091,913.3600","49,694,415.2300","46,907,798.1900","7,468,719.3200","17,652,986.4700","32,861,490.1000","31,656,009.8000","7,600,721.4500","22,591,626.8800","35,593,630.2100","65,608,475.1900","5,597,833.2900","18,038,929.2000","36,744,075.3200","80,659,715.9900","9,842,876.1000","24,652,931.2200","35,991,498.5600","52,988,489.5200","-846,182.5800","2,925,357.9900","11,226,575.0500","36,052,919.0400","4,447,160.0700","12,831,836.6100","22,797,226.6200","29,880,139.0000","6,686,330.3800","17,324,778.3900","27,955,090.6100","32,782,692.8300","8,457,325.5800","18,380,135.1700","26,611,312.6100","32,955,138.4300","4,375,266.5000","7,785,519.9000","10,731,254.6400","16,123,290.7800","1,425,615.9600","11,057,039.2700","43,129,232.8400","50,526,142.4400","3,020,948.5800","7,863,310.1000","12,244,928.4200","16,051,109.4500","2,221,128.8900","8,572,806.4200","13,967,944.8000","17,887,129.1900","2,944,955.9100","15,190,576.2000","27,711,717.8000","38,209,827.4900"
"352","000850.SZ","纺织服装","","","","","","",NA,"","","","","32,203,231.6200","","","","40,840,989.4100","","",NA,"75,064,787.2900","","40,034,548.7200","","76,229,276.9400","","43,765,046.8300",NA,"97,685,915.8200","","74,524,495.0700","","152,875,599.7200","","82,064,256.9000","101,183,690.5100","118,367,111.8500","26,217,400.0000","70,030,621.2000","108,471,792.6700","140,315,989.7100","31,920,804.3300","75,136,257.2500","107,000,008.4700","138,402,532.1400","48,112,497.6200","82,433,802.2900","100,840,773.5700","130,116,856.4900","42,213,493.7600","93,271,967.1200","130,225,533.9400","149,368,119.1800","45,301,133.1400","87,311,846.8700","130,587,488.3800","182,489,081.6000","39,156,911.1300","82,987,714.6900","124,969,786.0900","183,724,691.9000","41,333,459.9600","66,756,256.8300","83,414,471.7600","111,506,281.7600","22,440,774.1100","40,103,616.1600","64,882,435.3500","130,320,993.2500","42,258,623.7300","113,930,376.6000","193,764,099.2300","300,963,121.9600","106,320,427.8700","186,901,981.9500","210,512,514.5800","210,023,303.6800","-21,104,599.2600","-37,487,529.3900","-39,850,010.6900","-5,446,623.9100","16,826,238.8300","43,451,697.7900","104,312,486.8000","140,454,682.8700","62,327,029.4900","88,813,849.7200","94,368,322.3400","78,868,005.1700","8,086,019.7200","21,309,466.1200","30,161,953.9800","122,206,800.8600","10,318,183.1300","41,590,589.4800","85,115,653.4800","153,895,748.5400","28,252,129.1600","102,390,492.9600","150,991,616.2700","237,645,079.9600"
"424","000955.SZ","纺织服装","","","","","","",NA,"","","","","","","","","44,716,913.9500","","",NA,"54,664,954.6400","","","","55,328,750.3000","","27,878,861.1800",NA,"73,036,135.3300","","16,506,537.9900","","35,166,701.2300","","25,673,127.4200","","48,369,881.9000","7,393,362.5200","16,486,200.6500","28,032,170.6500","39,085,709.1100","9,873,804.7700","24,102,867.7400","33,134,209.5000","47,261,477.5300","7,759,904.4200","21,748,917.2500","32,950,952.3300","34,474,968.9800","6,251,268.2000","16,506,790.5700","23,873,222.4600","32,754,002.9500","8,340,797.9200","20,992,093.2600","30,796,639.4400","36,664,048.3100","9,112,414.1500","11,627,638.5300","18,536,300.1200","14,431,301.2700","6,092,761.4200","10,463,323.5800","14,436,093.9000","7,075,553.1400","2,811,810.2000","11,199,797.0800","22,945,266.6000","37,375,290.6200","7,557,616.3400","13,924,628.6200","18,085,793.6200","32,006,471.1900","6,225,816.6300","13,772,903.5100","19,394,503.8800","20,126,596.6800","7,533,731.1800","15,996,665.5300","25,705,983.4700","37,519,464.1200","8,680,099.3100","14,799,253.4600","22,196,087.7400","24,514,657.6500","7,286,908.7500","14,377,127.2300","18,123,118.5000","27,726,535.8200","7,669,330.7900","16,422,492.4900","25,875,021.3100","32,655,462.2200","8,619,706.7800","25,091,672.2500","40,722,265.1600","47,842,040.0800","12,219,579.6100","31,731,061.5800","52,145,452.5000","68,896,809.1800"
"448","000982.SZ","纺织服装","","","","","","",NA,"","","","","","","","","","","",NA,"34,853,930.6500","","","","50,470,513.5100","","21,195,390.8800",NA,"49,244,052.9200","","13,476,264.0000","","66,028,817.7900","","36,266,671.5000","","77,402,583.6600","18,184,242.8200","34,472,753.6800","52,102,046.0200","94,461,566.7800","11,017,231.6700","16,182,070.1400","24,079,775.3100","78,471,067.5800","4,163,066.3400","29,418,345.1300","66,596,408.4000","93,802,189.1500","6,732,643.5600","9,313,351.4800","11,752,527.8000","32,114,488.1800","-5,906,436.3300","-2,263,640.1500","6,945,018.0300","9,120,438.5500","1,348,553.0000","8,866,953.2300","13,582,487.4600","56,056,038.7800","16,172,913.9600","37,714,176.1100","75,412,365.9400","118,327,127.4700","25,537,054.3300","46,217,148.5100","91,881,022.0100","167,099,642.4900","43,681,576.4700","123,726,532.1900","171,415,030.1100","241,174,021.0100","52,927,694.6800","158,308,341.5100","272,539,118.7000","379,091,342.7300","122,789,832.6100","274,385,492.9400","405,093,944.1700","599,221,400.1600","157,123,323.5700","333,284,298.4000","548,362,978.3400","667,107,396.2800","122,546,777.2800","289,455,043.4500","469,407,800.8300","521,232,536.5200","92,708,286.6200","239,235,220.5100","417,133,781.8600","381,171,738.6300","24,966,963.2700","93,145,453.3400","309,832,516.6300","358,510,155.2900","3,725,240.2100","91,559,382.5300","253,478,686.9900","242,952,636.9000"
"467","002003.SZ","纺织服装","","","","","","",NA,"","","","","","","","","","","",NA,"","","","","","","",NA,"","","","","","","","","49,934,920.6000","","","","63,799,582.7300","","29,740,064.9800","53,838,189.9800","77,493,219.1900","14,908,507.9400","40,690,718.7700","71,831,141.6700","101,001,585.2700","25,112,705.3800","63,119,265.7300","109,202,687.4100","153,508,248.1800","32,417,409.5300","97,365,522.2000","171,227,478.0600","239,878,395.3800","44,668,183.9700","149,310,254.4200","272,825,095.0600","395,703,649.0600","61,522,478.3000","179,393,422.5500","338,469,656.3200","485,928,231.3300","59,138,892.9200","185,905,182.6000","341,941,471.4900","495,603,683.1100","69,739,806.0200","275,500,956.4900","469,934,740.2300","663,587,419.2100","88,924,745.7400","314,917,942.1400","503,866,524.6500","647,799,101.2800","76,277,025.7100","295,239,718.2200","487,262,201.7800","647,474,459.1900","75,601,469.3200","314,037,197.5800","503,654,952.1200","671,165,590.8900","93,099,201.8200","325,521,540.5500","538,793,639.4800","709,349,175.4800","89,767,373.6200","354,367,818.8200","565,820,527.7500","742,532,295.2300","111,067,577.4100","398,784,017.2300","663,524,000.1800","900,746,498.8200","126,244,349.3700","478,556,305.9200","762,981,728.5000","1,085,437,476.7300"
"493","002029.SZ","纺织服装","","","","","","",NA,"","","","","","","","","","","",NA,"","","","","","","",NA,"","","","","","","","","38,737,300.0800","","","","51,086,682.8900","","32,130,003.0700","44,593,469.2300","63,948,097.5300","29,821,687.8100","44,898,277.0500","57,563,789.6600","88,126,609.2300","27,593,952.7300","54,189,005.0400","73,581,441.3400","107,156,587.2500","37,944,917.6500","70,804,553.0900","97,013,839.9300","153,132,155.1700","60,078,267.9600","114,080,373.5200","179,087,043.9600","307,158,894.2200","148,115,484.0000","279,973,783.2600","393,621,202.3500","551,700,894.4800","177,789,919.0900","330,385,487.4200","556,613,647.8200","744,544,264.0700","229,815,121.8300","390,748,210.5200","626,970,252.9700","892,643,290.2900","297,062,488.0400","466,915,843.0100","838,763,726.7100","1,178,129,866.6800","407,342,139.5500","631,330,775.6600","1,080,026,467.9900","1,549,947,657.7500","436,523,436.0200","653,945,314.7100","1,048,953,869.3100","1,277,729,651.6100","304,247,007.2300","450,662,359.9600","772,110,967.5000","1,044,580,206.7800","263,507,358.3100","441,451,937.6200","713,229,935.2500","1,040,459,804.0200","259,509,319.1700","439,964,232.6100","710,922,365.2900","1,134,460,345.8000","269,900,455.6900","450,273,238.1200","765,517,898.1100","1,221,794,970.8900"
"498","002034.SZ","纺织服装","","","","","","",NA,"","","","","","","","","","","",NA,"","","","","","","",NA,"","","","","","","","","36,481,923.1400","","","","58,143,626.0700","","","59,644,477.7900","77,304,553.4200","17,795,970.1800","64,140,797.5500","89,944,289.1200","107,546,148.1100","19,903,010.6200","65,269,818.8200","94,470,347.8500","106,644,595.2200","19,764,862.9500","63,097,238.9300","92,246,391.3700","105,828,347.9200","21,914,368.9400","62,559,053.1100","80,537,790.3100","88,626,164.9000","22,893,407.4400","46,023,775.4100","65,971,733.2200","66,992,338.2500","19,431,421.6300","50,197,502.8500","66,956,962.8400","92,367,615.2900","17,777,036.6500","60,467,020.3800","95,158,401.9600","160,658,519.1000","43,879,323.5800","93,852,808.6400","120,492,797.0800","180,554,446.2100","15,967,221.4600","67,099,890.0300","109,632,520.7500","168,868,202.3700","37,091,852.1700","83,787,017.0900","138,133,884.5400","175,889,223.4500","32,827,631.8500","74,606,918.6000","93,904,192.8800","110,364,125.2400","16,324,683.5600","52,217,586.1600","86,523,854.5900","152,962,342.9300","23,665,195.7700","69,451,717.7800","101,353,033.5800","133,001,009.1300","24,807,337.3900","56,128,646.8700","91,893,160.2600","442,913,143.2100"
"506","002042.SZ","纺织服装","","","","","","",NA,"","","","","","","","","","","",NA,"","","","","","","",NA,"","","","","","","","","","","","","56,629,366.9400","","","","56,448,176.0800","11,298,922.7400","24,394,413.2300","36,455,955.5200","51,238,548.0000","13,945,470.5700","27,248,458.1800","37,970,600.3700","43,817,211.6800","5,481,044.2300","16,791,366.8600","21,710,166.7200","26,668,968.7400","6,154,049.2400","8,770,865.6500","3,137,401.3000","-15,880,159.6600","-4,169,499.9900","-9,513,950.0800","-19,631,029.8200","-19,561,913.4800","-2,571,182.2300","270,687,080.8300","434,808,137.1200","587,628,637.5100","180,981,386.6500","424,864,149.7300","664,525,092.6900","932,075,449.9600","308,181,593.9700","552,042,776.6800","749,275,286.3600","991,706,449.4300","198,456,594.7700","343,899,138.2000","479,196,373.6000","595,542,034.0500","168,422,517.4900","430,743,162.0600","631,657,988.8600","843,956,517.0700","181,600,171.5500","452,937,211.3800","644,428,197.6300","791,705,874.5400","197,397,950.9000","479,709,073.3700","715,209,598.6200","901,366,541.4600","231,758,430.5700","550,708,420.5000","782,750,566.9600","970,465,363.2600","297,940,254.9300","720,820,638.2700","1,094,208,977.4000","1,325,000,222.8300"
