"","证券代码","申万一级行业","主营业务利润..报告期..1993一季..报表类型..合并报表..单位..元","主营业务利润..报告期..1993中报..报表类型..合并报表..单位..元","主营业务利润..报告期..1993三季..报表类型..合并报表..单位..元","主营业务利润..报告期..1993年报..报表类型..合并报表..单位..元","主营业务利润..报告期..1994一季..报表类型..合并报表..单位..元","主营业务利润..报告期..1994中报..报表类型..合并报表..单位..元","主营业务利润..报告期..1994三季..报表类型..合并报表..单位..元","主营业务利润..报告期..1994年报..报表类型..合并报表..单位..元","主营业务利润..报告期..1995一季..报表类型..合并报表..单位..元","主营业务利润..报告期..1995中报..报表类型..合并报表..单位..元","主营业务利润..报告期..1995三季..报表类型..合并报表..单位..元","主营业务利润..报告期..1995年报..报表类型..合并报表..单位..元","主营业务利润..报告期..1996一季..报表类型..合并报表..单位..元","主营业务利润..报告期..1996中报..报表类型..合并报表..单位..元","主营业务利润..报告期..1996三季..报表类型..合并报表..单位..元","主营业务利润..报告期..1996年报..报表类型..合并报表..单位..元","主营业务利润..报告期..1997一季..报表类型..合并报表..单位..元","主营业务利润..报告期..1997中报..报表类型..合并报表..单位..元","主营业务利润..报告期..1997三季..报表类型..合并报表..单位..元","主营业务利润..报告期..1997年报..报表类型..合并报表..单位..元","主营业务利润..报告期..1998一季..报表类型..合并报表..单位..元","主营业务利润..报告期..1998中报..报表类型..合并报表..单位..元","主营业务利润..报告期..1998三季..报表类型..合并报表..单位..元","主营业务利润..报告期..1998年报..报表类型..合并报表..单位..元","主营业务利润..报告期..1999一季..报表类型..合并报表..单位..元","主营业务利润..报告期..1999中报..报表类型..合并报表..单位..元","主营业务利润..报告期..1999三季..报表类型..合并报表..单位..元","主营业务利润..报告期..1999年报..报表类型..合并报表..单位..元","主营业务利润..报告期..2000一季..报表类型..合并报表..单位..元","主营业务利润..报告期..2000中报..报表类型..合并报表..单位..元","主营业务利润..报告期..2000三季..报表类型..合并报表..单位..元","主营业务利润..报告期..2000年报..报表类型..合并报表..单位..元","主营业务利润..报告期..2001一季..报表类型..合并报表..单位..元","主营业务利润..报告期..2001中报..报表类型..合并报表..单位..元","主营业务利润..报告期..2001三季..报表类型..合并报表..单位..元","主营业务利润..报告期..2001年报..报表类型..合并报表..单位..元","主营业务利润..报告期..2002一季..报表类型..合并报表..单位..元","主营业务利润..报告期..2002中报..报表类型..合并报表..单位..元","主营业务利润..报告期..2002三季..报表类型..合并报表..单位..元","主营业务利润..报告期..2002年报..报表类型..合并报表..单位..元","主营业务利润..报告期..2003一季..报表类型..合并报表..单位..元","主营业务利润..报告期..2003中报..报表类型..合并报表..单位..元","主营业务利润..报告期..2003三季..报表类型..合并报表..单位..元","主营业务利润..报告期..2003年报..报表类型..合并报表..单位..元","主营业务利润..报告期..2004一季..报表类型..合并报表..单位..元","主营业务利润..报告期..2004中报..报表类型..合并报表..单位..元","主营业务利润..报告期..2004三季..报表类型..合并报表..单位..元","主营业务利润..报告期..2004年报..报表类型..合并报表..单位..元","主营业务利润..报告期..2005一季..报表类型..合并报表..单位..元","主营业务利润..报告期..2005中报..报表类型..合并报表..单位..元","主营业务利润..报告期..2005三季..报表类型..合并报表..单位..元","主营业务利润..报告期..2005年报..报表类型..合并报表..单位..元","主营业务利润..报告期..2006一季..报表类型..合并报表..单位..元","主营业务利润..报告期..2006中报..报表类型..合并报表..单位..元","主营业务利润..报告期..2006三季..报表类型..合并报表..单位..元","主营业务利润..报告期..2006年报..报表类型..合并报表..单位..元","主营业务利润..报告期..2007一季..报表类型..合并报表..单位..元","主营业务利润..报告期..2007中报..报表类型..合并报表..单位..元","主营业务利润..报告期..2007三季..报表类型..合并报表..单位..元","主营业务利润..报告期..2007年报..报表类型..合并报表..单位..元","主营业务利润..报告期..2008一季..报表类型..合并报表..单位..元","主营业务利润..报告期..2008中报..报表类型..合并报表..单位..元","主营业务利润..报告期..2008三季..报表类型..合并报表..单位..元","主营业务利润..报告期..2008年报..报表类型..合并报表..单位..元","主营业务利润..报告期..2009一季..报表类型..合并报表..单位..元","主营业务利润..报告期..2009中报..报表类型..合并报表..单位..元","主营业务利润..报告期..2009三季..报表类型..合并报表..单位..元","主营业务利润..报告期..2009年报..报表类型..合并报表..单位..元","主营业务利润..报告期..2010一季..报表类型..合并报表..单位..元","主营业务利润..报告期..2010中报..报表类型..合并报表..单位..元","主营业务利润..报告期..2010三季..报表类型..合并报表..单位..元","主营业务利润..报告期..2010年报..报表类型..合并报表..单位..元","主营业务利润..报告期..2011一季..报表类型..合并报表..单位..元","主营业务利润..报告期..2011中报..报表类型..合并报表..单位..元","主营业务利润..报告期..2011三季..报表类型..合并报表..单位..元","主营业务利润..报告期..2011年报..报表类型..合并报表..单位..元","主营业务利润..报告期..2012一季..报表类型..合并报表..单位..元","主营业务利润..报告期..2012中报..报表类型..合并报表..单位..元","主营业务利润..报告期..2012三季..报表类型..合并报表..单位..元","主营业务利润..报告期..2012年报..报表类型..合并报表..单位..元","主营业务利润..报告期..2013一季..报表类型..合并报表..单位..元","主营业务利润..报告期..2013中报..报表类型..合并报表..单位..元","主营业务利润..报告期..2013三季..报表类型..合并报表..单位..元","主营业务利润..报告期..2013年报..报表类型..合并报表..单位..元","主营业务利润..报告期..2014一季..报表类型..合并报表..单位..元","主营业务利润..报告期..2014中报..报表类型..合并报表..单位..元","主营业务利润..报告期..2014三季..报表类型..合并报表..单位..元","主营业务利润..报告期..2014年报..报表类型..合并报表..单位..元","主营业务利润..报告期..2015一季..报表类型..合并报表..单位..元","主营业务利润..报告期..2015中报..报表类型..合并报表..单位..元","主营业务利润..报告期..2015三季..报表类型..合并报表..单位..元","主营业务利润..报告期..2015年报..报表类型..合并报表..单位..元","主营业务利润..报告期..2016一季..报表类型..合并报表..单位..元","主营业务利润..报告期..2016中报..报表类型..合并报表..单位..元","主营业务利润..报告期..2016三季..报表类型..合并报表..单位..元","主营业务利润..报告期..2016年报..报表类型..合并报表..单位..元","主营业务利润..报告期..2017一季..报表类型..合并报表..单位..元","主营业务利润..报告期..2017中报..报表类型..合并报表..单位..元","主营业务利润..报告期..2017三季..报表类型..合并报表..单位..元","主营业务利润..报告期..2017年报..报表类型..合并报表..单位..元"
"18","000021.SZ","计算机","","","","44,263,647.1800","","27,667,732.2400",NA,"54,201,367.1200","","41,314,262.7400","","128,510,083.5700","","201,183,123.9100","","319,835,770.6300","","178,442,745.7500",NA,"300,146,011.8300","","247,564,802.3600","","638,467,753.0000","","359,642,532.8800",NA,"598,049,865.6500","","173,309,711.7900","","429,150,780.3000","","128,721,344.5800","","238,687,524.4900","68,086,192.7800","158,556,559.7800","247,711,797.2900","437,483,892.5400","150,829,706.3100","246,132,338.3900","376,012,865.0800","625,783,102.9700","106,011,649.7400","190,209,871.3200","304,675,359.9600","417,758,178.2600","100,203,239.4100","206,255,902.0800","337,223,637.5500","434,850,329.4000","104,893,151.7000","211,567,005.0300","304,231,187.9200","384,014,682.7500","68,071,642.3800","122,031,978.1400","189,400,224.4900","275,262,308.1300","101,912,141.0800","191,863,916.2400","286,078,603.1500","414,328,100.4000","72,095,524.6200","182,256,764.0100","317,142,644.6300","484,783,825.6200","128,276,760.9800","256,056,455.3500","383,278,516.4900","498,995,150.4000","103,758,051.4400","231,551,752.6500","375,209,239.6700","497,579,465.9600","90,300,724.2900","198,313,566.9800","232,779,457.7300","402,710,421.3000","54,987,414.1200","117,177,547.2100","227,669,900.8500","337,535,317.3300","79,473,113.4500","243,014,508.6900","342,061,942.9500","507,687,541.9400","163,187,647.4400","269,655,607.6200","433,878,589.7800","645,346,632.6400","176,144,418.9800","346,756,519.2600","555,052,017.3600","803,590,978.4900","200,449,467.8200","376,055,194.4900","599,184,036.7900","818,260,301.5100"
"29","000034.SZ","计算机","","","","124,505,036.5400","","21,293,800.0000",NA,"19,725,030.6500","","1,524,600.0000","","-20,059,644.8900","","11,275,383.1500","","2,706,013.1300","","-11,879,170.3900",NA,"-105,226,589.0700","","11,058,571.7700","","1,780,252.3200","","37,834,073.3700",NA,"84,675,141.0100","","33,645,547.2700","","49,437,241.9300","","77,254,168.4800","98,860,213.4100","177,983,894.3500","17,355,500.0000","29,821,726.5600","44,577,612.1800","61,312,654.3900","13,347,137.1500","30,536,550.5900","65,005,865.5400","146,877,414.3200","142,006.3700","2,570,883.6800","2,478,670.6400","-75,091,587.7800","10,080,487.3100","8,333,982.2900","16,707,275.3600","7,180,458.7100","9,085,112.4000","13,931,395.6100","31,566,423.3900","30,390,910.5300","9,257,712.1800","20,653,714.2400","36,078,886.7300","37,011,439.8700","10,056,433.6100","16,812,585.4000","22,087,103.8300","24,572,552.3600","13,318,100.6500","28,544,481.4300","48,635,964.9000","58,741,566.5500","15,251,123.6000","33,060,995.5900","52,468,298.2500","69,839,308.3300","19,091,445.8100","36,752,890.0800","52,701,519.2600","63,211,160.9100","12,567,763.8100","27,283,160.9500","42,681,321.5400","58,497,761.5500","13,824,498.6600","29,195,397.4800","45,296,022.3400","61,670,127.8900","13,782,071.1300","26,221,019.2000","42,079,620.2000","61,381,123.5300","9,289,821.0600","20,344,630.3200","33,178,734.5200","47,054,609.0400","9,998,567.2600","648,198,605.3300","1,252,012,320.2300","1,908,985,237.0800","672,153,346.2100","1,354,297,340.8600","2,001,717,441.8400","2,834,952,399.5700"
"52","000066.SZ","计算机","","","","","","",NA,"21,581,290.4200","","","","7,915,305.4400","","","","11,318,188.6600","","6,349,725.7600",NA,"27,074,680.1400","","32,809,528.0900","","131,756,706.6200","","71,693,717.9800",NA,"158,573,255.6500","","82,436,604.0800","","152,658,930.4900","","94,044,143.4100","","111,957,769.3600","12,417,251.1300","37,422,015.8300","58,349,813.7000","60,425,716.1600","18,774,074.9100","34,228,034.0700","57,482,318.4100","65,260,332.0100","25,692,400.5600","52,723,935.8400","83,432,667.4700","108,786,719.6200","30,760,919.4900","76,304,315.1700","135,729,433.2100","180,323,878.3000","47,230,362.4100","97,463,899.2400","142,703,222.7800","182,402,597.7600","60,856,858.6200","145,665,836.3400","223,753,676.2900","304,582,161.5800","68,815,930.2200","124,753,209.9900","136,391,234.8200","200,293,519.3400","74,680,059.3500","161,378,128.0700","245,113,234.4200","1,465,018,817.4000","1,002,250,286.3700","2,182,103,880.9200","3,258,046,545.2500","4,684,974,287.5400","1,103,094,447.7600","2,305,659,217.6200","3,480,281,494.4000","4,968,880,426.6400","1,143,192,254.8000","2,624,078,972.1800","4,422,151,398.3900","6,445,637,782.5500","1,578,798,941.8100","3,207,342,984.5400","4,751,104,701.2600","6,513,867,468.6700","1,761,066,304.9300","3,410,583,514.5800","5,248,794,578.1800","7,184,182,810.1700","1,444,978,503.1000","2,694,799,300.8400","4,570,720,205.7000","6,576,623,139.9300","1,672,687,700.9700","3,475,873,143.3900","4,927,460,317.0800","6,627,206,490.5600","503,639,684.2300","952,244,313.6600","1,352,891,904.7500","1,982,641,013.6700"
"69","000158.SZ","计算机","","","","","","",NA,"","","","","","","","","","","",NA,"226,017,957.1700","","","","152,260,377.3100","","121,842,233.3300",NA,"291,509,985.5700","","193,087,205.9500","","333,901,953.3900","","104,974,513.2800","","188,505,323.1400","43,314,200.0000","133,335,248.8300","215,808,491.2200","295,369,523.7800","67,220,578.7300","142,821,947.5400","195,429,685.5100","263,649,200.9800","43,374,663.7400","123,786,104.0000","163,996,197.0700","225,773,536.5800","52,406,307.2100","122,917,111.2400","186,800,902.4300","257,411,173.1500","54,131,466.4600","133,907,471.9200","197,986,102.1700","265,925,214.8300","59,834,691.9200","130,496,686.1800","191,917,997.7300","230,200,788.1200","56,474,595.1400","127,662,093.2300","173,001,009.4700","183,817,510.7100","33,025,996.1700","69,914,921.8600","104,701,345.1100","143,781,960.6800","42,162,544.4900","110,562,374.6000","189,126,821.4500","296,508,000.6100","95,076,356.2900","139,986,255.1500","207,824,183.0000","239,395,856.6900","47,131,891.2400","110,555,495.2900","171,712,751.4100","238,397,577.9000","54,435,908.1200","90,918,331.2600","135,264,027.0900","197,535,281.2300","12,835,087.7300","27,460,567.4000","49,785,299.5800","72,297,309.4500","27,014,881.0000","151,326,883.9500","267,683,901.0800","591,866,346.9200","149,451,223.3600","334,692,284.5300","471,427,465.6800","793,430,684.1000","120,371,870.8800","317,562,244.1400","444,599,953.0100","765,056,074.5800"
"147","000555.SZ","计算机","","","","4,303,314.0000","","3,011,809.3200",NA,"8,803,940.0000","","159,701.0000","","-12,016,255.0000","","-4,323,243.0000","","-11,068,975.2900","","-3,046,932.5800",NA,"-1,001,626.6300","","-189,004.1800","","-5,874,878.7900","","-920,470.8300",NA,"-1,503,724.6600","","161,793.4700","","384,722.4400","","11,279,240.1800","","33,945,501.3400","4,476,312.6300","4,495,749.8700","9,469,514.0900","1,328,821.0800","279,871.3700","863,991.4600","1,003,646.1600","859,303.9600","355,841.5800","407,735.0900","720,003.3600","1,455,701.5400","767,372.1000","885,228.9900","1,206,542.0800","1,051,675.6900","","8,814.6100","8,814.6100","8,814.6100","","","","794,304.5600","2,013,628.6700","2,009,641.5800","2,879,641.5800","2,143,285.7700","742,114.1400","742,114.1400","742,114.1400","742,114.1400","5,712.0000","271,301.0000","730,242.2500","1,010,649.7500","244,248.0000","519,578.0000","923,733.0000","2,793,400.2000","226,339.0000","658,759.0000","847,283.0000","1,417,841.0000","100,446.0000","216,773.0000","260,466.0000","1,163,612,706.8800","202,738,375.1700","495,209,902.3400","763,107,765.7600","1,177,354,044.6400","241,300,433.1900","562,090,766.5000","879,724,083.5800","1,367,532,330.1600","254,814,563.2100","579,004,298.6600","907,861,041.1500","1,528,614,991.1100","316,478,951.4500","686,121,753.1400","1,051,600,771.0000","1,669,894,937.7000"
"184","000606.SZ","计算机","","","","1,503,383.0000","","",NA,"3,885,778.0000","","","","5,757,223.0000","","4,981,204.0000","","7,584,062.7300","","3,480,729.2900",NA,"9,253,181.6800","","7,798,904.8000","","22,092,433.8400","","11,074,873.0300",NA,"29,178,696.8400","","10,081,691.3000","","34,641,241.9700","","26,010,338.0200","","54,596,629.0300","12,024,836.7800","28,019,908.5900","42,517,679.6200","60,157,004.6700","8,729,979.6300","30,107,899.2000","45,301,709.6400","63,618,668.1400","12,536,642.2200","26,268,004.8300","39,343,070.4700","53,748,423.8500","15,219,713.9400","34,503,107.9600","48,947,509.6900","69,270,754.1300","16,216,804.6900","33,383,026.0800","53,429,001.3700","71,486,679.5200","17,131,033.5300","36,542,941.6800","60,924,087.3000","96,065,312.0200","38,510,958.6400","97,873,306.8200","140,482,755.3100","149,741,524.3900","24,154,073.5700","82,792,418.6000","168,504,272.7500","257,373,019.7600","89,013,824.0900","185,055,456.5300","296,767,642.5400","360,128,072.9300","89,302,674.1200","186,319,902.4600","213,763,303.0000","230,213,472.1200","16,304,367.7200","32,709,430.6200","55,513,923.0900","78,799,141.6300","16,952,217.6700","35,868,042.0400","51,778,552.7300","64,008,666.0400","4,616,254.6900","12,771,110.4400","7,854,327.6900","-4,183,967.5400","-1,271,247.1000","-5,335,924.7900","-30,423,730.3800","-46,530,824.2800","8,262.3900","49,129,026.8000","82,746,186.7900","122,329,302.7400","26,730,648.8700","77,261,577.5100","132,889,123.3100","194,737,861.7300"
"221","000662.SZ","计算机","","","","8,205,509.8500","","",NA,"6,850,216.3300","","","","12,062,268.5800","","5,585,449.2000","","17,794,755.2100","","9,131,012.1000",NA,"17,623,716.7100","","15,080,913.3100","","26,846,079.3400","","9,272,361.2600",NA,"3,969,088.2400","","331,084.5100","","1,525,243.0800","-244,891.5600","395,995.4900","952,000.0000","16,567,461.8400","29,617,225.0700","68,263,564.5000","95,215,186.4300","142,656,006.5200","32,812,893.8500","110,068,076.5200","170,032,113.7900","262,587,811.2500","77,591,273.6500","156,798,172.2100","220,024,455.3700","265,338,146.9900","71,799,799.3600","127,653,399.1300","180,826,301.4200","221,392,810.8200","40,613,301.2500","97,497,702.4100","156,338,637.2900","199,569,751.0400","50,684,305.6700","110,879,254.8600","159,997,760.8800","186,961,440.4100","42,619,074.3300","82,335,776.4400","121,576,762.1600","151,201,822.2200","31,204,685.1000","55,536,866.4700","80,488,158.3300","115,127,985.8200","25,386,043.8200","46,958,355.6800","73,752,087.0300","111,916,477.1400","35,828,654.3300","62,281,512.6000","90,367,814.6700","98,208,327.1200","36,614,328.2600","34,012,661.7900","45,913,912.2500","70,253,344.2700","21,538,208.6100","38,997,419.8900","54,486,329.8900","82,733,415.5400","18,662,151.3700","24,781,238.6600","50,247,170.5900","69,468,863.1900","12,116,682.4900","25,869,743.6400","35,292,833.4100","46,156,535.5600","7,598,133.9400","77,529,402.3500","189,812,853.6800","449,050,311.7200","86,375,620.3700","145,118,825.2100","180,287,052.3600","671,272,591.2200"
"416","000938.SZ","计算机","","","","","","",NA,"","","","","","","","","30,148,173.7400","","",NA,"58,884,041.4600","","","","87,227,383.1400","","31,607,278.6400",NA,"105,118,964.2600","","71,950,864.3900","","187,635,765.2800","","111,898,184.1400","","172,999,663.7600","21,623,707.4000","73,236,218.1000","107,691,750.5900","161,696,228.3900","39,946,334.3500","79,856,380.6100","131,858,771.9100","185,296,644.2200","46,130,843.1800","98,901,029.8200","143,239,756.8600","190,033,064.9200","39,465,941.2500","97,092,099.3400","142,802,169.0700","196,560,752.5400","41,364,926.4900","92,560,228.6900","139,638,752.5200","222,613,925.5600","51,124,748.1500","103,353,845.7900","168,282,440.6400","262,004,988.6700","45,975,881.6900","113,980,129.4700","175,788,790.8600","266,471,772.6700","54,606,166.8900","101,276,899.0100","137,026,888.5100","164,419,573.7200","33,965,154.5700","66,506,380.1600","99,766,027.9600","152,357,732.5100","39,689,216.8800","82,828,591.0200","141,279,632.0800","210,837,857.4600","48,525,296.2100","106,158,428.0800","175,297,523.7800","277,406,774.6200","70,729,232.8300","153,173,171.2600","255,284,853.5200","392,344,553.1500","96,568,361.6100","193,650,362.0300","314,321,751.5300","498,136,857.8400","118,835,274.4200","260,731,323.1600","393,639,952.0300","588,959,146.9100","117,214,464.9300","1,175,222,338.2000","3,040,772,900.5300","5,014,544,883.0400","1,781,824,917.7800","3,805,300,547.2300","6,065,518,829.4500","8,404,575,036.3100"
"418","000948.SZ","计算机","","","","","","",NA,"","","","","","","","","121,900,251.3200","","",NA,"141,500,513.7600","","","","145,928,191.9400","","56,539,786.2700",NA,"157,046,031.8700","","62,717,022.2500","","144,694,578.6400","","72,010,434.2500","","181,578,397.5400","33,057,323.6400","71,047,291.6600","112,825,459.2400","175,386,933.7000","34,659,734.0300","56,413,391.8300","81,068,147.1200","133,742,574.0000","27,360,072.5200","73,910,961.9300","107,150,135.5700","166,556,796.0900","39,636,434.0000","80,866,362.6600","115,709,704.0200","180,979,093.9300","38,659,388.7600","83,652,635.2100","123,663,677.4700","203,982,624.7900","40,188,331.1500","105,626,903.5600","161,774,855.6600","275,337,190.7300","63,528,234.5600","135,631,116.4600","208,072,307.7400","342,467,925.2600","61,189,868.4000","119,604,738.5600","206,935,465.8900","366,401,421.2400","80,402,409.6800","176,819,110.4900","277,349,369.2300","448,998,926.8200","78,042,743.6600","191,602,775.2400","289,782,851.9800","448,817,797.6000","59,375,381.7800","167,613,422.4900","257,461,465.6400","394,956,164.4000","37,874,961.3600","136,813,586.8300","229,769,224.3700","410,961,082.0600","37,277,349.6000","141,734,932.8500","236,312,612.7300","415,404,172.6400","42,058,380.1600","166,412,669.3100","266,312,091.1900","511,546,964.3000","59,908,481.9000","174,601,263.2900","292,323,103.8100","510,502,982.3100","73,964,798.9600","180,013,530.5600","297,519,239.3400","544,988,106.7100"
"443","000977.SZ","计算机","","","","","","",NA,"","","","","","","","","","","",NA,"141,871,992.8000","","","","104,367,935.5200","","40,304,100.7800",NA,"120,324,407.1600","","69,245,140.7300","","204,947,967.7200","","108,824,177.8900","","178,482,055.5500","17,831,635.5300","50,756,834.8400","78,027,668.2800","156,792,481.3200","54,201,171.3000","136,193,931.2200","206,034,872.4100","299,931,463.1300","61,616,406.5100","144,595,326.5400","225,247,020.5600","317,317,738.2200","51,487,431.6100","139,879,838.0700","188,667,978.0100","280,077,614.1700","19,161,803.5200","44,145,403.9000","74,404,634.6200","115,383,056.7500","22,459,487.3000","55,975,695.2500","92,544,384.1300","131,880,718.0100","27,889,290.6000","61,812,349.2600","101,270,147.8700","162,290,122.9300","43,408,277.9800","106,112,142.0500","141,118,155.0600","160,516,453.0200","40,670,016.4300","76,082,026.2400","127,893,717.1200","213,316,232.7200","66,070,817.7000","130,432,984.2400","197,026,227.5300","275,199,597.3200","110,984,845.7300","200,805,440.5100","320,505,450.1900","460,988,937.3600","102,681,465.8200","308,094,303.8300","526,123,485.6000","716,584,462.0900","179,856,297.6300","359,530,435.3900","649,111,236.9900","1,027,681,461.5900","306,592,431.6900","625,805,457.9400","984,087,011.8200","1,556,987,015.0400","352,252,341.0600","808,148,158.5300","1,210,198,801.9800","1,712,132,184.7000","428,190,476.8200","970,776,206.4000","1,733,813,840.1600","2,662,612,151.5300"
