"","证券代码","申万一级行业","主营业务利润..报告期..1993一季..报表类型..合并报表..单位..元","主营业务利润..报告期..1993中报..报表类型..合并报表..单位..元","主营业务利润..报告期..1993三季..报表类型..合并报表..单位..元","主营业务利润..报告期..1993年报..报表类型..合并报表..单位..元","主营业务利润..报告期..1994一季..报表类型..合并报表..单位..元","主营业务利润..报告期..1994中报..报表类型..合并报表..单位..元","主营业务利润..报告期..1994三季..报表类型..合并报表..单位..元","主营业务利润..报告期..1994年报..报表类型..合并报表..单位..元","主营业务利润..报告期..1995一季..报表类型..合并报表..单位..元","主营业务利润..报告期..1995中报..报表类型..合并报表..单位..元","主营业务利润..报告期..1995三季..报表类型..合并报表..单位..元","主营业务利润..报告期..1995年报..报表类型..合并报表..单位..元","主营业务利润..报告期..1996一季..报表类型..合并报表..单位..元","主营业务利润..报告期..1996中报..报表类型..合并报表..单位..元","主营业务利润..报告期..1996三季..报表类型..合并报表..单位..元","主营业务利润..报告期..1996年报..报表类型..合并报表..单位..元","主营业务利润..报告期..1997一季..报表类型..合并报表..单位..元","主营业务利润..报告期..1997中报..报表类型..合并报表..单位..元","主营业务利润..报告期..1997三季..报表类型..合并报表..单位..元","主营业务利润..报告期..1997年报..报表类型..合并报表..单位..元","主营业务利润..报告期..1998一季..报表类型..合并报表..单位..元","主营业务利润..报告期..1998中报..报表类型..合并报表..单位..元","主营业务利润..报告期..1998三季..报表类型..合并报表..单位..元","主营业务利润..报告期..1998年报..报表类型..合并报表..单位..元","主营业务利润..报告期..1999一季..报表类型..合并报表..单位..元","主营业务利润..报告期..1999中报..报表类型..合并报表..单位..元","主营业务利润..报告期..1999三季..报表类型..合并报表..单位..元","主营业务利润..报告期..1999年报..报表类型..合并报表..单位..元","主营业务利润..报告期..2000一季..报表类型..合并报表..单位..元","主营业务利润..报告期..2000中报..报表类型..合并报表..单位..元","主营业务利润..报告期..2000三季..报表类型..合并报表..单位..元","主营业务利润..报告期..2000年报..报表类型..合并报表..单位..元","主营业务利润..报告期..2001一季..报表类型..合并报表..单位..元","主营业务利润..报告期..2001中报..报表类型..合并报表..单位..元","主营业务利润..报告期..2001三季..报表类型..合并报表..单位..元","主营业务利润..报告期..2001年报..报表类型..合并报表..单位..元","主营业务利润..报告期..2002一季..报表类型..合并报表..单位..元","主营业务利润..报告期..2002中报..报表类型..合并报表..单位..元","主营业务利润..报告期..2002三季..报表类型..合并报表..单位..元","主营业务利润..报告期..2002年报..报表类型..合并报表..单位..元","主营业务利润..报告期..2003一季..报表类型..合并报表..单位..元","主营业务利润..报告期..2003中报..报表类型..合并报表..单位..元","主营业务利润..报告期..2003三季..报表类型..合并报表..单位..元","主营业务利润..报告期..2003年报..报表类型..合并报表..单位..元","主营业务利润..报告期..2004一季..报表类型..合并报表..单位..元","主营业务利润..报告期..2004中报..报表类型..合并报表..单位..元","主营业务利润..报告期..2004三季..报表类型..合并报表..单位..元","主营业务利润..报告期..2004年报..报表类型..合并报表..单位..元","主营业务利润..报告期..2005一季..报表类型..合并报表..单位..元","主营业务利润..报告期..2005中报..报表类型..合并报表..单位..元","主营业务利润..报告期..2005三季..报表类型..合并报表..单位..元","主营业务利润..报告期..2005年报..报表类型..合并报表..单位..元","主营业务利润..报告期..2006一季..报表类型..合并报表..单位..元","主营业务利润..报告期..2006中报..报表类型..合并报表..单位..元","主营业务利润..报告期..2006三季..报表类型..合并报表..单位..元","主营业务利润..报告期..2006年报..报表类型..合并报表..单位..元","主营业务利润..报告期..2007一季..报表类型..合并报表..单位..元","主营业务利润..报告期..2007中报..报表类型..合并报表..单位..元","主营业务利润..报告期..2007三季..报表类型..合并报表..单位..元","主营业务利润..报告期..2007年报..报表类型..合并报表..单位..元","主营业务利润..报告期..2008一季..报表类型..合并报表..单位..元","主营业务利润..报告期..2008中报..报表类型..合并报表..单位..元","主营业务利润..报告期..2008三季..报表类型..合并报表..单位..元","主营业务利润..报告期..2008年报..报表类型..合并报表..单位..元","主营业务利润..报告期..2009一季..报表类型..合并报表..单位..元","主营业务利润..报告期..2009中报..报表类型..合并报表..单位..元","主营业务利润..报告期..2009三季..报表类型..合并报表..单位..元","主营业务利润..报告期..2009年报..报表类型..合并报表..单位..元","主营业务利润..报告期..2010一季..报表类型..合并报表..单位..元","主营业务利润..报告期..2010中报..报表类型..合并报表..单位..元","主营业务利润..报告期..2010三季..报表类型..合并报表..单位..元","主营业务利润..报告期..2010年报..报表类型..合并报表..单位..元","主营业务利润..报告期..2011一季..报表类型..合并报表..单位..元","主营业务利润..报告期..2011中报..报表类型..合并报表..单位..元","主营业务利润..报告期..2011三季..报表类型..合并报表..单位..元","主营业务利润..报告期..2011年报..报表类型..合并报表..单位..元","主营业务利润..报告期..2012一季..报表类型..合并报表..单位..元","主营业务利润..报告期..2012中报..报表类型..合并报表..单位..元","主营业务利润..报告期..2012三季..报表类型..合并报表..单位..元","主营业务利润..报告期..2012年报..报表类型..合并报表..单位..元","主营业务利润..报告期..2013一季..报表类型..合并报表..单位..元","主营业务利润..报告期..2013中报..报表类型..合并报表..单位..元","主营业务利润..报告期..2013三季..报表类型..合并报表..单位..元","主营业务利润..报告期..2013年报..报表类型..合并报表..单位..元","主营业务利润..报告期..2014一季..报表类型..合并报表..单位..元","主营业务利润..报告期..2014中报..报表类型..合并报表..单位..元","主营业务利润..报告期..2014三季..报表类型..合并报表..单位..元","主营业务利润..报告期..2014年报..报表类型..合并报表..单位..元","主营业务利润..报告期..2015一季..报表类型..合并报表..单位..元","主营业务利润..报告期..2015中报..报表类型..合并报表..单位..元","主营业务利润..报告期..2015三季..报表类型..合并报表..单位..元","主营业务利润..报告期..2015年报..报表类型..合并报表..单位..元","主营业务利润..报告期..2016一季..报表类型..合并报表..单位..元","主营业务利润..报告期..2016中报..报表类型..合并报表..单位..元","主营业务利润..报告期..2016三季..报表类型..合并报表..单位..元","主营业务利润..报告期..2016年报..报表类型..合并报表..单位..元","主营业务利润..报告期..2017一季..报表类型..合并报表..单位..元","主营业务利润..报告期..2017中报..报表类型..合并报表..单位..元","主营业务利润..报告期..2017三季..报表类型..合并报表..单位..元","主营业务利润..报告期..2017年报..报表类型..合并报表..单位..元"
"22","000026.SZ","轻工制造","","","","54,034,288.9000","","35,589,075.3900",NA,"47,762,534.6800","","34,933,181.4700","","66,548,549.0600","","26,821,617.3900","","60,271,375.9900","","45,341,979.8600",NA,"66,908,677.1700","","78,155,622.4500","","158,268,940.6600","","59,474,618.3900",NA,"128,148,892.2600","","52,738,560.5300","","106,126,802.6200","","42,976,759.9900","62,337,167.8300","81,417,594.0000","19,512,348.0000","37,006,007.5400","56,374,448.8300","74,668,366.0000","20,096,022.2300","34,415,632.2600","46,371,056.4100","88,698,251.0000","25,564,913.4500","49,743,114.7100","74,162,986.8200","101,141,752.0000","29,825,570.5600","57,364,930.8400","89,515,870.3300","129,173,020.4200","38,940,273.1400","81,125,167.4600","120,318,658.0900","175,387,995.8800","59,130,772.6000","117,869,996.5600","186,273,949.4800","279,231,442.5400","88,276,225.1800","179,294,109.1800","270,722,966.1300","380,741,474.0600","90,776,022.1600","188,579,830.7800","288,442,658.9900","402,113,314.0900","119,128,198.2400","242,425,073.5800","380,179,448.9200","565,252,476.1900","193,872,457.0200","406,004,864.5800","631,100,839.7800","887,729,413.1500","243,314,709.3300","488,387,240.9600","756,834,890.4500","1,023,061,610.6000","258,587,864.1500","527,885,280.6500","808,187,490.2300","1,090,626,768.9500","297,117,144.1100","594,239,364.1600","897,532,931.7900","1,199,525,947.1200","324,760,294.0000","630,732,909.6900","940,442,297.4200","1,202,008,036.6800","290,113,010.5400","584,795,920.5500","894,664,427.4300","1,187,005,787.2000","320,367,813.6900","642,879,962.2300","998,239,571.6000","1,326,285,853.8300"
"100","000488.SZ","轻工制造","","","","","","",NA,"","","","","","","","","","","89,894,391.4500",NA,"199,752,023.0000","","174,076,968.3400","","338,203,769.6100","","251,984,426.3900",NA,"575,526,653.7000","","351,557,433.7600","","683,060,936.2900","","280,836,768.8700","","594,581,256.4300","165,905,342.1400","443,543,939.4300","780,966,414.8100","1,248,045,998.3400","383,178,695.1500","838,092,394.1100","1,209,775,862.1700","1,624,729,186.8200","443,090,614.0900","890,231,243.7500","1,320,359,796.2000","1,653,273,517.0300","448,741,345.3500","915,759,518.0000","1,428,867,325.2400","1,945,491,131.5200","544,956,938.7100","1,082,344,724.7100","1,602,508,896.7300","2,213,998,867.2800","536,188,685.4100","1,275,582,533.6500","2,170,238,468.5100","3,072,406,550.4400","880,050,780.3100","1,898,430,569.9400","2,687,117,518.4000","2,960,248,740.6600","273,852,703.1300","1,039,002,480.0200","1,899,746,705.4000","2,810,944,681.2700","771,867,806.2700","1,769,843,769.1100","2,580,808,013.3000","3,490,004,088.9800","734,809,036.5400","1,502,582,961.0700","2,158,965,279.2400","2,740,619,196.3900","635,432,383.6200","1,432,091,813.9000","2,186,795,229.4500","2,989,220,916.7500","777,485,325.1700","1,737,584,036.0900","2,699,477,102.2500","3,651,171,836.7900","720,523,225.0800","1,667,521,482.9200","2,617,228,310.0800","3,687,544,225.4400","939,338,503.8600","2,297,079,039.7900","3,773,736,384.1900","5,344,195,965.4000","1,488,850,418.0600","3,256,902,985.5000","5,048,165,075.3000","6,868,338,586.5400","1,948,156,358.6500","4,472,208,006.3900","7,131,575,598.5300","9,903,478,993.4100"
"169","000587.SZ","轻工制造","","","","44,998,732.9800","","",NA,"48,509,481.1300","","","","55,523,965.6300","","13,020,000.0000","","48,125,778.8600","","19,600,000.0000",NA,"37,226,280.6400","","41,621,282.8400","","69,952,954.7300","","21,974,697.6600",NA,"77,314,896.4400","","24,839,739.0100","","93,640,184.4900","","28,377,277.6500","","73,380,504.8300","10,672,529.6100","21,483,157.5600","23,793,590.4000","17,766,186.1700","5,037,343.8200","4,178,400.4900","7,865,758.8100","-10,958,221.7000","12,221,467.5200","17,813,818.3300","18,874,854.5000","26,454,931.9900","8,887,803.9300","14,098,755.8200","18,455,060.9800","-4,920,209.9000","7,492,186.7600","9,961,327.6800","8,609,790.2700","866,037.9000","3,215,477.1600","10,790,682.6700","11,788,755.9900","9,218,604.2000","-328,009.5700","-3,334,877.1500","-4,931,654.6800","13,014,995.3100","3,446,588.1600","2,265,603.5000","3,636,692.3400","23,107,973.3600","425,116.1200","8,882,191.9500","12,889,605.2800","-32,574,639.3400","","","153,133,109.5800","274,699,495.4700","81,736,059.1500","177,520,507.4000","277,892,238.0100","413,521,463.2700","84,040,821.2400","196,577,170.9700","334,198,814.9700","459,451,100.3700","122,469,732.9900","230,448,143.4900","352,973,605.4600","479,567,101.8300","101,464,537.5900","232,743,989.0400","359,372,570.1400","747,035,953.7100","308,566,303.8600","955,150,110.0400","1,235,969,055.9500","1,923,527,423.6900","207,140,756.9800","381,710,025.0800","909,434,387.4700","1,664,070,568.7500"
"219","000659.SZ","轻工制造","","","","43,033,439.9200","","",NA,"53,792,485.3200","","","","59,625,014.3000","","37,558,625.5000","","75,166,180.5500","","40,728,824.0900",NA,"118,077,174.9400","","106,683,812.6700","","169,544,830.3000","","78,887,545.6700",NA,"222,913,721.8800","","86,979,837.2600","","188,043,258.7600","","78,670,952.7400","","197,831,549.6500","63,214,893.6100","153,423,988.2500","233,621,446.1300","306,684,370.0000","71,825,565.0900","157,332,361.4700","232,468,069.7900","288,214,676.2100","102,448,806.2200","213,395,185.8400","324,670,669.2200","398,491,767.9300","95,214,663.5600","217,207,173.8700","344,359,216.1700","418,155,143.4900","119,097,788.2700","258,781,065.7200","409,652,685.8000","520,123,315.9900","133,812,453.2700","309,005,603.9300","521,998,792.2500","614,957,050.8400","158,387,830.9100","348,659,751.5500","551,701,261.4700","664,538,753.3500","147,332,536.4400","363,399,797.9700","621,721,160.0200","733,821,614.9800","160,594,642.0100","373,484,371.5300","645,832,383.8600","760,480,492.0900","168,189,443.8000","381,275,126.4100","587,398,293.5000","657,522,080.6900","101,446,158.2100","262,839,564.4600","422,285,691.4800","420,244,121.9000","61,484,165.0200","181,119,856.0100","315,931,099.9600","338,677,753.8000","97,448,225.5900","256,784,861.3000","410,059,132.7100","419,501,879.2400","61,022,462.5700","201,027,795.0700","306,427,786.1800","335,398,170.3700","58,244,881.8900","152,341,227.8200","239,823,759.8500","227,130,801.1800","76,640,097.2200","165,822,618.8600","270,894,722.2000","318,985,007.5500"
"222","000663.SZ","轻工制造","","","","11,788,700.0000","","",NA,"18,957,320.0000","","","","19,130,929.0000","","10,675,120.0000","","27,479,958.6500","","16,129,116.0900",NA,"56,617,380.5300","","41,388,337.1600","","90,060,368.1400","","68,680,103.9600",NA,"85,244,265.6300","","38,750,727.8700","","59,937,042.0200","","35,747,893.5800","","77,803,315.3400","7,894,225.1300","27,649,153.4600","43,762,271.7600","70,476,508.0100","13,811,798.2800","39,683,454.1300","60,713,356.6000","83,525,740.2700","11,985,844.7400","35,067,827.3100","57,822,361.9700","93,165,543.2600","14,018,702.7100","36,046,622.1700","58,706,284.2700","89,140,276.2600","9,841,508.6100","26,402,679.4100","42,093,674.8600","77,058,166.8200","22,993,580.3000","49,160,883.9400","82,868,351.4000","111,605,316.8800","23,065,207.7400","42,253,101.9000","63,093,919.1500","96,650,545.9800","14,271,655.5500","27,973,917.4900","44,922,862.7000","66,031,300.4800","6,267,684.8300","19,477,746.8200","38,809,688.7100","56,937,006.2000","9,934,717.2400","25,052,233.3300","50,049,720.1700","60,530,433.2200","13,688,463.4500","37,297,276.5300","58,506,302.5600","72,278,193.0200","9,599,431.2400","20,538,924.9200","39,315,631.7500","55,198,883.1600","8,110,338.8200","26,794,896.6000","49,330,783.4200","70,314,114.8800","12,438,587.0600","34,852,855.2200","75,088,295.9300","201,670,359.0700","41,208,647.2000","155,010,839.8600","209,381,408.0400","318,152,523.3900","28,020,649.5800","115,396,012.2500","196,084,095.0000","284,831,250.7500"
"329","000812.SZ","轻工制造","","","","","","",NA,"","","","","11,401,186.5700","","","","24,067,204.9800","","20,728,987.1500",NA,"48,935,361.0200","","17,160,974.9100","","48,565,986.1400","","24,177,521.3000",NA,"56,288,388.0300","","28,374,532.7000","","58,160,505.5700","","24,318,001.1400","","42,159,829.6200","8,298,132.8700","31,279,093.8900","41,396,137.0400","75,995,192.9200","11,831,375.3300","25,239,367.3600","80,552,333.4000","67,482,392.0500","13,728,997.6000","30,589,672.4100","46,657,925.5500","65,620,382.1400","20,178,702.6100","37,818,140.2200","51,508,503.8700","62,910,193.4500","14,740,724.3300","28,842,641.9600","37,385,221.8400","51,143,612.5600","14,887,169.1600","40,803,656.1800","66,199,616.6400","99,749,927.2500","25,176,068.4300","52,147,606.0800","77,990,480.5100","117,756,708.4700","29,006,786.3800","63,874,720.1600","95,995,030.2400","144,724,904.3700","36,405,033.7600","71,970,623.7000","99,202,260.9600","153,443,707.0600","42,397,423.6100","82,543,986.8200","126,519,361.9000","192,559,866.5300","40,625,396.8200","85,926,474.5900","144,485,749.1100","194,952,989.3700","54,431,641.9500","113,915,370.6100","161,495,156.3100","211,851,367.8900","63,364,950.0100","109,441,695.0700","156,574,525.4000","191,965,802.4400","43,049,962.0900","81,906,682.8800","118,082,612.8200","158,231,631.1400","44,987,517.7500","78,569,302.7200","119,224,903.0900","199,766,497.7300","44,137,185.6700","85,940,452.3100","128,355,362.3600","211,780,220.5200"
"331","000815.SZ","轻工制造","","","","","","",NA,"","","","","10,248,944.0000","","","","28,697,031.8500","","",NA,"19,552,728.6600","","17,787,755.2100","","30,300,769.5600","","17,965,048.8300",NA,"46,149,768.5400","","22,863,011.2800","","58,995,668.8900","","27,653,719.7300","40,986,073.0600","63,424,899.7700","14,050,478.6600","33,673,250.0800","51,491,668.7700","77,119,226.4500","24,626,903.1700","51,871,437.9000","78,308,740.2500","114,456,781.4100","27,317,504.8500","64,739,488.6800","104,422,516.6400","138,210,007.6000","30,720,075.3500","73,583,628.0400","105,650,097.5000","148,677,900.0500","28,358,323.8600","68,949,162.8200","105,408,540.6300","111,482,595.2600","27,326,588.5700","60,408,251.4600","93,736,768.8500","129,577,851.3700","45,871,633.4200","97,400,306.9100","140,297,792.7100","179,625,026.8800","31,715,697.2800","63,603,031.2800","89,691,930.2700","136,439,867.1600","36,959,883.2700","82,738,527.4400","117,620,709.9400","143,775,846.1600","35,049,069.5300","55,184,004.2400","70,298,598.3900","60,600,805.0200","24,066,177.3000","33,800,462.3500","60,065,394.4000","163,570,616.2600","15,264,562.9100","2,932,023.8800","-5,530,439.1100","-20,389,991.9700","-11,776,500.4500","-17,130,454.7200","-13,015,331.6400","-21,393,534.2100","6,943,525.6900","13,921,859.8300","20,164,901.9000","28,684,048.7400","6,717,550.8900","15,948,936.2000","25,380,877.0000","32,390,047.0400","13,674,048.1200","40,980,505.3400","70,987,911.7900","114,911,641.0800"
"392","000910.SZ","轻工制造","","","","","","",NA,"","","","","","","","","82,731,264.8800","","",NA,"116,977,959.8200","","","","114,235,482.1700","","35,119,980.6700",NA,"94,772,223.1700","","34,099,876.4200","","103,562,563.4000","","45,811,383.2100","","118,862,772.2100","23,032,636.1700","57,383,078.8300","102,562,640.9100","170,799,777.4900","63,934,686.3200","136,108,695.8300","202,417,278.6200","309,415,281.7200","65,613,811.3100","166,783,272.6500","266,466,063.1300","400,847,662.3100","74,025,752.1000","218,436,746.1700","346,583,655.3500","490,595,786.4900","98,199,984.4800","292,861,204.8400","524,296,152.7600","828,110,208.2700","225,293,573.8000","559,607,797.3000","881,179,658.3200","1,238,813,242.7800","249,302,919.2500","607,766,791.0300","923,825,387.3700","1,314,429,721.5400","230,977,701.2600","595,219,795.9100","1,021,544,370.3400","1,509,339,104.2900","302,631,524.4200","722,226,047.4000","1,191,709,581.9800","1,703,418,166.7100","316,140,575.1200","778,239,585.1700","1,210,116,453.4900","1,733,865,281.3200","326,802,457.0300","801,692,632.2200","1,314,079,418.3700","1,915,859,132.4300","326,700,440.7100","844,523,838.1100","1,362,252,895.6800","1,976,588,573.8400","391,616,454.4900","915,975,784.5900","1,496,998,423.5700","2,125,929,280.6300","438,669,428.2000","971,975,738.0600","1,561,727,062.6000","2,133,021,721.5600","375,226,586.9200","887,241,851.5500","1,439,054,489.9000","2,118,842,617.2600","429,434,130.3200","984,554,210.1500","1,648,205,647.2700","2,393,422,216.8400"
"476","002012.SZ","轻工制造","","","","","","",NA,"","","","","","","","","","","",NA,"","","","","","","",NA,"","","","","","","","","66,890,059.0000","","","","94,326,443.0000","","47,165,530.0000","73,994,391.0000","104,770,453.0000","25,855,968.0000","54,057,223.0000","82,843,098.0000","114,665,968.0000","35,864,193.0000","57,420,248.0000","81,248,621.0000","99,986,414.2500","18,554,404.4400","41,828,945.1500","62,853,056.2900","83,367,927.5800","10,216,661.2600","31,235,497.9600","54,432,623.6500","77,397,374.7400","19,813,778.7900","46,950,295.7200","78,263,941.2000","102,571,641.3300","26,879,456.7600","76,134,346.6300","129,651,572.2800","188,905,129.5400","65,710,340.6800","135,918,012.6000","202,333,065.1600","268,996,885.0300","75,614,043.5200","165,566,797.0500","257,998,952.5400","330,397,916.6400","63,595,435.8000","136,906,121.9000","203,802,536.1900","273,007,786.7700","63,986,028.2900","129,848,399.1000","197,421,357.0500","276,864,750.5200","54,790,481.7400","121,879,185.4900","183,748,359.9300","255,226,205.3600","53,624,730.4800","117,368,582.9000","172,325,220.8100","238,880,840.2700","49,227,523.0900","105,003,307.1000","157,565,216.7300","244,655,843.5900","55,278,802.3700","109,755,319.7600","170,148,746.5600","239,746,697.5700"
"478","002014.SZ","轻工制造","","","","","","",NA,"","","","","","","","","","","",NA,"","","","","","","",NA,"","","","","","","","","47,916,001.6200","","","","75,974,647.2600","","43,231,148.7700","67,018,983.8900","92,367,611.8400","25,542,312.2600","48,176,622.5800","68,320,415.1800","93,282,075.3000","23,652,699.7900","50,906,093.4500","76,105,310.6600","104,557,005.1200","32,681,111.5600","63,885,064.0200","86,466,759.0300","118,249,403.2500","39,545,909.0200","78,567,292.5000","117,281,058.5400","161,674,440.3000","49,805,180.1700","97,437,863.2400","154,559,293.7500","206,355,818.8900","51,886,043.3500","108,546,420.9200","157,462,469.2900","236,973,905.5600","65,148,221.7700","116,900,636.0200","175,748,390.8000","250,638,229.5300","73,454,547.7200","141,553,616.0000","213,917,306.3100","297,134,803.0200","79,171,505.2000","156,469,330.5300","236,667,472.3600","331,872,304.9300","86,170,399.0500","153,503,385.4800","225,922,940.6800","327,675,149.4500","68,099,873.9500","133,991,307.5100","212,143,306.6700","308,871,498.6700","83,659,734.1500","167,609,594.6400","251,312,909.9500","368,874,301.1200","87,640,110.4900","185,539,254.9100","302,628,353.4500","428,649,730.0700","90,889,313.0600","183,420,054.3300","299,144,183.8000","439,396,622.6800"
