"","证券代码","申万一级行业","主营业务利润..报告期..1993一季..报表类型..合并报表..单位..元","主营业务利润..报告期..1993中报..报表类型..合并报表..单位..元","主营业务利润..报告期..1993三季..报表类型..合并报表..单位..元","主营业务利润..报告期..1993年报..报表类型..合并报表..单位..元","主营业务利润..报告期..1994一季..报表类型..合并报表..单位..元","主营业务利润..报告期..1994中报..报表类型..合并报表..单位..元","主营业务利润..报告期..1994三季..报表类型..合并报表..单位..元","主营业务利润..报告期..1994年报..报表类型..合并报表..单位..元","主营业务利润..报告期..1995一季..报表类型..合并报表..单位..元","主营业务利润..报告期..1995中报..报表类型..合并报表..单位..元","主营业务利润..报告期..1995三季..报表类型..合并报表..单位..元","主营业务利润..报告期..1995年报..报表类型..合并报表..单位..元","主营业务利润..报告期..1996一季..报表类型..合并报表..单位..元","主营业务利润..报告期..1996中报..报表类型..合并报表..单位..元","主营业务利润..报告期..1996三季..报表类型..合并报表..单位..元","主营业务利润..报告期..1996年报..报表类型..合并报表..单位..元","主营业务利润..报告期..1997一季..报表类型..合并报表..单位..元","主营业务利润..报告期..1997中报..报表类型..合并报表..单位..元","主营业务利润..报告期..1997三季..报表类型..合并报表..单位..元","主营业务利润..报告期..1997年报..报表类型..合并报表..单位..元","主营业务利润..报告期..1998一季..报表类型..合并报表..单位..元","主营业务利润..报告期..1998中报..报表类型..合并报表..单位..元","主营业务利润..报告期..1998三季..报表类型..合并报表..单位..元","主营业务利润..报告期..1998年报..报表类型..合并报表..单位..元","主营业务利润..报告期..1999一季..报表类型..合并报表..单位..元","主营业务利润..报告期..1999中报..报表类型..合并报表..单位..元","主营业务利润..报告期..1999三季..报表类型..合并报表..单位..元","主营业务利润..报告期..1999年报..报表类型..合并报表..单位..元","主营业务利润..报告期..2000一季..报表类型..合并报表..单位..元","主营业务利润..报告期..2000中报..报表类型..合并报表..单位..元","主营业务利润..报告期..2000三季..报表类型..合并报表..单位..元","主营业务利润..报告期..2000年报..报表类型..合并报表..单位..元","主营业务利润..报告期..2001一季..报表类型..合并报表..单位..元","主营业务利润..报告期..2001中报..报表类型..合并报表..单位..元","主营业务利润..报告期..2001三季..报表类型..合并报表..单位..元","主营业务利润..报告期..2001年报..报表类型..合并报表..单位..元","主营业务利润..报告期..2002一季..报表类型..合并报表..单位..元","主营业务利润..报告期..2002中报..报表类型..合并报表..单位..元","主营业务利润..报告期..2002三季..报表类型..合并报表..单位..元","主营业务利润..报告期..2002年报..报表类型..合并报表..单位..元","主营业务利润..报告期..2003一季..报表类型..合并报表..单位..元","主营业务利润..报告期..2003中报..报表类型..合并报表..单位..元","主营业务利润..报告期..2003三季..报表类型..合并报表..单位..元","主营业务利润..报告期..2003年报..报表类型..合并报表..单位..元","主营业务利润..报告期..2004一季..报表类型..合并报表..单位..元","主营业务利润..报告期..2004中报..报表类型..合并报表..单位..元","主营业务利润..报告期..2004三季..报表类型..合并报表..单位..元","主营业务利润..报告期..2004年报..报表类型..合并报表..单位..元","主营业务利润..报告期..2005一季..报表类型..合并报表..单位..元","主营业务利润..报告期..2005中报..报表类型..合并报表..单位..元","主营业务利润..报告期..2005三季..报表类型..合并报表..单位..元","主营业务利润..报告期..2005年报..报表类型..合并报表..单位..元","主营业务利润..报告期..2006一季..报表类型..合并报表..单位..元","主营业务利润..报告期..2006中报..报表类型..合并报表..单位..元","主营业务利润..报告期..2006三季..报表类型..合并报表..单位..元","主营业务利润..报告期..2006年报..报表类型..合并报表..单位..元","主营业务利润..报告期..2007一季..报表类型..合并报表..单位..元","主营业务利润..报告期..2007中报..报表类型..合并报表..单位..元","主营业务利润..报告期..2007三季..报表类型..合并报表..单位..元","主营业务利润..报告期..2007年报..报表类型..合并报表..单位..元","主营业务利润..报告期..2008一季..报表类型..合并报表..单位..元","主营业务利润..报告期..2008中报..报表类型..合并报表..单位..元","主营业务利润..报告期..2008三季..报表类型..合并报表..单位..元","主营业务利润..报告期..2008年报..报表类型..合并报表..单位..元","主营业务利润..报告期..2009一季..报表类型..合并报表..单位..元","主营业务利润..报告期..2009中报..报表类型..合并报表..单位..元","主营业务利润..报告期..2009三季..报表类型..合并报表..单位..元","主营业务利润..报告期..2009年报..报表类型..合并报表..单位..元","主营业务利润..报告期..2010一季..报表类型..合并报表..单位..元","主营业务利润..报告期..2010中报..报表类型..合并报表..单位..元","主营业务利润..报告期..2010三季..报表类型..合并报表..单位..元","主营业务利润..报告期..2010年报..报表类型..合并报表..单位..元","主营业务利润..报告期..2011一季..报表类型..合并报表..单位..元","主营业务利润..报告期..2011中报..报表类型..合并报表..单位..元","主营业务利润..报告期..2011三季..报表类型..合并报表..单位..元","主营业务利润..报告期..2011年报..报表类型..合并报表..单位..元","主营业务利润..报告期..2012一季..报表类型..合并报表..单位..元","主营业务利润..报告期..2012中报..报表类型..合并报表..单位..元","主营业务利润..报告期..2012三季..报表类型..合并报表..单位..元","主营业务利润..报告期..2012年报..报表类型..合并报表..单位..元","主营业务利润..报告期..2013一季..报表类型..合并报表..单位..元","主营业务利润..报告期..2013中报..报表类型..合并报表..单位..元","主营业务利润..报告期..2013三季..报表类型..合并报表..单位..元","主营业务利润..报告期..2013年报..报表类型..合并报表..单位..元","主营业务利润..报告期..2014一季..报表类型..合并报表..单位..元","主营业务利润..报告期..2014中报..报表类型..合并报表..单位..元","主营业务利润..报告期..2014三季..报表类型..合并报表..单位..元","主营业务利润..报告期..2014年报..报表类型..合并报表..单位..元","主营业务利润..报告期..2015一季..报表类型..合并报表..单位..元","主营业务利润..报告期..2015中报..报表类型..合并报表..单位..元","主营业务利润..报告期..2015三季..报表类型..合并报表..单位..元","主营业务利润..报告期..2015年报..报表类型..合并报表..单位..元","主营业务利润..报告期..2016一季..报表类型..合并报表..单位..元","主营业务利润..报告期..2016中报..报表类型..合并报表..单位..元","主营业务利润..报告期..2016三季..报表类型..合并报表..单位..元","主营业务利润..报告期..2016年报..报表类型..合并报表..单位..元","主营业务利润..报告期..2017一季..报表类型..合并报表..单位..元","主营业务利润..报告期..2017中报..报表类型..合并报表..单位..元","主营业务利润..报告期..2017三季..报表类型..合并报表..单位..元","主营业务利润..报告期..2017年报..报表类型..合并报表..单位..元"
"257","000708.SZ","钢铁","","","","153,931,200.0000","","",NA,"203,177,100.0000","","","","113,631,100.0000","","","","112,272,124.7300","","69,888,766.1500",NA,"149,956,975.4400","","137,973,033.8800","","234,464,701.3600","","105,121,742.1000",NA,"170,328,233.1400","","55,001,983.9200","","71,332,429.8400","","74,666,555.3100","","127,689,739.8000","58,560,267.9100","113,375,116.6600","159,980,694.1300","219,517,450.0000","55,644,535.6900","106,928,922.2700","178,021,718.4000","146,135,977.0000","46,404,954.5700","141,826,983.0000","205,258,743.6200","233,613,570.0000","40,614,323.0000","109,739,644.0000","155,011,343.0000","223,704,216.0000","83,328,062.0000","184,643,327.0000","287,948,744.0000","394,714,610.0000","116,759,003.0000","262,952,240.0000","383,224,638.0000","468,354,725.0000","130,498,123.0000","293,327,021.0000","421,167,737.0000","334,168,436.0000","39,936,380.0000","245,928,431.0000","387,412,025.0000","521,966,330.0000","229,285,771.0000","474,631,776.0000","653,169,948.0000","807,520,454.0000","248,418,316.0000","478,182,852.0000","648,571,102.0000","769,310,631.0000","157,687,773.0000","306,950,811.0000","362,594,889.0000","658,161,901.0000","154,823,214.0000","333,600,694.0000","496,848,795.0000","691,474,525.0000","138,003,771.0000","379,809,060.0000","595,129,347.0000","759,974,276.5100","180,573,319.0900","391,703,776.5000","514,564,212.5600","666,986,471.5900","155,121,481.7100","372,959,578.6100","566,490,606.4200","779,444,635.7100","211,536,985.5300","523,342,827.3300","766,899,208.1000","1,136,840,619.0100"
"258","000709.SZ","钢铁","","","","","","",NA,"704,786,000.0000","","","","408,069,000.0000","","","","470,503,000.0000","","278,908,485.7000",NA,"571,223,873.3100","","458,806,827.8500","","950,310,967.2500","","491,571,193.5800",NA,"976,701,547.0800","","678,998,116.8500","","1,397,375,101.0400","","759,545,019.6400","","1,442,345,688.9400","332,247,555.2200","772,014,737.4400","1,235,497,532.3200","1,592,167,698.1600","518,910,507.3700","1,052,642,207.4900","1,709,314,481.1500","2,264,958,556.4700","749,781,069.1600","1,277,609,407.6500","2,192,095,097.2300","3,455,066,642.9900","860,421,028.1200","1,703,878,703.0100","2,418,424,516.2600","2,993,729,241.1000","493,714,028.1300","1,802,683,025.0600","2,857,887,456.7800","3,592,338,758.3000","1,111,270,344.2700","2,464,856,422.9000","3,653,057,270.4800","4,680,313,548.3600","1,397,856,531.1400","3,305,688,142.1000","4,476,413,449.6300","4,214,655,648.0600","430,373,794.4200","891,229,258.2800","1,555,617,836.0000","5,173,691,537.7200","1,802,658,385.3000","3,414,060,796.3400","5,022,371,836.5700","8,165,049,143.2200","2,126,040,544.1800","4,345,564,491.8000","7,063,825,873.4600","10,600,645,752.6700","2,001,586,938.5000","4,111,841,751.9900","5,836,030,343.8200","9,045,819,953.2400","1,914,528,691.6900","4,039,312,630.8800","6,060,238,397.2300","9,254,437,200.0500","1,956,752,531.3700","4,571,628,856.9000","6,706,764,863.7600","10,589,489,152.4900","2,113,988,339.7100","4,516,258,056.8500","6,626,759,419.0700","9,597,946,098.8800","1,863,233,398.3300","4,593,671,099.9300","7,465,355,359.3700","9,993,780,783.8300","2,789,824,267.6000","6,336,762,866.4600","9,904,579,956.1000","12,947,945,423.2300"
"265","000717.SZ","钢铁","","","","","","",NA,"179,321,462.0000","","","","101,522,053.0000","","","","168,654,508.0000","","101,375,458.7300",NA,"197,274,209.0000","","107,810,339.0000","","260,583,610.5300","","100,708,958.6200",NA,"268,066,402.0100","","148,225,430.4400","","336,053,691.2600","","206,735,380.4400","","380,733,567.8400","84,933,654.3500","265,923,239.9600","444,164,359.8900","664,065,525.3300","244,568,085.3300","563,923,877.3100","953,428,143.3700","1,524,986,449.2000","449,095,876.7900","802,811,246.9900","973,643,489.6500","1,208,387,655.5800","293,585,627.0900","630,727,838.6300","697,866,768.1300","437,282,828.8600","110,047,809.4100","478,880,263.6100","706,370,197.8600","864,554,161.2100","275,335,488.7600","782,926,687.9700","1,184,425,947.6700","1,684,009,633.0900","347,649,263.8800","986,856,704.8500","1,229,927,927.6200","-177,407,150.7100","-75,841,206.2300","44,592,096.7900","478,854,972.5400","712,643,627.8000","274,014,353.1600","585,470,249.3200","569,351,105.4300","745,831,084.7500","262,348,466.0700","505,081,865.4500","641,395,412.6200","218,208,166.3500","-145,075,352.2800","-338,533,579.6600","-712,794,149.9400","-716,038,655.9600","192,785,445.9300","268,625,123.0900","530,781,711.6500","597,729,513.1900","-28,418,321.3400","-110,320,308.7400","6,974,987.8000","-289,171,847.7800","-204,397,705.1000","-385,824,385.8000","-862,588,779.9700","-1,406,244,382.1100","-48,847,622.3100","150,713,310.6700","453,013,220.7200","593,962,835.9300","319,445,068.6800","1,070,186,369.3400","2,546,166,351.4900","3,339,080,428.5100"
"295","000761.SZ","钢铁","","","","","","",NA,"342,008,435.0000","","","","282,789,890.0000","","","","471,536,577.0000","","249,994,000.0000",NA,"442,955,799.0000","","195,876,500.9700","","412,481,980.0000","","235,956,610.4500",NA,"463,343,093.0000","","359,781,190.0000","","567,576,960.0000","","237,777,530.2700","","446,857,296.0000","84,360,000.0000","313,425,239.1900","504,092,881.0300","828,169,369.0000","207,321,157.0000","421,227,024.0000","540,748,567.0000","957,715,654.4100","196,756,739.3200","392,476,197.4800","630,654,988.3400","1,210,297,951.2400","354,332,267.8800","885,699,209.1500","965,396,420.7900","1,140,948,333.8500","154,006,042.5300","528,907,909.7300","1,828,866,575.0200","2,862,434,742.4200","761,220,153.1100","2,063,090,141.1900","3,816,875,818.1800","4,745,689,758.2000","1,434,421,448.1300","3,054,223,059.7900","4,606,983,422.3900","4,135,038,558.4200","773,108,802.0200","865,187,891.7800","1,148,117,465.2800","1,750,842,773.5700","1,160,458,190.9900","2,626,061,215.3200","3,900,881,497.1500","4,768,304,302.9900","1,153,367,651.7500","2,473,489,433.5200","3,591,428,197.8200","4,251,473,159.5000","787,035,288.6600","1,578,870,425.6100","2,238,523,894.0700","2,532,906,543.3100","699,228,198.1600","1,292,132,738.4100","1,922,134,636.3100","2,446,698,831.8600","851,169,332.4900","1,608,456,335.6100","2,396,979,970.0500","2,814,807,541.4100","893,481,190.5200","1,412,255,283.2800","2,437,158,005.5000","-609,826,032.9200","767,914,227.8000","1,689,069,372.5500","2,888,421,920.1800","3,700,800,983.7200","1,124,863,039.2000","1,912,064,206.5600","3,512,837,814.6600","4,596,131,997.8700"
"302","000778.SZ","钢铁","","","","","","",NA,"235,724,317.0000","","","","208,833,457.0000","","","","158,479,210.0000","","100,783,013.2500",NA,"213,383,635.2500","","175,683,149.1200","","424,026,894.8200","","248,807,641.7900",NA,"477,268,542.4000","","308,050,217.7800","","617,518,486.6200","","404,301,593.3600","","834,158,609.2100","229,874,023.0600","525,951,086.3200","824,647,185.8200","1,151,988,970.7100","338,603,558.0500","739,330,026.0500","1,162,824,932.5100","1,491,150,921.9000","473,952,465.8400","874,587,850.5300","1,311,459,719.0300","1,768,878,824.9400","445,452,699.0100","890,801,040.9000","1,246,746,965.4400","1,645,215,901.7100","352,735,393.9200","842,811,737.8800","1,273,283,954.5700","1,813,647,624.4200","498,770,646.8100","1,039,729,008.9100","1,559,202,507.9000","2,020,290,229.2600","567,019,682.7400","1,243,595,033.1800","1,677,482,257.3700","1,802,571,152.6500","529,990,195.0400","1,423,372,212.6500","2,202,687,867.6300","2,771,746,000.1700","708,996,596.6600","1,504,962,460.7600","2,300,059,712.2500","3,214,600,428.4800","971,686,212.1000","2,191,635,022.5700","3,316,680,795.7100","4,094,742,717.1400","867,041,987.0200","1,830,755,998.8100","2,540,976,612.1600","3,482,765,071.4700","997,184,922.5900","1,669,817,561.3400","2,451,115,266.3500","3,011,734,390.1900","675,491,839.9300","1,553,600,912.2900","2,230,069,386.2700","2,557,074,547.9800","413,504,592.6900","887,838,281.1400","1,266,653,364.5600","2,221,541,147.7000","542,383,362.1000","1,419,248,259.4500","2,156,864,335.4700","2,729,281,713.6700","747,813,038.6900","1,785,053,270.5700","2,863,513,206.0800","4,196,408,825.6500"
"339","000825.SZ","钢铁","","","","","","",NA,"","","","","192,051,819.0000","","","","162,591,495.0000","","",NA,"218,539,283.0000","","","","258,274,031.6100","","172,502,573.1400",NA,"400,888,171.5600","","242,362,847.2300","","502,384,387.9200","","278,270,578.9000","","515,283,113.7300","127,871,494.8400","317,008,321.1700","524,569,480.9700","625,122,515.1700","213,364,698.4300","538,723,767.4400","866,028,456.1300","1,147,892,577.6500","386,282,765.1800","789,075,586.1700","1,190,772,497.0900","1,633,034,318.4200","510,114,779.3200","971,805,901.0000","1,348,288,704.4300","1,533,995,481.3100","332,105,382.1900","1,488,270,581.4000","2,943,069,455.9800","5,628,079,664.5700","2,482,568,233.1600","5,390,179,802.9000","7,809,832,592.3900","10,065,287,252.7000","2,468,122,313.3800","5,503,273,321.8300","7,547,001,541.1000","8,251,253,113.9700","512,540,537.5600","1,560,076,811.2300","3,547,907,859.2800","6,388,711,245.3600","1,576,607,910.3900","4,014,752,148.1500","5,694,937,115.5900","7,655,999,185.2000","1,742,260,719.8300","3,565,919,048.9400","5,729,902,333.3100","8,052,780,136.0000","1,526,477,215.1400","3,600,632,787.5000","5,778,994,078.0200","7,555,707,563.1300","1,901,182,611.2100","3,653,613,776.0500","5,250,312,112.8900","6,586,093,637.3100","1,693,673,965.1100","3,421,135,306.1900","5,230,477,990.6700","6,742,523,646.1900","1,524,317,268.4900","3,084,525,064.2700","4,114,638,633.1500","3,072,592,336.9700","1,039,352,927.9900","3,629,394,160.7200","5,704,000,939.5700","7,980,732,174.0200","1,542,310,023.0600","3,563,821,949.8800","6,304,414,720.1200","10,660,279,469.9500"
"382","000898.SZ","钢铁","","","","","","",NA,"521,630,000.0000","","","","273,869,000.0000","","","","623,895,000.0000","","363,138,000.0000",NA,"708,738,000.0000","","281,666,000.0000","","398,523,000.0000","","192,078,000.0000",NA,"587,045,000.0000","","469,891,000.0000","","1,032,303,000.0000","","474,756,000.0000","780,420,000.0000","1,034,318,000.0000","176,906,000.0000","488,979,000.0000","902,580,000.0000","1,272,680,000.0000","521,054,000.0000","1,227,497,000.0000","1,650,905,000.0000","2,299,052,000.0000","541,584,000.0000","1,399,312,000.0000","2,317,688,000.0000","3,363,488,000.0000","1,001,563,000.0000","2,123,008,000.0000","3,071,522,000.0000","3,755,332,000.0000","2,244,795,000.0000","5,832,305,000.0000","9,811,964,000.0000","12,980,000,000.0000","4,618,000,000.0000","9,667,000,000.0000","13,207,000,000.0000","16,389,000,000.0000","4,409,000,000.0000","10,297,000,000.0000","15,514,000,000.0000","12,057,000,000.0000","-612,000,000.0000","988,000,000.0000","4,067,000,000.0000","6,231,000,000.0000","2,863,000,000.0000","6,726,000,000.0000","8,203,000,000.0000","9,452,000,000.0000","1,664,000,000.0000","3,543,000,000.0000","4,903,000,000.0000","3,848,000,000.0000","-585,000,000.0000","986,000,000.0000","1,171,000,000.0000","1,951,000,000.0000","2,512,000,000.0000","4,377,000,000.0000","6,320,000,000.0000","8,206,000,000.0000","1,924,000,000.0000","3,948,000,000.0000","6,386,000,000.0000","8,343,000,000.0000","1,776,000,000.0000","3,442,000,000.0000","4,131,000,000.0000","3,066,000,000.0000","733,000,000.0000","3,074,000,000.0000","5,334,000,000.0000","7,425,000,000.0000","2,250,000,000.0000","3,988,000,000.0000","6,781,000,000.0000","10,671,000,000.0000"
"411","000932.SZ","钢铁","","","","","","",NA,"","","","","","","","","655,125,418.3400","","",NA,"696,642,700.5300","","","","684,531,165.8800","","337,035,801.9200",NA,"584,225,504.8300","","294,175,965.1400","","709,660,011.4100","","494,768,256.9200","761,784,280.6700","997,090,061.6900","259,408,271.2200","587,036,950.4300","849,438,492.6600","1,124,882,163.8200","372,677,835.5700","842,421,971.0400","1,272,499,834.4400","1,863,276,800.9600","575,487,596.1500","1,068,818,852.4800","1,561,216,026.3600","2,181,592,422.3600","951,466,968.4500","1,678,255,359.1800","2,352,671,117.6600","2,670,184,970.1200","604,896,484.6600","1,636,128,390.8200","2,771,684,817.2600","3,965,119,494.2400","1,099,905,485.3200","2,433,807,350.2800","3,790,431,199.5900","5,466,646,427.6200","439,234,250.6300","2,796,577,207.5600","4,563,753,493.0000","5,291,208,880.0500","341,923,924.4500","809,332,549.6300","1,844,420,855.7600","2,872,407,907.1600","349,755,119.9300","937,353,298.7100","326,248,537.3800","778,565,145.8000","799,732,028.1800","1,683,592,282.1300","2,598,066,115.8800","2,432,396,685.6800","177,550,337.2200","550,084,207.8200","383,774,745.0000","759,833,349.3900","557,138,881.4800","1,377,589,126.6500","2,054,596,312.3900","2,926,906,468.1100","927,953,010.2800","2,163,695,527.8700","3,260,140,683.9200","4,157,986,225.5000","860,528,613.2100","1,871,923,797.4800","2,015,542,468.4500","973,536,500.7100","-102,800,326.5700","1,361,338,637.5900","2,127,673,554.0500","3,051,850,832.7600","1,311,489,505.6500","3,177,392,980.2500","6,490,135,425.4900","10,002,023,322.4400"
"427","000959.SZ","钢铁","","","","","","",NA,"","","","","","","","","559,478,139.1000","","",NA,"1,409,619,910.6800","","","","1,379,685,125.5700","","599,963,960.5600",NA,"1,295,784,594.6500","","674,725,986.3000","","1,311,164,790.2100","","661,076,732.0700","","1,163,464,175.5100","254,411,400.0000","601,953,393.5400","971,875,140.9900","1,307,392,805.0700","330,086,940.0400","709,029,105.0400","1,243,023,524.7900","1,664,706,819.8700","536,308,049.2500","917,901,791.7900","1,543,000,048.7200","2,064,311,776.1000","553,543,363.4700","982,824,734.6400","1,518,241,562.0400","1,749,558,043.7700","273,345,132.6800","746,201,349.1700","1,145,942,217.2700","1,350,019,944.6700","352,873,149.0500","697,954,258.8200","1,097,716,037.6800","1,482,309,409.4100","422,893,632.1300","1,013,839,720.4200","1,240,182,059.8300","1,310,259,064.0600","188,047,334.5800","311,174,075.2200","788,219,773.9300","843,653,038.0700","292,002,833.4000","547,532,738.6400","591,772,964.6900","915,454,962.5100","180,553,862.4200","120,389,103.8100","37,076,670.5000","-37,506,473.8800","-6,120,819.0400","-72,930,539.0100","-208,198,332.6900","-138,890,472.7100","-8,008,678.2700","13,423,320.8800","2,244,117.5700","85,232,814.7600","428,904,543.8900","740,600,044.0600","1,167,455,987.6800","1,687,228,405.4500","107,424,678.6600","329,284,737.1000","322,185,217.5400","185,097,410.0600","48,470,205.7100","2,119,459,522.0500","3,227,320,992.5600","4,525,896,973.8200","1,925,755,480.8200","3,391,599,047.4900","5,737,640,898.8000","7,383,678,864.0600"
"539","002075.SZ","钢铁","","","","","","",NA,"","","","","","","","","","","",NA,"","","","","","","",NA,"","","","","","","","","","","","","","","","","76,712,185.6200","","","","113,500,672.5400","","","88,309,102.6900","136,470,496.6200","31,156,297.2600","93,158,036.2600","133,451,962.8500","161,430,362.0900","39,587,144.6800","78,485,968.0400","129,254,830.7000","-29,179,725.7900","-21,948,800.5800","-39,379,044.4000","-52,141,481.3700","-65,419,235.6100","-8,151,527.9900","-9,845,532.6100","-7,097,328.0900","-7,386,683.5700","-3,458,825.3200","-7,001,174.4600","-10,496,708.8100","1,399,721,376.2800","391,704,576.4300","736,485,531.6500","1,104,931,806.3800","1,298,860,989.7100","177,115,397.1200","379,942,985.6300","379,607,809.4200","538,352,332.4300","116,061,579.2100","256,954,134.0300","364,579,925.5400","521,286,574.9000","111,601,939.0900","330,232,156.8800","446,702,781.6400","613,627,206.5700","126,581,885.1200","328,601,890.7200","314,374,891.7000","295,647,584.7300","71,472,609.9900","324,546,927.4400","546,787,708.2600","845,005,148.3100","347,316,425.9300","680,324,657.6400","1,209,477,105.2100","2,177,246,912.5200"
