"","证券代码","申万一级行业","主营业务利润..报告期..1993一季..报表类型..合并报表..单位..元","主营业务利润..报告期..1993中报..报表类型..合并报表..单位..元","主营业务利润..报告期..1993三季..报表类型..合并报表..单位..元","主营业务利润..报告期..1993年报..报表类型..合并报表..单位..元","主营业务利润..报告期..1994一季..报表类型..合并报表..单位..元","主营业务利润..报告期..1994中报..报表类型..合并报表..单位..元","主营业务利润..报告期..1994三季..报表类型..合并报表..单位..元","主营业务利润..报告期..1994年报..报表类型..合并报表..单位..元","主营业务利润..报告期..1995一季..报表类型..合并报表..单位..元","主营业务利润..报告期..1995中报..报表类型..合并报表..单位..元","主营业务利润..报告期..1995三季..报表类型..合并报表..单位..元","主营业务利润..报告期..1995年报..报表类型..合并报表..单位..元","主营业务利润..报告期..1996一季..报表类型..合并报表..单位..元","主营业务利润..报告期..1996中报..报表类型..合并报表..单位..元","主营业务利润..报告期..1996三季..报表类型..合并报表..单位..元","主营业务利润..报告期..1996年报..报表类型..合并报表..单位..元","主营业务利润..报告期..1997一季..报表类型..合并报表..单位..元","主营业务利润..报告期..1997中报..报表类型..合并报表..单位..元","主营业务利润..报告期..1997三季..报表类型..合并报表..单位..元","主营业务利润..报告期..1997年报..报表类型..合并报表..单位..元","主营业务利润..报告期..1998一季..报表类型..合并报表..单位..元","主营业务利润..报告期..1998中报..报表类型..合并报表..单位..元","主营业务利润..报告期..1998三季..报表类型..合并报表..单位..元","主营业务利润..报告期..1998年报..报表类型..合并报表..单位..元","主营业务利润..报告期..1999一季..报表类型..合并报表..单位..元","主营业务利润..报告期..1999中报..报表类型..合并报表..单位..元","主营业务利润..报告期..1999三季..报表类型..合并报表..单位..元","主营业务利润..报告期..1999年报..报表类型..合并报表..单位..元","主营业务利润..报告期..2000一季..报表类型..合并报表..单位..元","主营业务利润..报告期..2000中报..报表类型..合并报表..单位..元","主营业务利润..报告期..2000三季..报表类型..合并报表..单位..元","主营业务利润..报告期..2000年报..报表类型..合并报表..单位..元","主营业务利润..报告期..2001一季..报表类型..合并报表..单位..元","主营业务利润..报告期..2001中报..报表类型..合并报表..单位..元","主营业务利润..报告期..2001三季..报表类型..合并报表..单位..元","主营业务利润..报告期..2001年报..报表类型..合并报表..单位..元","主营业务利润..报告期..2002一季..报表类型..合并报表..单位..元","主营业务利润..报告期..2002中报..报表类型..合并报表..单位..元","主营业务利润..报告期..2002三季..报表类型..合并报表..单位..元","主营业务利润..报告期..2002年报..报表类型..合并报表..单位..元","主营业务利润..报告期..2003一季..报表类型..合并报表..单位..元","主营业务利润..报告期..2003中报..报表类型..合并报表..单位..元","主营业务利润..报告期..2003三季..报表类型..合并报表..单位..元","主营业务利润..报告期..2003年报..报表类型..合并报表..单位..元","主营业务利润..报告期..2004一季..报表类型..合并报表..单位..元","主营业务利润..报告期..2004中报..报表类型..合并报表..单位..元","主营业务利润..报告期..2004三季..报表类型..合并报表..单位..元","主营业务利润..报告期..2004年报..报表类型..合并报表..单位..元","主营业务利润..报告期..2005一季..报表类型..合并报表..单位..元","主营业务利润..报告期..2005中报..报表类型..合并报表..单位..元","主营业务利润..报告期..2005三季..报表类型..合并报表..单位..元","主营业务利润..报告期..2005年报..报表类型..合并报表..单位..元","主营业务利润..报告期..2006一季..报表类型..合并报表..单位..元","主营业务利润..报告期..2006中报..报表类型..合并报表..单位..元","主营业务利润..报告期..2006三季..报表类型..合并报表..单位..元","主营业务利润..报告期..2006年报..报表类型..合并报表..单位..元","主营业务利润..报告期..2007一季..报表类型..合并报表..单位..元","主营业务利润..报告期..2007中报..报表类型..合并报表..单位..元","主营业务利润..报告期..2007三季..报表类型..合并报表..单位..元","主营业务利润..报告期..2007年报..报表类型..合并报表..单位..元","主营业务利润..报告期..2008一季..报表类型..合并报表..单位..元","主营业务利润..报告期..2008中报..报表类型..合并报表..单位..元","主营业务利润..报告期..2008三季..报表类型..合并报表..单位..元","主营业务利润..报告期..2008年报..报表类型..合并报表..单位..元","主营业务利润..报告期..2009一季..报表类型..合并报表..单位..元","主营业务利润..报告期..2009中报..报表类型..合并报表..单位..元","主营业务利润..报告期..2009三季..报表类型..合并报表..单位..元","主营业务利润..报告期..2009年报..报表类型..合并报表..单位..元","主营业务利润..报告期..2010一季..报表类型..合并报表..单位..元","主营业务利润..报告期..2010中报..报表类型..合并报表..单位..元","主营业务利润..报告期..2010三季..报表类型..合并报表..单位..元","主营业务利润..报告期..2010年报..报表类型..合并报表..单位..元","主营业务利润..报告期..2011一季..报表类型..合并报表..单位..元","主营业务利润..报告期..2011中报..报表类型..合并报表..单位..元","主营业务利润..报告期..2011三季..报表类型..合并报表..单位..元","主营业务利润..报告期..2011年报..报表类型..合并报表..单位..元","主营业务利润..报告期..2012一季..报表类型..合并报表..单位..元","主营业务利润..报告期..2012中报..报表类型..合并报表..单位..元","主营业务利润..报告期..2012三季..报表类型..合并报表..单位..元","主营业务利润..报告期..2012年报..报表类型..合并报表..单位..元","主营业务利润..报告期..2013一季..报表类型..合并报表..单位..元","主营业务利润..报告期..2013中报..报表类型..合并报表..单位..元","主营业务利润..报告期..2013三季..报表类型..合并报表..单位..元","主营业务利润..报告期..2013年报..报表类型..合并报表..单位..元","主营业务利润..报告期..2014一季..报表类型..合并报表..单位..元","主营业务利润..报告期..2014中报..报表类型..合并报表..单位..元","主营业务利润..报告期..2014三季..报表类型..合并报表..单位..元","主营业务利润..报告期..2014年报..报表类型..合并报表..单位..元","主营业务利润..报告期..2015一季..报表类型..合并报表..单位..元","主营业务利润..报告期..2015中报..报表类型..合并报表..单位..元","主营业务利润..报告期..2015三季..报表类型..合并报表..单位..元","主营业务利润..报告期..2015年报..报表类型..合并报表..单位..元","主营业务利润..报告期..2016一季..报表类型..合并报表..单位..元","主营业务利润..报告期..2016中报..报表类型..合并报表..单位..元","主营业务利润..报告期..2016三季..报表类型..合并报表..单位..元","主营业务利润..报告期..2016年报..报表类型..合并报表..单位..元","主营业务利润..报告期..2017一季..报表类型..合并报表..单位..元","主营业务利润..报告期..2017中报..报表类型..合并报表..单位..元","主营业务利润..报告期..2017三季..报表类型..合并报表..单位..元","主营业务利润..报告期..2017年报..报表类型..合并报表..单位..元"
"1","000001.SZ","银行","","","","295,149,382.5300","","202,709,934.3900",NA,"","","237,771,242.9900","","491,895,721.9600","","393,239,745.5100","","811,390,710.7200","","369,495,035.1200",NA,"678,260,551.8400","","370,681,702.7000","","688,220,862.4100","","182,764,625.6300",NA,"391,651,621.0000","","50,018,037.0000","","553,631,449.0000","211,625,830.0000","267,570,000.0000","","561,748,514.0000","398,179,208.0000","","1,228,174,987.0000","1,904,903,531.0000","390,284,412.0000","883,829,390.0000","1,207,938,080.0000","1,687,475,510.0000","703,813,299.0000","","","2,790,499,500.0000","803,712,562.0000","","","2,894,458,973.0000","806,536,796.0000","","","","2,185,014,153.0000","4,537,500,000.0000","7,189,633,000.0000","9,983,195,000.0000","3,270,640,000.0000","6,547,087,000.0000","9,882,167,000.0000","13,361,454,000.0000","3,501,230,000.0000","6,968,498,000.0000","10,345,845,000.0000","14,045,306,000.0000","3,799,509,000.0000","7,889,220,000.0000","12,213,621,000.0000","16,697,683,000.0000","5,368,983,000.0000","11,187,498,000.0000","19,016,789,000.0000","27,136,717,000.0000","8,863,892,000.0000","17,889,868,000.0000","26,961,942,000.0000","36,336,662,000.0000","9,947,000,000.0000","21,602,000,000.0000","34,409,000,000.0000","48,124,000,000.0000","14,841,000,000.0000","32,052,000,000.0000","50,528,000,000.0000","67,925,000,000.0000","19,099,000,000.0000","43,195,000,000.0000","66,106,000,000.0000","89,492,000,000.0000","25,644,000,000.0000","51,930,000,000.0000","78,868,000,000.0000","104,270,000,000.0000","27,466,000,000.0000","53,570,000,000.0000","79,088,000,000.0000","104,764,000,000.0000"
"606","002142.SZ","银行","","","","","","",NA,"","","","","","","","","","","",NA,"","","","","","","",NA,"","","","","","","","","","","","","","","","","","","","","980,807,263.1600","","","","1,158,243,173.8000","","679,521,254.6600","1,086,147,572.1300","1,500,797,327.5900","456,453,017.1600","935,526,401.8900","1,474,498,526.7100","2,104,001,156.1200","755,879,801.9500","1,498,562,014.5200","2,322,543,555.9000","3,177,109,467.1500","900,056,297.2800","1,734,989,788.5900","2,680,530,221.2500","3,903,040,000.0000","1,230,302,000.0000","2,497,538,000.0000","3,854,898,000.0000","5,545,553,000.0000","1,578,692,000.0000","3,397,823,000.0000","5,315,594,000.0000","7,414,398,000.0000","2,249,137,000.0000","4,646,938,000.0000","7,125,791,000.0000","9,659,121,000.0000","2,726,962,000.0000","5,699,971,000.0000","8,684,492,000.0000","11,990,208,000.0000","3,326,760,000.0000","6,880,708,000.0000","10,448,169,000.0000","14,489,924,000.0000","4,143,391,000.0000","8,501,039,000.0000","13,346,818,000.0000","18,459,041,000.0000","5,756,384,000.0000","11,600,845,000.0000","17,447,297,000.0000","23,081,121,000.0000","6,408,550,000.0000","12,230,569,000.0000","18,424,306,000.0000","25,066,848,000.0000"
"1260","002807.SZ","银行","","","","","","",NA,"","","","","","","","","","","",NA,"","","","","","","",NA,"","","","","","","","","","","","","","","","","","","","","","","","","476,466,197.6700","","","","702,168,186.4500","","","","944,938,557.7900","","","","1,310,034,563.5400","","","","1,230,861,013.3600","","","","1,605,321,845.1200","","","","1,839,569,000.0000","","","","2,245,522,000.0000","","","","2,175,318,000.0000","","","","2,249,654,000.0000","573,734,000.0000","1,172,689,000.0000","1,779,730,000.0000","2,381,709,000.0000","574,511,000.0000","1,146,287,000.0000","1,806,625,000.0000","2,421,088,000.0000","544,404,000.0000","1,161,079,000.0000","1,759,891,000.0000","2,483,447,000.0000"
"1290","002839.SZ","银行","","","","","","",NA,"","","","","","","","","","","",NA,"","","","","","","",NA,"","","","","","","","","","","","","","","","","","","","","","","","","508,834,062.5700","","","","556,736,312.2900","","","","761,187,555.3400","","","","900,490,793.3500","","","","951,250,547.8500","","","","1,300,696,664.9400","","","","1,772,210,700.0000","","","","2,004,019,286.1200","","","","2,118,868,799.2900","","","","2,260,398,111.0500","","","","2,305,613,441.9800","617,241,347.3300","1,152,417,074.8800","1,718,478,509.7800","2,381,272,333.6700","600,311,049.2400","1,195,261,722.8400","1,833,787,918.1100","2,398,913,548.2100"
"1379","002936.SZ","银行","","","","","","",NA,"","","","","","","","","","","",NA,"","","","","","","",NA,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","466,080,233.8800","","","","698,563,054.3900","","446,282,987.1800","","1,014,273,537.7600","","522,959,050.3000","","1,098,415,388.2500","","","","1,395,436,014.8200","","","","2,080,893,634.0500","","","","3,138,883,000.0000","","1,912,469,633.7500","","4,021,093,000.0000","","2,429,722,052.9700","","5,216,935,000.0000","","3,851,639,000.0000","","7,452,185,000.0000","1,870,929,000.0000","4,478,753,000.0000","6,750,086,000.0000","9,684,857,000.0000","2,433,671,000.0000","4,832,157,000.0000","7,208,216,000.0000","10,115,157,000.0000"
"2114","600000.SH","银行","","","","","","",NA,"","","","","","","","","","","",NA,"","","","","","","",NA,"116,232,074.2100","","153,290,000.0000","","1,229,463,370.5300","","700,258,719.2100","1,111,650,000.0000","1,447,093,000.0000","354,230,000.0000","1,552,720,000.0000","2,476,338,000.0000","3,505,591,000.0000","1,006,056,870.1500","2,266,175,515.3300","3,710,611,763.8200","5,183,725,000.0000","1,457,718,013.7600","3,395,629,000.0000","","6,964,721,000.0000","","4,372,956,000.0000","6,497,077,971.7200","8,450,494,000.0000","","5,477,296,000.0000","","11,266,776,000.0000","4,905,145,533.9800","10,784,309,128.0900","16,994,806,562.4200","24,022,215,470.7900","7,451,866,040.5100","15,464,816,785.8700","23,772,945,725.7000","31,947,936,388.8500","7,275,051,272.4200","15,284,375,166.4100","24,246,539,333.3100","33,998,121,347.5600","9,966,980,938.7000","21,184,695,420.6400","33,416,101,216.5400","46,460,456,721.6200","14,123,624,850.4100","29,602,675,000.0000","45,755,424,717.6900","63,018,784,000.0000","18,396,309,000.0000","36,951,690,000.0000","56,225,937,000.0000","76,694,000,000.0000","20,482,000,000.0000","43,306,000,000.0000","67,510,000,000.0000","93,202,000,000.0000","25,693,000,000.0000","55,090,000,000.0000","83,713,000,000.0000","115,034,000,000.0000","30,717,000,000.0000","66,208,000,000.0000","101,931,000,000.0000","137,574,000,000.0000","39,782,000,000.0000","78,622,000,000.0000","117,030,000,000.0000","156,348,000,000.0000","42,046,000,000.0000","82,613,000,000.0000","123,606,000,000.0000","167,009,000,000.0000"
"2123","600015.SH","银行","","","","","","",NA,"","","","","","","","","","","",NA,"","","","","","","",NA,"","","","","590,395,317.7600","","","","1,214,599,490.1100","","","","1,275,442,184.4500","394,105,289.5800","742,805,472.2200","1,194,333,030.8400","1,528,491,000.0000","467,305,898.9400","877,036,000.0000","1,413,000,000.0000","1,817,441,000.0000","558,471,000.0000","1,039,356,000.0000","","2,184,273,009.7700","630,042,000.0000","1,272,993,051.7900","","","2,920,342,776.8400","6,055,090,444.3000","9,435,072,513.9000","13,167,700,363.0700","4,006,204,359.7000","8,040,271,948.4000","12,145,267,011.9400","16,229,006,968.7600","3,329,673,625.7400","7,144,170,604.0700","11,391,472,411.2100","15,882,263,570.5100","5,229,850,618.2800","10,809,394,037.3100","16,552,015,861.8600","22,877,030,737.9600","6,892,589,821.5100","14,753,408,846.1300","22,720,397,730.2800","31,196,204,044.7400","8,368,000,295.0600","18,048,751,682.3200","27,062,546,058.0100","36,934,007,802.5200","9,887,542,209.2700","20,646,000,000.0000","30,986,000,000.0000","41,973,000,000.0000","11,383,000,000.0000","24,557,000,000.0000","38,008,000,000.0000","51,000,000,000.0000","11,878,000,000.0000","26,253,000,000.0000","39,975,000,000.0000","54,533,000,000.0000","14,080,000,000.0000","29,688,000,000.0000","45,875,000,000.0000","62,084,000,000.0000","16,141,000,000.0000","32,953,000,000.0000","49,485,000,000.0000","65,630,000,000.0000"
"2124","600016.SH","银行","","","","","","",NA,"","","","","","","","","","","",NA,"","","","","","","",NA,"","","","","","","441,231,616.0000","","880,784,000.0000","","495,179,000.0000","882,539,000.0000","1,215,399,000.0000","","890,542,000.0000","","1,967,671,000.0000","","1,528,005,000.0000","","2,844,550,000.0000","","1,977,160,000.0000","","4,240,326,000.0000","","2,832,859,000.0000","","5,332,304,000.0000","4,517,804,000.0000","10,399,413,000.0000","16,521,542,000.0000","23,253,994,000.0000","7,033,231,000.0000","16,257,657,000.0000","25,058,078,000.0000","32,101,000,000.0000","8,154,000,000.0000","19,982,000,000.0000","29,326,000,000.0000","39,258,000,000.0000","11,529,000,000.0000","24,272,000,000.0000","37,246,000,000.0000","50,941,000,000.0000","15,898,000,000.0000","36,023,000,000.0000","55,850,000,000.0000","76,252,000,000.0000","23,163,000,000.0000","47,607,000,000.0000","71,832,000,000.0000","95,286,000,000.0000","26,936,000,000.0000","54,277,000,000.0000","80,002,000,000.0000","107,882,000,000.0000","29,110,000,000.0000","60,758,000,000.0000","93,269,000,000.0000","126,464,000,000.0000","33,584,000,000.0000","71,855,000,000.0000","108,636,000,000.0000","144,457,000,000.0000","37,634,000,000.0000","74,457,000,000.0000","112,587,000,000.0000","150,873,000,000.0000","35,876,000,000.0000","69,782,000,000.0000","104,839,000,000.0000","142,797,000,000.0000"
"2141","600036.SH","银行","","","","","","",NA,"","","","","","","","","","","",NA,"","","","","","","",NA,"","","","","","","","","","955,566,000.0000","1,355,088,000.0000","3,230,503,000.0000","2,548,386,000.0000","1,330,204,000.0000","1,581,458,000.0000","2,467,808,000.0000","3,444,165,000.0000","1,238,751,000.0000","2,617,104,000.0000","3,925,810,000.0000","4,929,602,000.0000","1,617,065,000.0000","3,328,865,000.0000","5,021,541,000.0000","6,555,946,000.0000","2,141,660,000.0000","4,386,766,000.0000","","","7,324,000,000.0000","16,436,000,000.0000","26,500,000,000.0000","38,574,000,000.0000","12,917,000,000.0000","27,131,000,000.0000","40,073,000,000.0000","52,012,000,000.0000","11,212,000,000.0000","23,216,000,000.0000","35,553,000,000.0000","48,317,000,000.0000","14,710,000,000.0000","31,024,000,000.0000","48,315,000,000.0000","67,224,000,000.0000","20,984,000,000.0000","43,237,000,000.0000","65,893,000,000.0000","90,066,000,000.0000","26,512,000,000.0000","53,370,000,000.0000","79,544,000,000.0000","105,812,000,000.0000","28,834,000,000.0000","59,941,000,000.0000","91,115,000,000.0000","124,025,000,000.0000","38,315,000,000.0000","79,059,000,000.0000","117,244,000,000.0000","155,438,000,000.0000","47,672,000,000.0000","97,869,000,000.0000","146,956,000,000.0000","189,542,000,000.0000","54,905,000,000.0000","107,786,000,000.0000","154,766,000,000.0000","202,663,000,000.0000","56,570,000,000.0000","111,593,000,000.0000","164,156,000,000.0000","218,745,000,000.0000"
"2881","600908.SH","银行","","","","","","",NA,"","","","","","","","","","","",NA,"","","","","","","",NA,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","530,249,136.3300","","","","670,245,665.4700","","","","","","","","","","","","","","","","1,643,236,143.6400","","","","1,899,167,000.0000","","","","1,955,352,500.3400","","","","2,148,168,706.9000","","1,138,086,107.6700","1,677,797,170.0000","2,253,030,943.8000","559,636,261.3300","1,177,105,428.0000","1,848,893,350.0000","2,458,261,000.0000","667,637,000.0000","1,372,961,000.0000","2,117,829,000.0000","2,822,635,000.0000"
