"","证券代码","申万一级行业","主营业务利润..报告期..1993一季..报表类型..合并报表..单位..元","主营业务利润..报告期..1993中报..报表类型..合并报表..单位..元","主营业务利润..报告期..1993三季..报表类型..合并报表..单位..元","主营业务利润..报告期..1993年报..报表类型..合并报表..单位..元","主营业务利润..报告期..1994一季..报表类型..合并报表..单位..元","主营业务利润..报告期..1994中报..报表类型..合并报表..单位..元","主营业务利润..报告期..1994三季..报表类型..合并报表..单位..元","主营业务利润..报告期..1994年报..报表类型..合并报表..单位..元","主营业务利润..报告期..1995一季..报表类型..合并报表..单位..元","主营业务利润..报告期..1995中报..报表类型..合并报表..单位..元","主营业务利润..报告期..1995三季..报表类型..合并报表..单位..元","主营业务利润..报告期..1995年报..报表类型..合并报表..单位..元","主营业务利润..报告期..1996一季..报表类型..合并报表..单位..元","主营业务利润..报告期..1996中报..报表类型..合并报表..单位..元","主营业务利润..报告期..1996三季..报表类型..合并报表..单位..元","主营业务利润..报告期..1996年报..报表类型..合并报表..单位..元","主营业务利润..报告期..1997一季..报表类型..合并报表..单位..元","主营业务利润..报告期..1997中报..报表类型..合并报表..单位..元","主营业务利润..报告期..1997三季..报表类型..合并报表..单位..元","主营业务利润..报告期..1997年报..报表类型..合并报表..单位..元","主营业务利润..报告期..1998一季..报表类型..合并报表..单位..元","主营业务利润..报告期..1998中报..报表类型..合并报表..单位..元","主营业务利润..报告期..1998三季..报表类型..合并报表..单位..元","主营业务利润..报告期..1998年报..报表类型..合并报表..单位..元","主营业务利润..报告期..1999一季..报表类型..合并报表..单位..元","主营业务利润..报告期..1999中报..报表类型..合并报表..单位..元","主营业务利润..报告期..1999三季..报表类型..合并报表..单位..元","主营业务利润..报告期..1999年报..报表类型..合并报表..单位..元","主营业务利润..报告期..2000一季..报表类型..合并报表..单位..元","主营业务利润..报告期..2000中报..报表类型..合并报表..单位..元","主营业务利润..报告期..2000三季..报表类型..合并报表..单位..元","主营业务利润..报告期..2000年报..报表类型..合并报表..单位..元","主营业务利润..报告期..2001一季..报表类型..合并报表..单位..元","主营业务利润..报告期..2001中报..报表类型..合并报表..单位..元","主营业务利润..报告期..2001三季..报表类型..合并报表..单位..元","主营业务利润..报告期..2001年报..报表类型..合并报表..单位..元","主营业务利润..报告期..2002一季..报表类型..合并报表..单位..元","主营业务利润..报告期..2002中报..报表类型..合并报表..单位..元","主营业务利润..报告期..2002三季..报表类型..合并报表..单位..元","主营业务利润..报告期..2002年报..报表类型..合并报表..单位..元","主营业务利润..报告期..2003一季..报表类型..合并报表..单位..元","主营业务利润..报告期..2003中报..报表类型..合并报表..单位..元","主营业务利润..报告期..2003三季..报表类型..合并报表..单位..元","主营业务利润..报告期..2003年报..报表类型..合并报表..单位..元","主营业务利润..报告期..2004一季..报表类型..合并报表..单位..元","主营业务利润..报告期..2004中报..报表类型..合并报表..单位..元","主营业务利润..报告期..2004三季..报表类型..合并报表..单位..元","主营业务利润..报告期..2004年报..报表类型..合并报表..单位..元","主营业务利润..报告期..2005一季..报表类型..合并报表..单位..元","主营业务利润..报告期..2005中报..报表类型..合并报表..单位..元","主营业务利润..报告期..2005三季..报表类型..合并报表..单位..元","主营业务利润..报告期..2005年报..报表类型..合并报表..单位..元","主营业务利润..报告期..2006一季..报表类型..合并报表..单位..元","主营业务利润..报告期..2006中报..报表类型..合并报表..单位..元","主营业务利润..报告期..2006三季..报表类型..合并报表..单位..元","主营业务利润..报告期..2006年报..报表类型..合并报表..单位..元","主营业务利润..报告期..2007一季..报表类型..合并报表..单位..元","主营业务利润..报告期..2007中报..报表类型..合并报表..单位..元","主营业务利润..报告期..2007三季..报表类型..合并报表..单位..元","主营业务利润..报告期..2007年报..报表类型..合并报表..单位..元","主营业务利润..报告期..2008一季..报表类型..合并报表..单位..元","主营业务利润..报告期..2008中报..报表类型..合并报表..单位..元","主营业务利润..报告期..2008三季..报表类型..合并报表..单位..元","主营业务利润..报告期..2008年报..报表类型..合并报表..单位..元","主营业务利润..报告期..2009一季..报表类型..合并报表..单位..元","主营业务利润..报告期..2009中报..报表类型..合并报表..单位..元","主营业务利润..报告期..2009三季..报表类型..合并报表..单位..元","主营业务利润..报告期..2009年报..报表类型..合并报表..单位..元","主营业务利润..报告期..2010一季..报表类型..合并报表..单位..元","主营业务利润..报告期..2010中报..报表类型..合并报表..单位..元","主营业务利润..报告期..2010三季..报表类型..合并报表..单位..元","主营业务利润..报告期..2010年报..报表类型..合并报表..单位..元","主营业务利润..报告期..2011一季..报表类型..合并报表..单位..元","主营业务利润..报告期..2011中报..报表类型..合并报表..单位..元","主营业务利润..报告期..2011三季..报表类型..合并报表..单位..元","主营业务利润..报告期..2011年报..报表类型..合并报表..单位..元","主营业务利润..报告期..2012一季..报表类型..合并报表..单位..元","主营业务利润..报告期..2012中报..报表类型..合并报表..单位..元","主营业务利润..报告期..2012三季..报表类型..合并报表..单位..元","主营业务利润..报告期..2012年报..报表类型..合并报表..单位..元","主营业务利润..报告期..2013一季..报表类型..合并报表..单位..元","主营业务利润..报告期..2013中报..报表类型..合并报表..单位..元","主营业务利润..报告期..2013三季..报表类型..合并报表..单位..元","主营业务利润..报告期..2013年报..报表类型..合并报表..单位..元","主营业务利润..报告期..2014一季..报表类型..合并报表..单位..元","主营业务利润..报告期..2014中报..报表类型..合并报表..单位..元","主营业务利润..报告期..2014三季..报表类型..合并报表..单位..元","主营业务利润..报告期..2014年报..报表类型..合并报表..单位..元","主营业务利润..报告期..2015一季..报表类型..合并报表..单位..元","主营业务利润..报告期..2015中报..报表类型..合并报表..单位..元","主营业务利润..报告期..2015三季..报表类型..合并报表..单位..元","主营业务利润..报告期..2015年报..报表类型..合并报表..单位..元","主营业务利润..报告期..2016一季..报表类型..合并报表..单位..元","主营业务利润..报告期..2016中报..报表类型..合并报表..单位..元","主营业务利润..报告期..2016三季..报表类型..合并报表..单位..元","主营业务利润..报告期..2016年报..报表类型..合并报表..单位..元","主营业务利润..报告期..2017一季..报表类型..合并报表..单位..元","主营业务利润..报告期..2017中报..报表类型..合并报表..单位..元","主营业务利润..报告期..2017三季..报表类型..合并报表..单位..元","主营业务利润..报告期..2017年报..报表类型..合并报表..单位..元"
"71","000166.SZ","非银金融","","","","","","",NA,"","","","","","","","","","","",NA,"","","","","","","",NA,"","","","","","","","","","","","","1,417,255,537.4700","","","","1,094,688,183.3500","","","","1,148,023,434.9200","","278,792,078.9100","","771,620,947.3300","","119,039,100.2800","713,599,000.0000","1,980,064,853.0700","1,757,178,700.0000","5,902,895,122.7100","","12,900,262,771.0100","","2,359,273,791.8700","","4,491,321,728.1500","","3,117,919,545.0500","","7,700,903,596.7500","","2,093,583,083.1000","","6,734,803,389.3200","","2,159,356,997.5500","","4,701,338,594.7500","","1,887,639,792.0000","3,224,081,007.8000","4,613,346,588.3300","","2,087,969,281.0200","4,048,320,267.0000","5,640,479,230.8000","1,459,681,259.9400","5,007,292,712.3800","8,387,105,317.4500","8,172,001,913.2700","5,704,491,875.0900","16,045,888,993.5000","20,223,201,273.1700","28,525,471,451.7500","2,697,393,619.1000","5,759,551,336.9400","9,801,063,406.8000","14,295,153,301.6600","2,803,669,628.2700","6,006,522,163.0200","9,556,786,845.4500","13,254,116,230.5200"
"86","000415.SZ","非银金融","","","","5,219,273.1100","","",NA,"9,079,740.1000","","","","12,742,096.9400","","12,958,973.5700","","27,489,121.7800","","14,928,830.5500",NA,"29,100,169.1200","","19,083,328.3400","","45,122,963.6400","","62,970,004.1300",NA,"88,549,731.5800","","33,594,114.1600","","75,454,995.1400","","50,211,626.2800","","66,547,296.4300","2,495,174.6400","12,023,854.1600","24,077,360.6400","35,579,646.3400","5,317,451.9100","25,506,565.5500","46,420,170.1300","52,337,415.8600","18,100,100.3100","49,437,251.3200","86,065,670.3900","101,480,904.0200","9,415,846.0000","24,793,929.1500","42,132,841.8300","59,735,345.1800","386,695.1500","6,234,830.6700","59,938,274.8200","27,472,528.3000","3,667,785.0000","12,316,166.7400","92,598,131.3400","69,899,377.7200","256,410.2700","9,314,963.3200","75,922,494.0300","37,896,589.9400","-142,322.5200","326,161.3100","48,018,952.5800","22,574,504.7000","1,754,176.9500","5,083,629.1600","52,680,121.6000","35,610,189.2000","1,505,123.8700","198,606,006.3400","321,224,012.7600","469,183,361.2100","102,754,326.1900","302,354,371.1800","1,013,567,531.4000","1,346,130,304.1700","343,826,140.1700","757,439,719.7500","1,186,481,285.1200","3,088,131,000.0000","773,318,000.0000","1,526,640,000.0000","2,319,592,000.0000","3,120,971,000.0000","1,027,520,000.0000","2,154,491,000.0000","3,370,104,000.0000","4,738,637,000.0000","1,984,525,000.0000","4,052,000,000.0000","6,219,025,000.0000","8,813,803,000.0000","2,716,790,000.0000","6,796,774,000.0000","10,822,181,000.0000","14,723,167,000.0000"
"87","000416.SZ","非银金融","","","","","","",NA,"","","","","","","10,057,037.8200","","21,593,127.4000","","8,798,003.6200",NA,"18,958,159.3000","","28,891,167.4200","","46,412,818.7900","","15,777,184.2500",NA,"17,186,306.4400","","12,209,563.1200","","21,993,394.5300","","8,752,399.9300","28,570,490.8800","115,694,585.6800","124,758,296.8100","184,744,775.6100","245,805,254.2100","290,506,884.8100","125,582,014.6400","185,251,602.5400","255,881,436.8800","350,977,377.3900","124,870,451.5300","177,232,508.7200","254,350,106.4700","371,299,418.3100","114,505,055.8500","137,824,698.0300","207,715,699.6400","418,755,287.8300","96,454,540.9900","130,693,692.2200","232,669,798.4200","413,171,315.6400","122,497,308.1700","162,151,871.1700","179,792,044.7400","199,758,884.1700","29,493,227.8600","49,000,420.0300","71,752,021.1500","88,760,839.3300","29,201,629.5900","48,586,745.9200","69,181,768.4900","89,492,786.3700","32,355,420.7000","56,543,615.1100","83,133,589.5900","97,279,781.3100","41,229,525.9700","70,543,970.5700","91,956,292.8100","108,653,078.7900","25,226,749.5200","42,195,296.6800","60,994,616.8000","83,076,726.9200","19,975,410.1600","39,241,913.9100","59,352,875.7700","83,840,690.7400","20,412,615.0500","36,281,285.4300","66,240,796.1800","69,811,439.5500","-335,289.3000","33,923,989.1200","88,348,722.3800","172,080,503.4000","58,809,923.6400","118,242,037.9500","213,502,448.7100","274,158,421.3400","1,871,845.6500","3,751,413.3900","5,351,378.2500","9,672,785.7900"
"153","000563.SZ","非银金融","","","","18,017,097.0000","","",NA,"","","","","","","22,315,436.6700","","","","21,821,740.5800",NA,"106,320,841.7300","","7,088,963.2800","","135,020,525.9400","","55,387,022.0500",NA,"115,953,515.5500","","49,650,391.6800","","102,065,932.9200","","51,913,184.1000","","114,693,745.1800","33,303,366.7700","62,892,853.8100","66,370,266.8500","90,017,309.1400","2,970,740.2300","8,466,289.3700","3,928,286.3200","-14,321,420.1700","36,329.3700","1,414,339.3400","-391,651.7400","47,151,765.6300","5,211,739.3000","17,670,668.7000","24,433,699.9200","23,667,461.3500","6,474,972.7000","11,826,300.4100","21,522,517.4500","36,566,907.2200","-1,157,956.4100","122,210,404.1000","2,167,134.7500","192,896,669.5200","16,223,830.4000","55,310,447.9300","150,368,868.1200","104,575,742.4800","27,183,890.6900","56,053,175.0800","98,129,498.2100","115,601,034.7700","32,138,151.1900","62,942,693.8000","125,077,792.2600","194,354,162.1900","101,839,245.3200","144,418,386.9400","210,941,557.8100","290,296,391.1200","77,453,865.2700","195,157,026.7700","350,384,865.5900","547,315,104.5000","160,595,224.6000","338,713,941.4400","572,732,875.5500","787,209,753.4900","164,759,294.0300","402,784,092.4300","595,409,170.9300","788,183,966.2300","160,280,633.3500","677,020,011.2800","865,035,769.1100","1,081,606,374.6400","327,575,125.4900","536,957,031.5200","727,289,884.9700","983,834,881.2500","240,547,805.1600","514,227,365.9500","827,272,220.1400","1,139,519,501.1400"
"157","000567.SZ","非银金融","","","","23,626,534.4500","","15,540,190.7200",NA,"15,356,110.6300","","-1,947,198.4100","","-30,892,501.1400","","-21,159,473.3600","","-35,970,641.1700","","3,406,134.0400",NA,"11,932,901.2700","","21,451,092.5000","","32,978,681.9600","","8,154,181.8500",NA,"105,632,950.4900","","41,644,003.7000","","-7,655,543.8300","","-2,587,779.2700","","-6,602,328.8100","-89,011.1300","-4,526,686.6800","-491,778.9900","-2,895,450.9700","4,849,329.2100","10,985,066.7500","19,095,799.5300","30,811,644.6900","8,089,167.1600","19,782,730.1300","52,045,693.2100","64,022,545.7800","8,935,403.2200","12,644,144.3100","16,052,906.1700","26,276,132.1800","8,550,130.4000","23,682,226.7900","33,409,041.6300","48,503,002.8200","9,501,223.0600","25,293,757.7600","34,755,657.7900","62,094,750.9300","11,023,544.8500","23,331,181.4800","29,930,393.1300","31,262,495.3500","5,172,396.1700","12,271,976.2700","17,277,669.0000","24,224,668.5500","13,389,229.8700","23,261,372.4300","33,715,215.1000","35,950,196.1900","236,761.6100","4,582,317.9600","5,995,254.4200","7,500,117.3600","1,029,568.0900","1,380,401.5400","2,070,918.7900","4,861,927.1600","119,479.4000","238,958.8000","358,438.2000","5,876,998.5500","798,204.9400","949,185.6700","1,012,257.9100","815,712.4900","268,034.4700","342,646.4100","502,826.1600","-1,118,607.9700","237,643.9100","375,024.6200","8,092,194.4200","19,278,687.0100","39,621,627.5600","83,087,889.6300","129,503,440.7000","201,792,468.9300"
"194","000617.SZ","非银金融","","","","11,974,861.3000","","",NA,"16,344,738.6400","","","","21,756,727.3200","","","","23,921,964.2500","","-5,389,252.7700",NA,"-5,473,645.0900","","9,777,959.4300","","12,013,756.7300","","17,750,777.3000",NA,"41,234,604.1500","","17,927,144.0400","","42,440,733.7500","","28,229,278.7000","47,263,600.3100","62,651,630.0800","12,915,151.5400","28,878,832.6800","45,143,999.8400","63,936,171.4900","14,969,693.2800","32,271,342.2800","51,845,027.9300","72,460,569.1600","37,650,694.4700","82,500,820.2700","131,614,556.7900","169,439,925.0300","53,343,125.5500","99,433,538.8300","147,394,386.6300","201,911,372.8700","47,889,912.2200","97,366,745.1800","150,055,941.1200","198,731,310.4800","49,622,737.6600","108,527,343.3100","158,642,529.6500","206,513,634.5000","49,423,657.6200","98,579,353.1600","172,634,730.5800","250,124,119.4000","48,797,581.4500","85,202,608.9300","98,717,360.3200","195,099,411.8800","8,952,492.9200","52,946,518.9300","104,434,591.0000","170,220,905.5300","33,082,772.0800","74,470,891.2000","137,612,818.5700","156,313,722.8600","31,729,500.1400","81,302,799.9800","127,898,146.7000","207,966,470.8900","23,324,840.5400","90,554,879.8000","137,801,999.2500","190,086,032.6300","39,524,909.0000","57,546,174.7500","81,622,421.2300","100,474,150.4400","42,377,255.3600","90,419,270.7400","94,759,059.8900","110,486,778.3400","1,247,369.9100","-25,334,180.8800","-15,139,655.3600","-465,074,484.3400","-31,675,808.9600","-69,382,383.8000","-102,637,551.2600","-124,032,589.3300"
"201","000627.SZ","非银金融","","","","6,792,248.4300","","",NA,"9,409,256.8400","","","","22,213,501.4200","","","","33,855,827.3400","","17,725,408.8100",NA,"50,910,439.6200","","13,501,528.3800","","36,257,052.7000","","18,462,560.6300",NA,"61,507,316.2900","","45,520,873.6500","","80,335,982.9100","","43,083,467.3000","","93,734,622.1800","12,058,844.2500","36,561,880.1800","55,366,560.1900","78,568,477.9200","14,414,803.1200","29,965,782.2600","36,756,232.7300","40,416,528.5200","9,777,367.4200","22,054,533.9100","36,151,398.8900","51,637,882.4000","18,123,083.9100","35,299,596.9000","47,065,147.1000","65,892,661.3100","16,799,322.0900","43,320,040.7500","61,731,498.2500","83,475,504.2200","26,559,407.6900","62,040,002.6900","82,627,485.0200","106,906,176.2600","37,033,128.6600","91,005,504.1400","104,087,631.7100","71,928,825.7400","19,507,034.6300","53,110,732.7100","80,750,145.0100","97,595,313.8900","41,272,340.6600","55,623,816.7000","74,652,011.1600","74,344,822.6200","13,652,123.1300","16,253,012.8200","28,043,616.0100","20,484,788.5300","7,330,807.3500","12,756,682.9700","16,648,633.9600","25,165,489.7600","7,987,104.6100","4,367,861.5700","-1,980,446.6400","-11,742,509.5800","-11,134,799.3600","-10,457,871.4600","-18,755,305.7400","-25,054,087.1100","1,122,769.4400","8,795,110.6200","6,520,945.6400","21,048,424.8800","2,373,293,715.8200","5,570,533,867.8900","8,446,741,532.0200","16,563,748,669.4100","23,807,518,166.8300","38,190,200,243.0100","46,242,867,400.9900","52,926,294,642.2400"
"224","000666.SZ","非银金融","","","","56,622,000.0000","","",NA,"64,836,000.0000","","","","90,507,000.0000","","40,467,000.0000","","85,282,000.0000","","35,669,000.0000",NA,"39,249,000.0000","","29,003,000.0000","","81,022,000.0000","","45,575,000.0000",NA,"175,651,256.0000","","165,595,022.0000","","362,409,879.0000","","239,993,464.0000","","434,458,859.0000","87,652,142.0000","222,590,931.0000","388,215,545.0000","580,428,550.0000","170,919,766.0000","368,267,889.0000","588,803,493.0000","755,137,431.0000","138,908,605.0000","324,519,729.0000","445,660,616.0000","597,112,625.0000","135,329,294.0000","304,584,794.0000","472,702,749.0000","689,338,349.0000","183,348,673.0000","390,121,328.0000","584,692,751.0000","784,796,792.0000","211,842,854.0000","429,238,617.0000","599,055,923.0000","714,709,366.1200","132,774,586.7700","261,680,327.3800","334,973,052.6500","417,681,230.2000","25,935,570.8300","86,951,991.9200","146,705,140.7800","282,588,145.9500","123,221,688.3000","287,248,582.7500","492,056,758.8900","760,727,646.1100","204,531,285.0600","523,570,086.0400","713,887,801.8100","955,071,088.5300","133,460,867.4000","320,953,416.5000","413,973,116.2800","631,768,510.7300","91,918,583.7500","230,603,025.4800","369,903,843.7800","575,268,618.2900","89,906,387.2800","247,435,078.8300","367,864,896.7000","612,017,612.2000","147,930,972.9600","717,834,951.9800","1,121,064,806.7000","1,845,445,441.5500","405,674,197.5200","1,053,112,954.5300","1,812,668,330.4500","2,853,464,376.1400","529,347,730.6100","1,128,463,047.7500","1,997,675,613.9800","3,133,875,262.9300"
"241","000686.SZ","非银金融","","","","","","",NA,"7,816,000.0000","","","","15,247,953.3100","","7,520,000.0000","","8,908,082.8500","","8,126,364.4800",NA,"24,293,995.8900","","19,706,582.4400","","52,071,248.2500","","18,132,413.9600",NA,"72,169,237.1700","","29,894,679.5700","","62,501,243.7500","","16,353,448.0000","22,871,511.8800","29,451,456.6400","6,670,000.0000","15,758,640.0600","24,736,229.4200","42,305,303.8700","7,117,942.6300","20,183,894.6800","32,930,047.6400","51,166,098.6100","13,354,593.1700","29,997,458.9700","41,643,231.1900","67,192,093.7800","13,432,639.1300","27,031,189.5600","39,137,722.0600","61,058,636.3600","14,229,719.6800","30,790,881.9100","46,757,445.1600","64,276,016.4700","11,646,308.7800","15,079,797.6500","1,951,944,831.5000","2,422,825,361.9300","362,995,590.3600","676,084,667.1600","814,765,382.6100","1,057,579,856.6400","390,237,040.6500","911,587,943.4800","1,304,739,258.6200","1,900,275,550.6000","429,738,461.2700","475,975,703.8900","1,000,754,531.2200","1,613,764,337.6300","357,001,437.4700","546,365,947.3100","638,517,036.1300","761,249,110.5000","249,827,163.3000","580,262,982.0400","827,839,738.4900","1,148,806,394.0200","497,997,603.3600","894,530,268.2300","1,319,355,955.5200","1,661,504,797.0300","534,933,796.0800","1,020,918,151.9700","1,742,542,330.0000","2,912,173,382.7700","1,126,498,067.8700","3,781,253,236.6400","4,686,887,971.4900","6,314,118,666.8000","871,258,082.4000","1,646,112,203.8500","2,985,965,853.3100","4,348,805,733.9400","1,058,886,884.9300","2,100,759,194.7800","3,536,462,976.9300","4,899,220,252.2900"
"261","000712.SZ","非银金融","","","","7,779,902.1100","","",NA,"10,066,300.2200","","","","12,068,043.7600","","","","16,695,092.7300","","6,584,809.9200",NA,"19,356,247.0400","","20,066,316.7700","","34,545,890.7500","","13,393,729.9300",NA,"35,492,968.5200","","7,268,080.3600","","21,821,150.1800","","19,644,668.9700","33,474,028.8000","56,469,175.9800","10,096,900.0000","22,077,635.4500","37,686,581.8400","55,488,984.9400","11,075,357.9400","41,855,626.0600","68,358,160.8700","88,550,122.2000","28,892,931.7800","60,519,241.2300","89,242,681.4300","110,592,094.3500","29,394,734.4700","53,413,200.6700","77,126,711.1900","95,585,185.1100","26,718,074.1500","34,510,028.6100","53,039,269.8800","45,157,379.8800","8,997,336.8200","20,713,103.6300","40,023,311.0200","46,499,030.7000","7,145,840.6300","19,110,736.8000","31,993,119.8900","34,725,136.9600","5,040,599.9000","12,812,360.0300","23,649,230.0000","65,866,936.8300","6,410,070.4100","16,224,340.4200","26,685,002.1700","35,097,786.5400","7,607,284.2300","18,190,504.6300","30,406,183.6700","40,875,057.6700","8,584,167.5200","20,428,302.1500","33,170,219.0600","43,902,690.8300","9,813,711.3400","23,903,752.2400","40,535,831.9600","55,333,447.0500","-5,141,003.9900","-10,193,231.4800","-14,222,902.9600","-43,694,477.0000","-32,407,334.1400","-74,947,978.6700","-106,587,497.7400","-156,595,639.3400","-22,191,876.0200","-33,306,708.9900","-32,935,383.1800","-29,924,345.1200","4,718,299.0600","5,877,203.9900","7,608,574.0800","1,165,546,260.2800"
