"","证券代码","申万一级行业","主营业务利润..报告期..1993一季..报表类型..合并报表..单位..元","主营业务利润..报告期..1993中报..报表类型..合并报表..单位..元","主营业务利润..报告期..1993三季..报表类型..合并报表..单位..元","主营业务利润..报告期..1993年报..报表类型..合并报表..单位..元","主营业务利润..报告期..1994一季..报表类型..合并报表..单位..元","主营业务利润..报告期..1994中报..报表类型..合并报表..单位..元","主营业务利润..报告期..1994三季..报表类型..合并报表..单位..元","主营业务利润..报告期..1994年报..报表类型..合并报表..单位..元","主营业务利润..报告期..1995一季..报表类型..合并报表..单位..元","主营业务利润..报告期..1995中报..报表类型..合并报表..单位..元","主营业务利润..报告期..1995三季..报表类型..合并报表..单位..元","主营业务利润..报告期..1995年报..报表类型..合并报表..单位..元","主营业务利润..报告期..1996一季..报表类型..合并报表..单位..元","主营业务利润..报告期..1996中报..报表类型..合并报表..单位..元","主营业务利润..报告期..1996三季..报表类型..合并报表..单位..元","主营业务利润..报告期..1996年报..报表类型..合并报表..单位..元","主营业务利润..报告期..1997一季..报表类型..合并报表..单位..元","主营业务利润..报告期..1997中报..报表类型..合并报表..单位..元","主营业务利润..报告期..1997三季..报表类型..合并报表..单位..元","主营业务利润..报告期..1997年报..报表类型..合并报表..单位..元","主营业务利润..报告期..1998一季..报表类型..合并报表..单位..元","主营业务利润..报告期..1998中报..报表类型..合并报表..单位..元","主营业务利润..报告期..1998三季..报表类型..合并报表..单位..元","主营业务利润..报告期..1998年报..报表类型..合并报表..单位..元","主营业务利润..报告期..1999一季..报表类型..合并报表..单位..元","主营业务利润..报告期..1999中报..报表类型..合并报表..单位..元","主营业务利润..报告期..1999三季..报表类型..合并报表..单位..元","主营业务利润..报告期..1999年报..报表类型..合并报表..单位..元","主营业务利润..报告期..2000一季..报表类型..合并报表..单位..元","主营业务利润..报告期..2000中报..报表类型..合并报表..单位..元","主营业务利润..报告期..2000三季..报表类型..合并报表..单位..元","主营业务利润..报告期..2000年报..报表类型..合并报表..单位..元","主营业务利润..报告期..2001一季..报表类型..合并报表..单位..元","主营业务利润..报告期..2001中报..报表类型..合并报表..单位..元","主营业务利润..报告期..2001三季..报表类型..合并报表..单位..元","主营业务利润..报告期..2001年报..报表类型..合并报表..单位..元","主营业务利润..报告期..2002一季..报表类型..合并报表..单位..元","主营业务利润..报告期..2002中报..报表类型..合并报表..单位..元","主营业务利润..报告期..2002三季..报表类型..合并报表..单位..元","主营业务利润..报告期..2002年报..报表类型..合并报表..单位..元","主营业务利润..报告期..2003一季..报表类型..合并报表..单位..元","主营业务利润..报告期..2003中报..报表类型..合并报表..单位..元","主营业务利润..报告期..2003三季..报表类型..合并报表..单位..元","主营业务利润..报告期..2003年报..报表类型..合并报表..单位..元","主营业务利润..报告期..2004一季..报表类型..合并报表..单位..元","主营业务利润..报告期..2004中报..报表类型..合并报表..单位..元","主营业务利润..报告期..2004三季..报表类型..合并报表..单位..元","主营业务利润..报告期..2004年报..报表类型..合并报表..单位..元","主营业务利润..报告期..2005一季..报表类型..合并报表..单位..元","主营业务利润..报告期..2005中报..报表类型..合并报表..单位..元","主营业务利润..报告期..2005三季..报表类型..合并报表..单位..元","主营业务利润..报告期..2005年报..报表类型..合并报表..单位..元","主营业务利润..报告期..2006一季..报表类型..合并报表..单位..元","主营业务利润..报告期..2006中报..报表类型..合并报表..单位..元","主营业务利润..报告期..2006三季..报表类型..合并报表..单位..元","主营业务利润..报告期..2006年报..报表类型..合并报表..单位..元","主营业务利润..报告期..2007一季..报表类型..合并报表..单位..元","主营业务利润..报告期..2007中报..报表类型..合并报表..单位..元","主营业务利润..报告期..2007三季..报表类型..合并报表..单位..元","主营业务利润..报告期..2007年报..报表类型..合并报表..单位..元","主营业务利润..报告期..2008一季..报表类型..合并报表..单位..元","主营业务利润..报告期..2008中报..报表类型..合并报表..单位..元","主营业务利润..报告期..2008三季..报表类型..合并报表..单位..元","主营业务利润..报告期..2008年报..报表类型..合并报表..单位..元","主营业务利润..报告期..2009一季..报表类型..合并报表..单位..元","主营业务利润..报告期..2009中报..报表类型..合并报表..单位..元","主营业务利润..报告期..2009三季..报表类型..合并报表..单位..元","主营业务利润..报告期..2009年报..报表类型..合并报表..单位..元","主营业务利润..报告期..2010一季..报表类型..合并报表..单位..元","主营业务利润..报告期..2010中报..报表类型..合并报表..单位..元","主营业务利润..报告期..2010三季..报表类型..合并报表..单位..元","主营业务利润..报告期..2010年报..报表类型..合并报表..单位..元","主营业务利润..报告期..2011一季..报表类型..合并报表..单位..元","主营业务利润..报告期..2011中报..报表类型..合并报表..单位..元","主营业务利润..报告期..2011三季..报表类型..合并报表..单位..元","主营业务利润..报告期..2011年报..报表类型..合并报表..单位..元","主营业务利润..报告期..2012一季..报表类型..合并报表..单位..元","主营业务利润..报告期..2012中报..报表类型..合并报表..单位..元","主营业务利润..报告期..2012三季..报表类型..合并报表..单位..元","主营业务利润..报告期..2012年报..报表类型..合并报表..单位..元","主营业务利润..报告期..2013一季..报表类型..合并报表..单位..元","主营业务利润..报告期..2013中报..报表类型..合并报表..单位..元","主营业务利润..报告期..2013三季..报表类型..合并报表..单位..元","主营业务利润..报告期..2013年报..报表类型..合并报表..单位..元","主营业务利润..报告期..2014一季..报表类型..合并报表..单位..元","主营业务利润..报告期..2014中报..报表类型..合并报表..单位..元","主营业务利润..报告期..2014三季..报表类型..合并报表..单位..元","主营业务利润..报告期..2014年报..报表类型..合并报表..单位..元","主营业务利润..报告期..2015一季..报表类型..合并报表..单位..元","主营业务利润..报告期..2015中报..报表类型..合并报表..单位..元","主营业务利润..报告期..2015三季..报表类型..合并报表..单位..元","主营业务利润..报告期..2015年报..报表类型..合并报表..单位..元","主营业务利润..报告期..2016一季..报表类型..合并报表..单位..元","主营业务利润..报告期..2016中报..报表类型..合并报表..单位..元","主营业务利润..报告期..2016三季..报表类型..合并报表..单位..元","主营业务利润..报告期..2016年报..报表类型..合并报表..单位..元","主营业务利润..报告期..2017一季..报表类型..合并报表..单位..元","主营业务利润..报告期..2017中报..报表类型..合并报表..单位..元","主营业务利润..报告期..2017三季..报表类型..合并报表..单位..元","主营业务利润..报告期..2017年报..报表类型..合并报表..单位..元"
"16","000019.SZ","食品饮料","","","","28,166,295.1400","","14,730,623.2100",NA,"-18,736,474.8300","","-1,260,769.4300","","-21,650,850.6900","","675,911.4800","","-28,359,094.5800","","-5,430,649.7500",NA,"-14,868,829.5400","","6,487,262.8300","","16,939,083.7800","","9,329,603.4900",NA,"13,602,401.9900","","6,613,657.8900","","10,324,116.1500","","6,823,319.8900","","12,043,722.8800","2,775,627.4600","7,675,905.1300","10,333,240.8400","16,681,437.7300","3,901,850.9200","8,907,890.4500","10,713,568.3900","15,236,860.6000","4,450,357.3100","9,038,278.1400","11,904,158.1000","13,240,555.8400","3,334,109.6600","8,235,443.6400","11,124,268.0800","11,057,831.6000","3,024,835.7800","8,933,396.4200","12,010,594.7100","13,567,300.6700","5,182,583.0900","19,155,463.5700","26,276,783.1400","35,080,573.2600","5,708,006.9600","16,838,340.3700","26,046,340.6700","32,387,406.3200","8,264,111.6700","22,498,949.5000","34,749,573.3800","46,406,474.3500","10,831,516.1200","22,492,930.1900","35,161,303.0200","51,183,773.3800","14,528,819.0300","26,817,048.4000","41,856,485.8700","58,778,050.8000","11,885,697.4300","20,770,574.3000","35,129,046.1200","51,452,865.4400","17,411,095.3000","33,876,357.2400","51,270,165.4500","69,183,996.2500","11,956,543.8500","21,398,889.4900","33,649,447.3600","117,976,888.0200","8,713,993.9900","48,424,928.3500","64,388,975.2100","79,970,746.2100","14,700,245.8200","31,316,413.2700","45,287,164.0900","67,596,996.9000","12,760,954.9400","31,302,810.1400","50,825,612.0300","64,362,874.0100"
"158","000568.SZ","食品饮料","","","","15,424,302.8300","","10,627,300.0000",NA,"790,594.3400","","137,359,500.0000","","239,980,980.4000","","111,264,100.0000","","299,595,050.3300","","146,402,121.7200",NA,"375,398,564.6500","","160,349,208.9400","","398,034,561.2300","","260,673,593.0100",NA,"514,156,085.1600","","230,621,638.6700","","498,687,451.1700","","265,363,992.1200","","484,072,448.3100","151,472,627.7300","254,632,660.8300","337,003,613.0200","461,363,001.7900","161,961,475.7200","249,971,964.0000","344,096,123.4700","514,344,842.6400","181,637,979.7900","299,171,337.1500","427,046,846.1800","582,977,787.4700","218,131,174.2300","353,671,071.1100","498,811,560.2300","642,252,608.8700","278,840,165.2100","484,628,540.4500","666,133,131.9700","904,227,278.5500","359,353,997.4100","663,700,746.3900","1,009,016,088.2800","1,449,648,579.8100","794,664,773.6200","1,224,927,502.9900","1,785,705,638.5800","2,246,015,056.5600","751,239,833.0400","1,304,448,422.8200","1,907,769,177.5400","2,589,079,274.1200","966,876,638.4200","1,531,064,519.7900","2,320,452,028.2200","3,289,821,861.6300","1,308,856,914.1900","2,142,165,231.0400","3,292,615,503.9000","4,886,670,559.9800","1,990,542,453.9900","3,141,635,580.6900","4,738,341,161.7700","6,870,203,141.7700","1,747,377,510.3500","2,892,481,461.7000","4,295,763,547.1200","5,521,283,256.0400","845,976,464.8200","1,637,344,785.5500","2,175,886,366.5900","2,205,355,131.4400","978,773,854.5000","1,677,881,547.8300","2,341,778,354.1600","2,890,429,512.1000","1,151,848,857.1600","2,218,861,316.1500","3,081,795,560.5900","4,339,816,313.3700","1,648,238,767.7600","2,973,159,311.4800","4,414,320,744.2700","6,141,946,145.1700"
"176","000596.SZ","食品饮料","","","","160,020,611.0000","","",NA,"165,142,356.0000","","","","209,938,073.0000","","198,912,367.4400","","147,504,221.1400","","205,926,755.3400",NA,"265,289,326.1200","","219,463,286.7500","","348,914,852.3900","","203,317,223.0100",NA,"346,452,441.3700","","164,280,306.5500","","351,851,028.7800","","142,555,291.0300","","232,397,328.0000","68,981,170.0000","89,071,685.0000","146,121,714.0000","195,888,846.0000","65,948,499.0000","88,554,990.0000","137,113,093.0000","177,007,911.0000","70,105,282.0000","97,360,242.0000","136,195,743.0000","183,619,118.0000","64,147,324.0000","65,400,772.0000","108,227,803.0000","145,983,367.9400","35,289,079.4500","76,650,807.0500","121,177,348.5600","177,549,232.6300","87,509,333.1700","134,772,044.0900","195,395,525.0300","258,531,068.3900","107,720,781.2100","170,304,001.3500","252,784,367.4500","373,374,653.2800","157,541,065.6700","261,043,292.9700","382,340,764.1100","627,294,568.9900","318,069,549.8300","485,055,290.4200","698,117,088.7700","1,045,264,147.7000","554,142,040.0300","938,667,992.3100","1,327,817,624.3400","1,924,576,416.3700","781,684,499.0600","1,290,762,562.8100","1,847,199,667.6500","2,337,280,906.7500","872,604,942.3600","1,260,046,157.4100","1,844,453,543.8200","2,565,267,379.8700","834,501,900.9000","1,331,213,564.3700","1,955,604,035.8700","2,524,869,979.7600","929,737,866.6600","1,493,281,566.9600","2,244,569,884.9800","2,953,669,748.2500","1,083,476,188.4900","1,793,401,087.7200","2,647,582,046.3000","3,537,569,481.9500","1,325,634,162.5300","2,150,817,211.1700","3,150,784,238.3200","4,189,419,008.1300"
"264","000716.SZ","食品饮料","","","","","","",NA,"11,249,309.6600","","","","8,053,177.4800","","","","9,510,677.1800","","3,745,077.2200",NA,"8,018,384.9800","","20,574,461.5500","","53,198,435.6700","","21,217,500.2800",NA,"44,175,558.7200","","16,375,749.5700","","40,963,466.2300","","6,831,318.4000","","24,515,698.8700","443,762.1500","434,988.2200","245,736.0200","-272,812.5100","1,851,932.1200","1,657,609.5500","1,808,555.8000","962,053.0100","16,139,376.6500","17,638,237.8800","17,305,280.9900","24,387,272.2000","-53,043.7300","42,451,574.1500","52,973,601.2200","46,522,139.6400","19,709,165.0400","34,179,558.8900","54,569,185.3500","82,365,541.9900","24,287,687.9700","42,435,939.9500","66,410,997.8400","106,586,086.8200","36,887,449.9000","61,381,855.9500","87,078,353.1900","134,977,991.1100","37,191,117.4200","60,895,575.7700","93,766,361.7100","144,666,949.7400","38,500,702.1500","64,480,225.1800","99,452,548.8300","161,534,925.7000","50,091,576.8800","88,548,723.1100","135,767,349.4000","218,355,751.6600","57,648,696.8500","105,604,645.5100","158,089,399.3900","259,614,618.9700","81,592,629.8500","128,956,907.6800","212,078,446.7600","387,774,418.0600","87,251,158.9500","167,584,337.7400","267,206,684.6400","462,000,143.8100","101,129,447.0300","201,644,898.4200","303,545,842.9900","596,062,681.0500","93,348,766.0900","212,242,044.2200","349,143,097.1700","506,222,844.7400","121,585,518.5400","245,878,519.9200","392,674,473.7500","697,575,713.6900"
"276","000729.SZ","食品饮料","","","","","","",NA,"63,710,666.5100","","","","110,503,956.5600","","","","139,307,446.7700","","87,309,739.5500",NA,"206,775,124.5000","","219,662,522.2400","","431,641,861.8500","","280,298,394.3300",NA,"466,257,804.8300","","255,712,045.4300","","502,033,739.1100","","301,432,064.4600","","603,054,580.5300","90,991,796.5200","331,659,865.5200","619,483,986.0800","694,472,344.5600","126,661,749.3000","421,347,143.4000","831,922,251.7900","948,380,164.7500","187,363,214.4200","642,145,874.5800","1,072,290,564.4900","1,203,634,776.3400","184,167,422.1100","664,227,024.7100","1,194,719,904.8200","1,351,604,296.7700","272,999,150.5400","795,987,614.5200","1,374,241,922.4900","1,572,930,294.5400","330,056,572.1300","980,428,080.9800","1,687,691,577.2700","1,862,523,323.0800","386,840,859.6300","1,137,969,172.3400","1,901,554,048.9800","2,047,108,843.7600","454,505,004.2700","1,340,707,411.5300","2,410,296,991.7200","2,656,517,568.8500","563,669,840.1200","1,560,154,423.2800","2,787,655,925.2500","3,078,447,277.0600","628,413,133.6400","1,924,785,990.9600","3,238,893,088.7500","3,607,371,221.2400","628,460,481.4800","2,072,572,677.3800","3,513,170,525.6200","3,603,483,573.7000","700,539,196.6600","2,327,009,266.9500","3,631,828,939.3600","3,943,569,340.3900","657,416,837.4200","2,337,443,356.3500","3,777,913,378.7700","4,090,734,600.6100","674,575,240.3700","2,282,632,717.2400","3,597,803,507.1700","3,728,536,369.4700","721,531,205.6600","2,071,227,540.7400","3,200,077,580.8600","3,310,822,077.0200","728,305,333.1800","1,877,075,177.0000","2,953,260,309.8100","2,836,613,502.3000"
"287","000752.SZ","食品饮料","","","","","","",NA,"1,010,184.5700","","","","2,561,908.8700","","","","5,077,035.6200","","11,475,068.0100",NA,"19,653,094.7400","","11,376,463.4000","","26,392,044.7600","","33,351,586.8600",NA,"61,966,864.0100","","23,042,565.0700","","45,351,685.3000","","25,185,816.4000","","53,801,622.7900","11,566,200.0300","28,902,429.3700","47,229,608.2000","62,351,146.8500","16,819,056.6700","35,564,882.9500","58,667,381.7100","68,644,793.4500","18,844,544.4900","44,028,567.9300","64,512,248.5400","81,726,003.5200","21,915,747.2100","41,829,033.5500","68,102,985.2300","84,989,823.0400","14,900,600.3300","32,230,275.9100","55,993,128.4000","71,779,746.8300","19,684,158.0300","43,130,537.4600","69,098,661.6200","84,603,524.0800","22,573,133.9200","45,344,536.9100","73,435,858.9400","97,035,323.5500","27,814,028.6200","59,113,553.7500","98,335,153.3100","128,927,552.1900","40,512,214.6400","73,758,108.2500","104,811,874.8900","129,275,669.6300","28,318,720.5500","61,615,684.6700","95,413,317.0400","121,758,988.1200","34,375,267.1500","64,649,794.5700","108,833,492.8900","133,070,379.7500","38,915,441.0500","68,471,746.5900","101,974,678.5400","135,807,218.1200","25,701,112.8400","53,118,774.5400","83,165,919.1800","111,960,034.3100","24,718,357.7200","52,899,820.9500","79,204,522.0900","104,543,129.1700","20,500,350.7700","36,392,394.1100","61,572,053.8100","85,590,080.4400","23,129,191.6300","48,318,251.7500","72,215,663.9100","102,822,350.7000"
"319","000799.SZ","食品饮料","","","","","","",NA,"35,154,601.0000","","","","74,510,124.0000","","","","110,585,963.1400","42,993,140.8300","89,615,052.4900",NA,"147,584,832.1700","","119,764,689.0600","","221,369,697.7800","","124,114,325.2200",NA,"244,684,000.8000","","93,711,877.4200","","154,054,844.0400","","93,628,910.2800","","195,549,671.5000","73,302,243.6300","87,824,905.0600","119,891,763.6700","164,665,027.2200","34,547,670.6600","65,744,445.9800","114,500,205.5700","144,648,259.5300","62,158,409.5000","103,539,628.2400","170,265,467.8500","245,384,109.0000","48,064,901.0900","95,712,464.9700","101,819,237.4700","103,087,041.8000","19,410,168.4200","29,171,017.6600","57,535,665.6400","72,988,265.4000","29,317,944.0300","39,461,978.7600","71,808,967.2500","138,659,014.8600","46,994,344.9700","86,964,748.7500","115,801,487.9500","205,071,090.4800","41,424,567.6500","124,565,419.8500","172,795,703.8300","237,463,300.4500","71,320,447.7500","144,895,588.7300","205,238,635.1700","329,110,180.0100","105,284,579.1700","226,122,328.8000","381,247,620.5600","567,962,725.2700","337,963,240.3800","588,870,735.1000","954,391,268.3900","1,059,561,841.6600","116,519,991.1700","225,266,365.1600","273,326,997.8200","386,256,102.2200","37,411,474.0100","75,699,439.5100","113,820,196.4800","173,490,298.9500","83,060,441.0700","159,493,695.1500","232,038,489.6000","332,275,466.4000","94,958,620.7200","169,307,553.6800","260,247,033.1200","393,951,723.9900","110,653,572.5900","225,075,906.3600","336,164,592.0500","543,605,860.9000"
"351","000848.SZ","食品饮料","","","","","","",NA,"21,085,630.0000","","","","36,782,997.0000","","","","49,557,767.0000","","",NA,"63,413,148.6000","","83,759,427.2400","","154,036,198.4900","","122,084,092.1700",NA,"226,567,569.5300","","107,570,098.0100","","231,549,496.3100","","121,355,952.8400","","302,519,798.7900","78,987,603.2400","126,231,849.0700","167,668,019.8700","282,078,798.5800","100,280,766.4600","139,986,185.6500","217,716,596.7500","344,590,302.9600","97,407,257.8700","143,127,579.6900","220,861,014.2800","301,413,878.0800","146,242,840.8800","192,606,451.0100","259,886,760.7500","349,811,308.0700","154,344,078.1800","194,256,474.7500","253,894,870.3600","351,538,048.5600","187,659,543.0800","201,736,391.4200","284,083,527.8600","417,071,665.9600","224,757,484.8800","264,674,872.0200","354,508,031.3000","430,470,277.5000","145,426,043.2500","197,645,824.0900","319,140,639.6600","443,153,061.2000","324,483,617.6000","360,414,695.0000","512,363,531.8600","609,752,493.8500","299,352,285.5100","332,685,339.3400","457,828,824.0000","639,499,840.2100","331,478,317.7800","412,440,356.9500","594,095,617.6500","798,668,744.5900","518,335,440.3900","558,640,586.6800","773,896,935.1300","985,609,930.7200","566,475,405.1200","640,490,373.6600","855,343,953.9000","1,099,699,884.0200","537,100,272.2400","666,243,144.4200","897,216,932.0900","1,153,092,274.4000","581,485,874.6100","657,956,316.5300","861,626,847.8300","1,082,671,992.2300","368,479,555.8200","456,748,894.1000","700,211,879.4900","974,674,065.3100"
"356","000858.SZ","食品饮料","","","","","","",NA,"","","","","323,464,761.9000","","","","387,644,599.0900","","",NA,"791,730,640.2000","","486,863,031.9200","","1,130,184,539.2200","","844,436,963.6300",NA,"1,497,595,955.7700","","1,350,654,903.8200","","1,808,312,636.9000","608,278,285.8500","1,023,082,458.5400","1,325,640,000.0000","1,641,200,348.6800","643,031,963.6800","1,028,919,821.8600","1,410,585,635.2100","1,734,177,570.9400","776,308,846.7800","1,130,683,566.3700","1,570,981,584.9000","2,171,227,238.4300","906,492,817.8200","1,309,854,768.0800","1,735,591,286.6400","2,465,716,515.0800","1,061,843,919.1300","1,617,364,310.6800","1,922,157,257.2500","2,413,664,721.4300","1,322,879,157.4200","2,078,132,956.3000","2,636,157,460.7200","3,213,289,167.3800","1,546,327,729.5400","2,300,898,706.7500","2,901,544,874.2100","3,367,942,813.8100","1,682,069,369.8900","2,372,715,149.1000","3,124,509,804.4300","3,749,248,481.0900","2,022,702,273.5900","2,958,281,403.5600","4,464,312,440.7200","6,469,975,306.3900","2,777,528,030.7500","4,466,180,574.7100","6,659,738,348.6900","9,285,940,197.1700","3,638,692,389.5000","6,186,654,704.0900","9,109,217,831.6000","11,853,539,044.6200","5,061,760,145.0300","8,671,614,538.0000","13,092,955,319.5800","17,179,617,355.2800","6,055,589,003.1100","10,045,611,186.5400","12,467,240,014.3600","16,259,147,730.2700","4,589,029,275.4500","7,970,510,662.4700","10,223,826,000.2900","13,722,225,733.9200","4,182,768,467.5900","6,953,926,254.4700","9,289,261,031.9100","13,202,648,429.6700","5,482,379,406.6500","8,243,042,845.1200","11,042,899,526.4900","15,288,365,667.7000","6,403,476,353.1100","9,763,995,841.3700","13,296,993,963.9100","18,241,997,058.1000"
"358","000860.SZ","食品饮料","","","","","","",NA,"","","","","29,709,295.0000","","","","121,300,733.0000","","",NA,"179,734,746.6800","40,278,792.0000","","","175,261,085.6200","","68,730,427.4300",NA,"129,654,822.3600","","68,369,069.9500","","134,950,091.7700","","66,217,006.8800","","160,026,823.6300","48,997,775.5500","108,039,340.8700","159,911,705.4400","235,875,912.8000","63,566,898.8400","130,782,257.0500","203,258,204.1500","284,576,603.0800","84,190,096.7100","174,026,170.4700","280,281,648.8700","391,147,277.8300","123,921,269.9200","227,532,927.8900","350,647,383.7800","463,907,677.4400","130,412,481.0800","254,197,447.7400","385,573,851.4800","497,666,038.4900","157,555,680.8600","318,428,030.3600","520,958,682.9600","689,749,858.5600","264,948,280.3600","469,368,534.7700","679,794,021.3000","899,900,119.6600","305,086,102.4800","533,784,358.7400","795,436,694.1900","1,026,690,513.6600","461,115,001.3200","763,376,093.3000","1,053,797,653.4300","1,284,619,092.0000","460,952,665.3100","833,247,609.0300","1,235,350,801.2200","1,595,676,431.9500","496,950,468.6500","908,664,014.8800","1,266,246,399.1700","1,692,809,143.7100","730,353,186.6100","1,176,234,204.3400","1,575,483,903.8900","1,972,615,416.7600","872,437,366.5200","1,409,350,781.5000","1,774,862,474.3200","2,174,459,759.8600","1,033,900,627.8700","1,554,208,462.4200","1,981,489,475.7100","2,513,861,247.4500","1,070,267,132.7600","1,671,641,280.2200","2,157,987,851.1000","2,588,477,422.4100","1,081,374,273.6000","1,708,873,994.3600","2,180,222,826.6000","2,687,624,058.4300"
