"","上市公司","申万一级行业","X19930331","X19930630","X19930930","X19931231","X19940331","X19940630","X19940930","X19941231","X19950331","X19950630","X19950930","X19951231","X19960331","X19960630","X19960930","X19961231","X19970331","X19970630","X19970930","X19971231","X19980331","X19980630","X19980930","X19981231","X19990331","X19990630","X19990930","X19991231","X20000331","X20000630","X20000930","X20001231","X20010331","X20010630","X20010930","X20011231","X20020331","X20020630","X20020930","X20021231","X20030331","X20030630","X20030930","X20031231","X20040331","X20040630","X20040930","X20041231","X20050331","X20050630","X20050930","X20051231","X20060331","X20060630","X20060930","X20061231","X20070331","X20070630","X20070930","X20071231","X20080331","X20080630","X20080930","X20081231","X20090331","X20090630","X20090930","X20091231","X20100331","X20100630","X20100930","X20101231","X20110331","X20110630","X20110930","X20111231","X20120331","X20120630","X20120930","X20121231","X20130331","X20130630","X20130930","X20131231","X20140331","X20140630","X20140930","X20141231","X20150331","X20150630","X20150930","X20151231","X20160331","X20160630","X20160930","X20161231","X20170331","X20170630","X20170930","X20171231"
"19","000022.SZ","交通运输",0,0,0,0,0,3.46241238,0,24.0450117,0,10.79320537,0,10.56436367,0,-10.02672016,0,-14.78697279,0,-10.46376368,0,-3.675119303,0,-51.51975018,0,-36.5526261,0,58.14497697,0,60.64527834,0,51.09754504,0,8.156667229,0,-36.96008011,0,21.97170343,0,236.120027,0,132.7486576,45.07903214,68.68093792,66.17941673,71.1233528,64.20546461,72.23494991,70.97817607,68.43247662,74.49683885,51.05468245,32.75614183,8.593641241,-11.9719907,-9.84389385,-5.539894579,6.246867113,-8.030106242,-8.416927907,-0.734136052,3.366283362,15.1641172,9.243922072,-1.176745977,-4.845826023,-43.92529191,-39.76375025,-36.78778804,-36.03034408,33.65408051,46.77489151,42.89077827,36.83017076,-5.087437483,-21.2877758,-24.08228944,-19.2180173,-13.30315108,-10.95542003,-2.918141839,-7.787968399,11.60322595,26.51000193,15.42099361,4.337727644,-22.92934368,-23.65434966,-19.4913083,-17.53975684,2.794991045,7.188652834,14.13254579,23.20297527,15.70114989,7.917232966,3.034842389,2.624725237,10.08500456,-4.338948554,2.352667933,-6.250081364
"57","000088.SZ","交通运输",0,0,0,0,0,0,0,0,0,0,0,34.83427499,0,0,0,6.358811078,0,0,0,-11.13731815,0,-11.2921976,0,0.801517275,0,-19.87801164,0,-24.11311271,0,-18.81804514,0,13.49226967,0,463.0676534,0,254.2228687,0,50.44604667,0,44.79149529,30.46573599,23.05835035,27.34028988,32.06493958,-1.542570825,-1.483369837,-8.00021686,-12.55841669,-16.19850821,-10.21376407,-7.749407744,3.023098713,23.8685351,27.08457827,22.30189857,2.122758038,1.857638777,-11.25776384,-10.57038997,-4.482485209,-15.77843981,-14.90077336,-14.75745713,-15.08208033,-20.29757943,-17.2705801,-21.31999309,-18.15545344,-1.917948588,-3.44140726,-3.087537432,-9.637746317,33.42669799,9.885776452,-1.630198341,0.454830154,-38.92615283,-23.0986468,-16.82158567,-5.344676519,-3.662323608,-0.233178903,4.993737441,-4.355407999,37.64405347,21.14742865,17.76539426,11.46987336,-32.30092123,-30.36274796,20.41437622,10.39292119,3.759240016,5.147633221,-33.92123046,-26.37924348,5.464690305,-2.985805639,4.885460598,12.4911214
"58","000089.SZ","交通运输",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.60443781,0,0,0,4.516222651,0,0,0,27.85968012,0,86.90562816,0,106.490276,0,17.60386913,0,26.64581423,0,35.17251557,0,7.622958918,0,-4.003146066,0,-4.461865375,-8.854177852,-20.12439667,-15.10993035,-21.98303691,35.33973483,19.59783441,21.82055801,2.28271119,-18.12983183,1.536968132,0.876497698,43.12800362,20.88555445,17.70930322,31.49699325,37.26499842,12.06082876,13.38879947,9.403382563,40.33624916,29.69046745,-70.65767517,-51.15219736,-56.3611119,-9.807773733,258.9563773,147.9584498,129.9443873,22.69327771,29.03618529,19.23475469,24.08853423,-6.307522113,-3.761292494,-1.863504257,-7.747345402,5.276381095,-20.32267379,-15.59511943,-12.10593767,-10.99792232,14.64869343,6.030660997,-13.20928943,-60.33486583,-60.20879955,-58.6927946,-45.49856706,44.82980508,71.11171979,74.54755789,92.95453815,44.00989313,21.38887457,20.28499832,7.884586438,8.1776692,20.38805608,23.88249527,17.40421186
"61","000099.SZ","交通运输",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.426795291,0,0,0,19.95222143,0,18.49515278,0,11.9706186,0,34.95317491,0,19.51184948,0,-17.81619307,0,2.396827324,93.45346078,34.39390328,47.85853904,31.57620355,61.93244008,6.744941127,5.870678503,3.907540124,-31.47785689,-3.088575208,-12.93387021,7.239124844,-16.87122429,-73.3686162,-29.0354445,-21.47152636,11.71336013,72.20032448,10.17400237,19.03619203,45.82336047,34.80893664,3.210721405,10.00083586,244.0985831,202.658489,81.43798945,19.82552154,-36.12668281,-8.378716982,5.343905545,10.35505285,-3.866809242,7.979505974,10.93085011,13.29016295,10.79632491,4.936522173,10.92010097,2.404496522,0.775342685,19.14173278,17.6779363,34.10835184,-10.63293194,3.586759688,23.95104963,11.47035074,8.465272387,-0.82345143,-13.66732502,-15.68519659,-47.1733349,-47.67129183,-46.17013935,-48.29263083,-38.39994081,-5.84489311,13.68999483,6.5562216
"98","000429.SZ","交通运输",0,0,0,0,0,0,0,0,0,0,0,9.354820099,0,0,0,10.17640465,0,53.47291727,0,25.8181373,0,-12.66720836,0,-14.19578608,0,48.0511934,0,76.06059004,0,-13.03122268,0,-52.86004082,0,-7.399412291,0,26.03490913,0,39.56222198,52.00393288,44.81810504,62.83764739,1.99079424,-6.307139459,1.993373654,-0.775088617,4.882750819,20.55030474,16.08601988,45.36093689,52.96352027,28.54689603,28.02433367,8.866800831,-12.29772327,0.299031667,-3.549828407,27.41756056,51.83560498,37.19866227,35.55687971,-30.92061338,-17.99392469,-16.85964538,-15.81057345,-0.146726767,-12.25109252,-15.28595766,-20.1539725,15.44742172,5.330658564,0.914047534,16.32259409,-50.08304849,-41.67607084,-30.80228109,-48.92615789,-3.508683705,16.62771336,6.707499848,-10.13332681,-62.54795896,-64.87725209,-60.11581053,-50.2702141,290.4548058,217.0994672,227.7826951,258.670015,2.746173931,31.71370164,31.28601943,50.32207627,39.39746234,43.38949825,32.76858516,35.41555047,37.21334345,63.95362874,52.84512637,45.87899892
"108","000507.SZ","交通运输",0,0,0,419.3394216,0,-41.32755838,0,-49.14826153,0,-68.69985449,0,-68.73616041,0,-72.3431725,0,-84.34986473,0,-44.30084571,0,-4138.281154,0,-615.5646777,0,31.43902715,0,199.7180949,0,138.4927439,0,43.72671181,0,42.91794847,0,-10.82501372,0,-46.78630252,0,-29.65530424,0,-29.76847352,-16.05165967,5.414730938,4.938633704,10.26104767,29.8820582,7.990026303,2.106619038,37.28333676,-1.899698118,-18.66392875,-17.4156863,-18.07909209,-24.72288895,14.13106547,54.43504801,414.860315,-12.31309564,524.3271148,246.6960308,5.938352786,803.7741295,-55.65018964,-63.46727804,-38.6396231,-157.5809714,-168.6238887,-142.9739121,14.11517697,26.87599716,330.1166817,535.3472349,93.24593398,46.369731,145.0044694,112.4486355,46.27202523,-3329.397608,-25.80530968,-30.6420277,-48.46683565,274.6961604,-93.13626978,-92.62867884,-40.00280454,-186.1887254,-331.5266555,-321.5477538,-81.39094362,-14.15761019,301.2464037,329.9360897,375.8592958,266.4974384,44.34690652,53.55323219,49.25130535,-31.92707406,40.92653299,38.55899067,37.96994398
"117","000520.SZ","交通运输",0,0,0,0,0,87.11858002,0,34.78614375,0,0.320368889,0,4.392567194,0,15.89505622,0,-24.32948011,0,1.387746588,0,78.31625751,0,-45.42908953,0,-44.89417018,0,94.74842776,0,29.49472078,0,-32.03593068,0,-35.46186862,0,-51.63576561,0,-34.2225449,0,9.282165031,17.47331686,11.26910603,125.0248971,-16.48161872,0.254893516,8.859425624,-61.8640002,11.60430755,22.69303925,28.17528842,40.42399578,-42.54574668,-44.87544951,-69.38844702,1.0160359,-28.7754581,14.58601339,338.9465955,93.04616777,430.3327633,110.903687,332.9109437,144.8585957,151.654808,139.744449,-80.28530167,-170.1628603,-178.7150215,-228.9287283,-606.951055,-58.86202888,92.60341689,74.82704339,102.944151,-245.1504838,-4169.216116,-749.7946023,-7468.805028,-55.56272602,-51.82217357,-45.64470796,-114.7194568,25.01590386,24.34782788,21.06749028,-144.3750195,108.4196556,163.3454589,971.0393382,193.7456351,-87.22944456,-49.87446466,-97.51049793,-97.16280993,24.52940152,-114.5002602,-102.9214248,-92.10745078,64.86219866,218.8604402,1171.924338,423.0369582
"141","000548.SZ","交通运输",0,0,0,81.10138948,0,0,0,-37.11166574,0,-66.8355442,0,-68.80686067,0,-36.55010056,0,-794.9323567,0,44.67801866,0,-33.26909762,0,-415.8599367,0,175.2539089,0,216.9161539,0,-33.97441845,0,-53.91713944,0,-12.97192164,0,98.17867641,0,118.2247458,0,-45.78986909,0,-40.36097993,-43.77864042,-37.85142268,43.12778559,50.57406193,37.87936982,-1.068170402,-36.93054818,-43.93625724,-28.98800338,-185.5617717,-215.1529783,-783.0375801,-80.25565891,236.0662583,194.2970989,156.8545078,8295.818065,851.5317183,513.9442974,26.57708227,-96.49446298,-88.41578402,-80.12183182,-77.05661049,216.0015427,258.2782739,121.3611639,148.9397506,-22.69129631,-33.43518772,-21.36377726,-14.47398445,9.914662202,-25.52791737,-24.67447237,-31.61618388,-29.81056424,-13.59785607,-21.33114413,-39.9875927,-41.7220579,-54.99140078,-47.13951057,-51.57465336,-8.924025945,-8.006750697,18.28835814,-1.187624654,-125.3119091,-105.5556485,-103.243738,-61.53597572,18.75415308,5564.362281,6711.343793,570.2398533,133.64206,189.0003318,152.4619906,144.0892291
"148","000557.SZ","交通运输",0,0,0,-9.092620936,0,0,0,125.6204067,0,-32.30460564,0,15.21219109,0,-10.82439172,0,72.43265979,0,329.8362578,0,3.95540719,0,304.672544,0,245.7799155,0,-52.98076448,0,-140.591193,0,137.541311,0,-219.670343,0,-111.9624554,0,-191.8685567,0,108.8962048,0,101.2506587,78.92327516,-72.10713514,-98.6936848,-593.0402913,-7.830757247,-512.2689301,-14247.18917,-458.740667,-56.70617759,17.53070599,15.46358378,101.6537999,-59.19245903,-70.76539507,-53.24116854,-990.148666,77.83106735,85.80447135,74.97731382,134.5683362,-4326.418178,-442.0156094,-356.9616505,-1626.359768,2329.240338,980.4265525,558.9057752,168.5547909,-101.5466981,-106.8612329,-109.0414,-149.844536,84.64042303,64.24758979,70.4875902,-151.4297994,-173.1942227,591.9220599,6031.384111,258.059873,104.603609,-102.4461006,-99.92706957,-99.03309201,913.5525902,516.5802814,1547.269816,-70.03967052,-83.91001238,-97.98560629,-97.3100745,-1715.982105,-624.9969574,-196.0094237,-189.70189,-86.11383475,151.5407726,142.0671478,157.9814872,952.7506801
"165","000582.SZ","交通运输",0,0,0,0,0,0,0,0,0,0,0,84.30587391,0,-59.78612947,0,11.7173533,0,239.4456137,0,9.637030553,0,-92.92518369,0,19.07420991,0,475.8617314,0,11.45486821,0,-32.43096822,0,-52.92091296,0,368.9247812,0,-81.93887907,0,-177.7336772,0,-1221.739685,58.48743597,9.317967647,22.71661253,118.9789978,-240.2041428,-29.90513943,-88.73606513,-669.5108424,150.1750104,230.8739794,135.0652286,109.1127912,-85.58949869,-121.0693686,-113.7834863,-1920.145539,-1187.351178,-349.5846093,-582.2426226,102.0943824,115.7827829,138.490729,300.4135283,1075.823533,431.8387165,633.5776539,209.9763703,143.9693545,49.10628352,-32.23674631,-19.25933572,-10.93261465,5.767572848,10.37832877,8.037816632,-1.276489238,15.93426701,-20.43298907,-3.119340779,5.586031755,4.373520529,-25.08915808,0.655958156,7.033911008,-1.493976082,14.08155282,-0.715552375,3.192401257,-19.47677894,-18.52984375,-27.95870221,-33.27766683,-6.002714349,10.00211354,11.91573679,17.66223448,14.71407322,13.01605993,14.66232108,22.67336776
