"","上市公司","申万一级行业","X19930331","X19930630","X19930930","X19931231","X19940331","X19940630","X19940930","X19941231","X19950331","X19950630","X19950930","X19951231","X19960331","X19960630","X19960930","X19961231","X19970331","X19970630","X19970930","X19971231","X19980331","X19980630","X19980930","X19981231","X19990331","X19990630","X19990930","X19991231","X20000331","X20000630","X20000930","X20001231","X20010331","X20010630","X20010930","X20011231","X20020331","X20020630","X20020930","X20021231","X20030331","X20030630","X20030930","X20031231","X20040331","X20040630","X20040930","X20041231","X20050331","X20050630","X20050930","X20051231","X20060331","X20060630","X20060930","X20061231","X20070331","X20070630","X20070930","X20071231","X20080331","X20080630","X20080930","X20081231","X20090331","X20090630","X20090930","X20091231","X20100331","X20100630","X20100930","X20101231","X20110331","X20110630","X20110930","X20111231","X20120331","X20120630","X20120930","X20121231","X20130331","X20130630","X20130930","X20131231","X20140331","X20140630","X20140930","X20141231","X20150331","X20150630","X20150930","X20151231","X20160331","X20160630","X20160930","X20161231","X20170331","X20170630","X20170930","X20171231"
"97","000428.SZ","休闲服务",0,0,0,0,0,0,0,57.79478231,0,0,0,2.526188917,0,0,0,226.4677999,0,173.082469,0,29.31118028,0,-21.33046916,0,-32.60687453,0,-41.00394639,0,-29.38703247,0,11.76783636,0,9.347295351,0,45.92182603,0,40.61086367,0,-6.313889894,0,-20.86796306,7.595388905,-44.94882307,-29.41105197,-30.66487889,-37.3277898,21.59167792,8.755582872,35.64045987,-17.60651301,-10.77657067,-31.03610486,-40.09045565,-2.571202505,54.33936328,156.3070174,599.7920908,273.1334981,443.5152579,244.9457329,86.59088657,-4.618332711,-6.007950877,-20.80577551,-22.73512763,113.2019153,-27.17015413,-12.18076771,11.38868968,-52.90028972,5.356893715,21.67796408,-6.315521126,17.32375942,-40.69562694,-27.21187937,-6.970991377,7.144664554,-3.828726237,16.83788306,-15.93759756,-1.423599544,30.11417974,50.33073165,-4.373556796,-232.0237641,-160.2949388,-90.69254875,-188.997741,-63.63934911,165.4961673,-15.10791123,63.53671078,-58.95144552,-630.1551903,-1723.3956,-1151.149544,-12.19267688,-8.194253105,-15.09273995,83.85234497
"99","000430.SZ","休闲服务",0,0,0,0,0,0,0,202.4312272,0,0,0,89.79728978,0,0,0,-7.997287998,0,0,0,9.815533685,0,-83.89468153,0,25.66654871,0,6.315989734,0,-93.30854319,0,-738.8910158,0,-3595.484073,0,0.228069333,0,116.146287,0,158.9164014,398.2612211,18.84769244,155.0785945,-71.41208955,-11.71639765,11.20184221,-21.80421501,54.55197719,6.514684092,-86.14416661,-547.5246006,-399.6053401,-174.564718,-2788.05273,-526.5865776,-390.6911428,-332.275678,-78.38514583,81.10600946,95.21643936,103.44362,100.6219635,-38.32256744,240.6198826,315.3143638,-4599.462447,-3.145548718,-362.8143846,-240.7301413,-39.33290067,59.08879389,94.71172052,204.4220572,139.4234901,-163.2959367,-22.76826114,16.21030638,11.12605248,38.18472553,60.63052419,20.16630693,13.10299495,-124.0325997,-67.08116563,-44.80244988,-48.25943715,55.30717573,84.80309534,38.74846743,14.55445416,35.27246942,146.6789416,102.0981212,90.42761277,148.5035805,-28.33504076,-26.55841035,-47.13724104,401.4026496,9.710095967,-27.39035848,9.236604074
"120","000524.SZ","休闲服务",0,0,0,0,0,0,0,29.68073851,0,-3.846234336,0,2.089244586,0,-43.27843884,0,-4.987807864,0,74.82589593,0,30.77374137,0,-15.3474179,0,-37.47834828,0,-51.61162364,0,-36.78596016,0,20.7261324,0,-13.69809886,0,-56.39643665,0,-580.4609378,0,15.62927351,0,108.8679497,-2947.898526,-422.7678017,-920.491005,-1150.48608,47.88212431,140.2517805,108.4596576,137.6832172,25.088196,19.01681613,-68.87855787,7.731039126,10.71490606,-1.693395578,445.3831374,-33.73537266,-29.94975919,26.87733764,3.877341117,1.947655513,10.950648,-88.32971222,-257.2013352,-82.96981165,-84.05019943,-1105.128288,-136.5204528,-1336.949108,93.76907605,111.0071551,111.9854971,112.8905499,734.6468415,405.5037255,334.8605804,202.3015248,87.36468891,70.23809803,72.70731085,51.25803189,0.236587384,1.495251629,1.58173927,11.13627683,-50.39265095,-26.89709203,-22.15800938,-6.167295504,43.73801771,46.10461155,25.80315438,7.876274678,-9.167762912,-9.695286976,-1.470730471,-21.96394962,4.770306095,13.42070999,27.30209668,26.49229098
"188","000610.SZ","休闲服务",0,0,0,0,0,0,0,24.26408075,0,0,0,32.7087001,0,0,0,36.38709179,0,106.9910014,0,5.236109293,0,-41.32108012,0,3.569234316,0,-8.627364955,0,-29.92313628,0,-28.23729953,0,6.648459974,0,-95.89821693,0,-92.6337139,0,750.4748043,0,445.0708355,155.9933884,-246.9828803,-127.271806,-79.71996551,3512.237021,265.2436029,859.1337386,1818.947447,-74.92932978,141.5533099,77.05925484,10.54177863,7.932970995,-38.65993917,-40.73284588,-67.93579927,21.90152627,-1.559973763,2.323956005,10.95529826,-58.83069505,-40.01718804,-31.72686222,13.51560755,-1285.30639,-167.4205125,-67.79458023,-125.3652777,69.21691594,105.6699295,786.0353694,1036.842288,383.8355445,6990.683735,13.31300964,1.215632434,358.8166942,29.43783296,2.796839826,-23.19343982,-104.8725196,-126.8815948,-129.6393088,-59.70410292,-539.8516142,-38.64328292,-30.31854669,-344.2132032,0.177054999,29.88985507,1.564350831,141.3437857,6.936386896,132.8796836,104.6034519,5.725799527,35.13888227,-392.724207,-2639.862539,-321.2201336
"191","000613.SZ","休闲服务",0,0,0,0,0,0,0,17.19949056,0,0,0,24.44873752,0,0,0,44.96754449,0,0,0,-55.86558137,0,-92.56887841,0,-308.3487956,0,-730.7060845,0,5.357418323,0,-320.280914,0,-11.98872545,0,27.52434624,0,103.1456537,103.942038,101.1390694,100.6461269,-89.55942573,-1173.874638,-1158.74667,-1853.290572,-24200.44228,23.62602404,34.73931139,15.93860012,74.04159267,63.46651745,39.55142398,42.89599142,152.7300995,-142.5143686,-78.74604746,-108.3817143,-348.6351964,86.99133827,55.75338687,1249.524155,846.810866,2166.0228,182.994714,-100.6654271,-99.72069211,-81.13909126,-208.8347344,-247.2319787,-793.8993418,86.24070355,122.4013072,66.25071428,122.7239606,-30.51426601,-425.9755066,-404.7925701,-875.5613012,36.3153077,136.0469933,90.48086372,140.2565805,-10.80582666,-181.7709912,-341.3330267,-203.4466845,-42.51000496,-76.03923518,24.19289373,213.8300254,-122.3280882,-299.7796947,-271.1993145,-398.6980952,1382.43711,105.0744167,74.19414587,64.41428146,66.41884045,898.8546531,114.4927749,207.4386421
"269","000721.SZ","休闲服务",0,0,0,0,0,0,0,51.29414353,0,0,0,5.408830397,0,0,0,26.99661717,0,0,0,78.13276459,0,-8.921796936,0,-27.45213437,0,-1.722518758,0,-92.43269804,0,-39.63509107,0,143.0473747,0,37.88342099,0,471.9921026,0,11.51419265,-11.56206148,-20.95067874,18.19406029,-88.25918735,-15.75781823,22.50300415,18.87089744,813.2753186,39.95545629,-8.919031297,-1.087087003,4.820915099,3.791681657,2.806696397,-14.7708114,-10.0042341,-2.18968019,-44.85943545,-5.372729299,10.69639786,-10.45877104,7.684091424,22.5805964,1.17917621,12.25258635,20.04547413,-3.069277887,-3.430848126,-7.444619224,229.6193712,5.494958692,-16.62907001,1.883853043,-24.04481273,567.5443516,317.4569291,202.0964568,4.148367807,-84.15856746,-69.84092608,-56.81440791,-57.35569357,-8.965884433,1.329326125,-3.669067749,-11.01955464,51.54524651,-66.82450736,-57.76675952,-25.16372761,-162.4015735,-228.9919779,-251.8131577,-373.1997503,-252.5976882,609.9434486,277.3372522,129.6287946,31.74951655,-109.2584671,-123.6488592,-231.018711
"316","000796.SZ","休闲服务",0,0,0,0,0,0,0,0,0,0,0,13.00071677,0,0,0,45.73407434,0,0,0,187.1312372,0,1.182617043,0,55.19955454,0,27.30195888,0,-22.95379445,0,-12.21236022,0,13.24091264,0,38.3054603,0,-29.63194076,0,-39.05354707,0,-32.41155594,-19.53740694,-45.07317441,-46.51413446,-38.01280362,42.55032637,26.10863956,7.399110452,-88.38224243,-45.38061088,-40.90486561,-39.79316185,-6847.551068,-37.94544475,-8.008482289,-63.94727045,108.277996,13.26073532,-110.7687531,204.0475405,-49.54787421,300.5095934,503.0910788,-84.61647622,43.56400811,-10.53240504,143.6587746,177.0770014,10.6188624,47.2151663,284.7145515,811.8924156,36.57033543,-32.34662988,-27.07923573,-23.07779655,-34.63938299,48.82341201,11.81590223,24.58657019,-4.846978823,15.48032466,32.60626745,11.67314496,123.4860672,19.69451122,8.61476824,-0.046822355,-10.33299933,-6.685220574,15.01760378,74.99758494,39.56548127,46.65706632,48.19705788,39.4785134,5.19796363,36.47655101,119.10148,45.95646123,1.3390721
"361","000863.SZ","休闲服务",0,0,0,0,0,0,0,0,0,0,0,17.39180741,0,0,0,-22.23347987,0,0,0,21.72697734,0,39.59453098,0,27.11137329,0,6.795054713,0,23.11227592,0,168.8299773,0,93.9608532,0,-3.866866816,0,-14.68814021,0,-39.13819266,0,-50.98837203,-49.51621855,-32.63183309,-4.600537888,9.376970892,56.10950428,-40.03302905,-138.8191127,-1097.446102,-1250.588994,-1324.615212,-1654.918534,-142.5009302,3.63736482,12.2850278,13.17528656,-73.89748745,13.47756966,40.03877519,23.59111873,104.095974,237.7984892,288.7201357,48.56396576,-89.79539798,-94.41504109,-141.2308336,-57.79079509,130.6308346,314.6814938,117.1682159,78.48131419,-33.15969244,-226.5174949,-580.2866529,-267.1985604,22.4884443,13.49279481,8.398373563,-43.94539437,77.48886659,103.9645857,-42.45983491,-82.20491943,10.46566085,1210.975036,-55.12481994,-45.96663309,-73.84370914,-759.4731872,193.9460524,-147.7075215,-33.0034178,653.4205752,493.831063,7282.878888,1080.087983,-81.55483936,-83.81051356,-92.65995915,-76.06841645
"375","000888.SZ","休闲服务",0,0,0,0,0,0,0,0,0,0,0,27.29711432,0,0,0,17.7265333,0,0,0,20.04571675,0,0,0,-28.4098215,0,-13.30094705,0,-26.19138328,0,-53.16000116,0,16.23157555,0,29.30844983,0,21.65083702,0,-42.24569674,0,-9.466329375,3.944880894,-180.3889195,-8.410408667,9.496445911,63.58981077,432.599722,107.7678195,41.7084718,-87.42647473,-26.79132539,-10.93287763,-16.68526834,-10.49754876,2.164546539,5.087668692,7.469977548,-18.71556985,20.83230651,5.937486184,12.60514223,12.77948729,-254.4216961,-87.87623482,-53.4900178,36.04269075,173.5065671,1100.381982,290.6779715,315.3526198,150.1880526,34.45225248,31.14676223,10.14727895,0.281502874,33.51875226,31.89903914,5.132979996,47.99221209,10.7977097,30.3939832,-28.59296436,-43.47450615,-13.70700323,-40.12123021,40.2843914,83.56443829,27.82070583,66.35457285,-77.86398744,0.502521685,-1.207559157,1.553257981,598.4938381,6.969186852,1.57102183,-2.095347394,11.41231656,9.981037817,7.400710301,5.075574942
"444","000978.SZ","休闲服务",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.885964112,0,0,0,-55.3925088,0,-7.004041117,0,10.51370743,0,90.32738363,0,30.7942586,0,6.4918008,0,5.206376315,118.5762007,-95.45987322,-79.13228949,-78.95418785,-96.28794226,1242.324103,272.2025543,262.0045623,329.6582424,11.84504832,0.184224646,6.896033812,269.1553754,53.69323779,47.62231559,19.90284626,-28.2162408,2.375447549,1.572219078,16.66966322,-465.0762941,-40.95454467,-48.91199459,-58.47274847,70.0389365,-16.67397511,10.43698394,45.19454809,13.55048743,17.0240851,30.70205671,103.427196,-180.8200548,158.9909966,71.67824807,-9.047464005,10.99548812,-21.48985665,-21.13508268,-13.58830019,-89.26591805,-380.611692,-125.3589601,-98.49247585,3.649200381,-48.51409046,-62.87215096,3331.878038,45.73701896,74.61412318,225.0812529,-28.84346194,11.36673022,69.80855647,75.46380064,-362.7746743,67.23229975,847.3211713,56.72832286,180.9920104
