"","证券代码","申万一级行业","净利润..报告期..1993一季..报表类型..合并报表..单位..元","净利润..报告期..1993中报..报表类型..合并报表..单位..元","净利润..报告期..1993三季..报表类型..合并报表..单位..元","净利润..报告期..1993年报..报表类型..合并报表..单位..元","净利润..报告期..1994一季..报表类型..合并报表..单位..元","净利润..报告期..1994中报..报表类型..合并报表..单位..元","净利润..报告期..1994三季..报表类型..合并报表..单位..元","净利润..报告期..1994年报..报表类型..合并报表..单位..元","净利润..报告期..1995一季..报表类型..合并报表..单位..元","净利润..报告期..1995中报..报表类型..合并报表..单位..元","净利润..报告期..1995三季..报表类型..合并报表..单位..元","净利润..报告期..1995年报..报表类型..合并报表..单位..元","净利润..报告期..1996一季..报表类型..合并报表..单位..元","净利润..报告期..1996中报..报表类型..合并报表..单位..元","净利润..报告期..1996三季..报表类型..合并报表..单位..元","净利润..报告期..1996年报..报表类型..合并报表..单位..元","净利润..报告期..1997一季..报表类型..合并报表..单位..元","净利润..报告期..1997中报..报表类型..合并报表..单位..元","净利润..报告期..1997三季..报表类型..合并报表..单位..元","净利润..报告期..1997年报..报表类型..合并报表..单位..元","净利润..报告期..1998一季..报表类型..合并报表..单位..元","净利润..报告期..1998中报..报表类型..合并报表..单位..元","净利润..报告期..1998三季..报表类型..合并报表..单位..元","净利润..报告期..1998年报..报表类型..合并报表..单位..元","净利润..报告期..1999一季..报表类型..合并报表..单位..元","净利润..报告期..1999中报..报表类型..合并报表..单位..元","净利润..报告期..1999三季..报表类型..合并报表..单位..元","净利润..报告期..1999年报..报表类型..合并报表..单位..元","净利润..报告期..2000一季..报表类型..合并报表..单位..元","净利润..报告期..2000中报..报表类型..合并报表..单位..元","净利润..报告期..2000三季..报表类型..合并报表..单位..元","净利润..报告期..2000年报..报表类型..合并报表..单位..元","净利润..报告期..2001一季..报表类型..合并报表..单位..元","净利润..报告期..2001中报..报表类型..合并报表..单位..元","净利润..报告期..2001三季..报表类型..合并报表..单位..元","净利润..报告期..2001年报..报表类型..合并报表..单位..元","净利润..报告期..2002一季..报表类型..合并报表..单位..元","净利润..报告期..2002中报..报表类型..合并报表..单位..元","净利润..报告期..2002三季..报表类型..合并报表..单位..元","净利润..报告期..2002年报..报表类型..合并报表..单位..元","净利润..报告期..2003一季..报表类型..合并报表..单位..元","净利润..报告期..2003中报..报表类型..合并报表..单位..元","净利润..报告期..2003三季..报表类型..合并报表..单位..元","净利润..报告期..2003年报..报表类型..合并报表..单位..元","净利润..报告期..2004一季..报表类型..合并报表..单位..元","净利润..报告期..2004中报..报表类型..合并报表..单位..元","净利润..报告期..2004三季..报表类型..合并报表..单位..元","净利润..报告期..2004年报..报表类型..合并报表..单位..元","净利润..报告期..2005一季..报表类型..合并报表..单位..元","净利润..报告期..2005中报..报表类型..合并报表..单位..元","净利润..报告期..2005三季..报表类型..合并报表..单位..元","净利润..报告期..2005年报..报表类型..合并报表..单位..元","净利润..报告期..2006一季..报表类型..合并报表..单位..元","净利润..报告期..2006中报..报表类型..合并报表..单位..元","净利润..报告期..2006三季..报表类型..合并报表..单位..元","净利润..报告期..2006年报..报表类型..合并报表..单位..元","净利润..报告期..2007一季..报表类型..合并报表..单位..元","净利润..报告期..2007中报..报表类型..合并报表..单位..元","净利润..报告期..2007三季..报表类型..合并报表..单位..元","净利润..报告期..2007年报..报表类型..合并报表..单位..元","净利润..报告期..2008一季..报表类型..合并报表..单位..元","净利润..报告期..2008中报..报表类型..合并报表..单位..元","净利润..报告期..2008三季..报表类型..合并报表..单位..元","净利润..报告期..2008年报..报表类型..合并报表..单位..元","净利润..报告期..2009一季..报表类型..合并报表..单位..元","净利润..报告期..2009中报..报表类型..合并报表..单位..元","净利润..报告期..2009三季..报表类型..合并报表..单位..元","净利润..报告期..2009年报..报表类型..合并报表..单位..元","净利润..报告期..2010一季..报表类型..合并报表..单位..元","净利润..报告期..2010中报..报表类型..合并报表..单位..元","净利润..报告期..2010三季..报表类型..合并报表..单位..元","净利润..报告期..2010年报..报表类型..合并报表..单位..元","净利润..报告期..2011一季..报表类型..合并报表..单位..元","净利润..报告期..2011中报..报表类型..合并报表..单位..元","净利润..报告期..2011三季..报表类型..合并报表..单位..元","净利润..报告期..2011年报..报表类型..合并报表..单位..元","净利润..报告期..2012一季..报表类型..合并报表..单位..元","净利润..报告期..2012中报..报表类型..合并报表..单位..元","净利润..报告期..2012三季..报表类型..合并报表..单位..元","净利润..报告期..2012年报..报表类型..合并报表..单位..元","净利润..报告期..2013一季..报表类型..合并报表..单位..元","净利润..报告期..2013中报..报表类型..合并报表..单位..元","净利润..报告期..2013三季..报表类型..合并报表..单位..元","净利润..报告期..2013年报..报表类型..合并报表..单位..元","净利润..报告期..2014一季..报表类型..合并报表..单位..元","净利润..报告期..2014中报..报表类型..合并报表..单位..元","净利润..报告期..2014三季..报表类型..合并报表..单位..元","净利润..报告期..2014年报..报表类型..合并报表..单位..元","净利润..报告期..2015一季..报表类型..合并报表..单位..元","净利润..报告期..2015中报..报表类型..合并报表..单位..元","净利润..报告期..2015三季..报表类型..合并报表..单位..元","净利润..报告期..2015年报..报表类型..合并报表..单位..元","净利润..报告期..2016一季..报表类型..合并报表..单位..元","净利润..报告期..2016中报..报表类型..合并报表..单位..元","净利润..报告期..2016三季..报表类型..合并报表..单位..元","净利润..报告期..2016年报..报表类型..合并报表..单位..元","净利润..报告期..2017一季..报表类型..合并报表..单位..元","净利润..报告期..2017中报..报表类型..合并报表..单位..元","净利润..报告期..2017三季..报表类型..合并报表..单位..元","净利润..报告期..2017年报..报表类型..合并报表..单位..元"
"19","000022.SZ","交通运输","","54,360,000.0000","","90,676,446.2600","","56,242,167.3700",NA,"112,479,608.3700","","62,312,500.0000","","124,362,363.2500","","56,064,600.0000","","105,972,934.4400","","50,198,132.7500",NA,"102,078,302.6700","","24,336,180.1600","","64,766,002.3700","","38,486,446.5100",NA,"104,043,524.7800","","58,152,075.8500","","112,530,008.8700","","36,342,578.1700","","124,053,958.0000","62,868,741.0700","122,154,683.0000","210,695,701.0000","288,733,922.0000","91,209,361.0600","206,051,665.0000","350,132,887.0000","494,091,168.0000","149,770,755.0000","354,892,982.0000","598,650,824.0000","832,209,991.0000","261,345,233.0000","536,082,467.0000","794,745,737.0000","903,727,132.0000","230,057,006.0000","483,311,078.0000","750,717,661.0000","960,181,765.0000","211,583,184.0000","442,631,133.0000","745,206,372.0000","992,504,204.0000","243,667,906.0000","483,547,610.0000","736,437,186.0000","944,409,177.0000","136,636,067.0000","291,270,946.0000","465,518,235.0000","604,135,301.0000","182,619,679.0000","427,512,615.0000","665,182,629.0000","826,639,364.0000","173,329,017.0000","336,504,688.0000","504,991,423.0000","667,775,668.0000","150,270,796.0000","299,639,186.0000","490,255,057.0000","615,769,510.0000","167,707,056.0000","379,073,540.0000","565,857,258.0000","642,479,914.7500","129,252,928.2300","289,406,158.8600","455,564,275.0800","529,790,499.9400","132,865,536.0000","310,210,562.9000","519,947,104.8400","652,717,658.6100","153,726,952.9600","334,770,655.8500","535,726,679.9800","669,849,703.7200","169,230,323.1800","320,245,129.3200","612,925,725.2100","713,858,775.0700"
"57","000088.SZ","交通运输","","","","","","",NA,"114,756,611.0800","","","","154,731,244.5500","","","","164,570,312.0700","","57,606,362.3800",NA,"146,241,592.8400","","51,101,338.1100","","147,413,744.4700","","40,943,408.1700",NA,"111,011,627.8900","","33,238,659.1400","","125,989,616.0900","","187,156,138.0500","","443,707,010.2600","122,678,230.4000","281,569,010.8000","478,205,011.2900","642,450,014.8400","160,053,056.1900","346,494,179.8000","608,947,647.5800","848,451,223.9300","157,584,124.4400","341,354,389.6500","560,230,515.2100","741,899,183.8400","132,057,847.1100","306,489,257.6400","516,815,968.2800","764,327,528.5200","163,578,120.7000","389,500,580.5100","632,075,741.3200","780,552,352.5700","166,616,811.3000","345,651,525.0000","565,262,870.5700","745,564,208.8200","140,327,278.0100","294,146,774.6500","481,844,444.7900","631,498,100.8100","111,844,237.2900","243,345,920.3300","379,115,242.4600","516,846,757.1300","109,699,122.3200","234,971,396.1600","367,409,917.4400","467,034,377.8300","146,367,916.6400","258,200,143.1100","361,420,407.0600","469,158,591.0100","89,392,517.7200","198,559,404.0100","300,623,763.6400","444,083,581.9600","86,118,674.4400","198,096,405.3700","315,636,125.0800","424,741,930.1100","118,537,234.2900","239,988,701.3600","371,710,127.1200","473,459,291.6200","80,248,615.6100","167,121,536.8300","447,592,430.9200","522,665,542.6600","83,265,353.6800","175,724,340.5800","295,763,570.9000","384,790,326.5800","87,815,547.3900","170,477,553.3100","310,212,983.6200","432,854,953.4200"
"58","000089.SZ","交通运输","","","","","","",NA,"","","","","82,301,438.2800","","","","93,498,086.2700","","",NA,"97,720,668.0200","","67,005,846.7900","","124,945,333.5400","","125,237,698.8500",NA,"256,466,540.0000","","147,284,379.4600","","318,723,144.5900","","199,088,000.7600","","338,220,575.2700","88,658,848.5300","191,118,217.2900","252,988,348.6800","323,129,628.5300","80,808,836.4000","152,656,829.1400","214,761,985.3900","251,555,558.8100","109,366,464.9000","182,574,261.7300","261,624,248.9900","257,297,845.7000","89,538,508.7400","185,380,369.9500","263,917,379.5100","368,265,269.9100","108,239,122.7400","218,209,941.7700","347,043,418.7100","505,499,316.9200","121,293,657.9800","247,425,633.2900","379,677,239.0300","582,298,309.7400","157,306,312.0200","72,600,433.0300","185,463,988.3800","253,507,621.6600","148,539,141.4000","287,114,327.6400","459,873,630.5700","582,926,547.2600","187,683,342.9700","371,295,881.9900","545,509,462.8500","723,345,008.1100","175,845,174.6100","357,330,357.8500","535,343,870.7900","667,304,971.8800","185,123,436.1600","284,711,274.8600","451,856,354.8000","586,521,447.9300","164,763,704.4600","326,417,756.6800","479,106,279.7500","509,046,132.3300","65,353,744.4300","129,885,543.8700","197,905,415.0600","276,198,891.3700","94,274,237.9900","221,357,468.0300","344,074,325.2000","532,938,295.2300","135,764,229.3800","268,703,339.2100","413,869,796.2900","574,958,275.7800","146,866,578.9500","323,486,726.7100","512,712,230.8100","675,025,232.2100"
"61","000099.SZ","交通运输","","","","","","",NA,"","","","","","","","","","","",NA,"36,898,777.2100","","","","38,163,222.7700","","19,407,718.9400",NA,"45,777,633.4800","","22,997,206.2100","","51,257,499.3900","","31,035,459.9200","","61,258,785.5200","5,468,725.6600","25,506,122.4600","45,004,451.0000","62,727,052.8300","10,579,439.0500","34,278,673.5500","66,542,923.7500","82,533,874.7100","17,131,543.8000","36,590,749.9000","70,449,444.8700","85,758,918.9800","11,738,900.9600","35,460,617.0700","61,337,605.1100","91,967,114.1900","9,758,404.6500","9,443,653.0300","43,527,958.8200","72,220,371.0200","10,901,441.7300","16,262,001.1600","47,956,494.3800","85,968,379.5300","15,896,848.6700","21,922,630.8400","49,496,243.8100","94,565,936.0600","54,700,831.0300","66,350,703.2400","89,804,989.6200","113,314,126.0800","34,939,235.3100","60,791,365.6000","94,604,083.4400","125,047,863.7200","33,588,201.7300","65,642,216.2500","104,945,114.0000","141,666,928.5700","37,214,493.1200","68,882,658.8100","116,405,226.4100","145,073,304.9400","37,503,032.9700","82,067,993.2900","136,983,268.1900","194,555,418.2200","33,515,361.0000","85,011,574.9900","169,792,198.7400","205,744,079.3200","36,352,527.6000","84,311,545.9600","146,586,147.0800","173,472,716.0100","19,203,828.0100","44,119,142.8400","78,907,118.7100","89,698,177.6800","11,829,569.4200","41,540,426.1000","89,709,499.1800","95,578,988.9800"
"98","000429.SZ","交通运输","","","","","","",NA,"135,754,198.0000","","","","148,453,759.0000","","68,810,450.0000","","163,561,014.2300","","105,605,405.0000",NA,"205,789,421.4500","","92,228,148.3100","","176,575,995.4100","","136,544,874.2200",NA,"326,604,508.5100","","118,751,407.6000","","156,396,490.9900","","109,964,501.3500","168,194,229.8600","210,053,545.3900","52,155,600.0000","153,468,901.4700","255,661,844.2600","282,102,704.9800","84,928,952.0200","156,524,151.5200","239,536,895.2000","303,892,827.1000","84,270,677.3800","164,166,835.8100","288,762,457.1300","352,777,087.6800","122,496,646.1600","251,115,371.1700","371,195,175.5300","451,640,515.8300","133,358,179.8000","220,233,897.7400","372,305,166.6500","435,608,052.5000","169,921,739.5100","334,393,471.0100","510,797,708.2100","590,496,683.7300","129,772,252.0900","289,825,387.0100","418,462,480.4500","471,939,263.9800","129,581,841.4600","254,318,610.6900","354,496,482.8600","376,824,754.5200","149,598,894.9800","267,875,467.4900","357,736,749.2200","438,332,329.6300","74,675,207.8700","156,235,497.9000","247,545,670.1600","223,873,161.9500","72,055,091.0200","182,213,888.6500","264,149,795.6100","201,187,362.8200","26,986,102.2600","63,998,524.7700","105,354,004.9600","100,050,044.7800","105,368,533.1800","202,938,981.0900","345,332,196.8800","358,849,510.5800","108,262,136.3700","267,298,444.0600","453,372,895.1000","539,430,034.9900","150,914,670.7800","604,141,638.6800","938,924,610.1600","1,172,357,707.4400","329,777,539.3900","990,512,139.3200","1,435,100,506.8900","1,710,223,687.4200"
"108","000507.SZ","交通运输","","130,626,480.9300","","181,928,826.6500","","76,641,745.7700",NA,"92,513,971.1300","","23,988,977.9500","","28,923,419.5300","","6,634,590.2500","","4,526,554.2800","","3,695,410.6600",NA,"-182,794,988.4100","","-19,052,232.0600","","-125,326,022.3700","","18,998,522.8400",NA,"41,605,068.7200","","27,305,952.1700","","55,778,680.9100","","24,350,079.1000","","29,681,898.5200","6,472,837.1500","17,128,989.0600","26,834,529.1300","20,846,050.4200","5,433,839.3600","18,056,477.7300","28,159,788.2300","22,985,073.5900","7,057,582.4000","19,499,195.0500","28,753,007.6900","31,554,675.9800","6,923,509.6400","15,859,879.1800","23,745,474.0700","25,849,877.0500","5,211,818.0400","18,101,049.0900","36,671,334.2800","133,090,758.4100","4,570,081.9000","113,009,757.5400","127,138,060.3900","140,994,157.1700","41,303,217.9100","50,119,613.1600","46,446,994.1100","86,514,546.2400","-23,782,794.1100","-34,394,027.5400","-19,960,090.4200","98,726,227.5500","-17,390,931.0400","79,146,394.8900","86,895,701.7300","210,014,410.1900","-8,230,896.1500","209,402,693.5400","206,977,298.9900","294,696,195.2800","-10,231,107.0700","166,337,187.2800","157,883,566.8700","151,866,274.6500","17,873,351.2200","11,416,935.7900","11,638,104.7800","91,115,505.6400","-15,404,813.6000","-26,433,249.6000","-25,783,959.7200","16,927,457.5900","-17,585,767.0600","53,195,964.1900","59,286,628.7600","80,550,880.4900","29,279,851.6800","76,786,728.7000","91,036,534.7200","120,223,240.6000","19,931,651.7500","108,212,874.5500","126,139,303.6500","165,871,937.7100"
"117","000520.SZ","交通运输","","27,603,374.3500","","75,976,931.3100","","51,651,042.1200",NA,"102,406,375.8500","","51,816,515.9900","","106,904,644.7200","","60,052,780.3400","","80,895,300.4500","","60,886,160.7500",NA,"144,249,472.2600","","33,226,132.2700","","79,489,868.7000","","64,707,370.2000",NA,"104,531,095.2400","","44,727,225.7300","","66,522,177.2100","","21,631,980.2900","34,458,777.1000","45,078,722.0900","7,368,994.8200","23,639,896.4000","40,479,868.4100","50,158,691.0800","16,582,073.0100","19,743,658.8100","40,583,048.9700","54,602,463.0100","6,323,739.3300","22,034,773.7000","49,792,576.2000","69,986,864.4500","8,880,047.4500","12,659,914.7000","27,447,933.8100","21,424,066.0900","8,970,271.9200","9,016,966.2500","31,451,493.1100","94,040,208.7100","17,316,766.1800","47,819,926.2800","66,332,358.5900","407,110,354.9800","42,401,590.4900","120,341,143.6700","159,028,147.6200","80,260,578.3600","-29,750,168.6800","-94,726,557.1600","-205,032,968.3600","-406,881,848.7200","-47,261,721.5600","-7,006,528.5300","-51,612,860.1700","11,979,216.1300","-163,124,060.6200","-299,123,845.2000","-438,603,299.8300","-882,725,080.4500","-253,760,235.5000","-454,136,323.4500","-638,802,495.1600","-1,895,382,497.9800","-190,279,818.9400","-343,563,993.0900","-504,222,841.5800","-4,628,541,754.1200","16,020,905.3500","217,632,188.1100","4,391,979,302.2600","4,339,055,863.0100","2,045,958.6000","109,089,299.3600","109,338,415.4900","123,107,262.0800","2,547,820.0000","-15,818,232.2800","-3,194,239.5900","9,716,301.2500","4,200,392.0700","18,801,620.5200","34,239,831.5700","50,819,846.5100"
"141","000548.SZ","交通运输","","","","73,521,361.6400","","49,410,629.0800",NA,"46,236,359.6600","","16,386,766.2400","","14,422,572.0900","","10,397,386.7000","","-100,227,120.1200","","15,042,733.0700",NA,"-133,571,778.5500","","-47,513,967.1600","","100,517,984.5500","","55,551,502.9900",NA,"64,433,273.8000","","25,599,721.6600","","56,075,040.0100","","50,733,189.5500","","90,377,970.9000","18,951,514.6900","27,502,528.4700","31,559,691.1200","48,738,767.7800","10,654,799.2200","17,092,430.1700","45,170,687.0400","73,387,942.3800","14,690,770.0200","16,909,853.8900","28,488,904.7000","41,144,027.2300","10,432,209.1100","-14,468,370.5800","-32,805,822.2600","-281,029,167.9300","2,059,770.9500","19,686,570.4800","30,934,938.6700","159,777,750.2500","172,934,621.5200","187,323,962.3700","189,923,291.8700","202,242,014.3900","6,062,287.1800","21,700,012.3800","37,753,271.3800","46,401,173.1200","19,156,921.0100","77,746,429.8000","83,571,080.9500","115,510,964.6300","14,809,967.3000","51,751,765.0500","65,717,141.3600","98,791,925.5700","16,278,325.5300","38,540,617.2300","49,501,783.4700","67,557,688.7200","11,425,664.8400","33,299,919.5700","38,942,486.6900","40,542,995.3200","6,658,642.3400","14,987,827.3400","20,585,189.0600","19,633,086.0200","6,064,423.3700","13,787,789.3700","24,349,882.1600","19,399,918.6500","-1,535,021.3300","-766,001.1100","-789,846.3800","7,461,989.4200","-1,247,141.0800","41,857,075.7300","52,219,459.6200","50,013,226.9400","419,563.9500","120,967,087.7400","131,834,287.2500","122,076,900.0700"
"148","000557.SZ","交通运输","","","","10,568,891.8900","","13,334,464.5600",NA,"23,845,576.8700","","9,026,818.3700","","27,473,011.5900","","8,049,720.1900","","47,372,444.6100","","34,600,616.0300",NA,"49,246,217.6900","","140,019,193.1200","","170,283,529.9300","","65,835,954.1800",NA,"-55,033,883.6100","","156,387,588.7000","","-152,781,575.4300","","-18,707,795.5900","","-419,100,589.3600","-23,537,548.6400","14,869,524.0000","17,824,151.8200","4,784,966.7600","-4,960,944.3600","6,052,228.4600","251,561.0200","-62,090,464.5000","-5,349,423.8700","-24,951,457.4800","-35,588,813.3700","-346,924,675.4800","-8,382,877.6700","-20,577,290.8300","-30,085,507.4000","5,729,448.1100","-13,344,909.1000","-35,138,891.9800","-46,103,383.1000","-51,000,605.9200","-2,958,423.9100","-4,988,151.4800","-11,536,304.8700","17,630,060.9300","-11,438,923.3700","-27,036,559.6400","-50,677,881.7300","-269,098,157.1100","255,001,093.9700","238,037,050.0500","232,563,726.0300","184,479,678.8400","-3,944,096.9700","-16,332,276.4400","-21,027,016.8100","-91,953,040.0200","-605,796.6100","-5,839,182.4700","-6,205,579.3700","-231,197,344.0800","-1,655,001.3400","28,724,226.6900","368,076,748.7400","365,430,228.5000","76,189.7900","-702,623.4800","268,439.9500","3,533,374.0600","772,223.5900","2,926,990.8700","4,421,930.2700","1,058,610.5100","124,250.6800","58,961.1200","118,946.6300","-17,106,956.4000","-23,801,652.0700","-58,990,066.7100","-62,941,154.7800","8,263,260.1500","12,267,555.3600","24,815,438.5300","36,494,217.5900","86,991,527.4300"
"165","000582.SZ","交通运输","","","","","","",NA,"11,616,600.4400","","9,035,529.9600","","21,410,076.9600","","3,633,536.3200","","23,918,771.3200","","12,333,879.6600",NA,"26,223,830.6200","","872,599.3300","","31,225,819.1200","","5,024,965.6100",NA,"34,113,100.4700","","3,395,320.6100","","15,891,643.0200","","9,873,748.7500","","3,701,132.4200","-5,782,700.0000","-7,675,227.9800","-12,606,064.6400","-41,517,071.1500","-2,400,547.0400","-6,960,052.7200","-9,742,393.7800","7,879,524.0000","-8,166,760.4800","-9,041,466.1900","-18,387,410.6700","-44,874,743.5100","4,097,672.9200","11,832,926.6000","6,447,587.5900","4,089,341.6700","590,495.2100","-2,493,122.9200","-888,702.3500","-74,431,969.9800","-6,420,756.6200","-11,208,696.9400","-6,063,106.2200","1,558,890.1000","1,013,374.0800","4,314,309.1600","12,151,285.1000","18,329,796.6500","5,389,515.7000","31,648,807.9200","37,666,112.5000","44,719,086.5600","8,036,106.5600","21,446,262.0000","30,411,869.4400","39,830,121.1500","8,499,594.8600","23,672,025.5800","32,856,319.7400","39,321,693.9400","9,853,943.0000","18,835,123.1800","31,831,419.1600","41,518,216.2500","10,284,907.2200","14,109,549.3500","32,040,219.9500","589,459,502.6400","129,490,636.8800","307,494,479.1400","503,650,830.0400","608,277,415.2100","104,270,031.7900","250,516,232.6100","362,836,594.2900","408,128,340.5100","98,010,999.6300","275,573,150.6400","406,071,247.8300","480,212,924.9900","112,432,409.8800","311,441,917.0700","465,610,718.0000","589,093,367.4900"
