"","证券代码","申万一级行业","净利润..报告期..1993一季..报表类型..合并报表..单位..元","净利润..报告期..1993中报..报表类型..合并报表..单位..元","净利润..报告期..1993三季..报表类型..合并报表..单位..元","净利润..报告期..1993年报..报表类型..合并报表..单位..元","净利润..报告期..1994一季..报表类型..合并报表..单位..元","净利润..报告期..1994中报..报表类型..合并报表..单位..元","净利润..报告期..1994三季..报表类型..合并报表..单位..元","净利润..报告期..1994年报..报表类型..合并报表..单位..元","净利润..报告期..1995一季..报表类型..合并报表..单位..元","净利润..报告期..1995中报..报表类型..合并报表..单位..元","净利润..报告期..1995三季..报表类型..合并报表..单位..元","净利润..报告期..1995年报..报表类型..合并报表..单位..元","净利润..报告期..1996一季..报表类型..合并报表..单位..元","净利润..报告期..1996中报..报表类型..合并报表..单位..元","净利润..报告期..1996三季..报表类型..合并报表..单位..元","净利润..报告期..1996年报..报表类型..合并报表..单位..元","净利润..报告期..1997一季..报表类型..合并报表..单位..元","净利润..报告期..1997中报..报表类型..合并报表..单位..元","净利润..报告期..1997三季..报表类型..合并报表..单位..元","净利润..报告期..1997年报..报表类型..合并报表..单位..元","净利润..报告期..1998一季..报表类型..合并报表..单位..元","净利润..报告期..1998中报..报表类型..合并报表..单位..元","净利润..报告期..1998三季..报表类型..合并报表..单位..元","净利润..报告期..1998年报..报表类型..合并报表..单位..元","净利润..报告期..1999一季..报表类型..合并报表..单位..元","净利润..报告期..1999中报..报表类型..合并报表..单位..元","净利润..报告期..1999三季..报表类型..合并报表..单位..元","净利润..报告期..1999年报..报表类型..合并报表..单位..元","净利润..报告期..2000一季..报表类型..合并报表..单位..元","净利润..报告期..2000中报..报表类型..合并报表..单位..元","净利润..报告期..2000三季..报表类型..合并报表..单位..元","净利润..报告期..2000年报..报表类型..合并报表..单位..元","净利润..报告期..2001一季..报表类型..合并报表..单位..元","净利润..报告期..2001中报..报表类型..合并报表..单位..元","净利润..报告期..2001三季..报表类型..合并报表..单位..元","净利润..报告期..2001年报..报表类型..合并报表..单位..元","净利润..报告期..2002一季..报表类型..合并报表..单位..元","净利润..报告期..2002中报..报表类型..合并报表..单位..元","净利润..报告期..2002三季..报表类型..合并报表..单位..元","净利润..报告期..2002年报..报表类型..合并报表..单位..元","净利润..报告期..2003一季..报表类型..合并报表..单位..元","净利润..报告期..2003中报..报表类型..合并报表..单位..元","净利润..报告期..2003三季..报表类型..合并报表..单位..元","净利润..报告期..2003年报..报表类型..合并报表..单位..元","净利润..报告期..2004一季..报表类型..合并报表..单位..元","净利润..报告期..2004中报..报表类型..合并报表..单位..元","净利润..报告期..2004三季..报表类型..合并报表..单位..元","净利润..报告期..2004年报..报表类型..合并报表..单位..元","净利润..报告期..2005一季..报表类型..合并报表..单位..元","净利润..报告期..2005中报..报表类型..合并报表..单位..元","净利润..报告期..2005三季..报表类型..合并报表..单位..元","净利润..报告期..2005年报..报表类型..合并报表..单位..元","净利润..报告期..2006一季..报表类型..合并报表..单位..元","净利润..报告期..2006中报..报表类型..合并报表..单位..元","净利润..报告期..2006三季..报表类型..合并报表..单位..元","净利润..报告期..2006年报..报表类型..合并报表..单位..元","净利润..报告期..2007一季..报表类型..合并报表..单位..元","净利润..报告期..2007中报..报表类型..合并报表..单位..元","净利润..报告期..2007三季..报表类型..合并报表..单位..元","净利润..报告期..2007年报..报表类型..合并报表..单位..元","净利润..报告期..2008一季..报表类型..合并报表..单位..元","净利润..报告期..2008中报..报表类型..合并报表..单位..元","净利润..报告期..2008三季..报表类型..合并报表..单位..元","净利润..报告期..2008年报..报表类型..合并报表..单位..元","净利润..报告期..2009一季..报表类型..合并报表..单位..元","净利润..报告期..2009中报..报表类型..合并报表..单位..元","净利润..报告期..2009三季..报表类型..合并报表..单位..元","净利润..报告期..2009年报..报表类型..合并报表..单位..元","净利润..报告期..2010一季..报表类型..合并报表..单位..元","净利润..报告期..2010中报..报表类型..合并报表..单位..元","净利润..报告期..2010三季..报表类型..合并报表..单位..元","净利润..报告期..2010年报..报表类型..合并报表..单位..元","净利润..报告期..2011一季..报表类型..合并报表..单位..元","净利润..报告期..2011中报..报表类型..合并报表..单位..元","净利润..报告期..2011三季..报表类型..合并报表..单位..元","净利润..报告期..2011年报..报表类型..合并报表..单位..元","净利润..报告期..2012一季..报表类型..合并报表..单位..元","净利润..报告期..2012中报..报表类型..合并报表..单位..元","净利润..报告期..2012三季..报表类型..合并报表..单位..元","净利润..报告期..2012年报..报表类型..合并报表..单位..元","净利润..报告期..2013一季..报表类型..合并报表..单位..元","净利润..报告期..2013中报..报表类型..合并报表..单位..元","净利润..报告期..2013三季..报表类型..合并报表..单位..元","净利润..报告期..2013年报..报表类型..合并报表..单位..元","净利润..报告期..2014一季..报表类型..合并报表..单位..元","净利润..报告期..2014中报..报表类型..合并报表..单位..元","净利润..报告期..2014三季..报表类型..合并报表..单位..元","净利润..报告期..2014年报..报表类型..合并报表..单位..元","净利润..报告期..2015一季..报表类型..合并报表..单位..元","净利润..报告期..2015中报..报表类型..合并报表..单位..元","净利润..报告期..2015三季..报表类型..合并报表..单位..元","净利润..报告期..2015年报..报表类型..合并报表..单位..元","净利润..报告期..2016一季..报表类型..合并报表..单位..元","净利润..报告期..2016中报..报表类型..合并报表..单位..元","净利润..报告期..2016三季..报表类型..合并报表..单位..元","净利润..报告期..2016年报..报表类型..合并报表..单位..元","净利润..报告期..2017一季..报表类型..合并报表..单位..元","净利润..报告期..2017中报..报表类型..合并报表..单位..元","净利润..报告期..2017三季..报表类型..合并报表..单位..元","净利润..报告期..2017年报..报表类型..合并报表..单位..元"
"33","000038.SZ","传媒","","","","25,018,614.1300","","10,767,332.6200",NA,"28,230,255.3500","","10,328,700.0000","","20,061,563.6900","","5,290,434.4300","","12,026,423.6100","","4,237,983.6600",NA,"12,927,048.3900","","1,265,940.0800","","-18,742,821.7400","","-895,322.5700",NA,"-37,679,256.2800","","2,525,539.1100","","1,899,430.4200","","650,794.7300","","2,542,349.3600","-2,066,555.2900","228,992.8200","3,469,453.2000","10,276,427.8100","1,228,286.1200","4,101,290.0500","4,343,614.7600","8,552,799.6500","1,001,007.9900","2,224,024.7700","2,315,799.4100","-6,699,282.8500","44,928.9800","-1,482,493.9100","-3,931,811.2600","-50,324,561.2800","-2,378,941.1400","-5,304,311.5200","-18,546,623.9800","-170,578,202.4400","20,255,523.4700","15,424,665.2500","25,099,076.2400","16,140,031.1600","-1,592,077.0500","-3,273,565.3700","-4,691,718.4400","188,440,208.5100","-1,192,723.9700","-2,642,527.8800","-4,615,687.5000","23,814,049.7800","6,632,431.8500","16,612,878.2100","13,877,850.9800","30,011,854.6100","-4,244,576.6600","-9,705,912.2200","3,059,913.1400","2,616,809.9500","-2,612,439.7700","-5,356,924.6900","2,066,102.4000","2,787,981.1800","281,331.2300","-3,699,655.9300","-2,186,981.7400","2,907,365.5200","-985,717.7600","-12,166,347.9500","-16,308,859.1900","-54,959,566.2400","-628,467.5000","-825,228.3800","1,526,951.6300","8,062,361.9800","35,899,099.4900","96,193,204.8600","117,172,220.3300","240,476,528.0600","94,834,292.2300","184,548,206.5600","267,207,664.5100","358,378,132.8300"
"67","000156.SZ","传媒","","","","","","",NA,"","","","","","","","","","","",NA,"13,444,073.4200","","","","9,042,671.0400","","",NA,"15,176,167.8100","","8,227,885.9300","","22,220,387.1300","","5,411,272.2500","11,286,477.2700","14,285,001.1000","3,170,600.0000","11,362,440.8100","19,365,329.0600","28,415,469.9400","6,601,972.7800","11,782,351.6500","21,151,681.9000","-37,167,507.3300","4,925,990.5000","-31,424,125.6400","-156,257,526.7000","-320,832,911.1500","-5,634,840.7100","-13,223,007.1900","-19,967,417.7300","-678,722,800.4400","-8,230,356.5500","-39,542,701.0300","-14,132,724.7200","-84,070,235.3500","-9,926,879.3600","-25,595,559.8300","-40,088,654.2100","7,062,148.5500","-8,695,200.2300","5,941,011.8800","-2,831,518.3300","19,889,025.1700","7,413,656.1900","14,817,488.2200","1,403,540.0100","85,132,370.0600","11,007,275.7000","40,833,033.5900","45,808,561.8900","184,583,983.5000","-1,005,598.7800","68,870,334.3200","88,863,863.0800","105,319,731.5800","463,027.3600","30,109,692.5100","117,161,674.7100","173,786,144.2200","63,906,488.5600","125,820,601.5000","187,166,396.3100","255,445,611.2400","85,285,038.4000","166,872,475.1900","241,354,332.2800","383,868,234.2100","130,693,898.2600","249,797,683.4800","402,078,417.7900","532,575,121.4200","146,358,218.8700","294,274,502.4500","457,051,128.8700","600,611,286.2000","149,121,015.9900","307,948,878.1400","472,573,652.5900","641,193,778.0000"
"105","000504.SZ","传媒","","","","128,795,163.0000","","52,315,598.1900",NA,"56,345,629.0400","","15,384,626.0800","","-9,111,002.2300","","-9,480,091.9100","","-97,122,708.9100","","14,734,030.2400",NA,"10,043,026.0700","","-23,780,691.7400","","-190,481,958.2200","","-26,509,382.9100",NA,"-57,464,613.0900","","-20,364,520.0400","","25,252,289.5400","","7,149,609.3700","","5,093,332.9300","126,800.0000","5,711,679.7400","11,835,318.1500","29,036,273.5500","852,538.8600","5,836,512.9700","15,010,459.9100","31,775,593.9900","2,258,782.6600","9,549,679.1000","15,933,663.7300","29,702,257.7100","1,192,917.7700","5,261,894.6800","8,999,838.1400","9,558,254.3100","656,638.1400","3,140,889.3600","1,166,131.6500","11,728,261.1200","830,176.0400","2,038,670.9400","782,276.4400","1,888,893.5600","322,039.1600","-12,541,949.1700","-16,429,518.7700","-170,063,904.4400","-3,641,422.2300","-11,444,886.7300","-16,131,077.3000","-135,730,242.1300","-2,716,321.8000","-7,608,703.6300","-4,392,361.4800","5,749,764.9200","-1,729,952.0100","-2,566,288.7100","-3,138,820.1100","-30,754,537.9000","-36,696.4300","-785,281.1300","-3,820,030.0700","-151,182,868.7000","-7,788,869.0400","-13,540,984.6500","-15,853,499.8400","13,329,624.3800","-4,861,252.0400","-9,184,719.2900","-13,458,429.7700","-26,561,189.6900","-3,879,519.1300","-7,434,513.8700","-10,539,105.9100","-21,532,331.1500","-4,713,233.5500","-12,663,565.4100","-15,866,849.4900","28,897,385.0500","-5,876,015.4800","-13,080,958.4500","-22,869,766.1800","-36,249,200.6800"
"122","000526.SZ","传媒","","","","9,932,116.7200","","6,227,188.4700",NA,"5,678,450.7900","","-819,865.6700","","6,813,535.9100","","1,225,166.1300","","287,326.7700","","455,823.0100",NA,"-6,217,180.9300","","-3,385,077.3800","","-31,406,452.3300","","-9,778,102.5500",NA,"8,597,580.1700","","-2,815,495.4500","","16,690,932.2900","","10,618,518.3600","","14,389,754.7000","-2,620,000.0000","-5,194,069.2200","-7,850,934.1200","6,409,501.1800","-1,647,455.1900","-4,040,734.8400","1,551,166.6300","122,551.5900","-1,762,020.2500","-2,129,207.9700","-3,073,914.3100","-7,586,388.5600","-6,700,493.9300","-9,033,733.1000","-13,611,378.9100","-3,511,811.3900","9,103,828.1700","8,800,396.3300","7,401,315.0500","-120,291.3000","-2,255,468.1800","-3,299,870.5300","-3,397,191.9300","2,899,358.9600","-1,791,869.0200","-4,436,541.7600","-6,421,190.4600","-12,155,376.9800","-1,308,252.9900","-2,576,877.1400","-2,324,905.2400","725,802.6600","-1,653,023.6500","-2,691,695.3600","-3,859,275.7200","6,964,115.9000","-802,827.7300","1,758,093.6800","4,974,594.5000","4,451,285.9300","-992,271.3200","-186,608.3700","5,500,479.9400","3,674,075.9300","956,155.8300","-378,027.3200","-1,582,071.3600","-6,653,027.6700","-938,902.8500","-1,206,199.5800","702,907.5800","2,027,100.9400","1,709,739.0700","2,202,939.5400","2,865,470.8000","-13,476,073.0600","-587,848.9600","-11,723,480.6800","-37,047,469.4200","-100,887,551.7400","9,170,313.9900","99,934,371.2600","62,695,569.7900","22,580,037.0100"
"185","000607.SZ","传媒","","","","13,092,000.0000","","",NA,"13,796,000.0000","","","","20,737,669.0000","5,341,000.0000","","","26,659,152.3400","","3,314,166.1000",NA,"-17,341,688.0300","","-11,065,592.4200","","-4,910,714.9800","","-4,687,092.3500",NA,"35,682,337.1300","","57,655,242.1600","","105,022,981.5600","","70,560,070.7100","","118,441,927.1200","9,736,766.8000","33,945,362.5900","71,507,067.9700","98,765,683.6500","8,456,929.7900","37,739,283.7500","69,918,012.3100","94,033,560.2700","9,902,067.0600","27,359,139.7000","56,490,435.8500","80,557,472.9100","11,814,310.3700","25,580,791.3500","63,263,973.1000","70,021,059.9000","10,082,257.7800","34,329,970.9000","25,037,430.3200","27,872,805.4300","1,787,941.7100","-86,766,710.2900","-107,486,293.4300","-214,846,813.0300","3,471,504.5600","9,319,435.7400","14,351,728.6000","23,683,194.4300","8,573,054.1800","10,392,441.2600","8,593,171.6400","-63,446,479.8900","-5,778,191.3000","-29,616,962.4300","-70,788,836.9000","-180,410,629.5800","-27,348,033.7200","-18,378,972.4400","5,552,365.8600","41,223,086.8500","4,178,830.7300","12,601,072.6800","33,652,963.1200","49,225,210.7100","-10,942,731.2500","21,068,409.3200","29,262,688.4500","35,370,747.5300","-14,800,315.7300","10,330,081.0800","17,944,359.1600","203,292,482.4900","4,402,116.0400","87,462,772.3000","144,011,901.9000","315,300,838.3900","-10,603,323.0700","68,381,807.0700","165,500,781.6500","283,544,970.4000","-10,264,560.3400","46,185,514.7000","117,011,068.4400","210,138,101.9300"
"223","000665.SZ","传媒","","","","8,907,272.2500","","",NA,"10,773,958.3900","","","","11,639,630.8200","","","14,198,538.3200","21,880,045.7600","","10,129,735.0100",NA,"30,625,469.5100","","10,933,357.0500","","29,249,027.9600","","14,808,864.1400",NA,"31,367,495.9200","","14,763,413.0000","","36,999,037.6600","","14,137,704.7500","","38,685,456.8700","4,348,152.6400","5,750,679.4300","8,455,614.7600","9,845,959.7500","2,913,742.3900","5,649,571.8300","1,437,291.7700","-132,918,351.1600","5,902,333.5100","5,955,467.1100","6,632,714.6400","6,538,227.3300","759,414.5200","2,393,910.7800","71,437.9600","-199,900,468.1900","-2,008,992.8500","8,951,690.6800","25,672,198.4900","34,173,731.2900","4,748,983.4800","16,459,126.3800","22,766,491.4500","29,431,062.8900","1,409,349.9600","6,546,517.0900","12,702,927.2800","10,527,827.0300","428,719.6200","9,838,047.8800","23,134,994.8200","25,794,783.3600","14,123,782.6600","33,412,172.3600","46,346,174.2900","40,532,721.8200","17,807,702.1800","40,423,224.7700","55,371,077.2100","53,967,608.7200","21,997,757.7300","40,231,700.7900","58,221,846.3700","179,969,390.2700","39,297,515.9000","91,761,970.3300","121,785,578.8000","183,903,810.0300","34,575,355.6900","101,431,143.2100","130,795,610.4000","244,892,801.9400","97,092,103.5700","212,010,603.5600","273,604,204.0400","371,597,773.2500","100,983,643.2100","191,371,604.5200","236,138,516.2300","299,223,309.0500","89,517,345.0000","192,882,737.3200","242,239,273.8700","331,393,546.8500"
"231","000673.SZ","传媒","","","","31,398,580.0000","","",NA,"18,920,352.0000","","","","20,901,439.0000","","","","19,900,060.0000","","18,437,418.0000",NA,"38,885,423.0000","","23,880,768.5500","","30,620,852.7600","","27,922,680.4300",NA,"40,690,685.3900","","7,903,950.6000","","32,055,759.2600","","12,558,956.7700","","14,735,266.5900","4,801,826.1300","6,213,789.6400","12,342,887.0100","13,770,256.4800","366,420.7300","3,425,039.1200","8,060,141.0400","2,368,881.3000","900,640.6000","4,315,256.0800","11,962,359.3700","972,740.1100","185,539.5400","1,782,561.6400","4,119,002.9400","-137,341,980.7500","-7,975,666.8900","-34,800,558.8700","-44,089,774.7100","-43,485,267.8000","-6,836,243.5300","-12,726,275.0600","-12,206,294.9500","9,407,207.8200","-13,375,795.6500","-29,252,496.5400","-9,502,787.7200","-89,703,154.8500","-3,031,474.1600","-282,278.5900","-2,929,670.2000","-45,585,254.1300","-3,216,890.9900","-11,384,622.5400","-14,497,395.0700","5,762,381.7500","-2,405,966.7400","-16,360,556.2800","-16,404,098.2200","-23,970,128.1000","-3,140,715.2400","-1,601,345.8000","-3,025,477.0900","3,151,280.9100","-360,663.4200","1,388,972.2600","-625,444.6000","2,263,922.1200","-3,224,827.2500","2,144,546.7700","3,027,663.7600","-572,178.0100","-5,063,276.2800","25,872,548.5500","66,681,740.0100","115,784,756.1000","11,504,406.6500","30,925,610.1800","141,047,127.8400","189,460,396.1400","17,422,021.8900","58,348,617.7900","66,823,531.0800","155,346,068.9000"
"232","000676.SZ","传媒","","","","","","",NA,"14,055,553.5600","","","","10,459,351.4500","","","","14,493,592.5800","","13,637,160.0400",NA,"25,383,586.8600","","8,821,178.9100","","23,782,763.5700","","5,430,989.1700",NA,"21,484,784.0200","","17,345,842.2500","","29,882,719.5900","","33,525,816.2500","","37,376,491.3400","5,514,096.0000","19,099,632.8100","32,505,526.0200","47,089,932.9300","1,950,505.0700","13,155,833.5300","19,315,432.5100","38,152,956.5000","2,369,723.9000","14,751,499.8000","24,131,897.9200","46,163,272.2100","2,130,324.8700","10,607,800.1400","15,010,941.8100","38,892,642.9500","1,612,415.2700","5,999,044.2500","9,371,892.5400","39,571,999.4900","2,277,604.3900","13,101,240.0700","15,249,704.7300","42,958,890.6500","2,208,858.5400","8,984,050.2400","12,998,060.3800","-20,362,762.0800","-19,331,670.5300","-27,609,740.7200","-53,904,592.1700","-111,641,763.2600","-9,622,357.9800","13,239,847.2300","4,889,916.7400","24,364,705.3700","-20,821,341.1400","-20,591,898.4400","-17,399,714.8500","-83,309,631.1900","-18,059,534.9500","-25,389,583.4300","-50,132,788.2800","-153,533,425.7700","-8,644,718.5000","-13,621,411.8900","6,672,439.4900","14,495,634.9600","-13,038,660.6300","-20,790,630.9400","-26,838,680.2400","-82,159,306.6800","-7,436,678.5300","-25,498,913.4100","-22,943,889.0400","-4,220,479.4400","-6,837,357.3800","86,353,061.4800","150,079,430.6100","316,259,654.8100","122,802,929.3100","218,941,937.0400","330,606,827.9700","528,475,522.7200"
"237","000681.SZ","传媒","","","","9,627,683.0000","","",NA,"10,693,686.0000","","","","12,202,055.0000","","","","15,770,421.9900","","12,579,343.4900",NA,"20,728,610.4600","","11,029,305.3100","","20,893,603.8600","","9,332,300.7300",NA,"22,966,691.6800","","10,846,751.9200","","32,286,793.0700","","18,351,642.8100","","16,095,640.7600","1,387,057.4900","3,901,756.2600","3,132,235.9100","107,603.1600","445,653.3700","47,814.0000","1,637,858.1300","6,055,955.5100","620,865.7400","-9,563,807.0200","-10,313,385.6400","-29,076,030.7300","-120,646.7500","-7,861,029.6600","-15,182,281.4000","7,549,127.5500","-7,633,600.5300","-4,216,185.2200","-13,059,323.8900","-43,077,821.9700","-5,722,814.6100","-13,453,045.1200","-14,978,698.8400","-126,944,357.0300","1,610,167.0400","-15,533,921.1100","-24,404,749.1800","-33,169,974.3600","-3,751,835.2400","-7,480,689.9400","-11,634,973.0800","3,994,168.3000","1,716,532.9300","-863,071.0800","66,202.2500","700,060.4600","-2,720,587.8100","-5,891,579.1800","-8,765,849.6600","5,817,893.1400","-1,181,851.7200","2,918,895.5500","14,361,301.4400","12,511,725.0800","-4,761,801.0200","17,377,070.5100","15,562,763.1600","13,103,932.7600","-4,954,216.2200","46,227,723.5500","71,100,488.8000","143,019,956.0300","18,906,816.7900","47,124,217.0700","90,256,988.6100","171,049,410.3700","22,796,903.3900","68,623,136.4900","125,819,972.8500","230,557,613.3500","28,948,804.7100","99,210,917.6300","172,419,580.6700","312,566,573.0900"
"267","000719.SZ","传媒","","","","5,111,114.5000","","",NA,"8,519,533.9900","","","","8,004,850.5900","","","","11,181,445.7400","","6,848,360.6900",NA,"13,196,278.5300","","6,816,479.1600","","13,665,440.0300","","5,166,335.3200",NA,"18,747,953.2200","","6,920,217.1100","","24,015,596.9400","","15,018,699.2900","","21,732,412.5100","882,300.6000","4,457,398.3000","6,127,928.0800","18,192,029.9000","402,977.1000","2,283,943.4700","3,297,634.8800","9,320,659.7000","2,311,158.8600","2,541,931.7300","2,607,448.0300","859,805.0900","359,599.5100","-10,083,692.2300","-45,562,529.8300","-115,523,788.9800","-9,987,142.5000","-29,574,956.6400","-55,369,756.4300","-218,313,176.5800","-13,695,932.6100","-24,467,477.0300","-58,634,377.2900","-131,478,299.3100","-16,136,123.4300","-32,871,051.7100","-41,024,235.9800","79,726,083.1300","-7,503,208.5700","-35,667,631.7100","22,984,423.4700","17,654,389.3100","0.0000","0.0000","0.0000","377,331.0500","0.0000","44,302,815.1400","114,361,398.9400","142,388,107.5400","41,388,480.6400","72,615,130.1300","118,630,096.0600","188,435,790.5000","42,199,898.2700","113,840,270.5800","230,587,991.8300","281,665,564.3900","38,013,353.9900","149,851,294.4000","422,451,164.8200","638,059,009.6500","78,875,589.2700","327,996,002.8600","470,446,307.2700","697,813,065.4500","96,920,017.0100","317,156,215.5100","459,348,307.0800","672,044,411.6000","91,788,032.8600","325,103,991.5600","470,120,418.6000","700,480,956.0400"
