"","证券代码","申万一级行业","净利润..报告期..1993一季..报表类型..合并报表..单位..元","净利润..报告期..1993中报..报表类型..合并报表..单位..元","净利润..报告期..1993三季..报表类型..合并报表..单位..元","净利润..报告期..1993年报..报表类型..合并报表..单位..元","净利润..报告期..1994一季..报表类型..合并报表..单位..元","净利润..报告期..1994中报..报表类型..合并报表..单位..元","净利润..报告期..1994三季..报表类型..合并报表..单位..元","净利润..报告期..1994年报..报表类型..合并报表..单位..元","净利润..报告期..1995一季..报表类型..合并报表..单位..元","净利润..报告期..1995中报..报表类型..合并报表..单位..元","净利润..报告期..1995三季..报表类型..合并报表..单位..元","净利润..报告期..1995年报..报表类型..合并报表..单位..元","净利润..报告期..1996一季..报表类型..合并报表..单位..元","净利润..报告期..1996中报..报表类型..合并报表..单位..元","净利润..报告期..1996三季..报表类型..合并报表..单位..元","净利润..报告期..1996年报..报表类型..合并报表..单位..元","净利润..报告期..1997一季..报表类型..合并报表..单位..元","净利润..报告期..1997中报..报表类型..合并报表..单位..元","净利润..报告期..1997三季..报表类型..合并报表..单位..元","净利润..报告期..1997年报..报表类型..合并报表..单位..元","净利润..报告期..1998一季..报表类型..合并报表..单位..元","净利润..报告期..1998中报..报表类型..合并报表..单位..元","净利润..报告期..1998三季..报表类型..合并报表..单位..元","净利润..报告期..1998年报..报表类型..合并报表..单位..元","净利润..报告期..1999一季..报表类型..合并报表..单位..元","净利润..报告期..1999中报..报表类型..合并报表..单位..元","净利润..报告期..1999三季..报表类型..合并报表..单位..元","净利润..报告期..1999年报..报表类型..合并报表..单位..元","净利润..报告期..2000一季..报表类型..合并报表..单位..元","净利润..报告期..2000中报..报表类型..合并报表..单位..元","净利润..报告期..2000三季..报表类型..合并报表..单位..元","净利润..报告期..2000年报..报表类型..合并报表..单位..元","净利润..报告期..2001一季..报表类型..合并报表..单位..元","净利润..报告期..2001中报..报表类型..合并报表..单位..元","净利润..报告期..2001三季..报表类型..合并报表..单位..元","净利润..报告期..2001年报..报表类型..合并报表..单位..元","净利润..报告期..2002一季..报表类型..合并报表..单位..元","净利润..报告期..2002中报..报表类型..合并报表..单位..元","净利润..报告期..2002三季..报表类型..合并报表..单位..元","净利润..报告期..2002年报..报表类型..合并报表..单位..元","净利润..报告期..2003一季..报表类型..合并报表..单位..元","净利润..报告期..2003中报..报表类型..合并报表..单位..元","净利润..报告期..2003三季..报表类型..合并报表..单位..元","净利润..报告期..2003年报..报表类型..合并报表..单位..元","净利润..报告期..2004一季..报表类型..合并报表..单位..元","净利润..报告期..2004中报..报表类型..合并报表..单位..元","净利润..报告期..2004三季..报表类型..合并报表..单位..元","净利润..报告期..2004年报..报表类型..合并报表..单位..元","净利润..报告期..2005一季..报表类型..合并报表..单位..元","净利润..报告期..2005中报..报表类型..合并报表..单位..元","净利润..报告期..2005三季..报表类型..合并报表..单位..元","净利润..报告期..2005年报..报表类型..合并报表..单位..元","净利润..报告期..2006一季..报表类型..合并报表..单位..元","净利润..报告期..2006中报..报表类型..合并报表..单位..元","净利润..报告期..2006三季..报表类型..合并报表..单位..元","净利润..报告期..2006年报..报表类型..合并报表..单位..元","净利润..报告期..2007一季..报表类型..合并报表..单位..元","净利润..报告期..2007中报..报表类型..合并报表..单位..元","净利润..报告期..2007三季..报表类型..合并报表..单位..元","净利润..报告期..2007年报..报表类型..合并报表..单位..元","净利润..报告期..2008一季..报表类型..合并报表..单位..元","净利润..报告期..2008中报..报表类型..合并报表..单位..元","净利润..报告期..2008三季..报表类型..合并报表..单位..元","净利润..报告期..2008年报..报表类型..合并报表..单位..元","净利润..报告期..2009一季..报表类型..合并报表..单位..元","净利润..报告期..2009中报..报表类型..合并报表..单位..元","净利润..报告期..2009三季..报表类型..合并报表..单位..元","净利润..报告期..2009年报..报表类型..合并报表..单位..元","净利润..报告期..2010一季..报表类型..合并报表..单位..元","净利润..报告期..2010中报..报表类型..合并报表..单位..元","净利润..报告期..2010三季..报表类型..合并报表..单位..元","净利润..报告期..2010年报..报表类型..合并报表..单位..元","净利润..报告期..2011一季..报表类型..合并报表..单位..元","净利润..报告期..2011中报..报表类型..合并报表..单位..元","净利润..报告期..2011三季..报表类型..合并报表..单位..元","净利润..报告期..2011年报..报表类型..合并报表..单位..元","净利润..报告期..2012一季..报表类型..合并报表..单位..元","净利润..报告期..2012中报..报表类型..合并报表..单位..元","净利润..报告期..2012三季..报表类型..合并报表..单位..元","净利润..报告期..2012年报..报表类型..合并报表..单位..元","净利润..报告期..2013一季..报表类型..合并报表..单位..元","净利润..报告期..2013中报..报表类型..合并报表..单位..元","净利润..报告期..2013三季..报表类型..合并报表..单位..元","净利润..报告期..2013年报..报表类型..合并报表..单位..元","净利润..报告期..2014一季..报表类型..合并报表..单位..元","净利润..报告期..2014中报..报表类型..合并报表..单位..元","净利润..报告期..2014三季..报表类型..合并报表..单位..元","净利润..报告期..2014年报..报表类型..合并报表..单位..元","净利润..报告期..2015一季..报表类型..合并报表..单位..元","净利润..报告期..2015中报..报表类型..合并报表..单位..元","净利润..报告期..2015三季..报表类型..合并报表..单位..元","净利润..报告期..2015年报..报表类型..合并报表..单位..元","净利润..报告期..2016一季..报表类型..合并报表..单位..元","净利润..报告期..2016中报..报表类型..合并报表..单位..元","净利润..报告期..2016三季..报表类型..合并报表..单位..元","净利润..报告期..2016年报..报表类型..合并报表..单位..元","净利润..报告期..2017一季..报表类型..合并报表..单位..元","净利润..报告期..2017中报..报表类型..合并报表..单位..元","净利润..报告期..2017三季..报表类型..合并报表..单位..元","净利润..报告期..2017年报..报表类型..合并报表..单位..元"
"4","000005.SZ","公用事业","","","","-35,188,326.8800","","30,309,600.0000",NA,"67,841,463.3600","","23,010,100.0000","","58,396,596.1800","","25,597,570.6500","","56,063,500.8900","","-72,546,240.4000",NA,"155,381,788.7900","","61,442,408.5500","","151,190,561.1400","","103,084,967.0200",NA,"132,556,227.1800","","803,466.8200","","-9,311,870.3100","","-2,393,245.8100","","-72,070,581.1200","-4,895,135.5300","-29,268,053.2900","-34,240,201.4800","-93,690,182.7200","-15,013,417.8700","-14,219,187.8500","-12,355,885.1500","920,975.2300","925,029.7500","1,047,802.9500","1,292,761.5000","1,690,339.7700","-6,646,618.0100","-14,870,587.5300","-24,804,443.3400","-179,970,049.5200","59,145,881.8600","68,108,172.3800","73,090,127.3400","-64,954,400.5100","39,849,992.4100","73,019,008.2600","90,189,663.9000","86,832,148.1100","2,261,319.1600","5,488,803.3200","10,302,094.5100","10,499,719.9200","3,802,025.8800","-2,164,648.7800","-11,721,761.1900","-48,919,528.9800","-6,893,419.4700","-16,008,152.5500","-26,524,804.1300","-4,426,387.1000","-6,291,033.0800","27,123,363.3200","13,656,651.9300","11,414,651.2500","-12,225,578.7800","-29,258,188.8800","-13,387,604.4000","22,021,617.8900","-9,235,389.5300","-22,456,860.1400","-29,000,088.9000","-42,344,755.2200","-8,682,228.3900","-25,219,942.1700","-31,948,217.3500","43,163,944.1600","-8,066,504.9800","-23,188,508.2600","-29,836,022.3200","-54,031,716.5000","-6,420,800.8000","131,363,454.3700","141,884,379.8300","116,962,419.8700","-9,706,812.7500","-15,057,983.0600","-11,073,937.2000","22,935,991.9400"
"23","000027.SZ","公用事业","","","","130,002,183.8200","","101,050,685.2000",NA,"220,570,371.8800","","120,903,300.0000","","261,596,571.9400","","161,907,900.0000","","314,805,694.9200","","245,047,000.0000",NA,"375,122,091.9800","","160,151,558.0600","","400,833,711.2800","","287,758,907.0200",NA,"442,522,755.5500","","292,520,970.9700","","611,635,984.0300","","446,507,555.2700","","776,512,535.7900","191,059,047.0900","609,146,853.7800","871,631,114.5100","956,577,176.2000","179,554,918.2100","461,211,340.9700","852,859,552.0400","1,417,485,024.8400","315,607,440.7300","680,757,484.9000","1,027,375,725.8500","1,282,144,749.0200","271,525,130.4300","541,214,528.2100","837,715,621.9000","1,425,973,477.8200","262,962,944.7600","581,442,329.3300","997,020,997.9800","1,891,822,946.9600","389,568,269.6000","797,862,719.0500","1,226,369,137.8600","1,943,680,895.4400","329,547,108.2500","580,571,497.2500","1,046,683,126.6100","1,163,889,916.1000","200,398,548.3200","1,151,893,474.7400","1,963,123,547.7700","2,317,582,393.6600","511,907,498.8500","1,028,274,541.6400","1,546,923,621.4700","1,615,936,989.8400","337,556,054.7400","811,154,382.8200","1,121,211,393.6500","1,182,848,413.3900","301,013,302.9400","666,455,899.3400","1,024,642,061.7200","1,136,475,669.0900","278,417,716.6400","762,997,049.0000","1,192,610,720.2500","1,736,630,977.1100","476,547,839.6800","1,206,980,367.7000","1,762,887,601.5500","2,336,102,467.2600","421,239,586.3300","1,204,698,724.6200","1,850,906,357.6000","2,057,692,710.6400","216,809,367.2800","919,317,195.1100","1,437,987,525.5000","1,406,635,479.2200","107,769,550.1600","432,932,665.2300","882,160,363.0800","845,059,357.8200"
"30","000035.SZ","公用事业","","","","32,739,719.8700","","19,820,000.0000",NA,"23,302,231.7200","","1,210,000.0000","","-10,081,389.6100","","-5,965,720.7100","","-61,115,234.0900","","852,787.3000",NA,"20,053,953.7800","","7,692,735.3900","","26,448,616.2400","","-15,182,919.5100",NA,"47,036,815.3000","","21,377,840.0700","","44,803,734.1100","","14,630,142.6700","","50,294,211.2200","17,080,000.0000","32,632,677.4100","34,505,300.2100","62,738,498.7500","9,460,051.3300","24,799,572.9000","18,312,620.3000","40,589,781.1700","10,110,356.4800","12,770,587.5100","-32,987,232.2200","-1,556,113,668.5300","-3,298,158.7600","-31,128,782.5100","-25,865,795.7600","-122,539,288.4600","-12,464,123.5700","-19,188,086.6100","-5,555,723.4400","30,122,838.9100","-416,897.3900","-23,815,409.2600","3,130,669.5100","117,982,726.1500","46,053,293.7400","86,480,996.0000","104,965,958.2600","-9,960,801.6800","-27,197,085.4700","-13,599,155.6500","-14,170,346.7200","-17,955,557.3000","2,313,325.6600","-12,826,647.3000","-18,808,037.5000","46,781,290.0700","4,770,466.5800","-12,584,490.0200","-27,283,785.1700","-21,818,341.1100","9,377,938.6400","-119,972,548.4700","-106,607,637.4100","-636,052,363.9400","557,532.8700","6,731,154.9400","1,133,386,638.1800","1,131,546,995.3300","-1,571,539.1700","60,421,536.0700","99,309,858.3400","175,015,909.5400","35,660,835.5900","66,683,206.5100","120,932,241.7600","228,195,230.2100","36,153,664.7500","71,975,532.7200","135,146,543.3200","211,724,505.0100","22,788,430.1200","72,112,598.7400","140,971,141.0600","224,894,366.0100"
"32","000037.SZ","公用事业","","","","89,462,947.3200","","46,273,131.8900",NA,"99,841,370.6400","","1,828,442.2800","","48,428,341.9600","","23,949,900.9100","","71,108,106.5000","","59,926,487.5200",NA,"97,697,230.8300","","39,540,437.8300","","80,021,591.5800","","47,455,922.0500",NA,"116,169,677.5700","","54,802,829.7400","","145,288,240.6300","","96,736,323.6000","177,682,968.4200","228,563,203.9100","91,466,868.6400","191,978,915.2400","286,495,790.3600","459,430,318.7000","73,737,302.4500","170,727,998.2500","286,821,636.4500","471,110,360.3300","79,758,048.0000","175,080,046.1900","329,992,250.6000","453,389,186.2600","74,355,084.8200","31,073,454.3900","-25,732,999.1800","7,456,366.6300","-3,916,175.7900","-55,866,759.3100","-66,504,851.0100","57,292,000.0000","-11,400,641.5100","9,202,054.9600","29,117,623.4200","97,546,000.0000","41,551,639.5200","47,578,000.0000","55,801,853.4500","14,833,757.8000","-6,771,764.1100","74,971,739.4200","215,091,316.1400","120,010,011.5900","-110,727,471.1300","-271,621,049.6400","-184,491,899.3100","-123,433,431.8300","-86,918,965.9800","-91,352,820.4400","-158,676,019.7200","9,031,612.1500","-82,080,459.6500","-123,190,915.5500","-233,167,474.7800","-235,004,108.3900","-72,003,831.9400","-113,738,115.1400","-230,037,800.6500","73,379,180.3600","-64,246,919.4400","-101,470,978.7500","-132,430,661.0200","-421,632,362.2800","-109,346,398.2800","-128,809,496.0600","-117,596,784.4600","-829,324,497.0200","-62,207,113.9300","-79,480,798.4100","-95,557,761.3500","1,264,758,441.4900","-33,629,918.5500","-30,712,587.0500","-9,586,925.3700","377,076.7600"
"35","000040.SZ","公用事业","","","","51,781,259.2700","","30,973,300.0000",NA,"75,897,085.4600","","35,874,800.0000","","59,727,018.4700","","17,661,800.0000","","66,669,569.5100","","30,784,503.4100",NA,"89,062,984.1000","","27,825,179.6100","","61,328,352.5400","","54,521,230.1500",NA,"165,990,233.0000","","1,462,197.0000","","9,414,033.0000","","-17,720,233.0400","-92,213,300.0000","-147,527,909.0000","-24,782,411.0000","-49,525,135.0000","-60,793,997.0000","-250,057,858.0000","33,513,313.0000","50,913,683.0000","63,011,457.0000","39,709,486.0000","15,872,956.0000","20,666,978.0000","27,713,868.0000","33,520,916.1400","-11,920,959.7700","-18,696,484.0600","-27,334,427.9600","10,697,141.9100","-18,210,774.9000","7,287,875.3200","13,383,184.6000","4,817,249.1000","-6,328,415.3100","97,269,920.5400","99,650,039.3200","69,068,168.8200","-20,624,418.0000","-35,687,545.6000","-65,635,770.6800","-129,506,758.9800","-14,822,548.4100","-33,695,879.3500","-30,472,202.8900","50,220,688.3200","28,151,431.9900","41,716,454.1500","59,979,051.8200","92,386,770.4200","101,207,510.5400","116,416,050.6200","126,907,326.3500","140,478,464.1800","54,166,058.5900","127,344,179.2100","130,666,120.3900","194,099,382.8500","33,510,567.9900","69,275,229.9900","88,254,822.7100","102,864,912.3300","3,397,591.6900","8,024,722.1500","14,049,586.9100","53,173,698.3000","6,485,654.8700","20,585,997.9700","31,470,840.9900","62,044,581.5200","29,874,983.5400","80,474,041.5000","131,169,687.4000","175,339,071.1900","36,020,530.3400","151,440,838.2200","322,663,459.3900","539,940,092.7200"
"53","000068.SZ","公用事业","","","","","","",NA,"5,803,989.0000","","","","227,512,672.0000","","","","205,458,371.0000","","77,521,455.9600",NA,"167,503,641.3600","","-19,633,898.4200","","-97,746,597.4600","","1,498,832.6600",NA,"5,726,328.4500","","37,486,690.2500","","146,412,532.3100","","85,657,810.0800","","93,490,978.3800","25,900,000.0000","63,740,667.3600","106,326,118.7500","121,056,404.1100","27,259,379.7700","63,093,022.3200","106,046,912.1700","178,606,852.1800","29,818,915.7600","99,958,310.1700","173,770,439.6600","274,492,852.4900","74,911,558.5900","112,457,372.3400","50,253,908.5500","40,459,470.5600","-27,150,692.7200","3,395,835.1200","7,951,674.6600","50,253,149.3800","-84,603,189.2500","-168,482,349.6000","-206,418,720.1000","-192,006,949.3200","5,588,587.8800","13,909,185.9100","17,146,636.6400","20,732,036.3600","-504,010,480.9100","-969,712,624.3400","-1,324,210,493.2600","-1,926,370,072.7200","-16,234,853.2400","-32,033,252.1700","-43,137,471.6700","35,390,336.0000","-13,363,227.4000","-25,247,958.2100","-38,467,884.7100","-40,864,297.7800","7,080,526.9500","-2,117,630.2500","-11,168,743.4900","3,166,051.0800","-8,836,109.7500","-17,723,758.9900","-27,398,869.9800","-37,201,394.2900","-11,934,026.8300","-29,196,676.7200","-45,006,081.3600","-105,387,168.3200","-14,237,274.0300","-28,588,277.7700","-28,617,742.0800","8,133,783.5000","-15,040,886.5400","-26,861,012.8700","-34,952,976.6300","8,723,287.1700","-16,270,751.7800","-17,471,098.5400","-8,136,815.9700","32,644,084.1700"
"72","000301.SZ","公用事业","","","","","","",NA,"","","","","8,556,593.1500","","","","31,773,986.6400","","",NA,"52,781,559.9200","","","","56,966,790.5300","","45,911,616.5200",NA,"83,119,798.6500","","34,028,748.5000","","108,187,780.5600","","55,454,083.6000","79,289,331.4700","105,340,193.9300","18,542,600.0000","44,985,269.3100","65,414,446.0600","83,007,954.1100","21,491,865.6300","45,099,295.6200","63,289,158.6800","81,939,749.6600","15,822,681.4100","30,225,097.0200","38,229,674.8300","-46,522,760.2800","3,274,874.7300","14,251,203.5600","32,292,049.4700","29,601,184.9800","11,485,759.4500","57,951,816.0900","98,611,886.0600","172,776,647.0400","42,499,833.4100","86,654,924.2200","138,639,974.3000","146,125,281.5300","45,242,927.6400","114,366,941.2600","147,916,725.3100","166,861,159.9600","27,179,910.6100","64,210,354.3400","78,142,619.8400","90,652,614.4200","70,298,385.4700","76,693,746.4600","96,545,733.2600","71,592,733.1100","14,309,021.8600","61,293,968.5500","94,856,762.9400","107,792,313.4700","30,661,409.1100","83,824,694.0200","141,260,024.0200","159,592,415.2800","54,988,250.2700","125,305,960.6900","285,199,571.9000","330,610,870.4600","44,862,877.0100","102,037,962.7800","156,398,360.7900","224,741,482.7100","36,735,420.8000","90,047,026.3900","136,606,055.3300","167,130,971.3000","37,108,867.5800","89,771,777.0400","146,837,644.4800","147,203,132.4600","3,891,469.6400","144,198,956.3400","199,733,702.9800","228,012,022.0300"
"80","000407.SZ","公用事业","","","","5,382,760.0000","","",NA,"11,296,460.0000","","","","17,179,028.4400","","15,334,949.0100","","26,406,407.0900","","17,981,642.4900",NA,"37,344,443.8800","","22,889,168.4100","","48,613,818.2200","","30,583,206.4700",NA,"58,498,014.4100","","19,062,475.5100","","44,002,538.8900","","17,199,639.1200","","33,762,423.0100","2,046,871.1600","12,147,083.6100","15,203,461.5700","18,797,138.8000","644,412.0400","14,115,645.6800","21,451,428.5400","29,043,764.8500","1,304,760.1900","8,218,131.2300","17,151,264.3100","19,263,721.6400","1,840,724.0900","15,893,582.6000","21,387,590.7200","24,840,355.5800","2,447,402.1900","20,827,190.0600","28,161,152.0000","44,543,104.6700","3,998,698.1600","22,368,287.8900","25,719,163.5000","27,198,563.7500","8,080,794.1600","37,314,401.8800","147,477,307.7100","289,484,790.2500","6,932,073.7400","17,862,473.3600","129,530,749.9800","239,379,420.8700","5,323,039.7300","16,692,422.6200","17,282,831.6700","335,462,116.5900","3,209,868.5600","8,535,224.7400","5,333,693.2600","6,226,086.7700","2,568,472.7300","2,876,582.2200","-24,302,825.2300","-139,357,037.8800","3,787,472.9200","3,085,626.6700","131,172,960.1500","50,867,110.7000","8,856,532.9600","11,684,378.5400","45,874,781.2500","52,989,019.3700","5,719,419.0200","13,343,292.1600","19,543,424.1200","41,466,575.4100","56,089,990.5300","582,030.0000","3,093,774.6000","-325,191,718.7500","43,409,442.1100","76,150,307.5900","132,114,534.5600","122,703,196.5600"
"92","000421.SZ","公用事业","","","","9,616,810.0000","","",NA,"8,412,460.0000","","","","8,793,880.0000","","7,048,900.0000","","18,878,704.6200","","17,333,119.2100",NA,"40,277,787.0300","","18,817,331.0000","","41,117,862.7700","","12,421,860.6400",NA,"27,891,474.3400","","8,453,797.5200","","27,147,617.5400","","9,896,279.3500","10,427,392.9800","27,140,014.3400","4,142,084.4600","11,525,001.5000","18,724,169.2200","28,922,386.8300","4,473,920.0300","8,371,564.8100","15,422,421.4400","34,432,800.8000","4,565,369.0700","11,498,154.3300","12,646,441.1700","18,894,780.5100","4,995,991.7500","-77,326,969.0100","-90,058,889.9800","-111,244,502.9200","741,219.8200","40,939,393.8100","39,535,609.1900","80,250,165.3400","11,168,289.4100","104,965,146.0000","121,489,131.2600","110,106,009.8800","14,448,305.6400","85,376,351.4400","108,710,432.1900","60,502,197.2000","13,316,378.3700","54,230,237.7400","69,114,292.2300","73,639,783.8200","-29,401,904.0400","22,311,938.7600","-1,864,531.6900","41,504,576.0600","-16,534,868.2100","56,381,826.9300","28,067,704.4400","98,466,144.4300","30,369,951.0700","77,907,764.7200","90,492,792.0500","110,184,372.9300","26,273,120.1200","43,881,863.8100","78,597,986.8900","97,036,933.3300","48,699,080.8900","93,911,229.3200","91,259,415.2800","168,033,723.0700","115,906,119.7500","117,319,065.6100","165,326,446.5300","360,466,827.9100","95,587,583.7500","153,943,093.6600","155,553,718.9400","289,027,791.9400","80,707,620.6400","113,369,289.8800","141,877,772.5000","249,275,516.6700"
"126","000531.SZ","公用事业","","5,764,008.7400","","19,077,549.5300","","15,898,175.0800",NA,"38,500,435.0600","","41,371,471.0300","","31,020,192.1300","","25,880,856.9600","","55,300,368.4500","","29,179,948.9500",NA,"78,724,187.3700","","43,218,814.5800","","118,552,281.2200","","43,420,939.3000",NA,"94,216,731.3100","","31,737,421.5300","","79,333,010.9800","","38,888,883.0400","","95,043,895.7600","32,382,973.2500","74,588,883.3200","103,189,500.1200","131,972,670.8700","37,856,381.6200","96,516,304.0400","148,721,821.6900","238,150,892.5300","53,661,456.7800","113,013,553.1900","190,211,216.2200","274,127,752.4000","50,273,074.4000","118,282,831.8200","177,658,549.8100","227,201,600.9100","55,279,005.7700","121,282,101.2600","208,777,006.9700","257,322,304.8900","62,157,926.9700","2,084,301.4900","91,242,349.4100","121,020,738.8300","16,235,117.7300","24,549,665.3400","-65,187,735.6300","-68,386,136.6700","74,810,066.0000","214,823,008.2600","363,708,143.9300","452,417,326.1500","56,993,645.5200","156,505,098.1300","245,304,413.8900","271,398,277.0700","34,300,855.5100","70,343,374.8500","93,777,246.2700","105,449,541.5800","70,881,825.4800","158,747,652.5300","217,911,455.0200","294,640,614.7900","65,870,223.2700","153,554,205.2100","254,465,730.7200","372,754,073.5300","139,888,165.8700","478,256,538.4100","678,964,709.7500","793,056,196.8100","120,429,023.4900","306,648,721.6100","399,135,186.8700","490,333,878.6300","107,472,131.4500","236,017,439.5000","440,987,226.8300","587,374,046.3600","94,107,450.7200","132,276,518.0900","167,872,231.9800","202,396,416.6600"
