"","证券代码","申万一级行业","净利润..报告期..1993一季..报表类型..合并报表..单位..元","净利润..报告期..1993中报..报表类型..合并报表..单位..元","净利润..报告期..1993三季..报表类型..合并报表..单位..元","净利润..报告期..1993年报..报表类型..合并报表..单位..元","净利润..报告期..1994一季..报表类型..合并报表..单位..元","净利润..报告期..1994中报..报表类型..合并报表..单位..元","净利润..报告期..1994三季..报表类型..合并报表..单位..元","净利润..报告期..1994年报..报表类型..合并报表..单位..元","净利润..报告期..1995一季..报表类型..合并报表..单位..元","净利润..报告期..1995中报..报表类型..合并报表..单位..元","净利润..报告期..1995三季..报表类型..合并报表..单位..元","净利润..报告期..1995年报..报表类型..合并报表..单位..元","净利润..报告期..1996一季..报表类型..合并报表..单位..元","净利润..报告期..1996中报..报表类型..合并报表..单位..元","净利润..报告期..1996三季..报表类型..合并报表..单位..元","净利润..报告期..1996年报..报表类型..合并报表..单位..元","净利润..报告期..1997一季..报表类型..合并报表..单位..元","净利润..报告期..1997中报..报表类型..合并报表..单位..元","净利润..报告期..1997三季..报表类型..合并报表..单位..元","净利润..报告期..1997年报..报表类型..合并报表..单位..元","净利润..报告期..1998一季..报表类型..合并报表..单位..元","净利润..报告期..1998中报..报表类型..合并报表..单位..元","净利润..报告期..1998三季..报表类型..合并报表..单位..元","净利润..报告期..1998年报..报表类型..合并报表..单位..元","净利润..报告期..1999一季..报表类型..合并报表..单位..元","净利润..报告期..1999中报..报表类型..合并报表..单位..元","净利润..报告期..1999三季..报表类型..合并报表..单位..元","净利润..报告期..1999年报..报表类型..合并报表..单位..元","净利润..报告期..2000一季..报表类型..合并报表..单位..元","净利润..报告期..2000中报..报表类型..合并报表..单位..元","净利润..报告期..2000三季..报表类型..合并报表..单位..元","净利润..报告期..2000年报..报表类型..合并报表..单位..元","净利润..报告期..2001一季..报表类型..合并报表..单位..元","净利润..报告期..2001中报..报表类型..合并报表..单位..元","净利润..报告期..2001三季..报表类型..合并报表..单位..元","净利润..报告期..2001年报..报表类型..合并报表..单位..元","净利润..报告期..2002一季..报表类型..合并报表..单位..元","净利润..报告期..2002中报..报表类型..合并报表..单位..元","净利润..报告期..2002三季..报表类型..合并报表..单位..元","净利润..报告期..2002年报..报表类型..合并报表..单位..元","净利润..报告期..2003一季..报表类型..合并报表..单位..元","净利润..报告期..2003中报..报表类型..合并报表..单位..元","净利润..报告期..2003三季..报表类型..合并报表..单位..元","净利润..报告期..2003年报..报表类型..合并报表..单位..元","净利润..报告期..2004一季..报表类型..合并报表..单位..元","净利润..报告期..2004中报..报表类型..合并报表..单位..元","净利润..报告期..2004三季..报表类型..合并报表..单位..元","净利润..报告期..2004年报..报表类型..合并报表..单位..元","净利润..报告期..2005一季..报表类型..合并报表..单位..元","净利润..报告期..2005中报..报表类型..合并报表..单位..元","净利润..报告期..2005三季..报表类型..合并报表..单位..元","净利润..报告期..2005年报..报表类型..合并报表..单位..元","净利润..报告期..2006一季..报表类型..合并报表..单位..元","净利润..报告期..2006中报..报表类型..合并报表..单位..元","净利润..报告期..2006三季..报表类型..合并报表..单位..元","净利润..报告期..2006年报..报表类型..合并报表..单位..元","净利润..报告期..2007一季..报表类型..合并报表..单位..元","净利润..报告期..2007中报..报表类型..合并报表..单位..元","净利润..报告期..2007三季..报表类型..合并报表..单位..元","净利润..报告期..2007年报..报表类型..合并报表..单位..元","净利润..报告期..2008一季..报表类型..合并报表..单位..元","净利润..报告期..2008中报..报表类型..合并报表..单位..元","净利润..报告期..2008三季..报表类型..合并报表..单位..元","净利润..报告期..2008年报..报表类型..合并报表..单位..元","净利润..报告期..2009一季..报表类型..合并报表..单位..元","净利润..报告期..2009中报..报表类型..合并报表..单位..元","净利润..报告期..2009三季..报表类型..合并报表..单位..元","净利润..报告期..2009年报..报表类型..合并报表..单位..元","净利润..报告期..2010一季..报表类型..合并报表..单位..元","净利润..报告期..2010中报..报表类型..合并报表..单位..元","净利润..报告期..2010三季..报表类型..合并报表..单位..元","净利润..报告期..2010年报..报表类型..合并报表..单位..元","净利润..报告期..2011一季..报表类型..合并报表..单位..元","净利润..报告期..2011中报..报表类型..合并报表..单位..元","净利润..报告期..2011三季..报表类型..合并报表..单位..元","净利润..报告期..2011年报..报表类型..合并报表..单位..元","净利润..报告期..2012一季..报表类型..合并报表..单位..元","净利润..报告期..2012中报..报表类型..合并报表..单位..元","净利润..报告期..2012三季..报表类型..合并报表..单位..元","净利润..报告期..2012年报..报表类型..合并报表..单位..元","净利润..报告期..2013一季..报表类型..合并报表..单位..元","净利润..报告期..2013中报..报表类型..合并报表..单位..元","净利润..报告期..2013三季..报表类型..合并报表..单位..元","净利润..报告期..2013年报..报表类型..合并报表..单位..元","净利润..报告期..2014一季..报表类型..合并报表..单位..元","净利润..报告期..2014中报..报表类型..合并报表..单位..元","净利润..报告期..2014三季..报表类型..合并报表..单位..元","净利润..报告期..2014年报..报表类型..合并报表..单位..元","净利润..报告期..2015一季..报表类型..合并报表..单位..元","净利润..报告期..2015中报..报表类型..合并报表..单位..元","净利润..报告期..2015三季..报表类型..合并报表..单位..元","净利润..报告期..2015年报..报表类型..合并报表..单位..元","净利润..报告期..2016一季..报表类型..合并报表..单位..元","净利润..报告期..2016中报..报表类型..合并报表..单位..元","净利润..报告期..2016三季..报表类型..合并报表..单位..元","净利润..报告期..2016年报..报表类型..合并报表..单位..元","净利润..报告期..2017一季..报表类型..合并报表..单位..元","净利润..报告期..2017中报..报表类型..合并报表..单位..元","净利润..报告期..2017三季..报表类型..合并报表..单位..元","净利润..报告期..2017年报..报表类型..合并报表..单位..元"
"3","000004.SZ","医药生物","","23,400,000.0000","","51,244,835.3400","","22,432,187.9300",NA,"30,314,116.8400","","25,720,351.7600","","16,836,666.6800","","-2,473,753.1400","","-90,975,527.3900","","4,655,019.6400",NA,"12,601,094.1200","","5,320,329.1700","","-84,751,681.7400","","-64,117.9500",NA,"6,862,640.2100","","5,936,431.5300","","22,487,432.4800","","15,849,675.7300","","12,847,724.1800","-1,777,353.9100","-5,763,539.3100","-553,366.6600","8,212,732.3100","-1,420,661.5900","-2,239,886.6800","-1,645,405.0900","7,641,381.7600","-4,727,036.0200","-3,223,483.1500","-992,230.1900","-3,282,932.1100","-1,271,416.8300","-2,096,243.3400","-5,655,277.9900","-18,577,413.5100","1,614,131.7200","-727,268.3300","-3,601,525.1900","2,887,182.8400","506,869.5100","-3,526,187.0100","-4,439,313.1600","-10,001,970.5400","-454,920.3200","-1,255,474.7500","-3,067,546.4400","-11,484,191.4900","-769,723.1000","-833,803.2800","-2,160,879.1000","4,532,533.6400","985,747.3500","6,425,323.4400","17,380,421.7100","20,201,272.9200","1,363,046.8500","2,908,168.7300","4,500,362.8500","9,193,067.8200","1,162,250.1900","1,381,986.9400","3,517,773.2700","7,814,225.2900","2,842,065.7200","4,155,705.4900","7,491,610.2600","5,796,749.7900","-3,392,132.9600","-4,738,622.6800","-4,014,196.5200","15,624,813.5600","-1,757,271.9400","4,410,663.7100","7,442,136.2700","6,857,151.7100","-2,853,904.7800","2,992,444.5000","20,494,137.3300","39,716,316.2200","-1,689,946.1200","-5,755,872.7200","-8,208,346.8100","5,892,241.4100"
"24","000028.SZ","医药生物","","","","32,663,835.7200","","18,052,923.2200",NA,"36,021,779.2400","","5,838,995.1500","","23,093,440.7900","","16,699,863.5500","","40,021,078.1100","","737,044.5800",NA,"-29,901,631.1700","","2,992,042.0800","","8,986,926.9900","","16,765,211.0400",NA,"25,624,256.4200","","12,561,711.6600","","-3,578,876.0100","","51,397,195.9400","49,404,872.6700","34,611,122.2200","386,108.3700","6,357,946.6400","9,470,151.8300","4,275,398.5000","3,517,010.5700","6,351,736.2600","148,667.8300","15,105,010.7200","3,460,967.9900","10,226,508.8300","15,724,267.1500","26,584,445.2600","11,190,485.9000","19,300,281.4400","27,367,050.6600","35,765,331.7200","22,400,003.0500","45,838,456.6700","72,373,760.5800","85,012,599.7200","27,555,850.7500","63,103,837.1200","109,438,554.1300","138,717,997.0500","40,152,489.1800","82,084,746.4900","128,411,794.4600","162,454,126.9600","43,634,894.4100","103,387,187.7000","150,508,856.3500","198,259,604.1300","66,341,588.7900","125,198,345.4900","186,529,066.7500","264,224,419.0600","88,958,499.5300","167,725,443.3400","248,662,223.7600","327,815,210.1300","122,802,730.3800","243,210,512.6600","364,495,513.0000","483,681,835.5200","147,064,157.7500","267,800,167.1100","407,261,904.9000","534,219,399.2300","171,975,330.2500","357,587,430.5600","518,340,417.4200","669,841,167.8700","202,121,492.3000","399,642,260.9700","591,910,127.4000","787,347,909.2200","204,997,358.3700","554,372,045.5000","741,443,789.0400","1,281,880,306.4800","295,013,138.0300","599,533,739.0200","866,473,996.5500","1,156,738,846.0900"
"56","000078.SZ","医药生物","","","","","","",NA,"","","","","11,472,498.2300","","","","18,513,490.0600","","",NA,"18,332,075.0800","","","","26,382,605.5100","","26,914,989.7100",NA,"31,286,898.1400","","27,814,898.2900","","62,152,105.7200","","53,350,153.5800","7,013,086.8400","118,245,584.0000","-15,620,000.0000","23,572,077.1900","35,706,622.2400","45,868,613.1600","-9,568,042.0900","23,169,804.3200","28,853,427.3600","13,913,130.2900","-5,978,679.9100","15,143,565.9700","21,984,921.9700","31,955,907.0000","5,213,888.5200","-85,618,228.6300","-65,051,330.6800","-736,312,544.4300","15,031,901.8100","5,042,966.3300","12,899,799.2400","20,339,385.1800","14,679,631.2500","44,941,286.5900","60,668,490.0500","27,684,419.1500","27,023,707.2800","34,341,415.4700","30,915,943.6700","16,839,901.8200","1,604,406.2200","16,300,897.9600","20,013,277.1200","611,342.8200","20,772,806.3900","38,569,162.5000","44,436,044.1200","55,276,210.1000","35,187,316.2300","58,024,243.9900","69,931,892.0600","61,892,079.1400","38,385,126.1800","74,945,623.2400","91,210,138.9000","101,081,761.6100","41,756,154.6600","84,932,338.3100","105,215,784.9500","229,313,650.9300","42,206,146.7100","84,523,946.6300","101,538,623.6900","83,627,881.7800","44,790,277.6800","86,056,667.0800","393,221,796.2900","518,488,006.5900","48,096,722.5100","123,965,961.2100","273,804,324.0900","498,845,634.2500","126,249,054.4300","323,472,500.9900","550,864,374.2200","820,829,715.9600"
"63","000150.SZ","医药生物","","","","","","",NA,"","","","","","","","","","","",NA,"28,374,699.0300","","","","34,687,911.7300","","23,668,600.7700",NA,"38,757,040.6000","7,621,858.6100","10,644,681.5800","","42,700,613.9300","","16,640,740.3300","","2,636,561.8700","-921,300.0000","-3,736,113.9900","-5,803,463.8000","-56,896,494.1200","-3,997,814.2900","2,229,646.3900","2,831,449.1100","-91,577,121.3500","252,232.0100","8,195,075.4100","9,319,298.2200","10,965,547.0400","-1,912,683.8100","-14,559,113.4100","-22,010,972.0100","-94,714,758.6800","-4,491,895.5800","-10,362,656.0700","8,070,619.8800","-42,069,693.2000","-3,653,012.8600","-7,989,570.5800","49,740,854.6200","115,274,388.9600","4,413,933.9800","12,708,810.9600","21,251,241.0100","85,536,302.2400","838,819.1800","30,959,213.2100","70,682,059.8200","100,290,303.7700","1,069,023.8700","4,932,174.2300","6,269,833.8000","9,977,414.9000","1,241,861.4500","2,090,676.6900","3,657,858.5000","7,879,774.7300","571,986.6800","2,825,894.8400","2,474,743.7800","2,330,767.0200","687,421.6400","10,804,375.4400","12,660,199.6800","91,901,534.0100","-5,140,834.9300","6,891,358.5700","792,677.6200","29,822,564.6800","3,767,221.8300","2,116,070.9900","2,159,159.9200","55,060,945.7800","962,254,003.6900","933,432,137.5700","969,410,850.2900","742,736,142.2000","40,730,835.2200","98,099,829.7900","151,259,954.6600","184,315,752.0000"
"65","000153.SZ","医药生物","","","","","","",NA,"","","","","","","","","","","",NA,"4,470,626.9900","","","","7,693,348.5100","","",NA,"8,635,092.6900","2,973,573.8500","10,504,694.1000","","26,269,246.7600","","11,358,960.0600","","24,767,240.7900","3,631,066.8900","9,578,620.0800","21,003,047.8400","25,823,272.7300","3,783,126.4000","8,560,806.2200","13,607,057.4200","18,120,062.7500","3,331,122.4300","7,452,873.6000","12,351,574.3600","10,044,176.8100","2,717,778.5800","5,682,751.0600","9,050,779.2400","9,275,588.3500","2,745,206.1500","5,557,670.4500","8,031,010.6700","24,428,032.2700","1,562,698.1200","15,095,528.7500","8,440,790.2500","5,889,331.6300","1,890,902.8100","5,346,376.2100","10,027,400.0900","15,197,489.9000","3,149,435.0700","8,935,775.6700","20,930,623.5300","23,707,209.2900","3,759,825.3300","20,778,347.0400","34,949,108.1900","40,476,767.1700","5,063,825.4900","12,327,224.8300","14,413,758.4000","9,924,061.4700","2,449,523.4300","10,503,125.8000","15,836,494.8800","18,091,742.3600","2,630,988.1400","11,572,772.2100","22,184,121.8300","27,188,465.6500","4,300,318.6000","18,965,986.4400","35,957,245.4100","41,116,748.6400","5,944,207.8200","18,557,644.3300","32,122,862.9600","31,467,840.6200","6,386,081.2600","26,181,576.8200","42,935,902.9200","45,711,240.2100","9,368,728.4000","43,549,863.5200","60,342,285.1400","65,348,141.3800"
"78","000403.SZ","医药生物","","","","15,596,894.6700","","",NA,"8,037,986.8200","","","","8,356,055.9100","","6,182,613.4000","","16,601,659.4000","","9,258,280.2300",NA,"20,676,369.1200","","6,589,011.9000","","27,440,635.8400","","64,913,077.6500",NA,"95,067,458.4200","","80,385,728.7300","","143,703,220.2200","","59,394,171.0200","68,056,334.2000","101,822,245.0800","10,486,300.0000","38,578,922.0400","51,767,218.3900","47,337,628.4700","9,463,126.6900","26,051,539.6300","36,236,521.4200","30,102,142.7400","438,274.5000","15,801,989.1200","8,654,888.0500","-227,153,544.6800","-11,134,497.1600","-20,382,841.4500","-24,279,399.4700","-579,277,797.2100","-24,840,537.7800","-37,328,309.6200","-49,128,656.1600","-94,925,890.2800","-28,945,479.2100","-42,948,964.8100","-59,261,404.6200","74,932,586.3700","336,041,505.6600","351,711,579.5300","363,339,679.2400","185,833,370.1300","-6,127,083.2600","-9,111,915.9700","-132,436.7900","-40,000,727.1000","-1,133,846.5800","-2,015,715.9100","-4,967,805.0400","-10,909,409.0400","9,788,459.2800","19,279,429.5300","10,435,429.3800","3,948,277.7300","8,531,264.9200","22,493,982.3400","32,572,509.2500","2,535,169.2400","23,664,988.9300","50,624,527.2600","80,621,769.3700","64,005,172.9100","101,902,582.2600","97,377,610.5200","114,510,287.7700","106,932,131.7900","11,782,649.1600","49,542,899.4500","61,703,073.1900","66,839,979.8900","14,983,717.8300","37,774,294.4000","52,225,592.5600","44,320,608.4600","18,568,360.1900","42,652,427.2200","55,345,308.2200","31,955,614.2200"
"84","000411.SZ","医药生物","","","","28,707,300.0000","","",NA,"24,016,800.0000","","","","14,376,200.0000","5,782,200.0000","10,882,968.1700","","18,553,004.0500","","6,667,730.8300",NA,"33,205,281.9900","","869,898.6100","","-40,304,136.6700","","-27,576,919.9800",NA,"-70,206,194.0000","","-22,220,058.6700","","-73,561,822.7500","-9,550,000.0000","-18,406,159.2500","-26,100,000.0000","9,463,620.9300","389,445.3200","1,143,839.3700","1,155,447.1400","1,225,229.8700","6,364,705.2000","7,075,520.3200","5,969,324.6100","8,872,475.1400","1,659,212.9500","3,245,149.3300","4,801,939.5000","8,395,430.7000","4,772,180.7200","8,129,308.8600","11,045,392.9200","12,994,130.0100","4,931,286.1600","8,558,875.4900","13,147,807.6100","20,602,743.2800","1,354,087.6900","9,144,742.1100","13,894,861.5600","30,444,231.1500","7,999,677.0500","20,874,714.7900","31,725,560.9000","40,549,775.3600","8,552,602.8000","28,582,170.2200","40,203,683.9300","63,647,677.3500","16,036,488.9500","41,240,054.7500","59,474,569.5200","87,446,439.7000","26,215,420.5500","349,632,648.5200","371,945,686.4400","383,845,212.6900","32,314,491.9500","66,881,595.8300","103,858,270.4000","143,697,635.9400","56,506,744.2600","104,238,883.2900","134,578,516.4900","168,777,349.1200","32,302,155.0900","71,349,331.3900","106,971,696.0700","128,357,480.2600","36,221,248.4900","77,235,070.6100","116,572,766.3400","153,902,442.6800","42,102,163.7300","86,678,599.7700","132,216,851.5800","191,878,852.9800","48,065,130.9200","96,559,928.2000","140,500,855.8200","191,451,062.6700"
"94","000423.SZ","医药生物","","","","9,148,641.2000","","",NA,"15,684,917.4200","","","","17,224,604.4800","","11,511,455.2800","","23,322,341.5200","","16,936,167.9000",NA,"32,441,937.5300","","18,243,123.1500","","37,843,104.9600","","19,756,081.6400",NA,"45,065,762.7100","","23,337,995.5600","","84,444,995.5700","","40,151,111.5900","","110,197,935.5200","19,307,003.4300","44,953,811.4100","61,291,897.2500","87,384,972.9900","22,209,651.5700","47,461,130.3000","69,435,750.7000","98,594,075.0000","25,140,063.8300","57,478,109.3000","92,644,317.7800","134,627,426.8000","30,069,939.9700","56,151,013.4000","82,106,678.0800","113,956,866.4600","30,178,662.4100","62,926,519.0000","92,382,258.1800","153,825,225.7800","45,001,734.8400","83,488,720.5000","121,779,068.2000","210,572,553.1400","69,828,046.2000","121,496,342.9700","173,678,676.0800","296,139,690.3700","77,158,205.6300","162,755,553.2600","249,464,286.7400","407,061,248.7700","170,164,378.8000","310,871,305.3700","428,500,594.5600","594,119,072.2400","271,737,216.0200","455,631,518.7300","622,917,360.5900","870,259,970.0200","336,526,959.1500","472,749,220.2200","748,569,447.5000","1,053,561,679.1400","387,575,032.3400","550,178,547.0100","871,875,053.2200","1,219,716,223.6000","427,538,323.5900","620,488,322.2100","922,673,364.2500","1,372,277,018.7700","528,379,671.1700","774,299,831.3100","1,134,302,924.0300","1,637,813,561.4500","547,636,188.1700","833,447,708.1300","1,230,820,784.1700","1,855,139,868.5500","605,115,673.7000","902,682,823.8500","1,249,381,041.2900","2,043,994,802.5700"
"104","000503.SZ","医药生物","","18,600,000.0000","","27,837,555.1400","","19,674,354.7400",NA,"46,154,193.5100","","12,412,534.2800","","-22,938,167.4400","","143,777.5200","","41,600,023.0700","","-49,505,816.1800",NA,"-160,899,723.7000","","-12,772,866.7100","","22,236,499.8800","","28,152,749.5900",NA,"82,278,228.3900","","46,140,969.6300","","80,353,308.7300","","73,260,126.1500","","100,147,578.6900","10,642,300.0000","45,979,184.8900","51,906,915.6700","103,195,743.4000","13,761,454.7700","38,766,819.6300","53,990,082.4500","98,791,215.5800","26,821,845.7600","34,580,661.1700","400,422,447.5400","351,904,901.5700","9,607,759.9000","15,782,494.5900","17,666,076.6500","34,481,014.0700","103,525,821.3600","35,754,480.8200","30,183,907.0200","-5,563,979.1400","3,291,209.3000","10,047,322.1100","7,836,949.7600","2,655,398.2600","381,947.5100","-603,238.5800","2,642,467.6000","5,698,316.6300","-324,999.9800","2,833,463.0600","6,303,209.9200","6,295,581.8900","514,134.5500","3,282,916.5300","3,376,083.3800","10,823,964.6200","960,642.2900","18,601,194.7200","2,633,830.4000","19,008,250.8000","1,311,104.4500","6,028,010.2800","3,235,164.0900","22,400,066.0900","844,036.2500","5,951,144.5200","849,475.0400","12,332,439.7100","409,892.6500","7,232,883.4000","190,037.4100","19,337,522.4400","-22,534,172.3200","-52,776,362.3900","-109,251,239.8100","9,643,864.0300","-32,725,228.3900","-71,007,502.1800","-104,224,112.7300","13,102,480.1200","-46,756,497.9100","-91,288,036.0300","-172,264,732.7700","-299,720.1100"
"111","000513.SZ","医药生物","","35,917,262.8500","","83,299,872.4500","","54,747,424.8900",NA,"101,246,317.5100","","54,897,077.3100","","81,093,378.3000","","43,138,018.6300","","86,675,342.3700","","30,701,344.9200",NA,"54,573,123.2400","","30,300,096.8900","","47,043,278.4600","","29,311,958.3600",NA,"9,036,081.3600","","14,878,822.5800","","25,904,567.8000","","39,542,317.3000","","74,712,802.5400","25,730,365.0900","53,376,840.3400","90,714,692.4400","86,316,218.4300","30,214,518.4000","64,008,050.1000","79,776,322.9100","121,466,929.7700","56,514,460.4800","85,123,927.9100","107,418,537.1700","134,744,830.7000","33,485,264.0400","72,235,473.1200","86,333,633.6000","116,271,937.3400","43,416,416.7600","74,640,887.5000","118,839,599.3600","163,551,324.3800","132,610,945.5900","238,729,963.3000","460,631,528.9900","523,380,924.6600","55,841,241.3500","70,010,852.6000","67,401,420.0800","72,907,317.2900","123,443,434.4100","263,462,881.3500","374,014,588.5700","513,794,243.1800","133,999,750.2400","257,800,172.8500","353,339,487.2100","452,490,041.4700","132,948,318.8300","236,240,294.7600","301,342,464.8600","387,798,400.8100","121,941,801.2300","246,731,938.1900","365,040,718.1000","475,223,098.9600","148,794,929.1600","269,675,643.9000","398,655,220.1400","523,986,517.6300","148,996,678.4400","311,137,067.7600","451,585,897.4500","553,622,172.7800","203,042,008.2000","372,503,054.4200","541,648,063.2500","659,563,377.9200","247,962,385.2600","427,466,749.7700","652,873,202.5100","829,915,508.9200","298,878,985.7700","550,391,683.6600","4,305,954,233.1300","4,487,702,383.4600"
