"","证券代码","申万一级行业","净利润..报告期..1993一季..报表类型..合并报表..单位..元","净利润..报告期..1993中报..报表类型..合并报表..单位..元","净利润..报告期..1993三季..报表类型..合并报表..单位..元","净利润..报告期..1993年报..报表类型..合并报表..单位..元","净利润..报告期..1994一季..报表类型..合并报表..单位..元","净利润..报告期..1994中报..报表类型..合并报表..单位..元","净利润..报告期..1994三季..报表类型..合并报表..单位..元","净利润..报告期..1994年报..报表类型..合并报表..单位..元","净利润..报告期..1995一季..报表类型..合并报表..单位..元","净利润..报告期..1995中报..报表类型..合并报表..单位..元","净利润..报告期..1995三季..报表类型..合并报表..单位..元","净利润..报告期..1995年报..报表类型..合并报表..单位..元","净利润..报告期..1996一季..报表类型..合并报表..单位..元","净利润..报告期..1996中报..报表类型..合并报表..单位..元","净利润..报告期..1996三季..报表类型..合并报表..单位..元","净利润..报告期..1996年报..报表类型..合并报表..单位..元","净利润..报告期..1997一季..报表类型..合并报表..单位..元","净利润..报告期..1997中报..报表类型..合并报表..单位..元","净利润..报告期..1997三季..报表类型..合并报表..单位..元","净利润..报告期..1997年报..报表类型..合并报表..单位..元","净利润..报告期..1998一季..报表类型..合并报表..单位..元","净利润..报告期..1998中报..报表类型..合并报表..单位..元","净利润..报告期..1998三季..报表类型..合并报表..单位..元","净利润..报告期..1998年报..报表类型..合并报表..单位..元","净利润..报告期..1999一季..报表类型..合并报表..单位..元","净利润..报告期..1999中报..报表类型..合并报表..单位..元","净利润..报告期..1999三季..报表类型..合并报表..单位..元","净利润..报告期..1999年报..报表类型..合并报表..单位..元","净利润..报告期..2000一季..报表类型..合并报表..单位..元","净利润..报告期..2000中报..报表类型..合并报表..单位..元","净利润..报告期..2000三季..报表类型..合并报表..单位..元","净利润..报告期..2000年报..报表类型..合并报表..单位..元","净利润..报告期..2001一季..报表类型..合并报表..单位..元","净利润..报告期..2001中报..报表类型..合并报表..单位..元","净利润..报告期..2001三季..报表类型..合并报表..单位..元","净利润..报告期..2001年报..报表类型..合并报表..单位..元","净利润..报告期..2002一季..报表类型..合并报表..单位..元","净利润..报告期..2002中报..报表类型..合并报表..单位..元","净利润..报告期..2002三季..报表类型..合并报表..单位..元","净利润..报告期..2002年报..报表类型..合并报表..单位..元","净利润..报告期..2003一季..报表类型..合并报表..单位..元","净利润..报告期..2003中报..报表类型..合并报表..单位..元","净利润..报告期..2003三季..报表类型..合并报表..单位..元","净利润..报告期..2003年报..报表类型..合并报表..单位..元","净利润..报告期..2004一季..报表类型..合并报表..单位..元","净利润..报告期..2004中报..报表类型..合并报表..单位..元","净利润..报告期..2004三季..报表类型..合并报表..单位..元","净利润..报告期..2004年报..报表类型..合并报表..单位..元","净利润..报告期..2005一季..报表类型..合并报表..单位..元","净利润..报告期..2005中报..报表类型..合并报表..单位..元","净利润..报告期..2005三季..报表类型..合并报表..单位..元","净利润..报告期..2005年报..报表类型..合并报表..单位..元","净利润..报告期..2006一季..报表类型..合并报表..单位..元","净利润..报告期..2006中报..报表类型..合并报表..单位..元","净利润..报告期..2006三季..报表类型..合并报表..单位..元","净利润..报告期..2006年报..报表类型..合并报表..单位..元","净利润..报告期..2007一季..报表类型..合并报表..单位..元","净利润..报告期..2007中报..报表类型..合并报表..单位..元","净利润..报告期..2007三季..报表类型..合并报表..单位..元","净利润..报告期..2007年报..报表类型..合并报表..单位..元","净利润..报告期..2008一季..报表类型..合并报表..单位..元","净利润..报告期..2008中报..报表类型..合并报表..单位..元","净利润..报告期..2008三季..报表类型..合并报表..单位..元","净利润..报告期..2008年报..报表类型..合并报表..单位..元","净利润..报告期..2009一季..报表类型..合并报表..单位..元","净利润..报告期..2009中报..报表类型..合并报表..单位..元","净利润..报告期..2009三季..报表类型..合并报表..单位..元","净利润..报告期..2009年报..报表类型..合并报表..单位..元","净利润..报告期..2010一季..报表类型..合并报表..单位..元","净利润..报告期..2010中报..报表类型..合并报表..单位..元","净利润..报告期..2010三季..报表类型..合并报表..单位..元","净利润..报告期..2010年报..报表类型..合并报表..单位..元","净利润..报告期..2011一季..报表类型..合并报表..单位..元","净利润..报告期..2011中报..报表类型..合并报表..单位..元","净利润..报告期..2011三季..报表类型..合并报表..单位..元","净利润..报告期..2011年报..报表类型..合并报表..单位..元","净利润..报告期..2012一季..报表类型..合并报表..单位..元","净利润..报告期..2012中报..报表类型..合并报表..单位..元","净利润..报告期..2012三季..报表类型..合并报表..单位..元","净利润..报告期..2012年报..报表类型..合并报表..单位..元","净利润..报告期..2013一季..报表类型..合并报表..单位..元","净利润..报告期..2013中报..报表类型..合并报表..单位..元","净利润..报告期..2013三季..报表类型..合并报表..单位..元","净利润..报告期..2013年报..报表类型..合并报表..单位..元","净利润..报告期..2014一季..报表类型..合并报表..单位..元","净利润..报告期..2014中报..报表类型..合并报表..单位..元","净利润..报告期..2014三季..报表类型..合并报表..单位..元","净利润..报告期..2014年报..报表类型..合并报表..单位..元","净利润..报告期..2015一季..报表类型..合并报表..单位..元","净利润..报告期..2015中报..报表类型..合并报表..单位..元","净利润..报告期..2015三季..报表类型..合并报表..单位..元","净利润..报告期..2015年报..报表类型..合并报表..单位..元","净利润..报告期..2016一季..报表类型..合并报表..单位..元","净利润..报告期..2016中报..报表类型..合并报表..单位..元","净利润..报告期..2016三季..报表类型..合并报表..单位..元","净利润..报告期..2016年报..报表类型..合并报表..单位..元","净利润..报告期..2017一季..报表类型..合并报表..单位..元","净利润..报告期..2017中报..报表类型..合并报表..单位..元","净利润..报告期..2017三季..报表类型..合并报表..单位..元","净利润..报告期..2017年报..报表类型..合并报表..单位..元"
"45","000058.SZ","商业贸易","","","","47,855,435.0000","","",NA,"144,881,548.0000","","","","196,124,696.0000","","111,070,029.4200","","251,871,187.0900","","133,328,795.2100",NA,"279,896,309.3900","","99,145,344.5800","","188,358,006.2000","","109,158,305.5600",NA,"200,312,675.8600","","27,592,654.5700","","12,211,062.6300","","24,150,678.6500","","-356,603,138.7200","14,330,000.0000","55,517,377.6700","105,134,331.4900","152,340,909.2200","32,934,842.4600","61,766,028.0600","100,039,533.5700","197,993,110.3000","15,390,820.9900","59,141,354.2000","103,809,180.3000","136,464,729.1900","-2,095,352.0500","-33,942,074.6800","-115,263,644.4500","-244,010,949.2300","-40,991,512.8900","-77,912,190.0600","-107,280,041.6300","-151,634,197.6900","-70,756,894.4500","-169,499,367.8200","-230,668,493.1300","65,923,186.1200","18,382,721.3500","32,074,695.4600","44,298,048.8500","55,481,963.8800","-84,459,578.8300","-143,126,887.9100","-177,115,850.1800","-312,566,660.3000","17,676,113.6100","29,291,301.5700","39,593,565.5800","63,547,128.0600","13,444,571.5900","28,021,679.6400","30,056,563.5200","68,796,691.5600","19,477,485.7200","37,918,630.1500","54,516,990.1100","55,262,633.4800","24,314,955.8300","48,280,238.3500","68,696,179.0900","72,798,945.5500","29,629,229.1100","51,824,780.3700","65,355,752.6900","78,674,230.3800","29,052,523.2000","52,065,834.2600","66,465,114.6800","107,968,730.6100","29,104,256.8900","44,218,182.7900","65,199,242.7400","142,230,329.6200","40,207,020.6900","64,701,703.0400","88,267,876.7000","308,024,690.9400"
"48","000061.SZ","商业贸易","","","","8,976,571.5700","","",NA,"13,456,083.5400","","","","17,905,040.6300","","","","28,966,152.0900","","20,068,596.1000",NA,"55,794,580.9400","","46,903,883.7800","","70,917,724.4000","","40,668,071.7600",NA,"83,550,660.9900","","63,989,503.5000","","109,593,318.5300","","57,214,317.3500","76,476,343.5800","110,131,356.0100","15,798,700.0000","122,397,257.6400","141,393,760.2800","170,127,466.2200","19,276,098.8900","42,405,230.6400","56,174,953.9400","100,835,538.2900","19,241,389.2700","33,227,080.8300","34,644,408.2900","30,754,638.9800","19,118,716.1700","38,345,955.1900","79,529,694.6900","100,601,768.5700","17,328,778.3800","9,618,879.3000","24,599,273.0600","93,679,772.0000","21,448,267.9800","60,121,067.5400","89,585,059.3600","243,448,022.4000","70,730,511.0900","117,106,305.7900","147,006,908.3000","125,668,378.3800","45,723,436.7500","169,425,123.4500","203,087,807.0300","156,483,402.3500","36,456,167.4000","307,775,990.5000","330,108,149.1800","279,411,034.8700","26,164,926.9300","185,740,156.2700","250,356,224.3200","261,439,275.7000","76,287,431.0200","153,221,207.8300","179,138,001.3500","104,973,616.9600","57,985,692.0000","95,046,417.3400","134,761,445.5400","215,868,717.7300","14,522,540.6600","86,144,085.9400","128,903,325.7900","135,400,732.3500","2,971,165.4500","79,445,257.8700","88,262,315.3100","44,266,776.4200","13,953,700.3500","55,054,149.8200","244,674,461.5600","93,274,235.8900","24,809,621.6900","33,416,747.2500","32,934,027.3800","61,172,541.5200"
"64","000151.SZ","商业贸易","","","","","","",NA,"","","","","","","","","","","",NA,"46,541,921.1200","","","","47,770,177.7600","","",NA,"53,068,976.6900","","19,791,191.0700","","62,857,690.6800","","42,433,578.4000","","88,271,200.8000","7,428,224.3300","29,889,341.5100","35,871,381.3700","47,892,316.3300","9,343,597.5400","18,952,802.4200","27,586,486.5800","40,377,627.2200","1,273,110.1700","18,156,449.9000","29,418,448.5400","51,090,972.3000","917,674.9000","27,439,161.8500","42,938,798.5500","47,368,411.0300","1,069,422.0900","29,430,435.8200","41,985,939.0600","48,196,383.0200","1,669,497.3400","68,352,609.8200","69,337,286.5600","40,414,064.0400","4,206,062.9400","18,431,635.9100","16,931,646.6700","43,742,009.6200","6,473,449.9400","15,267,752.4900","22,098,363.1400","29,079,411.1000","7,404,053.1000","10,237,933.3900","13,035,287.9600","7,747,877.3000","17,188,742.9500","10,561,734.6900","5,903,855.3300","-10,856,807.3500","12,280,283.9100","7,687,229.0100","17,899,240.5500","44,101,282.0500","17,754,083.7500","36,780,559.1700","62,602,039.5500","92,547,353.6300","25,828,574.1200","84,353,918.0100","130,395,918.0100","112,693,685.7900","23,803,346.3400","70,409,102.2100","85,373,808.8800","134,319,455.5100","24,141,574.8800","54,442,872.5600","75,523,745.5500","100,885,324.4100","22,158,313.4200","51,774,720.8600","65,688,915.2900","88,435,880.3200"
"66","000155.SZ","商业贸易","","","","","","",NA,"","","","","","","","","","","",NA,"113,270,967.2100","","","","92,097,248.9500","","",NA,"100,596,131.4300","","41,505,649.4700","","97,364,208.9400","","33,336,955.9900","","55,002,402.0200","-4,129,067.0800","34,082,361.7700","56,632,597.6500","60,196,546.3600","30,044,233.3500","67,188,501.6900","101,796,737.9300","84,553,919.9800","-7,585,977.6600","-66,970,831.8400","-61,678,898.4400","3,097,101.8700","17,048,429.2100","92,134,592.9200","225,325,165.2100","238,907,909.1500","51,639,551.8900","155,983,598.7700","139,444,671.2600","141,582,034.5200","-11,492,450.6000","10,958,476.9600","77,447,494.5300","138,429,408.0600","61,524,316.2200","123,903,359.5800","175,885,646.7600","146,943,132.1700","62,008,668.0500","61,319,384.6500","72,992,134.2400","72,995,191.1400","-31,609,338.2900","-13,046,203.7600","-47,023,258.7700","-218,763,774.6400","7,989,216.9300","-53,658,002.9900","-72,518,947.4100","-222,765,480.7600","-114,124,493.6400","-147,090,720.6000","-126,278,872.1200","1,554,186.0200","-84,175,073.0800","-161,463,853.6200","-243,670,090.6300","-712,054,812.0900","-125,588,039.1000","-249,636,873.5600","-376,723,059.8400","-1,646,782,277.1400","-55,018,762.7600","-119,912,178.2200","-181,204,615.1500","-710,571,887.9400","-34,974,554.1200","303,140,361.0300","327,666,735.1600","865,358,937.1800","25,482,044.7800","82,177,217.7200","213,776,949.6600","381,547,446.6300"
"88","000417.SZ","商业贸易","","","","12,986,212.0000","","",NA,"16,192,620.0000","","","","20,199,565.0000","7,511,370.0000","13,285,749.3000","","26,595,388.3800","","14,988,271.7200",NA,"27,318,050.1000","","7,440,912.1300","","40,960,655.9100","","18,171,792.3600",NA,"43,793,739.6700","","18,434,169.2400","","51,760,682.2400","","27,733,863.4200","","51,103,176.8800","8,215,887.7700","17,990,427.5400","21,682,292.0100","28,858,939.8800","8,692,592.3800","12,953,554.5400","17,831,564.4100","30,553,654.5700","13,634,119.4600","17,655,381.6100","22,393,269.1100","40,834,949.1000","13,040,531.5800","21,606,563.9300","26,906,586.0900","49,887,751.1400","15,402,202.4200","26,000,436.5500","35,092,616.5400","67,396,879.4000","33,150,514.9600","52,122,096.2200","73,190,358.9400","141,147,450.0700","42,666,105.2600","77,609,477.3700","122,415,961.7900","188,885,382.0300","63,193,582.6200","116,801,071.1000","188,073,854.5700","288,705,196.7100","88,291,532.9600","153,118,717.8800","251,296,538.6100","367,132,944.6100","264,140,371.8300","351,100,673.8400","460,020,932.6300","584,446,027.6000","160,101,062.5000","266,413,052.8000","373,495,923.2500","459,182,487.7000","166,180,511.3500","264,571,174.2200","387,000,403.7100","474,269,069.6900","153,789,651.8400","246,672,935.3600","318,284,905.2500","446,144,915.6200","119,150,036.3300","202,075,821.6800","255,329,740.3000","332,525,540.1200","109,816,071.5800","233,155,077.5000","298,617,693.7800","361,976,213.2100","126,475,987.7300","201,549,117.2700","318,084,091.0800","295,920,630.5300"
"90","000419.SZ","商业贸易","","","","8,229,226.7700","","",NA,"12,616,333.2100","","","","13,648,634.9900","","9,228,915.2500","","29,267,416.3000","","28,522,460.9400",NA,"42,010,070.5900","","32,191,348.2800","","46,572,758.1500","","29,676,721.7200",NA,"44,239,903.8700","","17,651,111.8000","","41,732,019.8100","","19,782,365.3700","","27,436,491.8200","7,984,900.0000","14,444,298.3700","16,053,630.4700","30,283,711.1500","9,511,061.2900","10,225,535.9000","12,725,173.6100","27,379,367.5700","9,061,914.7300","11,418,515.0700","15,019,443.2300","30,451,204.7300","8,726,559.0100","13,155,561.9200","18,778,553.4100","39,830,128.7700","7,588,155.8200","13,309,851.6000","20,025,604.3900","59,715,681.6400","13,936,869.4000","19,704,955.8000","32,505,400.6400","60,868,268.9100","13,222,684.1400","25,342,956.2700","35,156,113.7000","48,511,654.2900","12,317,688.6100","28,603,738.6900","35,507,889.8500","53,886,863.5900","24,248,663.2200","48,081,306.4900","64,241,967.6200","103,480,647.1700","33,249,113.7700","69,308,767.1200","95,637,184.9500","215,809,813.9000","34,777,165.8900","78,561,820.2400","111,367,422.5300","155,369,054.3300","34,352,227.4400","85,725,242.4500","111,527,619.6600","145,297,556.2700","33,692,497.8000","70,392,694.3700","82,424,905.6600","137,861,133.9300","37,765,439.7600","86,829,313.3000","102,155,104.7000","110,778,509.7500","37,219,683.2700","83,186,167.7400","94,529,362.9400","116,413,999.6600","35,041,693.7300","88,858,158.3300","109,606,521.7700","147,501,595.1600"
"102","000501.SZ","商业贸易","","58,756,135.1600","","210,816,365.5200","","106,784,021.2900",NA,"197,772,052.7900","","53,202,023.1100","","116,141,767.0700","","26,456,796.0500","","118,222,444.5900","","64,305,106.1600",NA,"181,177,690.3700","","72,638,751.6600","","80,891,732.4800","","58,842,728.1800",NA,"54,099,025.7600","","47,146,288.6400","","44,197,353.8200","","31,314,109.6100","","-71,567,217.8800","13,800,162.2300","18,247,629.5300","23,583,855.2100","27,119,717.2700","10,020,138.2500","16,794,228.0600","15,129,047.4300","17,178,028.7800","19,499,799.9100","25,171,486.0900","13,974,850.2500","-61,726,268.8200","43,367,853.7000","59,118,255.1700","66,897,837.0300","50,961,650.2900","49,789,908.5900","70,936,087.5800","88,994,194.1200","77,510,086.9400","69,907,327.2700","106,740,029.7100","127,644,816.8600","220,362,218.2100","97,787,674.1600","146,365,333.2500","170,454,603.3500","274,574,951.0700","97,711,329.7200","180,178,552.3400","221,823,762.5200","317,623,553.5800","129,329,314.8100","219,582,039.2300","280,615,054.5600","377,906,949.1100","169,681,250.3900","282,049,333.4600","366,055,343.9000","445,377,729.5500","182,547,539.4600","309,814,248.5200","395,270,818.1900","520,581,543.6700","203,174,486.8900","345,152,854.3300","444,028,015.3700","606,202,156.1000","218,064,309.7600","370,809,287.4600","487,073,743.9000","641,246,664.6600","262,668,143.5300","437,123,782.4700","554,725,333.0300","800,769,812.8200","256,049,579.9000","515,296,571.6000","707,387,681.7800","993,055,163.4700","285,836,460.4300","658,676,175.1300","875,274,112.4700","1,241,339,841.5900"
"113","000516.SZ","商业贸易","","2,015,319.2600","","12,464,623.8300","","5,533,181.4600",NA,"8,610,658.7200","","2,369,283.5100","","3,731,413.0000","","2,335,117.6000","","7,424,400.3100","","15,909,921.5400",NA,"24,263,883.6600","","12,960,130.5800","","24,464,157.8900","","10,873,104.7500",NA,"26,614,744.4800","","17,804,743.4200","","31,339,895.4500","","19,756,376.5000","","36,127,551.9700","8,815,407.1800","15,117,918.5700","24,650,304.2400","40,928,433.1800","11,833,705.1800","15,201,953.6700","28,677,056.7400","48,672,422.3800","12,418,690.7500","18,242,151.3800","21,605,531.4400","37,886,293.0300","13,334,302.1000","21,083,202.2700","28,787,141.6400","46,699,863.1600","16,404,227.2400","26,041,250.7700","34,542,145.6900","52,192,676.2900","20,040,452.9200","36,259,324.3300","59,239,507.1600","88,783,750.4500","25,993,234.1200","33,704,688.0000","52,060,137.6300","70,815,255.0600","24,907,379.9100","44,724,937.7700","62,491,943.2800","79,396,854.4200","23,529,588.9400","99,340,707.3100","120,714,979.3900","152,245,622.2200","43,212,787.7700","87,827,952.7800","107,452,544.6500","127,253,295.8300","53,625,487.7800","93,140,133.7600","103,011,797.5500","110,856,426.6800","45,742,347.1400","91,596,779.2500","105,628,341.7600","121,524,850.2100","66,128,903.5300","138,287,957.4400","197,333,907.6400","350,260,891.8100","97,497,038.2400","157,212,007.3100","175,450,884.3800","240,994,811.2600","53,837,839.2600","132,999,935.0300","194,382,633.7200","201,294,646.9300","65,899,644.9200","121,978,244.4600","181,191,057.1100","196,781,713.2100"
"151","000560.SZ","商业贸易","","","","28,320,965.7900","","13,398,492.4600",NA,"29,779,845.5300","","7,063,237.7600","","17,879,391.3900","","5,548,867.3800","","11,883,486.3700","","5,040,200.0000",NA,"10,781,745.3800","","441,904.1300","","9,769,263.5700","","-13,605,995.7800",NA,"9,319,461.0200","","-21,113,143.5600","","-78,384,496.7100","","-18,673,410.1500","","-151,278,117.8000","-8,882,213.3700","-15,628,905.1800","-24,659,094.7300","-208,552,155.2300","10,164,040.4900","19,215,246.3200","25,488,091.5200","37,238,476.6100","11,119,418.0000","20,027,121.6600","26,882,459.6900","44,411,933.8300","12,741,975.6700","20,836,248.9600","25,721,461.3200","27,401,105.6200","1,966,133.3400","4,679,622.6500","-1,217,191.8900","45,697,420.1300","7,596,254.2500","13,536,465.0000","17,259,341.2200","96,953,799.2400","9,854,205.1000","17,830,446.5900","6,707,146.1600","24,863,265.0000","8,874,133.5100","8,540,640.5300","12,487,119.1400","30,464,306.9400","14,648,253.7000","16,854,578.1100","14,748,902.6600","27,452,002.3000","7,489,370.9700","12,067,170.4700","21,023,560.1600","94,013,097.9000","10,951,309.1500","27,291,929.3900","41,969,893.4100","158,726,226.5500","14,156,465.5700","17,248,323.7700","7,488,570.7500","93,862,181.6900","84,446,670.5500","88,690,708.2700","79,468,688.3000","89,442,446.3400","5,202,933.3000","3,667,634.6600","7,865,257.0200","20,223,164.4800","18,307,379.6900","40,482,449.1800","64,566,923.9400","87,688,182.0400","12,410,225.9500","24,819,326.7400","46,024,540.9900","75,766,342.9300"
"154","000564.SZ","商业贸易","","9,252,100.0000","","20,256,885.7500","","17,162,469.1600",NA,"34,503,172.6800","","15,456,610.9100","","27,915,577.1400","","17,154,575.8700","","35,127,019.0700","","9,836,157.5000",NA,"4,899,283.5900","","1,348,113.2300","","1,834,297.8000","","1,257,593.0100",NA,"12,654,744.6000","","7,980,628.2900","","34,432,984.1900","","26,666,432.8700","","34,160,706.6900","335,159.4800","7,022,905.9600","11,232,873.6200","13,058,119.8700","2,190,429.4200","12,372,244.9300","18,058,954.2900","24,231,744.7600","5,138,400.9000","14,070,585.3200","14,820,866.2000","15,612,388.7500","4,572,361.0500","8,732,960.2800","15,823,777.2600","16,915,693.6000","6,538,932.4200","11,473,477.2500","15,246,256.4200","26,619,273.3000","9,644,186.6700","15,190,592.3600","18,848,633.0800","22,771,166.2400","9,101,932.6200","12,754,921.8600","17,324,917.6100","57,022,493.3800","12,677,490.7600","24,358,042.9300","38,487,883.4800","48,759,064.3500","22,187,048.4200","30,017,740.6000","49,674,148.5600","59,388,695.0700","24,076,955.2100","33,886,981.8300","54,680,650.5200","61,449,613.9100","24,450,724.8400","37,928,514.9500","59,358,688.3400","67,316,536.7100","27,565,202.8400","39,035,494.8700","59,208,511.7300","63,073,971.9100","25,556,221.1500","35,452,256.8500","53,900,575.7600","60,943,649.1900","24,498,299.6200","37,916,642.2000","45,855,444.6400","44,632,388.9400","23,824,095.3800","35,848,294.4900","31,708,489.1300","424,682,188.3900","138,494,373.6400","351,032,313.4600","1,067,372,874.6500","1,474,147,474.8200"
