"","证券代码","申万一级行业","净利润..报告期..1993一季..报表类型..合并报表..单位..元","净利润..报告期..1993中报..报表类型..合并报表..单位..元","净利润..报告期..1993三季..报表类型..合并报表..单位..元","净利润..报告期..1993年报..报表类型..合并报表..单位..元","净利润..报告期..1994一季..报表类型..合并报表..单位..元","净利润..报告期..1994中报..报表类型..合并报表..单位..元","净利润..报告期..1994三季..报表类型..合并报表..单位..元","净利润..报告期..1994年报..报表类型..合并报表..单位..元","净利润..报告期..1995一季..报表类型..合并报表..单位..元","净利润..报告期..1995中报..报表类型..合并报表..单位..元","净利润..报告期..1995三季..报表类型..合并报表..单位..元","净利润..报告期..1995年报..报表类型..合并报表..单位..元","净利润..报告期..1996一季..报表类型..合并报表..单位..元","净利润..报告期..1996中报..报表类型..合并报表..单位..元","净利润..报告期..1996三季..报表类型..合并报表..单位..元","净利润..报告期..1996年报..报表类型..合并报表..单位..元","净利润..报告期..1997一季..报表类型..合并报表..单位..元","净利润..报告期..1997中报..报表类型..合并报表..单位..元","净利润..报告期..1997三季..报表类型..合并报表..单位..元","净利润..报告期..1997年报..报表类型..合并报表..单位..元","净利润..报告期..1998一季..报表类型..合并报表..单位..元","净利润..报告期..1998中报..报表类型..合并报表..单位..元","净利润..报告期..1998三季..报表类型..合并报表..单位..元","净利润..报告期..1998年报..报表类型..合并报表..单位..元","净利润..报告期..1999一季..报表类型..合并报表..单位..元","净利润..报告期..1999中报..报表类型..合并报表..单位..元","净利润..报告期..1999三季..报表类型..合并报表..单位..元","净利润..报告期..1999年报..报表类型..合并报表..单位..元","净利润..报告期..2000一季..报表类型..合并报表..单位..元","净利润..报告期..2000中报..报表类型..合并报表..单位..元","净利润..报告期..2000三季..报表类型..合并报表..单位..元","净利润..报告期..2000年报..报表类型..合并报表..单位..元","净利润..报告期..2001一季..报表类型..合并报表..单位..元","净利润..报告期..2001中报..报表类型..合并报表..单位..元","净利润..报告期..2001三季..报表类型..合并报表..单位..元","净利润..报告期..2001年报..报表类型..合并报表..单位..元","净利润..报告期..2002一季..报表类型..合并报表..单位..元","净利润..报告期..2002中报..报表类型..合并报表..单位..元","净利润..报告期..2002三季..报表类型..合并报表..单位..元","净利润..报告期..2002年报..报表类型..合并报表..单位..元","净利润..报告期..2003一季..报表类型..合并报表..单位..元","净利润..报告期..2003中报..报表类型..合并报表..单位..元","净利润..报告期..2003三季..报表类型..合并报表..单位..元","净利润..报告期..2003年报..报表类型..合并报表..单位..元","净利润..报告期..2004一季..报表类型..合并报表..单位..元","净利润..报告期..2004中报..报表类型..合并报表..单位..元","净利润..报告期..2004三季..报表类型..合并报表..单位..元","净利润..报告期..2004年报..报表类型..合并报表..单位..元","净利润..报告期..2005一季..报表类型..合并报表..单位..元","净利润..报告期..2005中报..报表类型..合并报表..单位..元","净利润..报告期..2005三季..报表类型..合并报表..单位..元","净利润..报告期..2005年报..报表类型..合并报表..单位..元","净利润..报告期..2006一季..报表类型..合并报表..单位..元","净利润..报告期..2006中报..报表类型..合并报表..单位..元","净利润..报告期..2006三季..报表类型..合并报表..单位..元","净利润..报告期..2006年报..报表类型..合并报表..单位..元","净利润..报告期..2007一季..报表类型..合并报表..单位..元","净利润..报告期..2007中报..报表类型..合并报表..单位..元","净利润..报告期..2007三季..报表类型..合并报表..单位..元","净利润..报告期..2007年报..报表类型..合并报表..单位..元","净利润..报告期..2008一季..报表类型..合并报表..单位..元","净利润..报告期..2008中报..报表类型..合并报表..单位..元","净利润..报告期..2008三季..报表类型..合并报表..单位..元","净利润..报告期..2008年报..报表类型..合并报表..单位..元","净利润..报告期..2009一季..报表类型..合并报表..单位..元","净利润..报告期..2009中报..报表类型..合并报表..单位..元","净利润..报告期..2009三季..报表类型..合并报表..单位..元","净利润..报告期..2009年报..报表类型..合并报表..单位..元","净利润..报告期..2010一季..报表类型..合并报表..单位..元","净利润..报告期..2010中报..报表类型..合并报表..单位..元","净利润..报告期..2010三季..报表类型..合并报表..单位..元","净利润..报告期..2010年报..报表类型..合并报表..单位..元","净利润..报告期..2011一季..报表类型..合并报表..单位..元","净利润..报告期..2011中报..报表类型..合并报表..单位..元","净利润..报告期..2011三季..报表类型..合并报表..单位..元","净利润..报告期..2011年报..报表类型..合并报表..单位..元","净利润..报告期..2012一季..报表类型..合并报表..单位..元","净利润..报告期..2012中报..报表类型..合并报表..单位..元","净利润..报告期..2012三季..报表类型..合并报表..单位..元","净利润..报告期..2012年报..报表类型..合并报表..单位..元","净利润..报告期..2013一季..报表类型..合并报表..单位..元","净利润..报告期..2013中报..报表类型..合并报表..单位..元","净利润..报告期..2013三季..报表类型..合并报表..单位..元","净利润..报告期..2013年报..报表类型..合并报表..单位..元","净利润..报告期..2014一季..报表类型..合并报表..单位..元","净利润..报告期..2014中报..报表类型..合并报表..单位..元","净利润..报告期..2014三季..报表类型..合并报表..单位..元","净利润..报告期..2014年报..报表类型..合并报表..单位..元","净利润..报告期..2015一季..报表类型..合并报表..单位..元","净利润..报告期..2015中报..报表类型..合并报表..单位..元","净利润..报告期..2015三季..报表类型..合并报表..单位..元","净利润..报告期..2015年报..报表类型..合并报表..单位..元","净利润..报告期..2016一季..报表类型..合并报表..单位..元","净利润..报告期..2016中报..报表类型..合并报表..单位..元","净利润..报告期..2016三季..报表类型..合并报表..单位..元","净利润..报告期..2016年报..报表类型..合并报表..单位..元","净利润..报告期..2017一季..报表类型..合并报表..单位..元","净利润..报告期..2017中报..报表类型..合并报表..单位..元","净利润..报告期..2017三季..报表类型..合并报表..单位..元","净利润..报告期..2017年报..报表类型..合并报表..单位..元"
"13","000016.SZ","家用电器","","86,661,185.7500","","215,018,086.5200","","128,257,117.7700",NA,"234,505,299.8000","","142,424,677.9100","","270,229,248.5200","","142,674,971.8700","","355,564,327.4900","","164,601,088.9900",NA,"358,389,913.9300","","183,861,587.7200","","452,209,863.2400","","215,748,316.0800",NA,"533,108,151.7400","","137,118,307.7000","","249,150,920.5200","","-189,711,712.6900","","-693,265,946.1600","19,824,035.3300","25,419,447.2500","31,674,286.4400","46,244,225.8100","20,892,621.2100","31,889,877.7600","60,304,424.9600","114,874,621.0700","28,099,585.0200","50,583,065.6700","69,670,422.6500","160,354,728.1000","18,675,311.3400","21,296,592.2200","37,251,977.1700","19,266,511.6900","25,049,055.0600","29,688,255.7700","42,947,350.2700","104,268,084.7500","25,491,256.3300","40,132,737.7000","54,150,098.9800","211,924,146.4900","48,254,034.8300","85,570,791.0600","197,068,402.7200","277,795,888.3000","36,582,440.8900","74,986,480.4900","107,741,890.2500","147,386,572.2500","39,816,188.4600","60,513,008.4700","75,143,111.8800","101,189,494.9500","-75,327,826.6400","-190,874,019.8900","-156,320,378.2800","24,179,368.0200","10,504,070.7900","11,476,794.2100","15,735,213.8600","45,438,574.8600","11,059,218.7000","36,648,406.0000","40,314,219.8700","59,843,937.0600","10,325,067.5500","47,326,353.7500","49,804,448.6900","60,524,699.1700","4,392,815.0200","-304,618,171.6900","-858,427,153.3700","-1,275,844,762.6500","13,664,089.9800","9,906,950.7200","-49,211,355.8500","92,175,358.0800","25,959,920.1000","34,396,332.5800","134,814,710.8700","5,086,834,099.9800"
"62","000100.SZ","家用电器","","","","","","",NA,"","","","","","","","","","","",NA,"","","","","","","",NA,"","","","","425,190,000.0000","","","","560,420,000.0000","","","","1,323,150,000.0000","354,057,317.0000","620,450,000.0000","840,943,268.0000","1,239,262,265.0000","419,169,936.0000","654,167,580.0000","571,655,825.0000","120,038,308.0000","-714,749,134.0000","-1,447,338,545.0000","-2,288,911,305.0000","-1,713,320,800.0000","-235,265,956.0000","-1,833,186,000.0000","-1,734,750,721.0000","-3,518,793,745.0000","-10,991,698.0000","-55,167,000.0000","242,581,423.0000","328,450,508.0000","557,690,864.0000","395,580,662.0000","421,641,089.0000","440,522,000.0000","5,660,401.0000","126,680,517.0000","246,778,003.0000","703,544,564.0000","128,428,510.0000","161,354,291.0000","27,785,670.0000","472,403,244.0000","360,436,750.0000","853,021,666.0000","1,359,139,179.0000","1,671,051,000.0000","71,377,790.0000","479,779,000.0000","751,799,034.0000","1,272,710,000.0000","480,634,952.0000","1,066,075,000.0000","1,742,103,620.0000","2,884,689,000.0000","928,247,281.0000","1,979,330,000.0000","3,010,527,542.0000","4,232,727,000.0000","982,205,588.0000","2,088,953,000.0000","2,610,068,747.0000","3,230,009,000.0000","355,449,801.0000","788,001,000.0000","2,040,223,906.0000","2,137,540,000.0000","672,383,537.0000","1,661,319,000.0000","3,031,602,065.0000","3,544,702,000.0000"
"73","000333.SZ","家用电器","","","","","","",NA,"","","","","","","","","","","",NA,"","","","","","","",NA,"","","","","","","","","","","","","","","","","308,257,237.4300","","","","549,298,194.3600","","","","818,600,287.1200","","","","1,656,378,085.7300","","1,512,923,209.2200","","2,616,899,970.1700","514,322,496.8700","1,688,733,330.2700","2,143,413,309.1000","2,658,407,041.2200","578,368,500.0000","1,904,573,177.5300","2,427,086,494.5500","3,314,548,811.0400","929,750,408.7900","3,169,914,266.4000","4,655,621,954.5400","6,460,831,930.0000","1,182,369,925.3400","3,225,897,675.4300","4,428,504,144.9500","6,651,873,310.0000","1,389,263,040.0000","3,368,258,000.0000","4,986,795,230.0000","6,140,889,630.0000","1,945,134,300.0000","4,741,840,950.0000","6,754,747,300.0000","8,297,496,430.0000","2,860,655,000.0000","7,217,628,070.0000","9,839,471,210.0000","11,646,328,660.0000","3,650,789,740.0000","8,948,567,620.0000","11,828,503,940.0000","13,624,655,000.0000","4,166,767,000.0000","10,230,898,000.0000","13,751,988,000.0000","15,861,912,000.0000","4,685,865,000.0000","11,548,071,000.0000","16,101,400,000.0000","18,611,190,000.0000"
"79","000404.SZ","家用电器","","","","6,707,861.0000","","",NA,"10,886,007.0000","","","","20,365,406.0000","","17,502,692.6000","","39,137,216.0000","","18,387,987.7100",NA,"41,534,399.8900","","20,479,381.8400","","45,892,461.7300","","17,858,699.4500",NA,"33,988,730.0100","","16,045,556.3200","","33,487,317.2900","","3,924,691.1600","","1,173,271.7300","173,900.0000","1,759,270.8200","6,135,633.5800","4,558,567.7800","-5,064,559.8800","-11,227,967.9300","-13,018,520.7100","-115,788,136.2900","-11,578,771.3800","-21,831,647.6700","-22,085,279.8600","14,666,422.5400","1,248,264.5300","-3,260,864.4000","-5,658,158.5400","-133,281,627.7900","-7,143,983.3400","-1,510,683.9600","3,826,798.9600","33,992,736.1700","-410,526.8300","5,383,925.5000","11,125,602.4200","52,439,613.7000","31,318,994.1600","71,559,620.7100","72,582,399.3900","73,161,932.8800","14,322,780.6600","77,726,846.8400","132,505,595.1500","171,347,783.0600","10,381,014.8500","56,371,939.2200","90,971,847.9000","77,120,001.4500","1,738,140.3100","39,857,949.4000","52,281,851.8600","72,003,372.0000","15,194,891.2500","79,130,240.0900","134,214,250.0100","173,186,132.8200","58,298,638.9300","156,763,752.1200","217,180,456.5500","253,682,222.0400","85,949,583.0300","204,087,465.6400","248,548,593.0000","289,568,238.4800","67,856,038.6700","189,365,254.5200","275,928,729.2700","331,615,685.2100","76,142,431.3500","196,620,391.8900","286,360,528.5800","395,765,556.5600","81,459,047.7900","208,476,714.6700","217,416,576.5900","212,098,044.0400"
"89","000418.SZ","家用电器","","","","30,353,176.7800","","",NA,"99,332,807.0600","","","","148,728,879.0900","","98,746,000.0000","","180,956,230.9100","","114,700,830.0000",NA,"265,812,370.6400","","134,465,618.4300","","233,275,310.9800","","133,594,369.1600",NA,"216,613,149.2900","","118,934,490.9700","","193,141,915.0400","","91,586,172.4100","","28,540,940.0500","15,857,469.3300","20,907,370.7100","28,691,367.6700","-630,755,222.5600","20,078,451.5200","20,683,003.1800","39,003,588.0400","47,586,887.4700","8,267,318.6400","33,907,979.1300","39,626,061.1100","43,438,553.2800","13,233,637.5000","21,598,122.3900","24,086,908.3100","47,515,574.1800","11,825,299.7900","25,938,064.8000","32,020,812.0300","30,864,795.9900","17,390,337.1700","55,021,774.3900","211,412,314.5300","346,911,201.5400","35,701,046.7300","70,799,486.9400","116,987,471.4900","25,007,833.4600","35,868,639.7400","62,708,321.4200","135,390,834.4300","221,693,429.5900","84,715,950.1300","181,540,671.7500","284,232,893.6300","609,738,014.4500","164,131,260.1200","333,304,792.6400","498,959,086.5300","538,564,751.5600","129,549,307.5400","234,142,192.3500","324,524,401.0900","378,836,167.4600","120,203,928.1500","235,920,464.2300","364,491,607.6600","474,757,699.7900","187,693,339.7300","350,363,717.0000","582,313,543.4300","790,826,104.3100","277,163,481.1200","498,509,022.0600","798,716,331.8800","1,053,124,786.1500","361,046,361.6600","664,923,275.7000","1,064,493,530.8500","1,342,775,261.8800","438,415,719.4500","832,760,250.0100","1,313,309,310.5100","1,708,420,285.7500"
"118","000521.SZ","家用电器","","","","86,717,679.8300","","58,587,636.8100",NA,"109,228,346.6700","","60,239,131.2000","","112,410,417.0700","","79,750,766.9800","","144,287,215.8200","","67,180,858.7100",NA,"117,926,134.9400","","43,899,011.2500","","83,489,528.2500","","34,285,740.3600",NA,"68,446,649.0300","","2,256,909.4700","","5,526,274.2400","","3,490,341.2200","3,481,905.5500","-349,549,858.6100","4,271,300.0000","5,067,846.1200","8,592,080.6500","8,107,604.2500","2,786,601.6200","4,993,702.2200","7,467,822.7100","-197,834,320.8000","8,718,185.4200","15,268,172.6100","20,334,062.1800","17,161,709.9100","9,256,046.6100","17,322,376.3000","23,228,008.0500","7,101,086.7800","4,092,524.7000","8,324,883.0300","12,448,012.9600","8,985,342.4000","6,243,200.8100","10,725,418.3500","14,077,765.0800","17,712,760.4900","6,372,660.5900","14,209,912.5900","18,521,474.5100","25,636,109.3400","6,393,712.2100","29,396,167.9000","182,400,202.6600","301,176,050.7900","110,705,883.5700","218,939,825.4500","298,319,580.1000","326,495,470.5500","38,750,624.7100","121,327,936.6500","120,339,241.9600","89,036,877.9300","35,208,149.8500","111,507,445.0500","140,313,533.5000","161,177,400.6200","33,574,654.4500","131,828,112.3900","188,551,690.1600","276,136,222.5700","51,147,755.4300","160,996,928.2800","228,084,628.0300","280,406,925.1700","50,646,114.9700","159,042,874.8200","159,463,163.4400","21,220,208.3000","52,659,450.9200","109,923,646.8400","165,836,133.3800","220,169,534.3500","62,314,771.5600","98,094,701.3900","127,840,759.6200","36,094,532.7100"
"128","000533.SZ","家用电器","","42,919,450.0000","","185,596,486.0000","","105,778,672.0000",NA,"161,747,900.0000","","61,943,889.0000","","56,775,618.0000","","24,432,373.0000","","19,322,722.0000","","4,680,055.0000",NA,"123,102,565.9300","","71,580,219.3700","","142,060,450.5300","","68,153,630.2100",NA,"151,857,636.4700","","43,991,793.1900","","9,879,310.9700","","11,816,143.5200","","-1,007,666,067.8700","-42,459,856.1800","-74,383,199.6300","-90,041,036.1400","-115,008,736.8300","3,886,027.7400","29,497,594.1900","64,018,492.1900","196,039,500.8700","194,664.0500","3,163,426.7600","3,190,258.6300","3,277,295.3500","224,609.9900","3,126,436.8400","-11,390,743.9800","-146,586,376.5000","3,605,388.5600","24,117,746.0800","28,439,406.2400","19,473,079.7500","18,589,930.9300","50,240,388.2100","86,324,214.0300","129,078,268.4700","6,515,208.4000","30,723,249.1900","44,966,805.4500","65,665,133.7500","8,787,970.6200","31,156,904.7500","83,490,080.9300","193,322,373.6900","166,798,263.2600","188,729,179.5600","201,952,307.6100","143,352,983.4100","5,253,611.3500","73,477,837.9200","76,415,712.5900","70,380,947.6500","14,997,556.4700","38,173,498.7100","47,393,671.9600","75,617,527.7000","10,397,181.9400","59,345,145.8900","77,876,074.5000","183,508,611.2600","30,938,838.2600","71,947,685.7100","109,061,422.2800","160,162,813.0500","59,834,985.7300","105,090,423.2400","163,385,476.0800","171,918,774.1100","39,068,577.0600","64,788,859.0100","47,686,957.5500","261,797,612.3600","7,140,801.7600","40,255,465.1800","39,574,015.9800","66,627,239.1200"
"214","000651.SZ","家用电器","","","","48,583,288.1900","","",NA,"79,305,257.9200","","","","155,172,172.0700","","131,181,703.5100","","186,336,216.9100","","149,934,723.5400",NA,"216,349,823.6000","","162,631,635.9000","","224,635,432.0700","","165,583,462.8800",NA,"230,826,432.3600","","120,023,670.2100","","259,021,825.4000","","169,165,462.0000","","277,289,360.6900","59,257,838.1300","171,833,474.0800","274,857,776.6100","301,104,853.9100","69,891,637.5200","185,471,084.5000","297,610,595.0600","335,651,063.8600","79,133,849.6200","221,861,766.9800","356,333,247.3400","429,144,299.3000","94,251,768.7000","275,492,029.5100","430,943,916.4300","516,682,032.7800","124,377,511.2400","319,214,806.4600","488,272,886.0200","702,034,011.3600","157,856,528.7700","487,389,251.6200","772,056,013.3400","1,287,239,813.3900","439,707,500.9600","1,015,298,569.3300","1,467,122,271.2900","1,991,849,578.9300","551,596,492.4200","1,237,781,962.1000","2,001,396,451.0300","2,931,663,385.2800","640,527,479.2500","1,573,214,719.2000","2,896,662,417.8300","4,303,205,496.1600","941,340,307.2100","2,226,228,071.3200","3,806,471,928.0700","5,297,340,543.0700","1,191,506,919.3600","2,902,096,670.9000","5,384,333,582.9400","7,445,927,982.7000","1,344,030,758.1200","4,045,142,984.5800","7,637,122,036.2700","10,935,755,177.1900","2,275,183,241.5100","5,772,912,632.2200","9,905,276,560.6100","14,252,954,811.9600","2,789,905,053.3400","5,767,928,634.3900","10,023,135,141.5900","12,623,732,620.2200","3,176,396,742.0400","6,446,612,614.4700","11,303,065,352.4300","15,524,634,903.8700","4,036,368,343.9300","9,503,368,643.7900","15,533,022,140.9400","22,508,599,044.0900"
"321","000801.SZ","家用电器","","","","","","",NA,"","","","","9,885,698.3800","","","","18,009,324.6300","","15,244,599.6300",NA,"28,275,413.4400","","14,741,205.8500","","27,794,701.1300","","9,499,212.7300",NA,"42,326,560.6600","","13,418,261.1800","","10,699,602.5600","","1,854,204.1100","","-34,458,946.4900","-4,915,428.9600","-13,724,764.1000","-16,430,578.3700","-24,520,750.8100","-2,013,628.5000","-3,705,625.1000","-208,778.9200","4,731,047.3900","1,444,117.1600","1,177,077.3400","-2,865,309.1200","-27,274,404.8700","-787,639.8300","1,827,698.2300","1,914,908.2700","7,151,645.6900","-54,961.4100","765,538.9500","1,455,120.2200","-9,746,393.1900","-1,576,976.4800","-179,710.1200","3,762,864.0100","25,785,902.7300","2,142,530.4200","2,475,847.5300","4,317,773.6900","12,906,372.7300","-1,817,987.3800","-1,405,717.9700","-1,151,759.8800","3,794,980.4600","-2,911,505.3400","24,815,498.7300","28,964,755.8700","52,763,895.0100","9,670,034.1000","24,728,871.3500","41,408,643.9000","60,047,818.1700","13,787,544.1300","36,013,126.6200","52,809,593.6500","68,265,329.8600","14,177,729.1300","35,731,151.8300","52,860,985.4800","75,573,600.2300","13,614,089.1800","27,912,003.4100","42,286,784.8000","78,169,878.0500","11,531,236.8800","72,557,999.1500","111,314,028.9400","233,430,684.9500","16,415,776.1200","65,402,998.6900","73,888,363.6800","198,935,242.2800","-21,009.1200","-20,621,391.9600","-20,746,947.2900","814,382.1500"
"327","000810.SZ","家用电器","","","","","","",NA,"","","","","10,016,972.6000","","","","11,510,992.9900","","5,414,377.5700",NA,"12,200,358.1600","","3,551,502.7400","","4,496,558.8300","","-5,336,840.2700",NA,"-12,882,322.5300","","9,928,370.0500","","43,218,202.6100","","7,200,858.7100","","11,568,759.3200","907,261.4600","9,979,149.5800","14,488,821.6800","18,046,284.4600","7,462,723.9600","13,152,068.5300","16,438,773.1600","20,211,698.1500","1,400,543.7700","9,421,805.9400","6,409,078.7700","13,603,356.8300","6,756,176.2000","21,341,435.8600","33,282,817.1100","39,374,470.6100","13,282,958.5900","29,659,032.6300","43,664,208.5800","60,998,851.1800","13,353,027.9600","30,144,185.3200","44,606,541.0200","53,194,227.7400","5,474,691.0700","18,835,739.5700","27,250,882.4600","26,529,301.1700","2,231,234.8300","11,873,019.2500","23,698,767.2300","34,596,561.0600","17,002,902.7600","43,835,582.0000","72,201,642.2800","95,345,205.7700","22,726,476.3200","44,915,713.4300","60,967,853.3400","75,203,360.3000","2,050,431.0900","6,610,691.2300","2,331,069.5600","17,937,477.5900","7,189,449.3500","13,536,877.5300","16,847,747.2800","16,293,519.6000","-3,895,125.5700","-10,204,742.5200","274,594,464.1100","385,011,081.2800","66,480,210.5800","147,338,482.3200","224,952,546.7600","412,591,211.1800","160,453,399.9300","291,242,515.2300","381,346,303.7500","527,061,662.1100","35,950,113.1300","60,003,887.1700","48,911,750.1300","95,244,225.6200"
