"","证券代码","申万一级行业","净利润..报告期..1993一季..报表类型..合并报表..单位..元","净利润..报告期..1993中报..报表类型..合并报表..单位..元","净利润..报告期..1993三季..报表类型..合并报表..单位..元","净利润..报告期..1993年报..报表类型..合并报表..单位..元","净利润..报告期..1994一季..报表类型..合并报表..单位..元","净利润..报告期..1994中报..报表类型..合并报表..单位..元","净利润..报告期..1994三季..报表类型..合并报表..单位..元","净利润..报告期..1994年报..报表类型..合并报表..单位..元","净利润..报告期..1995一季..报表类型..合并报表..单位..元","净利润..报告期..1995中报..报表类型..合并报表..单位..元","净利润..报告期..1995三季..报表类型..合并报表..单位..元","净利润..报告期..1995年报..报表类型..合并报表..单位..元","净利润..报告期..1996一季..报表类型..合并报表..单位..元","净利润..报告期..1996中报..报表类型..合并报表..单位..元","净利润..报告期..1996三季..报表类型..合并报表..单位..元","净利润..报告期..1996年报..报表类型..合并报表..单位..元","净利润..报告期..1997一季..报表类型..合并报表..单位..元","净利润..报告期..1997中报..报表类型..合并报表..单位..元","净利润..报告期..1997三季..报表类型..合并报表..单位..元","净利润..报告期..1997年报..报表类型..合并报表..单位..元","净利润..报告期..1998一季..报表类型..合并报表..单位..元","净利润..报告期..1998中报..报表类型..合并报表..单位..元","净利润..报告期..1998三季..报表类型..合并报表..单位..元","净利润..报告期..1998年报..报表类型..合并报表..单位..元","净利润..报告期..1999一季..报表类型..合并报表..单位..元","净利润..报告期..1999中报..报表类型..合并报表..单位..元","净利润..报告期..1999三季..报表类型..合并报表..单位..元","净利润..报告期..1999年报..报表类型..合并报表..单位..元","净利润..报告期..2000一季..报表类型..合并报表..单位..元","净利润..报告期..2000中报..报表类型..合并报表..单位..元","净利润..报告期..2000三季..报表类型..合并报表..单位..元","净利润..报告期..2000年报..报表类型..合并报表..单位..元","净利润..报告期..2001一季..报表类型..合并报表..单位..元","净利润..报告期..2001中报..报表类型..合并报表..单位..元","净利润..报告期..2001三季..报表类型..合并报表..单位..元","净利润..报告期..2001年报..报表类型..合并报表..单位..元","净利润..报告期..2002一季..报表类型..合并报表..单位..元","净利润..报告期..2002中报..报表类型..合并报表..单位..元","净利润..报告期..2002三季..报表类型..合并报表..单位..元","净利润..报告期..2002年报..报表类型..合并报表..单位..元","净利润..报告期..2003一季..报表类型..合并报表..单位..元","净利润..报告期..2003中报..报表类型..合并报表..单位..元","净利润..报告期..2003三季..报表类型..合并报表..单位..元","净利润..报告期..2003年报..报表类型..合并报表..单位..元","净利润..报告期..2004一季..报表类型..合并报表..单位..元","净利润..报告期..2004中报..报表类型..合并报表..单位..元","净利润..报告期..2004三季..报表类型..合并报表..单位..元","净利润..报告期..2004年报..报表类型..合并报表..单位..元","净利润..报告期..2005一季..报表类型..合并报表..单位..元","净利润..报告期..2005中报..报表类型..合并报表..单位..元","净利润..报告期..2005三季..报表类型..合并报表..单位..元","净利润..报告期..2005年报..报表类型..合并报表..单位..元","净利润..报告期..2006一季..报表类型..合并报表..单位..元","净利润..报告期..2006中报..报表类型..合并报表..单位..元","净利润..报告期..2006三季..报表类型..合并报表..单位..元","净利润..报告期..2006年报..报表类型..合并报表..单位..元","净利润..报告期..2007一季..报表类型..合并报表..单位..元","净利润..报告期..2007中报..报表类型..合并报表..单位..元","净利润..报告期..2007三季..报表类型..合并报表..单位..元","净利润..报告期..2007年报..报表类型..合并报表..单位..元","净利润..报告期..2008一季..报表类型..合并报表..单位..元","净利润..报告期..2008中报..报表类型..合并报表..单位..元","净利润..报告期..2008三季..报表类型..合并报表..单位..元","净利润..报告期..2008年报..报表类型..合并报表..单位..元","净利润..报告期..2009一季..报表类型..合并报表..单位..元","净利润..报告期..2009中报..报表类型..合并报表..单位..元","净利润..报告期..2009三季..报表类型..合并报表..单位..元","净利润..报告期..2009年报..报表类型..合并报表..单位..元","净利润..报告期..2010一季..报表类型..合并报表..单位..元","净利润..报告期..2010中报..报表类型..合并报表..单位..元","净利润..报告期..2010三季..报表类型..合并报表..单位..元","净利润..报告期..2010年报..报表类型..合并报表..单位..元","净利润..报告期..2011一季..报表类型..合并报表..单位..元","净利润..报告期..2011中报..报表类型..合并报表..单位..元","净利润..报告期..2011三季..报表类型..合并报表..单位..元","净利润..报告期..2011年报..报表类型..合并报表..单位..元","净利润..报告期..2012一季..报表类型..合并报表..单位..元","净利润..报告期..2012中报..报表类型..合并报表..单位..元","净利润..报告期..2012三季..报表类型..合并报表..单位..元","净利润..报告期..2012年报..报表类型..合并报表..单位..元","净利润..报告期..2013一季..报表类型..合并报表..单位..元","净利润..报告期..2013中报..报表类型..合并报表..单位..元","净利润..报告期..2013三季..报表类型..合并报表..单位..元","净利润..报告期..2013年报..报表类型..合并报表..单位..元","净利润..报告期..2014一季..报表类型..合并报表..单位..元","净利润..报告期..2014中报..报表类型..合并报表..单位..元","净利润..报告期..2014三季..报表类型..合并报表..单位..元","净利润..报告期..2014年报..报表类型..合并报表..单位..元","净利润..报告期..2015一季..报表类型..合并报表..单位..元","净利润..报告期..2015中报..报表类型..合并报表..单位..元","净利润..报告期..2015三季..报表类型..合并报表..单位..元","净利润..报告期..2015年报..报表类型..合并报表..单位..元","净利润..报告期..2016一季..报表类型..合并报表..单位..元","净利润..报告期..2016中报..报表类型..合并报表..单位..元","净利润..报告期..2016三季..报表类型..合并报表..单位..元","净利润..报告期..2016年报..报表类型..合并报表..单位..元","净利润..报告期..2017一季..报表类型..合并报表..单位..元","净利润..报告期..2017中报..报表类型..合并报表..单位..元","净利润..报告期..2017三季..报表类型..合并报表..单位..元","净利润..报告期..2017年报..报表类型..合并报表..单位..元"
"9","000010.SZ","建筑装饰","","","","6,849,572.9600","","",NA,"6,368,503.4300","","6,504,218.7400","","12,741,661.3400","","5,572,776.7800","","12,272,851.6700","","2,971,304.3000",NA,"14,302,056.2700","","1,077,921.2400","","23,392,717.0000","","-21,368,829.3700",NA,"-66,196,384.8800","","-2,428,061.1300","","21,423,044.5300","","1,751,427.5000","6,458,523.5200","3,034,769.0500","127,800.0000","1,192,287.5500","4,408,281.6100","32,846,171.1800","2,882,216.4400","11,055,761.8700","23,188,693.1800","37,695,750.9500","6,873,262.1500","9,090,499.2600","18,467,685.6400","10,283,122.9100","-1,652,135.6400","4,947,662.0400","6,117,629.3000","-82,664,107.2000","-428,687.4300","-15,870,818.0900","-19,760,987.8200","8,458,877.4900","-1,526,653.5000","-2,581,085.1500","-5,720,519.5700","-24,066,287.6400","1,140,901.7100","1,056,408.9800","13,878,436.1300","18,345,826.7500","2,622,985.9800","8,884,847.6500","10,555,612.9500","9,630,354.3000","-1,142,000.7300","-3,039,272.2900","357,226.9000","3,832,468.4800","-4,966,039.5600","-6,905,177.0300","1,789,181.3000","8,374,495.1900","-4,020,017.7700","-4,649,039.2500","-9,778,290.5700","3,593,386.5100","-7,848,254.9100","4,160,857.5500","3,714,969.8400","3,810,759.8000","-6,277,346.7500","-7,199,268.5400","-14,149,355.9400","-75,318,345.8000","-2,582,574.0100","943,912.1000","1,998,049.6600","32,447,064.9100","-33,163,794.9700","25,782,153.1000","21,208,658.4300","38,935,297.0200","-25,661,183.7200","-46,079,064.8200","11,966,430.2500","-1,062,479,034.7300"
"15","000018.SZ","建筑装饰","","","","32,135,577.6200","","30,269,000.0000",NA,"37,743,476.4300","","6,250,000.0000","","13,142,999.2800","","4,593,276.0000","","2,093,170.0000","","3,960,929.0000",NA,"-11,817,987.0000","","2,325,723.0900","","2,762,476.0000","","4,265,283.1800",NA,"10,917,300.0000","","3,900,776.0000","","5,063,165.0000","","2,044,227.7500","","841,358.0000","-1,199,291.0000","1,401,262.6100","1,784,899.0300","1,208,645.0000","-481,260.2000","3,317,048.3700","4,007,835.0600","1,530,600.0000","808,775.0000","1,373,913.9600","915,933.3100","417,276.0000","-3,483,034.6500","-6,225,808.5000","-21,169,021.8000","-46,016,378.0000","-4,055,136.5900","-11,330,180.0000","-24,577,981.0000","19,608,831.0000","-24,989,483.9000","-38,172,626.0000","-65,936,737.0000","-124,579,539.0000","-2,327,017.0000","-4,452,871.0000","-9,820,198.0000","-26,057,341.0000","-1,846,334.0000","-1,358,103.0000","-431,591.0000","11,713,331.0000","-3,543,538.0000","5,364,951.0000","6,296,025.0000","2,370,935.0000","-4,156,754.0000","-8,261,438.0000","-12,322,473.0000","-17,423,512.0000","-233,111.0000","-4,187,136.0000","-6,150,254.0000","-247,331.0000","-2,662,785.0000","-4,123,606.0000","-531,410.0000","7,849,904.0000","-1,144,673.0000","738,330.0000","1,173,093.0000","4,287,196.0000","-390,827.0000","-608,576.0000","242,510,558.8200","346,103,140.6800","75,979,288.1000","201,577,648.3300","302,152,708.8400","472,092,894.9500","99,244,036.2800","279,471,430.5500","423,913,305.5000","384,046,026.8300"
"43","000055.SZ","建筑装饰","","","","4,259,000.0000","","",NA,"21,358,000.0000","","","","41,734,659.1700","","45,075,521.1200","","107,352,044.2400","","75,647,752.4700",NA,"130,385,198.3000","","110,613,865.7000","","152,601,234.0000","","45,709,516.0000",NA,"69,379,012.0000","","37,742,946.0000","","72,548,242.0000","","39,478,065.0000","","-111,634,992.9200","3,342,433.0000","-42,572,769.0000","-64,472,840.0000","-134,624,538.3900","-10,082,345.0000","3,357,522.0000","8,632,790.0000","9,947,249.7500","3,340,216.2500","10,520,769.8000","17,642,886.5800","5,141,589.0600","2,055,972.9300","1,639,855.4300","2,349,292.3900","-58,461,648.4200","3,089,119.8700","9,957,386.7500","12,179,212.5100","19,811,656.8000","4,413,608.5300","26,381,454.8000","28,640,791.6900","23,498,080.5100","8,603,474.6000","19,760,681.7000","15,253,951.2200","19,222,508.5000","9,512,457.7300","27,043,148.6100","33,010,325.0100","36,936,912.1300","9,739,874.1400","30,299,235.0300","39,128,021.4800","48,286,146.3800","15,576,498.6300","44,120,100.1900","49,467,243.0100","59,380,123.2600","7,248,297.0100","1,917,235.2400","6,385,541.4500","6,443,242.3800","10,229,036.5600","37,536,039.5100","54,168,780.2900","81,400,779.5600","10,720,269.0300","39,227,378.3400","55,991,083.6000","92,689,344.6600","13,921,684.0200","44,161,114.9100","60,265,663.7500","68,215,355.2700","19,130,470.7700","48,628,261.4200","108,367,546.5000","655,990,431.9900","67,516,695.1000","227,518,243.3600","360,491,680.0000","1,151,047,221.5100"
"51","000065.SZ","建筑装饰","","","","","","",NA,"","","","","7,000,466.9300","","","","11,165,143.1800","","4,957,414.0600",NA,"11,720,935.6700","","4,105,994.7800","","13,027,142.4100","","6,893,559.0500",NA,"16,472,082.1300","","7,110,354.6400","","15,184,149.0800","","5,414,626.9000","","17,237,129.7200","4,473,600.0000","8,975,150.0900","11,651,500.0000","25,364,092.2900","3,160,356.3300","11,393,602.2300","13,780,275.8400","18,906,856.8200","2,093,013.6000","14,481,526.9600","16,699,015.1900","39,749,152.1400","3,910,285.3000","13,361,575.8300","18,471,750.9000","24,649,794.9800","8,599,289.7700","-8,663,935.6000","12,820,044.6300","10,072,649.4900","9,313,251.7900","-6,918,649.3500","-24,116,811.0400","-63,671,616.9700","-10,992,052.9800","-18,576,913.4100","-1,354,438.7000","31,673,000.3600","1,027,924.7900","21,361,934.5500","20,896,544.4500","46,603,667.1100","-14,301,230.4000","-3,176,590.5500","16,329,302.8500","49,719,465.5800","6,199,429.4500","59,615,355.1300","32,200,698.4700","85,295,595.4700","-762,840.8300","47,055,185.8200","45,426,979.0600","143,164,237.1400","-10,590,846.4400","25,757,958.2500","41,619,063.4700","195,968,635.3600","27,212,092.3600","61,877,943.4400","179,189,615.4800","224,322,733.5600","23,483,685.7800","61,085,468.4800","104,960,972.6800","230,449,596.7100","32,007,903.7000","109,505,965.3700","158,094,433.1700","528,320,281.2800","70,904,106.0100","203,567,636.7600","356,900,039.3000","543,169,145.1500"
"101","000498.SZ","建筑装饰","","","","","","",NA,"55,857,874.7800","","","","78,486,848.3000","","","","36,721,794.3700","","25,717,512.1600",NA,"63,871,671.6000","","43,742,933.1600","","54,597,712.2100","","22,794,073.3000",NA,"35,850,183.4900","","5,252,013.7300","","7,088,186.0700","","2,460,052.8600","","-88,063,914.7900","-9,545,600.0000","-42,676,142.2800","-59,890,507.6300","-98,852,382.7200","3,391,961.4700","6,941,888.8300","8,471,485.0700","49,726,961.7600","39,425,332.2000","66,203,871.3500","67,370,961.4100","44,726,041.6900","8,965,082.3700","11,063,814.0200","-45,857,990.3300","-177,580,196.4200","3,887,578.9600","8,023,396.0400","-21,476,567.6000","-367,905,014.0400","-40,381,523.6300","-62,760,533.3700","-77,303,872.6800","-605,529,882.1600","-45,370,427.2500","-89,679,984.2800","-133,879,176.7500","9,022,081.6700","-46,760,035.5400","-77,536,000.2500","-99,424,738.9300","273,916,214.7300","0.0000","-110,423.6100","-596,651.6900","597,928.7200","-373,483.8200","-793,336.6400","-1,405,626.0800","467,182.6300","-1,043,247.2900","-5,767,037.5100","-8,762,732.4400","232,214,725.6800","29,733,575.2000","109,748,079.4400","196,145,901.4600","261,781,239.6400","24,151,890.7900","91,770,934.7400","140,875,654.0900","311,886,226.7000","33,156,151.1100","118,920,804.9400","205,414,944.0100","377,696,135.3500","-2,060,060.9900","133,024,913.6000","248,643,065.9600","430,964,371.3900","27,347,304.2200","259,478,554.0000","412,591,927.2600","577,868,379.9300"
"202","000628.SZ","建筑装饰","","","","34,995,617.5000","","",NA,"40,161,165.6300","","","","41,559,529.7800","","","","49,075,543.6700","","18,756,600.6700",NA,"56,880,319.5800","","33,875,214.1700","","66,368,744.1600","","6,412,794.5200",NA,"9,559,638.5700","","9,601,676.5100","","7,264,295.6100","","14,116,864.0200","","11,126,904.1500","-14,619,661.8800","7,381,658.0900","8,050,401.3200","12,775,143.2100","-12,097,032.0900","-4,626,634.1200","-18,961,097.9300","-169,240,027.6100","3,852,244.5200","8,464,022.2900","5,736,505.1100","3,342,085.8500","4,025,315.0000","1,302,318.6400","4,666,896.5400","8,306,113.6400","2,889,852.3400","15,086,344.2200","8,732,760.7200","-168,118,232.9600","-10,996,647.7300","-18,788,098.8800","-64,951,796.1600","-285,317,453.5100","-7,971,341.8100","5,536,107.3000","6,428,387.5600","9,514,965.0500","-6,329,134.8500","-7,171,821.7900","-2,073,192.6700","13,414,609.1300","-1,610,261.6900","-7,190,272.0600","-13,697,396.6300","5,089,995.5900","-8,238,460.9600","-10,954,828.3500","-20,835,224.6200","-3,412,277.6700","-7,765,403.4700","-9,721,522.8000","-14,393,173.1700","450,776.4900","-9,527,052.5100","-2,914,008.4500","-156,233.5200","18,400,095.3600","-9,897,974.4800","-12,340,841.3200","-10,079,345.8600","-39,823,278.2200","-10,333,962.3100","-12,196,528.6700","-12,892,551.3300","49,193,359.8700","2,488,799.6300","6,189,311.6800","32,127,225.9300","33,698,433.1700","3,478,874.8900","19,086,815.2100","27,560,118.3000","29,117,917.6800"
"407","000928.SZ","建筑装饰","","","","","","",NA,"","","","","31,496,303.5300","","","","46,214,099.1500","","",NA,"65,262,785.3200","","","","85,035,428.3600","","47,212,389.1000",NA,"68,602,716.6700","","23,442,460.7000","","42,068,653.7100","","17,818,862.2000","","35,894,875.4600","-10,515,575.3100","-28,639,775.7700","-24,926,259.5500","-25,748,112.1400","988,389.6600","913,093.9400","1,296,049.7000","-1,389,805.9500","315,811.3600","858,152.7900","1,078,262.9300","-231,660,477.7300","371,780.0300","1,978,107.7000","2,350,515.7700","-186,883,969.1000","430,306.4800","2,992,604.0000","5,302,909.4100","7,424,248.9000","1,274,082.9800","1,283,850.5900","-7,651,444.8600","3,890,586.3800","2,910,325.3700","4,601,367.1000","20,868,024.7100","12,333,968.9400","1,114,463.1300","5,497,861.0500","1,578,795.3700","2,201,771.2200","73,540.8200","493,661.9300","1,401,225.8900","4,908,902.6300","1,226,944.0500","3,437,369.3500","4,800,572.2900","1,609,380.4500","-9,479,422.5900","-45,188,385.9600","-102,424,629.9200","-179,970,450.7600","-81,052,606.6600","-176,820,897.2800","-289,744,487.5300","-397,834,965.3900","-107,013,371.8800","-236,960,569.7000","75,536,559.5500","165,917,229.9700","82,559,308.0500","249,902,289.0000","371,166,022.3800","474,572,298.3700","101,782,102.9500","234,660,850.6200","372,746,773.0800","518,567,220.3000","102,090,147.2000","252,776,174.0400","327,537,750.4000","427,056,093.8000"
"511","002047.SZ","建筑装饰","","","","","","",NA,"","","","","","","","","","","",NA,"","","","","","","",NA,"","","","","","","","","","","","","47,435,785.7500","","","","70,675,606.4100","","43,695,797.5000","72,061,716.1400","97,920,149.0300","18,363,642.2700","32,310,225.9600","50,408,110.5500","54,233,761.0600","22,287,827.1400","24,147,650.2200","30,708,964.7700","32,261,390.7800","6,927,065.3200","25,834,603.4700","34,327,810.5700","51,657,607.8900","7,204,175.6900","12,113,074.6700","14,513,145.0300","26,209,393.8300","-4,078,828.4800","8,035,493.9000","38,508,312.2900","54,117,067.3100","611,904.7000","11,074,650.3100","6,801,700.3600","-21,122,496.7400","-21,142,700.4200","-50,725,151.5500","-93,268,555.9000","-130,659,065.4600","-12,033,186.9200","-26,160,960.0000","-34,040,419.6100","-77,955,012.1100","-14,079,569.1600","-13,716,899.3700","-13,737,865.6900","219,834,226.0500","43,204,076.1800","118,446,035.3400","188,803,008.2500","272,954,954.5600","54,150,948.6900","173,628,711.3200","278,958,607.5700","376,808,558.2900","55,262,588.5000","192,823,035.2400","302,243,828.2800","420,796,567.8300","69,542,669.6600","202,875,681.0200","290,956,798.1900","384,314,365.1000"
"515","002051.SZ","建筑装饰","","","","","","",NA,"","","","","","","","","","","",NA,"","","","","","","",NA,"","","","","","","","","","","","","","","","","72,041,214.1800","","","","70,563,872.5600","","50,484,397.5700","51,593,082.8200","70,885,757.8300","4,634,895.2000","45,461,796.1800","64,329,441.3500","87,600,427.6100","65,781,245.2000","82,572,796.5300","106,530,049.0500","111,446,761.8600","50,200,668.2000","96,828,831.9700","112,145,347.5200","143,623,736.0500","46,900,606.8900","91,889,510.6600","116,429,374.4900","210,124,427.7200","55,661,916.4200","117,484,557.3700","168,986,979.3900","366,349,741.5800","87,107,876.4600","163,740,949.4200","307,855,151.9500","469,456,027.5500","115,482,309.3800","278,982,750.3000","535,987,901.3500","676,311,989.8800","157,070,637.5500","352,442,581.0000","603,336,912.2600","708,711,622.3300","177,450,356.0700","408,288,835.1600","680,269,733.0900","773,126,537.8400","130,777,710.4600","314,176,221.9900","542,030,459.3100","986,320,823.3100","152,311,560.3300","378,272,807.3600","668,200,733.4800","1,231,601,290.6200","175,509,159.1500","457,434,100.1800","811,745,445.5900","1,361,804,916.0300"
"524","002060.SZ","建筑装饰","","","","","","",NA,"","","","","","","","","","","",NA,"","","","","","","",NA,"","","","","","","","","","","","","","","","","58,388,664.9700","","","","53,735,464.8300","","32,477,487.1200","40,285,856.2400","57,347,994.5900","13,377,187.0000","35,042,296.6200","49,009,477.6000","68,879,851.1600","19,155,427.4300","39,156,857.4400","55,961,185.1800","77,195,208.4700","14,683,742.3600","43,063,200.2200","55,978,722.7800","77,356,540.4400","15,409,444.4600","45,356,904.1700","62,122,518.0500","85,774,960.9000","17,545,905.4300","49,679,776.7000","66,889,455.4200","91,340,751.7900","18,032,565.5500","49,819,600.8200","57,665,744.9000","70,721,154.5000","12,608,557.0700","35,266,105.1700","43,157,644.9400","57,508,990.8300","15,067,628.3100","39,159,107.0200","47,778,168.3600","90,330,208.9900","16,982,478.3400","50,143,134.5600","67,236,638.6000","99,080,756.8500","18,746,845.3500","50,769,336.9600","68,004,800.0000","109,314,212.2400","19,030,153.2700","50,812,179.1900","66,891,635.7700","136,099,790.3100","19,759,031.7900","51,910,997.1700","72,124,011.3700","159,651,980.8000"
