"","证券代码","申万一级行业","净利润..报告期..1993一季..报表类型..合并报表..单位..元","净利润..报告期..1993中报..报表类型..合并报表..单位..元","净利润..报告期..1993三季..报表类型..合并报表..单位..元","净利润..报告期..1993年报..报表类型..合并报表..单位..元","净利润..报告期..1994一季..报表类型..合并报表..单位..元","净利润..报告期..1994中报..报表类型..合并报表..单位..元","净利润..报告期..1994三季..报表类型..合并报表..单位..元","净利润..报告期..1994年报..报表类型..合并报表..单位..元","净利润..报告期..1995一季..报表类型..合并报表..单位..元","净利润..报告期..1995中报..报表类型..合并报表..单位..元","净利润..报告期..1995三季..报表类型..合并报表..单位..元","净利润..报告期..1995年报..报表类型..合并报表..单位..元","净利润..报告期..1996一季..报表类型..合并报表..单位..元","净利润..报告期..1996中报..报表类型..合并报表..单位..元","净利润..报告期..1996三季..报表类型..合并报表..单位..元","净利润..报告期..1996年报..报表类型..合并报表..单位..元","净利润..报告期..1997一季..报表类型..合并报表..单位..元","净利润..报告期..1997中报..报表类型..合并报表..单位..元","净利润..报告期..1997三季..报表类型..合并报表..单位..元","净利润..报告期..1997年报..报表类型..合并报表..单位..元","净利润..报告期..1998一季..报表类型..合并报表..单位..元","净利润..报告期..1998中报..报表类型..合并报表..单位..元","净利润..报告期..1998三季..报表类型..合并报表..单位..元","净利润..报告期..1998年报..报表类型..合并报表..单位..元","净利润..报告期..1999一季..报表类型..合并报表..单位..元","净利润..报告期..1999中报..报表类型..合并报表..单位..元","净利润..报告期..1999三季..报表类型..合并报表..单位..元","净利润..报告期..1999年报..报表类型..合并报表..单位..元","净利润..报告期..2000一季..报表类型..合并报表..单位..元","净利润..报告期..2000中报..报表类型..合并报表..单位..元","净利润..报告期..2000三季..报表类型..合并报表..单位..元","净利润..报告期..2000年报..报表类型..合并报表..单位..元","净利润..报告期..2001一季..报表类型..合并报表..单位..元","净利润..报告期..2001中报..报表类型..合并报表..单位..元","净利润..报告期..2001三季..报表类型..合并报表..单位..元","净利润..报告期..2001年报..报表类型..合并报表..单位..元","净利润..报告期..2002一季..报表类型..合并报表..单位..元","净利润..报告期..2002中报..报表类型..合并报表..单位..元","净利润..报告期..2002三季..报表类型..合并报表..单位..元","净利润..报告期..2002年报..报表类型..合并报表..单位..元","净利润..报告期..2003一季..报表类型..合并报表..单位..元","净利润..报告期..2003中报..报表类型..合并报表..单位..元","净利润..报告期..2003三季..报表类型..合并报表..单位..元","净利润..报告期..2003年报..报表类型..合并报表..单位..元","净利润..报告期..2004一季..报表类型..合并报表..单位..元","净利润..报告期..2004中报..报表类型..合并报表..单位..元","净利润..报告期..2004三季..报表类型..合并报表..单位..元","净利润..报告期..2004年报..报表类型..合并报表..单位..元","净利润..报告期..2005一季..报表类型..合并报表..单位..元","净利润..报告期..2005中报..报表类型..合并报表..单位..元","净利润..报告期..2005三季..报表类型..合并报表..单位..元","净利润..报告期..2005年报..报表类型..合并报表..单位..元","净利润..报告期..2006一季..报表类型..合并报表..单位..元","净利润..报告期..2006中报..报表类型..合并报表..单位..元","净利润..报告期..2006三季..报表类型..合并报表..单位..元","净利润..报告期..2006年报..报表类型..合并报表..单位..元","净利润..报告期..2007一季..报表类型..合并报表..单位..元","净利润..报告期..2007中报..报表类型..合并报表..单位..元","净利润..报告期..2007三季..报表类型..合并报表..单位..元","净利润..报告期..2007年报..报表类型..合并报表..单位..元","净利润..报告期..2008一季..报表类型..合并报表..单位..元","净利润..报告期..2008中报..报表类型..合并报表..单位..元","净利润..报告期..2008三季..报表类型..合并报表..单位..元","净利润..报告期..2008年报..报表类型..合并报表..单位..元","净利润..报告期..2009一季..报表类型..合并报表..单位..元","净利润..报告期..2009中报..报表类型..合并报表..单位..元","净利润..报告期..2009三季..报表类型..合并报表..单位..元","净利润..报告期..2009年报..报表类型..合并报表..单位..元","净利润..报告期..2010一季..报表类型..合并报表..单位..元","净利润..报告期..2010中报..报表类型..合并报表..单位..元","净利润..报告期..2010三季..报表类型..合并报表..单位..元","净利润..报告期..2010年报..报表类型..合并报表..单位..元","净利润..报告期..2011一季..报表类型..合并报表..单位..元","净利润..报告期..2011中报..报表类型..合并报表..单位..元","净利润..报告期..2011三季..报表类型..合并报表..单位..元","净利润..报告期..2011年报..报表类型..合并报表..单位..元","净利润..报告期..2012一季..报表类型..合并报表..单位..元","净利润..报告期..2012中报..报表类型..合并报表..单位..元","净利润..报告期..2012三季..报表类型..合并报表..单位..元","净利润..报告期..2012年报..报表类型..合并报表..单位..元","净利润..报告期..2013一季..报表类型..合并报表..单位..元","净利润..报告期..2013中报..报表类型..合并报表..单位..元","净利润..报告期..2013三季..报表类型..合并报表..单位..元","净利润..报告期..2013年报..报表类型..合并报表..单位..元","净利润..报告期..2014一季..报表类型..合并报表..单位..元","净利润..报告期..2014中报..报表类型..合并报表..单位..元","净利润..报告期..2014三季..报表类型..合并报表..单位..元","净利润..报告期..2014年报..报表类型..合并报表..单位..元","净利润..报告期..2015一季..报表类型..合并报表..单位..元","净利润..报告期..2015中报..报表类型..合并报表..单位..元","净利润..报告期..2015三季..报表类型..合并报表..单位..元","净利润..报告期..2015年报..报表类型..合并报表..单位..元","净利润..报告期..2016一季..报表类型..合并报表..单位..元","净利润..报告期..2016中报..报表类型..合并报表..单位..元","净利润..报告期..2016三季..报表类型..合并报表..单位..元","净利润..报告期..2016年报..报表类型..合并报表..单位..元","净利润..报告期..2017一季..报表类型..合并报表..单位..元","净利润..报告期..2017中报..报表类型..合并报表..单位..元","净利润..报告期..2017三季..报表类型..合并报表..单位..元","净利润..报告期..2017年报..报表类型..合并报表..单位..元"
"47","000060.SZ","有色金属","","","","38,336,395.8800","","",NA,"34,601,442.9600","","","","40,059,328.1400","","","","38,721,889.1000","","11,284,097.6200",NA,"46,196,276.3100","","15,901,605.4800","","54,820,852.4700","","84,945,281.3600",NA,"140,428,000.0000","","86,612,091.1000","","141,579,497.3600","","45,527,209.2300","","43,836,260.0300","14,418,300.9700","36,306,237.3400","44,601,418.1700","57,437,479.6000","7,047,033.7300","35,342,422.7000","53,335,690.6900","68,019,320.0000","25,785,577.0300","67,208,095.5900","113,224,719.4200","142,392,034.8900","56,805,798.7300","124,046,874.8700","209,952,819.0600","283,771,887.6400","20,731,204.4200","424,309,868.9600","857,703,537.5500","1,126,205,434.9500","279,019,288.4100","643,317,477.6700","984,828,598.4900","1,178,588,378.2800","282,169,816.5700","617,498,011.5400","770,821,675.7900","350,882,336.9400","10,000,603.8200","112,964,029.5800","234,985,742.4900","519,942,130.3000","167,459,340.7400","376,425,807.6800","504,223,342.9400","949,987,504.4700","93,283,289.1100","432,669,752.0500","793,692,607.3200","1,093,597,488.6400","124,903,355.2200","242,697,274.9200","382,328,679.8200","533,992,385.6700","90,731,052.4100","95,865,565.5000","132,348,148.9200","421,061,684.2800","73,702,322.9900","162,542,836.6200","489,132,453.8100","550,730,005.9200","60,497,970.6000","166,704,647.1400","110,113,815.0000","260,720,534.3800","-53,833,313.5500","48,813,022.5200","175,456,852.7000","341,910,508.7600","222,034,267.3500","559,662,736.6800","878,229,681.4200","1,093,552,475.9300"
"96","000426.SZ","有色金属","","","","9,096,090.0000","","",NA,"11,943,630.0000","","","","15,736,610.0000","3,265,600.0000","12,777,000.0000","","20,523,760.4700","","16,109,367.1100",NA,"24,922,330.6200","","16,017,380.4400","","59,849,964.5100","","12,155,726.9400",NA,"68,492,924.1800","","26,597,013.5000","","63,284,070.2800","","25,087,429.8700","","62,197,719.8200","8,790,000.0000","20,427,074.8800","26,891,973.8300","69,469,642.0400","16,551,563.5900","17,451,453.1500","27,329,032.3000","51,966,060.6000","6,959,493.7000","12,109,804.6400","17,361,319.8700","21,859,641.5300","3,432,808.3500","17,415,208.0800","18,906,642.3500","24,916,942.6700","3,641,870.6400","15,024,877.1600","17,163,048.5400","22,281,428.5100","1,371,284.0000","2,485,907.9400","4,644,017.6800","9,047,286.1100","1,780,986.1000","1,117,883.1100","1,263,841.7000","-137,334,101.5600","-12,336,094.8500","112,698,426.4200","91,319,579.8400","78,096,368.2100","-8,026,875.1800","-28,276,375.2600","-48,055,409.7400","-51,386,140.3400","-6,542,863.5000","-21,413,796.5100","-44,260,955.0900","185,829,291.5600","6,399,589.6800","84,093,982.1300","110,232,589.3000","105,850,041.2300","6,765,064.3300","45,059,932.6800","58,030,154.1500","49,966,891.5400","113,417,639.4700","131,381,703.0800","169,443,348.0500","158,688,331.2000","7,837,821.9300","20,217,890.0900","21,983,675.9800","-24,849,511.3900","-3,735,047.4000","23,411,549.8500","96,778,208.1000","89,202,309.4200","92,670,568.1600","205,940,127.1100","401,138,426.0400","553,557,652.2000"
"182","000603.SZ","有色金属","","","","8,409,121.0000","","",NA,"11,321,109.0000","","","","16,882,258.0000","4,398,116.0000","8,028,914.0000","","29,079,165.7500","","13,422,339.0000",NA,"26,751,401.0000","","1,279,269.5300","","-101,914,003.6100","","1,591,676.2000",NA,"10,342.5200","","3,591,517.3200","","1,586,716.2100","","-4,159,811.6900","-7,001,168.8000","-89,328,132.9300","-2,216,746.0400","-4,936,697.1600","-7,318,165.4000","19,738,624.4400","1,438,397.8200","-1,869,861.9800","-1,735,903.0800","1,189,675.5600","785,257.6600","1,965,359.8800","315,798.3900","-21,714,345.2000","-288,576.3900","-4,070,293.3600","256,623.8300","-17,247,696.8900","488,185.2700","1,828,534.1200","2,264,738.9700","1,269,936.9600","1,004,657.1100","2,597,491.3200","3,281,868.0400","1,426,123.2400","3,081,770.8800","1,424,274.0100","4,526,513.7400","-3,405,342.6900","-96,259.1200","-1,071,755.4500","-2,106,793.3800","-3,650,948.5200","-1,133,061.8600","-2,342,436.9900","-3,565,507.7300","3,232,644.8400","-2,570,780.0300","-4,535,296.5100","-6,722,412.8200","559,243,885.8400","88,592,834.1000","237,675,879.3800","423,775,051.8800","542,777,599.1800","78,482,044.4500","238,596,082.1000","343,653,876.6900","460,833,742.4600","45,407,958.6300","138,149,151.1100","251,117,832.0700","378,214,644.2200","50,363,330.4400","215,640,788.2300","315,977,646.0100","417,473,135.1500","27,053,302.3700","120,636,835.2000","230,270,066.0100","331,431,302.0300","16,498,305.6400","139,352,583.1200","263,004,962.5500","402,745,981.0400"
"190","000612.SZ","有色金属","","","","8,367,000.0000","","",NA,"26,012,000.0000","","","","47,318,853.1800","23,860,000.0000","22,233,000.0000","","50,705,205.7600","","23,535,851.1800",NA,"45,654,812.2800","","12,924,807.8500","","7,257,050.6700","","10,148,237.8600",NA,"98,322,134.6300","","5,130,318.7500","","50,125,500.3700","","23,421,682.7600","","46,614,562.0500","7,554,455.9300","55,150,958.6500","96,202,847.3700","96,854,860.8300","15,895,554.0000","36,177,251.2300","97,550,908.5400","138,965,948.3800","56,282,350.6500","48,052,389.9100","48,147,064.4300","40,454,104.9600","6,711,966.4200","-36,859,070.3300","-76,374,081.7500","-121,899,846.3000","36,231,079.3100","127,258,183.6200","187,564,479.7700","257,122,819.8800","169,506,630.8500","373,540,973.9300","560,979,220.5100","683,675,874.2200","223,559,977.0400","422,103,211.5800","489,996,550.2300","332,726,581.9700","-31,172,004.6400","10,220,016.9500","121,266,882.9700","193,109,843.7100","183,894,327.7300","277,294,345.7500","331,808,103.7700","115,760,291.3900","60,044,818.0300","237,675,034.1100","356,646,865.7800","381,283,803.3900","27,287,716.5200","43,652,697.6400","79,039,379.2800","-15,358,550.4000","70,977,370.1900","124,446,683.3400","172,184,946.7400","260,122,706.0200","61,837,814.0500","107,187,969.8100","163,375,525.1800","356,449,994.8100","27,468,358.4600","48,269,447.3900","19,110,010.9300","-62,522,960.5300","-29,342,593.2500","91,584,077.9000","42,422,165.8300","99,223,616.8500","31,243,815.0800","107,752,269.0200","272,518,941.3200","175,731,126.6800"
"204","000630.SZ","有色金属","","","","4,754,988.0000","","",NA,"5,565,800.0000","","","","33,953,693.6300","","17,988,916.0000","","47,782,404.7100","","35,080,160.1400",NA,"69,626,235.4500","","47,824,601.1100","","109,828,945.8200","","59,885,527.1900",NA,"133,605,491.7400","","73,954,814.9900","","142,902,909.0200","","78,209,273.6800","","118,122,531.0800","35,785,410.0500","69,894,321.2300","97,853,368.4600","136,221,308.1700","41,871,455.3700","80,677,925.3500","120,763,896.0700","169,824,310.1700","91,739,397.1200","168,815,454.6100","253,091,437.9000","353,931,767.3500","146,166,911.3400","290,217,883.1600","415,027,658.6000","550,533,686.0000","158,597,713.1700","354,106,592.0100","511,408,307.7800","1,474,114,616.1100","179,627,536.9300","344,749,845.0200","933,371,258.9200","1,247,473,543.4100","325,408,660.2000","698,264,990.3900","1,062,535,057.6700","639,359,438.2000","227,238,389.4800","404,095,013.6800","589,229,915.1000","716,943,123.3500","232,126,496.8400","439,351,136.4100","639,476,752.7400","1,007,114,727.3900","303,112,385.0400","783,759,683.7800","1,084,903,932.8400","1,534,328,682.3900","273,063,389.5900","417,089,345.8300","564,581,456.9800","780,432,106.1600","155,600,074.6900","249,331,525.8400","352,179,357.9700","550,088,927.2700","70,692,527.8100","212,469,405.4600","322,653,761.0600","337,323,904.9400","68,940,942.5400","310,873,725.2700","214,790,256.3300","-729,817,245.3500","-62,287,773.7800","104,250,140.0100","190,120,575.0300","324,412,528.4000","206,480,785.4800","337,378,512.8800","570,118,367.7200","741,198,207.1100"
"207","000633.SZ","有色金属","","","","7,622,278.0000","","",NA,"6,368,167.0000","","","","6,810,973.0000","","5,329,458.0000","","8,346,158.0000","","5,400,421.0000",NA,"20,938,173.6300","","23,893,935.3600","","137,024,835.3300","","47,606,487.7400",NA,"141,388,288.8200","","33,031,455.3300","","66,408,568.4600","","22,271,427.2500","","30,254,634.4600","12,565,836.1800","23,716,428.4800","29,273,962.5100","44,624,215.7000","6,964,608.1600","51,868,399.4300","91,191,543.4400","92,467,104.0000","461,040.0300","-125,171,643.8600","-130,377,955.8900","-400,433,580.7900","-19,168,716.5800","-49,187,266.5500","-69,400,278.2500","-253,923,054.2900","-17,728,552.6200","-31,214,087.0700","-46,512,379.8500","82,486,811.1000","-14,676,136.3700","-23,330,061.4800","-26,047,697.5200","265,461,858.5100","2,929,336.7300","3,806,732.6900","3,413,332.3300","-7,321,274.0200","-6,918,603.9200","18,241,595.6300","16,170,238.0800","8,636,554.5500","-8,065,976.5000","-17,415,034.8500","10,340,571.3000","746,883.8000","-2,534,623.2700","17,713,843.6600","12,421,398.7600","6,282,577.6800","-535,474.7400","-8,474,210.8200","-12,378,942.0500","2,362,938.8400","771,102.8100","1,975,242.4900","1,124,586.9000","5,531,168.9600","-7,879,188.8600","-14,672,392.5100","-21,663,062.4300","-28,900,316.5900","-4,787,609.5800","-13,797,777.3300","-19,558,828.4200","-42,224,753.8100","-9,968,249.4800","-27,673,104.5400","-37,469,307.6000","25,189,064.5300","-7,588,171.6800","-15,376,088.3100","-19,827,776.0500","-24,993,690.9100"
"218","000657.SZ","有色金属","","","","23,780,052.6200","","",NA,"13,379,121.5400","","","","17,333,374.1200","","9,584,094.3000","","27,134,430.2600","","9,946,805.4300",NA,"25,659,280.4100","","6,519,959.1500","","52,989,389.9100","","26,199,686.1500",NA,"50,359,276.1300","","51,179,415.3700","","37,140,302.4200","","18,135,665.8800","","32,984,872.9000","6,998,748.6100","20,641,037.0800","30,445,697.1100","34,744,200.7700","6,690,928.0000","17,144,836.3100","21,831,604.5400","33,343,397.1200","5,953,200.5200","8,765,095.0000","8,515,752.0600","21,083,394.3300","1,891,327.1900","5,280,683.6200","9,353,425.0800","826,586.3900","-6,542,700.0400","-16,121,172.1300","-17,984,759.9600","-112,011,641.4800","-5,669,461.9200","-25,420,518.4200","-43,349,210.1800","-225,492,171.1300","-15,081,215.2800","-4,078,023.6000","-2,772,128.0500","-13,994,777.1000","-19,355,586.6200","-28,129,411.6700","-23,205,134.3000","-10,562,995.4000","1,343,049.1400","4,093,516.7200","6,141,356.9800","7,656,533.7300","1,689,439.7100","3,021,655.4600","4,636,927.6500","4,622,150.5800","83,356.3900","-7,815,068.1300","-33,822,881.0600","182,363,966.0000","-2,661,458.9600","3,118,196.1600","-4,092,157.7800","203,244,692.0500","-128,580,960.7400","-210,470,797.3300","-140,581,301.0200","46,741,694.6200","-84,025,343.7700","-132,722,205.9400","-166,743,038.1500","-528,125,323.2300","-21,917,173.7400","18,854,074.0800","51,300,941.4000","53,517,152.5800","37,680,509.6700","86,217,575.1800","168,110,624.6300","181,253,328.4700"
"243","000688.SZ","有色金属","","","","10,760,369.3500","","",NA,"8,242,590.5300","","","","8,933,495.6700","","","","22,496,942.7200","","22,454,852.9200",NA,"34,434,195.5600","","15,316,776.1200","","42,582,798.2300","","22,700,636.6000",NA,"44,733,565.0700","","52,341,042.5300","","94,291,813.5400","","54,760,025.6700","","14,505,742.3000","3,338,500.0000","11,757,188.1000","23,809,224.1500","18,625,072.9400","3,571,671.0900","8,827,928.9300","9,762,163.2200","11,118,449.8700","5,961,696.5200","8,472,500.3100","-11,830,267.4700","-298,316,806.9400","-38,102,338.6000","-135,742,695.4800","-349,080,180.4800","-1,637,380,265.4900","-23,550,742.4500","-29,414,809.1800","-15,780,706.7700","-478,052,974.5300","-13,705,062.0200","-26,803,348.0100","-44,478,024.9000","1,068,707,005.6600","-1,428,562.5800","-12,454,075.5900","-13,330,911.3900","-15,434,894.9500","-1,656,802.8700","-3,005,341.2700","-4,431,104.2400","-13,245,104.9400","-1,822,732.8900","-6,690,795.9300","-16,120,633.2000","-21,730,711.9500","-1,244,660.9900","-3,503,658.8700","-4,739,871.2900","1,885,583.8700","-783,031.4800","-2,511,651.3100","-5,203,185.9600","-18,890,248.1800","26,503,729.4000","128,357,497.4300","195,576,508.3100","282,250,999.8700","26,582,034.1400","94,109,317.9200","171,730,863.2000","322,605,939.4100","13,819,542.4900","95,030,697.8100","117,634,524.9800","287,958,207.0800","9,705,579.2300","60,537,549.5500","150,973,175.2200","232,746,626.0500","86,587,603.0800","240,835,872.2700","354,110,797.0400","410,459,393.5600"
"247","000693.SZ","有色金属","","","","","","",NA,"8,243,377.9200","","","","8,675,703.7000","","","","23,371,575.3800","","5,069,491.3700",NA,"15,945,774.3300","","487,118.0300","","19,357,169.6500","","18,865,643.8900",NA,"32,919,642.4500","","17,768,319.1900","","31,697,741.6700","","25,393,398.4500","","38,811,341.2600","4,844,838.1000","3,530,467.2600","6,821,681.5600","17,354,200.3000","5,799,606.9200","6,851,600.2600","14,591,850.1900","2,850,201.2700","3,963,966.7100","5,040,701.7200","8,818,272.5400","-61,957,444.0000","-23,982,242.5600","-59,467,430.8700","-89,487,842.7000","-166,729,015.0300","-31,723,659.9700","-74,901,577.2400","-93,244,462.7500","-179,820,624.2100","-25,968,377.1300","-58,033,317.7900","-84,169,372.6500","20,873,991.4800","-17,800,485.7800","-36,319,739.3600","-53,713,508.0700","3,657,414.4900","-18,935,932.2200","-36,008,165.7300","-52,065,153.7000","-68,790,476.7300","-15,693,067.7500","-32,134,513.8700","-47,747,491.3000","4,919,414.1500","-13,596,982.0500","-34,635,519.7900","-49,831,924.3700","-62,769,516.0700","-13,945,605.2700","-32,499,792.8000","-42,163,040.1600","-54,306,178.9500","-9,361,499.6600","-2,202,371.4800","47,787,311.8100","111,784,706.5300","-1,679,128.3400","69,072,510.8800","128,807,090.2500","212,254,433.1900","-7,182,166.0800","90,727,262.7200","96,170,008.9700","-155,416,362.2400","-20,088,380.7400","-53,287,756.1800","-90,747,747.6100","-404,245,347.5500","-40,615,655.6800","-74,875,513.2800","-115,494,560.0800","-2,287,795,215.8200"
"249","000697.SZ","有色金属","","","","","","",NA,"16,887,294.0000","","","","21,421,095.0000","","","","32,162,333.9800","","22,488,070.6300",NA,"83,279,759.5300","","69,799,244.3400","","136,893,957.7300","","42,313,813.6900",NA,"81,772,117.3600","","48,886,446.0700","","71,384,203.7500","","10,853,539.3900","14,181,217.0900","4,777,168.2100","3,151,381.6800","8,094,708.0800","10,089,604.3200","5,839,225.0500","4,024,075.4300","4,795,754.8500","4,531,586.7100","-6,869,601.5500","4,117,205.7100","6,351,468.1300","11,306,669.9400","234,339.6200","-327,948.3800","304,440.4000","1,067,681.1800","-180,646,656.9400","424,014.3600","1,161,266.9100","68,350,164.5600","36,710,803.3500","-1,452,489.3900","-20,027,110.6700","-34,163,261.2100","-63,316,805.3600","-7,470,366.0100","-19,593,574.0800","-29,575,397.7300","-62,161,570.9300","-9,479,103.7900","-22,221,036.2500","-29,230,729.9200","3,316,802.9100","-9,904,459.3600","-26,187,880.3300","-35,703,684.2300","-79,499,752.2900","-8,352,469.4000","-18,225,432.6000","-25,256,524.2100","-51,058,160.9100","441,732.3300","18,708,765.8100","31,091,297.7600","45,148,892.7200","3,867,110.7400","27,241,050.5200","45,779,044.6400","64,778,281.9900","3,105,317.9000","23,655,348.7500","45,701,913.3400","83,114,460.3900","3,913,239.1400","24,229,522.0400","48,145,281.9400","60,586,242.5900","-6,862,486.8100","-11,949,899.1700","-27,665,241.4000","-42,447,745.7200","-19,412,700.2300","-147,825,891.0300","-195,053,059.2000","53,258,773.7300"
