"","证券代码","申万一级行业","净利润..报告期..1993一季..报表类型..合并报表..单位..元","净利润..报告期..1993中报..报表类型..合并报表..单位..元","净利润..报告期..1993三季..报表类型..合并报表..单位..元","净利润..报告期..1993年报..报表类型..合并报表..单位..元","净利润..报告期..1994一季..报表类型..合并报表..单位..元","净利润..报告期..1994中报..报表类型..合并报表..单位..元","净利润..报告期..1994三季..报表类型..合并报表..单位..元","净利润..报告期..1994年报..报表类型..合并报表..单位..元","净利润..报告期..1995一季..报表类型..合并报表..单位..元","净利润..报告期..1995中报..报表类型..合并报表..单位..元","净利润..报告期..1995三季..报表类型..合并报表..单位..元","净利润..报告期..1995年报..报表类型..合并报表..单位..元","净利润..报告期..1996一季..报表类型..合并报表..单位..元","净利润..报告期..1996中报..报表类型..合并报表..单位..元","净利润..报告期..1996三季..报表类型..合并报表..单位..元","净利润..报告期..1996年报..报表类型..合并报表..单位..元","净利润..报告期..1997一季..报表类型..合并报表..单位..元","净利润..报告期..1997中报..报表类型..合并报表..单位..元","净利润..报告期..1997三季..报表类型..合并报表..单位..元","净利润..报告期..1997年报..报表类型..合并报表..单位..元","净利润..报告期..1998一季..报表类型..合并报表..单位..元","净利润..报告期..1998中报..报表类型..合并报表..单位..元","净利润..报告期..1998三季..报表类型..合并报表..单位..元","净利润..报告期..1998年报..报表类型..合并报表..单位..元","净利润..报告期..1999一季..报表类型..合并报表..单位..元","净利润..报告期..1999中报..报表类型..合并报表..单位..元","净利润..报告期..1999三季..报表类型..合并报表..单位..元","净利润..报告期..1999年报..报表类型..合并报表..单位..元","净利润..报告期..2000一季..报表类型..合并报表..单位..元","净利润..报告期..2000中报..报表类型..合并报表..单位..元","净利润..报告期..2000三季..报表类型..合并报表..单位..元","净利润..报告期..2000年报..报表类型..合并报表..单位..元","净利润..报告期..2001一季..报表类型..合并报表..单位..元","净利润..报告期..2001中报..报表类型..合并报表..单位..元","净利润..报告期..2001三季..报表类型..合并报表..单位..元","净利润..报告期..2001年报..报表类型..合并报表..单位..元","净利润..报告期..2002一季..报表类型..合并报表..单位..元","净利润..报告期..2002中报..报表类型..合并报表..单位..元","净利润..报告期..2002三季..报表类型..合并报表..单位..元","净利润..报告期..2002年报..报表类型..合并报表..单位..元","净利润..报告期..2003一季..报表类型..合并报表..单位..元","净利润..报告期..2003中报..报表类型..合并报表..单位..元","净利润..报告期..2003三季..报表类型..合并报表..单位..元","净利润..报告期..2003年报..报表类型..合并报表..单位..元","净利润..报告期..2004一季..报表类型..合并报表..单位..元","净利润..报告期..2004中报..报表类型..合并报表..单位..元","净利润..报告期..2004三季..报表类型..合并报表..单位..元","净利润..报告期..2004年报..报表类型..合并报表..单位..元","净利润..报告期..2005一季..报表类型..合并报表..单位..元","净利润..报告期..2005中报..报表类型..合并报表..单位..元","净利润..报告期..2005三季..报表类型..合并报表..单位..元","净利润..报告期..2005年报..报表类型..合并报表..单位..元","净利润..报告期..2006一季..报表类型..合并报表..单位..元","净利润..报告期..2006中报..报表类型..合并报表..单位..元","净利润..报告期..2006三季..报表类型..合并报表..单位..元","净利润..报告期..2006年报..报表类型..合并报表..单位..元","净利润..报告期..2007一季..报表类型..合并报表..单位..元","净利润..报告期..2007中报..报表类型..合并报表..单位..元","净利润..报告期..2007三季..报表类型..合并报表..单位..元","净利润..报告期..2007年报..报表类型..合并报表..单位..元","净利润..报告期..2008一季..报表类型..合并报表..单位..元","净利润..报告期..2008中报..报表类型..合并报表..单位..元","净利润..报告期..2008三季..报表类型..合并报表..单位..元","净利润..报告期..2008年报..报表类型..合并报表..单位..元","净利润..报告期..2009一季..报表类型..合并报表..单位..元","净利润..报告期..2009中报..报表类型..合并报表..单位..元","净利润..报告期..2009三季..报表类型..合并报表..单位..元","净利润..报告期..2009年报..报表类型..合并报表..单位..元","净利润..报告期..2010一季..报表类型..合并报表..单位..元","净利润..报告期..2010中报..报表类型..合并报表..单位..元","净利润..报告期..2010三季..报表类型..合并报表..单位..元","净利润..报告期..2010年报..报表类型..合并报表..单位..元","净利润..报告期..2011一季..报表类型..合并报表..单位..元","净利润..报告期..2011中报..报表类型..合并报表..单位..元","净利润..报告期..2011三季..报表类型..合并报表..单位..元","净利润..报告期..2011年报..报表类型..合并报表..单位..元","净利润..报告期..2012一季..报表类型..合并报表..单位..元","净利润..报告期..2012中报..报表类型..合并报表..单位..元","净利润..报告期..2012三季..报表类型..合并报表..单位..元","净利润..报告期..2012年报..报表类型..合并报表..单位..元","净利润..报告期..2013一季..报表类型..合并报表..单位..元","净利润..报告期..2013中报..报表类型..合并报表..单位..元","净利润..报告期..2013三季..报表类型..合并报表..单位..元","净利润..报告期..2013年报..报表类型..合并报表..单位..元","净利润..报告期..2014一季..报表类型..合并报表..单位..元","净利润..报告期..2014中报..报表类型..合并报表..单位..元","净利润..报告期..2014三季..报表类型..合并报表..单位..元","净利润..报告期..2014年报..报表类型..合并报表..单位..元","净利润..报告期..2015一季..报表类型..合并报表..单位..元","净利润..报告期..2015中报..报表类型..合并报表..单位..元","净利润..报告期..2015三季..报表类型..合并报表..单位..元","净利润..报告期..2015年报..报表类型..合并报表..单位..元","净利润..报告期..2016一季..报表类型..合并报表..单位..元","净利润..报告期..2016中报..报表类型..合并报表..单位..元","净利润..报告期..2016三季..报表类型..合并报表..单位..元","净利润..报告期..2016年报..报表类型..合并报表..单位..元","净利润..报告期..2017一季..报表类型..合并报表..单位..元","净利润..报告期..2017中报..报表类型..合并报表..单位..元","净利润..报告期..2017三季..报表类型..合并报表..单位..元","净利润..报告期..2017年报..报表类型..合并报表..单位..元"
"7","000008.SZ","机械设备","","9,411,240.5200","","18,851,326.3700","","10,969,185.9400",NA,"7,597,433.3900","","38,582.5300","","168,826.4500","","-8,333,225.2500","","-17,178,385.0400","","908,203.9900",NA,"7,931,160.5900","","-7,127,477.0300","","-62,623,660.0000","","8,130,724.8100",NA,"21,359,573.0000","","27,966,581.0000","","17,833,845.0000","","-17,752,796.0000","","-129,656,886.0500","-1,799,367.6600","-3,630,724.0100","-4,854,189.1100","-10,709,520.9300","-129,847.9100","-396,310.5900","366,487.2200","987,095.6500","135,363.0300","294,014.3900","731,100.1900","38,587,600.8100","485,835.8000","269,314.0400","-2,895,715.7800","-5,566,323.2200","-99,623.6800","-458,740.8400","-627,861.8500","-1,756,059.2100","1,003,699.1700","1,094,918.8400","2,180,057.9100","1,682,236.9000","257,671.1700","242,936.2700","316,739.5200","748,037.1400","-127,615.6900","-326,808.9300","-86,468.1300","313,488.7400","-60,386.4200","16,884.9900","87,709.6700","888,948.2600","-273,896.0800","-342,550.2600","-440,331.9200","-539,451.8200","-28,784.0500","53,051.7900","86,158.9500","39,129,030.5900","3,949,388.5400","10,545,210.8700","17,024,862.9900","22,757,953.9400","4,802,069.0600","8,633,415.2100","9,774,201.8800","7,766,402.6400","56,289,927.3400","77,098,560.9200","102,710,849.0300","189,909,159.6000","11,513,114.1100","41,962,130.8000","219,215,078.2900","530,541,641.3600","9,570,505.3100","62,755,454.4600","134,564,717.5000","889,609,890.1300"
"34","000039.SZ","机械设备","","","","71,286,833.0700","","46,691,549.2500",NA,"105,715,120.3000","","71,585,712.5200","","162,756,708.0200","","106,251,644.8500","","210,664,003.3100","","116,224,022.8500",NA,"252,135,739.5200","","161,409,125.6100","","295,441,473.7400","","152,147,003.7600",NA,"257,431,132.6200","","244,955,945.4300","","549,661,100.6500","","382,322,109.0600","563,504,589.9100","610,554,849.8900","76,990,000.0000","290,603,221.0600","449,773,658.7700","557,588,759.8900","131,406,386.9600","388,417,424.4600","648,374,392.8300","771,824,337.8800","214,797,931.3600","990,142,106.8200","1,867,113,903.2600","2,495,053,018.2700","942,067,876.6900","2,105,903,019.1200","2,816,081,010.9500","2,817,759,894.4000","539,319,681.1600","1,503,252,918.8000","2,313,285,895.2600","2,984,259,000.0000","598,383,286.8500","1,358,129,211.9200","1,991,933,390.4900","3,325,606,000.0000","443,656,000.0000","1,100,653,000.0000","1,811,940,000.0000","1,685,205,000.0000","442,354,000.0000","907,628,000.0000","861,688,000.0000","1,080,711,000.0000","419,502,000.0000","1,085,149,000.0000","2,572,216,000.0000","2,850,859,000.0000","1,299,035,000.0000","2,793,401,000.0000","3,380,099,000.0000","3,658,938,000.0000","410,218,000.0000","1,007,678,000.0000","1,657,658,000.0000","1,930,430,000.0000","256,242,000.0000","715,229,000.0000","1,252,976,000.0000","2,634,498,000.0000","204,638,000.0000","1,286,119,000.0000","2,016,974,000.0000","3,033,928,000.0000","533,554,000.0000","1,652,410,000.0000","1,921,421,000.0000","2,271,961,000.0000","482,720,000.0000","-541,160,000.0000","-294,162,000.0000","734,983,000.0000","618,463,000.0000","1,066,509,000.0000","1,761,404,000.0000","3,158,415,000.0000"
"68","000157.SZ","机械设备","","","","","","",NA,"","","","","","","","","","","",NA,"16,487,797.9100","","","","27,618,186.8500","","",NA,"44,064,112.9400","","28,230,785.8800","","52,865,938.8500","","54,555,671.1800","72,803,735.6600","105,086,500.1500","18,173,136.7600","83,309,582.5500","110,211,226.4300","155,003,728.9700","26,578,815.5600","101,298,888.0600","159,857,405.9600","231,424,448.1900","106,170,761.3900","253,262,547.5700","341,552,050.1900","378,962,750.0600","70,182,237.6700","164,233,567.8300","240,951,882.6300","309,454,248.1000","73,053,755.2600","258,398,576.0500","384,198,432.6000","483,850,201.5100","210,075,412.0800","514,615,092.6900","904,281,808.8900","1,331,087,759.4500","367,697,853.5800","908,723,394.5300","1,396,297,666.6500","1,593,730,509.4000","303,828,483.1100","1,102,043,229.1600","1,706,836,805.5500","2,418,821,705.2200","745,188,151.7700","2,163,364,117.0500","3,065,227,537.9800","4,587,956,477.2200","2,031,994,863.7600","4,650,743,033.3300","5,992,466,383.2800","8,173,341,830.7900","2,122,631,769.6800","5,748,867,381.9700","7,126,568,084.1500","7,528,964,114.6600","634,793,162.4300","2,988,976,741.6200","3,902,901,806.6000","3,951,881,334.2700","403,976,098.0600","922,565,250.3400","1,026,726,504.4500","627,874,768.5800","-389,848,997.5700","-334,876,720.8900","-541,611,480.7800","91,157,421.2300","-643,599,893.4800","-832,159,083.8600","-780,850,896.6400","-904,808,399.4700","101,307,780.7600","1,075,076,339.0700","1,227,464,359.4000","1,247,982,664.9000"
"83","000410.SZ","机械设备","","","","49,539,048.7900","","",NA,"57,615,487.0100","","","","42,275,460.8200","10,724,667.6800","23,592,419.6400","","67,405,345.1900","","6,762,936.9000",NA,"43,540,805.7500","","10,890,431.2500","","52,291,218.1400","","11,968,958.5600",NA,"22,530,002.7700","","10,128,719.0600","","15,105,908.6600","","14,242,104.8100","","14,489,947.1500","570,000.0000","1,158,536.6200","5,193,237.7200","-1,157,084.7400","1,152,425.2500","9,600,560.3200","18,211,029.4500","8,855,072.1100","4,560,286.3500","19,255,115.2200","38,476,961.8700","62,188,017.7800","12,428,513.6000","47,173,270.3500","89,947,452.3100","103,732,730.4800","14,107,965.6500","96,415,382.0800","123,116,526.9700","122,984,112.2800","16,847,459.5500","72,131,797.8300","93,307,763.7400","77,049,140.0100","10,750,329.3300","50,558,556.5500","40,196,049.2000","42,317,797.6800","-30,270,719.8400","-49,534,591.4000","-17,831,481.6000","52,600,786.4900","35,430,134.6300","168,767,274.5000","178,665,160.1500","139,536,804.1000","43,965,222.4700","98,395,857.7300","129,448,861.4500","110,082,113.4300","27,118,902.6600","60,308,487.8800","31,408,963.6700","33,838,540.5300","15,209,317.8200","25,237,582.8100","22,711,637.8200","34,346,678.8100","3,005,207.2800","2,512,473.8400","4,020,838.4300","22,083,615.7100","-142,677,730.5300","-266,238,317.8400","-471,589,920.6500","-639,874,048.2800","-129,798,906.3300","-456,479,471.8200","-813,848,249.9500","-1,437,441,786.5800","-269,795,109.0300","-495,382,923.7200","-780,519,519.6400","108,353,262.6000"
"95","000425.SZ","机械设备","","","","99,490,697.0000","","",NA,"37,618,411.0000","","","","31,544,951.6500","","21,252,757.0000","","38,995,399.8600","","23,719,316.3900",NA,"46,794,467.1100","","30,070,569.7900","","52,338,239.2800","","42,867,821.6200",NA,"79,968,910.8600","","40,513,087.1900","","75,812,935.0700","","43,445,868.0600","","87,617,564.3800","12,520,905.5100","45,784,522.7200","74,254,236.3600","108,194,314.7500","12,056,568.6000","69,588,312.8000","91,538,983.1600","119,585,173.0100","13,094,350.6600","59,047,814.9000","46,141,467.9400","37,293,054.9600","-36,489,074.4300","-92,889,688.3500","-81,949,198.0000","-128,251,439.9600","4,128,078.4500","1,977,781.3200","2,315,389.1800","5,937,322.2700","1,187,585.4700","20,161,997.7400","27,428,319.9300","24,606,794.6300","-13,441,307.2800","1,024,500.7100","108,426,344.8900","101,847,890.8100","-13,762,691.5400","2,543,120.2600","1,286,649,066.9100","1,712,270,366.5000","497,811,100.9900","1,374,789,645.5100","1,972,361,695.4100","2,918,403,337.1100","1,018,448,669.6100","2,228,896,940.3200","2,831,265,171.0700","3,378,595,294.2400","740,628,561.0700","1,589,871,311.0800","1,966,144,551.3700","2,465,778,646.7400","466,212,295.4900","886,660,313.4500","1,103,213,777.7700","1,547,997,146.1000","427,216,446.1300","799,578,724.2500","874,879,412.4000","406,921,838.8600","-425,466,453.1300","-25,758,157.1100","-36,438,566.7500","-62,681,546.9800","10,716,323.4600","131,493,073.3800","171,532,733.4100","216,590,513.7700","201,522,506.8600","552,298,225.5000","782,648,941.5200","1,028,762,186.7700"
"123","000528.SZ","机械设备","","","","206,916,286.0000","","17,994,826.4600",NA,"37,623,352.0000","","21,269,120.3000","","40,569,550.0000","","19,418,887.7300","","25,216,707.7800","","20,562,492.5800",NA,"25,988,688.9700","","12,117,952.3800","","7,345,350.4800","","7,660,695.4100",NA,"2,468,867.6800","","13,069,539.4300","","1,099,253.1100","","8,111,630.7500","","22,001,949.2600","11,757,894.0700","39,173,260.9100","78,452,114.4400","124,968,027.4100","53,760,788.2700","120,595,647.6900","184,961,997.3100","222,657,145.0700","108,182,105.8700","190,920,176.5400","209,701,448.3300","237,585,119.9000","59,563,796.4700","127,780,391.4000","163,135,151.6700","209,338,595.8700","75,664,239.1800","203,158,904.6200","280,767,183.0800","362,020,684.4300","106,311,218.7500","326,156,937.5200","455,989,002.1000","567,190,623.2600","139,498,820.5800","366,510,763.5500","387,398,287.4000","342,022,851.6000","151,699,781.6500","370,625,237.4000","568,329,680.0000","867,442,403.9800","389,853,725.1700","919,493,008.1800","1,264,344,071.4200","1,548,821,323.5400","612,006,898.1300","1,088,167,558.0100","1,227,939,071.4900","1,326,033,025.6200","146,663,694.8400","310,284,318.1100","331,086,360.7900","278,808,556.0700","92,351,360.9400","261,582,963.4300","282,735,584.5800","331,798,748.5400","123,689,073.2800","158,679,050.7500","176,801,706.5800","193,158,784.1500","73,254,854.1500","86,605,454.7400","22,101,673.1300","20,765,185.8700","14,938,389.4800","15,521,576.5700","5,266,093.8200","47,569,603.2600","108,042,527.8900","242,620,756.7000","278,302,792.6700","322,249,945.5200"
"125","000530.SZ","机械设备","","","","20,307,410.2700","","20,538,338.1900",NA,"40,302,304.1900","","23,520,102.8300","","44,404,291.4500","","62,053,185.3400","","101,441,963.9500","","56,815,558.5600",NA,"113,953,307.1400","","53,034,878.5600","","71,416,909.8500","","43,022,370.4300",NA,"73,473,086.4900","","37,804,011.2600","","80,497,891.8200","","42,685,219.0700","75,224,247.1100","91,768,530.7000","20,045,225.8900","34,836,793.9300","60,178,731.8400","91,002,450.7800","15,454,731.5000","43,378,825.8500","70,973,292.5600","87,915,743.8100","16,018,317.8400","44,993,259.0200","70,543,715.1300","104,075,409.9100","19,298,833.4700","44,674,301.9600","88,414,952.3600","114,342,264.3200","23,733,314.1200","53,791,193.8800","100,387,568.8200","145,045,297.2000","19,687,663.9100","58,753,227.6000","104,940,254.7800","142,220,620.9200","16,656,157.8400","71,313,127.9900","104,933,581.6200","135,628,721.5200","19,568,236.0700","67,457,710.1200","101,263,890.3800","87,717,273.1000","13,434,406.0800","77,564,504.7400","117,361,594.7300","109,590,549.1700","17,025,687.5900","101,373,885.2000","125,135,234.0500","93,460,638.4200","20,023,830.4700","68,824,074.8100","97,671,433.7100","126,044,541.2000","22,795,047.9100","67,085,019.4200","99,762,947.9600","158,961,626.0700","22,451,939.3800","69,324,088.4800","96,579,111.9800","114,519,281.7300","23,000,413.3500","64,683,180.9300","98,921,791.3300","131,215,022.1500","25,566,220.1800","67,917,706.6800","133,037,611.1800","181,929,825.7200","33,751,639.7500","98,741,333.8600","147,388,492.6600","204,556,051.8100"
"143","000551.SZ","机械设备","","9,591,800.0000","","42,559,208.5800","","23,600,405.9200",NA,"38,822,064.6700","","17,340,100.0000","","29,034,513.8300","","14,115,271.5900","","140,692,532.9800","","24,402,280.1700",NA,"10,348,901.7000","","2,673,927.1500","","-180,178.4300","","-9,824,014.3700",NA,"48,807,781.2400","","25,774,629.1000","","46,498,237.3500","","34,254,896.3300","","59,971,740.0200","12,752,794.4100","28,815,681.0700","40,617,466.4300","48,674,508.0900","12,468,379.4300","24,653,068.9200","40,271,756.1800","51,940,154.3200","15,250,367.5900","29,975,759.5900","46,019,013.4700","67,173,424.0600","12,727,823.9200","26,149,213.8900","45,229,342.0200","79,297,864.2600","18,319,862.1300","38,596,237.4500","62,873,981.7300","168,822,404.8000","15,379,116.2200","48,619,934.7600","76,114,337.8000","104,459,832.0700","21,706,521.2700","53,162,958.7000","76,965,339.3700","84,707,193.3500","12,059,857.1400","38,480,799.2100","88,254,229.7700","122,532,258.7400","18,843,237.4800","46,174,744.8700","71,082,008.1900","113,805,551.6900","31,055,909.2100","65,320,377.7400","97,002,928.6000","84,723,519.4100","20,174,463.6500","29,254,343.2200","44,053,592.8100","39,322,137.9700","25,415,626.1600","44,596,138.3200","67,361,199.5700","93,079,391.5900","27,616,705.0500","53,104,780.9000","73,665,827.6900","78,558,615.7500","22,571,329.1000","41,196,934.9700","62,968,102.3200","62,148,603.8700","23,876,476.2000","67,285,922.8600","103,061,294.2700","107,173,271.4400","32,220,703.2100","86,998,814.5500","129,455,681.8600","134,993,532.7500"
"159","000570.SZ","机械设备","","","16,244,000.0000","13,152,700.9500","","",NA,"38,933,411.4900","","86,040,953.9500","","204,310,275.4800","","125,989,704.9800","","247,434,704.7700","","139,451,353.8800",NA,"227,957,405.0300","","79,752,821.1000","","157,074,504.6200","","89,845,349.8200",NA,"107,878,684.4800","","40,890,863.0200","","29,351,457.0000","","-36,324,312.0000","","-429,903,670.0000","1,211,500.0000","-9,650,528.0000","-17,555,110.0000","-534,956,997.5700","21,113,898.0000","21,650,514.0000","30,172,239.0000","44,175,190.0000","16,673,936.6700","14,555,446.4400","27,683,202.6000","45,682,299.3200","13,531,885.4400","17,350,180.0900","24,816,149.0500","47,035,238.5300","20,061,956.2000","34,559,661.6700","52,998,932.6600","91,443,637.1900","10,797,997.6600","173,926,916.8700","199,138,017.5200","169,631,492.4100","8,358,962.8900","4,498,265.5100","-15,581,199.8600","-85,389,904.1200","33,977,643.5500","190,713,981.2700","206,990,439.5400","232,617,185.7400","40,205,826.4500","63,265,654.1300","89,625,734.4500","121,922,411.3300","25,607,155.9000","37,926,983.3900","49,523,490.2300","54,274,509.0300","14,089,822.2100","30,021,528.0800","42,875,575.4200","55,516,585.5800","18,881,169.8400","39,868,797.8400","56,937,237.3200","75,801,072.8700","19,880,414.4700","35,150,085.3400","52,064,477.1000","65,669,614.5600","17,614,643.3000","38,217,442.5600","74,976,353.4700","72,484,335.8900","24,667,455.1700","35,403,561.6700","55,627,491.3600","63,716,669.2700","35,266,070.0300","40,050,611.8700","43,305,505.8800","47,137,232.4700"
"166","000584.SZ","机械设备","","","","51,035,362.3200","","",NA,"","","13,223,436.2200","","26,454,788.1600","","8,609,973.3400","","7,006,141.9400","","3,517,652.2800",NA,"68,704,134.1900","","7,368,758.3300","","4,063,255.7700","","-35,427,062.6400",NA,"-140,939,947.4300","","2,335,937.5600","","20,660,116.1000","","1,353,329.8600","","17,834,923.3500","1,528,515.7100","4,516,860.6400","11,180,965.0300","16,488,640.7300","1,975,174.9800","4,604,477.5900","13,368,991.5800","34,007,427.3800","7,430,351.3000","15,608,839.8700","20,413,478.7000","17,265,795.9100","4,627,817.3200","-479,134.8900","-7,338,262.9600","-2,410,809.3300","3,666,223.6800","-8,677,514.7200","-23,926,515.9300","-12,380,308.5500","21,443,393.4600","167,147,009.8600","247,908,383.1100","323,141,652.8800","39,339,140.2200","94,899,418.4900","90,232,450.2000","70,357,033.9500","-2,591,698.1100","-1,610,841.2400","4,731,321.3700","30,560,605.8200","34,960,093.2200","79,381,468.3700","111,801,423.8700","162,918,685.8400","41,826,743.1600","38,621,378.1000","26,294,313.7400","11,745,623.3900","-23,458,846.5300","-39,953,600.1600","-55,519,647.7900","32,518,692.6700","123,845,821.5100","272,540,645.5600","361,733,309.1000","413,638,009.5500","57,599,317.4000","149,000,069.5300","208,951,388.3900","163,427,333.1300","39,062,489.9100","39,239,297.8600","16,123,528.0600","13,570,652.2000","-34,763,099.5900","-52,229,211.4100","-67,401,060.5300","-502,003,994.7000","-19,749,101.7800","51,672,969.2200","72,076,507.4500","115,388,121.4300"
