"","证券代码","申万一级行业","净利润..报告期..1993一季..报表类型..合并报表..单位..元","净利润..报告期..1993中报..报表类型..合并报表..单位..元","净利润..报告期..1993三季..报表类型..合并报表..单位..元","净利润..报告期..1993年报..报表类型..合并报表..单位..元","净利润..报告期..1994一季..报表类型..合并报表..单位..元","净利润..报告期..1994中报..报表类型..合并报表..单位..元","净利润..报告期..1994三季..报表类型..合并报表..单位..元","净利润..报告期..1994年报..报表类型..合并报表..单位..元","净利润..报告期..1995一季..报表类型..合并报表..单位..元","净利润..报告期..1995中报..报表类型..合并报表..单位..元","净利润..报告期..1995三季..报表类型..合并报表..单位..元","净利润..报告期..1995年报..报表类型..合并报表..单位..元","净利润..报告期..1996一季..报表类型..合并报表..单位..元","净利润..报告期..1996中报..报表类型..合并报表..单位..元","净利润..报告期..1996三季..报表类型..合并报表..单位..元","净利润..报告期..1996年报..报表类型..合并报表..单位..元","净利润..报告期..1997一季..报表类型..合并报表..单位..元","净利润..报告期..1997中报..报表类型..合并报表..单位..元","净利润..报告期..1997三季..报表类型..合并报表..单位..元","净利润..报告期..1997年报..报表类型..合并报表..单位..元","净利润..报告期..1998一季..报表类型..合并报表..单位..元","净利润..报告期..1998中报..报表类型..合并报表..单位..元","净利润..报告期..1998三季..报表类型..合并报表..单位..元","净利润..报告期..1998年报..报表类型..合并报表..单位..元","净利润..报告期..1999一季..报表类型..合并报表..单位..元","净利润..报告期..1999中报..报表类型..合并报表..单位..元","净利润..报告期..1999三季..报表类型..合并报表..单位..元","净利润..报告期..1999年报..报表类型..合并报表..单位..元","净利润..报告期..2000一季..报表类型..合并报表..单位..元","净利润..报告期..2000中报..报表类型..合并报表..单位..元","净利润..报告期..2000三季..报表类型..合并报表..单位..元","净利润..报告期..2000年报..报表类型..合并报表..单位..元","净利润..报告期..2001一季..报表类型..合并报表..单位..元","净利润..报告期..2001中报..报表类型..合并报表..单位..元","净利润..报告期..2001三季..报表类型..合并报表..单位..元","净利润..报告期..2001年报..报表类型..合并报表..单位..元","净利润..报告期..2002一季..报表类型..合并报表..单位..元","净利润..报告期..2002中报..报表类型..合并报表..单位..元","净利润..报告期..2002三季..报表类型..合并报表..单位..元","净利润..报告期..2002年报..报表类型..合并报表..单位..元","净利润..报告期..2003一季..报表类型..合并报表..单位..元","净利润..报告期..2003中报..报表类型..合并报表..单位..元","净利润..报告期..2003三季..报表类型..合并报表..单位..元","净利润..报告期..2003年报..报表类型..合并报表..单位..元","净利润..报告期..2004一季..报表类型..合并报表..单位..元","净利润..报告期..2004中报..报表类型..合并报表..单位..元","净利润..报告期..2004三季..报表类型..合并报表..单位..元","净利润..报告期..2004年报..报表类型..合并报表..单位..元","净利润..报告期..2005一季..报表类型..合并报表..单位..元","净利润..报告期..2005中报..报表类型..合并报表..单位..元","净利润..报告期..2005三季..报表类型..合并报表..单位..元","净利润..报告期..2005年报..报表类型..合并报表..单位..元","净利润..报告期..2006一季..报表类型..合并报表..单位..元","净利润..报告期..2006中报..报表类型..合并报表..单位..元","净利润..报告期..2006三季..报表类型..合并报表..单位..元","净利润..报告期..2006年报..报表类型..合并报表..单位..元","净利润..报告期..2007一季..报表类型..合并报表..单位..元","净利润..报告期..2007中报..报表类型..合并报表..单位..元","净利润..报告期..2007三季..报表类型..合并报表..单位..元","净利润..报告期..2007年报..报表类型..合并报表..单位..元","净利润..报告期..2008一季..报表类型..合并报表..单位..元","净利润..报告期..2008中报..报表类型..合并报表..单位..元","净利润..报告期..2008三季..报表类型..合并报表..单位..元","净利润..报告期..2008年报..报表类型..合并报表..单位..元","净利润..报告期..2009一季..报表类型..合并报表..单位..元","净利润..报告期..2009中报..报表类型..合并报表..单位..元","净利润..报告期..2009三季..报表类型..合并报表..单位..元","净利润..报告期..2009年报..报表类型..合并报表..单位..元","净利润..报告期..2010一季..报表类型..合并报表..单位..元","净利润..报告期..2010中报..报表类型..合并报表..单位..元","净利润..报告期..2010三季..报表类型..合并报表..单位..元","净利润..报告期..2010年报..报表类型..合并报表..单位..元","净利润..报告期..2011一季..报表类型..合并报表..单位..元","净利润..报告期..2011中报..报表类型..合并报表..单位..元","净利润..报告期..2011三季..报表类型..合并报表..单位..元","净利润..报告期..2011年报..报表类型..合并报表..单位..元","净利润..报告期..2012一季..报表类型..合并报表..单位..元","净利润..报告期..2012中报..报表类型..合并报表..单位..元","净利润..报告期..2012三季..报表类型..合并报表..单位..元","净利润..报告期..2012年报..报表类型..合并报表..单位..元","净利润..报告期..2013一季..报表类型..合并报表..单位..元","净利润..报告期..2013中报..报表类型..合并报表..单位..元","净利润..报告期..2013三季..报表类型..合并报表..单位..元","净利润..报告期..2013年报..报表类型..合并报表..单位..元","净利润..报告期..2014一季..报表类型..合并报表..单位..元","净利润..报告期..2014中报..报表类型..合并报表..单位..元","净利润..报告期..2014三季..报表类型..合并报表..单位..元","净利润..报告期..2014年报..报表类型..合并报表..单位..元","净利润..报告期..2015一季..报表类型..合并报表..单位..元","净利润..报告期..2015中报..报表类型..合并报表..单位..元","净利润..报告期..2015三季..报表类型..合并报表..单位..元","净利润..报告期..2015年报..报表类型..合并报表..单位..元","净利润..报告期..2016一季..报表类型..合并报表..单位..元","净利润..报告期..2016中报..报表类型..合并报表..单位..元","净利润..报告期..2016三季..报表类型..合并报表..单位..元","净利润..报告期..2016年报..报表类型..合并报表..单位..元","净利润..报告期..2017一季..报表类型..合并报表..单位..元","净利润..报告期..2017中报..报表类型..合并报表..单位..元","净利润..报告期..2017三季..报表类型..合并报表..单位..元","净利润..报告期..2017年报..报表类型..合并报表..单位..元"
"14","000017.SZ","汽车","","","","216,121,261.6800","","84,847,105.1600",NA,"136,438,934.8500","","71,533,153.5800","","50,526,131.5100","","8,097,693.1300","","29,794,781.6600","","8,699,845.9700",NA,"-199,788,000.6000","","-62,550,109.1100","","-654,641,766.1500","","-97,970,226.5900",NA,"199,351,525.5400","","-65,801,593.8500","","-180,361,542.4700","","-58,335,853.2600","-84,199,000.0000","-2,257,694,506.5800","-16,791,600.0000","-29,666,275.8500","-16,759,403.5800","6,602,123.7900","9,333,571.6400","1,318,957.1500","-3,807,530.4100","-33,002,301.7900","71,316.9400","256,871.8900","574,690.9200","-93,624,556.9100","-3,131,528.1700","-542,103.2900","28,172,665.7200","4,150,698.1700","-1,164,890.1000","-9,157,759.6000","-8,797,384.0700","-12,012,582.3900","35,045,104.4000","19,070,905.2400","3,368,719.6400","63,036,241.2400","3,760,110.0100","-4,286,665.4800","20,483,216.1400","-44,489,780.0000","-29,522,267.2800","-56,402,631.2500","-74,008,928.7900","-106,160,775.9000","-28,845,174.1800","-51,663,487.0400","-61,395,650.4400","64,477,414.4400","-12,150,753.1800","26,213,055.3900","21,882,997.4700","39,720,901.4600","-15,778,280.1000","-33,298,056.1900","-48,148,041.5000","-52,126,619.6500","-26,597,299.6500","-29,280,987.1600","-26,958,878.9800","1,575,858,760.0200","433,872.3200","2,361,066.8800","4,104,297.9000","5,782,999.1800","395,417.5100","592,576.8600","791,365.5800","-105,928.7700","212,639.7700","518,931.5800","2,908,599.6400","3,891,579.7300","358,045.9800","-2,127,265.8100","-1,612,794.6700","1,579,159.4700"
"21","000025.SZ","汽车","","3,673,000.0000","","63,021,359.9900","","33,010,000.0000",NA,"50,808,628.7300","","11,070,000.0000","","1,285,808.6100","","-8,380,000.0000","","-165,704,467.0900","","-27,700,000.0000",NA,"31,074,527.9900","","14,783,852.1000","","19,562,079.4100","","-26,951,946.7300",NA,"-104,334,101.5100","","-83,861,190.6800","-78,030,397.6500","-118,828,941.8700","-6,576,830.6000","-11,285,961.7800","-5,177,732.6300","7,166,289.7200","-9,208,393.0600","-9,627,409.6100","-11,285,002.4900","-36,717,560.7000","-4,327,606.4600","-551,249.4500","1,684,513.2800","9,543,682.4500","49,595.9100","-267,139.7600","3,282,491.5200","9,612,824.4000","-272,027.1800","3,232,433.8200","5,839,746.7500","7,714,082.9100","601,115.7200","3,990,012.8900","6,926,497.2600","-83,908,383.5800","-2,094,986.7600","-235,127.1400","135,706.4100","8,142,303.8900","-4,672,540.8400","-4,795,204.3800","-4,032,390.4000","1,844,898.3100","-7,742,228.5000","3,167,862.1700","2,070,837.4100","8,123,510.3800","-727,179.7400","1,710,962.8800","1,507,950.3900","3,922,307.2800","380,683.3800","371,137.0900","-2,324,598.5600","1,250,196.4100","-2,552,263.3100","-10,120,507.2200","-9,471,796.3400","971,919.1900","4,241,339.8400","2,667,181.1500","18,852,145.7700","3,017,976.2000","3,226,337.1800","4,654,809.6400","3,314,723.3700","8,566,208.1600","430,573.1500","7,308,716.5400","18,328,136.2600","42,738,043.5500","6,184,364.5700","17,969,489.1600","26,450,074.3000","27,617,932.5400","3,632,060.1500","23,401,386.7800","38,752,080.4200","65,781,568.7100"
"26","000030.SZ","汽车","","55,780,000.0000","","115,404,353.8300","","69,430,384.9100",NA,"117,784,456.5300","","34,543,859.3000","","21,349,915.4400","","23,659,200.0000","","34,134,588.2300","","18,625,800.0000",NA,"51,905,343.1100","","-135,511,879.8900","","-392,502,368.6700","","-42,730,223.2200",NA,"79,996,934.4400","","-36,771,890.2200","","28,571,741.1300","-3,354,500.0000","-7,171,500.8800","-9,759,900.0000","-986,696,953.7600","-13,189,500.0000","-27,878,142.8300","-261,690,764.9300","-566,511,231.1200","-10,754,032.9200","1,116,394.1800","-5,365,082.2300","11,945,459.5900","-9,792,142.2000","-15,235,598.8800","-20,577,742.3000","-47,061,928.4600","-5,650,824.6200","-13,537,862.8200","-15,209,965.2700","-53,285,401.5300","-7,081,633.0100","-8,080,585.3700","18,695,021.2700","18,660,262.0400","-7,381,455.9500","-16,293,079.7200","-25,221,919.4300","-22,075,217.1300","-9,577,986.6100","-12,450,326.6500","-21,328,465.7800","-85,148,819.0400","-6,663,209.9100","-13,469,451.3100","17,417,355.7500","8,102,735.4700","-6,039,799.8800","-12,406,900.8800","-18,582,119.1400","-388,775,880.0000","8,540,767.2700","1,457,274,152.8700","1,456,509,524.7800","1,456,064,213.4100","-676,708.7600","-1,462,457.3800","-2,065,885.7900","-3,689,015.6100","151,286,732.1800","309,248,672.4100","445,831,849.2000","590,379,057.1800","162,680,082.5200","354,292,513.5300","509,728,413.6100","672,414,249.3000","171,499,324.5600","306,691,076.6900","382,075,098.4100","524,945,705.6200","157,053,056.5500","375,675,500.1600","525,977,890.4800","676,619,091.9100","223,784,404.9000","440,098,968.1900","635,669,110.8200","818,894,935.4200"
"74","000338.SZ","汽车","","","","","","",NA,"","","","","","","","","","","",NA,"","","","","","","",NA,"","","","","","","","","","","","","2,470,619.1500","","","","273,936,798.6500","","","","536,869,562.4600","","","","308,028,786.3500","111,069,700.0000","590,945,951.8600","875,289,250.6600","746,241,294.7900","246,962,400.0000","1,342,827,959.6000","1,985,043,474.3100","2,798,081,221.5900","919,654,830.0100","2,089,534,695.2600","2,543,802,368.8200","2,411,819,750.2900","408,046,130.1700","1,421,631,454.4500","2,764,841,697.2200","3,947,510,205.7700","1,928,650,579.8400","3,864,843,833.4100","5,683,186,826.3100","7,999,104,331.9000","2,223,350,734.2400","4,085,216,482.1400","5,224,691,028.4100","6,319,995,658.9300","1,154,129,698.7900","2,088,842,651.1100","2,611,311,782.8800","3,234,266,548.6800","867,216,558.9900","2,289,461,537.7100","2,935,619,928.0700","3,817,636,075.5000","1,156,581,063.6600","3,994,456,310.9000","4,955,905,130.0000","5,784,495,678.7900","760,727,168.2500","1,306,136,286.5900","1,565,795,763.9500","2,162,674,130.2000","695,151,672.5200","1,601,514,174.9100","2,234,289,154.3900","3,596,253,651.2700","1,487,333,535.7400","3,476,091,143.7500","5,919,947,003.9100","9,178,366,777.8200"
"142","000550.SZ","汽车","38,872,764.4900","","160,189,079.0200","236,654,723.3300","","82,451,992.6700",NA,"135,969,906.4400","","18,175,794.0000","","8,931,635.2700","","6,331,614.9300","","49,114,971.9700","","27,764,145.7700",NA,"49,551,285.9500","","3,614,273.9500","","-43,697,049.2900","","11,370,910.7200",NA,"-179,454,833.9700","","11,542,468.5900","","60,458,749.1200","","74,379,134.2900","","108,437,626.0000","49,798,601.1900","143,424,000.0000","226,780,174.1300","310,617,243.0000","140,148,359.2100","261,775,731.0000","407,210,356.4200","487,198,476.0000","144,871,411.6000","271,908,552.0000","335,462,656.5900","416,281,620.0000","84,810,406.2100","268,921,604.0000","465,168,894.0000","516,705,602.0000","234,268,553.5400","453,790,253.0000","573,539,355.9400","656,158,665.0000","140,523,281.9800","410,162,851.0000","640,844,157.3800","775,460,128.0000","196,649,741.0700","537,138,252.0000","642,448,696.4000","797,377,658.0000","189,318,903.5700","451,659,221.0000","792,958,221.2500","1,080,152,177.0000","499,208,010.0100","1,058,042,643.0000","1,475,375,530.4300","1,747,015,738.0000","563,575,880.1100","1,103,323,277.0000","1,510,673,185.6200","1,900,830,822.0000","479,190,779.5300","857,526,991.0000","1,197,259,036.2700","1,539,811,542.0000","519,138,878.5500","956,763,284.0000","1,278,328,543.6700","1,717,491,887.0000","598,646,638.1000","1,164,376,621.0000","1,530,940,620.9900","2,107,852,075.0000","574,049,929.1600","1,081,532,259.0000","1,540,398,485.2400","2,222,061,095.0000","413,564,144.0000","704,516,677.0000","1,093,553,383.0000","1,318,016,125.0000","228,607,698.0000","552,903,090.0000","643,530,926.0000","690,938,249.0000"
"150","000559.SZ","汽车","","","","26,806,573.0000","","20,444,700.3700",NA,"40,519,771.4800","","17,022,525.6800","","39,712,387.3700","","27,799,985.6800","","58,385,739.4800","","53,715,957.1100",NA,"93,641,194.0900","","56,777,870.5000","","101,637,377.8900","","64,380,941.5900",NA,"119,607,564.2800","","81,059,014.5600","","146,386,220.9600","","93,836,434.0300","84,996,544.1500","135,099,075.4800","32,868,518.5300","84,831,655.9600","112,360,464.5400","158,430,032.5500","40,421,918.2900","95,556,264.5100","123,997,930.4600","171,225,188.4200","51,929,330.5400","79,319,824.2600","132,926,100.0900","190,623,498.1400","56,549,499.7100","92,917,124.1800","137,605,008.2900","184,669,520.8700","59,323,010.1500","103,331,515.7200","157,979,721.2300","229,268,417.7400","89,084,846.3000","176,304,055.0100","239,240,695.2900","385,181,392.7500","103,278,018.6400","188,032,788.6900","258,349,425.6200","327,161,761.1500","76,533,522.6200","123,927,638.7700","200,877,172.1100","300,857,067.3200","122,396,018.1600","242,127,657.8200","329,825,062.2000","472,391,957.1000","137,678,534.9100","274,959,738.9400","375,341,146.9800","509,409,065.4500","100,865,712.3400","176,441,678.5600","241,640,925.4300","381,741,054.2800","122,992,213.4500","226,025,087.3100","334,423,570.4600","603,613,855.8800","202,227,119.3800","395,302,136.4900","574,160,080.3700","782,254,920.1300","224,212,600.3000","490,112,458.9000","617,460,027.2200","838,530,907.4300","248,555,923.0600","516,762,635.7200","666,192,517.9200","890,515,058.7800","253,555,709.6100","471,435,428.8500","659,359,423.0500","923,541,531.9600"
"161","000572.SZ","汽车","","","","52,366,302.0700","","43,838,253.8300",NA,"69,058,560.8800","","8,490,864.6700","","-55,463,608.1900","","495,311.2500","","16,615,011.2000","","578,361.2700",NA,"1,055,551.5500","","-29,131,359.6300","","-70,109,556.3100","","-4,758,435.8500",NA,"1,515,493.4800","","-18,453,744.4300","","1,127,418.7500","","420,370.8900","","-104,882,010.0000","-2,559,529.2500","-3,050,567.3400","-5,087,273.1700","-45,930,827.0200","-2,105,911.1400","-1,802,392.7600","-1,127,007.7500","9,545,016.4600","13,891,398.4700","15,391,428.9800","28,740,471.6800","43,201,131.1300","23,671,869.5100","40,055,531.5900","64,716,148.5700","78,393,760.5100","19,750,733.0700","38,940,748.4100","61,564,148.8400","122,732,673.0200","162,604,371.5900","491,448,482.5400","713,871,280.0600","870,533,024.6100","93,361,709.5500","77,477,753.3700","1,204,782.9300","2,553,882.9300","-73,658,360.6800","-191,740,051.9900","-374,558,836.3500","-512,140,849.5600","95,464,157.8600","253,748,826.7300","389,844,681.8000","509,479,023.3400","140,290,956.9600","286,038,509.2500","538,250,278.5900","550,498,090.5700","75,522,425.5600","172,571,058.4400","221,638,991.1600","410,210,460.3300","96,052,190.9000","259,615,789.8200","383,272,639.9500","561,339,339.5000","94,869,071.7900","161,258,099.8800","182,740,147.5900","268,680,856.6000","143,473,589.7400","215,368,230.5800","105,655,112.7600","102,004,898.6400","43,684,053.7400","112,561,885.1900","97,849,162.8700","12,967,237.8400","68,136,068.3700","22,159,760.9600","-85,395,126.9900","-1,415,246,495.7300"
"164","000581.SZ","汽车","","","","","","",NA,"","","","","62,976,000.0000","","33,204,000.0000","","67,387,576.9900","","32,930,000.0000",NA,"75,037,285.6100","","48,358,000.0000","","81,441,134.5700","","76,751,514.4500",NA,"106,548,167.8100","","77,870,866.4700","","133,706,891.1500","","94,075,916.1300","","154,187,077.8400","44,764,100.0000","105,651,813.9300","154,872,557.2000","207,235,481.8700","60,087,501.2100","113,748,110.2100","172,446,310.4700","246,428,577.3900","81,227,273.2700","134,367,446.1800","176,478,763.5400","240,889,060.4600","108,893,723.5600","177,142,598.3700","207,806,871.5700","223,655,543.8900","66,951,884.1200","101,762,465.1100","98,612,251.3000","127,149,319.2100","52,986,685.7100","111,201,996.6100","143,477,011.4800","266,030,173.7900","36,591,934.7500","137,584,044.9900","172,069,697.1700","206,807,176.9200","-29,511,823.1000","94,205,645.6000","237,061,417.1100","463,700,678.2200","122,772,602.0100","336,493,255.0900","643,201,954.4600","1,381,360,613.1400","305,182,689.6400","674,352,267.2600","895,866,048.4100","1,255,510,857.8900","259,056,588.4900","472,944,324.4000","644,357,882.2700","934,237,292.2100","268,867,158.3600","554,035,707.6500","838,113,973.5700","1,154,293,532.9500","442,770,827.4500","870,320,027.1600","1,278,775,287.8600","1,589,077,322.3300","445,950,852.2900","1,070,089,476.5800","1,329,357,415.5300","1,552,764,212.2000","418,652,059.9000","974,748,962.3200","1,354,511,143.4900","1,726,004,780.5200","667,949,637.7200","1,368,367,366.0300","1,912,914,391.3900","2,647,209,924.5800"
"197","000622.SZ","汽车","","","","6,794,472.7800","","",NA,"3,787,157.5800","","","","7,451,635.9800","","8,004,096.2100","","16,894,197.0000","","14,608,184.0700",NA,"21,567,392.4600","","10,035,958.3300","","27,316,711.0400","","6,180,043.1900",NA,"22,957,622.6500","","5,344,212.5900","","18,398,784.5700","","4,536,522.6000","","9,592,783.3500","-3,978,506.7300","3,843,512.1100","5,806,567.8100","6,187,587.2200","806,852.2200","4,275,294.6600","3,561,275.9500","-14,076,117.4600","711,970.0500","1,455,352.6300","-3,275,676.6700","-148,539,221.9400","-13,474,806.5200","-35,380,772.8100","-51,450,965.8700","-159,479,142.7800","-10,332,545.5900","-40,978,467.0800","-58,673,740.5200","6,490,554.6900","-5,113,570.9800","-18,174,849.4400","-26,846,783.0200","4,275,561.8000","-4,123,527.0300","-12,754,719.4000","-16,703,084.3000","4,479,054.5700","-3,619,220.8400","-2,361,558.1200","-3,576,825.8700","3,515,243.1200","-3,225,641.9200","-10,191,358.5800","-10,629,277.8500","-27,075,189.3000","-1,781,107.7000","-8,507,483.8100","-11,992,628.6400","-33,727,357.5200","-1,564,949.5400","-4,069,590.2800","-3,315,591.8900","7,940,492.4800","-1,055,797.6400","-4,529,968.5900","-6,771,879.6500","11,012,458.2100","-4,491,058.9700","-10,024,454.9900","-18,140,301.6000","-40,052,112.2000","-7,141,746.3800","-16,796,452.2500","-25,693,444.5800","-52,366,818.8700","-4,250,409.4000","-12,219,130.7700","-22,048,101.3700","43,574,021.8100","-3,372,089.4200","-8,777,112.5500","-14,275,741.6500","-36,697,815.3200"
"199","000625.SZ","汽车","","","","","","",NA,"197,898,000.0000","","","","245,229,000.0000","","","","217,558,000.0000","","125,906,000.0000",NA,"200,109,000.0000","","63,973,173.7900","","16,572,000.0000","","56,170,000.0000",NA,"179,749,000.0000","","54,280,000.0000","","222,198,513.4900","","122,987,173.6900","","242,989,096.0000","71,530,000.0000","147,302,259.0000","466,091,084.0000","917,953,857.0000","353,399,233.0000","825,260,394.0000","1,208,769,815.0000","1,561,615,032.0000","432,203,505.0000","886,441,378.0000","1,158,244,518.0000","1,449,758,576.0000","216,841,104.0000","347,950,728.0000","260,369,433.0000","313,981,803.0000","232,403,030.0000","388,387,912.0000","452,333,520.0000","473,941,498.8100","173,766,757.0000","456,746,503.0000","536,715,556.0000","633,972,779.5900","263,196,865.1900","444,443,008.0000","340,374,881.0000","17,931,061.9100","27,733,306.6700","537,393,785.0000","849,392,104.0000","1,085,756,980.6500","790,723,189.0600","1,348,977,558.2900","1,723,232,542.0800","2,005,747,148.9900","717,667,254.9400","1,034,740,123.6100","885,440,845.1600","925,649,313.3300","128,184,586.5900","550,767,101.1300","726,431,472.3200","1,415,007,655.2100","545,037,138.9500","1,317,978,837.7700","2,252,626,560.6900","3,468,492,349.6600","1,964,057,867.6400","3,615,827,815.1100","5,438,840,956.1500","7,517,978,935.6200","2,478,269,399.6200","5,057,736,239.1900","6,700,249,194.2800","9,922,553,536.0800","2,660,234,013.8800","5,476,751,600.3800","7,724,128,543.2500","10,276,594,658.8400","2,390,878,919.9200","4,667,462,601.5500","5,849,079,377.8700","7,208,437,270.0600"
