"","证券代码","申万一级行业","净利润..报告期..1993一季..报表类型..合并报表..单位..元","净利润..报告期..1993中报..报表类型..合并报表..单位..元","净利润..报告期..1993三季..报表类型..合并报表..单位..元","净利润..报告期..1993年报..报表类型..合并报表..单位..元","净利润..报告期..1994一季..报表类型..合并报表..单位..元","净利润..报告期..1994中报..报表类型..合并报表..单位..元","净利润..报告期..1994三季..报表类型..合并报表..单位..元","净利润..报告期..1994年报..报表类型..合并报表..单位..元","净利润..报告期..1995一季..报表类型..合并报表..单位..元","净利润..报告期..1995中报..报表类型..合并报表..单位..元","净利润..报告期..1995三季..报表类型..合并报表..单位..元","净利润..报告期..1995年报..报表类型..合并报表..单位..元","净利润..报告期..1996一季..报表类型..合并报表..单位..元","净利润..报告期..1996中报..报表类型..合并报表..单位..元","净利润..报告期..1996三季..报表类型..合并报表..单位..元","净利润..报告期..1996年报..报表类型..合并报表..单位..元","净利润..报告期..1997一季..报表类型..合并报表..单位..元","净利润..报告期..1997中报..报表类型..合并报表..单位..元","净利润..报告期..1997三季..报表类型..合并报表..单位..元","净利润..报告期..1997年报..报表类型..合并报表..单位..元","净利润..报告期..1998一季..报表类型..合并报表..单位..元","净利润..报告期..1998中报..报表类型..合并报表..单位..元","净利润..报告期..1998三季..报表类型..合并报表..单位..元","净利润..报告期..1998年报..报表类型..合并报表..单位..元","净利润..报告期..1999一季..报表类型..合并报表..单位..元","净利润..报告期..1999中报..报表类型..合并报表..单位..元","净利润..报告期..1999三季..报表类型..合并报表..单位..元","净利润..报告期..1999年报..报表类型..合并报表..单位..元","净利润..报告期..2000一季..报表类型..合并报表..单位..元","净利润..报告期..2000中报..报表类型..合并报表..单位..元","净利润..报告期..2000三季..报表类型..合并报表..单位..元","净利润..报告期..2000年报..报表类型..合并报表..单位..元","净利润..报告期..2001一季..报表类型..合并报表..单位..元","净利润..报告期..2001中报..报表类型..合并报表..单位..元","净利润..报告期..2001三季..报表类型..合并报表..单位..元","净利润..报告期..2001年报..报表类型..合并报表..单位..元","净利润..报告期..2002一季..报表类型..合并报表..单位..元","净利润..报告期..2002中报..报表类型..合并报表..单位..元","净利润..报告期..2002三季..报表类型..合并报表..单位..元","净利润..报告期..2002年报..报表类型..合并报表..单位..元","净利润..报告期..2003一季..报表类型..合并报表..单位..元","净利润..报告期..2003中报..报表类型..合并报表..单位..元","净利润..报告期..2003三季..报表类型..合并报表..单位..元","净利润..报告期..2003年报..报表类型..合并报表..单位..元","净利润..报告期..2004一季..报表类型..合并报表..单位..元","净利润..报告期..2004中报..报表类型..合并报表..单位..元","净利润..报告期..2004三季..报表类型..合并报表..单位..元","净利润..报告期..2004年报..报表类型..合并报表..单位..元","净利润..报告期..2005一季..报表类型..合并报表..单位..元","净利润..报告期..2005中报..报表类型..合并报表..单位..元","净利润..报告期..2005三季..报表类型..合并报表..单位..元","净利润..报告期..2005年报..报表类型..合并报表..单位..元","净利润..报告期..2006一季..报表类型..合并报表..单位..元","净利润..报告期..2006中报..报表类型..合并报表..单位..元","净利润..报告期..2006三季..报表类型..合并报表..单位..元","净利润..报告期..2006年报..报表类型..合并报表..单位..元","净利润..报告期..2007一季..报表类型..合并报表..单位..元","净利润..报告期..2007中报..报表类型..合并报表..单位..元","净利润..报告期..2007三季..报表类型..合并报表..单位..元","净利润..报告期..2007年报..报表类型..合并报表..单位..元","净利润..报告期..2008一季..报表类型..合并报表..单位..元","净利润..报告期..2008中报..报表类型..合并报表..单位..元","净利润..报告期..2008三季..报表类型..合并报表..单位..元","净利润..报告期..2008年报..报表类型..合并报表..单位..元","净利润..报告期..2009一季..报表类型..合并报表..单位..元","净利润..报告期..2009中报..报表类型..合并报表..单位..元","净利润..报告期..2009三季..报表类型..合并报表..单位..元","净利润..报告期..2009年报..报表类型..合并报表..单位..元","净利润..报告期..2010一季..报表类型..合并报表..单位..元","净利润..报告期..2010中报..报表类型..合并报表..单位..元","净利润..报告期..2010三季..报表类型..合并报表..单位..元","净利润..报告期..2010年报..报表类型..合并报表..单位..元","净利润..报告期..2011一季..报表类型..合并报表..单位..元","净利润..报告期..2011中报..报表类型..合并报表..单位..元","净利润..报告期..2011三季..报表类型..合并报表..单位..元","净利润..报告期..2011年报..报表类型..合并报表..单位..元","净利润..报告期..2012一季..报表类型..合并报表..单位..元","净利润..报告期..2012中报..报表类型..合并报表..单位..元","净利润..报告期..2012三季..报表类型..合并报表..单位..元","净利润..报告期..2012年报..报表类型..合并报表..单位..元","净利润..报告期..2013一季..报表类型..合并报表..单位..元","净利润..报告期..2013中报..报表类型..合并报表..单位..元","净利润..报告期..2013三季..报表类型..合并报表..单位..元","净利润..报告期..2013年报..报表类型..合并报表..单位..元","净利润..报告期..2014一季..报表类型..合并报表..单位..元","净利润..报告期..2014中报..报表类型..合并报表..单位..元","净利润..报告期..2014三季..报表类型..合并报表..单位..元","净利润..报告期..2014年报..报表类型..合并报表..单位..元","净利润..报告期..2015一季..报表类型..合并报表..单位..元","净利润..报告期..2015中报..报表类型..合并报表..单位..元","净利润..报告期..2015三季..报表类型..合并报表..单位..元","净利润..报告期..2015年报..报表类型..合并报表..单位..元","净利润..报告期..2016一季..报表类型..合并报表..单位..元","净利润..报告期..2016中报..报表类型..合并报表..单位..元","净利润..报告期..2016三季..报表类型..合并报表..单位..元","净利润..报告期..2016年报..报表类型..合并报表..单位..元","净利润..报告期..2017一季..报表类型..合并报表..单位..元","净利润..报告期..2017中报..报表类型..合并报表..单位..元","净利润..报告期..2017三季..报表类型..合并报表..单位..元","净利润..报告期..2017年报..报表类型..合并报表..单位..元"
"189","000611.SZ","纺织服装","","","","10,907,781.0000","","",NA,"16,479,039.0000","","","","18,729,432.3100","","12,940,417.0000","","25,684,278.8000","","10,420,277.1500",NA,"25,993,718.4100","","10,026,874.0900","","14,727,284.2000","","3,582,757.1300",NA,"-2,499,451.4700","","-1,092,726.7900","","-2,655,728.0800","","-7,970,199.2800","","-56,129,832.2400","-874,322.1000","-15,569,160.1200","13,835,186.1400","30,626,333.0200","4,904,631.7200","7,073,588.7700","12,182,269.8000","21,706,738.1200","3,904,818.1600","10,304,831.9200","14,276,506.3000","22,227,363.9800","2,518,050.6800","6,596,365.2300","12,429,869.1400","21,711,176.9600","5,307,182.6900","11,648,322.0000","19,485,096.6100","28,719,425.2600","6,504,629.9300","14,595,448.5700","28,791,347.0800","38,875,942.2200","6,788,428.6900","16,509,887.5000","28,343,666.6600","21,623,941.3500","6,046,182.8800","14,429,359.1100","21,411,827.6900","21,465,664.1200","6,853,358.9900","17,774,274.3000","28,972,427.4500","32,929,115.6300","3,337,412.0100","6,142,454.9000","1,212,176.3400","6,099,524.6600","-1,151,708.1900","556,650.4400","1,120,672.4100","-46,122,297.5800","-4,210,120.6800","1,410,651.4900","6,694,094.9200","11,398,700.3400","-222,577.9100","-12,257,310.2700","-16,265,172.0000","-50,238,467.7400","-7,272,145.4100","-21,729,306.6600","-22,525,445.6900","-356,061,156.2100","-7,682,096.2000","-17,631,382.9600","-24,734,330.4000","5,128,884.6700","-1,395,605.4400","-8,380,822.6900","-9,727,167.9700","-21,527,840.6500"
"273","000726.SZ","纺织服装","","","","","","",NA,"6,092,829.8300","","","","16,670,632.9800","","","","27,343,566.7700","","19,446,131.4200",NA,"40,436,936.4000","","26,430,966.3200","","52,427,905.0600","","36,425,360.6900",NA,"64,418,226.6100","","43,506,859.5500","","86,433,629.9300","","59,777,931.4800","95,595,751.0500","113,965,361.8300","28,388,452.1200","69,378,519.2900","106,738,474.4200","128,303,097.5900","44,564,628.1200","92,205,294.0800","146,412,402.4100","193,944,755.2300","78,718,165.4400","144,127,690.3700","210,099,070.4000","287,878,398.6600","80,167,112.0000","173,257,892.3300","268,206,517.7400","333,128,327.2100","80,451,937.6100","178,163,368.6400","269,961,536.7300","356,989,306.7600","99,218,839.7200","221,114,923.6500","335,114,383.3800","483,723,094.4700","145,141,497.9200","293,458,515.5600","503,327,587.9700","514,814,583.2500","121,069,580.3400","267,345,836.5700","422,850,532.5200","603,736,257.9600","152,600,347.2000","392,528,777.3700","622,825,513.2400","815,053,109.9600","223,226,301.5000","525,143,315.6100","751,916,160.7800","892,071,216.4100","116,795,696.0300","308,349,593.6300","466,760,370.5100","715,850,368.7500","200,068,522.5600","429,559,997.7800","697,817,089.9800","1,039,811,812.7800","219,701,774.0200","481,537,123.3200","716,071,868.8600","979,377,181.5700","152,004,531.2800","345,410,247.3200","560,833,290.9000","735,543,028.7700","151,183,204.0400","342,657,085.4400","592,127,393.0800","853,073,450.1200","165,884,697.3400","409,897,429.1000","619,575,544.2100","883,319,109.6000"
"303","000779.SZ","纺织服装","","","","","","",NA,"16,522,913.0000","","","","22,176,447.0000","","","","24,088,292.0000","","18,116,082.3200",NA,"36,553,805.0000","","18,340,472.3600","","27,816,322.4800","","10,247,472.2800",NA,"64,913,844.3000","","22,824,970.4700","","56,152,821.1500","","9,910,876.4500","15,602,332.9800","18,931,349.7800","914,400.0000","4,101,218.0600","9,749,260.8600","20,202,872.2500","1,178,088.0000","3,988,522.4800","5,309,498.7900","24,223,392.7700","3,280,619.0600","12,357,437.3100","21,055,954.6800","-368,786,463.7700","303,957.9700","10,719,368.2000","12,358,769.1400","-103,665,568.9800","1,506,121.0000","4,393,406.6200","4,872,736.6800","8,220,950.4800","1,746,472.5000","4,438,718.3500","6,264,701.7800","27,002,790.8600","-559,495.7400","4,197,222.4500","4,755,740.6800","29,291,680.0400","-10,818,784.6200","-14,553,390.7600","-16,596,005.6400","5,252,147.9200","-6,360,280.2100","-10,820,283.2100","2,312,923.3300","6,139,844.6900","-3,898,981.5600","-6,560,268.4500","27,770,115.4100","7,497,814.3200","-2,889,231.7300","-2,828,056.1400","-4,358,838.0900","-12,858,939.3900","-6,458,796.2100","-13,476,600.1000","-19,809,638.7800","-33,248,506.1700","-11,456,225.2100","-14,465,065.4300","6,070,036.3300","10,050,925.2800","-9,935,844.6900","-17,285,406.7900","-23,058,434.0700","-79,062,776.9200","-15,564,197.3200","-33,427,139.9400","-48,220,101.8700","13,141,277.8200","-12,869,719.2100","34,934,483.2600","88,721,097.6500","79,250,626.7400"
"352","000850.SZ","纺织服装","","","","","","",NA,"","","","","30,136,956.0000","","","","38,313,003.1500","","",NA,"35,943,380.1900","","21,499,815.7000","","43,605,342.1400","","27,188,623.0900",NA,"62,373,833.0000","","53,803,785.0400","","105,346,117.6600","","70,520,694.6500","78,821,196.3000","95,458,099.4100","14,172,400.0000","36,533,185.8400","63,234,318.4600","71,990,775.1400","12,569,410.4000","32,209,985.1200","49,651,901.9800","58,961,090.6800","18,090,806.1400","28,227,092.5400","29,535,299.9600","28,414,617.5800","17,467,967.9900","33,059,477.2000","43,526,849.4200","54,636,042.2700","14,589,071.8600","27,156,803.4000","40,621,194.6400","88,963,242.2400","16,793,942.5700","37,674,151.3800","51,520,153.3600","146,820,416.4000","11,721,213.1700","55,118,959.1000","119,103,663.1300","137,336,216.6500","25,113,784.7600","28,653,557.1100","22,254,731.1900","65,091,508.4800","16,472,381.7500","63,691,802.0400","104,102,919.8200","366,691,247.6900","252,701,987.2600","359,482,384.6200","383,222,571.7700","296,974,177.0800","71,690,617.9700","289,719,048.3400","258,313,054.3200","332,322,386.1600","125,824,647.6200","169,742,575.0000","169,970,868.3800","175,622,631.8900","17,553,728.0300","21,855,560.9400","15,125,992.4200","356,963,038.3500","75,183,039.7600","124,003,253.4900","99,875,759.2400","44,852,167.0000","8,315,716.4800","65,300,093.7600","43,778,358.8700","64,611,852.0400","6,625,751.1600","3,344,412.3300","10,835,073.0500","82,714,070.1600"
"424","000955.SZ","纺织服装","","","","","","",NA,"","","","","","","","","27,255,772.4700","","",NA,"34,772,945.2600","","","","30,883,550.7300","","18,090,788.0000",NA,"46,388,495.1700","","3,848,139.2900","","15,373,597.6600","","12,890,288.2900","","16,664,685.0800","981,228.7900","4,135,202.5900","5,475,548.0900","7,820,512.8200","1,240,104.4200","6,592,740.2500","7,492,529.3400","6,044,579.2500","1,102,395.5500","4,454,862.1600","4,420,556.6300","744,673.9500","404,027.2500","1,693,938.0700","770,993.2900","946,772.6400","440,581.5500","2,901,101.7100","2,872,989.6300","642,794.5100","446,272.1200","-7,393,129.6900","-16,208,533.7800","-62,229,655.6900","-5,842,683.4600","-10,278,406.9500","-19,314,575.8900","-140,335,783.3100","-5,822,850.4700","-7,633,279.9600","-5,865,693.7500","2,585,977.6800","-4,644,702.7800","-12,420,932.7000","-18,385,563.1100","1,525,887.3500","-4,206,055.7300","-6,689,454.3100","-13,621,091.7100","-30,859,068.1900","-2,859,860.6800","-4,168,480.3400","-8,714,548.5700","590,892.3600","468,861.4800","-9,797,965.4400","-18,982,242.9100","-53,584,214.1100","-5,395,614.3300","-12,187,104.1200","-8,395,489.3700","4,753,370.7600","-10,185,175.5700","-19,457,014.9400","-27,423,354.7800","-78,242,070.5700","-8,900,379.9000","-13,444,411.7300","-20,377,960.2800","27,837,143.4100","1,392,166.3700","-34,195,846.6300","-46,125,289.7800","44,472,908.1500"
"448","000982.SZ","纺织服装","","","","","","",NA,"","","","","","","","","","","",NA,"8,386,764.4200","","","","18,662,307.7700","","10,666,224.7300",NA,"21,638,130.5500","","2,124,355.8900","","29,106,909.9800","","12,743,958.0100","","26,068,028.6200","3,258,903.0100","4,446,948.8900","4,696,781.7500","12,618,977.1400","-8,242,189.7000","-25,819,587.5500","-32,922,286.3100","8,269,904.2000","-3,543,729.2000","7,014,077.4600","25,233,647.9300","9,461,644.4100","-7,125,199.4600","-20,988,740.3900","-40,253,648.0900","-181,355,234.1600","-16,911,588.1900","-35,740,360.2200","-37,853,041.5200","-79,181,631.6500","-12,180,600.5200","-16,629,578.5500","-16,169,124.2400","97,912,810.9000","137,867.2100","3,728,458.0900","18,198,745.5100","32,137,798.3800","581,010.4900","5,318,240.2800","21,745,768.8500","39,055,148.6600","6,064,487.0200","33,462,048.4100","51,334,456.8300","74,542,433.8900","18,384,674.6500","66,441,517.3600","123,558,822.7700","166,325,769.4400","57,407,079.7700","136,196,069.6000","210,573,352.7400","279,364,783.8500","91,081,310.2700","181,319,853.7600","281,080,578.7300","281,182,557.5200","55,265,428.5800","112,320,263.2500","152,223,907.0800","89,483,813.9800","5,184,653.9700","13,547,790.3000","19,081,798.9700","-876,459,038.4900","-91,078,257.8400","-292,889,420.4600","-322,487,710.1600","-1,061,437,144.3100","-149,082,685.4300","-310,629,209.3400","-385,369,030.7600","46,993,342.0100"
"467","002003.SZ","纺织服装","","","","","","",NA,"","","","","","","","","","","",NA,"","","","","","","",NA,"","","","","","","","","15,919,213.9300","","","","18,410,774.1700","","6,570,934.4700","15,290,288.0100","20,306,938.4400","1,957,655.3500","9,203,166.8000","21,347,185.8300","25,821,586.1100","3,959,286.1600","14,181,054.2600","34,221,422.9100","38,198,032.1600","5,452,845.0300","24,193,840.6000","53,761,247.0400","71,723,587.5200","5,966,943.4900","31,129,678.9800","85,770,936.5100","121,348,022.6900","7,803,845.7200","51,926,791.9600","118,469,419.0200","159,540,736.7500","5,525,202.6000","56,655,171.6500","127,288,795.3800","174,433,857.1500","13,917,849.0000","99,396,032.7200","183,958,566.2500","261,575,682.6700","7,236,891.5100","104,133,061.0400","185,286,272.1800","200,488,526.4000","-6,313,974.3600","84,485,029.8600","154,152,523.0400","172,398,406.9600","-6,189,028.9700","92,323,143.0700","169,190,287.1300","211,595,266.4900","9,228,274.1300","104,798,126.5100","193,748,915.4300","234,379,900.7300","6,157,265.0600","114,284,306.1700","201,834,074.0700","248,443,478.7200","7,840,550.8500","136,746,955.6000","239,968,315.5300","313,511,802.7800","9,210,987.8200","168,646,480.1400","287,494,924.7000","408,841,452.0700"
"493","002029.SZ","纺织服装","","","","","","",NA,"","","","","","","","","","","",NA,"","","","","","","",NA,"","","","","","","","","15,372,901.8800","","","","22,203,849.0500","","13,698,989.2800","16,433,788.4500","24,912,428.3900","16,628,646.9700","17,059,122.1100","19,030,808.5300","28,732,313.6500","13,079,476.8500","23,172,191.5000","20,237,112.1500","36,807,882.9200","16,905,767.6100","22,989,288.8900","31,901,279.2900","53,579,793.2900","24,731,847.0200","35,155,223.0100","50,219,011.3600","101,204,537.8700","61,026,414.2100","92,028,757.7600","110,966,796.7800","164,275,853.7600","69,100,121.0300","99,718,896.0000","143,148,993.8700","217,175,525.1400","94,829,857.8700","125,158,085.5300","183,393,273.1400","289,099,615.6900","126,101,478.3300","173,336,464.0800","288,951,291.3100","414,651,167.3000","174,355,697.5400","245,660,682.1300","403,892,840.8000","565,819,224.0000","185,229,477.3400","254,283,887.5700","371,806,353.6700","377,475,101.5600","111,953,498.0200","150,782,758.2900","231,490,510.4100","294,391,623.4300","71,250,754.7000","113,036,693.0700","188,305,961.0800","280,083,782.3800","65,054,874.5700","105,778,019.0100","174,157,746.4100","277,609,142.6700","72,294,525.9400","126,460,454.9000","205,548,614.7400","343,245,371.5600"
"498","002034.SZ","纺织服装","","","","","","",NA,"","","","","","","","","","","",NA,"","","","","","","",NA,"","","","","","","","","17,636,702.9800","","","","23,541,453.2600","","","23,800,680.6000","33,138,229.2600","3,681,220.5600","21,873,932.9300","29,297,465.2800","41,390,398.5300","4,267,936.0100","22,307,214.0200","31,324,814.6500","33,258,663.9900","2,276,875.0200","21,210,641.6400","27,820,192.1000","18,734,312.4500","1,851,245.9800","16,557,703.2800","14,768,962.6100","22,789,850.9400","-8,539,762.1600","-9,205,166.7200","-20,545,806.4100","-51,162,874.2200","-7,704,049.4500","-2,506,457.6000","55,791,670.7300","42,436,345.6000","-2,525,446.7600","3,015,415.7000","5,939,940.2200","16,871,099.3200","131,828,933.0900","131,256,940.9400","138,830,990.9100","141,377,362.3800","-6,444,254.4200","4,620,530.5200","4,009,445.4700","18,013,434.9700","-4,018,637.2400","5,383,544.3100","16,661,237.9400","30,701,104.7300","688,837.1700","2,155,757.5600","-3,288,921.9200","-45,478,761.6600","-3,618,023.8600","7,480,035.4700","20,877,044.7100","41,364,009.6300","51,834.9900","7,973,218.1700","17,852,156.5500","22,948,807.3000","3,649,207.2900","6,999,099.7300","12,350,649.1300","269,989,424.7000"
"506","002042.SZ","纺织服装","","","","","","",NA,"","","","","","","","","","","",NA,"","","","","","","",NA,"","","","","","","","","","","","","20,442,782.9100","","","","21,706,185.3500","2,727,489.7600","7,446,315.6400","12,536,279.1000","17,656,080.6700","4,461,704.5600","7,642,603.9400","8,995,310.6100","6,354,999.2500","-4,789,389.9400","-974,883.5000","-7,050,597.9600","971,327.9000","-4,553,807.0000","-13,887,877.1000","-32,238,713.1600","-58,828,383.9600","-26,254,183.6700","-38,146,286.3600","-53,603,330.1900","1,148,184.4100","-1,515,192.0200","84,525,524.6500","134,634,049.2400","170,121,573.1100","75,525,210.8700","162,513,567.9100","231,858,131.7300","375,927,235.2600","100,040,351.5500","242,892,611.5300","319,168,172.4500","395,529,284.9800","30,776,934.2200","62,209,470.6700","85,856,456.8500","91,647,351.1100","40,188,545.2000","105,557,449.5300","152,211,614.1700","188,558,438.9300","51,963,505.1700","140,068,532.9600","193,820,480.4700","167,121,164.5600","83,473,545.4500","225,706,922.9500","290,217,878.4600","339,375,541.4300","103,297,166.7300","310,415,341.4800","417,887,064.8700","512,533,790.4600","175,985,781.5700","453,183,679.7900","619,049,916.9300","702,616,195.7100"
