"","证券代码","申万一级行业","净利润..报告期..1993一季..报表类型..合并报表..单位..元","净利润..报告期..1993中报..报表类型..合并报表..单位..元","净利润..报告期..1993三季..报表类型..合并报表..单位..元","净利润..报告期..1993年报..报表类型..合并报表..单位..元","净利润..报告期..1994一季..报表类型..合并报表..单位..元","净利润..报告期..1994中报..报表类型..合并报表..单位..元","净利润..报告期..1994三季..报表类型..合并报表..单位..元","净利润..报告期..1994年报..报表类型..合并报表..单位..元","净利润..报告期..1995一季..报表类型..合并报表..单位..元","净利润..报告期..1995中报..报表类型..合并报表..单位..元","净利润..报告期..1995三季..报表类型..合并报表..单位..元","净利润..报告期..1995年报..报表类型..合并报表..单位..元","净利润..报告期..1996一季..报表类型..合并报表..单位..元","净利润..报告期..1996中报..报表类型..合并报表..单位..元","净利润..报告期..1996三季..报表类型..合并报表..单位..元","净利润..报告期..1996年报..报表类型..合并报表..单位..元","净利润..报告期..1997一季..报表类型..合并报表..单位..元","净利润..报告期..1997中报..报表类型..合并报表..单位..元","净利润..报告期..1997三季..报表类型..合并报表..单位..元","净利润..报告期..1997年报..报表类型..合并报表..单位..元","净利润..报告期..1998一季..报表类型..合并报表..单位..元","净利润..报告期..1998中报..报表类型..合并报表..单位..元","净利润..报告期..1998三季..报表类型..合并报表..单位..元","净利润..报告期..1998年报..报表类型..合并报表..单位..元","净利润..报告期..1999一季..报表类型..合并报表..单位..元","净利润..报告期..1999中报..报表类型..合并报表..单位..元","净利润..报告期..1999三季..报表类型..合并报表..单位..元","净利润..报告期..1999年报..报表类型..合并报表..单位..元","净利润..报告期..2000一季..报表类型..合并报表..单位..元","净利润..报告期..2000中报..报表类型..合并报表..单位..元","净利润..报告期..2000三季..报表类型..合并报表..单位..元","净利润..报告期..2000年报..报表类型..合并报表..单位..元","净利润..报告期..2001一季..报表类型..合并报表..单位..元","净利润..报告期..2001中报..报表类型..合并报表..单位..元","净利润..报告期..2001三季..报表类型..合并报表..单位..元","净利润..报告期..2001年报..报表类型..合并报表..单位..元","净利润..报告期..2002一季..报表类型..合并报表..单位..元","净利润..报告期..2002中报..报表类型..合并报表..单位..元","净利润..报告期..2002三季..报表类型..合并报表..单位..元","净利润..报告期..2002年报..报表类型..合并报表..单位..元","净利润..报告期..2003一季..报表类型..合并报表..单位..元","净利润..报告期..2003中报..报表类型..合并报表..单位..元","净利润..报告期..2003三季..报表类型..合并报表..单位..元","净利润..报告期..2003年报..报表类型..合并报表..单位..元","净利润..报告期..2004一季..报表类型..合并报表..单位..元","净利润..报告期..2004中报..报表类型..合并报表..单位..元","净利润..报告期..2004三季..报表类型..合并报表..单位..元","净利润..报告期..2004年报..报表类型..合并报表..单位..元","净利润..报告期..2005一季..报表类型..合并报表..单位..元","净利润..报告期..2005中报..报表类型..合并报表..单位..元","净利润..报告期..2005三季..报表类型..合并报表..单位..元","净利润..报告期..2005年报..报表类型..合并报表..单位..元","净利润..报告期..2006一季..报表类型..合并报表..单位..元","净利润..报告期..2006中报..报表类型..合并报表..单位..元","净利润..报告期..2006三季..报表类型..合并报表..单位..元","净利润..报告期..2006年报..报表类型..合并报表..单位..元","净利润..报告期..2007一季..报表类型..合并报表..单位..元","净利润..报告期..2007中报..报表类型..合并报表..单位..元","净利润..报告期..2007三季..报表类型..合并报表..单位..元","净利润..报告期..2007年报..报表类型..合并报表..单位..元","净利润..报告期..2008一季..报表类型..合并报表..单位..元","净利润..报告期..2008中报..报表类型..合并报表..单位..元","净利润..报告期..2008三季..报表类型..合并报表..单位..元","净利润..报告期..2008年报..报表类型..合并报表..单位..元","净利润..报告期..2009一季..报表类型..合并报表..单位..元","净利润..报告期..2009中报..报表类型..合并报表..单位..元","净利润..报告期..2009三季..报表类型..合并报表..单位..元","净利润..报告期..2009年报..报表类型..合并报表..单位..元","净利润..报告期..2010一季..报表类型..合并报表..单位..元","净利润..报告期..2010中报..报表类型..合并报表..单位..元","净利润..报告期..2010三季..报表类型..合并报表..单位..元","净利润..报告期..2010年报..报表类型..合并报表..单位..元","净利润..报告期..2011一季..报表类型..合并报表..单位..元","净利润..报告期..2011中报..报表类型..合并报表..单位..元","净利润..报告期..2011三季..报表类型..合并报表..单位..元","净利润..报告期..2011年报..报表类型..合并报表..单位..元","净利润..报告期..2012一季..报表类型..合并报表..单位..元","净利润..报告期..2012中报..报表类型..合并报表..单位..元","净利润..报告期..2012三季..报表类型..合并报表..单位..元","净利润..报告期..2012年报..报表类型..合并报表..单位..元","净利润..报告期..2013一季..报表类型..合并报表..单位..元","净利润..报告期..2013中报..报表类型..合并报表..单位..元","净利润..报告期..2013三季..报表类型..合并报表..单位..元","净利润..报告期..2013年报..报表类型..合并报表..单位..元","净利润..报告期..2014一季..报表类型..合并报表..单位..元","净利润..报告期..2014中报..报表类型..合并报表..单位..元","净利润..报告期..2014三季..报表类型..合并报表..单位..元","净利润..报告期..2014年报..报表类型..合并报表..单位..元","净利润..报告期..2015一季..报表类型..合并报表..单位..元","净利润..报告期..2015中报..报表类型..合并报表..单位..元","净利润..报告期..2015三季..报表类型..合并报表..单位..元","净利润..报告期..2015年报..报表类型..合并报表..单位..元","净利润..报告期..2016一季..报表类型..合并报表..单位..元","净利润..报告期..2016中报..报表类型..合并报表..单位..元","净利润..报告期..2016三季..报表类型..合并报表..单位..元","净利润..报告期..2016年报..报表类型..合并报表..单位..元","净利润..报告期..2017一季..报表类型..合并报表..单位..元","净利润..报告期..2017中报..报表类型..合并报表..单位..元","净利润..报告期..2017三季..报表类型..合并报表..单位..元","净利润..报告期..2017年报..报表类型..合并报表..单位..元"
"6","000007.SZ","综合","","15,748,913.6500","","32,466,830.5100","","20,851,668.5400",NA,"29,386,653.9300","","11,464,000.0000","","7,635,995.5300","","6,334,000.0000","","30,274,822.2500","","16,351,309.5200",NA,"33,897,669.0700","","3,163,211.3300","","41,527,377.8000","","5,288,232.1200",NA,"803,490.4900","","-30,394,411.0800","","-178,594,168.0300","","-10,112,841.6700","-20,803,541.0800","12,739,838.4900","4,169,561.8800","14,816,401.3800","21,010,401.5800","8,561,534.2300","5,831,507.6400","9,500,249.5300","3,838,808.6600","15,874,906.1500","-11,948,496.3500","-21,347,753.4700","-40,602,558.8700","-154,384,945.6400","14,047,310.3500","4,128,603.4900","-10,698,843.1600","10,293,621.4700","-5,142,764.0700","-13,997,788.7600","-25,825,371.4000","-130,809,284.3400","-11,446,914.5600","-24,574,674.1000","-24,256,722.5900","8,683,640.6000","-11,086,477.4600","-19,586,984.2300","-32,321,247.4300","-65,007,258.7700","-10,984,415.0700","28,201,849.2200","51,641,610.1100","20,420,709.8500","-9,655,001.1900","7,223,483.1900","1,191,001.0000","21,700,158.0500","-343,185.2900","-711,273.5700","939,908.1800","8,310,538.6200","372,581.1100","4,055,133.5500","9,680,186.1200","4,433,296.3900","-11,571,281.0900","-2,699,689.8000","35,857,779.3100","18,830,603.4600","-7,840,506.7100","-6,130,543.3300","-7,970,891.1100","-33,382,647.0200","-6,218,736.8400","-9,717,470.2200","-14,228,504.0100","13,238,872.2200","11,620,142.8100","17,194,345.3400","26,109,581.2000","81,567,961.1000","-4,227,168.3400","9,545,199.5000","-1,185,391.8600","795,055.3800"
"8","000009.SZ","综合","","323,236,211.4600","","420,769,247.8500","","230,100,278.9300",NA,"432,773,232.8400","","114,795,462.2800","","152,799,937.4800","","48,736,623.9000","","56,488,952.2800","","36,260,272.6700",NA,"12,601,155.3900","","-95,107,370.9100","","-474,511,034.0000","","13,094,308.3900",NA,"46,853,844.5000","","31,133,221.5800","","53,013,491.9400","","22,154,509.7500","","57,351,903.8700","8,089,973.6000","18,454,120.8100","24,495,594.9400","34,602,901.4700","14,129,497.1800","20,408,973.7000","23,124,005.5400","37,643,922.9800","9,846,004.4000","29,143,810.6300","33,203,626.8300","-77,489,939.4100","14,450,785.6400","31,180,340.1600","39,549,092.9400","113,998,063.1500","13,490,109.1500","30,306,193.0300","36,952,219.4100","191,205,257.5500","82,463,836.0700","186,881,325.5000","271,623,241.2900","331,561,474.2400","86,678,554.8000","159,224,663.7700","221,515,568.1600","271,544,919.2300","110,495,061.6800","239,810,780.3000","321,775,708.9100","408,594,409.4200","122,089,751.3700","263,297,718.6000","348,923,323.2800","441,594,065.8600","149,253,051.4200","292,651,845.4000","346,048,152.7100","380,435,408.2800","77,663,003.4900","150,224,989.5300","183,749,802.3000","307,301,126.6700","81,881,371.5900","130,684,772.8800","452,337,627.6400","444,151,234.1700","122,345,861.0100","317,700,108.5900","393,668,469.0200","472,548,632.6000","105,690,559.4200","228,843,314.5200","839,308,314.6000","927,382,331.6500","107,649,100.6900","201,190,817.0800","366,426,435.4600","419,482,105.0800","88,168,607.1400","218,212,647.7000","370,590,687.3000","323,247,414.6900"
"82","000409.SZ","综合","","","","17,165,300.0000","","",NA,"20,038,078.0000","","","","20,745,867.0000","","15,258,215.0000","","30,495,233.5700","","14,608,368.0600",NA,"29,518,824.9300","","17,341,717.2700","","3,405,003.6300","","-6,030,314.2200",NA,"-18,651,001.2400","","-4,219,874.0800","","6,780,821.0800","","2,392,596.3800","","-20,909,232.6700","2,439,166.5400","2,887,834.5300","823,183.9700","-51,327,335.8200","-3,841,188.3500","-7,245,029.5000","-9,959,632.3200","-69,044,815.1400","-1,592,599.4900","8,628,764.8300","5,462,259.2200","5,720,229.8700","-3,063,550.3000","-6,828,819.3800","-9,232,461.9900","6,438,463.1800","-2,197,887.2600","-4,610,298.5300","-4,032,963.3800","-39,046,606.7700","-1,834,436.5300","-3,606,860.1300","-2,495,541.5400","-26,225,791.3100","-945,110.7500","-2,247,748.0900","-3,167,382.9100","2,757,347.6300","-2,008,109.5900","-3,471,170.4900","-5,313,006.0400","-13,834,212.4000","-1,177,651.6300","-2,455,143.1800","-3,479,466.1600","-5,654,760.2000","-487,971.1300","-680,910.5100","1,154,509.3400","5,605,807.7500","258,532.6500","97,956.7100","33,744.1900","80,584,201.2200","15,282,859.3300","51,558,895.9600","77,979,140.4600","127,319,232.5200","18,490,757.2900","27,840,759.3600","16,176,070.6600","-29,484,010.2800","-24,260,830.9400","-44,275,085.9000","26,539,836.0300","123,364,256.8900","12,713,759.7600","28,512,726.2400","31,620,307.2900","-191,808,671.3100","-28,718,711.8700","-73,420,769.0700","-127,431,980.7600","-271,250,513.0300"
"124","000529.SZ","综合","","","","116,196,254.8700","","69,274,800.0000",NA,"143,770,371.7800","","80,768,600.0000","","150,354,482.0900","","83,988,951.0200","","163,498,536.4600","","72,095,537.8700",NA,"166,433,508.0700","","62,037,619.4800","","86,171,425.5800","","40,417,238.2200",NA,"-296,830,050.2800","","-54,615,334.8100","","7,023,136.9600","","6,791,689.8300","","-320,837,560.2500","-4,876,445.3500","3,528,049.3500","5,531,743.7700","-848,210,038.8000","971,479.1400","4,832,523.2600","-52,051,574.5100","-254,589,222.2500","715,266.4000","995,739.3600","1,425,144.6700","-277,246,365.1800","-38,241,771.0100","-73,127,471.6900","-105,912,205.9800","-309,123,942.4400","-29,076,153.2800","-66,947,334.7300","-102,190,699.7300","5,744,784.9900","-14,898,522.2900","-35,686,291.3200","-56,611,908.4300","4,865,199.0000","-20,890,983.5900","-45,521,827.5200","-67,812,843.5800","337,582,440.5000","14,810,732.5600","28,798,916.5900","42,270,869.8800","58,809,818.0700","8,375,731.4700","28,774,352.5800","46,601,801.2900","60,346,156.8000","12,407,444.0900","35,952,884.5900","54,229,568.1700","70,112,750.0800","18,327,805.4800","38,538,491.1800","51,941,060.1200","61,719,262.9500","18,515,842.6800","40,033,571.9300","59,619,161.6000","80,272,176.9900","16,605,172.9900","40,185,749.7600","63,577,342.6500","153,493,003.9900","18,820,214.5000","42,507,779.6300","67,379,094.3500","74,397,966.7400","19,608,232.5900","46,649,047.6100","80,472,153.3700","107,612,984.1300","22,725,124.4700","52,794,301.9100","98,786,856.8100","155,888,806.8900"
"206","000632.SZ","综合","","","","14,037,830.0000","","",NA,"13,932,460.0000","","","","13,637,850.0700","","","","25,680,479.7300","","27,095,302.0100",NA,"34,276,838.2900","","15,554,987.8200","","43,218,905.7800","","11,249,975.2400",NA,"48,033,603.2900","","19,296,552.2600","","36,471,335.0400","","17,577,737.4300","","70,399,620.6300","30,157,579.9300","54,644,203.8000","76,093,652.6700","82,899,535.4200","32,223,007.7800","66,028,783.3000","75,065,755.6300","71,583,063.5400","8,135,496.9200","28,304,450.2300","26,876,029.6600","-72,345,342.2000","6,864,252.9500","12,434,099.4200","4,647,955.4000","-223,651,978.8000","13,139,526.8500","-50,877.1300","12,884,755.8400","104,711,352.2000","8,052,223.9500","35,635,127.6300","39,773,501.3400","29,284,788.7400","1,549,434.1400","12,689,060.1000","-32,114,755.5900","11,177,633.6600","6,488,715.5000","13,015,615.0000","21,074,970.0600","23,449,778.1200","4,720,761.2600","12,547,501.2900","15,727,879.7900","18,420,531.7100","6,022,075.3600","16,747,423.6400","18,707,176.4700","14,900,782.5800","5,333,689.9500","4,872,914.9100","3,455,771.4700","15,321,205.9500","9,718,606.5000","7,367,277.6600","7,339,613.7800","22,183,489.2400","25,941,434.5500","17,307,408.1900","11,494,987.3500","2,997,502.7200","7,944,176.3100","4,939,693.9800","14,426,613.6500","35,865,726.2600","2,313,471.9500","20,760,968.7900","21,744,171.5300","39,942,013.4700","2,352,915.9600","7,294,426.4600","5,429,858.1100","61,386,985.0400"
"211","000638.SZ","综合","","","","10,987,000.0000","","",NA,"18,561,000.0000","","","","24,218,282.0900","","11,961,000.0000","","38,863,519.9200","","26,839,276.8200",NA,"52,577,872.9800","","9,820,934.8100","","27,760,040.5500","","6,691,737.2600",NA,"-101,012,882.3400","","-14,438,381.9200","","7,329,129.1600","","-7,015,474.1000","-9,982,620.7900","-94,999,062.1100","-5,592,144.4400","-12,828,703.5700","-19,390,799.8900","-102,817,578.1300","-5,943,066.7300","-14,201,580.3400","-16,765,207.3600","-377,005,579.9000","-389,138.2900","4,352,691.5100","5,518,921.8800","14,584,872.4000","733,972.7800","1,230,638.9100","370,491.9800","-289,906.4000","-4,406,043.5800","-4,810,016.1200","-5,875,809.9700","3,790,155.6600","272,782.3400","2,923,610.7700","2,337,819.1900","266,580,196.0100","818,434.2000","1,522,385.8100","1,642,773.9700","82,030,118.4400","9,130,876.7200","11,557,708.3300","23,585,943.4600","55,209,731.7500","8,680,852.3000","10,067,610.5700","14,519,354.4300","65,987,411.8200","7,892,621.8200","14,320,218.8700","9,187,444.7800","11,858,469.0900","-4,241,065.2700","-11,517,302.1800","-11,000,491.7000","5,013,391.0200","305,537.6500","-2,528,923.2000","-5,182,864.9400","-13,462,794.7800","-4,431,085.5300","4,213,537.9000","-1,696,183.9100","3,543,916.6100","-6,218,095.2000","-8,270,536.9900","-8,955,474.3600","-38,236,647.3600","8,055,294.1100","2,489,272.2200","7,589,547.5300","13,727,201.6600","-2,306,270.5900","11,842,696.3000","32,621,447.3300","19,819,697.3400"
"215","000652.SZ","综合","","","","","","",NA,"","","","","10,121,273.4500","","","","13,280,896.7600","","10,728,755.6900",NA,"71,083,091.4400","","57,001,682.1300","","132,600,371.5900","","80,440,948.9500",NA,"167,048,813.1100","","80,400,173.1700","","140,111,581.9400","","76,166,312.2200","","119,484,765.4300","11,283,232.0100","48,116,884.4300","60,888,740.7200","97,785,346.7800","22,144,284.9500","40,531,787.1700","66,599,431.7200","90,647,776.2700","23,853,377.1400","38,034,682.0900","68,199,857.9800","89,823,685.3600","18,981,807.6400","34,515,546.4100","51,452,276.0400","87,997,098.5400","18,076,895.9800","67,463,862.3700","101,909,974.8200","147,207,998.0800","40,794,986.5800","95,542,376.1900","126,755,826.3100","421,995,192.4100","31,906,427.3400","71,052,363.8000","111,147,200.6000","288,168,925.3400","26,128,507.7300","65,101,095.2300","95,314,662.5800","526,302,131.6700","54,425,399.5000","98,390,886.0900","230,737,056.3900","603,343,083.1000","43,342,869.0800","48,180,394.1400","83,616,171.2400","48,841,633.1900","-99,695,921.8700","-62,692,759.4700","-37,594,370.3800","35,516,714.9300","33,202,509.7400","-3,611,876.6200","-17,167,148.3700","402,121,368.4500","-3,344,817.3600","-23,643,174.5300","-107,087,717.6200","603,092,853.6800","-1,538,418.8600","11,554,545.8300","57,854,591.7900","317,339,067.6200","-10,400,128.0200","67,122,526.5800","115,493,801.4400","427,926,776.2700","-42,158,150.2000","14,138,153.7700","38,897,117.3700","545,629,271.8400"
"345","000833.SZ","综合","","","","","","",NA,"","","","","42,487,475.1400","","","","55,575,025.6500","","",NA,"47,408,287.8900","","","","50,846,153.7300","","17,217,090.3100",NA,"2,685,721.3900","","6,746,051.0600","","38,018,895.2200","","28,425,406.8000","","41,607,749.5900","9,049,426.8100","19,413,282.3900","22,336,412.3200","7,812,174.8600","281,049.9300","356,147.1400","-13,642,768.6400","-41,131,501.5100","4,169,817.7600","16,436,488.9700","31,026,568.6200","38,312,240.6100","4,743,855.0500","16,073,194.0100","35,433,363.9300","40,373,688.2100","4,336,024.3100","8,357,649.7400","16,512,713.6100","19,415,185.6400","5,694,490.9300","27,972,383.9400","56,101,061.4900","61,950,877.1400","35,676,927.8200","53,820,915.5800","63,447,633.0500","64,564,346.5200","-4,377,237.5500","-5,960,843.8700","9,633,086.2400","29,770,002.7500","31,665,439.7700","54,895,168.6200","68,368,955.9300","91,629,864.4100","23,357,670.8200","62,627,490.7800","97,342,612.7900","53,708,202.2700","9,547,442.2100","12,492,922.6700","10,812,229.5000","14,018,912.4700","-24,553,929.3700","-48,432,101.0600","-55,076,109.3400","-106,125,900.5600","-5,930,372.4400","-15,622,315.0600","-23,849,555.7100","28,145,880.6100","3,312,718.8900","3,485,045.0800","85,216,364.3100","134,509,172.3500","-5,767,594.0400","-3,776,816.4600","-5,226,542.8900","38,738,133.8100","10,964,314.8500","33,929,131.3100","60,164,522.7000","80,232,221.3500"
"350","000839.SZ","综合","","","","","","",NA,"78,442,544.6400","","","","78,527,361.5900","","","","92,485,144.1100","","",NA,"112,843,418.1300","","89,640,788.0300","","119,658,500.7700","","121,645,000.8200",NA,"200,319,871.3600","","145,585,855.0500","","266,864,008.8900","","134,834,463.5600","","221,991,926.1300","43,813,274.0900","114,768,815.6000","163,456,444.8000","184,672,823.8700","46,914,042.6500","121,888,938.2600","168,433,565.5600","199,551,397.4800","51,320,677.1800","110,601,848.0100","168,151,686.9100","238,166,173.1600","56,395,305.6900","115,595,637.4700","168,068,675.6700","256,018,738.8100","63,206,223.0100","142,263,576.3900","189,007,233.2900","442,215,909.5100","48,666,074.6300","95,605,105.9000","151,880,587.5500","312,629,583.0100","59,295,675.0700","136,374,558.5700","208,960,896.9200","350,435,085.9200","64,651,213.4200","588,516,012.9500","593,028,884.8200","618,157,327.5000","70,052,810.6400","177,972,088.5300","180,859,655.3700","271,156,462.4700","38,801,776.1200","75,170,341.7000","97,898,571.6600","162,497,316.7600","45,172,724.5000","81,709,953.0500","113,424,627.6900","176,461,137.9200","41,922,477.2600","77,516,148.4800","90,890,986.4500","134,792,210.7800","42,569,934.4400","79,097,966.0000","95,509,451.7200","195,003,290.7000","68,485,813.5700","177,391,055.5300","249,413,483.4000","352,054,708.3600","86,527,509.8300","178,529,422.1400","223,029,988.9200","228,295,752.6900","59,954,692.4600","288,489,089.7700","295,755,043.8200","300,707,972.2900"
"369","000881.SZ","综合","","","","","","",NA,"","","","","22,014,999.6900","","","","27,557,454.4200","","",NA,"28,383,110.1800","","12,005,078.5900","","39,048,604.1800","","14,428,715.5100",NA,"45,455,380.1900","","19,428,784.8700","","59,378,921.3100","","22,215,893.1000","15,932,944.9100","51,608,112.9400","2,555,501.4400","10,675,681.5100","14,235,468.3600","29,248,812.9600","1,810,786.1900","-719,172.4700","1,147,794.7000","15,563,786.0200","2,974,503.0300","13,882,014.1100","21,051,619.4900","30,246,281.0100","7,727,565.0800","21,387,157.0800","30,506,035.5400","37,131,399.7500","6,820,352.8600","16,441,059.3400","35,332,612.7200","48,788,594.7400","12,632,369.5700","121,011,850.9000","143,922,952.0200","163,701,234.3000","25,469,924.3900","45,493,037.4900","339,213,665.3200","309,015,119.4500","45,567,865.7900","91,798,758.0300","132,997,887.8200","169,559,800.0600","59,805,713.0700","134,529,442.3600","197,889,241.7100","291,252,780.3300","70,664,048.8000","143,490,042.2800","229,864,797.3000","286,429,032.6500","45,173,458.8200","154,059,827.0700","194,238,363.6300","256,252,006.4400","19,531,607.7900","66,035,988.7000","79,780,336.3000","114,383,965.9200","33,426,461.3200","65,160,220.4400","94,079,477.0700","103,062,979.7700","10,874,518.1600","-1,289,860,556.0900","-1,289,198,959.6400","-1,280,951,084.0200","-5,762,163.9800","-12,038,450.3700","-22,004,405.2900","315,594,581.3300","43,810,301.7100","158,659,877.3000","253,990,951.8800","425,156,970.8500"
