"","证券代码","申万一级行业","净利润..报告期..1993一季..报表类型..合并报表..单位..元","净利润..报告期..1993中报..报表类型..合并报表..单位..元","净利润..报告期..1993三季..报表类型..合并报表..单位..元","净利润..报告期..1993年报..报表类型..合并报表..单位..元","净利润..报告期..1994一季..报表类型..合并报表..单位..元","净利润..报告期..1994中报..报表类型..合并报表..单位..元","净利润..报告期..1994三季..报表类型..合并报表..单位..元","净利润..报告期..1994年报..报表类型..合并报表..单位..元","净利润..报告期..1995一季..报表类型..合并报表..单位..元","净利润..报告期..1995中报..报表类型..合并报表..单位..元","净利润..报告期..1995三季..报表类型..合并报表..单位..元","净利润..报告期..1995年报..报表类型..合并报表..单位..元","净利润..报告期..1996一季..报表类型..合并报表..单位..元","净利润..报告期..1996中报..报表类型..合并报表..单位..元","净利润..报告期..1996三季..报表类型..合并报表..单位..元","净利润..报告期..1996年报..报表类型..合并报表..单位..元","净利润..报告期..1997一季..报表类型..合并报表..单位..元","净利润..报告期..1997中报..报表类型..合并报表..单位..元","净利润..报告期..1997三季..报表类型..合并报表..单位..元","净利润..报告期..1997年报..报表类型..合并报表..单位..元","净利润..报告期..1998一季..报表类型..合并报表..单位..元","净利润..报告期..1998中报..报表类型..合并报表..单位..元","净利润..报告期..1998三季..报表类型..合并报表..单位..元","净利润..报告期..1998年报..报表类型..合并报表..单位..元","净利润..报告期..1999一季..报表类型..合并报表..单位..元","净利润..报告期..1999中报..报表类型..合并报表..单位..元","净利润..报告期..1999三季..报表类型..合并报表..单位..元","净利润..报告期..1999年报..报表类型..合并报表..单位..元","净利润..报告期..2000一季..报表类型..合并报表..单位..元","净利润..报告期..2000中报..报表类型..合并报表..单位..元","净利润..报告期..2000三季..报表类型..合并报表..单位..元","净利润..报告期..2000年报..报表类型..合并报表..单位..元","净利润..报告期..2001一季..报表类型..合并报表..单位..元","净利润..报告期..2001中报..报表类型..合并报表..单位..元","净利润..报告期..2001三季..报表类型..合并报表..单位..元","净利润..报告期..2001年报..报表类型..合并报表..单位..元","净利润..报告期..2002一季..报表类型..合并报表..单位..元","净利润..报告期..2002中报..报表类型..合并报表..单位..元","净利润..报告期..2002三季..报表类型..合并报表..单位..元","净利润..报告期..2002年报..报表类型..合并报表..单位..元","净利润..报告期..2003一季..报表类型..合并报表..单位..元","净利润..报告期..2003中报..报表类型..合并报表..单位..元","净利润..报告期..2003三季..报表类型..合并报表..单位..元","净利润..报告期..2003年报..报表类型..合并报表..单位..元","净利润..报告期..2004一季..报表类型..合并报表..单位..元","净利润..报告期..2004中报..报表类型..合并报表..单位..元","净利润..报告期..2004三季..报表类型..合并报表..单位..元","净利润..报告期..2004年报..报表类型..合并报表..单位..元","净利润..报告期..2005一季..报表类型..合并报表..单位..元","净利润..报告期..2005中报..报表类型..合并报表..单位..元","净利润..报告期..2005三季..报表类型..合并报表..单位..元","净利润..报告期..2005年报..报表类型..合并报表..单位..元","净利润..报告期..2006一季..报表类型..合并报表..单位..元","净利润..报告期..2006中报..报表类型..合并报表..单位..元","净利润..报告期..2006三季..报表类型..合并报表..单位..元","净利润..报告期..2006年报..报表类型..合并报表..单位..元","净利润..报告期..2007一季..报表类型..合并报表..单位..元","净利润..报告期..2007中报..报表类型..合并报表..单位..元","净利润..报告期..2007三季..报表类型..合并报表..单位..元","净利润..报告期..2007年报..报表类型..合并报表..单位..元","净利润..报告期..2008一季..报表类型..合并报表..单位..元","净利润..报告期..2008中报..报表类型..合并报表..单位..元","净利润..报告期..2008三季..报表类型..合并报表..单位..元","净利润..报告期..2008年报..报表类型..合并报表..单位..元","净利润..报告期..2009一季..报表类型..合并报表..单位..元","净利润..报告期..2009中报..报表类型..合并报表..单位..元","净利润..报告期..2009三季..报表类型..合并报表..单位..元","净利润..报告期..2009年报..报表类型..合并报表..单位..元","净利润..报告期..2010一季..报表类型..合并报表..单位..元","净利润..报告期..2010中报..报表类型..合并报表..单位..元","净利润..报告期..2010三季..报表类型..合并报表..单位..元","净利润..报告期..2010年报..报表类型..合并报表..单位..元","净利润..报告期..2011一季..报表类型..合并报表..单位..元","净利润..报告期..2011中报..报表类型..合并报表..单位..元","净利润..报告期..2011三季..报表类型..合并报表..单位..元","净利润..报告期..2011年报..报表类型..合并报表..单位..元","净利润..报告期..2012一季..报表类型..合并报表..单位..元","净利润..报告期..2012中报..报表类型..合并报表..单位..元","净利润..报告期..2012三季..报表类型..合并报表..单位..元","净利润..报告期..2012年报..报表类型..合并报表..单位..元","净利润..报告期..2013一季..报表类型..合并报表..单位..元","净利润..报告期..2013中报..报表类型..合并报表..单位..元","净利润..报告期..2013三季..报表类型..合并报表..单位..元","净利润..报告期..2013年报..报表类型..合并报表..单位..元","净利润..报告期..2014一季..报表类型..合并报表..单位..元","净利润..报告期..2014中报..报表类型..合并报表..单位..元","净利润..报告期..2014三季..报表类型..合并报表..单位..元","净利润..报告期..2014年报..报表类型..合并报表..单位..元","净利润..报告期..2015一季..报表类型..合并报表..单位..元","净利润..报告期..2015中报..报表类型..合并报表..单位..元","净利润..报告期..2015三季..报表类型..合并报表..单位..元","净利润..报告期..2015年报..报表类型..合并报表..单位..元","净利润..报告期..2016一季..报表类型..合并报表..单位..元","净利润..报告期..2016中报..报表类型..合并报表..单位..元","净利润..报告期..2016三季..报表类型..合并报表..单位..元","净利润..报告期..2016年报..报表类型..合并报表..单位..元","净利润..报告期..2017一季..报表类型..合并报表..单位..元","净利润..报告期..2017中报..报表类型..合并报表..单位..元","净利润..报告期..2017三季..报表类型..合并报表..单位..元","净利润..报告期..2017年报..报表类型..合并报表..单位..元"
"18","000021.SZ","计算机","","","","45,801,943.4000","","25,566,799.8700",NA,"53,404,210.2400","","34,132,473.3900","","118,352,727.3300","","166,112,133.8700","","275,371,218.1200","","162,978,508.8200",NA,"318,913,510.5700","","180,574,936.9400","","452,316,147.2100","","235,391,148.6100",NA,"313,042,352.4900","","59,323,335.3700","","150,789,946.3600","","43,619,974.6000","","-23,057,617.1700","7,321,773.5000","18,188,237.8600","43,930,728.7200","60,574,675.2600","52,237,544.8000","71,406,774.0800","122,886,540.7300","222,619,020.9000","51,881,628.6000","79,793,072.0300","138,904,839.2700","227,492,231.1900","69,987,890.0000","150,334,646.3400","228,437,293.7500","314,288,434.3300","82,624,281.2700","166,441,403.6700","250,579,203.6500","333,075,660.6100","378,093,542.1300","464,748,901.4100","534,283,286.8900","709,204,268.2900","70,579,151.6700","133,120,535.7200","209,822,851.2200","316,479,626.0700","40,342,835.7400","95,197,015.6700","162,949,473.4200","265,936,519.3300","80,086,407.9100","188,639,908.2900","267,885,841.1200","356,341,820.0300","36,451,252.5500","97,168,313.7700","166,555,329.9500","220,142,571.9700","29,087,592.5400","38,661,445.8200","23,670,837.0700","8,452,148.4800","26,341,171.3400","47,567,808.7300","108,144,839.3700","158,874,515.1500","-115,404,042.5200","-11,233,586.0000","131,516,983.6600","160,556,177.0200","53,285,461.7700","138,614,159.3700","140,333,774.9800","180,660,277.5100","151,025,002.2100","217,538,319.6800","301,547,719.0100","223,740,673.6600","121,840,581.2300","322,456,375.8900","488,579,509.6500","573,895,565.5900"
"29","000034.SZ","计算机","","","","76,389,276.8300","","52,547,100.0000",NA,"57,044,777.5700","","11,869,100.0000","","10,820,128.1600","","72,244,539.2700","","58,008,415.6000","","712,049.9700",NA,"-87,384,461.4600","","-56,844,340.2500","","-554,322,976.3900","","5,828,881.2000",NA,"35,178,075.2700","","10,959,098.3100","","272,125,805.1900","","33,863,229.3000","27,931,794.4200","46,496,938.8800","-19,592,000.0000","-40,419,244.0700","-59,750,794.6000","-146,825,259.3700","-13,634,928.5200","-27,011,548.4800","-26,825,129.0800","4,033,116.7600","-32,267,777.7100","-251,151,057.4800","-278,811,228.0600","-523,686,900.2700","-16,448,587.1900","-43,593,046.6400","-55,835,814.2800","-202,990,165.2200","-14,076,686.7300","-28,945,602.4000","-15,724,036.9100","-122,617,102.5600","-5,681,713.1800","-8,502,638.2700","-31,072,582.7300","-219,713,113.7400","-2,189,592.3900","-8,064,757.7000","-24,561,240.6000","-281,498,061.4400","-528,610.1100","-7,173,082.6400","-2,376,386.1100","123,128,530.2500","-741,951.2500","407,119.4000","479,319,684.9200","498,142,241.7300","5,533,474.8300","9,985,167.7600","13,054,212.8000","16,602,198.9300","-901,134.8300","-2,523,229.1100","-2,202,908.8300","4,014,789.5300","-1,327,304.9700","5,051,334.5600","5,867,107.8900","16,766,914.5800","-317,082.3200","51,599,158.0400","54,717,008.4500","61,471,205.7400","22,988,002.6800","22,772,570.5900","26,515,413.6800","21,363,244.0200","-5,919,019.9300","251,836,666.7500","333,388,297.8100","402,783,738.2500","87,528,415.7800","207,598,197.2100","317,273,434.6500","723,188,627.3400"
"52","000066.SZ","计算机","","","","","","",NA,"18,747,621.8300","","","","45,192,029.7300","","","","61,206,582.1200","","42,758,681.8000",NA,"99,324,901.9300","","38,215,710.0500","","191,372,310.2000","","120,268,074.7900",NA,"228,781,107.0100","","93,971,466.9900","","167,034,742.5900","","121,714,674.9600","","70,761,803.9000","2,585,019.0100","103,140,228.6800","110,030,394.1600","58,226,913.6500","32,415,779.9500","61,717,119.3200","90,861,042.3900","106,587,239.5700","91,539,250.7900","170,458,606.5600","255,150,311.6100","324,032,138.2100","99,833,628.2100","395,551,314.2100","363,422,258.5600","337,363,817.8700","32,775,486.5300","53,406,989.8100","66,452,349.0800","52,942,265.7500","26,812,061.5500","90,574,176.4700","99,804,125.5200","98,175,450.4700","4,185,695.2000","46,280,503.2600","25,391,600.7800","11,823,912.9200","14,899,466.2700","100,517,218.1100","204,327,866.4900","647,319,225.6100","257,755,530.0400","457,655,405.4300","562,652,972.3100","853,890,661.9700","196,216,361.7300","317,608,520.8700","341,123,405.0800","474,429,273.8300","59,451,608.2500","107,245,539.6600","181,174,682.6700","95,451,699.3700","-36,507,604.1500","-225,152,870.4000","-690,688,059.6800","-762,869,795.0500","-569,956,313.7900","-586,184,209.0300","-353,660,911.7900","-48,687,322.2800","-328,574,004.3200","-404,180,480.5700","-560,967,117.3400","-194,809,676.0500","-69,093,342.0800","16,777,377.8300","150,044,498.4500","214,632,688.3400","183,625,563.8100","349,785,775.9300","373,498,084.8400","696,084,777.9500"
"69","000158.SZ","计算机","","","","","","",NA,"","","","","","","","","","","",NA,"50,699,444.3300","","","","37,320,952.3600","","39,024,283.1700",NA,"90,971,003.7800","","55,028,879.0700","","101,993,774.1600","","44,172,560.5200","","85,672,286.6200","7,089,300.0000","36,917,332.1200","64,388,582.4000","89,263,329.6000","20,554,810.4900","58,650,239.1400","69,461,218.6300","75,469,059.3800","4,495,842.6200","32,122,332.0100","35,902,075.6600","38,952,043.6500","5,407,564.0900","20,870,529.3500","33,234,615.0200","39,254,112.0300","7,636,586.0400","30,075,631.7500","45,201,392.2100","51,603,448.4800","8,158,966.0900","26,800,036.3900","40,948,921.7800","49,557,907.7200","7,775,505.6000","27,373,357.6000","35,677,701.1500","116,759,358.3100","-9,249,998.4300","80,421,736.3600","84,547,574.5500","74,967,332.2200","144,537.0500","7,993,184.2400","25,010,353.2200","54,886,373.2900","12,893,617.3300","18,289,152.1200","19,856,109.2000","57,189,903.1500","-19,500,863.9300","-39,741,838.8600","-49,746,626.0200","11,700,295.9100","-17,896,272.8900","-34,616,367.3200","-47,434,866.4000","17,542,623.6400","-21,717,356.3300","-49,435,853.1600","-61,888,468.3300","24,263,830.6500","-40,673,304.2900","-33,606,368.3500","-72,717,256.5500","248,721,545.4900","-27,534,133.8000","-19,211,897.0400","-59,897,137.4000","346,994,909.2600","-12,929,521.0600","50,543,399.5600","64,045,827.9100","355,037,878.4400"
"147","000555.SZ","计算机","","","","4,320,759.0000","","6,690,613.1400",NA,"12,651,479.0000","","1,118,695.0000","","-11,659,312.0000","","-2,081,180.0000","","735,904.4800","","-3,162,494.8200",NA,"77,804.9000","","-2,234,774.8500","","-10,844,183.4500","","-7,104,652.9800",NA,"-11,961,330.4600","","-7,664,839.0500","","479,982.9800","","4,219,957.5400","","3,817,938.1100","-4,502,428.6900","-13,572,539.7800","-13,367,155.0400","-42,997,166.3600","-6,541,581.0800","-14,452,365.8700","-20,340,785.4300","-94,767,305.9800","-3,474,713.9500","-6,570,424.0000","-5,379,785.6200","2,411,700.1300","-1,461,974.4000","-3,216,900.8400","-6,148,900.2500","-12,503,939.7500","762,007.0700","-56,199,329.6100","-59,314,411.2800","-78,628,057.5800","-1,447,732.5200","-3,885,764.9100","-5,244,550.3600","3,344,720.2400","363,303.2600","489,069.7000","175,745.6500","187,854.9100","-799,804.3800","-5,105,688.8600","-6,590,941.3100","-7,952,820.9400","-3,036,989.3700","-5,937,532.0700","-8,752,726.4000","3,666,740.2700","-2,388,689.8400","-3,918,560.9600","252,844.5100","618,390.1600","-2,151,193.4600","-4,165,653.3700","-6,209,790.9100","-8,296,122.3700","-2,166,255.3500","-4,475,027.6200","-6,852,250.6900","242,304,595.7600","23,631,017.7200","101,543,424.5900","112,722,133.4200","287,124,636.6900","15,215,243.7200","95,369,830.7000","173,179,489.8900","371,987,259.4900","15,184,773.7200","80,973,944.8000","123,462,531.4000","255,125,697.2200","10,458,220.9600","109,819,190.3600","139,422,079.5300","318,132,373.0900"
"184","000606.SZ","计算机","","","","1,007,906.0000","","",NA,"2,603,572.0000","","","","4,072,098.0000","","4,425,383.0000","","12,116,997.6500","","5,910,748.3800",NA,"11,717,431.0000","","4,054,563.4900","","18,117,332.2100","","7,731,118.6300",NA,"20,434,300.4500","","6,018,783.7600","","18,546,655.4800","","8,316,114.8600","","15,501,848.3900","879,748.2300","5,345,280.2900","6,383,772.4400","5,201,425.7800","-2,498,979.8800","1,310,464.4200","3,430,032.3300","1,017,396.9000","-8,409,531.8900","-9,135,535.5200","-11,032,823.3300","1,627,961.6800","-19,841.9500","3,313,598.5600","5,618,974.7100","9,665,456.9400","2,208,117.7600","5,303,934.0300","10,222,325.3500","17,502,663.1300","2,829,855.5700","6,732,019.9700","12,793,909.1400","23,603,767.9500","3,479,905.6500","13,232,005.0600","18,837,422.5500","12,255,039.6000","-3,871,039.6400","-7,840,712.3900","-10,151,875.2500","-16,884,572.6200","2,080,022.9300","1,330,025.3100","4,375,813.5200","5,186,681.6100","-6,800,642.1300","12,763.2000","-8,194,219.5600","-17,886,980.0900","-6,723,833.2000","-9,432,041.8500","-8,152,917.8400","2,049,910.2200","1,661,105.4400","-4,847,014.8800","2,662,937.0800","23,138,906.7600","-10,732,274.5600","-25,524,953.1500","-49,866,083.1000","-126,817,091.0300","-22,367,487.3500","-47,714,774.1800","-12,746,506.1000","-148,795,961.3700","-16,623,965.5200","11,224,437.7700","14,933,251.0200","41,176,187.3200","-29,614,955.7400","-36,673,810.5500","-47,038,263.3900","77,591,863.2900"
"221","000662.SZ","计算机","","","","10,492,269.3000","","",NA,"8,816,643.0500","","","","10,893,327.8900","","5,225,362.6800","","14,118,064.0000","","8,878,571.3700",NA,"20,801,357.2100","","2,830,835.0200","","1,303,906.9400","","-202,929.9000",NA,"-32,433,543.9100","","-3,130,640.0200","","-73,657,807.9600","-3,634,421.8600","-14,953,753.8100","-9,837,900.0000","25,285,845.7500","9,493,925.9400","19,529,534.1000","24,228,740.8600","40,471,932.5200","14,039,833.7600","38,783,801.1600","59,393,295.1000","72,265,888.0400","20,956,753.4300","42,717,665.0400","63,523,975.3200","79,601,976.0700","18,121,157.5300","39,887,602.0800","63,922,022.9400","78,359,331.1200","13,048,681.6900","41,381,857.6500","70,626,263.6600","103,964,310.9900","18,639,392.3900","39,679,537.0700","72,175,246.7500","84,714,172.3300","18,638,962.4700","27,841,521.7400","48,745,343.6100","5,369,945.3700","1,343,570.6100","1,569,281.1300","2,389,770.8900","3,476,436.7900","464,467.0200","39,625.8200","50,181.8300","-89,496,056.4700","-1,626,892.1000","-9,683,299.7300","-24,384,842.9800","-203,009,046.3600","-6,476,824.3400","-56,209,737.3500","6,914,740.4000","12,890,829.0800","-3,983,914.2300","-17,857,377.6000","-29,153,375.9100","-62,246,144.4500","-9,706,834.1700","-35,588,271.6100","-39,842,676.5600","6,245,406.6900","-382,489.8500","-94,594.6100","-603,322.8400","-2,927,612.5700","-641,588.6300","43,117,065.0800","136,320,965.2500","320,511,601.0600","81,320,980.3700","172,241,811.4100","204,724,542.3900","574,216,801.6500"
"416","000938.SZ","计算机","","","","","","",NA,"","","","","","","","","13,743,560.8800","","",NA,"31,638,544.2900","","","","50,493,348.8500","","13,802,812.2300",NA,"56,074,272.0700","","40,117,907.8400","","80,178,339.8200","","-17,674,934.4600","","-28,156,482.0500","-6,826,919.9300","660,502.8200","6,434,965.6400","12,716,949.8900","-1,117,830.8600","5,829,918.1800","15,957,055.9400","25,296,940.1900","2,787,624.2400","13,769,676.6300","22,186,738.0600","31,885,244.8000","3,213,442.9100","15,150,378.8900","22,632,946.9000","-25,319,356.2600","4,469,975.9400","8,573,144.8900","12,196,754.8500","22,795,817.5900","4,610,766.4600","11,253,014.7700","18,455,589.6300","22,298,298.3200","23,088,354.4000","25,244,052.4400","37,068,401.8100","41,916,617.1100","4,649,690.2300","13,897,487.4900","30,321,738.9900","34,929,138.8200","4,567,148.1200","10,275,545.4700","27,648,017.5900","35,660,032.4200","5,896,683.6200","14,087,158.5600","33,486,417.2200","44,381,480.4700","12,601,215.8900","18,057,311.7400","52,299,820.0300","89,097,324.9500","16,009,653.6100","28,160,726.0700","76,349,339.9900","140,428,235.5700","24,244,980.9900","54,466,120.5500","106,704,996.7700","172,227,044.5900","36,330,821.7400","114,882,050.2900","146,053,101.5300","202,547,834.6200","39,668,968.5900","376,077,105.6500","756,017,735.1200","1,193,527,377.3500","528,217,696.7700","1,301,235,034.6200","1,846,950,793.0000","2,630,870,387.3300"
"418","000948.SZ","计算机","","","","","","",NA,"","","","","","","","","25,302,116.8300","","",NA,"37,649,522.2000","","","","57,310,372.7300","","20,995,909.0900",NA,"61,645,434.7000","","19,032,638.0300","","52,112,782.7000","","13,483,757.2400","","44,080,493.6900","548,122.2400","14,261,834.9700","22,272,177.0900","37,998,277.9900","-4,155,330.8300","2,549,296.7900","-2,531,333.5600","96,395.0800","-13,978,879.2000","3,906,761.9700","5,329,184.0600","13,411,550.2200","-5,057,269.3900","2,002,784.1400","5,846,898.9200","16,415,545.1200","-3,736,229.7000","5,691,306.4100","8,812,821.2000","26,296,164.8300","-7,291,000.5700","7,831,866.6900","13,069,189.1700","37,363,805.7400","40,024,061.0200","50,297,000.9500","61,826,357.0200","107,334,814.9600","18,663,156.7500","40,153,743.9900","56,823,871.5400","89,895,320.6200","22,232,946.8500","56,692,379.6500","76,640,132.0400","85,303,468.1400","-3,746,610.4600","28,279,445.9000","39,619,053.9300","112,511,884.3100","-19,809,871.3600","4,346,826.5700","380,860.3200","6,092,061.3000","-60,582,289.8300","-52,092,999.8200","-47,006,240.1000","4,289,783.8000","-58,444,183.1100","-41,764,406.2600","-36,669,403.1700","9,690,441.8600","-63,091,757.0400","-46,887,052.5800","-48,117,532.1600","19,421,358.5800","-51,770,714.1800","-50,202,936.5100","-51,818,077.5700","22,403,041.2800","-45,370,710.5500","-57,778,038.5400","-50,925,039.4400","21,858,039.4600"
"443","000977.SZ","计算机","","","","","","",NA,"","","","","","","","","","","",NA,"65,704,906.4500","","","","38,586,283.0800","","13,754,510.4100",NA,"46,338,290.9100","","22,058,742.3400","","72,672,604.5600","","44,268,170.1600","","48,324,020.4300","2,873,114.6700","17,061,071.0100","25,319,001.4300","78,473,156.2400","4,457,162.9300","39,324,677.3700","43,807,106.0400","73,710,917.6800","8,814,320.0700","46,931,239.8300","52,682,959.3800","60,122,234.6600","64,027.7000","29,883,430.0600","33,228,418.4400","38,014,253.3200","-146,381.2200","4,332,342.6700","4,555,093.3100","9,113,103.8100","187,932.8900","3,345,276.4900","5,513,217.7500","10,876,966.0100","34,430.6900","11,040,765.4000","13,068,982.0100","19,449,981.5100","454,172.4600","2,298,045.9000","4,062,963.4200","3,982,694.5900","-9,096,882.3100","2,050,807.8600","5,193,051.5400","34,766,105.4700","37,266,028.0400","46,533,038.1800","65,019,871.5400","76,803,544.8500","3,096,885.8400","22,706,196.5900","41,086,003.7600","68,745,635.4000","2,161,628.4600","55,626,400.6200","96,297,468.3700","144,618,647.9300","53,035,786.2700","100,873,138.2900","192,413,234.8200","338,798,121.1300","69,051,007.3900","239,901,153.9000","307,860,000.2800","447,034,430.1700","118,324,880.1500","257,476,430.5200","345,686,600.8500","283,541,472.0500","70,100,540.0400","142,292,683.7500","248,256,358.6900","424,415,677.9200"
