"","证券代码","申万一级行业","净利润..报告期..1993一季..报表类型..合并报表..单位..元","净利润..报告期..1993中报..报表类型..合并报表..单位..元","净利润..报告期..1993三季..报表类型..合并报表..单位..元","净利润..报告期..1993年报..报表类型..合并报表..单位..元","净利润..报告期..1994一季..报表类型..合并报表..单位..元","净利润..报告期..1994中报..报表类型..合并报表..单位..元","净利润..报告期..1994三季..报表类型..合并报表..单位..元","净利润..报告期..1994年报..报表类型..合并报表..单位..元","净利润..报告期..1995一季..报表类型..合并报表..单位..元","净利润..报告期..1995中报..报表类型..合并报表..单位..元","净利润..报告期..1995三季..报表类型..合并报表..单位..元","净利润..报告期..1995年报..报表类型..合并报表..单位..元","净利润..报告期..1996一季..报表类型..合并报表..单位..元","净利润..报告期..1996中报..报表类型..合并报表..单位..元","净利润..报告期..1996三季..报表类型..合并报表..单位..元","净利润..报告期..1996年报..报表类型..合并报表..单位..元","净利润..报告期..1997一季..报表类型..合并报表..单位..元","净利润..报告期..1997中报..报表类型..合并报表..单位..元","净利润..报告期..1997三季..报表类型..合并报表..单位..元","净利润..报告期..1997年报..报表类型..合并报表..单位..元","净利润..报告期..1998一季..报表类型..合并报表..单位..元","净利润..报告期..1998中报..报表类型..合并报表..单位..元","净利润..报告期..1998三季..报表类型..合并报表..单位..元","净利润..报告期..1998年报..报表类型..合并报表..单位..元","净利润..报告期..1999一季..报表类型..合并报表..单位..元","净利润..报告期..1999中报..报表类型..合并报表..单位..元","净利润..报告期..1999三季..报表类型..合并报表..单位..元","净利润..报告期..1999年报..报表类型..合并报表..单位..元","净利润..报告期..2000一季..报表类型..合并报表..单位..元","净利润..报告期..2000中报..报表类型..合并报表..单位..元","净利润..报告期..2000三季..报表类型..合并报表..单位..元","净利润..报告期..2000年报..报表类型..合并报表..单位..元","净利润..报告期..2001一季..报表类型..合并报表..单位..元","净利润..报告期..2001中报..报表类型..合并报表..单位..元","净利润..报告期..2001三季..报表类型..合并报表..单位..元","净利润..报告期..2001年报..报表类型..合并报表..单位..元","净利润..报告期..2002一季..报表类型..合并报表..单位..元","净利润..报告期..2002中报..报表类型..合并报表..单位..元","净利润..报告期..2002三季..报表类型..合并报表..单位..元","净利润..报告期..2002年报..报表类型..合并报表..单位..元","净利润..报告期..2003一季..报表类型..合并报表..单位..元","净利润..报告期..2003中报..报表类型..合并报表..单位..元","净利润..报告期..2003三季..报表类型..合并报表..单位..元","净利润..报告期..2003年报..报表类型..合并报表..单位..元","净利润..报告期..2004一季..报表类型..合并报表..单位..元","净利润..报告期..2004中报..报表类型..合并报表..单位..元","净利润..报告期..2004三季..报表类型..合并报表..单位..元","净利润..报告期..2004年报..报表类型..合并报表..单位..元","净利润..报告期..2005一季..报表类型..合并报表..单位..元","净利润..报告期..2005中报..报表类型..合并报表..单位..元","净利润..报告期..2005三季..报表类型..合并报表..单位..元","净利润..报告期..2005年报..报表类型..合并报表..单位..元","净利润..报告期..2006一季..报表类型..合并报表..单位..元","净利润..报告期..2006中报..报表类型..合并报表..单位..元","净利润..报告期..2006三季..报表类型..合并报表..单位..元","净利润..报告期..2006年报..报表类型..合并报表..单位..元","净利润..报告期..2007一季..报表类型..合并报表..单位..元","净利润..报告期..2007中报..报表类型..合并报表..单位..元","净利润..报告期..2007三季..报表类型..合并报表..单位..元","净利润..报告期..2007年报..报表类型..合并报表..单位..元","净利润..报告期..2008一季..报表类型..合并报表..单位..元","净利润..报告期..2008中报..报表类型..合并报表..单位..元","净利润..报告期..2008三季..报表类型..合并报表..单位..元","净利润..报告期..2008年报..报表类型..合并报表..单位..元","净利润..报告期..2009一季..报表类型..合并报表..单位..元","净利润..报告期..2009中报..报表类型..合并报表..单位..元","净利润..报告期..2009三季..报表类型..合并报表..单位..元","净利润..报告期..2009年报..报表类型..合并报表..单位..元","净利润..报告期..2010一季..报表类型..合并报表..单位..元","净利润..报告期..2010中报..报表类型..合并报表..单位..元","净利润..报告期..2010三季..报表类型..合并报表..单位..元","净利润..报告期..2010年报..报表类型..合并报表..单位..元","净利润..报告期..2011一季..报表类型..合并报表..单位..元","净利润..报告期..2011中报..报表类型..合并报表..单位..元","净利润..报告期..2011三季..报表类型..合并报表..单位..元","净利润..报告期..2011年报..报表类型..合并报表..单位..元","净利润..报告期..2012一季..报表类型..合并报表..单位..元","净利润..报告期..2012中报..报表类型..合并报表..单位..元","净利润..报告期..2012三季..报表类型..合并报表..单位..元","净利润..报告期..2012年报..报表类型..合并报表..单位..元","净利润..报告期..2013一季..报表类型..合并报表..单位..元","净利润..报告期..2013中报..报表类型..合并报表..单位..元","净利润..报告期..2013三季..报表类型..合并报表..单位..元","净利润..报告期..2013年报..报表类型..合并报表..单位..元","净利润..报告期..2014一季..报表类型..合并报表..单位..元","净利润..报告期..2014中报..报表类型..合并报表..单位..元","净利润..报告期..2014三季..报表类型..合并报表..单位..元","净利润..报告期..2014年报..报表类型..合并报表..单位..元","净利润..报告期..2015一季..报表类型..合并报表..单位..元","净利润..报告期..2015中报..报表类型..合并报表..单位..元","净利润..报告期..2015三季..报表类型..合并报表..单位..元","净利润..报告期..2015年报..报表类型..合并报表..单位..元","净利润..报告期..2016一季..报表类型..合并报表..单位..元","净利润..报告期..2016中报..报表类型..合并报表..单位..元","净利润..报告期..2016三季..报表类型..合并报表..单位..元","净利润..报告期..2016年报..报表类型..合并报表..单位..元","净利润..报告期..2017一季..报表类型..合并报表..单位..元","净利润..报告期..2017中报..报表类型..合并报表..单位..元","净利润..报告期..2017三季..报表类型..合并报表..单位..元","净利润..报告期..2017年报..报表类型..合并报表..单位..元"
"22","000026.SZ","轻工制造","","","","54,850,087.6300","","38,143,484.5900",NA,"70,618,320.5400","","38,602,188.3900","","76,644,853.8700","","26,182,304.8900","","67,769,490.8100","","48,549,793.9200",NA,"81,859,287.3900","","36,817,028.2400","","52,534,555.8200","","7,628,667.3600",NA,"32,296,526.6600","","6,303,122.2600","","15,074,920.9800","","16,212,720.9900","16,709,759.0800","10,567,059.0000","3,941,709.0000","8,412,353.7000","12,195,526.8000","-77,816,130.0000","3,702,795.6800","6,066,624.3800","7,277,139.2800","4,242,805.0000","2,199,439.8400","1,562,895.1400","1,058,334.3000","1,970,977.0000","753,012.2300","5,280,095.5700","9,361,176.6700","15,851,506.9300","4,762,286.8400","13,065,278.0300","19,985,198.9400","30,594,097.9500","12,096,635.3200","27,144,021.8600","48,183,122.6100","61,744,135.3900","15,512,796.7500","38,933,382.6800","55,330,867.9100","65,018,761.8200","10,694,060.6700","27,606,437.9100","48,236,690.2200","70,750,533.0700","20,310,848.0700","42,426,523.4600","68,665,127.1800","94,018,545.5100","37,041,345.5900","86,166,842.5200","137,481,815.7800","159,259,299.9800","35,068,963.4800","65,159,296.2800","94,589,743.1900","115,659,865.8300","34,785,542.8900","69,212,725.9200","104,789,975.8300","130,125,019.8100","44,201,800.7300","88,383,300.8000","127,473,424.4100","146,103,233.2200","45,115,820.6300","73,280,568.1400","107,060,597.3900","122,043,680.7300","27,101,640.9100","60,363,242.2200","108,030,712.9300","110,374,847.3000","45,210,493.6600","86,611,784.5400","136,135,910.8900","142,616,359.2000"
"100","000488.SZ","轻工制造","","","","","","",NA,"","","","","","","","","","","96,233,627.8100",NA,"185,437,919.0000","","113,112,374.7200","","167,615,347.5700","","144,066,655.5500",NA,"254,823,266.2300","","177,036,389.5100","","335,373,964.1100","","143,847,950.3600","","181,222,013.7700","68,440,584.2800","189,202,819.6900","310,944,598.9400","476,061,835.4200","150,122,932.2100","406,261,034.5800","585,441,812.1200","707,111,330.6100","171,607,293.4800","373,112,528.3400","535,139,535.0700","641,032,928.5000","190,978,909.5300","382,498,411.9800","556,945,822.9100","661,846,207.7700","180,236,155.5000","393,436,741.8100","610,394,819.7100","514,949,570.3800","210,661,047.7100","485,913,709.7900","845,343,185.7400","1,218,541,189.2900","535,835,125.4700","1,079,653,729.6200","1,464,307,806.9000","1,259,541,454.2700","5,388,248.2800","186,114,826.6200","532,169,708.1500","953,911,430.2200","263,704,341.0100","696,079,087.4600","948,521,577.8900","1,301,658,119.0700","252,566,843.0100","496,814,994.7300","638,565,409.6900","588,726,782.8200","-26,631,232.7100","25,385,700.2500","36,996,420.1900","46,686,257.0700","64,513,902.2800","311,210,401.8700","504,293,556.3600","690,353,237.6200","72,842,955.8000","227,703,505.7800","316,531,993.0000","453,308,872.6500","82,587,435.4200","253,713,266.0400","525,467,739.2100","977,931,606.8500","390,816,778.2000","926,054,389.4800","1,538,241,149.8800","2,022,605,809.3500","699,531,029.3100","1,747,717,658.8700","2,724,258,181.8400","3,758,962,846.6700"
"169","000587.SZ","轻工制造","","","","42,483,398.1700","","",NA,"45,455,757.6200","","","","45,836,213.8500","","13,360,000.0000","","48,580,184.4700","","18,730,000.0000",NA,"39,598,849.1100","","23,254,185.2800","","41,133,226.4600","","6,896,608.3200",NA,"45,723,310.4900","","6,536,848.8200","","26,794,964.5100","","15,061,363.0400","","38,014,093.4700","3,676,869.1400","-315,260.1900","-17,988,235.9400","-110,801,434.9000","-13,125,925.6200","-30,115,103.2900","-36,574,390.7200","-173,318,269.0400","195,803.4100","-22,652,940.2600","-31,950,809.3700","8,902,653.4000","974,463.9200","2,068,038.6700","-19,404,019.7900","-164,022,151.0700","-11,016,010.2000","-19,017,138.2200","-37,808,105.5900","-120,976,621.9600","-12,359,784.9800","-29,589,652.9400","-44,678,654.5200","18,820,727.4400","-31,993,691.5000","-51,128,941.5100","-71,163,753.3000","-172,822,216.2800","-12,494,657.0700","-44,244,115.9000","-63,891,727.3600","10,130,765.0500","-13,326,638.2600","-17,042,079.6200","-19,419,535.6300","-162,773,367.7700","397,124,404.2600","396,787,479.2700","475,028,322.0900","546,418,152.5300","38,858,274.0800","72,939,874.3300","125,989,777.5500","179,721,932.7100","28,130,783.9200","59,029,842.7200","127,406,026.1900","147,796,928.2000","36,838,904.9600","69,332,355.9900","115,174,542.6900","144,970,031.8400","31,568,569.8200","70,288,229.8000","118,089,123.1000","306,954,231.4100","160,634,043.0700","533,049,840.1500","758,135,502.4500","1,125,623,615.7500","114,000,428.5100","400,664,900.4100","792,758,982.8900","1,109,823,962.5100"
"219","000659.SZ","轻工制造","","","","46,539,996.5200","","",NA,"48,357,909.8000","","","","51,956,313.0700","","31,537,990.3500","","64,320,007.3500","","34,654,870.1700",NA,"102,502,068.4600","","92,615,070.2200","","114,785,278.3300","","38,240,140.0800",NA,"165,272,488.1700","","41,773,680.9400","","99,698,704.3500","","37,140,107.6900","","101,447,550.8800","35,529,163.3600","81,407,462.8000","130,621,237.6300","174,826,394.3800","36,659,980.9100","81,822,687.2600","105,812,264.9600","99,018,126.5400","51,935,186.4900","112,176,812.8000","151,821,581.9700","148,631,769.4600","37,881,744.1100","78,162,438.7400","124,428,781.5200","91,681,891.3000","39,042,784.9900","97,769,180.3900","142,734,414.6100","145,075,205.0700","39,989,803.9100","100,518,056.5300","177,958,266.1700","131,704,702.4000","32,623,145.1300","82,841,973.7300","139,084,357.7200","93,524,985.3800","27,692,711.7900","129,716,047.1000","225,341,693.9700","191,998,082.6600","35,721,307.3800","111,415,389.8700","224,587,902.2600","206,283,046.4000","43,024,540.0200","98,554,709.7100","155,183,442.2000","73,136,059.2600","-15,384,575.9800","12,495,918.1400","31,136,134.1900","-203,584,180.7100","-70,709,626.0500","-77,532,758.2600","-115,815,316.3700","-1,186,757,634.0800","65,201,078.8100","93,054,156.7600","112,301,754.3200","37,520,356.1700","-42,325,878.2100","4,283,095.6500","-8,043,986.1600","-71,664,890.1800","-49,809,259.1600","-56,121,282.6600","-80,178,810.8500","-588,346,640.8900","-13,207,731.9600","9,928,750.9100","40,844,678.9100","90,920,165.0300"
"222","000663.SZ","轻工制造","","","","8,866,150.0000","","",NA,"13,212,110.0000","","","","14,362,035.0000","","8,519,040.0000","","22,414,904.8800","","14,919,903.8200",NA,"51,826,113.1500","","45,849,318.0800","","75,837,721.4000","","66,269,533.8000",NA,"48,388,139.1200","","16,421,993.3000","","13,195,897.5400","","9,718,475.9800","","8,069,112.5800","71,041.0500","5,185,615.2600","2,194,941.4100","12,554,073.7300","3,128,255.8400","10,557,306.1300","13,638,887.8300","17,658,454.9900","1,689,974.9200","8,404,622.5400","11,896,249.3300","4,270,071.1100","1,566,629.2100","4,151,380.1400","5,353,494.0800","6,213,380.7100","1,723,778.4900","-7,050,589.7900","-5,507,992.5900","-17,162,946.1400","2,228,436.0500","5,052,125.1800","8,332,627.7800","28,550,107.5100","2,572,358.4500","4,329,122.5600","3,075,465.4500","5,915,039.1800","1,157,440.7900","2,892,492.0400","2,324,769.1000","-4,534,708.1600","-336,228.6300","-11,580,289.8000","3,099,207.2700","11,448,004.3200","-1,551,899.9500","-11,927,755.1000","-9,551,902.9500","-44,130,303.9900","-5,635,170.3000","-11,726,953.7900","-9,317,348.6900","13,764,983.0800","-744,910.4000","-9,139,633.2700","-3,713,962.1400","13,774,778.9900","-8,617,290.4900","-6,146,133.8700","-2,157,701.3400","-18,033,616.7400","147,393.2400","5,330,635.3900","8,929,476.9900","47,495,187.5900","-15,888,653.0300","10,268,661.2700","13,453,218.7000","129,117,934.2700","-17,124,847.4600","7,363,827.0300","30,573,571.8200","71,280,009.6400"
"329","000812.SZ","轻工制造","","","","","","",NA,"","","","","10,699,911.1200","","","","24,754,050.1900","","11,246,922.4100",NA,"29,290,101.9200","","10,646,561.2300","","34,795,889.5500","","15,295,033.3700",NA,"43,152,921.7900","","15,362,474.8300","","43,304,355.7300","","10,976,721.2600","","25,285,285.2500","1,390,241.4100","5,772,830.9300","6,166,377.4600","32,952,685.0600","2,590,669.7600","7,082,400.8000","32,245,287.0500","40,297,033.5000","1,661,268.4700","5,573,137.0400","8,721,176.8800","24,082,591.4900","3,870,121.2500","7,104,541.1800","8,965,848.5500","20,202,076.7000","2,651,448.8900","2,365,778.8900","-2,180,346.2000","-142,540,088.0400","3,008,888.2400","46,050,679.2200","53,736,410.5200","61,369,375.1100","3,005,021.5500","12,822,176.0900","20,507,936.8600","23,391,663.3000","6,877,379.7900","23,647,407.2500","34,211,085.4100","50,089,169.1100","10,751,415.2800","27,177,301.5000","34,688,780.9400","63,147,087.9200","11,920,765.7800","30,585,980.6500","48,501,891.6700","86,004,803.3600","15,352,055.6300","36,458,937.7300","64,755,947.3400","108,526,516.9800","20,180,132.4200","45,481,986.5200","75,273,912.7700","98,479,049.5400","26,595,585.8500","50,018,088.8200","72,089,113.4300","99,916,795.1800","15,392,338.0500","37,089,314.6500","40,765,469.5500","47,428,683.5100","13,916,831.4600","26,738,281.2600","38,976,801.8700","57,564,528.0700","14,752,197.2800","21,030,493.5300","26,354,932.1800","50,575,746.6800"
"331","000815.SZ","轻工制造","","","","","","",NA,"","","","","10,249,326.0300","","","","28,647,238.9700","","",NA,"13,142,526.1200","","8,087,207.9900","","28,094,136.1200","","14,054,195.5200",NA,"40,766,869.8900","","12,626,726.9800","","42,616,861.3000","","17,392,418.7700","23,613,646.0800","41,543,096.8200","6,622,722.0600","12,487,473.9200","20,877,253.4600","43,270,556.1800","11,818,481.1600","24,012,792.7800","33,723,503.4100","45,992,323.6600","11,942,441.6900","30,454,009.0200","47,334,637.9700","61,135,852.2700","13,835,724.4400","35,174,851.6700","46,731,769.8300","62,397,093.7800","11,504,000.8300","28,563,839.9700","43,135,720.6600","35,561,662.8400","12,981,959.1700","27,060,459.6100","34,834,931.3300","68,061,734.4300","12,077,840.9700","49,203,333.5000","53,749,520.2000","71,090,038.1200","1,223,199.3100","3,740,053.1500","5,861,566.1700","10,800,460.4400","9,393,307.2200","-76,446,562.6800","-95,431,880.4100","-115,767,574.7200","-11,252,093.0700","-54,485,972.6500","-101,775,959.2800","-190,467,771.0600","-19,288,900.3100","-79,803,358.7000","-84,657,737.9900","25,166,132.1300","-13,683,313.1600","-82,349,167.8200","-131,669,744.5300","-241,384,599.8200","-42,179,982.7200","-136,042,897.8800","-426,813,437.0200","-649,097,283.1800","-63,285,367.0400","-149,118,851.9600","-211,344,936.2900","148,079,318.2900","-22,995,443.9500","-47,995,748.4800","-66,746,650.4900","3,945,831.3700","-9,866,222.9700","-3,464,318.8400","3,662,792.7300","25,585,402.0200"
"392","000910.SZ","轻工制造","","","","","","",NA,"","","","","","","","","35,528,384.8400","","",NA,"52,749,405.7300","","","","65,044,000.6400","","25,562,276.4700",NA,"68,394,951.7900","","19,174,983.9700","","58,484,567.8000","","19,002,995.3100","","58,393,018.1900","8,692,073.0100","19,473,055.9800","32,165,393.9500","64,157,867.0100","11,052,739.6800","26,463,744.7000","44,689,464.0300","77,105,756.3500","12,955,283.9000","32,421,762.7300","54,050,259.1300","97,825,932.0000","15,915,636.3400","33,653,890.5600","57,523,773.5000","89,936,228.3800","19,315,513.9700","68,909,471.7000","128,374,720.8300","216,218,589.8900","57,551,543.9200","123,771,500.6800","202,414,204.5700","314,242,938.7900","57,488,085.1600","147,261,619.0800","215,197,532.1500","316,882,607.4500","50,662,832.7700","102,089,997.9800","159,966,633.5900","275,248,794.6500","52,523,577.4200","111,008,228.8900","224,006,023.8400","326,620,673.6400","57,483,888.7400","115,518,492.9200","179,276,308.8300","215,925,268.5700","38,872,812.2600","73,116,248.3900","145,854,451.1600","243,231,888.3700","27,271,630.4400","74,170,267.8300","143,207,882.2200","260,511,359.6400","36,006,598.2700","97,942,367.7200","170,294,998.5200","273,963,514.0800","46,288,948.0500","121,411,984.2600","244,663,737.8500","390,517,789.1400","30,355,682.5100","113,574,627.9700","307,257,594.6500","534,142,934.9500","39,730,312.0400","153,453,901.5500","403,878,222.5400","737,440,933.8000"
"476","002012.SZ","轻工制造","","","","","","",NA,"","","","","","","","","","","",NA,"","","","","","","",NA,"","","","","","","","","24,910,835.0000","","","","33,046,831.0000","","17,160,721.0000","25,381,170.0000","38,083,551.0000","9,066,576.0000","17,938,219.0000","28,604,537.0000","44,409,203.0000","12,268,508.0000","15,282,800.0000","20,717,811.0000","22,733,414.1200","2,541,827.9900","5,844,400.0900","7,455,535.9300","8,063,644.2900","-16,636,918.1000","-1,596,669.2000","-2,507,132.7300","-12,917,417.3900","16,227,410.4300","21,591,802.1700","28,327,675.2300","29,093,240.4000","5,114,808.2800","22,658,340.6500","45,155,960.6100","76,088,976.3100","27,432,806.1800","58,770,680.8900","81,923,627.8500","114,205,842.4300","29,627,845.5500","68,737,939.1200","108,370,916.5900","131,980,319.8900","23,294,278.6100","51,423,823.0300","76,015,333.8900","98,131,086.0600","15,845,669.7400","34,602,232.1100","51,515,371.1100","6,733,235.3200","12,871,795.5700","35,033,356.5500","41,740,357.9100","49,940,207.4300","9,953,145.2400","20,934,910.2200","27,500,473.5500","27,579,362.8900","-5,780,184.9600","-759,124.2200","-13,873,048.8000","17,997,557.5900","20,829,067.7800","26,571,199.1000","31,215,980.1100","41,729,444.7900"
"478","002014.SZ","轻工制造","","","","","","",NA,"","","","","","","","","","","",NA,"","","","","","","",NA,"","","","","","","","","21,270,298.9000","","","","35,340,560.0000","","21,196,296.9900","31,980,232.7000","42,761,027.3100","12,355,450.9300","23,808,845.3100","32,363,917.9200","43,680,911.9900","8,472,044.4900","20,667,562.9300","29,562,359.3200","43,844,690.1700","11,285,773.2900","23,332,417.5900","31,171,925.4500","49,200,675.0700","12,558,333.0700","26,509,113.6700","37,719,800.8600","56,326,676.2700","15,243,473.9300","31,295,366.1600","47,837,418.6700","70,361,110.9500","18,588,363.3400","40,231,203.6500","61,553,953.6400","102,796,173.5100","23,851,378.3000","49,922,941.4900","77,992,550.9500","122,076,804.7400","29,886,542.4600","62,402,097.8200","98,884,904.2300","147,792,533.7500","38,089,390.9400","80,043,431.8600","121,103,671.3500","180,260,556.7700","43,504,882.0100","76,714,207.5500","119,398,813.4900","175,691,346.8000","33,939,467.9200","65,368,437.0300","102,570,679.7800","153,483,518.9500","36,703,471.7000","79,820,981.5900","125,748,727.6700","182,279,719.8100","40,802,405.2800","89,130,105.7900","148,748,522.1200","207,525,336.1100","42,862,607.8900","85,115,827.0200","139,050,420.3300","211,284,350.1800"
