"","证券代码","申万一级行业","净利润..报告期..1993一季..报表类型..合并报表..单位..元","净利润..报告期..1993中报..报表类型..合并报表..单位..元","净利润..报告期..1993三季..报表类型..合并报表..单位..元","净利润..报告期..1993年报..报表类型..合并报表..单位..元","净利润..报告期..1994一季..报表类型..合并报表..单位..元","净利润..报告期..1994中报..报表类型..合并报表..单位..元","净利润..报告期..1994三季..报表类型..合并报表..单位..元","净利润..报告期..1994年报..报表类型..合并报表..单位..元","净利润..报告期..1995一季..报表类型..合并报表..单位..元","净利润..报告期..1995中报..报表类型..合并报表..单位..元","净利润..报告期..1995三季..报表类型..合并报表..单位..元","净利润..报告期..1995年报..报表类型..合并报表..单位..元","净利润..报告期..1996一季..报表类型..合并报表..单位..元","净利润..报告期..1996中报..报表类型..合并报表..单位..元","净利润..报告期..1996三季..报表类型..合并报表..单位..元","净利润..报告期..1996年报..报表类型..合并报表..单位..元","净利润..报告期..1997一季..报表类型..合并报表..单位..元","净利润..报告期..1997中报..报表类型..合并报表..单位..元","净利润..报告期..1997三季..报表类型..合并报表..单位..元","净利润..报告期..1997年报..报表类型..合并报表..单位..元","净利润..报告期..1998一季..报表类型..合并报表..单位..元","净利润..报告期..1998中报..报表类型..合并报表..单位..元","净利润..报告期..1998三季..报表类型..合并报表..单位..元","净利润..报告期..1998年报..报表类型..合并报表..单位..元","净利润..报告期..1999一季..报表类型..合并报表..单位..元","净利润..报告期..1999中报..报表类型..合并报表..单位..元","净利润..报告期..1999三季..报表类型..合并报表..单位..元","净利润..报告期..1999年报..报表类型..合并报表..单位..元","净利润..报告期..2000一季..报表类型..合并报表..单位..元","净利润..报告期..2000中报..报表类型..合并报表..单位..元","净利润..报告期..2000三季..报表类型..合并报表..单位..元","净利润..报告期..2000年报..报表类型..合并报表..单位..元","净利润..报告期..2001一季..报表类型..合并报表..单位..元","净利润..报告期..2001中报..报表类型..合并报表..单位..元","净利润..报告期..2001三季..报表类型..合并报表..单位..元","净利润..报告期..2001年报..报表类型..合并报表..单位..元","净利润..报告期..2002一季..报表类型..合并报表..单位..元","净利润..报告期..2002中报..报表类型..合并报表..单位..元","净利润..报告期..2002三季..报表类型..合并报表..单位..元","净利润..报告期..2002年报..报表类型..合并报表..单位..元","净利润..报告期..2003一季..报表类型..合并报表..单位..元","净利润..报告期..2003中报..报表类型..合并报表..单位..元","净利润..报告期..2003三季..报表类型..合并报表..单位..元","净利润..报告期..2003年报..报表类型..合并报表..单位..元","净利润..报告期..2004一季..报表类型..合并报表..单位..元","净利润..报告期..2004中报..报表类型..合并报表..单位..元","净利润..报告期..2004三季..报表类型..合并报表..单位..元","净利润..报告期..2004年报..报表类型..合并报表..单位..元","净利润..报告期..2005一季..报表类型..合并报表..单位..元","净利润..报告期..2005中报..报表类型..合并报表..单位..元","净利润..报告期..2005三季..报表类型..合并报表..单位..元","净利润..报告期..2005年报..报表类型..合并报表..单位..元","净利润..报告期..2006一季..报表类型..合并报表..单位..元","净利润..报告期..2006中报..报表类型..合并报表..单位..元","净利润..报告期..2006三季..报表类型..合并报表..单位..元","净利润..报告期..2006年报..报表类型..合并报表..单位..元","净利润..报告期..2007一季..报表类型..合并报表..单位..元","净利润..报告期..2007中报..报表类型..合并报表..单位..元","净利润..报告期..2007三季..报表类型..合并报表..单位..元","净利润..报告期..2007年报..报表类型..合并报表..单位..元","净利润..报告期..2008一季..报表类型..合并报表..单位..元","净利润..报告期..2008中报..报表类型..合并报表..单位..元","净利润..报告期..2008三季..报表类型..合并报表..单位..元","净利润..报告期..2008年报..报表类型..合并报表..单位..元","净利润..报告期..2009一季..报表类型..合并报表..单位..元","净利润..报告期..2009中报..报表类型..合并报表..单位..元","净利润..报告期..2009三季..报表类型..合并报表..单位..元","净利润..报告期..2009年报..报表类型..合并报表..单位..元","净利润..报告期..2010一季..报表类型..合并报表..单位..元","净利润..报告期..2010中报..报表类型..合并报表..单位..元","净利润..报告期..2010三季..报表类型..合并报表..单位..元","净利润..报告期..2010年报..报表类型..合并报表..单位..元","净利润..报告期..2011一季..报表类型..合并报表..单位..元","净利润..报告期..2011中报..报表类型..合并报表..单位..元","净利润..报告期..2011三季..报表类型..合并报表..单位..元","净利润..报告期..2011年报..报表类型..合并报表..单位..元","净利润..报告期..2012一季..报表类型..合并报表..单位..元","净利润..报告期..2012中报..报表类型..合并报表..单位..元","净利润..报告期..2012三季..报表类型..合并报表..单位..元","净利润..报告期..2012年报..报表类型..合并报表..单位..元","净利润..报告期..2013一季..报表类型..合并报表..单位..元","净利润..报告期..2013中报..报表类型..合并报表..单位..元","净利润..报告期..2013三季..报表类型..合并报表..单位..元","净利润..报告期..2013年报..报表类型..合并报表..单位..元","净利润..报告期..2014一季..报表类型..合并报表..单位..元","净利润..报告期..2014中报..报表类型..合并报表..单位..元","净利润..报告期..2014三季..报表类型..合并报表..单位..元","净利润..报告期..2014年报..报表类型..合并报表..单位..元","净利润..报告期..2015一季..报表类型..合并报表..单位..元","净利润..报告期..2015中报..报表类型..合并报表..单位..元","净利润..报告期..2015三季..报表类型..合并报表..单位..元","净利润..报告期..2015年报..报表类型..合并报表..单位..元","净利润..报告期..2016一季..报表类型..合并报表..单位..元","净利润..报告期..2016中报..报表类型..合并报表..单位..元","净利润..报告期..2016三季..报表类型..合并报表..单位..元","净利润..报告期..2016年报..报表类型..合并报表..单位..元","净利润..报告期..2017一季..报表类型..合并报表..单位..元","净利润..报告期..2017中报..报表类型..合并报表..单位..元","净利润..报告期..2017三季..报表类型..合并报表..单位..元","净利润..报告期..2017年报..报表类型..合并报表..单位..元"
"28","000032.SZ","通信","","18,454,926.8300","","39,421,707.8700","","21,351,800.0000",NA,"37,124,008.2600","","7,326,800.0000","","16,213,867.4600","","7,280,300.0000","","13,287,015.4400","","7,660,124.4300",NA,"6,010,408.2000","","7,217,560.2300","","20,975,986.4100","","10,935,310.9800",NA,"33,739,194.5300","","8,592,786.6600","","37,122,642.7700","","19,330,102.6000","","41,062,360.8600","7,888,858.9200","36,099,640.3100","42,375,593.5700","43,930,128.0300","23,535,997.2900","31,961,476.1100","43,747,461.3400","48,835,290.5800","18,654,726.9700","26,738,079.2000","42,722,509.4200","24,941,336.6100","14,653,075.1500","25,385,930.6400","33,050,793.6500","43,257,662.4500","10,761,668.3800","26,903,987.9300","39,253,320.7300","56,803,598.6000","13,328,102.5200","27,177,485.6900","41,403,613.6100","93,134,425.2300","60,974,793.8800","70,453,954.9100","78,381,966.2000","81,888,690.8700","18,349,645.0100","22,776,729.5600","25,569,564.6500","48,344,110.4600","9,026,134.4500","15,022,266.6800","37,164,702.8100","48,170,031.1400","14,529,486.0900","25,751,549.6400","29,000,530.4500","44,882,424.9800","-13,828,350.4700","-15,543,717.2500","-15,498,020.8600","178,982,041.0900","15,677,593.6800","27,518,814.2400","27,019,007.1900","15,010,787.6700","-6,679,955.4500","-13,101,498.3800","-16,122,677.5100","17,918,127.7000","-2,392,557.0300","-7,368,870.9300","53,547,175.6600","49,461,389.3300","15,132,693.8700","35,245,881.8500","49,620,460.5900","45,756,957.0800","7,260,896.9900","19,005,911.2800","36,428,858.7900","13,066,915.2200"
"50","000063.SZ","通信","","","","","","",NA,"80,712,559.3100","","","","73,148,555.2100","","","","99,056,703.1600","","41,241,434.6500",NA,"121,264,104.2000","","122,056,293.1300","","330,099,151.4100","","111,910,275.1800",NA,"224,333,223.0800","","128,357,682.0300","","375,513,614.3600","","224,721,400.5800","","605,085,341.3800","68,907,391.7000","131,704,391.9200","179,754,998.4600","616,537,205.2900","104,291,551.0000","193,636,692.4600","274,845,947.5500","815,196,185.5400","160,885,377.5700","611,158,115.0000","857,119,071.0000","1,210,881,000.0000","260,498,000.0000","769,675,000.0000","950,994,000.0000","1,343,319,000.0000","47,775,000.0000","401,298,000.0000","522,030,000.0000","903,612,000.0000","73,962,000.0000","555,407,000.0000","736,193,000.0000","1,451,451,000.0000","120,598,000.0000","669,426,000.0000","973,159,000.0000","1,911,935,000.0000","106,037,000.0000","868,739,000.0000","1,319,730,000.0000","2,695,661,000.0000","194,252,000.0000","993,288,000.0000","1,491,712,000.0000","3,476,482,000.0000","163,008,000.0000","836,330,000.0000","1,180,958,000.0000","2,243,093,000.0000","212,518,000.0000","392,008,000.0000","-1,508,260,000.0000","-2,604,621,000.0000","200,532,000.0000","329,244,000.0000","580,180,000.0000","1,433,636,000.0000","627,325,000.0000","1,171,311,000.0000","1,866,883,000.0000","2,727,730,000.0000","861,196,000.0000","1,832,186,000.0000","2,895,394,000.0000","3,740,270,000.0000","1,061,152,000.0000","2,188,354,000.0000","3,421,271,000.0000","-1,407,869,000.0000","1,317,453,000.0000","2,543,216,000.0000","4,294,059,000.0000","5,386,342,000.0000"
"55","000070.SZ","通信","","","","","","",NA,"","","","","","","","","","","",NA,"48,764,364.0000","","","","49,897,764.0000","","15,662,650.6800",NA,"55,539,779.0000","","21,246,318.7400","","56,522,775.0000","","25,690,592.7100","","39,638,308.1600","2,094,594.6100","2,474,927.4400","4,921,764.6800","1,194,250.9200","-3,815,824.1800","1,681,022.8400","-202,745.3800","4,949,416.0000","-3,701,801.7400","2,045,713.0300","4,440,359.4800","4,861,152.9000","-7,210,034.0500","-2,177,798.0800","-1,488,001.0700","-168,552,349.9200","834,915.2700","1,157,417.0200","1,418,953.2000","1,731,274.9200","-1,448,418.6700","1,877,558.0900","4,612,672.8200","11,511,252.3900","510,202.2300","10,140,477.1300","22,173,226.8900","35,166,516.7000","5,810,114.2800","18,539,003.5000","31,002,006.2800","40,552,979.5000","8,160,637.2600","23,615,945.7300","32,722,363.1000","62,603,608.6900","8,597,275.9200","14,842,337.9900","29,200,511.5600","41,920,474.2400","10,741,486.7300","25,531,448.3700","43,773,558.0200","54,624,143.5500","24,194,780.7800","42,917,543.7500","56,086,309.6800","64,401,870.7800","9,760,870.2900","30,767,715.7200","55,163,299.9200","70,810,942.9400","16,569,832.2700","46,843,324.8600","67,998,084.4900","113,619,865.6900","39,578,352.0100","89,084,581.2600","145,171,049.1700","229,066,696.2600","51,656,764.6800","124,016,311.2300","200,622,227.7000","297,563,239.4500"
"152","000561.SZ","通信","","","","58,111,348.0000","","45,239,730.0000",NA,"88,698,201.0000","","55,033,230.0000","","82,409,824.0000","","30,316,518.0000","","68,661,000.0000","","24,189,094.0000",NA,"36,601,857.0000","","9,164,535.0700","","6,931,256.0900","","-31,168,436.8300",NA,"-182,485,849.4000","","-8,099,306.6100","","12,788,192.4300","","4,913,201.3400","","-324,184,349.5800","-8,813,570.4700","-31,192,264.0000","-39,451,200.5400","-301,757,907.8200","317,430.5300","3,399,543.5300","1,920,555.7400","-481,340,256.8400","2,802,552.0100","16,868,222.6400","18,472,160.2000","25,821,408.2500","-2,413,912.6200","-348,920.1800","27,244,301.7100","16,643,820.6900","-19,984,588.0900","-39,696,360.9900","-53,408,017.1000","-42,223,691.5200","-18,156,285.2700","-27,580,817.9100","-35,466,265.0800","-408,982,788.5900","-2,734,877.5300","-4,496,995.7100","-6,152,651.1000","755,321,554.5700","-3,116,018.6200","-10,063,380.3100","-15,771,474.7700","-31,988,082.8000","13,428,945.2700","29,473,975.6600","46,191,858.9000","102,753,274.2100","1,167,594.4100","27,816,484.9100","49,147,973.4800","122,144,464.0900","9,489,666.5800","23,328,294.7100","24,738,262.0500","32,180,681.1700","-39,117,128.6400","-25,162,822.1200","-25,140,163.7600","30,103,499.2900","-20,600,113.9600","10,574,755.8000","6,433,450.0000","42,945,783.3500","-23,550,487.6300","8,526,150.0000","7,950,869.8500","93,359,192.7300","-4,324,943.3600","42,340,754.9900","76,353,734.9100","105,991,508.0200","-20,829,671.1500","23,539,385.2300","13,717,542.7000","88,910,218.7600"
"168","000586.SZ","通信","","","","","","",NA,"44,216,790.1800","","","","48,451,039.1300","","24,217,503.2200","","39,965,516.0000","","9,471,327.3800",NA,"27,874,287.1300","","9,104,301.1100","","12,913,228.2000","","6,169,176.7600",NA,"3,911,556.6700","","1,151,357.7700","","-56,278,909.5500","","438,553.3000","","-48,503,458.1500","-2,510,110.4300","-10,721,382.8700","-11,787,633.4800","1,454,337.4300","1,927,372.4400","9,882,316.5400","19,141,181.1400","23,072,796.4700","6,157,844.8600","15,297,509.9900","25,742,907.0600","37,811,952.4900","5,457,876.9300","2,911,046.9900","4,427,243.7300","-16,724,415.9200","-9,510,704.0000","-5,150,174.0300","-1,824,331.4800","6,527,873.4400","-8,439,613.6900","-20,884,289.3800","-33,238,876.1500","-51,912,320.0300","-12,736,112.8100","-27,067,382.0300","-39,372,002.4100","-121,287,994.3100","-4,498,520.7100","-6,587,847.5100","-3,971,668.5100","6,451,979.8300","-1,499,113.7400","-1,439,946.3500","5,587,442.6200","60,013,058.4600","1,688,453.9800","4,364,774.9000","10,109,309.0900","22,591,708.1800","-1,385,021.0200","-2,219,785.6100","1,448,192.4200","8,564,754.5800","8,309,624.3600","14,646,760.5400","11,928,578.5200","16,930,520.8800","-1,523,993.6300","1,073,095.4500","2,319,027.6800","8,923,380.7800","-1,860,982.0800","-652,994.4900","14,160,834.2300","17,758,817.9300","-2,279,680.7200","63,634.0100","1,575,433.0200","3,793,829.3600","-2,963,874.4100","-2,357,817.3100","-874,553.0600","946,349.3600"
"242","000687.SZ","通信","","","","119,425,000.0000","","",NA,"90,402,284.3500","","","","133,612,761.8400","","","","111,184,986.3900","","62,301,150.2100",NA,"125,108,567.8400","","66,370,289.2700","","99,028,244.8700","","52,898,944.5400",NA,"87,869,402.6300","","23,284,135.5900","","32,104,936.3300","","17,778,949.0700","","24,112,069.5300","7,708,201.5800","20,362,794.4800","28,323,372.2000","29,561,295.0700","12,673,006.2700","28,075,963.0500","44,873,271.4300","45,226,125.0400","11,355,348.7300","16,621,284.5900","6,458,036.6600","9,865,328.9800","-14,648,245.3000","-27,126,806.1400","-50,490,121.7200","-148,124,830.7400","-17,525,310.4400","-12,933,722.8300","-3,209,531.5300","20,979,877.9000","18,740,035.5100","30,043,474.0400","45,220,385.7300","71,883,469.2000","17,449,489.1100","19,594,055.1300","-43,183,487.4200","-135,968,451.9800","-33,759,320.2800","62,419,884.8100","71,626,255.3400","66,002,353.4100","-19,094,840.7200","-5,721,923.5400","1,046,353.4000","56,519,808.1400","5,543,242.7600","84,762,647.2800","84,489,112.0100","69,886,819.1000","-14,543,110.0000","2,372,160.1100","-4,844,916.8100","10,039,508.8600","-34,515,610.3800","-46,070,396.2200","-74,562,913.8700","-158,771,187.4600","-42,245,214.0000","-58,103,465.0700","-34,036,141.0000","14,482,618.3300","-49,811,024.0200","5,537,746.0200","11,315,053.6400","-272,941,348.4500","45,211,128.2900","115,645,112.9000","119,061,567.2200","157,377,029.1700","10,995,361.1600","60,353,767.0400","46,702,912.1100","126,091,006.8700"
"347","000836.SZ","通信","","","","","","",NA,"8,008,011.8600","","","","10,300,705.4500","","","","36,176,813.5200","","",NA,"40,222,500.4900","","25,477,677.3600","","47,871,363.1400","","24,104,777.0900",NA,"54,619,458.7300","","35,753,070.5000","","68,466,539.1900","","40,827,502.5200","50,850,330.6100","72,095,649.1200","12,943,500.0000","19,900,483.3300","25,173,071.7300","37,486,749.9300","-10,413,549.4200","-54,900,975.9100","-86,394,617.0200","-384,247,049.8400","166,912.9900","777,224.9100","4,860,429.1700","12,348,810.3500","-9,141,802.2300","-34,317,714.5500","-306,042,737.8700","-418,367,036.9500","9,585,100.8400","27,719,757.0300","32,021,440.9300","39,250,482.2900","7,379,313.2300","17,940,031.4400","28,064,314.1400","34,473,635.5200","2,937,755.0900","-2,269,545.6600","204,918,987.2700","229,958,904.8600","-9,793,214.9900","-29,748,226.7700","-11,826,031.9600","51,427,497.9000","-9,653,127.0700","-6,759,475.7500","10,369,447.6300","9,574,063.7400","-14,648,463.4600","-49,512,915.5100","-59,864,321.1500","-58,541,309.8200","-3,956,423.2500","-17,434,743.3900","27,225,309.1100","59,595,476.5500","68,501,241.2100","46,332,184.7000","24,663,126.0700","18,089,209.3900","-46,501,012.3600","-70,731,260.5100","-98,468,906.2500","-186,589,154.9800","-34,033,822.1500","-61,147,286.2900","-86,243,018.8000","133,241,946.2900","22,823,196.3300","36,698,925.9100","51,353,244.0100","77,298,865.6500","13,491,712.2800","71,095,293.6100","103,234,871.3400","137,218,697.2300"
"353","000851.SZ","通信","","","","","","",NA,"","","","","19,726,674.1800","","","","33,444,267.4600","","",NA,"35,456,831.3400","","13,094,723.1900","","12,022,713.0900","","5,166,857.8500",NA,"3,337,582.2700","","1,187,595.7800","","-18,282,852.8800","","-9,707,586.8100","","-60,639,088.6100","-5,703,677.4000","-56,406,353.9500","-84,606,112.1600","-90,031,031.9000","-2,580,585.0000","22,058,298.2800","26,247,310.6400","27,985,636.1700","-3,009,212.7800","11,932,723.2600","14,928,562.2900","22,009,540.2200","-2,928,837.1100","14,628,031.4700","17,307,177.2300","20,271,690.8200","-3,697,284.0600","12,109,757.4200","14,870,894.6300","15,007,470.6000","-3,671,431.8700","12,704,368.7500","14,695,890.4900","22,955,695.2900","-4,714,816.6600","8,086,340.8600","7,756,251.1800","14,026,352.2100","-6,272,790.3300","9,300,691.1200","18,562,310.0300","24,813,097.6700","-10,226,825.3700","7,129,744.2700","11,777,470.4500","24,465,486.1400","-6,187,166.9400","11,320,553.1100","18,382,514.5900","27,157,683.1000","-6,645,369.2100","10,489,118.4800","24,056,982.7000","22,499,035.1100","-7,323,736.8600","30,056,184.8700","37,806,804.6800","75,573,729.1500","3,232,062.4000","45,245,355.7600","54,281,675.9800","100,739,454.4400","939,747.7500","37,552,730.9000","52,032,070.6600","117,056,954.6700","-11,342,989.8900","39,369,818.3100","59,884,319.1300","120,855,765.3700","-11,193,381.7200","42,639,124.9200","42,262,327.1700","186,541,055.7000"
"376","000889.SZ","通信","","","","","","",NA,"13,352,690.0000","","","","17,383,470.0000","","","","30,642,565.6500","","7,389,600.0000",NA,"25,598,260.0000","","10,429,987.1700","","17,035,835.4400","","4,090,375.5200",NA,"62,039,685.0400","","27,861,870.3600","","57,829,114.6800","","28,751,954.4300","24,367,221.4400","64,845,858.5600","11,396,000.0000","26,917,924.1500","37,050,229.0900","29,580,711.1400","11,274,521.4600","16,123,170.1300","19,184,346.8800","22,255,966.9700","7,451,394.1700","15,555,767.9300","18,269,835.1200","12,774,586.6300","5,072,826.9100","8,117,027.7200","-11,737,559.9900","-79,597,144.3000","808,516.3600","1,471,472.4000","1,676,140.6800","3,618,631.2700","925,801.9600","1,511,991.1000","1,774,794.9000","3,384,061.4600","825,830.6600","1,693,551.7900","1,967,953.0600","3,733,717.5000","863,636.1800","-6,998,944.0900","-37,810,344.0100","-59,611,288.0100","7,335,201.5800","16,137,604.0200","23,466,454.4000","30,572,001.4500","23,410,234.8800","38,197,736.7100","45,426,846.2800","70,102,694.5100","28,954,840.9700","48,900,428.5600","60,573,337.0900","110,242,220.0000","34,689,984.4700","58,021,313.8000","75,840,492.2300","92,765,141.4100","39,636,336.2700","61,468,692.5800","77,554,146.8900","98,678,522.4500","43,701,158.3200","91,268,438.6900","114,970,228.2100","153,603,203.0100","48,240,823.5200","127,871,058.0400","172,689,370.2300","219,954,137.8800","45,685,374.4200","107,807,126.9500","177,417,975.0500","228,581,216.7500"
"438","000971.SZ","通信","","","","","","",NA,"","","","","","","","","","","",NA,"43,149,152.8300","","","","24,369,465.0400","","16,189,752.8100",NA,"32,325,815.9100","","13,417,658.3400","","39,138,072.3000","","8,464,574.6500","","33,966,667.3300","4,678,220.5100","7,742,878.1800","15,212,663.2600","26,487,821.6800","4,580,729.1200","7,519,507.5100","14,525,350.1200","25,834,036.6900","4,839,290.8100","7,356,914.0400","13,658,996.9400","22,854,133.2400","3,065,866.6100","6,548,620.8100","11,846,057.9800","11,894,163.2600","1,817,653.0300","5,072,463.5700","9,093,561.9200","-227,654,800.0000","-12,848,158.4200","-28,285,935.9800","-37,190,156.1800","-126,404,686.5100","-29,015,815.8000","-54,727,583.3000","-31,776,150.9400","11,418,560.9000","-24,153,717.9900","-16,281,634.1300","-14,934,515.6700","-69,089,549.2800","-7,176,883.5800","-29,650,924.2600","-19,757,924.9800","18,220,176.8200","-8,990,988.4100","-26,266,649.4500","-40,838,367.5300","-74,036,187.6800","-9,022,801.9800","-20,702,427.0900","-35,737,330.7200","8,009,267.2800","-2,259,201.9300","-13,105,852.6200","-23,248,693.3500","-15,420,573.0500","-5,044,410.3100","-10,389,768.0100","-14,785,449.7500","4,101,576.5700","-7,887,385.7600","-17,105,662.7400","-21,792,722.6400","2,601,929.4100","35,069,228.9100","47,463,224.4900","56,053,809.8600","111,462,517.5800","39,739,665.8900","82,034,348.2600","123,989,562.8700","156,739,150.5800"
