"","证券代码","申万一级行业","净利润..报告期..1993一季..报表类型..合并报表..单位..元","净利润..报告期..1993中报..报表类型..合并报表..单位..元","净利润..报告期..1993三季..报表类型..合并报表..单位..元","净利润..报告期..1993年报..报表类型..合并报表..单位..元","净利润..报告期..1994一季..报表类型..合并报表..单位..元","净利润..报告期..1994中报..报表类型..合并报表..单位..元","净利润..报告期..1994三季..报表类型..合并报表..单位..元","净利润..报告期..1994年报..报表类型..合并报表..单位..元","净利润..报告期..1995一季..报表类型..合并报表..单位..元","净利润..报告期..1995中报..报表类型..合并报表..单位..元","净利润..报告期..1995三季..报表类型..合并报表..单位..元","净利润..报告期..1995年报..报表类型..合并报表..单位..元","净利润..报告期..1996一季..报表类型..合并报表..单位..元","净利润..报告期..1996中报..报表类型..合并报表..单位..元","净利润..报告期..1996三季..报表类型..合并报表..单位..元","净利润..报告期..1996年报..报表类型..合并报表..单位..元","净利润..报告期..1997一季..报表类型..合并报表..单位..元","净利润..报告期..1997中报..报表类型..合并报表..单位..元","净利润..报告期..1997三季..报表类型..合并报表..单位..元","净利润..报告期..1997年报..报表类型..合并报表..单位..元","净利润..报告期..1998一季..报表类型..合并报表..单位..元","净利润..报告期..1998中报..报表类型..合并报表..单位..元","净利润..报告期..1998三季..报表类型..合并报表..单位..元","净利润..报告期..1998年报..报表类型..合并报表..单位..元","净利润..报告期..1999一季..报表类型..合并报表..单位..元","净利润..报告期..1999中报..报表类型..合并报表..单位..元","净利润..报告期..1999三季..报表类型..合并报表..单位..元","净利润..报告期..1999年报..报表类型..合并报表..单位..元","净利润..报告期..2000一季..报表类型..合并报表..单位..元","净利润..报告期..2000中报..报表类型..合并报表..单位..元","净利润..报告期..2000三季..报表类型..合并报表..单位..元","净利润..报告期..2000年报..报表类型..合并报表..单位..元","净利润..报告期..2001一季..报表类型..合并报表..单位..元","净利润..报告期..2001中报..报表类型..合并报表..单位..元","净利润..报告期..2001三季..报表类型..合并报表..单位..元","净利润..报告期..2001年报..报表类型..合并报表..单位..元","净利润..报告期..2002一季..报表类型..合并报表..单位..元","净利润..报告期..2002中报..报表类型..合并报表..单位..元","净利润..报告期..2002三季..报表类型..合并报表..单位..元","净利润..报告期..2002年报..报表类型..合并报表..单位..元","净利润..报告期..2003一季..报表类型..合并报表..单位..元","净利润..报告期..2003中报..报表类型..合并报表..单位..元","净利润..报告期..2003三季..报表类型..合并报表..单位..元","净利润..报告期..2003年报..报表类型..合并报表..单位..元","净利润..报告期..2004一季..报表类型..合并报表..单位..元","净利润..报告期..2004中报..报表类型..合并报表..单位..元","净利润..报告期..2004三季..报表类型..合并报表..单位..元","净利润..报告期..2004年报..报表类型..合并报表..单位..元","净利润..报告期..2005一季..报表类型..合并报表..单位..元","净利润..报告期..2005中报..报表类型..合并报表..单位..元","净利润..报告期..2005三季..报表类型..合并报表..单位..元","净利润..报告期..2005年报..报表类型..合并报表..单位..元","净利润..报告期..2006一季..报表类型..合并报表..单位..元","净利润..报告期..2006中报..报表类型..合并报表..单位..元","净利润..报告期..2006三季..报表类型..合并报表..单位..元","净利润..报告期..2006年报..报表类型..合并报表..单位..元","净利润..报告期..2007一季..报表类型..合并报表..单位..元","净利润..报告期..2007中报..报表类型..合并报表..单位..元","净利润..报告期..2007三季..报表类型..合并报表..单位..元","净利润..报告期..2007年报..报表类型..合并报表..单位..元","净利润..报告期..2008一季..报表类型..合并报表..单位..元","净利润..报告期..2008中报..报表类型..合并报表..单位..元","净利润..报告期..2008三季..报表类型..合并报表..单位..元","净利润..报告期..2008年报..报表类型..合并报表..单位..元","净利润..报告期..2009一季..报表类型..合并报表..单位..元","净利润..报告期..2009中报..报表类型..合并报表..单位..元","净利润..报告期..2009三季..报表类型..合并报表..单位..元","净利润..报告期..2009年报..报表类型..合并报表..单位..元","净利润..报告期..2010一季..报表类型..合并报表..单位..元","净利润..报告期..2010中报..报表类型..合并报表..单位..元","净利润..报告期..2010三季..报表类型..合并报表..单位..元","净利润..报告期..2010年报..报表类型..合并报表..单位..元","净利润..报告期..2011一季..报表类型..合并报表..单位..元","净利润..报告期..2011中报..报表类型..合并报表..单位..元","净利润..报告期..2011三季..报表类型..合并报表..单位..元","净利润..报告期..2011年报..报表类型..合并报表..单位..元","净利润..报告期..2012一季..报表类型..合并报表..单位..元","净利润..报告期..2012中报..报表类型..合并报表..单位..元","净利润..报告期..2012三季..报表类型..合并报表..单位..元","净利润..报告期..2012年报..报表类型..合并报表..单位..元","净利润..报告期..2013一季..报表类型..合并报表..单位..元","净利润..报告期..2013中报..报表类型..合并报表..单位..元","净利润..报告期..2013三季..报表类型..合并报表..单位..元","净利润..报告期..2013年报..报表类型..合并报表..单位..元","净利润..报告期..2014一季..报表类型..合并报表..单位..元","净利润..报告期..2014中报..报表类型..合并报表..单位..元","净利润..报告期..2014三季..报表类型..合并报表..单位..元","净利润..报告期..2014年报..报表类型..合并报表..单位..元","净利润..报告期..2015一季..报表类型..合并报表..单位..元","净利润..报告期..2015中报..报表类型..合并报表..单位..元","净利润..报告期..2015三季..报表类型..合并报表..单位..元","净利润..报告期..2015年报..报表类型..合并报表..单位..元","净利润..报告期..2016一季..报表类型..合并报表..单位..元","净利润..报告期..2016中报..报表类型..合并报表..单位..元","净利润..报告期..2016三季..报表类型..合并报表..单位..元","净利润..报告期..2016年报..报表类型..合并报表..单位..元","净利润..报告期..2017一季..报表类型..合并报表..单位..元","净利润..报告期..2017中报..报表类型..合并报表..单位..元","净利润..报告期..2017三季..报表类型..合并报表..单位..元","净利润..报告期..2017年报..报表类型..合并报表..单位..元"
"1","000001.SZ","银行","","137,466,312.9100","","273,310,000.0000","","207,906,261.8000",NA,"356,328,024.0500","","216,501,117.6800","","435,059,720.6500","","364,123,417.3500","","787,300,629.6800","","443,646,396.6500",NA,"862,227,864.2600","","378,013,127.5200","","764,240,114.2000","","240,918,600.7400",NA,"555,191,092.0000","","177,952,845.0000","","506,551,785.0000","138,828,436.0000","223,211,685.0000","365,081,211.0000","402,360,428.0000","183,951,144.0000","314,141,342.0000","419,642,032.0000","432,224,930.0000","153,313,141.0000","270,340,697.0000","314,953,470.0000","316,545,704.0000","214,367,983.0000","285,720,671.0000","407,038,041.0000","289,774,275.0000","154,126,411.0000","157,834,800.0000","366,423,126.0000","311,007,640.0000","233,183,546.0000","463,620,662.0000","890,295,599.0000","1,302,906,538.0000","535,083,658.0000","1,123,983,000.0000","1,873,617,000.0000","2,649,903,000.0000","1,004,182,000.0000","2,143,834,000.0000","3,316,994,000.0000","614,035,000.0000","1,122,077,000.0000","2,311,388,000.0000","3,637,419,000.0000","5,030,729,000.0000","1,578,118,000.0000","3,033,119,000.0000","4,733,940,000.0000","6,283,816,000.0000","2,402,199,000.0000","4,731,746,000.0000","7,745,077,000.0000","10,390,491,000.0000","3,495,486,000.0000","6,869,564,000.0000","10,345,973,000.0000","13,510,780,000.0000","3,589,000,000.0000","7,531,000,000.0000","11,696,000,000.0000","15,231,000,000.0000","5,054,000,000.0000","10,072,000,000.0000","15,694,000,000.0000","19,802,000,000.0000","5,629,000,000.0000","11,585,000,000.0000","17,740,000,000.0000","21,865,000,000.0000","6,086,000,000.0000","12,292,000,000.0000","18,719,000,000.0000","22,599,000,000.0000","6,214,000,000.0000","12,554,000,000.0000","19,153,000,000.0000","23,189,000,000.0000"
"606","002142.SZ","银行","","","","","","",NA,"","","","","","","","","","","",NA,"","","","","","","",NA,"","","","","","","","","","","","","","","","","","","","","438,024,063.9600","","","","471,950,690.0900","","271,632,846.0300","443,265,411.0800","632,084,511.3800","213,285,369.8300","382,811,020.3300","637,998,397.7700","951,072,767.5100","337,603,481.1600","729,592,461.4600","1,126,729,694.1900","1,331,737,412.5500","353,882,411.8000","706,103,029.7600","1,103,312,287.0700","1,457,446,000.0000","498,052,000.0000","1,262,546,000.0000","1,877,886,000.0000","2,321,986,000.0000","814,966,000.0000","1,655,043,000.0000","2,556,691,000.0000","3,253,510,000.0000","1,033,639,000.0000","2,157,894,000.0000","3,334,617,000.0000","4,068,137,000.0000","1,269,533,000.0000","2,607,508,000.0000","3,943,830,000.0000","4,847,265,000.0000","1,501,798,000.0000","3,086,110,000.0000","4,586,384,000.0000","5,634,130,000.0000","1,760,103,000.0000","3,567,450,000.0000","5,344,101,000.0000","6,566,991,000.0000","2,033,865,000.0000","4,145,786,000.0000","6,353,516,000.0000","7,822,742,000.0000","2,361,862,000.0000","4,774,312,000.0000","7,383,293,000.0000","9,355,717,000.0000"
"1260","002807.SZ","银行","","","","","","",NA,"","","","","","","","","","","",NA,"","","","","","","",NA,"","","","","","","","","","","","","","","","","","","","","","","","","285,216,505.9300","","","","319,144,342.2400","","","","483,142,150.5100","","","","598,039,917.3400","","","","627,235,368.0900","","","","860,627,029.2600","","","","899,839,000.0000","","","","999,588,000.0000","","","","1,027,157,000.0000","","","","851,363,000.0000","205,524,000.0000","388,460,000.0000","554,908,000.0000","814,925,000.0000","177,078,000.0000","361,359,000.0000","517,180,000.0000","767,392,000.0000","178,519,000.0000","340,593,000.0000","500,683,000.0000","758,021,000.0000"
"1290","002839.SZ","银行","","","","","","",NA,"","","","","","","","","","","",NA,"","","","","","","",NA,"","","","","","","","","","","","","","","","","","","","","","","","","307,495,045.0300","","","","222,081,035.4900","","","","467,907,130.2700","","","","500,479,052.8400","","","","519,015,990.5500","","","","684,910,399.7300","","","","922,645,200.0000","","","","1,003,728,507.4200","","","","1,032,039,599.0200","","","","721,292,418.3500","","","","681,084,367.4500","194,891,772.8300","339,245,883.4200","524,685,750.6600","695,800,922.9700","204,336,885.8300","352,332,031.0100","559,185,581.9200","754,291,236.0900"
"1379","002936.SZ","银行","","","","","","",NA,"","","","","","","","","","","",NA,"","","","","","","",NA,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","119,850,617.5500","","","","134,420,559.8300","","54,811,735.5100","","190,259,582.0700","","10,672,944.7400","","254,425,484.9300","","","","629,114,015.7600","","","","957,768,949.9600","","","","1,460,300,000.0000","","811,733,071.7800","","1,901,850,000.0000","","1,373,102,738.0300","","2,463,083,000.0000","","1,750,656,000.0000","","3,355,670,000.0000","851,631,000.0000","2,131,098,000.0000","3,283,350,000.0000","4,044,586,000.0000","1,075,421,000.0000","2,324,999,000.0000","3,413,745,000.0000","4,333,537,000.0000"
"2114","600000.SH","银行","","","","","","",NA,"","","","","","","","","629,111,000.0000","","",NA,"644,999,000.0000","","","","859,438,000.0000","","505,971,000.0000",NA,"926,692,008.5500","","530,266,498.8300","","957,904,651.0300","","534,911,303.3100","821,993,252.6600","1,061,878,000.0000","265,746,000.0000","541,441,626.3300","854,691,563.1600","1,285,308,817.2800","315,625,395.8000","656,834,579.4900","1,082,061,317.1200","1,566,088,191.4400","415,617,829.7300","873,445,668.7800","1,383,634,300.0600","1,930,030,750.8900","513,759,139.6400","1,102,863,556.8200","1,771,682,239.2600","2,558,003,803.5600","732,056,564.0700","1,599,242,689.4400","2,453,538,448.0600","3,353,026,571.2600","978,286,343.7300","2,553,792,630.5700","3,923,104,068.2500","5,498,775,402.9800","2,811,626,623.8500","6,374,787,462.9200","9,843,965,479.1100","12,515,831,460.2600","2,960,465,617.6300","6,781,372,028.8300","10,290,733,118.9800","13,215,137,235.9500","4,104,843,212.9300","9,082,585,865.1300","14,845,366,054.0400","19,178,586,640.9400","6,073,978,805.6900","12,910,687,000.0000","19,969,691,554.6900","27,355,112,000.0000","7,932,052,000.0000","17,265,760,000.0000","26,239,878,000.0000","34,311,000,000.0000","8,951,000,000.0000","19,502,000,000.0000","30,006,000,000.0000","41,200,000,000.0000","10,808,000,000.0000","22,867,000,000.0000","35,167,000,000.0000","47,360,000,000.0000","11,309,000,000.0000","24,126,000,000.0000","37,475,000,000.0000","50,997,000,000.0000","14,035,000,000.0000","27,040,000,000.0000","41,138,000,000.0000","53,678,000,000.0000","14,647,000,000.0000","28,522,000,000.0000","42,396,000,000.0000","55,002,000,000.0000"
"2123","600015.SH","银行","","","","","","",NA,"","","","","","","","","","","",NA,"","","","","","","",NA,"","","","","383,560,699.2000","","","","640,258,893.5700","","","486,401,652.5100","705,533,728.1500","223,983,550.3900","395,189,879.8200","660,838,370.0200","801,588,468.6500","266,924,652.7300","495,349,664.7300","791,149,411.0800","1,016,917,571.5600","312,073,340.6000","639,844,106.7500","1,105,681,643.2300","1,279,594,082.2100","375,238,226.9800","745,356,938.1200","1,265,654,847.7300","1,457,043,272.9000","455,373,687.2200","1,010,017,819.0400","1,632,182,414.1800","2,101,189,228.6800","821,610,162.7700","1,927,932,797.1600","3,106,349,749.1700","3,070,838,346.4000","702,130,992.9000","1,665,593,160.6400","2,642,517,080.4100","3,760,226,845.6800","1,306,627,297.8200","3,007,539,313.4700","4,527,257,213.8900","5,989,582,489.7300","1,707,754,701.3600","4,267,420,932.3700","6,538,544,622.6400","9,220,971,803.5100","2,350,567,418.2300","6,074,608,704.6300","9,179,825,614.3500","12,795,658,813.8900","2,951,148,171.2100","7,298,000,000.0000","11,127,000,000.0000","15,511,000,000.0000","3,730,000,000.0000","8,690,000,000.0000","13,215,000,000.0000","18,023,000,000.0000","4,156,000,000.0000","9,312,000,000.0000","13,980,000,000.0000","18,952,000,000.0000","4,462,000,000.0000","9,877,000,000.0000","14,688,000,000.0000","19,756,000,000.0000","4,545,000,000.0000","9,907,000,000.0000","14,327,000,000.0000","19,933,000,000.0000"
"2124","600016.SH","银行","","","","","","",NA,"","","","","","","","","","","",NA,"169,955,566.0000","","","","198,126,930.0000","","",NA,"234,724,938.0000","","205,827,884.0000","","429,166,337.0000","165,400,000.0000","302,390,675.0000","479,678,772.8200","646,370,000.0000","199,171,000.0000","430,696,000.0000","660,323,000.0000","891,540,000.0000","284,536,000.0000","638,050,000.0000","1,054,247,000.0000","1,391,252,000.0000","459,853,000.0000","1,092,794,000.0000","1,570,411,000.0000","2,038,401,000.0000","605,878,000.0000","1,268,009,000.0000","1,991,967,000.0000","2,673,417,000.0000","753,769,000.0000","1,701,512,000.0000","2,530,193,000.0000","3,831,826,000.0000","1,105,264,000.0000","2,821,278,000.0000","4,312,400,000.0000","6,335,176,000.0000","2,457,184,000.0000","6,045,713,000.0000","8,673,596,000.0000","7,893,000,000.0000","2,495,000,000.0000","7,379,000,000.0000","10,213,000,000.0000","12,108,000,000.0000","4,283,000,000.0000","8,924,000,000.0000","13,102,000,000.0000","17,688,000,000.0000","6,264,000,000.0000","14,056,000,000.0000","21,600,000,000.0000","28,443,000,000.0000","9,336,000,000.0000","19,408,000,000.0000","29,369,000,000.0000","38,308,000,000.0000","11,285,000,000.0000","23,494,000,000.0000","34,109,000,000.0000","43,282,000,000.0000","12,929,000,000.0000","26,091,000,000.0000","37,430,000,000.0000","45,567,000,000.0000","13,567,000,000.0000","27,272,000,000.0000","39,063,000,000.0000","47,022,000,000.0000","13,949,000,000.0000","27,702,000,000.0000","39,889,000,000.0000","48,778,000,000.0000","14,506,000,000.0000","28,614,000,000.0000","41,107,000,000.0000","50,922,000,000.0000"
"2141","600036.SH","银行","","","","","","",NA,"","","","","","","","","","","",NA,"","","","","","","",NA,"481,785,000.0000","","","","803,812,000.0000","","646,808,000.0000","","1,431,120,000.0000","336,934,000.0000","914,532,000.0000","1,335,489,000.0000","1,734,270,000.0000","555,865,000.0000","1,108,029,000.0000","1,687,367,000.0000","2,229,910,000.0000","810,192,000.0000","1,688,933,000.0000","2,533,683,000.0000","3,144,087,000.0000","1,054,821,000.0000","2,134,818,000.0000","3,219,845,000.0000","3,786,839,000.0000","1,313,180,000.0000","2,799,064,000.0000","4,468,308,000.0000","7,107,526,000.0000","2,462,000,000.0000","6,120,000,000.0000","9,970,000,000.0000","15,243,000,000.0000","6,319,000,000.0000","13,245,000,000.0000","18,999,000,000.0000","20,946,000,000.0000","4,208,000,000.0000","8,262,000,000.0000","13,078,000,000.0000","18,235,000,000.0000","5,909,000,000.0000","13,203,000,000.0000","20,585,000,000.0000","25,769,000,000.0000","8,810,000,000.0000","18,600,000,000.0000","28,388,000,000.0000","36,127,000,000.0000","11,642,000,000.0000","23,376,000,000.0000","34,789,000,000.0000","45,272,000,000.0000","13,018,000,000.0000","26,266,000,000.0000","39,491,000,000.0000","51,742,000,000.0000","14,967,000,000.0000","30,519,000,000.0000","45,919,000,000.0000","56,049,000,000.0000","17,303,000,000.0000","33,169,000,000.0000","48,786,000,000.0000","58,018,000,000.0000","18,419,000,000.0000","35,332,000,000.0000","52,344,000,000.0000","62,380,000,000.0000","20,092,000,000.0000","39,466,000,000.0000","59,164,000,000.0000","70,638,000,000.0000"
"2881","600908.SH","银行","","","","","","",NA,"","","","","","","","","","","",NA,"","","","","","","",NA,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","88,000,028.0000","","","","205,791,650.8100","","","","","","","","341,680,000.0000","","","","556,150,000.0000","","","","734,732,660.6700","","","","867,787,000.0000","","","","932,040,999.3100","","","","917,762,608.0700","","420,028,760.8700","632,994,550.0000","819,013,530.8300","212,332,272.4300","469,105,386.5200","698,494,630.0000","883,527,000.0000","236,213,000.0000","521,259,000.0000","771,205,000.0000","992,916,000.0000"
