"","证券代码","申万一级行业","净利润..报告期..1993一季..报表类型..合并报表..单位..元","净利润..报告期..1993中报..报表类型..合并报表..单位..元","净利润..报告期..1993三季..报表类型..合并报表..单位..元","净利润..报告期..1993年报..报表类型..合并报表..单位..元","净利润..报告期..1994一季..报表类型..合并报表..单位..元","净利润..报告期..1994中报..报表类型..合并报表..单位..元","净利润..报告期..1994三季..报表类型..合并报表..单位..元","净利润..报告期..1994年报..报表类型..合并报表..单位..元","净利润..报告期..1995一季..报表类型..合并报表..单位..元","净利润..报告期..1995中报..报表类型..合并报表..单位..元","净利润..报告期..1995三季..报表类型..合并报表..单位..元","净利润..报告期..1995年报..报表类型..合并报表..单位..元","净利润..报告期..1996一季..报表类型..合并报表..单位..元","净利润..报告期..1996中报..报表类型..合并报表..单位..元","净利润..报告期..1996三季..报表类型..合并报表..单位..元","净利润..报告期..1996年报..报表类型..合并报表..单位..元","净利润..报告期..1997一季..报表类型..合并报表..单位..元","净利润..报告期..1997中报..报表类型..合并报表..单位..元","净利润..报告期..1997三季..报表类型..合并报表..单位..元","净利润..报告期..1997年报..报表类型..合并报表..单位..元","净利润..报告期..1998一季..报表类型..合并报表..单位..元","净利润..报告期..1998中报..报表类型..合并报表..单位..元","净利润..报告期..1998三季..报表类型..合并报表..单位..元","净利润..报告期..1998年报..报表类型..合并报表..单位..元","净利润..报告期..1999一季..报表类型..合并报表..单位..元","净利润..报告期..1999中报..报表类型..合并报表..单位..元","净利润..报告期..1999三季..报表类型..合并报表..单位..元","净利润..报告期..1999年报..报表类型..合并报表..单位..元","净利润..报告期..2000一季..报表类型..合并报表..单位..元","净利润..报告期..2000中报..报表类型..合并报表..单位..元","净利润..报告期..2000三季..报表类型..合并报表..单位..元","净利润..报告期..2000年报..报表类型..合并报表..单位..元","净利润..报告期..2001一季..报表类型..合并报表..单位..元","净利润..报告期..2001中报..报表类型..合并报表..单位..元","净利润..报告期..2001三季..报表类型..合并报表..单位..元","净利润..报告期..2001年报..报表类型..合并报表..单位..元","净利润..报告期..2002一季..报表类型..合并报表..单位..元","净利润..报告期..2002中报..报表类型..合并报表..单位..元","净利润..报告期..2002三季..报表类型..合并报表..单位..元","净利润..报告期..2002年报..报表类型..合并报表..单位..元","净利润..报告期..2003一季..报表类型..合并报表..单位..元","净利润..报告期..2003中报..报表类型..合并报表..单位..元","净利润..报告期..2003三季..报表类型..合并报表..单位..元","净利润..报告期..2003年报..报表类型..合并报表..单位..元","净利润..报告期..2004一季..报表类型..合并报表..单位..元","净利润..报告期..2004中报..报表类型..合并报表..单位..元","净利润..报告期..2004三季..报表类型..合并报表..单位..元","净利润..报告期..2004年报..报表类型..合并报表..单位..元","净利润..报告期..2005一季..报表类型..合并报表..单位..元","净利润..报告期..2005中报..报表类型..合并报表..单位..元","净利润..报告期..2005三季..报表类型..合并报表..单位..元","净利润..报告期..2005年报..报表类型..合并报表..单位..元","净利润..报告期..2006一季..报表类型..合并报表..单位..元","净利润..报告期..2006中报..报表类型..合并报表..单位..元","净利润..报告期..2006三季..报表类型..合并报表..单位..元","净利润..报告期..2006年报..报表类型..合并报表..单位..元","净利润..报告期..2007一季..报表类型..合并报表..单位..元","净利润..报告期..2007中报..报表类型..合并报表..单位..元","净利润..报告期..2007三季..报表类型..合并报表..单位..元","净利润..报告期..2007年报..报表类型..合并报表..单位..元","净利润..报告期..2008一季..报表类型..合并报表..单位..元","净利润..报告期..2008中报..报表类型..合并报表..单位..元","净利润..报告期..2008三季..报表类型..合并报表..单位..元","净利润..报告期..2008年报..报表类型..合并报表..单位..元","净利润..报告期..2009一季..报表类型..合并报表..单位..元","净利润..报告期..2009中报..报表类型..合并报表..单位..元","净利润..报告期..2009三季..报表类型..合并报表..单位..元","净利润..报告期..2009年报..报表类型..合并报表..单位..元","净利润..报告期..2010一季..报表类型..合并报表..单位..元","净利润..报告期..2010中报..报表类型..合并报表..单位..元","净利润..报告期..2010三季..报表类型..合并报表..单位..元","净利润..报告期..2010年报..报表类型..合并报表..单位..元","净利润..报告期..2011一季..报表类型..合并报表..单位..元","净利润..报告期..2011中报..报表类型..合并报表..单位..元","净利润..报告期..2011三季..报表类型..合并报表..单位..元","净利润..报告期..2011年报..报表类型..合并报表..单位..元","净利润..报告期..2012一季..报表类型..合并报表..单位..元","净利润..报告期..2012中报..报表类型..合并报表..单位..元","净利润..报告期..2012三季..报表类型..合并报表..单位..元","净利润..报告期..2012年报..报表类型..合并报表..单位..元","净利润..报告期..2013一季..报表类型..合并报表..单位..元","净利润..报告期..2013中报..报表类型..合并报表..单位..元","净利润..报告期..2013三季..报表类型..合并报表..单位..元","净利润..报告期..2013年报..报表类型..合并报表..单位..元","净利润..报告期..2014一季..报表类型..合并报表..单位..元","净利润..报告期..2014中报..报表类型..合并报表..单位..元","净利润..报告期..2014三季..报表类型..合并报表..单位..元","净利润..报告期..2014年报..报表类型..合并报表..单位..元","净利润..报告期..2015一季..报表类型..合并报表..单位..元","净利润..报告期..2015中报..报表类型..合并报表..单位..元","净利润..报告期..2015三季..报表类型..合并报表..单位..元","净利润..报告期..2015年报..报表类型..合并报表..单位..元","净利润..报告期..2016一季..报表类型..合并报表..单位..元","净利润..报告期..2016中报..报表类型..合并报表..单位..元","净利润..报告期..2016三季..报表类型..合并报表..单位..元","净利润..报告期..2016年报..报表类型..合并报表..单位..元","净利润..报告期..2017一季..报表类型..合并报表..单位..元","净利润..报告期..2017中报..报表类型..合并报表..单位..元","净利润..报告期..2017三季..报表类型..合并报表..单位..元","净利润..报告期..2017年报..报表类型..合并报表..单位..元"
"71","000166.SZ","非银金融","","","","","","",NA,"","","","","","","","","","","",NA,"","","","","","","",NA,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3,249,812,714.4500","","5,980,492,359.9600","","1,124,877,955.7700","","2,264,163,846.0500","","1,597,050,334.3200","","4,029,461,656.0400","","971,973,715.9200","","3,060,697,040.4600","","918,967,102.8600","","1,728,015,017.7200","","709,890,804.3200","1,043,380,344.1500","1,430,092,001.1300","","757,633,067.0900","1,434,958,985.8500","1,915,440,597.5400","579,164,802.3200","1,919,659,856.2300","3,305,724,514.8700","3,504,434,158.2400","2,616,856,925.9700","7,515,473,579.3300","8,635,315,729.1300","12,428,435,749.9400","1,066,990,199.5600","2,169,571,547.2000","3,937,946,270.0400","5,528,285,322.3300","995,258,708.7400","2,105,136,280.3000","3,662,429,450.8500","4,725,752,651.4500"
"86","000415.SZ","非银金融","","","","5,768,951.2400","","",NA,"10,204,720.8800","","","","13,377,787.6900","","12,063,467.7700","","30,577,823.3800","","12,674,900.6500",NA,"25,002,016.5000","","14,736,831.4300","","36,568,352.2500","","47,491,015.9200",NA,"70,111,419.5100","","23,425,565.5200","","45,876,072.1200","","24,899,070.8900","","29,897,672.5900","-7,495,755.3100","-2,393,845.1000","-812,488.8500","490,694.8800","-10,674,335.5200","-8,719,199.7200","-608,258.3400","-98,244,282.5500","-13,864,068.4200","9,668,534.1400","12,293,020.1700","10,530,185.5200","-4,594,932.9700","3,868,313.2000","6,099,407.4200","5,156,108.5000","-11,109,498.3500","-19,340,112.8900","20,630,178.2100","20,490,300.7800","-7,876,400.1900","-9,743,599.4700","26,404,100.5400","14,250,622.4800","-10,790,910.5300","-10,830,216.4300","14,276,372.5400","-89,586,564.5500","-11,203,375.4800","-21,636,675.7400","-15,907,321.4300","-85,439,858.6700","-7,273,107.6700","-12,859,730.8900","-11,551,448.2100","2,095,138.9700","-7,555,438.2300","173,224,300.6000","258,274,561.3900","367,210,861.2400","56,022,934.4800","233,753,168.2800","497,396,265.5800","630,820,520.0400","154,138,176.3600","409,332,566.4500","593,389,452.2500","1,333,844,000.0000","270,711,000.0000","623,100,000.0000","921,877,000.0000","1,178,644,000.0000","341,817,000.0000","822,867,000.0000","1,300,407,000.0000","1,788,236,000.0000","430,347,000.0000","1,074,558,000.0000","1,923,586,000.0000","2,841,209,000.0000","559,847,000.0000","1,278,624,000.0000","2,253,288,000.0000","3,156,126,000.0000"
"87","000416.SZ","非银金融","","","","820,660.0000","","",NA,"13,501,810.0000","","","","16,917,630.0000","4,951,700.0000","8,425,101.4700","","21,080,479.3600","","7,568,945.6500",NA,"21,313,398.0400","","6,901,065.1900","","5,056,809.5600","","170,965.5400",NA,"-41,146,542.1700","","-3,385,458.1600","","-23,985,778.8600","","-11,596,031.5600","-7,023,327.1600","82,530,673.9700","83,274,213.2400","117,841,829.2900","153,780,437.1200","183,981,247.0100","76,034,966.5700","112,989,124.5100","143,241,081.8700","173,785,935.7100","83,236,526.8600","109,385,518.8600","146,885,414.1700","148,094,558.3800","80,914,250.7900","89,206,806.2000","106,290,031.2600","103,227,678.2400","29,287,398.8300","16,710,737.8900","25,202,715.7900","28,889,483.8200","-6,264,557.8100","-1,394,762.3200","-14,900,294.5900","-4,222,131.3000","-4,535,409.9400","-6,593,931.2800","-12,367,245.2200","-292,977.2800","61,010,300.8900","65,862,359.3500","66,522,987.4900","77,587,411.9400","4,799,917.4400","2,008,950.5900","12,309,897.3100","29,435,703.4300","15,087,807.8200","25,288,876.9900","22,143,850.0500","52,489,334.8000","-18,657.1800","-1,258,915.5900","-6,243,047.4400","75,545,407.2100","22,442,391.7700","3,186,961.2800","41,846,043.8700","21,093,640.3000","-2,100,842.4100","9,655,655.8600","34,266,863.7900","99,728,580.2000","12,205,496.0900","26,643,530.6300","-16,968,260.2400","23,182,008.4500","-10,854,669.2100","-2,565,398.5900","11,359,177.5200","18,628,738.4700","6,665,816.8300","15,706,793.4200","28,921,892.3100","29,761,528.0700"
"153","000563.SZ","非银金融","","17,264,303.4900","","46,559,234.9200","","38,079,086.4600",NA,"71,942,718.7400","","28,182,911.1700","","23,398,408.5900","","19,136,926.2600","","24,233,756.0100","","19,100,970.0600",NA,"28,692,550.1500","","40,462,757.5900","","52,526,310.7700","","31,770,664.2900",NA,"42,675,951.3300","","21,344,921.7900","","48,960,729.9500","","26,968,438.2500","","37,255,923.8400","8,107,694.2900","19,410,904.4200","21,145,875.1300","3,676,655.4000","1,529,092.7100","-5,276,351.0100","11,472,987.6900","-99,973,943.8100","-3,568,502.7400","-46,318,439.5700","-53,337,588.5100","10,807,921.9200","598,240.9200","1,566,991.9000","1,691,483.0800","-14,733,489.5600","-1,717,132.1000","9,721,897.7800","8,548,046.5300","9,973,905.5800","4,523,828.5300","29,691,547.5900","39,557,257.6500","72,908,346.7500","18,782,611.4600","39,787,505.0800","45,086,959.9700","68,424,530.1800","11,683,942.7200","16,437,104.3000","39,715,614.8400","43,649,854.8000","14,865,390.5400","28,876,901.0200","44,328,354.0900","81,517,003.6600","56,931,818.1300","83,281,035.1200","110,002,032.3700","154,354,276.2300","33,606,636.4400","102,999,119.9800","192,000,276.9800","260,629,986.5300","73,794,885.6600","185,763,905.4800","230,491,042.7200","313,076,135.4900","74,772,557.4800","219,501,126.2100","244,189,731.2500","350,631,760.5000","75,226,049.7600","288,910,610.6000","342,614,851.8000","453,951,218.6900","144,758,481.2000","282,976,761.8200","350,445,508.2800","515,237,568.7900","118,165,583.7300","267,518,824.7700","411,125,855.9100","352,236,506.8800"
"157","000567.SZ","非银金融","","","","23,414,326.3000","","20,667,077.0700",NA,"31,355,392.2100","","427,505.0000","","-38,594,594.7500","","-18,357,001.7000","","-27,870,915.2000","","5,868,357.1800",NA,"24,327,615.5600","","15,106,336.8000","","27,875,570.8700","","1,941,180.4700",NA,"52,891,701.0800","","-2,996,718.7300","","-41,270,326.3500","","-10,378,447.5100","","-89,209,917.4500","-5,189,350.1000","-10,942,625.3500","-16,339,528.7000","12,249,558.8200","6,998,691.0100","3,378,913.3400","1,363,258.0400","3,369,002.4900","-5,731,889.1700","-8,002,813.8300","8,172,317.3100","11,774,974.6600","629,510.8500","3,681,409.1100","510,854.2200","1,296,310.8300","1,493,676.3800","10,018,082.3400","13,900,912.1100","21,564,380.5000","1,530,735.1900","8,760,334.6900","10,446,958.6800","24,809,371.7500","2,450,195.8200","10,350,983.7900","10,912,230.6600","29,081,970.4600","2,550,367.6500","5,770,392.8300","7,513,134.5900","14,191,936.5400","8,626,724.0200","16,905,295.5000","26,884,742.9500","25,909,441.2100","-810,285.0600","2,094,983.6200","2,411,744.8900","1,329,948.4100","-605,594.3400","-1,002,907.7100","-1,071,422.2600","-13,710,067.1800","268,308.5600","1,177,764.1900","1,865,286.4000","2,311,661.3600","3,855,901.9200","5,324,108.1100","7,591,312.9700","4,956,358.7300","515,936.6200","14,258,596.1200","14,475,773.2400","23,228,604.0700","2,152,031.6900","1,146,977.9900","1,621,879.6000","2,977,667.6900","18,518,138.9700","37,442,726.8400","56,337,861.5300","73,268,328.2900"
"194","000617.SZ","非银金融","","","","8,023,157.0700","","",NA,"10,950,974.8900","","","","14,577,007.3000","","","","25,808,386.9600","","16,667.5600",NA,"892,767.8800","","-5,240,113.1800","","-14,328,340.8300","","5,198,843.4500",NA,"711,907.2400","","-1,100,606.2300","","5,204,307.2900","","9,141,614.4400","19,881,398.9400","20,121,214.3400","4,667,338.1600","8,769,175.9800","21,840,363.0900","34,642,708.7000","7,621,776.1300","19,098,555.6400","32,999,044.7000","47,733,112.9600","21,117,283.1300","48,560,003.0500","78,726,499.4100","121,531,842.6400","25,895,039.4500","59,013,245.6300","87,461,503.6800","124,110,088.7700","18,919,750.5100","42,095,471.8000","80,268,295.8500","115,031,486.1000","22,149,271.4000","60,394,653.9600","80,565,052.2800","98,041,791.9600","5,310,444.7200","34,289,521.2300","66,296,574.5700","104,709,480.6000","30,714,592.0200","50,013,482.6200","44,700,001.7200","52,749,259.2700","-10,572,685.2500","-5,092,051.0100","13,592,656.5200","16,828,341.6900","-16,517,604.7400","-12,309,909.4300","-3,840,896.9000","-96,564,934.5500","-23,107,005.9500","-22,229,583.4600","-31,850,198.6800","-28,342,658.0500","-11,907,530.5800","15,278,018.5200","16,272,394.4800","9,844,601.9000","2,477,059.3900","-28,213,733.2600","-50,474,501.5200","-115,180,623.9100","2,279,652.7400","6,033,834.4600","-25,358,003.9000","-76,181,117.9400","-39,929,209.8100","-156,704,110.0300","-207,286,556.6400","12,200,878,166.7700","2,838,133,053.9000","7,003,000,530.6000","9,913,070,298.0000","13,511,996,288.0100"
"201","000627.SZ","非银金融","","","","5,729,022.9200","","",NA,"13,936,025.4800","","","","22,767,327.0900","","","","36,896,252.7200","","22,909,995.9800",NA,"54,773,334.0600","","8,482,252.2000","","30,501,359.8200","","12,897,753.9000",NA,"33,180,373.5900","","20,763,469.3000","","40,349,351.6800","","17,728,892.2500","","46,700,820.2900","1,973,442.2900","13,902,085.5100","22,627,015.2400","7,825,881.1800","-6,037,256.7300","-14,058,241.3100","-24,646,261.6800","-49,047,476.8800","-6,197,122.6500","1,458,026.6300","2,332,795.8000","4,934,698.9800","4,248,895.9200","6,684,732.3700","8,926,031.1900","8,101,312.2400","3,389,353.1400","22,453,097.2400","41,556,963.2200","53,829,099.5900","13,117,964.6000","28,001,795.3200","51,448,300.6100","91,950,392.3000","15,931,184.1500","46,883,097.7100","48,035,495.4200","7,386,633.0200","3,168,837.0800","26,489,113.9000","34,368,791.8400","60,788,312.1200","31,021,874.9800","38,648,712.9200","47,510,706.5100","29,085,130.9800","1,617,950.8400","-34,366,994.6100","-54,610,139.2700","-107,179,263.7500","-38,754,699.9500","-75,324,710.6600","-68,854,934.9800","13,805,760.6800","-5,047,769.5300","-16,449,987.8300","-35,462,153.3100","-100,449,675.3500","195,019,752.1400","178,370,846.0800","146,718,792.2700","84,116,386.3200","-20,088,345.7600","-36,869,514.9300","-54,720,307.0900","250,538,477.4000","1,111,409,065.7600","1,200,454,035.8900","1,240,596,859.4200","3,108,842,534.2500","229,236,366.7300","1,260,398,404.9000","1,701,834,315.1900","2,678,286,604.1100"
"224","000666.SZ","非银金融","","","","42,089,000.0000","","",NA,"47,113,000.0000","","","","70,120,000.0000","","35,587,000.0000","","78,864,000.0000","","39,163,000.0000",NA,"40,899,000.0000","","-20,912,000.0000","","8,590,000.0000","","8,977,000.0000",NA,"89,130,002.0000","","66,240,262.0000","","136,215,805.0000","","91,151,775.0000","","124,022,157.0000","12,968,645.0000","48,953,624.0000","86,202,025.0000","140,167,241.0000","34,772,584.0000","80,819,124.0000","134,334,458.0000","165,095,968.0000","35,077,879.0000","85,838,518.0000","119,375,879.0000","161,402,023.0000","36,030,175.0000","77,157,763.0000","118,078,936.0000","144,730,884.0000","39,513,401.0000","89,159,167.0000","136,287,388.0000","206,966,569.5200","48,304,914.0000","106,067,599.0000","150,859,216.0000","175,606,353.0600","30,401,642.5100","50,769,543.0200","11,415,627.1200","27,772,221.5500","-59,128,512.3200","-109,958,713.6100","-158,953,950.5900","-111,662,546.9400","11,596,721.1800","30,452,522.2600","236,158,171.0300","510,492,366.8900","314,817,800.9700","663,097,152.8600","1,055,548,440.1000","1,163,967,556.1100","411,182,586.2800","696,160,006.6100","1,172,314,676.3200","1,382,127,656.7600","401,382,615.6900","957,755,298.8600","1,375,761,879.8600","1,781,155,687.4600","404,460,578.7000","874,353,287.1400","1,321,393,012.4500","2,002,511,820.7600","441,609,431.7100","1,039,396,086.1400","1,584,672,902.3900","1,985,840,618.9500","280,132,698.7300","916,103,806.6200","1,495,857,664.2700","2,201,174,275.8800","576,211,803.4800","1,177,575,314.2200","1,910,866,008.8300","2,944,190,775.0200"
"241","000686.SZ","非银金融","","","","","","",NA,"11,831,000.0000","","","","15,860,313.5000","","8,702,000.0000","","10,415,263.9500","","8,408,819.9000",NA,"21,835,135.4600","","7,734,584.1800","","32,742,930.8900","","11,025,597.3200",NA,"38,597,927.3600","","9,007,738.5100","","24,396,729.2700","","6,712,287.7100","8,565,794.5500","11,939,550.8200","1,370,000.0000","3,602,821.6100","6,958,737.0800","9,414,339.5900","-392,198.7700","4,173,778.6500","7,880,867.9800","10,428,722.6200","3,653,165.3800","8,471,313.9400","10,440,490.2700","14,998,140.1500","4,677,305.1000","9,161,424.7100","11,632,247.4800","17,323,880.3000","2,921,733.5100","7,254,844.5100","14,215,863.7100","85,302,376.5300","624,401.9000","-7,309,338.6200","1,050,407,073.6800","1,113,813,362.0500","179,433,765.3200","343,360,008.6800","344,605,360.7400","409,974,239.9300","213,392,924.0800","476,452,061.8500","632,809,146.7800","912,884,875.9500","201,312,630.6000","110,464,135.2100","329,870,752.7000","527,534,652.7800","105,267,382.1400","89,123,209.3500","-18,045,898.5500","-151,004,596.1300","49,268,537.8600","123,469,295.9600","143,095,496.6800","151,230,367.2600","186,872,606.3700","308,773,280.1400","446,781,615.7000","483,162,701.4000","180,009,101.9800","334,744,311.0600","607,544,853.5500","1,074,646,103.8400","552,719,693.5200","1,852,777,088.6500","2,266,895,689.8800","2,692,144,355.7600","403,855,743.0100","599,606,682.4300","1,185,446,263.6500","1,362,089,505.6000","197,293,881.7800","326,090,208.6700","666,155,559.6000","702,702,988.6000"
"261","000712.SZ","非银金融","","","","10,452,173.6800","","",NA,"14,764,275.1900","","","","19,257,194.9800","","","","24,469,019.8900","","18,983,886.9900",NA,"32,635,418.1900","","15,679,371.9200","","36,796,830.4800","","9,852,926.2900",NA,"22,099,647.6000","","3,018,995.0400","","56,540,711.3400","","8,911,578.7800","17,370,366.1600","25,632,693.5000","2,723,400.0000","6,713,682.2100","11,364,506.4100","14,254,170.3800","2,844,269.6400","11,438,387.9900","16,702,377.9400","15,689,887.6700","5,432,050.9800","9,686,549.5600","13,573,778.3300","13,992,716.6300","1,981,203.4600","2,600,456.1400","2,447,593.8800","3,299,144.4900","6,533,685.8800","17,475,126.3000","18,535,970.1400","30,078,069.5400","38,893,276.4600","40,969,029.7300","36,240,983.8800","86,094,085.3800","4,791,113.5600","12,407,372.5300","16,360,820.2700","22,316,403.6400","38,528,762.7700","61,043,941.3000","126,735,525.0300","202,106,851.1900","56,047,161.5600","43,417,479.4300","107,214,733.7700","157,151,448.4300","33,245,098.2600","57,612,435.1600","39,918,129.6300","25,640,712.1300","9,839,699.3700","43,648,551.3000","34,332,259.7900","28,212,381.9800","31,437,815.5500","49,767,511.8500","60,332,646.9400","76,707,237.4400","200,644,214.5500","239,464,021.6600","352,027,048.2200","468,883,749.5900","306,732,220.3300","852,050,169.9900","1,065,622,549.3800","1,270,318,198.8000","103,786,122.8900","223,494,003.1900","381,114,060.1100","483,440,385.7100","92,590,718.9600","116,800,039.7800","241,571,331.4800","244,582,496.8700"
