"","证券代码","申万一级行业","净利润..报告期..1993一季..报表类型..合并报表..单位..元","净利润..报告期..1993中报..报表类型..合并报表..单位..元","净利润..报告期..1993三季..报表类型..合并报表..单位..元","净利润..报告期..1993年报..报表类型..合并报表..单位..元","净利润..报告期..1994一季..报表类型..合并报表..单位..元","净利润..报告期..1994中报..报表类型..合并报表..单位..元","净利润..报告期..1994三季..报表类型..合并报表..单位..元","净利润..报告期..1994年报..报表类型..合并报表..单位..元","净利润..报告期..1995一季..报表类型..合并报表..单位..元","净利润..报告期..1995中报..报表类型..合并报表..单位..元","净利润..报告期..1995三季..报表类型..合并报表..单位..元","净利润..报告期..1995年报..报表类型..合并报表..单位..元","净利润..报告期..1996一季..报表类型..合并报表..单位..元","净利润..报告期..1996中报..报表类型..合并报表..单位..元","净利润..报告期..1996三季..报表类型..合并报表..单位..元","净利润..报告期..1996年报..报表类型..合并报表..单位..元","净利润..报告期..1997一季..报表类型..合并报表..单位..元","净利润..报告期..1997中报..报表类型..合并报表..单位..元","净利润..报告期..1997三季..报表类型..合并报表..单位..元","净利润..报告期..1997年报..报表类型..合并报表..单位..元","净利润..报告期..1998一季..报表类型..合并报表..单位..元","净利润..报告期..1998中报..报表类型..合并报表..单位..元","净利润..报告期..1998三季..报表类型..合并报表..单位..元","净利润..报告期..1998年报..报表类型..合并报表..单位..元","净利润..报告期..1999一季..报表类型..合并报表..单位..元","净利润..报告期..1999中报..报表类型..合并报表..单位..元","净利润..报告期..1999三季..报表类型..合并报表..单位..元","净利润..报告期..1999年报..报表类型..合并报表..单位..元","净利润..报告期..2000一季..报表类型..合并报表..单位..元","净利润..报告期..2000中报..报表类型..合并报表..单位..元","净利润..报告期..2000三季..报表类型..合并报表..单位..元","净利润..报告期..2000年报..报表类型..合并报表..单位..元","净利润..报告期..2001一季..报表类型..合并报表..单位..元","净利润..报告期..2001中报..报表类型..合并报表..单位..元","净利润..报告期..2001三季..报表类型..合并报表..单位..元","净利润..报告期..2001年报..报表类型..合并报表..单位..元","净利润..报告期..2002一季..报表类型..合并报表..单位..元","净利润..报告期..2002中报..报表类型..合并报表..单位..元","净利润..报告期..2002三季..报表类型..合并报表..单位..元","净利润..报告期..2002年报..报表类型..合并报表..单位..元","净利润..报告期..2003一季..报表类型..合并报表..单位..元","净利润..报告期..2003中报..报表类型..合并报表..单位..元","净利润..报告期..2003三季..报表类型..合并报表..单位..元","净利润..报告期..2003年报..报表类型..合并报表..单位..元","净利润..报告期..2004一季..报表类型..合并报表..单位..元","净利润..报告期..2004中报..报表类型..合并报表..单位..元","净利润..报告期..2004三季..报表类型..合并报表..单位..元","净利润..报告期..2004年报..报表类型..合并报表..单位..元","净利润..报告期..2005一季..报表类型..合并报表..单位..元","净利润..报告期..2005中报..报表类型..合并报表..单位..元","净利润..报告期..2005三季..报表类型..合并报表..单位..元","净利润..报告期..2005年报..报表类型..合并报表..单位..元","净利润..报告期..2006一季..报表类型..合并报表..单位..元","净利润..报告期..2006中报..报表类型..合并报表..单位..元","净利润..报告期..2006三季..报表类型..合并报表..单位..元","净利润..报告期..2006年报..报表类型..合并报表..单位..元","净利润..报告期..2007一季..报表类型..合并报表..单位..元","净利润..报告期..2007中报..报表类型..合并报表..单位..元","净利润..报告期..2007三季..报表类型..合并报表..单位..元","净利润..报告期..2007年报..报表类型..合并报表..单位..元","净利润..报告期..2008一季..报表类型..合并报表..单位..元","净利润..报告期..2008中报..报表类型..合并报表..单位..元","净利润..报告期..2008三季..报表类型..合并报表..单位..元","净利润..报告期..2008年报..报表类型..合并报表..单位..元","净利润..报告期..2009一季..报表类型..合并报表..单位..元","净利润..报告期..2009中报..报表类型..合并报表..单位..元","净利润..报告期..2009三季..报表类型..合并报表..单位..元","净利润..报告期..2009年报..报表类型..合并报表..单位..元","净利润..报告期..2010一季..报表类型..合并报表..单位..元","净利润..报告期..2010中报..报表类型..合并报表..单位..元","净利润..报告期..2010三季..报表类型..合并报表..单位..元","净利润..报告期..2010年报..报表类型..合并报表..单位..元","净利润..报告期..2011一季..报表类型..合并报表..单位..元","净利润..报告期..2011中报..报表类型..合并报表..单位..元","净利润..报告期..2011三季..报表类型..合并报表..单位..元","净利润..报告期..2011年报..报表类型..合并报表..单位..元","净利润..报告期..2012一季..报表类型..合并报表..单位..元","净利润..报告期..2012中报..报表类型..合并报表..单位..元","净利润..报告期..2012三季..报表类型..合并报表..单位..元","净利润..报告期..2012年报..报表类型..合并报表..单位..元","净利润..报告期..2013一季..报表类型..合并报表..单位..元","净利润..报告期..2013中报..报表类型..合并报表..单位..元","净利润..报告期..2013三季..报表类型..合并报表..单位..元","净利润..报告期..2013年报..报表类型..合并报表..单位..元","净利润..报告期..2014一季..报表类型..合并报表..单位..元","净利润..报告期..2014中报..报表类型..合并报表..单位..元","净利润..报告期..2014三季..报表类型..合并报表..单位..元","净利润..报告期..2014年报..报表类型..合并报表..单位..元","净利润..报告期..2015一季..报表类型..合并报表..单位..元","净利润..报告期..2015中报..报表类型..合并报表..单位..元","净利润..报告期..2015三季..报表类型..合并报表..单位..元","净利润..报告期..2015年报..报表类型..合并报表..单位..元","净利润..报告期..2016一季..报表类型..合并报表..单位..元","净利润..报告期..2016中报..报表类型..合并报表..单位..元","净利润..报告期..2016三季..报表类型..合并报表..单位..元","净利润..报告期..2016年报..报表类型..合并报表..单位..元","净利润..报告期..2017一季..报表类型..合并报表..单位..元","净利润..报告期..2017中报..报表类型..合并报表..单位..元","净利润..报告期..2017三季..报表类型..合并报表..单位..元","净利润..报告期..2017年报..报表类型..合并报表..单位..元"
"16","000019.SZ","食品饮料","","","","27,742,934.7600","","12,829,093.1300",NA,"-4,012,480.3300","","2,749,410.4300","","5,698,779.5500","","13,590,951.2300","","42,962,608.0000","","2,849,720.8600",NA,"30,183,986.1100","","4,207,852.0900","","32,903,237.7600","","4,625,477.2400",NA,"30,143,180.3000","","8,447,657.6500","","10,620,265.9500","","9,419,607.2400","","11,381,893.3400","-14,017,269.6900","7,461,702.7100","8,118,036.6800","10,815,671.3500","240,799.2100","916,080.7600","-7,540,296.9300","-49,221,055.9900","374,721.6900","927,798.0500","3,776,654.0500","-1,738,038.4400","446,899.6500","2,270,961.4700","2,570,847.0000","4,431,609.6100","941,932.3300","6,012,494.4700","4,977,238.0400","32,859,598.6200","745,459.9100","13,047,031.9300","16,216,747.9000","44,637,414.2900","313,552.7100","7,449,898.4200","17,721,019.6200","16,013,561.0300","-6,633,010.2800","-494,950.3500","8,081,468.0300","-9,865,188.3000","-10,831,378.0200","-17,221,530.8800","-20,377,252.1200","8,985,389.4900","-6,479,141.7200","7,059,360.6700","34,356,299.7300","9,643,239.2600","-3,652,633.0400","88,867,376.4200","85,432,983.9700","74,063,925.0800","1,807,041.2100","-4,475,950.2000","55,593,402.3900","45,214,229.5600","-6,738,905.8300","-24,563,498.2800","-35,376,939.7100","14,126,191.3700","-10,566,158.0800","2,524,806.5600","-13,099,555.4300","-42,960,551.9100","-8,187,808.6100","-19,460,289.8400","-34,576,286.2200","90,145,526.0800","-11,072,942.5800","-20,577,033.4500","-30,759,229.4100","-61,252,928.1900"
"158","000568.SZ","食品饮料","","","","58,891,256.2400","","59,249,700.0000",NA,"104,604,220.7900","","129,869,600.0000","","211,093,986.1000","","74,082,800.0000","","244,685,899.5900","","97,562,091.1400",NA,"318,734,954.8200","","49,490,344.3700","","170,375,964.0800","","63,491,823.9000",NA,"127,592,935.9500","","48,900,674.3100","","169,236,085.2600","","35,347,296.1900","","83,348,125.6300","37,154,805.8900","34,114,856.0800","33,767,259.4300","31,580,770.2300","51,176,364.4300","40,833,466.9200","34,688,504.0200","39,036,227.9700","50,485,022.5000","27,980,713.3800","25,590,562.5400","33,220,242.3700","52,211,376.9500","33,491,631.3900","31,015,766.3200","44,048,735.7100","102,929,132.8800","183,466,173.4300","219,699,384.1000","322,062,654.7600","141,465,267.9400","253,849,205.4600","408,433,238.6800","771,842,565.6500","512,588,255.9000","741,350,985.3400","1,085,408,471.5900","1,267,038,155.0400","531,413,500.6400","856,219,236.5300","1,264,111,494.1600","1,691,463,413.0000","694,498,759.2500","1,074,537,068.3000","1,626,630,198.6500","2,280,704,046.7600","931,493,228.0900","1,476,093,456.3400","2,112,644,483.1800","3,055,599,490.8200","1,362,121,887.9400","2,119,732,939.7900","3,120,340,092.0500","4,542,521,328.5400","1,171,606,741.7400","1,887,657,262.1800","2,803,736,122.3400","3,537,517,724.9600","525,662,262.4600","1,009,124,131.0100","1,316,986,304.3600","976,065,992.8500","565,809,009.8700","1,060,213,585.5800","1,385,309,306.9900","1,550,723,540.9800","615,840,256.4500","1,152,268,462.6000","1,552,094,389.8000","1,949,696,750.8500","821,832,919.2500","1,509,323,989.5300","2,051,419,389.0200","2,602,024,285.0900"
"176","000596.SZ","食品饮料","","","","107,833,958.0000","","",NA,"112,961,204.0000","","","","147,048,988.0000","","133,653,538.9500","","67,946,304.2800","","140,168,062.0300",NA,"190,160,789.1800","","77,509,632.2000","","139,775,152.5600","","68,789,800.8000",NA,"144,936,606.5400","","47,502,513.0800","","146,812,035.3100","","41,381,484.7300","","66,816,045.0000","22,020,570.0000","27,089,349.0000","40,894,028.0000","46,281,060.0000","17,536,848.0000","10,645,026.0000","16,286,131.0000","-43,939,777.0000","8,545,705.0000","5,080,277.0000","-254,658.0000","-263,725,700.0000","-15,164,604.0000","-20,334,088.0000","-8,351,066.0000","5,004,565.4600","2,454,403.7500","2,913,490.3000","8,317,942.9200","10,324,508.3000","4,781,851.9400","9,853,908.2300","17,247,232.2400","33,820,739.6300","21,333,529.7500","18,236,320.6100","23,331,757.4000","34,474,407.9100","30,039,440.0000","35,554,201.9900","45,835,199.6800","140,053,401.1600","75,281,653.1300","107,386,990.0400","142,827,891.3200","313,757,556.9300","167,158,132.2400","287,947,478.8600","350,499,527.9100","566,390,286.3600","256,091,737.0800","413,724,138.0500","530,144,672.4700","725,589,286.3100","307,616,134.9300","375,752,833.1100","478,859,618.8100","622,004,915.7900","286,719,709.1200","357,806,197.5800","460,357,593.3800","597,041,887.3400","302,810,177.3400","380,504,804.1700","500,610,929.0200","715,578,369.6800","344,007,925.9800","436,703,214.7600","590,546,817.1600","850,318,097.5200","418,915,533.8400","572,114,926.9400","827,299,169.8400","1,185,231,737.4600"
"264","000716.SZ","食品饮料","","","","","","",NA,"12,302,155.2900","","","","14,152,442.3200","","","","22,585,886.6200","","8,122,230.1800",NA,"29,626,681.6400","","11,823,113.6600","","30,272,685.2800","","12,099,842.8900",NA,"16,558,384.0200","","2,257,112.1500","","6,832,427.7200","","1,527,060.2400","","4,578,168.1300","-6,226,858.9200","-18,345,394.1700","-24,960,886.5100","-70,763,676.4200","45,111.9100","-25,141,045.5800","-28,520,178.1400","3,368,110.2300","3,814,343.4600","9,724,436.7100","12,362,421.5300","7,042,627.4400","-8,917,324.3700","9,800,019.8800","-3,112,524.5600","-64,177,667.7200","3,140,796.3100","9,501,578.0000","13,129,489.6900","2,451,024.4700","551,271.2800","-3,831,468.9300","31,761,554.8900","3,973,120.4600","1,586,452.3100","3,106,310.1800","2,253,203.7300","-38,648,466.8400","3,461,844.4300","9,788,039.8000","12,110,929.6200","-6,298,201.2700","2,238,784.8800","153,588,765.4000","153,710,899.4300","153,818,435.9600","1,354,504.1200","8,513,772.2600","7,597,689.2100","8,077,120.7800","2,355,360.4300","11,546,957.0200","15,356,949.9100","17,516,435.5200","19,805,778.4200","23,452,979.9600","29,348,830.9000","41,067,094.7800","27,039,920.1600","36,841,311.3400","50,827,488.8400","61,800,158.9200","30,051,498.0100","40,212,997.0300","70,526,129.8100","149,091,901.3500","23,952,714.6100","23,922,276.8300","64,792,625.7900","25,165,095.4800","19,304,873.7300","32,794,681.2500","92,158,694.5400","104,765,854.1500"
"276","000729.SZ","食品饮料","","","","","","",NA,"67,253,003.7200","","","","119,306,304.9700","","","","143,453,291.0900","","77,643,740.1200",NA,"186,939,206.7700","","140,378,517.4100","","282,271,320.8500","","197,582,025.0600",NA,"292,852,238.8300","","140,504,350.5600","","269,501,277.4300","","140,934,590.5400","","284,208,122.2400","4,915,310.7300","109,576,324.4200","214,174,299.9300","199,869,653.0700","8,631,662.7500","131,304,020.0100","286,079,259.7500","268,046,657.1800","15,117,822.2800","180,209,648.2100","328,067,637.1300","339,137,322.0500","12,779,971.2100","172,302,417.3100","333,971,337.5600","330,786,504.7400","17,425,959.1800","185,787,124.5500","357,224,590.8600","371,517,491.9700","21,697,844.9400","228,338,557.7600","464,672,103.2200","493,343,094.9500","24,890,332.9500","294,154,138.8800","532,308,923.3200","540,843,369.4100","36,032,876.7000","374,488,798.5400","685,504,638.2400","752,309,213.6600","45,214,787.6000","465,326,545.5200","827,471,406.2300","868,252,169.0600","45,188,405.5300","488,862,023.5300","867,422,099.8900","917,344,304.6300","49,519,148.4300","507,417,940.5200","887,045,825.2800","653,719,892.9200","57,273,984.2900","591,895,455.7500","1,002,422,672.5700","781,258,345.0900","60,251,322.1500","652,861,422.2100","1,032,919,418.6600","791,634,242.8000","64,450,976.4600","664,668,598.0500","938,227,775.9400","627,440,687.8400","55,509,995.2600","483,942,598.4900","662,873,014.8200","318,847,925.9800","63,040,028.9100","528,632,290.6100","656,772,412.0500","172,512,940.2500"
"287","000752.SZ","食品饮料","","","","","","",NA,"1,503,854.5500","","","","2,926,485.8200","","","","15,224,261.5900","","11,004,213.2500",NA,"18,715,141.6400","","6,241,010.3900","","26,558,825.6500","","28,840,684.2100",NA,"48,974,906.5000","","14,740,612.3000","","27,932,299.2200","","14,922,890.7700","","32,525,891.1600","6,014,204.3400","19,829,663.3100","29,949,938.3900","36,884,225.1600","8,410,452.7200","19,942,736.8100","33,837,179.9400","38,066,824.5400","9,381,301.5800","24,111,253.6100","37,485,239.7600","46,067,212.0300","14,012,800.9400","28,476,703.5200","44,286,506.7000","55,347,880.5400","8,641,156.5600","18,066,430.3300","31,465,871.8800","38,247,450.9200","10,456,495.0900","23,451,791.6900","38,095,597.7400","43,190,818.5300","12,031,825.2900","24,959,425.8100","39,491,778.5200","52,021,747.0000","14,699,802.7400","30,485,927.6500","51,907,772.5700","66,013,156.3000","21,164,366.1000","38,357,827.7500","55,329,011.5300","55,567,064.5600","13,106,155.4700","32,541,898.3200","58,599,840.6400","81,531,755.4200","16,501,101.8900","30,393,956.4400","52,133,367.0800","68,157,505.5400","149,180,042.4600","159,503,753.8300","181,447,455.3200","176,522,330.5500","17,443,497.9700","29,245,731.1900","42,290,247.0600","70,888,928.0900","17,979,390.1100","32,740,358.3300","44,085,919.4300","56,748,531.2000","11,749,441.5300","14,987,096.4300","25,011,023.7000","39,790,500.4300","11,938,182.0200","24,224,316.7200","34,915,295.3800","44,759,535.5800"
"319","000799.SZ","食品饮料","","","","","","",NA,"30,089,884.0000","","","","68,467,443.0000","","","","93,799,131.8300","36,567,921.9100","76,305,196.8200",NA,"159,968,605.0300","","114,623,670.2500","","196,520,830.0400","","99,156,428.5800",NA,"155,088,316.1300","","40,605,700.4600","","88,164,669.8700","","44,504,368.3500","","105,431,591.2600","5,825,869.2300","15,735,211.4800","4,954,229.2900","-144,341,676.2500","-7,851,093.7100","-19,948,790.9300","-16,085,406.3900","-94,991,798.6600","22,388,908.3200","-4,956,124.2300","31,807.3400","8,694,999.8800","3,974,443.8600","-11,684,382.0000","-151,745,264.5900","-280,009,719.2800","-19,825,941.3400","-105,552,906.0000","-109,158,171.6300","-231,914,969.2900","-2,822,634.9600","2,502,646.4600","29,628,862.4300","62,461,009.3000","3,430,063.2000","7,172,379.1800","-13,677,079.6400","41,138,502.0900","-5,379,869.1300","14,073,592.5500","37,030,469.8900","58,262,909.9900","2,142,699.9700","48,906,229.8100","58,156,248.2700","78,771,383.2600","21,002,099.1400","60,857,638.1200","85,991,898.6900","192,618,664.8000","119,066,392.4200","261,580,469.7700","460,226,568.9100","494,664,194.6100","9,225,137.6900","30,230,979.8500","19,419,989.5800","-38,797,225.7500","389,203.6800","-46,846,089.3300","-79,548,870.8300","-103,661,998.5700","16,143,810.4200","34,091,007.6400","52,138,156.7600","74,226,652.1000","25,710,879.2100","33,927,614.5700","59,691,603.9200","97,022,263.9600","35,604,208.0400","80,836,852.5600","114,471,336.1700","174,164,201.7000"
"351","000848.SZ","食品饮料","","","","","","",NA,"17,922,785.0000","","","","31,265,548.0000","","","","42,124,102.0000","","",NA,"54,717,343.2800","","55,894,348.0400","","71,621,222.1600","","69,759,092.0400",NA,"101,521,336.5700","","26,417,374.9400","","53,402,228.4900","","39,680,903.9400","","97,826,993.4600","30,237,095.9900","32,182,436.1800","34,896,937.9300","50,468,797.8300","16,393,923.1300","10,016,844.4400","18,991,004.4300","35,355,845.7200","17,460,055.2600","23,742,720.7600","44,811,456.3400","41,582,908.6500","27,203,009.6900","32,104,171.7000","33,021,788.4300","48,889,545.8900","30,581,206.6300","32,859,132.0400","44,674,821.2000","77,390,862.0400","35,630,388.7200","43,141,773.0800","60,190,200.3200","91,823,463.8800","52,196,328.8700","64,060,356.3200","91,547,281.0800","116,050,962.3500","40,250,371.0200","52,682,909.6300","79,035,210.9500","141,446,882.4800","114,303,428.3600","124,986,533.0100","151,913,346.0100","178,848,459.8700","101,223,264.3900","109,459,848.7200","144,932,806.2600","194,536,901.7300","108,175,040.2700","128,858,611.7700","169,982,561.8900","227,652,344.1600","189,841,757.5900","211,667,629.3200","277,882,836.3800","343,516,274.7700","244,981,482.9300","269,093,110.5600","348,404,709.3000","450,097,883.9000","234,181,699.1300","261,922,488.7500","348,671,882.5500","468,582,293.1700","247,625,186.2500","277,083,474.6300","367,252,738.9700","455,723,878.8400","199,689,773.6400","229,459,639.2200","321,536,573.3800","418,135,195.0600"
"356","000858.SZ","食品饮料","","","","","","",NA,"","","","","216,927,477.3800","","","","259,939,328.4100","","",NA,"341,298,375.8600","","252,919,406.8800","","553,291,095.0900","","317,076,251.6400",NA,"649,021,962.9000","","429,812,800.4500","","768,216,832.5000","281,830,575.4300","478,983,205.5700","650,310,000.0000","816,316,516.7300","253,237,536.7600","373,562,587.1300","511,693,618.5600","618,984,667.9100","289,511,785.3600","389,654,678.4400","548,305,195.1300","703,792,730.9400","383,394,123.2000","537,962,660.0000","679,164,074.5200","829,759,695.1100","416,503,687.6000","592,464,063.8800","773,754,249.8200","799,007,076.7700","549,147,078.0800","822,921,865.6100","1,023,357,815.7000","1,176,610,733.7400","745,206,726.0400","1,145,272,727.9100","1,326,845,730.0800","1,472,784,098.4200","1,015,707,693.3100","1,308,146,766.3000","1,604,086,352.9400","1,829,699,892.5500","1,269,280,228.7100","1,619,900,643.9000","2,382,708,112.8800","3,466,668,431.5100","1,578,085,299.8700","2,343,182,863.0100","3,532,769,841.4300","4,562,056,835.6000","2,161,488,984.3400","3,490,797,304.9400","5,001,266,488.0000","6,394,377,214.9800","3,166,747,159.3200","5,241,364,125.3600","8,113,605,924.1600","10,335,733,704.7800","3,786,290,698.7900","6,039,984,671.7300","7,410,685,949.0800","8,322,215,360.9500","2,735,548,585.6000","4,162,447,434.2000","4,894,197,804.0500","6,058,214,963.0700","2,289,923,256.6800","3,421,203,676.3300","4,777,110,529.6500","6,410,484,336.2700","3,008,278,093.8000","4,026,624,588.9200","5,296,615,569.5000","7,056,765,568.8600","3,739,205,084.9900","5,189,809,959.7600","7,264,975,166.4900","10,085,969,230.0300"
"358","000860.SZ","食品饮料","","","","","","",NA,"","","","","75,079,945.0000","","","","80,977,765.0000","","",NA,"68,947,284.7900","29,974,390.0000","","","95,235,994.8500","","25,365,490.5500",NA,"83,038,227.8500","","47,222,192.6000","","75,976,225.6900","","34,948,447.3900","","71,311,667.9700","16,107,956.4300","35,666,662.2100","52,076,015.7200","76,324,019.1400","19,216,599.4700","44,537,200.1100","65,219,676.8900","89,157,051.6400","21,317,566.3700","44,731,983.6000","69,385,904.5100","102,586,112.8400","28,457,705.9900","51,828,412.0800","77,995,652.9000","101,476,890.7200","32,421,605.0200","52,212,710.7500","90,515,127.0500","108,374,285.9300","44,089,395.2300","67,367,023.7000","114,510,979.9300","165,573,091.0400","95,261,331.0400","130,713,091.8300","196,898,337.0400","242,254,565.8600","57,666,544.1300","91,396,247.5300","149,312,747.9000","183,378,158.6200","106,913,105.0000","168,881,540.4400","246,918,232.0900","281,803,092.4900","97,863,405.9900","282,703,944.2600","300,776,201.9900","321,614,141.0200","84,024,691.6700","113,927,934.3500","116,310,905.8200","130,601,015.5600","106,026,802.7000","149,621,971.0200","164,326,231.3700","204,692,434.1000","183,677,349.6400","250,685,223.4600","287,783,828.0400","364,752,571.7700","192,861,503.6100","249,181,797.4100","292,613,941.7300","383,280,250.6800","178,032,713.4300","238,832,000.2700","260,065,775.0200","424,677,825.4400","189,914,028.0300","249,516,361.6600","277,618,587.3900","442,388,155.4800"
