"","上市公司","申万一级行业","X19930331","X19930630","X19930930","X19931231","X19940331","X19940630","X19940930","X19941231","X19950331","X19950630","X19950930","X19951231","X19960331","X19960630","X19960930","X19961231","X19970331","X19970630","X19970930","X19971231","X19980331","X19980630","X19980930","X19981231","X19990331","X19990630","X19990930","X19991231","X20000331","X20000630","X20000930","X20001231","X20010331","X20010630","X20010930","X20011231","X20020331","X20020630","X20020930","X20021231","X20030331","X20030630","X20030930","X20031231","X20040331","X20040630","X20040930","X20041231","X20050331","X20050630","X20050930","X20051231","X20060331","X20060630","X20060930","X20061231","X20070331","X20070630","X20070930","X20071231","X20080331","X20080630","X20080930","X20081231","X20090331","X20090630","X20090930","X20091231","X20100331","X20100630","X20100930","X20101231","X20110331","X20110630","X20110930","X20111231","X20120331","X20120630","X20120930","X20121231","X20130331","X20130630","X20130930","X20131231","X20140331","X20140630","X20140930","X20141231","X20150331","X20150630","X20150930","X20151231","X20160331","X20160630","X20160930","X20161231","X20170331","X20170630","X20170930","X20171231"
"33","000038.SZ","传媒",0,0,0,0,0,0,0,12.83700689,0,-4.073735209,0,-28.93594677,0,-48.77928074,0,-40.05241169,0,-19.89346591,0,7.488716589,0,-70.1287173,0,-244.9891822,0,-170.7239295,0,-40.91298154,0,382.0814748,0,105.3457923,0,-74.2314531,0,233.6787738,0,-64.81335674,0,403.6600441,159.4364025,1691.012509,25.19594615,-16.77263921,-18.50367975,-45.77255588,-46.68497236,-178.3285371,-95.51162624,-166.6581564,-269.7820305,-651.1932606,-5394.892383,-257.7965133,-371.7068738,-238.956164,951.4512246,390.7948598,235.3296226,109.4619541,-107.859965,-121.2229265,-118.6927933,1067.533115,25.08377845,19.27676459,1.620535012,-87.36254329,656.0743321,728.6737156,400.66704,26.02583302,-163.9972902,-158.4240256,-77.95110248,-91.28074561,38.45228914,44.80761243,-32.47839708,6.541217485,110.7689078,33.94165084,-205.8505977,4.282107098,-450.3762309,-228.8507953,-645.7245249,-1990.356265,36.24265226,93.2171233,109.3627127,114.6696245,5812.164828,11756.55559,7573.603933,2882.705672,164.1690003,91.8516041,128.0469413,49.02832128
"67","000156.SZ","传媒",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-32.73860714,0,0,0,67.82837441,0,0,0,46.41632465,0,-34.23253195,0,-36.35779141,0,109.9772528,71.57992345,98.91822017,108.2247139,3.695604202,9.224489987,-230.8002557,-25.38608286,-366.7050397,-838.7475258,-763.208039,-214.3900036,58.63497845,87.26290649,-111.5502422,-46.06192036,-199.0446913,29.22106949,87.61346528,-20.61299288,35.27108881,-183.6583532,108.4002959,12.40751585,123.2111035,92.93685861,181.6285303,185.2614775,149.4101766,149.5684593,328.0369165,48.47297228,882.7196992,3163.787392,116.819975,-109.1357644,68.66328133,93.98963734,-42.94210712,104.5093638,-55.35215084,64.25892429,45.92478311,40.64715905,56.37288103,59.75053,44.91173164,33.64185711,23.31275331,22.07596263,50.27395943,53.24364122,49.69376058,66.59258361,38.7390448,11.98550263,17.80513668,13.67213674,12.77494236,1.887695233,4.646809552,3.396233537,6.75686467
"105","000504.SZ","传媒",0,0,0,89.86498471,0,0,0,-56.25175067,0,-70.59265953,0,-116.1698474,0,-161.6205546,0,-965.9936905,0,255.4207531,0,110.3405539,0,-261.3997756,0,-1996.659004,0,-11.4743978,0,63.32039436,0,23.1799544,0,140.9159599,0,128.2264849,0,-81.02855589,0,-32.30373408,0,104.1541204,572.3492587,2.185578248,26.82768405,9.434132225,164.9477655,63.61959871,6.150403289,-6.524933194,-47.18758068,-44.8997749,-43.51683146,-67.81977181,-44.95528891,-40.30877562,-87.04274864,485.5815273,26.42823946,-35.09255799,-32.9169704,-83.89451309,-61.20832878,-715.2022342,-2200.219044,-9103.360911,-1230.738954,8.747144683,1.816495505,20.18868285,25.4049207,33.51875113,72.77081128,104.2361708,36.31270014,66.27166946,28.53912128,-634.8833966,97.87876023,69.40012529,-21.70273976,-391.5790612,-21125.14108,-1624.348661,-315.009818,108.8168881,37.58718994,32.17096447,15.10751628,-299.2643523,20.19506296,19.05562233,21.69141505,18.93310728,-21.49014845,-70.33481451,-50.55214005,234.2046286,-24.67057738,-3.296015194,-44.13552101,-225.4411104
"122","000526.SZ","传媒",0,0,0,350.0976896,0,0,0,-42.82738564,0,-113.1659042,0,19.98934502,0,249.4349837,0,-95.78300058,0,-62.79500397,0,-2263.80149,0,-842.629772,0,-405.1558364,0,-188.8590556,0,126.3438511,0,71.20611657,0,94.13523294,0,477.1456409,0,-13.78699254,0,-148.9151974,0,-55.45788435,37.12003092,22.20483269,119.9827338,-98.08796993,-6.954062283,47.30641692,-298.1678983,-6290.363226,-280.2733782,-324.2766901,-342.802809,53.70904928,235.8680161,197.4170504,154.3759387,96.57466513,-124.7749423,-137.49684,-145.8998422,2510.281508,20.55445358,-34.44593416,-89.0146507,-742.2530091,26.98947438,41.91698671,63.79323656,105.971042,-26.35351592,-4.455711847,-65.99711909,859.5054253,51.43277412,165.3154776,228.8996916,-36.08254093,-23.59704117,-110.614245,10.57142326,-17.46034769,196.3603211,-102.5779015,-128.762424,-281.0802987,-198.1955891,-219.0773566,144.4295749,130.4688488,282.0996784,282.6347461,307.6596812,-764.7953634,-134.3823786,-632.1744182,-1392.892931,-648.6420658,1659.977922,952.4291888,269.2303706,122.3813906
"185","000607.SZ","传媒",0,0,0,0,0,0,0,5.377329667,0,0,0,50.31653378,0,0,0,28.55423789,0,0,0,-165.0496603,0,-433.8876835,0,71.68260107,0,57.64264422,0,169.1958839,0,1330.085474,0,194.3276422,0,22.38274971,0,12.77715159,0,-51.89154114,0,-16.61256613,-13.14437365,11.17655217,-2.222235794,-4.791262719,17.08820229,-27.50487826,-19.2047457,-14.33114658,19.31155685,-6.500015605,11.99059124,-13.07937381,-14.6606322,34.20214578,-60.42387303,-60.19368249,-82.2664551,-352.7433261,-529.3024166,-870.811584,94.16206583,110.7407965,113.3521476,111.0232933,146.9550027,11.51363183,-40.1244834,-367.8966306,-167.3994492,-384.985613,-923.780088,-184.350889,-373.2974784,37.94443815,107.8435614,124.6100679,115.2801871,168.562444,506.1013263,0.444832888,-361.8610793,67.19536388,-13.04572989,-24.32558405,-35.25248306,-50.9688609,-38.67836446,19.77685451,51.65767912,35.7118621,26.84396464,55.09714601,-340.8687771,-21.81609927,14.92159986,-10.07160912,3.194873228,-32.45935333,-29.29878199,-26.42132755
"223","000665.SZ","传媒",0,0,0,0,0,0,0,20.95687757,0,0,0,8.0348596,0,0,0,87.97886375,0,0,0,39.96986042,0,7.933297754,0,-4.494434117,0,35.4466343,0,13.21768345,0,-0.306918475,0,17.95343101,0,-4.238235766,0,12.17244926,0,-59.32381153,0,-59.62883542,-32.98895804,-1.758185293,-83.00192463,-1449.978616,102.5688177,5.414486074,361.4730828,104.9189802,-87.13365623,-59.80313994,-98.92294537,-3157.410795,-364.5449616,273.9358524,35836.35441,117.0953733,336.3862808,83.86612058,-11.31849709,-13.87811111,-70.32312355,-60.22561016,-44.2034039,-64.22885891,-69.58032908,50.27911399,82.12333512,145.0152656,3194.410146,239.6219735,100.3293048,57.13534498,26.08309409,20.9835276,19.47281099,33.14578024,23.52945657,-0.473796886,5.148480585,8.134764041,-10.58499081,-0.962162904,3.84898779,2.186160521,-12.01643438,10.53723328,7.398274647,20.33688983,57.91024135,59.46663582,56.26280577,51.73895284,4.008090768,-9.734889998,-13.69338894,-19.47656025,-11.35460937,0.789632717,2.583550425,10.75124725
"231","000673.SZ","传媒",0,0,0,0,0,0,0,-39.74137684,0,0,0,10.47066672,0,0,0,-4.790957216,0,0,0,95.40354652,0,29.52338852,0,-21.25364623,0,16.92538442,0,37.34573906,0,-71.69343889,0,-21.22089133,0,141.3879854,0,-31.12304866,0,-11.19503409,0,-6.548983041,-92.36913791,-44.88002783,-34.69808941,-82.79711563,145.7941176,25.99143919,48.4137723,-58.9367306,-79.39915878,-58.69163714,-65.56696875,-14219.08272,-4398.634614,-2052.278008,-1170.399205,68.3379637,14.2862456,63.43083136,72.31490741,121.6330916,-95.66002281,-129.8590625,22.12932852,-1053.557703,77.33612052,99.03502735,69.17041308,49.18210602,-6.116391571,-3933.115845,-394.8473405,112.6408898,25.20832234,-43.70749862,-13.15203967,-515.9760519,-30.53859755,90.21215555,81.55657782,113.1467003,88.51651957,186.7378089,79.32740585,-28.15866993,-794.1376006,54.39809935,584.0818451,-125.2737497,-57.00922522,1106.434334,2102.415634,20335.79272,327.2126981,19.53059097,111.5228664,63.63155438,51.43781353,88.6741036,-52.62325997,-18.00604661
"232","000676.SZ","传媒",0,0,0,0,0,0,0,0,0,0,0,-25.58563129,0,0,0,38.57066233,0,0,0,75.13661102,0,-35.31513245,0,-6.306529092,0,-38.4323884,0,-4.896995993,0,219.3864268,0,39.08782868,0,105.4509255,0,26.25219349,0,-43.0300737,0,28.42330025,-64.62692942,-31.11996623,-40.57800357,-18.97852869,21.49283467,12.12896368,24.93584033,20.99526864,-10.1024018,-28.09002282,-37.79626509,-15.74981346,-24.31129671,-43.44685825,-37.56625894,1.746748198,41.25420618,118.3887887,62.71745184,8.558807247,0.298361099,-31.42595516,-14.76516687,-147.4005771,-975.1882558,-407.3195272,-514.7125848,-448.2643407,50.22490185,147.953537,109.0714289,121.8240062,-116.385019,-255.5297284,-455.8284481,-441.9275133,13.26430498,-23.29889594,-188.1241946,-84.29252846,52.13210903,46.35039237,113.309532,109.4413545,-50.82805334,-52.63198197,-502.2319015,-666.786532,42.96439841,-22.64617406,14.51185813,94.86305373,8.058989609,438.6538873,754.1150471,7593.453275,1896.058367,153.5427619,120.2879013,67.1017832
"237","000681.SZ","传媒",0,0,0,0,0,0,0,11.07226941,0,0,0,14.10522995,0,0,0,29.24398382,0,0,0,31.4397958,0,-12.32209122,0,0.795969418,0,-15.38632337,0,27.55904172,0,17.61539658,0,40.58094879,0,69.19021423,0,-50.16748256,0,-78.73892653,0,-99.33147638,-67.87059129,-98.77455185,-47.70961776,5528.046156,39.31584092,-20102.10612,-729.6873613,-580.122925,-119.4320192,17.80438853,-47.20948028,125.9634048,-6227.216894,46.36599272,13.98312582,-670.6331187,25.03125376,-219.08098,-14.69735314,-194.6861081,128.1359287,-15.46769511,-62.92970064,73.87046172,-333.0090697,51.84287414,52.3249635,112.0415176,145.7518206,88.46268076,100.5689936,-82.47293535,-258.4931907,-582.6296601,-13341.01471,731.055812,56.55895701,149.5435173,263.832395,115.0559451,-302.9101908,495.33033,8.365966866,4.733221648,-4.040807232,50.04631083,41.45343327,78.01274267,-7.028194239,1.939298436,26.94285248,19.59828203,20.57504784,45.62180712,39.40191756,34.79006613,26.98568843,44.57356907,37.03673333,35.56983374
"267","000719.SZ","传媒",0,0,0,0,0,0,0,66.68642407,0,0,0,-6.041215407,0,0,0,39.6833784,0,0,0,18.01943002,0,-0.465535205,0,3.55525612,0,-24.20815499,0,44.14733418,0,-31.08231675,0,28.09716697,0,117.0264177,0,4.157614393,0,-70.32100974,0,-9.818329164,-54.32655265,-48.76061513,-46.1867888,-48.04824621,473.5211405,11.29573754,-20.92975345,-89.41661953,-84.44072728,-496.6940619,-1847.399346,-13536.04386,-2877.295915,-193.2949158,-21.52476308,-88.97681467,-37.13564826,17.2696098,-5.896036159,39.77537162,-17.81690148,-34.3458979,30.03381655,160.6382069,53.50055047,-8.507729003,156.026451,-77.85619384,100,100,-100,-97.86267855,0,-4.264488402,-0.489607288,7.332116813,266.8970003,63.90635652,3.732638075,32.33955683,1.960491464,56.77210848,94.37562599,49.47561907,-9.920744958,31.63293941,4.515826431,2.999449578,197.5895361,20.0400482,11.36111022,9.364973286,22.87707503,-3.304853491,-2.359036519,-3.692773198,-5.29507145,2.505949958,2.345085713,4.231348993
