"","上市公司","申万一级行业","X19930331","X19930630","X19930930","X19931231","X19940331","X19940630","X19940930","X19941231","X19950331","X19950630","X19950930","X19951231","X19960331","X19960630","X19960930","X19961231","X19970331","X19970630","X19970930","X19971231","X19980331","X19980630","X19980930","X19981231","X19990331","X19990630","X19990930","X19991231","X20000331","X20000630","X20000930","X20001231","X20010331","X20010630","X20010930","X20011231","X20020331","X20020630","X20020930","X20021231","X20030331","X20030630","X20030930","X20031231","X20040331","X20040630","X20040930","X20041231","X20050331","X20050630","X20050930","X20051231","X20060331","X20060630","X20060930","X20061231","X20070331","X20070630","X20070930","X20071231","X20080331","X20080630","X20080930","X20081231","X20090331","X20090630","X20090930","X20091231","X20100331","X20100630","X20100930","X20101231","X20110331","X20110630","X20110930","X20111231","X20120331","X20120630","X20120930","X20121231","X20130331","X20130630","X20130930","X20131231","X20140331","X20140630","X20140930","X20141231","X20150331","X20150630","X20150930","X20151231","X20160331","X20160630","X20160930","X20161231","X20170331","X20170630","X20170930","X20171231"
"4","000005.SZ","公用事业",0,0,0,0,0,0,0,292.7953653,0,-24.08312878,0,-13.92196853,0,11.2449344,0,-3.995259044,0,-383.4106462,0,177.1532036,0,184.6941319,0,-2.697373793,0,67.77494479,0,-12.0112241,0,-99.22057809,0,-106.9131268,0,-397.8649212,0,-10304.30919,0,-9431.308245,0,-29.99781778,-206.7007599,51.41737748,63.91409917,100.9785067,106.1613535,107.3689367,110.4627187,83.5380274,-818.5301889,-1519.21604,-2018.717671,-10746.97481,989.8643155,558.0059278,394.6654611,63.9767049,-32.62423155,7.210347464,23.39513855,233.681702,-94.32542135,-92.48304866,-88.57730025,-87.90802698,68.13309449,-139.4375359,-213.7803694,-565.9127039,-281.3091149,-639.526555,-126.2868497,90.95169722,8.738571512,269.434688,151.4863441,357.8773838,-94.33340478,-207.8707996,-198.0299159,92.92414116,24.45846781,23.24589799,-116.6189561,-292.2872126,5.989581037,-12.30395528,-10.16592901,201.93457,7.091767025,8.054871404,6.611307939,-225.1778945,20.40170042,666.5023938,575.5472372,316.4699318,-51.17760311,-111.4628404,-107.8049023,-80.39028949
"23","000027.SZ","公用事业",0,0,0,0,0,0,0,69.66666667,0,19.64619514,0,18.60005027,0,33.91520331,0,20.34014536,0,51.34962531,0,19.15988117,0,-34.64455469,0,6.854200232,0,79.67911802,0,14.6443613,0,1.654879774,0,15.58849239,0,41.14995807,0,18.63201793,0,67.84621848,0,24.37518311,-6.021242676,-24.28568939,-2.153613169,45.2527613,45.0253359,21.7582425,0.689389488,-9.547915741,-19.42729723,-19.7255213,-18.64759614,11.21782302,-32.23738438,-21.29155237,-11.76585298,32.66887333,48.14569024,37.22129931,23.00334099,2.741162885,-38.05652022,-46.55062692,-38.30733558,-40.11929022,-39.18971118,98.40682503,87.5566251,99.12384854,155.4447141,-10.73180253,-21.20090337,-30.27488497,-34.05916977,-21.11499896,-27.51992548,-26.80108068,-10.825684,-17.83858739,-8.612946004,-3.920430021,-7.506507546,14.48575213,16.39291073,52.80846078,71.16290063,58.18938871,47.81752097,34.5192213,-11.60602331,-0.189037298,4.992873963,-11.91770312,-48.53062857,-23.68903724,-22.30900717,-31.64015832,-50.29294559,-52.90715027,-38.65312825,-39.92335823
"30","000035.SZ","公用事业",0,0,0,-12.68721297,0,0,0,-28.82580605,0,-93.8950555,0,-143.2636227,0,-593.0347694,0,-506.2183534,0,114.2947909,0,132.8133469,0,802.0696474,0,31.88729031,0,-297.3669799,0,133.312685,0,185.6739141,0,527.0733967,0,-24.75097941,0,132.2095458,0,123.0509855,0,74.30819804,-44.61328261,-24.00386708,-46.92809456,-29.81055309,6.874224328,-48.50480869,-280.1338712,-3933.757226,-132.6215872,-343.753723,21.58846311,92.12529965,-277.9115706,38.35901997,78.52096455,124.5821885,96.65522098,-24.11560227,156.3503483,291.6720018,11146.67356,463.1304214,3252.827819,-108.4425933,-159.0556793,-115.725022,-113.4999451,-80.26217042,108.5057852,5.680561131,-32.72813906,360.5393377,106.2168186,1.887923433,-45.06449793,-146.6390326,96.58325832,-853.3365935,-290.7362441,-2815.218718,-94.05484626,105.6105793,1163.138313,277.901547,-381.8738149,67.51048507,70.96222104,114.3358321,11.11681019,10.36330892,21.77264552,30.38542085,1.381989939,7.936520283,11.7539387,-7.217821856,-36.96785574,0.190434186,4.309838489,6.22028187
"32","000037.SZ","公用事业",0,0,0,0,0,0,0,11.6008064,0,-96.04858758,0,-51.49471442,0,1209.852718,0,46.83159411,0,150.2160144,0,37.39253601,0,-34.01842913,0,-18.09226229,0,20.01870656,0,18.9078509,0,15.48154029,0,23.59475782,0,76.51702304,0,57.31707048,0,98.45587272,61.23987173,101.0079973,-19.3835937,-11.06940153,-12.90956683,2.54228795,8.165128571,2.549112029,15.0513799,-3.761575962,-6.774191841,-82.25185847,-107.7980617,-98.35541586,-105.2668567,-279.7893424,-158.4418961,668.3635052,-191.1166945,116.4714314,143.782706,70.26111848,464.4675564,417.039774,91.6428846,-91.13576324,-116.2972248,57.57665428,285.4555052,709.0331068,-1535.134794,-462.2979162,-185.7737554,-202.8526122,21.50189552,66.36754752,13.99296104,107.3169902,5.566686483,-34.85179216,-46.9456287,-2702.017275,12.27652447,7.673293414,1.342243009,131.2246372,10.77291623,10.78542261,42.43091325,-674.5939928,-70.19710709,-26.94220323,11.20124029,-96.69374821,43.1100476,38.29585485,18.74117835,252.5046524,45.93878991,61.35848197,89.96740272,-99.97018587
"35","000040.SZ","公用事业",0,0,0,18.58973869,0,0,0,46.57249849,0,15.82492017,0,-21.3052542,0,-50.76822728,0,11.62380313,0,74.29992079,0,33.58865935,0,-9.613030818,0,-31.14046968,0,95.94206008,0,171.6454033,0,-97.31811438,0,-94.32856209,0,-623.7153343,0,-1097.27231,0,-179.4835429,34.07242014,-69.49867974,235.2302365,202.8037238,203.6474983,115.9750851,-52.63686404,-59.40781185,-56.01773182,-15.58461381,-175.1023297,-190.465493,-198.6308651,-68.08815766,-52.76265713,138.9799242,148.9609097,-54.96695154,65.24906082,1234.681457,644.5913831,1333.767849,-225.9017778,-136.6891896,-165.8662768,-287.505708,28.13107061,5.580844007,53.57378671,138.7784303,289.9230228,223.8028357,296.8320178,81.96373455,259.5110564,179.0650668,111.586083,52.05474067,-46.48019865,9.387132214,2.961841643,38.17020565,-38.1336415,-45.60000275,-32.45776147,-47.00399825,-89.86113368,-88.41617393,-84.08065817,-48.30725357,90.88976728,156.5322211,123.9983367,16.6828404,360.6317194,290.9163968,316.7975284,182.6017468,20.57087928,88.18594841,145.9893484,207.9405457
"53","000068.SZ","公用事业",0,0,0,0,0,0,0,0,0,0,0,3819.936306,0,0,0,-9.693658294,0,0,0,-18.47319701,0,-125.3270507,0,-158.354909,0,107.6339025,0,105.5418378,0,2401.059074,0,2456.830849,0,128.5019283,0,-36.14550824,0,-25.58685857,0,29.48458365,5.248570541,-1.016062534,-0.262594538,47.54019293,9.389560627,58.43005533,63.86185708,49.77258105,151.2216044,12.50427518,-71.08028923,-85.26028267,-136.2436628,-96.9803357,-84.17700257,24.20614675,-211.6060062,-5061.440813,-2695.915061,-482.0794352,106.6056468,108.4209376,108.3067256,110.7975448,-9118.565901,-7071.742492,-7822.858547,-9391.75523,96.77886595,96.6966242,96.74240071,101.8371515,17.68803079,21.18203273,10.82489719,-215.4673914,152.9851565,91.61266732,70.9660576,107.7477193,-224.7945218,-736.961929,-145.3173896,-1275.009289,-35.05973972,-64.73185365,-64.26254584,-183.2882217,-19.29983259,2.083795207,36.41361075,107.7180018,-5.644426793,6.04186413,-22.13743674,7.2475948,-8.176813493,34.95740974,76.72067802,274.2176949
"72","000301.SZ","公用事业",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,271.3392244,0,0,0,66.11563578,0,0,0,7.9293424,0,0,0,73.09861947,0,-14.95322365,0,30.15885784,0,62.96245394,0,1.798517572,0,-18.87834693,-17.49905713,-21.20011269,15.90535108,0.253474775,-3.248957238,13.89276591,-26.87992758,-33.32196411,-46.99818364,-156.7767908,-79.30265645,-52.84976736,-15.53145661,163.6273188,250.7236275,306.6450658,205.3751238,483.6815221,270.0219702,49.52926425,40.59154514,-15.42532858,6.454364664,31.9797372,6.69125269,14.19047971,-39.92450969,-43.85584363,-47.17120753,-45.67183014,158.6409738,19.44140045,23.5506737,-21.02518657,-79.64530513,-20.07957444,-1.749399236,50.56320493,114.2802591,36.7584707,48.91929647,48.05546902,79.34025821,49.48573586,101.8968734,107.1595131,-18.41370331,-18.56894738,-45.16178277,-32.02235535,-18.11621713,-11.75144629,-12.6550594,-25.63412447,1.016585007,-0.305672892,7.489850377,-11.78457882,-89.31799627,63.56359784,38.82239558,54.89617525
"80","000407.SZ","公用事业",0,0,0,0,0,0,0,109.863713,0,0,0,52.07444137,0,0,0,53.71304135,0,17.25922583,0,41.42190474,0,27.29186682,0,30.17684338,0,33.61431889,0,34.38029988,0,-37.67012125,0,-24.77943169,0,-9.772269027,0,21.14014765,0,-29.37593908,0,-42.93618132,-68.51721532,16.20604693,41.09568684,54.51162626,102.472969,-41.7799836,-20.04605065,-33.6734692,41.07757917,93.39655398,24.69979083,28.94889183,32.95866574,31.0415064,31.67052039,79.31750021,63.38541235,7.399451513,-8.67147942,-38.93877862,102.0856248,66.81831915,473.4140914,964.3385177,-14.21543969,-52.1298146,-12.16902994,-17.30846354,-13.83504194,-2.255532624,-84.76217237,40.13824387,-39.69857971,-48.86766928,-69.13877678,-98.14402686,-19.98199671,-66.29752224,-555.6472231,-2338.276513,47.46011806,7.267111941,639.7436673,136.5012858,133.8375256,278.6711676,-65.02725775,-0.475575417,-42.07486204,-6.772313715,-60.26212739,-21.74496546,880.693849,-95.63803301,-84.16974128,-884.226128,-22.60750679,12983.57088,4170.334838,137.7325711
"92","000421.SZ","公用事业",0,0,0,0,0,0,0,-12.52338353,0,0,0,4.533988869,0,0,0,114.6800345,0,145.898214,0,113.3503746,0,8.562866106,0,2.085704806,0,-33.98712793,0,-27.77801949,0,-31.94419286,0,-2.666968375,0,15.7049696,0,3.921272355,0,16.45792416,79.56711957,-0.916846107,8.011318292,-27.36170308,-17.63361429,25.99153631,2.044047265,37.34773117,-17.99963956,-45.45416709,9.432373887,-772.5163604,-812.1283274,-688.757847,-85.16371009,152.9432284,143.8997296,172.1385446,1406.744573,156.3915491,207.2903991,37.20346795,29.36901176,-18.6621896,-10.51838871,-45.05095838,-7.83432534,-36.48096127,-36.42349604,21.7142306,-320.7950482,-58.85701467,-102.6977513,-43.63837873,43.76259378,152.6980176,1605.348747,137.2416581,283.6721689,38.17885826,222.4089531,11.90076911,-13.48975157,-43.67459525,-13.14447802,-11.93221802,85.35705187,114.0092083,16.10910011,73.16470884,71.42364209,-36.50940044,-30.02831666,8.459713982,-17.53016669,31.21745631,-5.91117017,-19.81847716,-15.56683674,-26.35636508,-8.791783657,-13.7537899
"126","000531.SZ","公用事业",0,0,0,72.18046684,0,175.8180252,0,101.8101696,0,160.2277986,0,-19.42898286,0,-37.4427442,0,78.27216614,0,12.74722856,0,42.35743735,0,48.11134404,0,50.59194027,0,0.467677612,0,-16.99135796,0,-23.89540529,0,-9.846815879,0,23.74189397,0,20.74738544,0,91.80001453,0,38.85444174,16.90211806,29.39770612,44.12495604,80.10846621,41.75009466,17.0927071,27.89731464,15.10674996,-6.314368978,4.662519212,-6.599330292,-17.11835124,9.957480082,2.535676052,17.51587931,13.25725869,12.44400312,-98.28144345,-56.2967442,-52.9691999,-73.88085716,1077.836578,-171.4446045,-156.5077832,360.7916447,775.054732,657.9395271,761.5629251,-23.81553905,-27.14695721,-32.55459962,-40.01152003,-39.81635111,-55.05362081,-61.77107261,-61.14583235,106.6473982,125.6753431,132.371352,179.4138413,-7.070362785,-3.271511255,16.7748298,26.51143624,112.3693513,211.4577929,166.8197041,112.7558766,-13.91049933,-35.88195937,-41.21414837,-38.17160996,-10.7589447,-23.03328765,10.48568038,19.79063083,-12.43548495,-43.95476946,-61.93263166,-65.54215871
