"","上市公司","申万一级行业","X19930331","X19930630","X19930930","X19931231","X19940331","X19940630","X19940930","X19941231","X19950331","X19950630","X19950930","X19951231","X19960331","X19960630","X19960930","X19961231","X19970331","X19970630","X19970930","X19971231","X19980331","X19980630","X19980930","X19981231","X19990331","X19990630","X19990930","X19991231","X20000331","X20000630","X20000930","X20001231","X20010331","X20010630","X20010930","X20011231","X20020331","X20020630","X20020930","X20021231","X20030331","X20030630","X20030930","X20031231","X20040331","X20040630","X20040930","X20041231","X20050331","X20050630","X20050930","X20051231","X20060331","X20060630","X20060930","X20061231","X20070331","X20070630","X20070930","X20071231","X20080331","X20080630","X20080930","X20081231","X20090331","X20090630","X20090930","X20091231","X20100331","X20100630","X20100930","X20101231","X20110331","X20110630","X20110930","X20111231","X20120331","X20120630","X20120930","X20121231","X20130331","X20130630","X20130930","X20131231","X20140331","X20140630","X20140930","X20141231","X20150331","X20150630","X20150930","X20151231","X20160331","X20160630","X20160930","X20161231","X20170331","X20170630","X20170930","X20171231"
"46","000059.SZ","化工",0,0,0,0,0,0,0,10.83232696,0,0,0,7.639250773,0,0,0,31.56166956,0,0,0,5.799409589,0,-60.44737175,0,-89.45986575,0,-66.95121997,0,434.8337949,0,-88.46784808,0,-96.58579155,0,-67.53304096,0,-5.263440778,0,320.9655566,-47.67254319,-4190.137224,12.00962369,-67.88091917,1.105000767,109.6774334,470.3251666,1670.80113,3714.083525,2298.822708,222.7139321,103.4878072,67.41530554,88.07798278,-66.22012862,-46.1687692,-65.15381268,-59.26569787,316.2029155,151.2568843,163.7304387,139.1552215,35.83720329,41.01709275,95.31310701,60.28355545,-24.10877494,-8.124989479,-34.27850014,-49.04222667,-5.221223963,0.175920634,-107.0215593,99.00477799,327.118115,111.0039783,3186.894107,104.0435828,-57.88563931,-116.5132105,-205.348704,-97.6326169,-149.9095014,-330.0673493,4.469311685,-912.6380936,-273.1996726,-129.9114202,-87.85262674,-817.4193336,52.70831068,138.5882666,112.3635989,124.3948318,423.2241505,234.6659691,926.0987371,409.7899831,-1.761518686,-5.999121261,7.898822598,5.032633067
"60","000096.SZ","化工",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-12.39807041,0,0,0,21.7795332,0,125.589797,0,46.52406532,0,13.13414339,0,31.69653638,0,3.658243395,0,28.96249252,-2.623934643,-4.47949737,16.45437052,22.58259408,30.00945583,93.96355095,38.3430989,8.47869495,-37.02720563,-22.74295103,-49.03035133,-53.74051039,-44.48279456,39.10159331,59.67467739,89.60575845,-16.95493922,70.94042925,70.67108717,75.63569307,70.51659132,-46.90745823,-46.12300526,-46.9600279,-43.36030287,-30.99998045,11.38982221,-13.85953468,-358.7871286,-46.50416835,-46.05027466,-22.36721805,71.53268449,40.32001557,-44.58545019,7.972964296,-100.5033503,-31.64867864,-31.83898382,-77.67980265,34.72806877,-15.17966038,-14.4450791,225.0890853,377.1811126,156.3397046,306.1955221,-36.18375239,696.2064028,167.8396985,177.1140993,242.5442249,-93.55722072,-55.53569934,-49.12009921,98.73140044,327.7918006,18.47227998,14.69025265,-47.78804528
"70","000159.SZ","化工",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-34.11490537,0,0,0,82.16671919,0,0,0,-5.799103415,0,-94.64878478,0,-5.454785216,0,211.0866887,-817.9994607,-154.7715211,95.30599029,223.0151503,105.1840271,40.89784364,-55.98907892,-103.3488701,-28.86984236,25.90915727,-285.8441566,7123.513511,1190.28514,278.2700706,547.3027151,-160.751014,-28.89938079,-56.11441593,-36.30296012,257.9901357,175.5859751,1407.862316,205.5843797,371.7416337,204.8816398,129.2860509,-5.800430697,-17.16708496,-32.16687799,-0.670356801,-40.81641924,-14.36937137,-5.887857326,331.3346938,77.92072698,21.08158714,76.53103854,-48.77150847,50.69944791,-33.89159458,-86.57462202,-69.58338025,-7.695137456,-27.32643937,198.0894871,-65.33209886,-46.0187339,-79.68009598,12.53790495,277.6987583,-165.5626515,720.0316038,-154.6566463,-54.68796186,-179.7807258,-128.8233405,134.2639067,-40.2984085,19.01490017,-292.8895237,-531.5187525,-298.3296664
"81","000408.SZ","化工",0,0,0,0,0,0,0,8.768525659,0,0,0,32.4263624,0,0,0,58.25624214,0,83.71814549,0,19.35591255,0,-33.5834522,0,79.39752773,0,-69.78644448,0,80.22980193,0,693.2395121,0,-33.1139815,0,-67.42353134,0,-40.54052865,0,-42.14335182,0,-38.23530005,-48.93560175,-27.0305993,-17.36285293,-31.79747272,-44.05016267,-136.4366463,-61.90724284,-586.3280029,166.7828304,340.2093358,-16.00083985,-179.4640608,-1157.382151,-506.9358516,-703.5026246,110.2669398,102.3646024,151.1304169,239.2667288,-72.67063095,254.9447335,-738.4092759,-487.6607034,-3968.475512,-1054.73032,-37.0677705,-2.809889867,-44.03601201,7.245637108,65.53271546,123.7857019,120.0707719,128.2480315,142.768088,13.54048521,-82.53659455,-56.1385149,27.28213684,-16.04008587,-31.8125809,14.61935909,-46.28085253,-54.68268722,239.0963779,-48.8410173,20.8130987,-1061.025737,-437.6995989,-49.77308359,-149.8269991,92.27021963,-9.31122421,-12.68819247,2596.738023,-8.843472171,-8.235166877,-29.5781643,23.373652,43.76102651,32.38550052
"91","000420.SZ","化工",0,0,0,0,0,0,0,24.97981572,0,0,0,27.44450519,0,0,0,-39.66478409,0,-81.90346478,0,15.40377544,0,470.0492043,0,36.41801939,0,31.67271419,0,9.150375531,0,-12.69041942,0,-48.22831622,0,-99.82065829,0,-359.0510859,0,27820.48234,0,106.9176694,-9.294287338,8.270991611,66.10978182,575.3175666,794.7515154,105.670025,83.94397982,32.74447147,-60.04637922,-21.34968492,-36.29105786,-55.72281592,-193.3433597,-134.4050427,-99.74721852,-28.33908682,274.1057145,874.0247832,128122.8237,238.6629421,-217.1334722,-198.3454806,-268.8870448,-606.1708915,-129.7592741,-9.397569018,71.1835184,102.8445096,43.12676343,34.74385454,-135.5670994,-974.4763638,181.7396726,118.4646651,-54.25260086,-257.2942763,-199.6481354,-549.3308585,52.2547252,102.7487015,-141.3020372,-207.2862708,-187.6519387,-5156.897167,361.8592761,182.6518947,142.522761,99.59210441,-138.6180282,-106.0061593,-104.5531667,138.6336807,100.8263707,149.0232897,485.004885,824.1511001,8473.132607,1751.286557,475.6687243,269.0810652
"93","000422.SZ","化工",0,0,0,0,0,0,0,-7.113151383,0,0,0,27.96224312,0,0,0,90.68766359,0,121.0177715,0,46.79666152,0,79.90774426,0,86.81881603,0,4.142289375,0,-27.37631995,0,-69.2441529,0,-46.79412393,0,53.02769889,0,8.922156452,0,62.48550684,42.16807312,33.32479342,29.75098546,5.832209956,7.904787427,32.3897538,39.12916707,63.44033337,107.5457522,96.49998806,116.7250178,56.04353434,25.60891512,45.84183773,41.28605968,34.85179696,31.62326576,45.09941137,61.13847462,97.05905866,105.9739193,93.0195371,218.1915874,133.8027008,64.92105312,-37.5676386,-69.71693876,-64.50950288,-48.91702878,18.11051937,270.4574538,171.2648151,129.4896268,129.3588209,-40.74360725,16.47368502,46.91756413,23.25422404,60.12896141,22.30897228,-4.936327719,16.37471804,-35.63500919,-57.07685766,-65.2245093,-86.40056758,-72.84429114,-81.03293575,-86.65563022,-60.59041578,-78.53922806,-44.28942449,-14.27848235,-31.25189068,-86.04766429,-227.1684096,-181.1645091,-2692.020247,3512.109414,297.447329,-3499.709555,-265.6541303
"110","000510.SZ","化工",0,0,0,358.7991345,0,62.63959407,0,36.32448212,0,12.4045889,0,9.437002121,0,48.07497178,0,56.37204788,0,20.80437198,0,-4.856150578,0,-94.61048478,0,-271.9327404,0,-629.7424653,0,101.2606829,0,207.1006307,0,16724.88493,0,291.8528107,0,14.87110513,0,9.947480029,0,9.923018327,51.0948444,-0.679769257,4.954635895,7.061087083,22.14681178,20.26353294,31.72258948,19.9719486,-17.43814619,-28.87559237,-32.63942213,-36.41001662,-65.42693288,-29.03223907,-34.70494159,-15.85227645,47.63921426,37.55854421,36.95307517,15.13843813,5.027593233,-200.5686613,-127.4627578,-176.2453343,-352.6373668,-11.90200633,-147.3112677,111.4544237,121.2584528,140.8114573,167.2202859,1013.435242,-269.8512922,-156.1607761,-163.289998,-239.3586798,-280.943194,-610.2515694,-363.469558,103.7306769,-5.708183566,3.501156391,-25.30150831,-4521.935479,48.88287006,35.02904509,27.88971657,23.48684724,-65.33551831,-34.47313409,-11.48940235,104.4696444,101.3496878,107.371709,116.2834356,730.9429151,3027.61013,345.7829642,4.592201536,-22.15145493
"119","000523.SZ","化工",0,0,0,127.744337,0,73.80831233,0,44.16054624,0,-25.87484767,0,-11.79225306,0,-5.722256149,0,-25.490786,0,-49.34213976,0,-12.52998435,0,3.412143947,0,-26.50392173,0,10.61968266,0,-11.01030794,0,-39.88564911,0,-88.05973514,0,-73.39297324,0,86.64937375,-580.6392385,-600.2391812,0,-2927.170227,108.7501238,115.3674803,118.1998541,101.9147842,-10.98528876,47.16870836,32.24514366,37.58383477,125.3656303,57.2586555,92.53622747,331.1869556,77.36083552,24.52742242,89.14670093,-33.41317102,13.93116015,15.42434474,-8.567353902,-1.368339567,36.44954709,-16.17586653,-16.40509864,-30.5509145,-47.64971739,6.517991394,3.984435322,52.4076047,-3.527265415,31.04912609,17.37986419,63.81925551,33.46058864,16.14906491,86.35610212,27.23582829,31.09794676,45.46996824,-6.414408162,10.73282759,-1.840145143,9.571589824,15.64317239,62.21033297,16.87968892,6.711869705,36.11589591,21.83372931,-54.55269747,-14.95990587,5.360557919,-25.76109114,176.1934374,15.74119718,-30.37815036,31.41846571,47.91849663,-1.544962408,-19.46170202,-13.31661656
"121","000525.SZ","化工",0,0,0,19.72905289,0,0,0,-72.09031306,0,-384.6224963,0,-81.04426812,0,114.3707842,0,494.5099291,0,-239.6001716,0,395.986459,0,169.2151463,0,8.417126237,0,6494.816155,0,230.3160125,0,-4.434292738,0,-13.59684957,0,64.98999327,0,67.07222282,0,-28.98434016,0,-32.58829261,-62.28679741,-25.10533756,-16.26817593,4.627811902,321.3651197,38.41396107,23.43469208,18.18688155,1.142527421,-6.441030434,-2.915097403,-10.54372018,-16.94565304,5.25273284,-36.73326322,-21.34202965,-15.5658134,-43.17330542,-19.71269985,0.694287427,7.291200389,156.1386208,91.71287645,-2.95000359,-201.2284356,-55.01730333,-44.88611742,-92.2430006,131.575092,-79.70006978,-116.597778,-450.9697888,12.67098986,98.77399073,311.6060918,868.5764701,2473.245886,1203.60318,2131.571064,306.3242595,4.213875687,12.30438469,19.60198077,26.60802351,90.55928187,75.62346323,50.5920014,9.061009913,-38.18097311,-38.60901138,-44.66935075,-67.41088101,-65.5617635,-67.86466561,-82.24132926,-3.883153585,482.3042475,529.0931423,1246.923233,456.2529005
"138","000545.SZ","化工",0,0,0,210.9968059,0,0,0,33.97890506,0,0,0,-25.99023263,0,-43.79154497,0,-62.99594073,0,-88.1415038,0,-89.3494658,0,310.272697,0,267.7043169,0,-1482.60129,0,-700.7559028,0,94.9540782,0,104.9367087,0,247.7559092,0,-318.0613042,0,-199.7740703,-207.3758232,132.4430199,104.7537701,106.6244112,147.8531521,124.425606,501.8664026,369.9352252,11.96623266,78.68676324,-692.0703568,-1217.61184,-1902.338923,-1072.965665,-293.3454637,-68.97683914,28.32447108,71.67242535,195.9538239,201.7771744,174.3624348,152.4273477,-65.75405304,-76.08067295,-75.0862501,-82.31852929,-146.0517249,-581.9696147,-825.8881778,-571.0385499,19.72840118,89.25357175,93.83137794,-202.5126068,-55.96361065,-681.3676238,-307.1601667,88.25425068,127.509828,127.169054,137.6622508,156.9624391,11.75087151,-30.0179598,-6.65399417,9.984494233,-45.58446764,-47.32315452,-47.81523748,-56.07316902,39.72657835,204.8729458,176.2774398,214.6043023,38.06539418,-48.20968805,-48.84396334,-7.911464253,239.4035621,186.1015741,171.4234066,37.27035935
