"","上市公司","申万一级行业","X19930331","X19930630","X19930930","X19931231","X19940331","X19940630","X19940930","X19941231","X19950331","X19950630","X19950930","X19951231","X19960331","X19960630","X19960930","X19961231","X19970331","X19970630","X19970930","X19971231","X19980331","X19980630","X19980930","X19981231","X19990331","X19990630","X19990930","X19991231","X20000331","X20000630","X20000930","X20001231","X20010331","X20010630","X20010930","X20011231","X20020331","X20020630","X20020930","X20021231","X20030331","X20030630","X20030930","X20031231","X20040331","X20040630","X20040930","X20041231","X20050331","X20050630","X20050930","X20051231","X20060331","X20060630","X20060930","X20061231","X20070331","X20070630","X20070930","X20071231","X20080331","X20080630","X20080930","X20081231","X20090331","X20090630","X20090930","X20091231","X20100331","X20100630","X20100930","X20101231","X20110331","X20110630","X20110930","X20111231","X20120331","X20120630","X20120930","X20121231","X20130331","X20130630","X20130930","X20131231","X20140331","X20140630","X20140930","X20141231","X20150331","X20150630","X20150930","X20151231","X20160331","X20160630","X20160930","X20161231","X20170331","X20170630","X20170930","X20171231"
"45","000058.SZ","商业贸易",0,0,0,0,0,0,0,202.748367,0,0,0,35.36899537,0,0,0,28.42400382,0,20.04029882,0,11.12676786,0,-25.6384606,0,-32.70436234,0,10.09927498,0,10.79973354,0,-73.78961746,0,-90.19296998,0,-12.47424713,0,-23.22921474,0,129.8791619,0,142.7200136,129.8314198,11.25530537,-4.845988791,29.96713182,-53.26887928,-4.249380999,3.768157043,-31.07602129,-113.6142968,-157.3914398,-211.0341534,-278.8088033,-1856.306717,-129.544572,6.926384167,37.85762558,-72.6135228,-117.5517948,-115.0152905,143.4751442,125.9801133,118.9231947,119.2042044,-15.83846724,-559.4509008,-546.2299201,-499.8276556,-663.3662517,120.5632857,120.4652683,122.3546145,120.2540573,-23.9393235,-4.334467442,-24.08725236,8.260898109,44.87249065,35.31890535,81.38131485,-19.67254206,24.83621438,27.32590328,26.00875241,31.73267535,21.85598574,7.341600086,-4.862608728,8.070563091,-1.946408757,0.465132487,1.69742057,37.23519136,0.178069525,-15.07255493,-1.904565946,31.73289045,-65.96379196,-55.5561055,-54.76200615,-0.40562923
"48","000061.SZ","商业贸易",0,0,0,0,0,0,0,49.90225873,0,0,0,33.06279332,0,0,0,61.77652254,0,0,0,92.61992676,0,133.7178124,0,27.10503996,0,-13.29487351,0,18.93600593,0,57.34580159,0,26.78078707,0,-10.58796487,0,23.26060802,0,113.9276728,84.88561778,55.80043433,22.01066474,-65.35442749,-60.27055366,-40.72941864,-0.180065584,-21.64390966,-38.32766053,-69.50019854,-0.637548039,15.40573,129.5599741,227.1108747,-9.362227955,-74.91553085,-69.06907143,-6.880591334,23.77253324,525.0319363,264.1776696,159.8725607,243.2859364,100.28505,69.0270416,-48.37979083,-35.35542718,44.6763454,38.14847845,24.52090523,-20.26809446,81.65900324,62.54454367,78.55633931,-28.22907948,-39.65086231,-24.15933235,-6.432014819,191.5637075,-17.50776412,-28.44675548,-59.84780149,-23.99050378,-37.96784486,-24.7722736,105.6409258,-74.95495844,-9.366298751,-4.347029469,-37.27635307,-79.54100787,-7.776306402,-31.52828698,-67.30684122,369.6372715,-30.7017797,177.2128294,110.7093478,77.79958769,-39.30203743,-86.5396547,-34.41646459
"64","000151.SZ","商业贸易",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.639032963,0,0,0,11.09227384,0,0,0,18.44526614,0,114.4063904,0,45.04103416,0,-29.56205289,0,-45.74412051,25.78507494,-36.59009713,-23.09611304,-15.69080321,-86.37451833,-4.20176659,6.640794777,26.53287431,-27.91865766,51.12624991,45.95874589,-7.286142938,16.53605106,7.257051002,-2.219110739,1.747941238,56.11210537,132.251436,65.14406516,-16.1471017,151.9358875,-73.03448111,-75.58074809,8.234622424,53.90758608,-17.1655052,30.51514463,-33.52063302,14.37569099,-32.94407021,-41.01242758,-73.35614097,132.1531561,3.16276037,-54.70866967,-240.1262169,-28.55624204,-27.21622692,203.1788475,506.2085715,44.57388673,378.4631643,249.7469034,109.851844,45.47962308,129.3437618,108.2934022,21.76867449,-7.841035942,-16.53131962,-34.52723814,19.18986815,1.420928533,-22.67637159,-11.53757043,-24.89150285,-8.215128756,-4.900828289,-13.02216963,-12.34019335
"66","000155.SZ","商业贸易",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-18.69297913,0,0,0,9.228161076,0,0,0,-3.212770157,0,-19.68091955,0,-41.01637521,0,2.235974335,0,3.680106444,827.62764,97.13569776,79.74937078,40.73660069,-125.2493634,-199.6760311,-160.5902504,-96.33712799,324.7360851,237.5742101,465.3196975,7613.91834,202.8991777,69.29971016,-38.11402684,-40.73782027,-122.2551323,-92.97459666,-44.46005442,-2.22671363,635.3454921,1030.662226,127.1030817,3.603753169,0.787252683,-50.51031315,-58.50023263,-46.71104813,-150.9756769,-121.275823,-164.4223645,-399.696146,125.2748629,-311.2920814,-54.21931467,-1.829236183,-1528.481598,-174.1263417,-74.1322463,100.6976781,26.24276315,-9.77161099,-92.96188392,-45915.28871,-49.19861012,-54.60851947,-54.60373445,-132.6420923,56.19108065,51.96535812,51.89978144,56.92886123,36.4315874,352.8019802,280.8269259,221.7834468,172.8588124,-72.89136378,-45.24964395,-58.83310362
"88","000417.SZ","商业贸易",0,0,0,0,0,0,0,24.69086443,0,0,0,24.74550135,0,0,0,31.66317384,0,12.81465111,0,2.71724447,0,-50.35510252,0,49.939896,0,144.2145807,0,10.14840228,0,1.44386846,0,18.19196677,0,50.44813281,0,-0.200943279,0,-35.1319098,0,-43.52809034,5.802228844,-27.99751695,-17.75978111,5.872407985,56.84756473,36.29758191,25.58219007,33.64996651,-4.353694287,22.37947843,20.15479275,22.16925021,18.11023443,20.33582311,30.4238911,35.09704859,115.2323029,100.4662349,108.5634135,109.4272781,28.70420056,48.89937857,61.60446433,33.82132085,48.11190812,50.49846366,53.63507489,52.84676538,39.71597953,31.09359053,33.61588148,27.16533987,199.168406,129.2996432,83.0590008,59.19193202,-39.3878863,-24.12060909,-18.80892873,-21.43286702,3.797257029,-0.691361989,3.615696884,3.285530784,-7.456265124,-6.764999593,-17.75592423,-5.929999628,-22.52402232,-18.07945149,-19.77950066,-25.46692151,-7.833790939,15.37999725,16.95374516,8.856664989,15.17074497,-13.5557675,6.518835858,-18.24859763
"90","000419.SZ","商业贸易",0,0,0,0,0,0,0,53.31128383,0,0,0,8.18226471,0,0,0,114.4347499,0,209.0554,0,43.53870584,0,12.86315142,0,10.86093762,0,-7.811498102,0,20.2549655,0,-40.52202947,0,-5.206928691,0,12.07433047,0,-38.63289828,0,-26.98396729,0,7.754171527,19.11309209,-29.20711247,-20.73335914,-9.590448032,-4.722360064,11.66666649,18.02937775,11.21953293,-3.700715908,15.21254593,25.02829248,30.7998456,-13.04527006,1.1728095,6.640825588,55.7927325,83.66609398,48.0479001,62.319199,1.930124949,-5.124431029,28.61209397,8.154685092,-20.30058492,-6.844264904,12.86662213,1.000611595,11.08024325,96.86049865,68.09448237,80.92307904,92.03316036,37.11730609,44.14909282,48.87026113,108.5508931,4.595767967,13.35048004,16.4478258,-28.0064926,-1.221889246,9.118197858,0.143845594,-6.48230634,-1.920485771,-17.88568646,-26.09462489,-5.118064289,12.08857231,23.34989316,23.93718122,-19.64485813,-1.445121501,-4.195755352,-7.46486608,5.087168913,-5.851714331,6.818429968,15.94970955,26.70434449
"102","000501.SZ","商业贸易",0,0,0,725.8236572,0,81.74105734,0,-6.187523771,0,-50.17791757,0,-41.27493474,0,-50.27107147,0,1.791498074,0,143.057043,0,53.25151751,0,12.95953929,0,-55.35226643,0,-18.99264947,0,-15.04027023,0,-16.06672517,0,-9.527982608,0,-33.58096573,0,-270.7550931,0,-47.13007696,0,138.7049628,-27.39115611,-7.964878219,-35.84998171,-24.67593053,119.7057206,49.8817689,-7.629014221,-459.3326662,122.4015318,134.8619981,378.7016378,182.5607173,14.80833,19.99015765,33.03000227,52.09493119,40.40461059,50.47352251,43.43049917,184.3013431,39.88186643,37.12318954,32.07379828,24.60164601,5.377348282,32.25052232,30.13656314,15.67827012,32.35856597,21.8691328,26.5036042,18.97951045,31.20091964,28.44827129,30.44750734,17.85380782,7.582622736,9.843992439,7.98116317,16.88540067,11.29949354,11.40638495,12.33513706,16.44710871,7.328588888,7.433353892,9.694372211,5.780993718,20.45444017,17.88372008,13.88939354,24.87703359,-2.51974356,17.88344452,27.5203492,24.01256236,11.63324718,27.8246764,23.73329859,25.00210333
"113","000516.SZ","商业贸易",0,0,0,4122.637383,0,174.5560751,0,-30.91922518,0,-57.18044805,0,-56.66518531,0,-1.442035529,0,98.97021075,0,581.3327748,0,226.8127074,0,-18.54057515,0,0.825400553,0,-16.10343212,0,9.338148283,0,63.7503163,0,17.75388441,0,10.96130977,0,19.6250498,0,-23.47828272,0,13.28869782,34.23889491,0.555864219,16.33550832,18.92080541,4.943384689,19.99873027,-24.65917393,-22.16065859,7.372849268,15.57409996,33.23968318,23.26321586,23.02276577,23.51658176,19.99157861,11.76194695,22.16639423,39.23802912,71.49921053,70.10767939,29.70382568,-7.045460381,-12.11922562,-20.23849556,-4.177449428,32.69648949,20.03799092,12.11829196,-5.531657585,122.1148028,93.16886794,91.75271279,83.65296512,-11.58916102,-10.9865692,-16.41579313,24.09633941,6.048394403,-4.132751918,-12.88522159,-14.70036165,-1.65702415,2.54004325,9.623640099,44.56823417,50.97469428,86.81909074,188.2216199,47.43483263,13.68452483,-11.08933762,-31.19562678,-44.7800259,-15.40090525,10.79034136,-16.47345191,22.4039557,-8.286989439,-6.786396684,-2.241954165
"151","000560.SZ","商业贸易",0,0,0,271.2491714,0,0,0,5.15123584,0,-47.28333967,0,-39.96143676,0,-21.44017279,0,-33.5352859,0,-9.16704879,0,-9.271193282,0,-91.23240883,0,-9.390704142,0,-3178.947413,0,125.0649273,0,-55.17529111,0,-776.2294237,0,14.534541,0,-88.63719581,0,16.30292104,0,-39.06481366,214.431393,222.9468482,203.3241189,117.8557141,9.399583866,4.225162282,5.470665267,19.26356251,14.59210968,4.040157711,-4.318795168,-38.30238124,-84.56963511,-77.54095443,-104.7322035,66.77217614,286.354989,189.2640286,1517.963869,112.1647108,29.72452969,29.28377402,-61.75225169,-94.33642391,-17.3213483,-52.10080417,86.17633852,22.52737901,65.06686183,97.3455978,18.11293297,-9.887980206,-48.87191932,-28.40419742,42.54321589,107.8170375,-12.13848226,25.13635684,26.93179814,68.83416257,29.26733577,-36.80064343,-82.15727956,-40.86536061,496.5236883,414.1989996,961.1996728,-4.708749861,-93.83879404,-95.8646912,-90.10269681,-77.3897458,251.8665075,1003.775401,720.9130837,333.6026744,-32.211894,-38.69114334,-28.71808322,-13.59571932
"154","000564.SZ","商业贸易",0,0,0,245.4389548,0,85.49809405,0,70.32812006,0,-9.939468698,0,-19.09272403,0,10.98536393,0,25.833039,0,-42.66161067,0,-86.05266339,0,-86.29431025,0,-62.55987705,0,-6.714585836,0,352.3212036,0,534.5954714,0,172.1245833,0,235.3234241,0,-0.128176781,0,-73.66387175,0,-61.73778149,553.5484003,30.82750866,60.76878367,56.41327624,134.5841803,13.72701882,-17.93065112,-35.57051337,-11.01587558,-37.93463398,6.766885595,8.347888788,43.00997556,31.38130579,-3.649702789,57.36436193,47.48870382,32.39745919,23.62794224,-14.45609359,-5.622600107,-16.03407189,-8.083957407,150.4153401,39.28350483,90.96975424,122.1533421,-14.49152526,-3.49062096,-6.775403523,18.42482562,18.00870398,8.518063125,12.88984831,10.07868701,3.470220785,1.552395752,11.92650659,8.555197818,9.547534031,1.89503901,-3.087376433,-5.219467993,-11.63851232,-1.906519951,-9.179435362,-8.964819103,-3.37749892,-4.139585128,6.951279182,-30.91178478,-39.10168791,-25.75408241,-30.40241175,108.1235444,221.9183995,537.1481482,594.1543321,684.3687798,99.7252651
