"","上市公司","申万一级行业","X19930331","X19930630","X19930930","X19931231","X19940331","X19940630","X19940930","X19941231","X19950331","X19950630","X19950930","X19951231","X19960331","X19960630","X19960930","X19961231","X19970331","X19970630","X19970930","X19971231","X19980331","X19980630","X19980930","X19981231","X19990331","X19990630","X19990930","X19991231","X20000331","X20000630","X20000930","X20001231","X20010331","X20010630","X20010930","X20011231","X20020331","X20020630","X20020930","X20021231","X20030331","X20030630","X20030930","X20031231","X20040331","X20040630","X20040930","X20041231","X20050331","X20050630","X20050930","X20051231","X20060331","X20060630","X20060930","X20061231","X20070331","X20070630","X20070930","X20071231","X20080331","X20080630","X20080930","X20081231","X20090331","X20090630","X20090930","X20091231","X20100331","X20100630","X20100930","X20101231","X20110331","X20110630","X20110930","X20111231","X20120331","X20120630","X20120930","X20121231","X20130331","X20130630","X20130930","X20131231","X20140331","X20140630","X20140930","X20141231","X20150331","X20150630","X20150930","X20151231","X20160331","X20160630","X20160930","X20161231","X20170331","X20170630","X20170930","X20171231"
"13","000016.SZ","家用电器",0,0,0,137.3422845,0,47.99834166,0,9.063057715,0,11.04621746,0,15.23374898,0,0.175737775,0,31.57877226,0,15.36787906,0,0.794676581,0,11.70131914,0,26.17817792,0,17.34278963,0,17.38394615,0,-36.44524778,0,-53.26446994,0,-238.3562238,0,-391.8427629,0,113.3989868,0,106.6704886,5.390355002,25.45464678,90.3892139,148.4085722,21.7644046,58.61793529,15.53119476,41.97086051,-33.5388358,-57.89778271,-46.53114514,-87.98506791,34.12925013,39.40378565,15.28878071,28.53461261,1.765341123,35.18051721,26.08484258,103.2492944,89.2964168,113.2194213,263.9299031,31.0826977,-24.18780933,-12.36906944,-45.32766858,-46.94429311,8.839616743,-19.30144197,-30.25636388,-31.34415612,-289.1889444,-415.426426,-308.0302164,-76.10486342,113.9444761,106.0127587,110.0660029,87.92292182,5.285073959,219.3261579,156.2038256,31.70293576,-6.638363612,29.13618603,23.54064856,3.67656239,-57.45485442,-757.059372,-1823.595333,-2207.973737,211.0554375,103.252252,94.26726477,107.2246531,89.98645455,247.1939404,373.9504095,5418.648591
"62","000100.SZ","家用电器",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31.804605,0,0,0,136.0997109,0,0,0,-6.340396305,18.39041756,5.433912837,-32.02207013,-90.31372847,-270.5153621,-321.2488954,-500.4002417,-1527.311688,67.08412157,-26.65914942,24.2106622,-105.3785452,95.32796917,96.99064907,113.9836473,109.334179,5173.746702,817.0657316,73.81425329,34.12107133,-98.98502892,-67.9760592,-41.47202219,59.70701795,2168.8942,27.37103923,-88.74062126,-32.85382786,180.6516637,428.6637627,4791.511268,253.733457,-80.19686117,-43.75537794,-44.68564768,-23.83775241,573.3676568,122.2012635,131.724642,126.6572118,93.12937545,85.66517365,72.80990106,46.73079143,5.812923787,5.538389253,-13.30194756,-23.689645,-63.81105897,-62.27770563,-21.8325606,-33.82247542,89.16413376,110.8270167,48.59163527,65.83090843
"73","000333.SZ","家用电器",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,78.19474376,0,0,0,49.02657528,0,0,0,102.3427199,0,0,0,57.98928957,0,11.62055813,0,1.586116073,12.45249887,12.78116819,13.23464701,24.68176467,60.75398449,66.43698986,91.81936717,90.98118024,27.17068088,1.766085904,-4.878355928,2.947931631,17.49817128,4.413045263,12.60676442,-7.681801144,40.01195195,40.78021785,35.45267027,35.11880086,47.06722307,52.21151755,45.66749536,40.35955012,27.62076308,23.98211065,20.21483358,16.98670173,14.13329718,14.3300023,16.26143086,16.42065065,12.45805201,12.87446126,17.08416267,17.3325763
"79","000404.SZ","家用电器",0,0,0,0,0,0,0,62.28730738,0,0,0,87.07875165,0,0,0,92.17498536,0,5.058050954,0,6.125075146,0,11.37369767,0,10.49265633,0,-12.79668698,0,-35.57089472,0,-10.15271652,0,16.7987052,0,-75.54032355,0,-65.50810318,0,-55.17428638,0,699.5882113,-3012.340357,-738.217141,-312.1789142,-2640.01129,-128.6234471,-94.43988268,-69.6450799,112.6666021,110.7806303,85.06359003,74.38040824,-1079.546124,-672.3132532,53.67228518,167.6332933,125.5044425,94.25353041,456.3899295,190.7286883,54.26711589,7728.976201,1229.134675,552.3907349,39.51653668,-54.26806944,8.618304665,82.5588521,134.2034666,-27.52095353,-27.47430069,-31.34490072,-54.01943813,-83.25654731,-29.29469883,-41.41578658,-6.634633498,774.2039502,98.53063512,156.7128846,140.525031,283.6726303,98.10852582,61.81624271,46.47952345,47.42982788,30.18791837,14.44335137,14.14605097,-21.05134629,-7.21367727,11.01600936,14.52073851,12.21172477,3.831292804,3.780613689,19.34464328,6.982462138,6.030057547,-24.07592706,-46.40815995
"89","000418.SZ","家用电器",0,0,0,0,0,0,0,227.2567079,0,0,0,49.72785275,0,0,0,21.6685233,0,16.15744435,0,46.89318478,0,17.23160018,0,-12.24061152,0,-0.647934602,0,-7.056286715,0,-10.97342521,0,-10.83555376,0,-22.99443865,0,-85.33059949,0,-77.17191345,0,-1037.678727,26.61825858,-15.87246913,14.39256385,108.0386944,-38.52310755,63.94127504,1.595937967,-8.717389202,60.0717001,-36.30371687,-39.21447745,9.385719809,-10.64210585,20.09407268,32.93865538,-35.04278014,47.06043381,112.1275231,560.2340825,1023.970499,105.2924356,28.67539758,-44.66383297,-92.79128683,0.469434443,-11.4282827,15.73105454,786.4959451,136.1838942,189.5001296,109.9351074,96.16945504,19.09929931,12.32260465,7.118985758,-11.67276128,-21.06969297,-29.75132746,-34.95971717,-29.65819498,-7.213762518,0.75948374,12.31562448,25.32005668,56.14576214,48.50925211,59.7604804,66.57467686,47.66825585,42.28328959,37.16258893,33.16768129,30.26476656,33.38239556,33.27554331,27.50390832,21.42920301,25.24155499,23.37409974,27.23054514
"118","000521.SZ","家用电器",0,0,0,103.55355,0,0,0,25.95856679,0,2.818844521,0,2.913227653,0,32.39030078,0,28.3575131,0,-15.76148888,0,-18.26986593,0,-34.65547763,0,-29.20184462,0,-21.89860458,0,-10.69898733,0,-93.41735239,0,-88.44993088,0,54.65136136,0,-6425.235474,0,45.19629459,146.7637484,102.3194414,-34.75987123,-1.463025874,-13.08481596,-2540.108258,212.8608466,205.7485596,172.2890322,108.674789,6.169416732,13.45415553,14.23201053,-58.62249847,-55.73689754,-51.94144911,-46.40946855,26.53474994,52.55132877,28.83566425,13.09246805,97.12949937,96.25830233,32.48818952,31.54459523,44.22081072,0.330342715,106.8708566,884.8038965,994.2813637,2030.594654,516.3407263,60.67402899,8.40685031,-64.99677934,-44.58388902,-59.66096429,-72.72952125,-9.141723228,-8.094171772,16.59831923,81.0231944,-4.63953774,18.22359694,34.37883393,71.32440498,52.34037779,22.12640033,20.9666314,1.546592678,-0.9807673,-1.213720958,-30.08596642,-92.43235227,6.020585173,-30.79126345,3.610214856,908.2960521,18.33539938,-10.76105623,-22.91139632,-83.60602759
"128","000533.SZ","家用电器",0,0,0,111.154906,0,146.4585916,0,-12.84969695,0,-41.44009579,0,-64.89869853,0,-60.55725045,0,-65.96651401,0,-80.84486104,0,537.0870829,0,1429.473892,0,15.40007266,0,-4.787061552,0,24.20376083,0,-22.83755027,0,-93.43726768,0,-73.1401185,0,-27540.49296,0,-629.6252103,0,88.58662205,109.1522395,139.6562589,171.0992398,270.4561812,-94.99066751,-89.27564486,-95.01666078,-98.32824745,15.38339514,-1.16929908,-457.0476661,-4572.785051,1505.177294,671.4131874,349.6711917,113.2843721,415.615186,108.3129495,203.5373288,562.8549265,-64.95302525,-38.84750838,-47.90939488,-49.12766143,34.88395275,1.411489902,85.67047424,194.4064264,1798.029368,505.7378969,141.8877852,-25.8477016,-96.85032011,-61.06704957,-62.16150561,-50.90374405,185.4713733,-48.04760212,-37.9791533,7.440337513,-30.67416042,55.46163673,64.31745269,142.6799934,197.569461,21.23600782,40.04483788,-12.72190882,93.3976487,46.06505019,49.81051289,7.340006607,-34.70613123,-38.34941661,-70.81322117,52.27982733,-81.72239099,-37.86668604,-17.01291503,-74.55009673
"214","000651.SZ","家用电器",0,0,0,0,0,0,0,63.23567398,0,0,0,95.6644189,0,0,0,20.08352685,0,14.29545396,0,16.10723196,0,8.468293441,0,3.829727398,0,1.815038608,0,1.481189611,0,-27.51469976,0,12.21497588,0,40.943417,0,9.265274947,0,1.577161229,0,13.29622486,17.94496682,7.936527206,8.278033364,11.48758717,13.22363079,19.62067703,19.73137155,25.77627755,19.10423814,24.17282764,20.93845288,20.3982049,31.96305274,15.87079562,13.30311611,36.54870709,26.91725956,52.68378589,58.11978003,83.3586112,160.1117844,104.6120193,86.54597122,54.73803391,23.46619222,28.33119298,40.71788471,47.18297086,16.12247142,27.09950277,44.73206527,46.78375143,46.96329786,41.50821526,31.40888992,23.10219783,26.57557636,30.35936022,41.45207648,40.55973789,12.80091926,39.38691378,41.83968951,46.86893565,69.2805933,42.71220212,29.69907399,30.34072664,22.62331237,-0.086334198,1.18985654,-11.43076796,13.85322014,11.7665114,12.76975909,22.97975069,27.07380947,47.41646834,37.42309415,44.5968331
"321","000801.SZ","家用电器",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,82.17554226,0,0,0,57.0042965,0,-3.302112172,0,-1.700107095,0,-35.56013784,0,48.23134233,0,41.25656053,0,-74.300236,0,-86.18148741,0,-422.0581914,0,-122.144817,0,28.84068346,59.03453155,73.00044596,98.81834857,119.294056,171.7171593,131.7646094,-1272.413039,-676.4982386,-154.5412694,55.27426855,166.8307743,126.221088,93.02201236,-58.11458711,-24.01096999,-236.281824,-2769.243129,-123.4749806,158.5947167,364.5686689,235.8631817,1477.689542,14.74700331,-49.94795077,-184.8523486,-156.7772431,-126.6748552,-70.59607266,-60.14992029,1865.325567,2614.825909,5.765746514,173.6530439,-0.349085791,42.96217129,13.80474879,42.58009835,45.63190576,27.5327774,13.68494633,2.829981876,-0.78297781,0.097315329,10.70568381,-3.97553053,-21.88328117,-20.00379029,3.435429584,-15.2992409,14.82356702,25.4986546,17.36746878,-17.54699292,-9.861077405,-33.62169676,-14.77759562,-100.1279813,-131.5297347,-128.0787749,-99.59062952
"327","000810.SZ","家用电器",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.91488945,0,0,0,5.988755015,0,-34.40607542,0,-63.1440424,0,-250.2699184,0,-481.2930489,0,286.0346113,0,435.4845623,0,-27.47189444,0,-36.65572622,0,38.58277161,0,55.99152823,722.5549402,31.79548442,13.45831651,2.968483474,-81.23280752,-28.36255439,-61.01242649,-32.69562642,382.396648,126.5110956,419.3073498,189.4467233,96.60467988,38.97393233,31.19144463,54.91980015,0.527513276,1.635767073,2.158134707,-12.79470562,-59.00037739,-37.51451774,-38.90832636,-50.12748131,-59.24455277,-36.9654735,-13.03486313,30.40886693,662.0400386,269.2033263,204.664127,175.5915699,33.6623319,2.464051761,-15.55891055,-21.12517909,-90.97778705,-85.28200773,-96.17655956,-76.14803711,250.6311129,104.7724974,622.7475134,-9.164934042,-154.1783575,-175.3847591,-7.786214647,4.981908597,-11.4764275,-12.06371048,-17.16496168,8.710690686,86.5218246,65.78428296,39.34042901,7.137860458,-77.59467039,-79.39727752,-87.17392836,-81.9292063
