"","上市公司","申万一级行业","X19930331","X19930630","X19930930","X19931231","X19940331","X19940630","X19940930","X19941231","X19950331","X19950630","X19950930","X19951231","X19960331","X19960630","X19960930","X19961231","X19970331","X19970630","X19970930","X19971231","X19980331","X19980630","X19980930","X19981231","X19990331","X19990630","X19990930","X19991231","X20000331","X20000630","X20000930","X20001231","X20010331","X20010630","X20010930","X20011231","X20020331","X20020630","X20020930","X20021231","X20030331","X20030630","X20030930","X20031231","X20040331","X20040630","X20040930","X20041231","X20050331","X20050630","X20050930","X20051231","X20060331","X20060630","X20060930","X20061231","X20070331","X20070630","X20070930","X20071231","X20080331","X20080630","X20080930","X20081231","X20090331","X20090630","X20090930","X20091231","X20100331","X20100630","X20100930","X20101231","X20110331","X20110630","X20110930","X20111231","X20120331","X20120630","X20120930","X20121231","X20130331","X20130630","X20130930","X20131231","X20140331","X20140630","X20140930","X20141231","X20150331","X20150630","X20150930","X20151231","X20160331","X20160630","X20160930","X20161231","X20170331","X20170630","X20170930","X20171231"
"2","000002.SZ","房地产",0,199.669606,0,120.512305,0,-6.124819814,0,9.350968826,0,-18.06462049,0,-5.155396103,0,-15.12011109,0,-7.622235695,0,34.69311585,0,30.94051007,0,19.06531351,0,4.615916385,0,0.850967814,0,16.03742323,0,47.05912256,0,29.58867979,0,50.41498032,0,25.08739319,0,-20.15861703,0,4.209506876,29.65685915,47.17237404,47.00509921,42.16631598,177.6757063,59.43879011,44.93737792,61.27740872,126.2630694,143.7839128,123.0532573,57.0612907,65.17173702,57.00413536,63.81684248,69.03541154,49.86322987,41.05118083,43.53720698,119.4596488,20.38939562,28.08678583,26.00795567,-12.74342381,19.79329364,34.40271736,39.31418572,38.58165666,32.34652141,1.954490079,4.241538507,37.47434123,1.191334682,2.901038959,7.337410971,31.22304659,28.62118847,39.4451402,49.67486087,35.02689779,16.9104577,17.64783617,21.65529538,16.82328219,-8.440896562,2.934629271,1.709924551,5.41041923,-44.57612395,23.61414079,25.42573659,34.54001659,37.64177735,4.494433228,18.36354017,9.251905386,-11.25379858,41.69856078,31.23290625,31.24533342
"5","000006.SZ","房地产",0,0,0,54.00638062,0,-22.48577725,0,-16.8740914,0,-13.16872318,0,-21.39808083,0,-80.68187303,0,55.09353195,0,1359.544461,0,90.80677776,0,-27.23817642,0,4.417255057,0,-10.81276639,0,-15.25465377,0,-33.75664283,0,16.56972689,0,50.65977266,0,-6.737086068,0,-35.88010894,0,-95.49499039,-388.5532147,-85.00429037,-179.3409132,-3681.620153,60.7790134,-1185.718671,1.114305119,118.9287255,247.9335087,87.44809506,143.3847206,115.3124994,309.7612255,2279.003886,837.7736195,107.4032692,-61.01847448,-53.8051925,-27.25943077,14.2159038,1612.68203,200.1196523,81.91175506,-39.1588113,-73.05520361,-53.89106339,-25.96777599,123.1679539,-38.80092532,-9.019703127,-24.71814156,48.09995772,42.1283312,35.35384415,111.4345677,-12.5583995,56.85488053,102.2706536,25.95336256,45.02204901,-26.23771144,0.554291741,3.603863392,10.87158351,-51.48000364,-82.05795795,-33.90453563,-26.58354238,597.1592918,451.3015328,20.64288069,-14.37547716,-76.28203159,-60.49274606,-58.353957,83.20472419,125.5046458,148.3312385,195.2313804,2.065737655
"10","000011.SZ","房地产",0,0,0,54.13317743,0,0,0,-6.842331855,0,-64.91232112,0,-17.97811303,0,-80.59074216,0,-84.5285241,0,-63.02270277,0,-1656.423031,0,-23.97877016,0,99.69561634,0,70.10002096,0,2092.710927,0,80.94575636,0,18.06904948,0,89.46116922,0,1951.629899,100.564573,-35.71304647,580.2873086,-60.75369682,-10.4194875,3.167676024,24.63595805,122.4060948,64.76267648,9.506687554,108.52155,17.46470916,9.602070527,78.31402506,13.7724176,-11.3278712,-6220.447423,-282.8901808,-230.9213131,-157.5036411,24.68487971,20.90314782,12.87445774,39.27997531,15.66033648,79.82819395,56.36445271,135.9149009,467.2578761,3506.086717,1352.690352,885.7119388,-84.63129019,19.24339525,-15.61414071,80.53316341,9922.035257,136.43639,126.5922588,47.12184753,-98.08133844,-67.38291096,-43.5468693,44.13692219,3798.594177,260.4998496,104.3877679,-19.73778447,-88.26985478,-68.30480124,-9.300876925,38.77738913,-98.71466458,-72.19454799,-85.62298256,-62.43821256,61.91998079,-116.842836,-115.5039533,126.2832018,52167.62904,7041.822718,8099.552926,75.55305658
"12","000014.SZ","房地产",0,0,0,193.733031,0,39.20583157,0,-38.40524493,0,-21.53221806,0,-43.03034514,0,-83.8383529,0,-437.1996892,0,-88.68085714,0,100.9969325,0,-5048.467374,0,-13070.54632,0,-351.9778819,0,18.54976002,0,66.85518063,0,58.43659085,0,138.3818298,0,201.1699862,0,65.45695279,-19.90420098,-3.101548736,-68.8950955,-26.96623318,133.2817346,-16.86963069,106.3556734,-5.026561337,-10.61932841,-7.725093348,314.2605849,262.1206276,120.5939278,12.06494004,145.5897175,84.30394555,69.39644419,3.186219368,-120.2529812,-111.9983829,-128.1705201,-93.3590188,-212.9713247,-424.6546729,-260.8903385,1963.435544,70.94692263,216.9037273,251.7797634,81.90471086,1972.857678,118.3340523,-24.26335788,-2.246248006,-109.9517252,-84.03871653,-56.60336937,-16.72832588,85.90822734,-178.7803055,-167.8918059,-48.67166822,163.1279708,59.06575687,60.28504336,6.127382306,4656.021024,941.2553465,393.9634522,78.32191823,-97.99435083,-47.72698616,-103.1837451,-14.92835336,-927.0852921,-166.9429706,-3050.109327,-45.4928015,30.00082429,141.2013196,131.9357525,-62.25631173
"25","000029.SZ","房地产",0,0,0,198.0238194,0,0,0,32.02732217,0,-22.76356192,0,29.33556192,0,0.42406573,0,-102.3587747,0,-64.96623058,0,895.8875248,0,-98.46323591,0,-1065.484419,0,1863.012477,0,109.3131326,0,5.222346099,0,-24.02815676,0,-73.8526792,0,-794.4415913,0,-1151.020087,-28785.51816,102.4956955,26.45600074,32.86189866,39.31334529,-76.95902176,25.62752768,-24.72922222,-53.95983966,-4715.297284,22.04718181,51.88732935,107.0102444,105.8780721,123.0011814,155.6560387,197.3662243,140.6993792,-62.68815603,13.06593323,16.56880132,92.13160109,66.65177485,32.88938726,10.70926011,-50.79890029,-58.9010377,-44.32799869,-33.5364504,5.541975659,548.9023977,733.0347834,586.2290122,319.299352,322.4755379,0.220502202,12.4350584,19.3790995,-4.222941325,-37.60672558,-26.80364401,5.588542688,-83.92216094,-67.4175092,-73.79118228,113.6709367,519.8163871,165.9344366,242.9624294,30.54532071,13.4082796,436.3722966,310.1114872,1.010177777,24.8922785,-27.7225916,1.216185922,3.463219729,11.19482426,1.834563871,-36.83874597,-40.63399002
"27","000031.SZ","房地产",0,0,0,0,0,0,0,9.390846593,0,-32.05115068,0,0.579214695,0,-15.00504114,0,28.87265287,0,-27.4900943,0,-74.64808761,0,-61.86879896,0,-4.832140723,0,-360.7810186,0,-749.6585105,0,126.9995051,0,124.1317137,0,298.9710621,0,134.7440616,0,36.06421928,0,9.860676469,60.69994692,-7.807148505,9.787353793,16.74695915,96.54114459,43.39149191,34.8097092,12.73370032,-24.70620823,8.737395137,-1.748659692,7.127916035,0.056083526,1.0811334,2.532946698,40.99107759,-40.93578794,235.0835275,170.0356631,174.9834194,107.5571936,-64.11694103,-67.11842484,-70.54155074,-137.8039043,-101.5504421,44.45658095,172.0338135,359.7865836,4380.385505,-5.931874081,7.434008764,178.8218342,247.0169701,134.7702923,7.756607105,29.71941487,-47.04644763,-44.14618759,-7.970319514,-26.04696608,64.80329255,80.94425568,36.3430293,-4.222863849,20.2828616,-12.55189666,-1.781820967,-27.72281823,-25.77770406,157.5900844,10.90088202,690.8248512,228.5310975,-5.595849077,43.56262361,-48.53248547,-28.01007718,102.9126783,30.10061081
"31","000036.SZ","房地产",0,0,0,-22.24722784,0,0,0,-20.26509315,0,-40.18157714,0,-59.46548361,0,-289.1628655,0,13.3347051,0,116.5194686,0,-914.0549928,0,0,0,361.1148425,0,0,0,25.98983198,0,258.3530264,0,25.36634167,0,11.83264447,0,6.172240799,0,9.210973935,0,15.97691284,6.88131698,-19.10490513,-43.60363853,-71.65131892,-75.65968635,-90.42511622,-80.47349461,-39.58864889,-188.5958175,-302.4651139,247.4734066,13.56609441,386.7812129,632.506092,462.0120787,406.1518483,-43.89490156,-39.31376826,-141.590912,-442.7433664,-416.6092916,-203.9713819,-192.3028217,57.29223738,328.9889242,622.501343,237.5655694,205.9762062,-78.37333948,-82.13400409,-85.07945458,-30.38983742,-6.877491063,48.3582372,59.63430657,-67.68575226,46.29462576,-13.91751476,-25.62587062,-12.05892592,-91.87794839,-87.58510525,37.54824716,33.07233776,-37.86646809,-52.29534298,-96.47196509,-73.77002291,-463.4003986,-554.6084481,-134.7058813,214.2356139,1100.857922,2663.340008,40545.11319,1328.879602,716.8583532,146.2405357,131.4003912,1.426346362
"36","000042.SZ","房地产",0,0,0,0,0,0,0,-17.8278405,0,11.81422827,0,35.50992161,0,-33.46407157,0,9.27112396,0,38.16155892,0,11.06914176,0,-34.22737952,0,-25.67509991,0,13.65236956,0,46.09618646,0,-9.416215298,0,10.09252808,0,43.52607266,0,-2.439256038,0,-50.80612402,0,-39.37593479,-2.641657626,-11.83128171,-73.07626173,-14.83359174,-311.3945005,-369.3153228,-409.652733,-78.59546081,73.89223052,224.2348854,374.8402926,781.53227,126.2532206,1.583831584,-1.181333099,-53.01366039,-447.7444492,44.80003385,38.54364811,241.3018902,-35.80180756,-121.7169676,-142.766481,-96.66492649,89.36850701,554.5499958,375.466321,3838.524627,2648.057713,-43.17479092,29.82182372,35.41031375,308.4265825,108.2839402,-5.721888476,-11.85822917,39.02973193,36.74462769,82.54823847,29.07806174,-22.33704741,-9.249633765,-34.62277077,-1.54851806,41.05526631,33.90556763,26.30632574,-24.6320655,100.6171438,49.01099006,35.13789317,29.92923203,-90.77232242,-95.13283655,-83.15196036,-44.59436463,-45.3242925,642.7625019,252.823813,174.8469697
"37","000043.SZ","房地产",0,0,0,101.8546332,0,0,0,29.34175456,0,16.59744568,0,-32.3564657,0,5.772825968,0,7.272634808,0,-21.70925653,0,15.49445428,0,-37.12859259,0,-43.01650394,0,-23.32883533,0,-4.727709054,0,0.874353519,0,-10.47744526,0,-35.13613661,0,-2025.385232,0,48.86584815,0,123.2433423,5.884359582,-35.52302852,-13.59037949,11.540987,52.6056614,90.61281474,90.76730311,9.806351023,10.72271582,6.771339747,-19.38209409,146.6155494,141.3910785,271.1647673,160.658772,29.12345027,-38.80466682,-59.62208523,-35.28263953,120.5982237,11.01690415,6.953878595,-77.63180528,-91.23417191,-123.6054522,16.79838034,214.3852882,2301.82178,353.7751094,-75.43867078,225.3520683,216.1193564,-219.9931792,448.1856856,-18.9619366,69.461006,34.90033385,-88.45689052,227.6692237,-13.03984754,-600.7387708,-783.0666788,-85.629961,14.67983893,176.3718236,-32.51098575,-429.8887141,-3.959795569,-329.7970612,-272.643696,-114.2357299,-22.71205609,-113.8949802,96.05425388,73.75906474,-62.95954974,59.74151095,-2206.417352,18.29005024,-125.2753687
"39","000046.SZ","房地产",0,0,0,35.04347057,0,0,0,23.90632297,0,-46.34007438,0,-38.30603311,0,38.50416654,0,110.6316863,0,-73.53720235,0,-0.668462211,0,-297.4148734,0,150.511694,0,1146.541463,0,5.334523487,0,570.7190749,0,-70.41866661,0,-60.52827172,0,43.00797705,0,10.20154003,-12.7202617,-19.80230532,299.491346,-60.01646773,11.09087245,8.363066998,251.4268925,262.2271487,7.203500409,88.94216388,42.9503887,10.59803895,-5.60705419,-17.72200997,184.7890866,126.2138446,100.8202835,238.6014277,100.6188658,561.3119764,1050.042406,151.7887919,1.087951478,-38.82354865,-55.82865797,-68.16927031,-87.65067929,-29.51341764,-0.878005496,86.88249145,904.9953979,-34.12811089,-13.83502612,-69.3937726,-137.4837347,-142.7678386,-12.56925283,105.4399406,51.82129929,180.2948267,48.9173716,216.956677,540.1297503,617.1154733,61.71843185,51.53727614,-6.116014007,-16.86830356,-12.02597601,29.89553917,209.9752227,213.5155127,246.8395456,42.80759989,-55.82180503,-6.526390178,9.007841785,14.92821559,144.1215457,1.035299805,-28.08742881,1.165504495
