"","上市公司","申万一级行业","X19930331","X19930630","X19930930","X19931231","X19940331","X19940630","X19940930","X19941231","X19950331","X19950630","X19950930","X19951231","X19960331","X19960630","X19960930","X19961231","X19970331","X19970630","X19970930","X19971231","X19980331","X19980630","X19980930","X19981231","X19990331","X19990630","X19990930","X19991231","X20000331","X20000630","X20000930","X20001231","X20010331","X20010630","X20010930","X20011231","X20020331","X20020630","X20020930","X20021231","X20030331","X20030630","X20030930","X20031231","X20040331","X20040630","X20040930","X20041231","X20050331","X20050630","X20050930","X20051231","X20060331","X20060630","X20060930","X20061231","X20070331","X20070630","X20070930","X20071231","X20080331","X20080630","X20080930","X20081231","X20090331","X20090630","X20090930","X20091231","X20100331","X20100630","X20100930","X20101231","X20110331","X20110630","X20110930","X20111231","X20120331","X20120630","X20120930","X20121231","X20130331","X20130630","X20130930","X20131231","X20140331","X20140630","X20140930","X20141231","X20150331","X20150630","X20150930","X20151231","X20160331","X20160630","X20160930","X20161231","X20170331","X20170630","X20170930","X20171231"
"14","000017.SZ","汽车",0,0,0,83.28345543,0,0,0,-36.86926784,0,-15.69169809,0,-62.96795225,0,-88.67980408,0,-41.03094623,0,7.436103472,0,-770.5469531,0,-818.9795006,0,-227.6682104,0,-56.62678768,0,146.536451,0,32.83511109,0,-7.97641699,0,28.48349659,0,-1241.766201,0,49.14572396,80.09548382,100.2924277,155.5847664,104.4459815,77.28122966,-248.7231518,-99.23590944,-80.52462205,115.0935346,-182.082229,-4491.001871,-311.0403322,4802.229136,104.4333435,62.80122558,-1589.301609,-131.2266654,-389.4111279,3108.447269,308.24859,138.2922879,624.751791,-89.27065542,-122.4775144,508.0415805,-170.5780978,-885.1437113,-1215.769367,-461.3149824,-138.6183431,2.293499661,8.402345963,17.04291436,160.7356285,57.87595837,150.7380684,135.6425859,-38.39563543,-29.85433797,-227.0285195,-320.0248918,-231.2322171,-68.56906761,12.06397457,44.0083581,3123.136299,101.6312645,108.0634811,115.2242899,-99.63302554,-8.863162785,-74.90215694,-80.71861255,-101.8317272,-46.2239874,-12.42797095,267.5418433,3773.770336,68.38147445,-509.9318469,-155.4491807,-59.42111997
"21","000025.SZ","汽车",0,0,0,0,0,798.7203921,0,-19.37871741,0,-66.46470766,0,-97.46931054,0,-175.7000903,0,-12987.17977,0,-230.548926,0,118.7529815,0,153.3713072,0,-37.04786307,0,-282.3066583,0,-565.4689104,0,-211.1507733,0,-2.49697054,0,86.54209213,93.3644672,109.8191799,-40.01262341,14.69570961,-117.9525923,-612.3650052,53.00367359,94.27416644,114.9270085,125.9921473,101.1460356,51.53922421,94.86290544,0.724478736,-648.4871232,1310.015993,77.90592038,-19.75217076,320.9763451,23.43680063,18.60954861,-1187.729864,-448.5163822,-105.8928917,-98.04076426,109.7038026,-123.0343852,-1939.409138,-3071.407467,-77.34181462,-65.69632594,166.0631314,151.3550823,340.3229347,90.60761717,-45.98998352,-27.18161345,-51.71659669,152.3506582,-78.30829094,-254.1561696,-68.12599522,-770.4425368,-2826.891893,-307.4594428,-22.25868014,266.1795561,126.3542241,299.0345347,210.5171943,-23.93117973,74.52169081,-82.65106247,156.516668,-87.60658633,51.90898617,452.931096,398.9143709,1336.309851,145.8638129,44.31404222,-35.37857551,-41.27027751,30.22844763,46.51028946,138.1842617
"26","000030.SZ","汽车",0,0,0,80.3682157,0,24.47182666,0,2.062402865,0,-50.2467697,0,-81.87374118,0,-31.50967935,0,59.88160855,0,-21.27459931,0,52.06084444,0,-827.5493127,0,-856.1887566,0,68.4675445,0,116.4599474,0,13.94407179,0,-61.99631169,0,80.4973287,0,-3280.57481,-293.1882546,-288.7351185,-2581.272626,42.5850836,18.46519641,104.00455,97.94983891,102.1086007,8.944465087,-1464.715004,-283.5494298,-493.9733595,42.29225327,11.14321841,26.08535451,-13.22400776,-25.32034679,40.31121841,222.912978,135.0194641,-4.233810755,-101.6324186,-234.9124939,-218.3006813,-29.75741744,23.58518547,15.43678569,-285.7213206,30.43203983,-8.185525478,181.6624877,109.5115011,9.356001663,7.888594758,-206.6873721,-4898.081851,241.4081168,11845.67418,7938.231548,474.5253469,4.202868829,-100.1003557,-100.1417637,-100.2533553,12.81386803,9.759350967,5.157720763,10.83657227,7.530964663,14.565573,14.90779981,13.89534251,5.421218076,-13.43563158,-25.04339797,-21.93120444,-8.423513065,22.49313029,37.66348361,28.89315689,42.48968458,17.14870094,20.85472076,21.02746511
"74","000338.SZ","汽车",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10987.7793,0,0,0,95.98300232,0,0,0,-42.6250233,0,0,0,142.2634922,122.3490295,127.2336337,126.7871418,274.9566315,81.78523379,58.28043635,30.01576508,-13.80451248,-55.63051301,-31.96420918,8.689327878,63.67351687,372.6550351,171.8597581,105.5519791,102.6366979,15.28012163,5.701980681,-8.067582712,-20.99120856,-48.09052476,-48.86825067,-50.0197855,-48.82486123,-24.85969645,9.604308227,12.41935748,18.03715056,33.36704099,74.47143117,68.81971275,51.52035355,-34.22621274,-67.30127494,-68.40545323,-62.17913624,-8.62010698,22.61462999,42.69352401,63.60632477,109.7014779,114.4182114,160.7013402,155.2202283
"142","000550.SZ","汽车",0,0,0,60.23141948,0,0,0,-42.5450274,0,-77.95590693,0,-93.4311676,0,-65.16457586,0,449.8989881,0,338.5002259,0,0.888352294,0,-86.98222528,0,-188.1855,0,214.6112021,0,7.703573219,0,1.508743444,0,138.277969,0,324.22228,0,73.40707506,0,92.82862098,0,186.4478451,181.430313,82.51886755,79.56170903,56.84849666,3.370037592,3.870802294,-17.619321,-14.55605046,-41.4581488,-1.098511973,38.66488138,24.124049,176.2261897,68.74443936,29.08365381,26.98888157,-40.01615673,-9.614001559,11.73499268,18.18180104,39.94103916,30.95731383,0.250378973,2.826390321,-3.72786532,-15.91378582,23.42747766,35.46306022,163.6862989,134.2568454,86.05968018,61.73792686,12.89399785,4.279660588,2.392452258,8.80444753,-14.97315686,-22.27781205,-20.74665469,-18.9927097,8.336575061,11.57238128,6.771258762,11.53909684,15.31531597,21.69955102,19.76112311,22.97079379,-4.10871913,-7.114911147,0.617781259,5.418265416,-27.95676419,-34.85939313,-29.00840965,-40.68497361,-44.72255361,-21.52022684,-41.15230806,-47.57740547
"150","000559.SZ","汽车",0,0,0,7.753157529,0,0,0,51.15610444,0,-16.7386884,0,-1.992568271,0,63.31293136,0,47.02147956,0,93.22296683,0,60.38367403,0,5.700193303,0,8.539173254,0,13.39090569,0,18.49906027,0,31.88337401,0,22.38876516,0,15.76310734,0,-7.710524533,0,-9.596249221,32.19415644,21.81867778,22.98065169,12.64222468,10.35726042,8.076218671,28.46824875,-16.99149745,7.20025697,9.251798733,8.897032028,17.14237273,3.5199319,-3.12342252,4.904571135,11.20825858,14.80666525,29.80855395,50.16912674,70.6198286,51.43759808,68.00455839,15.93219602,6.652560362,7.987240761,-15.06293728,-25.89563236,-34.09253799,-22.24593818,-8.040271497,59.9247153,95.37825478,64.1924061,57.01540978,12.48612249,13.5598227,13.80006858,7.836100466,-26.73824398,-35.82999488,-35.6209871,-28.20165135,12.77259477,18.07274951,27.58996475,14.40550302,27.05573362,32.87189955,28.61886097,29.59525573,10.87167784,23.98426764,7.541441547,7.194072655,10.8572501,5.437563632,7.892412229,6.325253271,2.175971043,-8.646822859,-0.880565832,3.708693397
"161","000572.SZ","汽车",0,0,0,657.1343236,0,0,0,31.87595486,0,-80.63138029,0,-180.3138778,0,-94.16653934,0,129.9565999,0,16.76723878,0,-93.64700067,0,-5136.879394,0,-6741.983171,0,83.66558956,0,101.1916669,0,-287.8111424,0,-1.164726363,0,102.2623282,0,-2265.63053,0,-641.7157528,0,64.21946827,17.72271639,40.91614578,77.84652578,120.7812859,759.6383962,953.9442302,2650.157413,352.6040506,70.40666972,160.2456968,125.1742744,81.46228689,-16.56454062,-2.783094209,-4.870499558,56.55923663,723.2827157,1162.041698,1059.556809,609.2919947,-46.04297324,-84.85085383,-99.83123247,-99.70662998,-178.8956854,-347.4775579,-31189.32132,-20153.41919,229.6039675,232.3400219,204.0810265,199.480255,46.95667998,12.72505687,38.06787773,9.685054494,-46.1672889,-39.66859256,-58.82231743,-25.48376328,27.18366788,50.43993597,72.92654056,36.84179069,-1.231746094,-37.88586588,-52.32110812,-52.13575146,51.23325973,33.55498467,-42.18286778,-62.03492131,-69.55254704,-47.73514883,-7.388142122,-87.28763225,55.97469222,-80.31326419,-187.2722101,-11014.01664
"164","000581.SZ","汽车",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.005171796,0,-0.825201783,0,11.35180839,0,46.85089584,0,8.534222564,0,58.71523729,0,40.71837971,0,1.45841031,0,25.48962023,0,20.81015712,0,15.317226,0,12.30484727,0,34.40522045,34.23145156,8.338938644,11.83222814,18.912348,35.18164616,18.12718992,2.33838176,-2.247919859,34.06054294,31.83446095,17.75177217,-7.154130012,-38.51630569,-42.5533632,-52.54620285,-43.14948917,-20.85855924,9.276044453,45.49613216,109.2265813,-31.41977376,22.84310075,19.01348802,-22.4033068,-180.6511689,-31.52865537,37.77057844,124.2188521,516.0115815,257.1901163,171.322918,197.8992005,148.5755654,100.4058795,39.28223355,-9.110564906,-15.11425868,-29.86687413,-28.07430492,-25.58907107,3.787037391,17.14607388,30.06963935,23.55464105,64.68014545,57.08735288,52.57773145,37.66665731,0.718210108,22.95356227,3.955513385,-2.285169489,-6.121480035,-8.90958339,1.892171937,11.15691403,59.54767734,40.38151554,41.2254451,53.37210849
"197","000622.SZ","汽车",0,0,0,0,0,0,0,-44.2612002,0,0,0,96.76065288,0,0,0,126.7179589,0,82.50885155,0,27.66154236,0,-31.29906988,0,26.65745797,0,-38.42099591,0,1355.791174,0,-13.52467247,0,-15.99217624,0,-15.11335817,0,-40.89325657,0,-15.27624904,0,22.66247245,120.2802779,11.23406243,-38.66814155,-594.2670057,-11.75954749,-65.95900995,-191.9804226,-955.2570505,-1992.608617,-2531.079044,-1470.697326,-7.36500481,23.31952541,-15.82128887,-14.03817116,104.0698455,50.51005645,55.64780546,54.24395516,-34.12640361,19.36110702,29.82214548,37.7836656,4.759439333,12.22997173,81.4848289,78.58583597,-21.5181895,10.8746865,-331.5523084,-197.1706825,-870.2223822,44.78284496,16.52257407,-12.82637268,-24.56923993,12.13616448,52.1645839,72.35308464,123.54318,32.53471674,-11.31264521,-104.2434616,38.68734512,-325.3711886,-121.2919315,-167.8769048,-463.6981992,-59.02143409,-67.55476748,-41.63736164,-30.74670971,40.48501341,27.25171609,14.18783378,183.2092206,20.66436188,28.16909226,35.2518323,-184.2194817
"199","000625.SZ","汽车",0,0,0,0,0,0,0,0,0,0,0,23.91686626,0,0,0,-11.28373887,0,0,0,-8.020389965,0,-49.18973378,0,-91.71851341,0,-12.19757178,0,984.6548395,0,-3.364785473,0,23.61599424,0,126.5791704,0,9.356760145,0,19.77042435,0,444.5253097,394.0573647,460.2496524,159.3419734,70.11912092,22.29893691,7.413536921,-4.179894002,-7.162870087,-49.8289344,-60.74746321,-77.52033971,-78.34247659,7.176649497,11.62152591,73.72758192,50.94553069,-25.23042535,17.60059695,18.65482708,33.76604099,57.86780933,6.990541692,-28.23674348,-97.17163536,-89.46290388,20.91399242,149.5460598,5955.173899,2751.168086,157.4376934,106.257425,81.45023947,-10.05130679,-23.29448943,-48.61744869,-54.03381425,-82.138716,-46.77242251,-17.95821524,52.86649434,325.1970954,139.298759,210.0948467,145.1218081,260.3530342,196.9848913,158.4339147,125.6673484,29.14076217,39.87768494,23.19259284,31.98432213,7.342406531,8.284642405,15.28121297,3.56804447,-10.12524058,-14.77680673,-24.27521959,-29.85577899
